kĩ	a
ũkũrũ	age
rũhonge	agency
mũtabania	agent
mũkararia	aggressive
kũhiũha	agile
mbere ĩyo	ago
gwĩtĩkĩra	agree
kĩrĩkanĩro	agreement
ũrĩmi	agriculture
mbere ya	ahead
ũteithio	aid
muoroto	aim
rĩera	air
kĩhaaro kĩa ndege	airport
gacira	aisle
thitima	alarm
njohi	alcohol
kĩmenyithia	alert
arĩ muoyo	alive
ciothe	all
hatirĩ na thĩna	all right
nĩ ndakwendithiria wega	all the best
gwitikiria	allow
gwĩtĩkirio	allowed
hakuhĩ	almost
arĩ wiki	alone
hamwe	along
o rĩu	already
Nĩguo	Alright
ningĩ	also
njĩra ĩngĩ	alternative
o na gũtuĩka	although
hingo ciothe	always
ndĩ	am
nĩ wa kumakania	amazing
gũtarĩ na ũiguano	ambiguous
mworoto	ambition
kwĩrirĩria maũndũ manene	ambitious
gũcenjia	amend
gatagatĩ	amid
harĩ	among
gatagatĩ-inĩ gaitũ	among us
mũigana	amount
kĩega	amusing
na	an
gũthuthuria	analysis
aagu	ancestors
nanga	anchor
cia tene	ancient
na	and
na wee	and you
mũraika	angel
marakara	anger
angle	angle
kũrakara	angry
nyamũ	animal
gathũng'wa	ankle
mũthenya wa gũkunguira	anniversary
kĩmenyithia	announcement
kũrakaria	annoy
kũrakara	annoyed
kũrakaria	annoying
o mwaka	annual
mũndũ ũtoĩkaine	anonymous
ũngĩ	another
macokio	answer
kwirigirira	anticipate
mitangiko	anxiety
kũigua guoya	anxious
kĩndũ o gĩothe	any
rĩngĩ	anymore
mũndũ o wothe	anyone
kĩndũ o gĩothe	anything
o na kũrĩ ũguo	anyway
o na kũrĩ ũguo	anyways
tũtigane	apart
nyũmba	apartment
kũhoya mũhera	apologize
ũrĩa wonekaga	apparent
no kũhoteke	apparently
gũcokia ciira	appeal
wonekaga	appear
muonekano	appearance
nĩ monekire	appeared
kũgĩa na wendi wa kũrĩa	appetite
apũ	apple
ũhũthĩri	application
gũtũmĩra	apply
gũthuurwo	appointment
gũcokia ngatho	appreciate
gũcokia ngatho	appreciation
mwerekera	approach
ũrĩa wagĩrĩire	appropriate
gwĩtĩkĩrio	approval
gwĩtĩkĩria	approve
nĩ gwĩtĩkĩrĩkĩte	approved
gwĩkuira ta	approximately
mweri wa kana	april
kũringana na wendi waku	arbitrary
mũcori wa nyũmba	architect
ũcori wa nyumba	architecture
kuiga	archive
nĩ	are
hihi we nĩ	are you
hihi ũrĩ na wĩra	are you busy
hihi nĩ ũhikanĩtie	are you married
hihi nĩ ũhikanĩtie kana ndũhikanĩtie	are you married or single
Hihi ũrĩo ho	Are you still there?
hihi ũrĩ kuo	are you there
ĩtuura	area
gũkararania	argue
ngarari	argument
ũkira	arise
guoko	arm
mbũtũ cia ita	army
kũrigicĩria	around
gũbanga	arrange
mũbango	arrangement
gũkinya	arrival
gũkinya	arrive
nĩ ndakinya	arrived
mwĩgatho	arrogant
mũguĩ	arrow
ũcori	art
gĩcunjĩ kiandike	article
cia kũũmbwo	artificial
mũmbi	artist
ta	as
nginya rĩrĩa	as long as
o ta ũguo	as well
hamwe na	as well as
mũhu	ash
kũigua thoni	ashamed
ũria	ask
akĩũria	asked
ee toro	asleep
maũndũ megĩĩ	aspect
Assamese	Assamese
kũhinyĩrĩrio	assault
kĩũngano	assembly
kũrũgamĩrĩra	assertive
gũthima	assess
kigeranio	assessment
indo cia gũikara	asset
indo cia gũikara	assets
kũheana	assign
wĩra	assignment
gũteithĩrĩria	assist
mũteithia	assistant
mũruna	associate
hamwe	associated
ngwatanĩro	association
gwĩciriria	assume
gũutua	assumption
harĩ	at
o na hanini	at least
kũrĩa	ate
mũteng'eri	athlete
gwĩkĩra	attach
kũgwatanĩra	attached
kunyitana	attachment
gũtharĩkĩra	attack
kũgeria	attempt
gũceera	attend
gũthiaga	attendance
guthikiriria	attention
mwerekera	attitude
kũgucĩrĩria	attract
kũgucĩrĩrio	attraction
kuguciriria	attractive
ngumo	attribute
athikĩrĩria	audience
mweri wa kanana	august
tata	aunt
tata	aunty
ma ma	authentic
mwandĩki	author
wathani	authority
mbura ya kimera	autumn
iria iri kuo	available
mũigana	average
gwĩthema	avoid
gũũkĩra	awake
kĩheo	award
menya	aware
ũmenyo	awareness
mathiĩ	away
wega mũno	awesome
nĩ ũũru mũno	awful
kĩriga	awkward
Aymara	Aymara
mwana	baby
mwanake ũtahikanitie	bachelor
thutha	back
mugongo	back
kuria umĩĩte	background
ũũru	bad
mũhuko	bag
mũtego	bait
kũruga	bake
riiko ria migate	bakery
igata	baking soda
ũigananĩru	balance
mũbira	ball
Bambara	Bambara
mũnyũ	banana
mũrĩnga	band
mũgambo	bang
bengi	bank
kĩrabu	bar
o na hanini	barely
kũiguithania	bargain
gũkũga	bark
cairi	barley
mũhĩnga	barrier
mũthingi	base
kũringana na	based
nyũmba ya thĩ	basement
kĩhumo	basic
na njĩra nguhĩ	basically
mũrogi ũyũ	bastard
kĩoho	batch
gwĩthamba	bath
mbabu	bathroom
ihiga	battery
mbaara	battle
rũteere	bay
gutuika	be
wĩhũgage	be careful
rũteere-inĩ rwa iria	beach
cũma ya nyũmba	beam
mboco	beans
gukua	bear
nderu	beard
kĩrũgamo	bearing
nyamũ	beast
kũhũũra	beat
mũthaka	beautiful
ũthaka	beauty
gũgĩtuĩka	became
tondũ	because
gũtuĩka	become
ũrĩrĩ	bed
nyũmba ya toro	bedroom
njũkĩ	bee
nyama ya ng'ombe	beef
gũkorwo	been
njohi	beer
mbere ĩyo	before
kwambirie	began
kwambĩrĩria	begin
kwambĩrĩria	beginning
handũ-inĩ ha	behalf
gwĩka	behave
mĩtugo	behavior
mĩtugo	behaviour
thutha	behind
gũkorũo	being
wĩtĩkio	belief
gwĩtĩkia	believe
nda	belly
gũkorũo ndĩ wa	belong
mwendwa wakwa	beloved
thii wa	below
mũcibi	belt
gĩti	bench
kũinamĩrĩra	bend
rungu	beneath
ũmithio	benefit
maumithio	benefits
tiga	beside
o na kũrĩ ũguo	besides
wega mũno	best
nĩ ndakwendithiria munyaka	best of luck
nĩ ndakwendithiria wega	best regards
wega	better
gatagatĩ	between
kĩndũ gĩa kũnyua	beverage
makĩria	beyond
Bhojpuri	Bhojpuri
gũthutũkania	bias
gũthũtũkania	biased
maithikiri	bicycle
gũtuma ihoya	bid
nene	big
maithikiri	bike
marĩhi ma thiri	bill
watho	bill
kũnyitithania	bind
nyoni	bird
mũthenya wa gũciarũo	birthday
hanini	bit
kũrũma	bite
kĩruru	bitter
kiiru	black
rũhiũ	blade
gũcambia	blame
hatarĩ kĩndũ	blank
mũrĩngĩti	blanket
kũhuha	blast
thabuni	bleach
mũtukanio	blend
rathima	bless
nĩ mũrathime	blessed
mũndũ ũtonaga	blind
ikenero	bliss
gĩria	block
thakame	blood
mahũa	bloom
kũhuha	blow
rangi wa buruu	blue
gĩtari kĩugĩ	blunt
kabati	board
gatarũ	boat
mwĩrĩ	body
gũtherukia	boil
ucamba	bold
ũkuruhanu	bond
mahĩndĩ	bone
ibuku	book
kwongerereka	boost
wongereri	booster
kĩratu	boot
iraatũ	boots
mũhaka	border
kĩara	bore
kũnogio	bored
ũtareigwa	boring
gũciarũo	born
kũhoya	borrow
mũtongoria	boss
cieri	both
kwĩgiya	bother
cuba	bottle
mũhuro	bottom
kũgũrwo	bought
kũgũa	bounce
kũhingĩrio	bound
mĩhaka	boundaries
kũinamĩrĩra	bow
mbakũri	bowl
ithandũkũ	box
kahĩĩ	boy
mũrata mwanake	boyfriend
gĩcũhĩ	bracelet
hakiri	brain
rũhonge	branch
muthemba	brand
ucamba	brave
kũhĩtithia	breach
mũgate	bread
kũhurũka	break
irio cia rũcinĩ	breakfast
gĩthũri	breast
kũhuhia	breath
kũhuhia	breathe
mũthemba	breed
iturubarĩ	brick
mũhiki	bride
ndaraca	bridge
na njĩra nguhĩ	brief
ũtheri	bright
kĩega mũno	brilliant
rehe	bring
mũrata wakwa	bro
waramu	broad
kũmemerekia	broadcast
ĩgĩthũka	broke
kũunĩka	broken
kĩhato	broom
mũrũ wa maitũ	brother
mũrũ wa nyina	brother in law
kũrehwo	brought
rangi wa gĩtĩri	brown
gũkiinya	brush
ndoo	bucket
mũrata wakwa	buddy
mũbango wa uhuthiri wa mbeca	budget
kurakaria	bug
gwaka	build
mwako	building
gwakwo	built
indo nyingĩ	bulk
ndegwa	bull
mũremi	bully
mũgĩko	bump
gĩkundi	bunch
itĩa	bundle
mũrigo	burden
mathikĩtwo	buried
gũcina	burn
gũturika	burst
gũthika	bury
mbathi	bus
kĩhinga	bush
biacara	business
gũtũrikia	bust
kũgĩa na wĩra mũingĩ	busy
no	but
thiagĩ	butter
kĩhuruta	butterfly
kĩbungo	button
kũgũra	buy
nĩ ũndũ	by
na njĩra ĩngĩ	by the way
kuganira uhoro	bye
kabici	cabbage
kabati	cabinet
kĩaga	cage
keki	cake
gacau	calf
gwita	call
njĩta	call me
gwĩĩtwo	called
ũhoreru	calm
nĩokire	came
kambĩini	campaign
no njike	can
ndingĩhota	can't
Gukanja	Cancel
mũrimũ wa kansa	cancer
kũhota	capable
ũhoti	capacity
mbeca cia biashara	capital
rũthiomi rwandĩke	caption
kũgwatia	capture
ngari	car
wĩra	career
kwĩhũga	careful
wĩhũgĩte	carefully
kwaga kĩharĩro	careless
gũtungata	caring
mũturi wa indo cia mbao	carpenter
mũgeka	carpet
karati	carrot
gũkua	carry
gũthiĩ na mbere	carry on
kũhingia	carry out
ciira	case
mbeca	cash
kũmemerekia	cast
nyũmba nene ya mũthamaki	castle
njira ya kawaida	casual
kanyau	cat
gũtega	catch
mũthemba	category
mahiũ	cattle
kũnyiitwo	caught
gĩtũmi	cause
kwĩmenyerera	caution
kwĩmenyerera	cautious
ngurunga	cave
gũtiga	cease
mambarita	ceiling
gũkunguira	celebrate
njera	cell
gatagatĩ	center
mĩiaka igana	century
mbegũ	cereal
ũhiki	ceremony
ma biũ	certain
hatarĩ nganja	certainly
marũa	certificate
mũnyororo	chain
gĩtĩ	chair
thitango	challenge
mweke	chance
gũcenjia	change
kĩrĩhĩngĩcĩka	chaos
mutugo	character
ngumo	characteristics
kũrihia	charge
ũtugi	charity
nĩ arĩ wendo	charming
mũcoro	chart
gũteng'eria	chase
gutereta	chat
raithi	cheap
kũheenia	cheat
kũhenania	cheating
guthima	check
ikai	cheek
gũcanjamũka	cheer
na gĩkeno	cheerful
gukenererwo	cheers
ngarĩki	cheese
kemia	chemistry
gũtĩa	cherish
mũthako wa chess	chess
gĩthũri	chest
gũtanuka	chew
ngũkũ	chicken
cibũ	chief
mwana	child
wana-inĩ	childhood
ciana	children
kũhurũka	chill
irima rĩa kurutĩra ndogo	chimneys
rũthĩa	chin
chocolate	chocolate
gũthuura	choice
gũthuura	choose
gũtinia	chop
mawĩra ma mũciĩ	chores
mũnoru	chubby
kanitha	church
mũndarathini	cinnamon
gĩthiũrurĩ	circle
maũndũ	circumstances
raiya	citizen
taũni	city
thitango	claim
gũtaarĩria	clarify
kĩrathi	class
rĩũmba	clay
gĩtheru	clean
gĩtheru	clear
mwandĩki	clerk
mũndũ mũũgĩ	clever
mũgũri	client
kĩharũrũka	cliff
rĩera	climate
kwambata	climb
kũnyiitanĩra	clingy
thaa	clock
hakuhĩ	close
ndiro ya guikia nguo	closet
nguo	cloth
nguo	clothes
itu	cloud
kĩruru	cloudy
mũthekania	clown
kĩonereria	clue
mũru	clumsy
itĩa	cluster
mũrutani	coach
ngaari ya gũkuua andũ	coach
mahiga	coal
gĩcũa-inĩ	coast
igoti	coat
kahũa	coffee
ũmenyo	cognitive
kũhĩtanĩra	coincidence
heho	cold
kũmomoka	collapse
kara	collar
mũrata wakwa	colleague
mũruna wakwa	colleagues
kũrogota	collect
gũcokia	collection
cukuru	college
rangi	color
meciria matarĩ na rangi wa kĩruru nĩ ciakomete na marakara	colorless green ideas slept furiously
rangi	colour
mũhari	column
gĩcanuri	comb
mũtukanio	combination
gũtukania	combine
uka	come
ũka haha	come here
uka rĩu	come on
kũũmĩrĩria	comfort
kũiganĩra	comfortable
nĩ gũũka	coming
nĩtũgũka ica ikũhĩ	coming soon
gwatha	command
gweta	comment
biacara	commercial
kamĩtĩ	commission
kwĩrũtĩra	commit
wirutiri	commitment
kwĩrutĩra	committed
kindu	commodity
kawaida	common
kwaranĩria	communicate
kwaranĩria	communication
andũ a itũũra	community
gũthiĩ wĩra	commute
mũrata	companion
kambuni	company
kũringithania	compare
kũringithania	comparison
tha	compassion
kũiguanĩra tha	compassionate
kũhutania	compatible
gũcindana	compete
ũrĩa ũrĩ na ũhoti mũkinyaniru	competent
macindano	competition
ũhoti wa gũtooria	competitive
gũteta	complain
thitango	complaint
mateta	complaint
kũgathiriria	complement
gĩkinyanĩru	complete
biũ	completely
mũritu	complex
kũrũmĩrĩra	compliance
nĩ mũritũ	complicated
kũgathĩrĩria	compliment
kũrũmĩrĩra	comply
gũthodeka	composition
thome	compound
ũtaũku	comprehension
gĩothe	comprehensive
kũuna watho	compromise
no nginya	compulsory
kompiuta	computer
kũiga meciria	concentrate
rĩciria	concept
gũtangĩka	concern
ũrĩa ũrarũmbũiyo	concerned
kĩgomano	concert
mũico	conclusion
koroga	concrete
mũikarĩre	condition
maũndũ	conditions
twarithia	conduct
mũcemanio	conference
kũmbũra	confess
kwĩhoka	confidence
kwĩhoka	confident
nĩ ngũmwĩra	confirm
ngarari	conflict
kũhĩngĩcĩka	confused
gũtukanĩirũo	confusion
nĩ ndagukenerera	congrats
ngatho	congratulation
nĩndakugathiriria	congratulations
kũgwatanĩra	conjunction
kũhutania	connect
gũtooria	conquer
ũmenyo	conscious
ũmenyo	consciousness
gwĩtĩkĩria	consent
moimĩrĩro	consequences
ũgitĩri	conservation
mũrũngarũ	conservative
ta wĩcirie	consider
kwarĩrĩria	considered
nĩ hamwe na	consist
kũrũmanĩrĩra	consistency
kũrũmanĩrĩra	consistent
kaingi	constant
hingo ciothe	constantly
kũmĩrwo nĩ kĩoro	constipation
gwaka	construction
kũniina	consume
kũrĩa	consumption
kwaranĩria	contact
ũgwatania	contagious
ĩrĩ na	contain
ĩkoragwo na	contains
cia mahinda maya	contemporary
kũnyarara	contempt
indo iria irĩ thĩinĩ	content
macindano	contest
ũhoro ũrĩa ũrĩ thĩinĩ	context
gĩtaru	continent
thiĩ na mbere	continue
kugwatia	contract
ngũrani	contrast
gucanga	contribute
mucango	contribution
kũrũnga	control
kũritũ	controversial
wagĩrĩru	convenience
kwagirira	convenient
gũteereta	conversation
kũgarũra	convert
gũkua	convey
kũiguithia	convince
gwitikaniria	convinced
kũruga	cook
kũruga	cooking
wega	cool
ũiguano	cooperation
kũhiũrania	cope
gĩcango	copper
bata	core
mbegũ	corn
ituri	corner
ũrĩa kwagĩrĩire	correct
thogora	cost
matonyo	costume
mũciĩ mũnene	cottage
katoni	cotton
gĩtĩ	couch
gukorora	cough
no kũhoteke	could
kanjũ	council
gũtara	count
kabati	counter
gũcokeria	counter
bũrũri	country
gĩcagi	countryside
mũthuri na mũtumia	couple
ũmĩrĩru	courage
mathomo	course
igooti	court
ũtugi	courtesy
mũihwa	cousin
kuhumbira	cover
ng'ombe	cow
kiguoya	coward
gũcanjamũka	cozy
Kĩrwere	crab
gwatũra	crack
ngaari cia ita	craft
hũra rũhĩ	crap
kũguthana	crash
kũgĩa na merirĩria	craving
gũkuruma	crawl
muguruki	crazy
kũũmba	create
ũũmbi	creative
thiirĩ	credit
gũtamba	creep
kĩrumi	creepy
aruti a wira	crew
wĩki-naĩ	crime
guconoka	cringe
thĩna	crisis
mĩtaratara	criteria
mũritũ	critical
gũtetia	criticism
mũmera	crop
mĩmera	crops
kũhĩtũka	cross
kĩgogo	crow
kĩrĩndĩ	crowd
andũ aingĩ	crowded
thũmbĩ	crown
undu wa bata	crucial
kĩnyararo	cruel
rũgendo-inĩ	cruise
kũhũũra	crush
kũĩrĩra	cry
rũkiri	cucumber
kũnyitana	cuddle
unduire	culture
ũhinga	cunning
gĩkombe	cup
kabati	cupboard
kũrigĩrĩria	curb
kũhonia	cure
mũhingo	curfew
kwenda kumenya	curiosity
kwenda kũmenya	curious
gũkunja	curly
mbeca	currency
kia riu	current
huho	current
rĩu	currently
kĩrumi	curse
gitambaya	curtain
muuto	cushion
mũtugo	custom
mũguri	customer
thogora wa thĩ	customs
gũtinia	cut
githaka	cute
mũthiũrũrũko	cycle
gũtwarithia maithikiri	cycling
ithe witũ	dad
baba	daddy
o mũthenya	daily
iria	dairy
gĩthima	dam
guthukia	damage
kũmaka	damn
gũtee	damp
gũthũngũtha	dance
ũgwati	danger
ũgwati	dangerous
nduma	dark
mwendwa wakwa	darling
kũhagũrania	dash
ũhoro	data
mũthenya	date
mwarĩ	daughter
mũthenya	day
akuĩte	dead
ihinda rĩrĩa rĩagĩrĩire	deadline
gĩtaigua	deaf
kũiguithania	deal
mwendwa	dear
Arata akwa othe	Dear All
Mũguri Mwendwa	Dear Customer
Aciari Endwa	Dear Parents
Mũthuri mwende	Dear Sir
Arutwo akwa endwa	Dear students
Gĩkundi nyendete	Dear Team
gĩkuũ	death
ndeereti	debate
gũkuua	debit
gĩko	debris
thiirĩ	debt
mĩaka ikũmi	decade
gũbutha	decay
mũkuũ	deceased
kũheenia	deceive
weri wa ikumi na irĩ	december
mwega	decent
gũtua itua	decide
gũtua itua	decided
itua	decision
thĩ wa meri	deck
gutiga	decline
kũnyiha	decrease
kwĩrutĩra	dedicated
kwĩrutira	dedication
gĩiko	deed
kũrika	deep
thwariga	deer
gĩthimi	default
gũtoorio	defeat
kũgitĩra	defend
gũtaarĩria	define
hatarĩ nganja	definitely
gũtaarĩria	definition
digirii	degree
guikaria	delay
gũikario	delayed
gũtharia	delete
akĩmenyega	deliberate
kĩngĩkua ihenya	delicate
cama muno	delicious
gĩkeno	delight
nĩ ndakena mũno	delighted
gũtwara	deliver
kũrutwo	delivered
mũtaratara wa gũtuma mĩrigo	delivery
mabataro	demand
kũbatarania	demanding
demokrasia	democracy
ndaimono	demon
kuonania	demonstrate
kũregwo	denied
ũingĩ	density
ndagĩtarĩ wa magego	dentist
kũregana	deny
rũhonge	department
gũthiĩ	departure
kũringana	depend
gũtũma	deploy
mbeca cia kũigĩrĩra	deposit
gũkorwo na meciria	depressed
gũkua ngoro	depression
ũriku	depth
gũtaarĩria	describe
gũtariria	description
werũ-inĩ	desert
nĩ njagĩrĩirwo	deserve
ũumbi	design
gũthuurwo	designation
merirĩria	desire
metha	desk
gũkua ngoro	despair
gũkua ngoro	desperate
o na gũtuĩka	despite
kĩndũ gĩa kũria thutha wa irio	dessert
kũrĩa ũrathiĩ	destination
mũtũũrĩre	destiny
kũiganu	destroy
kũniinwo	destruction
ũhoro mũingĩ	detail
ũhoro makĩria	details
kũhithuria	detect
gũtua itua	determination
gũtuĩra	determine
gũtuĩrũo	determined
ndĩ na ihooru	devastated
gũkũria	develop
gĩthondekagwo	developed
ũthii wa na mbere	development
kĩndũ	device
mũcukani	devil
kwĩrutĩra	devoted
Dhivehi	Dhivehi
mũrimũ wa cukari	diabetes
kũhara	diarrhea
ibuku ria mibango	diary
dictionary	dictionary
nĩ ekire	did
gũkua	die
akuĩte	died
irio	diet
ngũrani	difference
ngũrani	different
kĩritũ	difficult
kũrĩma	dig
gĩtĩo	dignity
kwĩrutanĩria	diligent
irio cia hwaĩ-inĩ	dinner
kũrikia	dip
ĩmwe kwa ĩmwe	direct
ũtongoria	direction
mũtongoria	director
gĩiko	dirt
gĩko	dirty
kũremwo	disable
mũndũ ũtarĩ na ũhoti	disabled
kũura	disappear
nĩ ndaiguire ũũru mũno	disappointed
gĩcanjama	disaster
gũtee	discard
kũrekererio	discharge
kũrũngwo mutugo	discipline
thogora mutinie	discount
gũcaria	discover
kũmenya	discover
mũthutũkanio	discrimination
kwaranĩria	discuss
mĩario	discussion
mũrimũ	disease
mĩrimũ	diseases
kwĩhitha	disguise
kiuru	disgusting
mbakuri	dish
thani	dishes
kũrekererio	dismiss
gũtwarithia	dispatch
wonnania	display
gũtee	disposal
ngarari	dispute
ũraihu	distance
ngũrani	distinct
gũkũũrana	distinguish
mĩnyamaro.	distress
gũtheremia	distribution
gĩcigo	district
kũgiya	disturb
mũtaro	ditch
kũrika	dive
mĩthemba mĩingĩ	diverse
ũtiganu	diversity
kũgayania	divide
ungai	divine
ndigano	divorce
thiurura	dizzy
gwĩka	do
hihi wee	do you
hihi nĩ ũnyendete	do you love me
ndagĩtarĩ	doctor
marũa	document
nĩ ĩrutaga	does
ti ũguo	doesn't
ngui	dog
Dogri	Dogri
gwĩka	doing
ndori	doll
ng’ongo	domain
indo cia mũcii	domestic
kũingĩha	dominant
ndũkareke	don't
Ndũkamake	Don't worry
kũheana	donate
gutiriha	done
ndigiri	donkey
ndawa cia kũrebia	dope
maita merĩ	double
nganja	doubt
mũtu	dough
thĩ	down
gũthikũra	download
riandikithia	draft
gũcora	draft
gũkururia	drag
guitirira	drain
mũthako wa ngerekano	drama
gũcora	draw
kabati	drawer
mũcoro	drawing
guoya	dread
kĩroto	dream
nguo	dress
kwenja	drill
kũnyua	drink
gũtwarithia	drive
kũgũithia	drop
kũgũithio	dropped
ng'aragu	drought
kũnyua	drunk
kĩumũ	dry
mbata	duck
mũndu ũyũ	dude
nĩ ũndũ	due
nĩ ũndũ wa	due to
mukigu	dull
kĩrimũ	dumb
gutee	dump
ihinda rĩayo	duration
hĩndĩ ya	during
rũkũngũ	dust
wuigiririki	duty
gũikara	dwell
gũkua	dying
o kindu	each
o mũndũ	each
mũndũ na ũrĩa ũngĩ	each other
na wetereri	eager
nderi	eagle
gũtũ	ear
mbere ĩyo	earlier
tene mũno	early
gũthukuma	earn
matũ	ears
thĩ	earth
gĩthingithia	earthquake
ũhũthũ	ease
ũhũthũ	easily
mwena wa irathĩro	east
muhuthu	easy
kũrĩa	eat
kũrĩa	eating
ũtonga	economic
ũtonga	economy
muthiya	edge
wandĩki	edit
gĩthomo	education
moimĩrĩra	effect
ũmithio	effective
ũmithio	efficiency
kũruta wĩra wega	efficient
kĩyo	effort
itũmbĩ	egg
mbiriganya	eggplant
kwĩyenda	ego
inyanya	eight
ikũmi na inyanya	eighteen
mĩrongo ĩnana	eighty
o na kana	either
gũtariria	elaborate
kĩgokora	elbow
mũthuri wa kĩũngano	elder
mũndũ mũkũrũ	elder
andũ akũrũ	elderly
gĩthaka	elegant
gĩcunjĩ	element
njogu	elephant
ikũmi na ĩmwe	eleven
kũhoteka	eligible
kũniina	eliminate
mangĩ	else
kũigua thoni	embarrassed
kũigua thoni	embarrassing
kũhĩmbĩria	embrace
kũmĩra	emerge
hĩndĩ ya ũgwati	emergency
ngoro-inĩ	emotional
ũiguaniri tha	empathy
gũkinyiriria	emphasis
gũkinyiriria	emphasize
mwandikwo	employee
mwandĩkwo	employees
mwandikani	employer
kwandikwo	employment
gũtari kindu	empty
kũhotithia	enable
gũcemania	encounter
kuumiriria	encourage
mũthia	end
irĩ ũgwati-inĩ	endangered
kũgeria	endeavor
ũkirĩrĩria	endurance
gũkirĩrĩria	endure
thũ	enemy
hinya	energy
kũingĩra	engage
kũhikania	engaged
kũhikania	engagement
injinĩ	engine
injinia	engineer
Gĩthũngũ	English
gwĩkĩra hinya	enhance
gũkenera	enjoy
nĩ mũnene mũno	enormous
Njiganu	enough
gũtigĩrĩra	ensure
ingĩra	enter
maũndũ ma gwĩkenia	entertainment
ũcamba	enthusiasm
na kĩyo	enthusiastic
gĩothe	entire
wagĩrĩirũo	entitled
rũhonge	entity
kuingĩrĩra	entrance
mũbiacara	entrepreneur
mbahaca	envelope
ithaka	environment
ũiru	envy
rũgano rũnene	epic
kĩngũki	epidemic
ĩiganaine	equal
indo cia gwĩkĩra	equipment
ũigananu	equity
kũiganana	equivalent
kĩndu gia gutharia	eraser
mahĩtia	error
kũũra	escape
makĩria	especially
ũhoro mwandĩke	essay
ũrĩa atariĩ	essence
bata mũno	essential
kwambiriria	establish
gwakwo	established
nyũmba	estate
kugeragĩria	estimate
kũgerekania	estimated
na mangĩ maingĩ	etc
tene na tene	eternal
mĩtugo	ethics
gũthima	evaluate
gũthuthuria	evaluation
nginya	even
o na gũtuĩka	even though
hwaĩ-inĩ	evening
iruga	event
thutha-inĩ	eventually
hĩndĩ ciothe	ever
o mũndũ	every
andũ othe	everybody
andũ othe	everyone
maũndũ mothe	everything
ũira	evidence
ũũru	evil
ũgarũrũku	evolution
gũcenjia	evolve
Ewe	Ewe
mwendwa wa tene	ex
ihaanaine	exact
ũguo noguo	exactly
kĩgerio	exam
gũthuthuria	examine
ngerekano	example
gũkĩra	exceed
wega mũno	excellent
tiga o	except
ũgarũrũku	exception
nyingĩ mũno	excess
mũkiru	excessive
gũcenjia	exchange
ndakenete	excited
gũcanjamũka	excitement
kĩega	exciting
kĩene	exclusive
mũhera	excuse
ndakuhoya unjitikirie	excuse me
kũhingia	execute
kũraga mwohwo	execution
mũtongoria	executive
gwika mazoezi	exercise
kũnina	exhaust
kũnogio	exhausted
ũira	exhibit
monanio	exhibition
nĩ kũrĩ	exist
gũtũũra	existence
iria irĩ kuo	existing
kuuma	exit
kwararama	expand
twĩrĩgĩrĩire	expect
ũrĩa werĩgĩrĩirũo	expected
mahuthiro	expenses
thogora wa goro	expensive
ũmenyeru	experience
kĩgeranio	experiment
mũtaaramu	expert
rĩgathira	expired
taarĩria	explain
gutarĩrio	explanation
kũhũthĩra ũũru	exploit
gũtuiria	explore
gũtwara indo njaa wa bururi	export
kũhithũria	expose
kũonanio	exposed
kuonania	exposure
kũonania	express
ciugo	expression
kwaramia	extend
