nnye	a little
gakgamatsa	awesome
boitshegang	awesome
bosula	awful
matlhogole	awkward
Aymara	Aymara
lesea	baby
kgope	bachelor
morago	back
lemorago	background
maswe	bad
kgetsana	bag
phephiso	bait
baka	bake
lebaka	bakery
sota e e bakang	baking soda
lekalekanya	balance
selekanyo	balance
bolo	ball
Bambara	Bambara
panana	banana
setlhopha	band
itaanya	bang
banka	bank
bara	bar
kgoreletso	bar
kgoreletsa	bar
sa	barely
sesolo	bargain
lekwati	bark
bali	barley
thibedi	barrier
motheo	base
letlase	base
ikaega	based
tswa kwa	based
boalo kafa tlase ga kago	basement
theo	basic
sa motheo	basically
beisele	basil
ngwana wa dikgora	bastard
setlhopha	batch
bata	bath
phaposibotlhapelo	bathroom
beteri	battery
ntwa	battle
kgogometso	bay
nna	be
ela tlhoko	be careful
letshitshi	beach
letlhasedi	beam
dinawa	beans
bera	bear
sikara	bear
belega	bear
tedu	beard
tshotse	bearing
sebatana	beast
fenya	beat
betsa	beat
ntle	beautiful
bontle	beauty
nnile le	became
ka gore	because
nna	become
bolao	bed
phaposi ya borobalo	bedroom
notshi	bee
nama ya kgomo	beef
kile	been
biri	beer
pele	before
simolotse	began
simolola	begin
tshimologo	beginning
mo boemong	behalf
itshola	behave
boitsholo	behavior
maitshwaro	behaviour
kwa morago	behind
e leng	being
tumelo	belief
dumelang	believe
mpa	belly
ya	belong
moratiwa	beloved
fa tlase	below
lebanta	belt
setulo	bench
oba	bend
kwa tlase	beneath
bona molemo	benefit
thuso	benefit
mesola	benefits
ntle le	beside
fa thoko	beside
ntle le	besides
gaisa	best
nala	best of luck
katlego	best of luck
masego	best of luck
weno	best regards
botoka	better
magareng ga	between
seno	beverage
go feta	beyond
Bhojpuri	Bhojpuri
nna mo letlhakoreng la	bias
tsaya letlhakore	biased
baesekele	bicycle
raya	bid
bitsa	bid
laletsa	bid
kgolo	big
baeke	bike
tuediso	bill
molomo wa nonyane	bill
bofa	bind
nonyane	bird
letsatsi la botsalo	birthday
nnye	bit
loma	bite
utlwile botllhoko	bitter
bogalaka	bitter
ntsho	black
legare	blade
tshwaya phoso	blame
lelea	blank
kobo	blanket
thuba	blast
go thuntsa	bleach
tlhakanya	blend
segofatsa	bless
segofetse	blessed
foufetse	blind
boitumelo	bliss
thibela	block
madi	blood
sethunya	bloom
thunya	bloom
letsa	blow
botala jwa legodimo	blue
botswa	blunt
boto	board
palama	board
mokoro	boat
mmele	body
bedisa	boil
bela	boil
pelokgale	bold
kgolagano	bond
lerapo	bone
buka	book
godisa	boost
tlaleletso	booster
butshe	boot
butu	boot
dibutshe	boots
thetha	border
molelwane	border
boro	bore
fetlhela	bore
tshwarwa ke bodutu	bored
tshwarisa bodutu	boring
belegwe	born
adima	borrow
kgolokwane	boss
mothapi	boss
bobedi	both
tshwenya	bother
botlolo	bottle
tlase	bottom
rekile	bought
tlola	bounce
golegwa	bound
sekhutlo	bound
molelwane	bound
molelwane	boundaries
obama	bow
bora	bow
sejana	bowl
lebokoso	box
mosimane	boy
lekau	boyfriend
leseka	bracelet
boboko	brain
lekala	branch
letshwao	brand
tshwaya	brand
pelokgale	brave
tlola	breach
senkgwe	bread
boikhutso	break
thuba	break
roba	break
difitlholo	breakfast
letsele	breast
khemo	breath
hema	breathe
tsal	breed
mofuta	breed
godisa	breed
setene	brick
monyadiwa	bride
borogo	bridge
khutshwane	brief
phatsima	bright
botlhale	brilliant
manontlhotlho	brilliant
tlisa	bring
abuti	bro
atlhama	broad
kgaso	broadcast
botlhoka madi	broke
robegile	broke
robegile	broken
lefeelo	broom
morwarre	brother
mogwe	brother in law
tlisitse	brought
tlhokwa	brown
ntlhwa	brown
boratšhe	brush
kgameleo	bucket
tsala	buddy
tekanyetso	budget
tsitsiri	bug
aga	build
kago	building
agile	built
kgoboko	bulk
pholo	bull
mokgerisi	bully
borurusa	bump
ngata	bunch
lesitlha	bunch
ngata	bundle
phutela	bundle
morwalo	burden
fitlha	buried
fisa	burn
thuba	burst
fitlha	bury
bese	bus
setlhatlha	bush
sekgwa	bush
kgwebo	business
thuba	bust
tshwaregile	busy
mme	but
fa e se	but
botoro	butter
serurubele	butterfly
konopo	button
reka	buy
fa	by
ka	by
kana	by the way
tsamaya sentle	bye
sala sentle	bye
khabetšhe	cabbage
kabinete	cabinet
kheišhe	cage
kuku	cake
namane	calf
bitsa	call
letsa mogala	call
nteletsa	call me
mpitsa	call me
biditse	called
biditswe	called
tshisibalo	calm
tlile	came
letsholo	campaign
kgona	can
ka	can
kake	can't
Phimola	Cancel
kankere	cancer
kgona	capable
bokgoni	capacity
motsemošhate	capital
madi a go simolola kgwebo	capital
khepošene	caption
go gapa	capture
koloi	car
mokgwa wa go itshetsa le tswelelopele	career
kelotlhoko	careful
ka kelotlhoko	carefully
go sa kgathalele	careless
pelontle	caring
mmetli wa dikgong	carpenter
khapete	carpet
segwete	carrot
tshola	carry
tswelela	carry on
ntshetsapele	carry out
kgetsi	case
madi a seatleng	cash
latlhela	cast
khasetlele	castle
go sa tseye tsiya	casual
nakwana	casual
katse	cat
tshwara	catch
setlhopha	category
dikgomo	cattle
tshwere	caught
baka	cause
kgakololo	caution
kelotlhoko	cautious
legaga	cave
emisa	cease
sileng	ceiling
keteka	celebrate
sele	cell
borakanelo	center
bogare	center
ngwagakgolo	century
ditsele	cereal
mokete	ceremony
tlhomamisa	certain
rileng	certain
ruri	certainly
setifikeiti	certificate
ketane	chain
setulo	chair
gwetlha	challenge
kgwetlho	challenge
tšhono	chance
fetola	change
mmudubudu	chaos
motshameki	character
semelo	character
dipharologantsho	characteristics
latofatsa	charge
duedisa	charge
laya	charge
dikatso	charity
kgatlha	charming
tšhate	chart
lelekisa	chase
tlotla	chat
tlhwatlhwatlase	cheap
tsietsa	cheat
tsietsa	cheating
tlhola	check
lerama	cheek
duduetsa	cheer
nametsa	cheer
itumetse	cheerful
cheers	cheers
tšhisi	cheese
khemeseteri	chemistry
rata	cherish
tšhese	chess
sehuba	chest
tlhafuna	chew
koko	chicken
kgosi	chief
ngwana	child
bongwana	childhood
bana	children
iketle	chill
tšhemele	chimneys
seledu	chin
tšhokolete	chocolate
tlhopho	choice
tlhopha	choose
fatsa	chop
ditiro	chores
nonne	chubby
kereke	church
sinamone	cinnamon
sediko	circle
maemo	circumstances
moagi	citizen
teropokgolo	city
tatalala	claim
itshekisa	clarify
tlhalosa	clarify
tlelase	class
mmopa	clay
phepa	clean
phepa	clear
tlelereke	clerk
botlhale	clever
moreki	client
logaga	cliff
tlelaemete	climate
pagama	climb
ngaparela	clingy
orolose	clock
tswala	close
tlelosete	closet
lesela	cloth
diaparo	clothes
leru	cloud
maru a thibili	cloudy
radiserekisi	clown
lesedi	clue
marorongwane	clumsy
sebothwana	cluster
mokatisi	coach
legala	coal
lebopo	coast
baki	coat
kofi	coffee
tsa tlhaloganyo	cognitive
kwelano	coincidence
tsididi	cold
phutlhama	collapse
koloro	collar
modirammogo	colleague
badirammogo	colleagues
tsaya	collect
kgobokanyo	collection
kholeiji	college
mmala	color
dikakanyo tse ditala tse d se nang mmala di robetse ka natla	colorless green ideas slept furiously
mmala	colour
kholomo	column
kama	comb
kamo	comb
kopanyo	combination
kopanya	combine
tlaya	come
tla kwano	come here
tlaya	come on
gomotsa	comfort
kgomotso	comfort
phuthuloga	comfortable
tlang	coming
ya tla mo bogautshwaneng	coming soon
taelo	command
laela	command
akgela	comment
tsa kgwebo	commercial
khomišhene	commission
ineela	commit
boineelo	commitment
ineetse	committed
phatlho	commodity
tlwaelesegile	common
tlhaeletsana	communicate
tlhaeletsano	communication
baagi	community
go ya tirong le go boela gae ka gale	commute
fetola	commute
molekane	companion
setlhopha	company
setlamo	company
tshwantshanya	compare
papiso	comparison
boutlwelobotlhoko	compassion
utlwela botlhoko	compassionate
tshwanelana	compatible
gaisana	compete
na le bokgoni	competent
kgaisano	competition
gaisana	competitive
ngongorega	complain
ngongorego	complaint
akgola	complement
fetsa	complete
ka botlalo	completely
marara	complex
latela melao	compliance
raraane	complicated
tlotlomatso	compliment
obamela	comply
tlhamo	composition
kompone	compound
tswako	compound
tswaka	compound
tlhaloganyo	comprehension
feleletseng	comprehensive
ineela	compromise
pateletsega	compulsory
khomphiuta	computer
kopanya	concentrate
tebisa mogopolo	concentrate
kgopolo	concept
matshwenyego	concern
tshwenyegile	concerned
konsarata	concert
konosetso	conclusion
konkereite	concrete
mmatota	concrete
maemo	condition
maemo	conditions
mokgwa	conduct
tsamaiso	conduct
khonferense	conference
ipolela	confess
boitshepi	confidence
itshepile	confident
tlhomamisa	confirm
kgotlhang	conflict
etsaetsega	confused
kgamarego	confusion
mapetepete	confusion
re motlotlo ka wena	congrats
kakgolo	congratulation
re a go akgola	congratulations
lekopanyi	conjunction
kopanya	connect
fenya	conquer
lemoga	conscious
boitemogo	consciousness
tetla	consent
ditlamorago	consequences
tshomarelo	conservation
konsebetifi	conservative
akanya	consider
tseile gore	considered
na le	consist
tlhomamo	consistency
tlhomama	consistent
sa fetogeng	constant
ka go sa fetogeng	constantly
pipelo	constipation
kago	construction
ja	consume
tiriso	consumption
kgolagano	contact
tshelanang	contagious
na le	contain
na le	contains
sešweng	contemporary
lenyatso	contempt
diteng	content
kgaisano	contest
ganela	contest
tlhabana	contest
bokao	context
kontinente	continent
tswelela	continue
koteraka	contract
farologanya	contrast
pharologanyo	contrast
atswa	contribute
katso	contribution
taolo	control
laola	control
ya kganatseno	controversial
tshiamelo	convenience
siametse	convenient
motlotlo	conversation
fetola	convert
mosokologi	convert
fetisa	convey
fea	convince
fentswe	convinced
tlhomamisegile	convinced
apaya	cook
apeile	cooking
tsiditsana	cool
tirisanommogo	cooperation
emelana	cope
koporo	copper
konokono	core
mmidi	corn
sekhutlo	corner
nepile	correct
tlhwatlhwa	cost
khosetšhumu	costume
thutsana	cottage
letseta	cotton
tlhale	cotton
soufa	couch
gotlhola	cough
ka	could
khansele	council
bala	count
ganetsa	counter
khaontara	counter
sebadisi	counter
naga	country
magaeng	countryside
baratani	couple
bogatlhamelamasisi	courage
motlhala	course
kgotlatshekelo	court
tlotlo	courtesy
ntsala	cousin
bipa	cover
kgomo	cow
legatlapa	coward
boiketlo	cozy
lekakauwe	crab
phatloga	crack
botswerere	craft
matlakala	crap
thula	crash
thulano	crash
keletso	craving
gagaba	crawl
makatsang	crazy
tsenwa	crazy
bopa	create
go bopa	creative
keretiti	credit
gagaba	creep
tsitsibanya mmele	creepy
setlhopha	crew
bosenyi	crime
ingodis	cringe
dipharagobe	crisis
dikaelo	criteria
botlhokwa	critical
tshekatsheko	criticism
kgalo	criticism
ngotla	crop
thobo	crop
sejalo	crop
dijalo	crops
tlola	cross
sefapano	cross
legakabe	crow
boididi	crowd
bokanetse	crowded
serwalo sa bogosi	crown
botlhokwa thata	crucial
setlhogo	cruel
pitla	crush
lela	cry
komokomore	cucumber
tlamparela	cuddle
setso	culture
boferefere	cunning
kopi	cup
raka	cupboard
thibela	curb
alafa	cure
Nako e o e beetsweng	curfew
šwegašwega	curiosity
go batla go itse	curious
mo go gakgamatsang	curious
itshopileng	curly
madi	currency
moela	current
ga jaana	current
ga jaana	currently
hutsa	curse
phutso	curse
garetene	curtain
mosamo	cushion
garela	cushion
lekgetho la dithoto	custom
tlwaelo	custom
moreki	customer
letso	customs
makgetho	customs
sega	cut
ntlenyane	cute
saekela	cycle
go palama baesekele	cycling
rre	dad
papa	daddy
ka letsatsi	daily
teiri	dairy
letamo	dam
tama	dam
senya	damage
tshenyo	damage
bongola	damp
bina	dance
kotsi	danger
kotsi	dangerous
lefifi	dark
moratiwa	darling
phatlanya	dash
thaladi	dash
deitha	data
dinewane	data
letlha	date
morwadi	daughter
letsatsi	day
sule	dead
letlha le le beilweng	deadline
susu	deaf
tumelano	deal
tlhwatlhwa	dear
ratega	dear
Botlhe ba ba Rategang	Dear All
moreki yo tlotlegang	Dear Customer
Batsadi ba ba Tlotlegang	Dear Parents
Morena yo o Tlotlegang	Dear Sir
Baithuti ba ba tlotlegang	Dear students
Setlhopha se se Rategang	Dear Team
leso	death
ngangisano	debate
tebita	debit
molato	debit
matlhekge	debris
molato	debt
ngwagasome	decade
bola	decay
tlhokafetseng	deceased
tsietsa	deceive
sedimonthole	december
ntle	decent
swetsa	decide
sweditse	decided
tshwetso	decision
kgabisa	deck
gana	decline
fokotsa	decrease
phokotso	decrease
ineetse	dedicated
boineelo	dedication
tiro	deed
kwa teng	deep
kgama	deer
tlhokomologo	default
fenya	defeat
emela	defend
tlhalosa	define
totatota	definitely
tlhaloso	definition
dikirii	degree
dia	delay
diegisitswe	delayed
phimola	delete
akanya	deliberate
ka boomo	deliberate
thubegang	delicate
temeka	delicate
balola	delicious
itumelela	delight
itumetse	delighted
go gololola	deliver
go rebola	deliver
rebotswe	delivered
golotswe	delivered
thebolo	delivery
topo	demand
sa kgotsofale	demanding
temokerasi	democracy
letimona	demon
supetsa	demonstrate
ganetse	denied
kitlano	density
ngaka ya meno	dentist
ganela	deny
lefapha	department
pololo	departure
ikaega	depend
romela	deploy
beeletsa	deposit
gateletswe maikutlo	depressed
kgatelelo ya maikutlo	depression
boteng	depth
tlhalosa	describe
tlhaloso	description
sekaka	desert
tshwanelwa	deserve
setshwantsho	design
inakemo	designation
keletso	desire
deseke	desk
tsholofologo	despair
thata	desperate
solofoga	desperate
le mororo	despite
phuting	dessert
kwa go iwang teng	destination
isagwe	destiny
tlholelo	destiny
senya	destroy
tshenyo	destruction
ntlha	detail
dintlha	details
fitlhela	detect
boikaelelo	determination
ikaelela	determine
ikemiseditse	determined
utlwile botlhoko	devastated
tlhabolola	develop
tlhabolotse	developed
tlhabololo	development
sediriswa	device
tiabolo	devil
ineetse	devoted
Dhivehi	Dhivehi
daebitise	diabetes
letshololo	diarrhea
tayari	diary
thanodi	dictionary
dirile	did
swa	die
tlhokafala	die
sule	died
dijo	diet
pharologano	difference
farologane	different
thata	difficult
epa	dig
seriti	dignity
ineetse	diligent
dilalelo	dinner
ina	dip
laela	direct
ntlha	direction
mokaedi	director
leswe	dirt
leswe	dirty
nonofolotsa	disable
koafatsa	disable
ntshitswe mo tirirsong	disabled
na le bogwele	disabled
nyelela	disappear
swabile	disappointed
masetlapelo	disaster
latlha	discard
tswile	discharge
kgololo	discharge
kgalemo	discipline
boineelo	discipline
phokotsotlhwatlhwa	discount
fitlhela	discover
kgethololo	discrimination
buisana	discuss
puisano	discussion
bolwetse	disease
malwetse	diseases
iphitlhile	disguise
ferosa dibete	disgusting
sejana	dish
dijo	dish
dijana	dishes
leleka	dismiss
fofotsa	dispatch
tshupetso	display
go latlha	disposal
ganetsanya	dispute
sebaka	distance
farologanya	distinct
farologanya	distinguish
tlalelo	distress
phatlalatso	distribution
kgaolo	district
kgoreletsa	disturb
latlha	ditch
mosima	ditch
kodumela	dive
farologane	diverse
pharologanyo	diversity
aroganya	divide
semodimo	divine
tlhalo	divorce
tsewa ke sedidi	dizzy
dira	do
a o	do you
a wa nthata	do you love me
ngaka	doctor
tokomane	document
dira	does
ga	doesn't
ntša	dog
Dogri	Dogri
dira	doing
mpopi	doll
lephata	domain
tsa selegae	domestic
phekeetsi	dominant
se ka	don't
Se tshwenyege	Don't worry
aba	donate
dirile	done
tonki	donkey
diritibatsi	dope
ntle	dope
gabedi	double
belaela	doubt
tege	dough
kwa tlase	down
laisolola	download
tlhomo	draft
goga	drag
minolosa	drain
mosele	drain
terama	drama
goga	draw
taka	draw
torowara	drawer
setshwantsho	drawing
a taka	drawing
boifa	dread
poborano	dread
lora	dream
mosese	dress
fetlha	drill
phunya	drill
nwa	drink
kgweetsa	drive
diga	drop
lerothodi	drop
rotha	drop
digile	dropped
lešekere	drought
nwele	drunk
tagilwe	drunk
omile	dry
pidipidi	duck
mothaka	dude
tshwanelo	due
ka ntlha ya	due to
letobo	dull
mumu	dumb
latlhela	dump
paka	duration
ka nako ya	during
lerole	dust
tiro	duty
nna	dwell
swang	dying
nngwe le nngwe	each
o mongwe le o mongwe	each other
tlhwaafala	eager
ntsu	eagle
tsebe	ear
pelenyana ga foo	earlier
go sa le gale	early
amogela	earn
ditsebe	ears
lefatshe	earth
thoromo ya lefatshe	earthquake
boiketlo	ease
bonolo	easily
botlhaba	east
bonolo	easy
jaanong	eat
a ja	eating
tsa ekonomi	economic
ikonomi	economy
losi	edge
lelepe	edge
tseleganya	edit
thuto	education
tirafatso	effect
dira	effect
motia	effective
bokgoni	efficiency
nonofile	efficient
boiteko	effort
lee	egg
ekepolante	eggplant
boikgopolo	ego
robedi	eight
lesome le borobedi	eighteen
masome a robedi	eighty
le fa e le	either
tlhalosa go ya pele	elaborate
sekgono	elbow
mogolo	elder
bagolo	elderly
golo	elderly
ntle	elegant
ntlha	element
tlou	elephant
lesome le bongwe	eleven
senkega	eligible
fedisa	eliminate
nngwe	else
swabile	embarrassed
swabisang	embarrassing
kampa	embrace
tlhagelela	emerge
tshoganyetso	emergency
thuba maikutlo	emotional
kakanyetso ya ba bangwe	empathy
kgatelelo	emphasis
gatelela	emphasize
mothapiwa	employee
bathapiwa	employees
mothapi	employer
tiro	employment
leafatsa	empty
lolea	empty
kgontsha	enable
kopano	encounter
rotloetsa	encourage
bokhutlo	end
fetsa	end
mo kotsing	endangered
leka	endeavor
boitsholo	endurance
itshoka	endure
sera	enemy
maatla	energy
beeletsa	engage
mo tirisong	engaged
beeleditswe	engaged
peeletso	engagement
kgolagano	engagement
enjine	engine
moenjiniere	engineer
Seesimane	English
tokafatsa	enhance
natefelelwa	enjoy
kgolo	enormous
lekane	enough
netefatsa	ensure
tsenya	enter
tsena	enter
boitumediso	entertainment
phisego	enthusiasm
mafolofolo	enthusiastic
otlhe	entire
tshwanetswe	entitled
setlhogo se se reng	entitled
setlamo	entity
botseno	entrance
mogwebi	entrepreneur
enfolopo	envelope
tikologo	environment
tswela pelo	envy
kgolo	epic
ntle	epic
leroborobo	epidemic
lekana	equal
sediriswa	equipment
tekatekano	equity
lekanang	equivalent
tekano	equivalent
rabara	eraser
phoso	error
phalolo	escape
falola	escape
segolobogolo	especially
tlhamo	essay
palodisi	essence
boleng	essence
botlhokwa	essential
tlhomamisa	establish
tlhomamisitse	established
boswa	estate
fopholetsa	estimate
fopholetsa	estimated
jj	etc
bosafeleng	eternal
boiphapo	ethics
tlhotlhomisa	evaluate
tlhotlhomiso	evaluation
borethe	even
fela	even
le fa	even though
maitsibowa	evening
tiragalo	event
kgabagare	eventually
kile	ever
nngwe le nngwe	every
mongwe le mongwe	everybody
mongwe le mongwe	everyone
sengwe le sengwe	everything
bopaki	evidence
bosula	evil
tlhagalelo	evolution
fetoga	evolve
Ewe	Ewe
wa maloba	ex
tot	exact
fela	exactly
tlhatlhobo	exam
tlhatlhoba	examine
sekai	example
fetisa	exceed
gaisa	excellent
ntle le	except
phapogo	exception
fetisang	excess
feteletseng	excessive
refosana	exchange
gakatsega	excited
boitumelo	excitement
gakatsa	exciting
ka mo go feleletseng	exclusive
kgethegileng	exclusive
boipato	excuse
intshwarele	excuse me
diragatsa	execute
tiagatso	execution
khuduthamaga	executive
rutuntsha	exercise
lapisa	exhaust
phuegile	exhausted
bontsha	exhibit
pontsho	exhibition
nna teng	exist
boteng	existence
teng	existing
tswa	exit
atolosa	expand
lebelela	expect
solofetse	expected
ditšego	expenses
tlhwatlhwagodimo	expensive
maitemogelo	experience
tekeletso	experiment
moitseanape	expert
fedile	expired
tlhalosa	explain
tlhaloso	explanation
go ja ntsoma	exploit
batlisisa	explore
seromelwantle	export
romela ntle	export
senola	expose
senotswe	exposed
senola	exposed
pontsho	exposure
tlhagisa	express
polelo	expression
atolosa	extend
atolositswe	extended
katoloso	extension
bokgakala	extent
kwa ntle	external
bokontle	external
fela	extinct
koketso	extra
sentshwa	extract
go feta	extraordinary
thata	extreme
phetelela	extremely
leitlho	eye
matlho	eyes
lesela	fabric
-dinaane	fabulous
ntle	fabulous
sefatlhego	face
bebofatsa	facilitate
mafelo	facilities
kago	facility
bonnete	fact
lebaka	factor
katisani	factor
bodirelo	factory
dintlha	facts
nyelela	fade
retelelwa	fail
go sa falole	failed
go sa falole	failure
phoso	failure
idibala	faint
tekatekano	fair
borakanelo	fair
ntle	fair
feri	fairy
tumelo	faith
tshepagala	faithful
e seng ya nnete	fake
wa	fall
E SENG NNETE	false
tumo	fame
tlwaelesegile	familiar
lelapa	family
leuba	famine
tumile	famous
molatedi	fan
fene	fan
makgabisa	fancy
ntle	fantastic
kgakala	far
dumedisa	farewell
polase	farm
molemi	farmer
kgatlhisa	fascinating
fešhene	fashion
lebelo	fast
nonne	fat
se se bolayang	fatal
tlholelo	fate
rre	father
go lapa	fatigue
phoso	fault
mamoratwa	favorite
tlotla	favour
tlekeetsa	favour
thekegelo	favour
mmamoratwa	favourite
tshabo	fear
mokete	feast
lefofa	feather
popego	feature
nang le	features
dipopego	features
tlhakole	february
tenega	fed up
tuelo	fee
fepa	feed
pegelo	feedback
utlwa	feel
maikutlo	feeling
ikutlwa	feeling
diano	feet
wele	fell
mothaka	fellow
feelo	fellow
monkana	fellow
utlwile	felt
tshegadi	female
terata	fence
nonneng	fertile
o ka kgona go ima	fertile
moletlo	festival
tsaya	fetch
letshoroma	fever
nnye	few
bannye go	fewer
motho yo o beeleditsweng	fiance
ditlhamane	fiction
naga	field
bogale	fierce
lesome le botlhano	fifteen
masome a matlhano	fifty
lwa	fight
ntwa	fight
lwana	fighting
tlhakapalo	figure
popego	figure
leka go tlhaloganya	figure out
faele	file
tlatsa	fill
tletse	filled
filimi	film
leswe	filthy
kwa bokhutlong	finally
madi	finance
tsa madi	financial
fitlhela	find
batlisisa	find out
boleta	fine
tefiso	fine
ntle	fine
monwana	finger
fetsa	finish
feditse	finished
molelo	fire
koba	fire
feme	firm
tia	firm
ntlha	first
leina	first name
tlhapi	fish
tshwanela	fit
itekanetse	fit
kidibalo	fit
tlhano	five
baakanya	fix
siamisitse	fixed
folaga	flag
gadima	flash
sepapetla	flat
molato	flaw
ntle le molato	flawless
tshaba	flee
nama	flesh
fofile	flew
oba	flex
obega	flexible
phofo	flight
phetlha	flip
tshegatshegisa	flirt
tshegatshegisa	flirting
kokobala	float
kokobadi	float
morwalela	flood
boalo	floor
bupi	flour
elela	flow
sethunya	flower
mofikela	flu
nonofile	fluent
tlhapileng	fluent
elela	fluently
boleta	fluffy
seela	fluid
ntshi	fly
fofa	fly
toba	focus
mouwane	fog
go na le mouwane	foggy
mena	fold
batho	folks
batsadi	folks
