sere	a
kamara tindro	bedroom
lebah	bee
daging sapi	beef
le'ba	been
bir	beer
riolo	before
nimulai	began
pakarammula	begin
uru	beginning
kepentingan	behalf
panggaukan baji	behave
panggaukan	behavior
panggaukang	behaviour
ribokoang	behind
rupatau	being
kepercayaan	belief
tappa	believe
battang	belly
pata	belong
kesayangan	beloved
irawa	below
bangkuli	belt
kadera	bench
ammekko	bend
irawa	beneath
angnikmati	benefit
manfaat	benefit
manpa'a	benefits
risari	beside
lebana anjo	besides
paling baji	best
semoga berhasil	best of luck
sallang	best regards
bajikangngang	better
riallakna	between
inung	beverage
pantarang	beyond
Bhojpuri	Bhojpuri
bias	bias
bias	biased
sapeda	bicycle
pannawaran	bid
lompo	big
sapeda	bike
tagihan	bill
annyikko	bind
jangan jangan	bird
allo ulang taung	birthday
sekedde	bit
gigitan	bite
angngokko	bite
pai	bitter
lekleng	black
pa'dang	blade
menyalahkan	blame
kealahan	blame
kosong	blank
salimut	blanket
allapppo	blast
pakkebo	bleach
accampuru	blend
sare barakka	bless
abbarakka	blessed
buta	blind
kebahagiaan	bliss
amblokir	block
cera'	blood
bunga	bloom
anniup	blow
gau	blue
tippulu	blunt
papan	board
kappala	boat
kale	body
apparere	boil
barani	bold
appasisambung	bond
buku	bone
angpesang	book
bo'bo	book
annyorong	boost
dorongan	boost
appakaramula	booster
boot	boot
sapatu bot	boots
berbatasan	border
la'ju	bore
bosan	bored
bosang	boring
nilassukkan	born
angnginrang	borrow
bos	boss
rua ruana	both
angganggu	bother
botolo	bottle
dasara	bottom
ammalli	bought
allambung	bounce
allumpa	bound
batasan	boundaries
busur	bow
mangko	bowl
kota'	box
ana burakne	boy
bayoang	boyfriend
ponti	bracelet
ota	brain
cabang	branch
cap	brand
barani	brave
allanggara	breach
roti	bread
ammari	break
marimari	break
lamba lamba	breakfast
barambang	breast
nappasa	breath
anapasa	breathe
pammanakkang	breed
bata	brick
buntin baine	bride
appasisambung	bridge
singka	brief
singara	bright
akkila	brilliant
angngerang	bring
agan	bro
luara	broad
siaran	broadcast
bangkrut	broke
panra	broken
pa'barrasa	broom
andik	brother
saribbattang ipara	brother in law
leba angngerang	brought
cokkala	brown
sikat	brush
karanjeng	bucket
agan	buddy
ongkoso	budget
olo olo	bug
ambangung	build
bangunan	building
nipare	built
ilalang sanna jaina	bulk
banteng	bull
aggaratta	bully
allappo	bump
kalompok	bunch
bundalang	bundle
angbebani	burden
beban	burden
takkuburu	buried
attunu	burn
allappo	burst
akkuburu	bury
bis	bus
semak semak	bush
usaha	business
anrampa	bust
sibukki	busy
mingka	but
mentega	butter
kupu kupu	butterfly
tombolo	button
ammalli	buy
battu	by
omong omong	by the way
lammpa ma	bye
kubis	cabbage
kabinet	cabinet
kurungang	cage
kanre jawa	cake
ana sapi	calf
akkiok	call
kioki	call
nakke patatalipong	call me
nitalipong	called
sannang	calm
battumi	came
kampanye	campaign
akkulle	can
kulle	can
tena kulle	can't
Cmbatalkan	Cancel
kanker	cancer
akkulle	capable
bonena	capacity
modala	capital
keterangan	caption
nijakkala	capture
oto	car
karier	career
ati ati	careful
siagang ati ati	carefully
ceroboh	careless
angrawa	caring
tukang kayu	carpenter
karpe	carpet
wortel	carrot
angngerang	carry
allanjutkan	carry on
erang	carry out
kasus	case
doe kes	cash
pakarena	cast
kastil	castle
kasual	casual
miong	cat
ajjakkala	catch
kategori	category
temak	cattle
rijakkala	caught
passabakkan	cause
passaba	cause
appakainga	caution
waspada	cautious
goa	cave
ammantang	cease
langi langi	ceiling
aggau gau	celebrate
terungku	cell
tangnga	center
aba	century
sereal	cereal
upacara	ceremony
tappa	certain
tantu	certainly
sertifikat	certificate
rante	chain
kadera	chair
tantangan	challenge
annantang	challenge
peluang	chance
robai	change
karicuan	chaos
sipa'	character
karakteristik	characteristics
nia biayana	charge
amala	charity
appakalannasa	charming
bagan	chart
angngondang	chase
abbicara bicara	chat
obrolan	chat
lammoro	cheap
jekkongi	cheat
cecceng	cheating
paressa	check
ciniki	check
pipi	cheek
ammarrang	cheer
rannu	cheerful
bersulang	cheers
keju	cheese
kimia	chemistry
anghargai	cherish
catur	chess
barambang	chest
accakma	chew
jangang	chicken
katua	chief
ana	child
wattu ca'di	childhood
ana ana	children
sante	chill
sannang	chill
ammmarimari	chill
cerobong	chimneys
dagu	chin
cokelat	chocolate
pilihang	choice
ammilei	choose
anno'do no'do	chop
jaman ri balla	chores
tembam	chubby
gareja	church
kayu te'ne	cinnamon
bundala	circle
keadaan	circumstances
warga negara	citizen
kota	city
anggugak	claim
annuntuk	claim
appakasingara	clarify
kelas	class
butta lia	clay
annangkasi	clean
annangkasi	clear
tangkasa	clear
staf	clerk
carakdek	clever
klie	client
jurang	cliff
ikilin	climate
manja'	climb
addingkoleng	clingy
jang	clock
annongko	close
lamari	closet
kaeng	cloth
care care	clothes
rammang	cloud
awangi	cloudy
badut	clown
pappijojjo	clue
bata bata	clumsy
gugus	cluster
angngajara	coach
panngajara	coach
batu bara	coal
biring	coast
jas hujang	coat
kopi	coffee
kognitif	cognitive
kabatulan	coincidence
dinging	cold
runtung	collapse
kerah	collar
agang	colleague
kolega	colleagues
appanassa	collect
koleksi	collection
kampus	college
cora	color
Ide hijau tidak berwarna tidur dengan marah	colorless green ideas slept furiously
corak	colour
kolong	column
jangka	comb
kombinasi	combination
appagabung	combine
anrapi'	come
maeki	come here
ambe	come on
kanyammangngan	comfort
nyaman	comfortable
niaka battu sallang	coming
tettere nia	coming soon
ammarenta	command
komentar	comment
komersial	commercial
komisi	commission
anggaukan	commit
komitmen	commitment
berkomitmen	committed
komoditas	commodity
singkamma	common
appabattu	communicate
bicara	communication
tau jai	community
pajappangang	commute
pendamping	companion
perusahaan	company
ambandingkan	compare
perbandingan	comparison
pangngamaseyang	compassion
rassi pakamaseang	compassionate
kompatibel	compatible
bersaing	compete
kompeten	competent
kompetisi	competition
kompetitif	competitive
angngeluh	complain
akkunraren	complaint
melengkapi	complement
pelengkap	complement
pa'lebba	complete
sama sekali	completely
kompele	complex
kepatuhan	compliance
sokala	complicated
paganti	compliment
mematuhi	comply
komposisi	composition
appakase're	compound
pemahaman	comprehension
luara	comprehensive
berkompromi	compromise
kompromi	compromise
wajji	compulsory
komputer	computer
konsentrat	concentrate
konsep	concept
kabingungang	concern
kannawa nawang	concern
malla malla	concerned
konser	concert
kesimpulan	conclusion
annassa	concrete
beton	concrete
akkassa	concrete
kasiatta	condition
pakkasia	conditions
apaka nia	conduct
konferensi	conference
angngakui	confess
kepercayaan diri	confidence
tinggitappak	confident
pasicoco	confirm
besere	conflict
lingu	confused
lingu	confusion
salama	congrats
salama'	congratulation
salama'	congratulations
konjungsi	conjunction
menghubung	connect
anggaukan	conquer
gassing	conscious
nisadari	consciousness
persetujuan	consent
assitujui	consent
konsekuensi	consequences
konservasi	conservation
konservatif	conservative
tassereki	consider
nirekeng rekeng	considered
bonena iami	consist
konsisten	consistency
konsisten	consistent
konstan	constant
a'mole mole	constantly
sembelit	constipation
kontruksi	construction
ammake	consume
konsumsi	consumption
kontak	contact
angbuhungi	contact
menular	contagious
annassa	contain
angngandung	contains
kontemporer	contemporary
accalla	contempt
bonena	content
kontes	contest
konteka	context
benua	continent
appalanju	continue
anggontrak	contract
kontara	contract
assisala	contrast
pappisalaang	contrast
anyumbang	contribute
kontribusi	contribution
kontrol	control
kontroversial	controversial
kannyamanngan	convenience
assipa	convenient
pabbicarang	conversation
mullaf	convert
anrubah	convert
angngangkat	convey
meyakinkan	convince
yakin	convinced
koki	cook
appallu	cook
appallu	cooking
rammusuk	cool
dinging	cool
simaturuki	cooperation
angngatasi	cope
bassi	copper
poko	core
biralle	corn
sudu	corner
annaba	correct
berharga	cost
ongkoso	cost
baju	costume
pondok	cottage
kapasa	cotton
kadera	couch
ta'roko	cough
kulle	could
dewan	council
a'rekeng	count
annahan	counter
pakampongan	countryside
pasangan	couple
kabaranian	courage
kursus	course
pengadilan	court
kesopanan	courtesy
cikaling	cousin
annongkoki	cover
sapi	cow
pengecut	coward
nyaman	cozy
sikuyu	crab
reppe	crack
annreppekki	crack
keahlian	craft
omong kosong	crap
silappo	crash
allappo	crash
kaerokan	craving
merangkak	crawl
pongoro	crazy
appare	create
kreatif	creative
keredit	credit
tau aneh	creep
appakamalla malla	creepy
ana bua kappala	crew
kejahatan	crime
pakringgi ringikang	cringe
ringi ringi	cringe
karisis	crisis
kriteria	criteria
sarringi	critical
kritik	criticism
lamun lamun	crop
lamung lamungang	crops
salib	cross
allimbang	cross
jangan jangan gaga'	crow
kerumunan	crowd
apparisi barambang	crowded
mahkota	crown
parallu	crucial
kejam	cruel
pelayaran	cruise
ancuru	crush
reppeki	crush
ngarru	cry
timun	cucumber
siraka	cuddle
budaya	culture
licik	cunning
cangkiri	cup
lamari	cupboard
mengendalikan	curb
pabballe	cure
angballei	cure
jam malam	curfew
keerokan angngisseng	curiosity
penasaran	curious
gariting	curly
mata doe	currency
kamma-kamma anne	current
kamma kamma anne	currently
assumpah	curse
tirai	curtain
bantalan	cushion
kebiasaan	custom
paballi	customer
bea cukai	customs
potongan	cut
ammolong	cut
cammuri-muri	cute
siklus	cycle
assapeda	cycling
mangge	dad
mangge	daddy
allo allo	daily
susu	dairy
bendungang	dam
kapanrakang	damage
panra	damage
appakaballi ballisi	damn
lembap	damp
annari	dance
bahaya	danger
berbahaya	dangerous
sassang	dark
sayang	darling
a'lari	dash
data	data
tanggala	date
parjanjiang	date
sari'battang baine	daughter
allo	day
mate	dead
ammari mari	deadline
tongolo	deaf
paksinkamai	deal
sicocok	deal
daengku	dear
halo ia ngaseng	Dear All
Sambalu	Dear Customer
yang terhormat tau toa	Dear Parents
yang terhormat	Dear Sir
siswa paling ni ngai	Dear students
tim terhormat	Dear Team
kamateang	death
perdebatan	debate
appantama	debit
puing	debris
inrang	debt
dasawarsa	decade
membusuk	decay
almarhum	deceased
annipu	deceive
desember	december
baji	decent
assisala	decide
ammutusu	decided
pajjari	decision
kartu	deck
annola	decline
angnguramgi	decrease
didedikasikan	dedicated
dedikasi	dedication
akta	deed
lalang	deep
rusa	deer
erangan	default
ammeta	defeat
kekalahang	defeat
ambela	defend
mendefinisikan	define
tantumi	definitely
definisi	definition
derajat	degree
a'nunda	delay
penundan	delay
terlambat	delayed
angngapusu	delete
di sengaja	deliberate
alusu	delicate
assipa	delicious
sukacita	delight
sannang sanna	delighted
angngantara	deliver
terkirim	delivered
pengiriman	delivery
annuntu	demand
pappalakkang	demand
annuntu	demanding
demokrasi	democracy
setang	demon
pakacini	demonstrate
ni tola	denied
kepadatan	density
dottoro gigi	dentist
ambantah	deny
departemen	department
pallampangang	departure
aggantung	depend
appasiara	deploy
annyetor	deposit
ammoli	deposit
murung	depressed
pongoro	depression
kedalamang	depth
aggambarakan	describe
keterangan	description
gurun	desert
baji'	deserve
appare rencana	design
desain	design
sare aren	designation
hasrat	desire
angngeroki	desire
meja	desk
cappu asa	despair
tappu harapang	desperate
manna mamo	despite
kanre pattonko	dessert
tujuan	destination
takaddere	destiny
angngancuru	destroy
pammanraki	destruction
detail	detail
detail	details
deteksi	detect
appakasere	determination
appatantu	determine
bertekad	determined
angngacuru	devastated
appakalompo	develop
nikenbangkan	developed
perkembangan	development
kapalarruang	device
ibilisi	devil
setia	devoted
Dhivehi	Dhivehi
garring golla	diabetes
diare	diarrhea
bo'bo' allo	diary
kamusu	dictionary
le'ba nagaukan	did
mate	die
mate	died
diet	diet
perbedaan	difference
sisala	different
sawala	difficult
angngeke	dig
siri'	dignity
rajing	diligent
nganre bangngi	dinner
appatallang	dip
langsung	direct
oloan	direction
direktur	director
loro	dirt
ra'masa	dirty
caca	disable
siagang disabilitas	disabled
allannya	disappear
kecewa	disappointed
bencana	disaster
ammuang	discard
appamotere	discharge
disiplin	discipline
diskon	discount
anggappai	discover
diskriminasi	discrimination
ribahas	discuss
diskusi	discussion
garring	disease
garring	diseases
samaran	disguise
ringi ringi	disgusting
piring	dish
pa'bissa panne	dishes
appabubara	dismiss
annugaskan	dispatch
appakacini	display
papelakkang	disposal
pabeseran	dispute
bela	distance
tena sinkamma	distinct
ampakasisala	distinguish
kesulitan	distress
appasiara	distribution
parrasangang	district
angganggu	disturb
kaloran	ditch
asselang	dive
arrupa rupa	diverse
rupa rupa	diversity
ambage	divide
assipa karaeng	divine
assisa'la	divorce
ampisa'lakkang	divorce
pusing	dizzy
pare	do
ikau jah	do you
nu ngaija	do you love me
dottoro	doctor
dokumen	document
anggaukan	does
tena	doesn't
kongkong	dog
Dogri	Dogri
sementara anjama	doing
boneka	doll
domain	domain
rilalang	domestic
dominan	dominant
teaki	don't
teaki malla	Don't worry
annyumbang	donate
ammari	done
keledai	donkey
sanna ga'gana	dope
pasangan	double
dobolo	double
abbata bata	doubt
bata	doubt
adonan	dough
naung	down
unduh	download
konsep	draft
appare bagan	draft
annyere	drag
appakalotoro	drain
darama	drama
aggambara	draw
laci	drawer
agambara	drawing
pakkasia malla	dread
bayo bayoan	dream
memimpikan	dream
baju	dress
mengebor	drill
minuman	drink
angnginung	drink
annyetir	drive
mattung	drop
appamattung	drop
appatugguru	dropped
kakalotoran	drought
nasa'ring	drunk
kalotoro	dry
kiti	duck
bung	dude
anripa' waktunna	due
sabab	due to
membosankan	dull
tolo	dumb
ammuang	dump
wattu	duration
sibakuk	during
abu	dust
jama jamang	duty
mantang	dwell
sekarat	dying
tungga tunggala	each
satu sama lain	each other
erok sanna	eager
jangan jangan tajawali	eagle
toli	ear
labbi riolo	earlier
rioloang	early
wassele	earn
toli	ears
lino	earth
gempa bumi	earthquake
kalomoan	ease
siagang gampang	easily
angrai	east
lomolomo	easy
nganre	eat
nganre	eating
ekonomis	economic
ekonomi	economy
biring	edge
edit	edit
pendidikan	education
mempengaruhi	effect
efektif	effective
efisien	efficiency
efisien	efficient
usahana	effort
bayao	egg
terong	eggplant
ego	ego
sagantuju	eight
sampuloh sagan tuju	eighteen
sagang tuju pulo	eighty
salah sekrenna	either
appakasingara	elaborate
siku	elbow
labbi toa	elder
toa	elderly
anggun	elegant
elemen	element
gajah	elephant
sampulo se're	eleven
ammenuhi sara	eligible
angngapusu	eliminate
punna tena	else
siri'siri	embarrassed
appakasiri	embarrassing
arraka'	embrace
ammunjulu	emerge
keadaan darurat	emergency
emosional	emotional
kamasean	empathy
tekanan	emphasis
annekankan	emphasize
ana bua	employee
karyawan	employees
ansare jamang	employer
jama jaman	employment
kosong	empty
memungkinkan	enable
sigappa	encounter
appejojo	encourage
cappa	end
terancam bahaya	endangered
berusaha keras	endeavor
ketahanan	endurance
sessa	endure
bombe	enemy
energi	energy
appantama	engage
bertunangan	engaged
pertunangan	engagement
masina	engine
insinyur	engineer
Bahasa Inggirisi	English
pajai	enhance
nasa'ringing	enjoy
sanna lompona	enormous
ganna'	enough
appakacoco	ensure
appantama	enter
hiburan	entertainment
assumanga	enthusiasm
sumanga	enthusiastic
ngasenna	entire
berhak	entitled
passe'rean	entity
pakkebu antama	entrance
padanggang	entrepreneur
ampolo	envelope
pakaranganna	environment
iri	envy
epik	epic
epidemi	epidemic
sijajara	equal
ala' ala'	equipment
ekuitas	equity
sinkamma	equivalent
pangngapusu	eraser
kesalahan	error
melarikan diri	escape
khususnya	especially
karangan	essay
attojeng	essence
panting	essential
appamenteng	establish
nipaenteng	established
pa'lamungan	estate
kira kira	estimate
niparakira	estimated
rimaraengngannayya pole	etc
abadi	eternal
etika	ethics
evaluasi	evaluate
paressai	evaluation
manna poeng	even
mingka antu	even though
bangngi	evening
kajariyang	event
ri akhirna	eventually
le'ba ma	ever
nia' nia'	every
ia ngaseng tau	everybody
rupa tau	everyone
ia ngaseng	everything
butti	evidence
kejahatan	evil
evolusi	evolution
attimbo	evolve
Ewe	Ewe
bate	ex
pas	exact
cocoki	exactly
ujian	exam
anneliti	examine
missala	example
alliwaki	exceed
sanna ga'gana	excellent
anrannuang	except
panggacualian	exception
kalabian	excess
ta'liwa liwa	excessive
appassambe	exchange
assumangak	excited
kerannuang	excitement
seru	exciting
eksklusif	exclusive
angngsinkan	excuse
paramisi	excuse me
appajappa	execute
eksekusi	execution
eksekutif	executive
allatih	exercise
latihan	exercise
kandalappo	exhaust
mangngang	exhausted
pameran	exhibit
pameran	exhibition
niak	exist
niana	existence
niaka	existing
assulu	exit
appaluara	expand
kukullei	expect
ero	expected
passulukang	expenses
ka'jalak	expensive
panggisengang	experience
pangalamang	experience
percobaan	experiment
pakar	expert
kadaluarsa	expired
anjelaskan	explain
pappakasingara	explanation
mengeksploitasi	exploit
angngola	explore
ekspor	export
annyongke	expose
tassunke	exposed
appapara	exposure
inta'	express
ekspresi	expression
appakala'bu	extend
dipakalabbu	extended
pakkalabuan	extension
sikuntu	extent
pantarang	external
punah	extinct
pannamba	extra
ekstrak	extract
sanna pore	extraordinary
ekstrim	extreme
sarring	extremely
mata	eye
mata	eyes
kain	fabric
sarring nyamanna	fabulous
menghadapi	face
tanja	face
appalomolomo	facilitate
fasilitas	facilities
fasilitas	facility
nyatana	fact
passaba	factor
pabere	factory
fakta	facts
memudar	fade
gagala	fail
gagala	failed
gagala	failure
tena nasadara	faint
adelek	fair
ratai	fair
secara adele	fairly
peri	fairy
ayyakini	faith
setia	faithful
pallusu	fake
mattung	fall
tukguru	fall
PALUSU	false
popularitas	fame
singai	familiar
bija pammanakkang	family
kacipuran	famine
terkenal	famous
penggemar	fan
kipas anging	fan
nangai	fancy
fantastis	fantastic
bella	far
salamaki	farewell
peternakan	farm
pa'lamung lamung	farmer
appakalannasa	fascinating
mode	fashion
tettere	fast
co'mo	fat
fatal	fatal
takaddere	fate
mangge	father
maangngang	fatigue
anu salah	fault
ningaia	favorite
kabajikan	favour
favorit	favourite
cakkuru	fear
mallak	fear
paggaukan	feast
bulu	feather
menonjolkan	feature
ciri	feature
fitur	features
februari	february
kassala	fed up
ongkoso	fee
assare kanre	feed
masukan	feedback
arrasa	feel
akkasai	feeling
bangkeng	feet
appamattung	fell
agan	fellow
nikasia	felt
baine	female
kalli	fence
suburu	fertile
festival	festival
angngalle	fetch
rammusu	fever
sikekde	few
labi sikede	fewer
tunangan	fiance
fiksi	fiction
lapangang	field
nyeknyere	fierce
sampulohllima	fifteen
limampuloh	fifty
pasibbajjang	fight
sabajji	fight
siba'ji	fighting
arrekeng	figure
nomoro	figure
abboya isseng	figure out
mengajukan	file
ammonei	fill
nirassi	filled
pelleng	film
ra'masa	filthy
akhire'na	finally
keuangan	finance
keuanga	financial
gappai	find
ammuntulu	find out
bajik	fine
annabai	fine
karameng	finger
appalebba	finish
le'ba	finished
pepe'	fire
perusahaan	firm
tegasa	firm
se're	first
areng dallekang	first name
juku	fish
bugar	fit
lima	five
appakabaji	fix
tetap	fixed
bandera	flag
kila	flash
lappara	flat
singkammai	flat
kakurangang	flaw
tena cela	flawless
kaburu	flee
assi	flesh
anri'ba	flew
appalenturu	flex
longgara	flexible
panri'bakkan	flight
ammotere	flip
penggoda	flirt
mangngodo	flirting
ammawang	float
banjiri	flood
dapara	floor
tepung	flour
allo'loro	flow
alo'loro	flow
bunga	flower
flu	flu
lancara	fluent
lancara	fluently
empuk	fluffy
cairan	fluid
anri'ba	fly
fokus	focus
memfokuskan	focus
kabut	fog
berkabut	foggy
allappa	fold
ra'ya	folks
amminawang	follow
appakasambung	follow up
amminawang	following
kanre-kanreang	food
tolo	fool
mattolo toloi	fool
konyol	foolish
bangkeng	foot
aggolo	football
untuk	for
ibarana	For example
contohna	for instance
untuk ri katte	for you
nipisangkai	forbidden
ammaksa	force
ramalan	forecast
abang	forehead
pantarang negara	foreign
roman	forest
salamana	forever
luppa	forget
amma'porang	forgive
ta'kaluppa	forgot
garpu	fork
ambentuk	form
bentul	form
resmi	formal
leba	former
sawala	fortunately
pa'barang barangan	fortune
patangpuloh	forty
patangpulohanrua	forty-two
pabattu	forward
angngasuh	foster
berjuang	fought
ribuntulu	found
dasara	foundation
appa	four
sampuloh ngappa	fourteen
rubah	fox
akkulle	fragile
bingkai	frame
kerangka	framework
tipuan	fraud
tau maraeng	freak
bebasa	free
kabiasan	freedom
ambekukan	freeze
frekuensi	frequency
sarring	frequent
sarroi	frequently
segar	fresh
juma	friday
kulukas	fridge
agang	friend
baji	friendly
agang agang	friends
passaribattangngang	friendship
malla'	frightened
pakamalla	frightening
tumpang	frog
battu kemae	from
dallekang	front
beku	frozen
rappo	fruit
prustasi	frustrated
bahan bakara	fuel
Fulfulde	Fulfulde
rassi	full
seru	fun
guna	function
anddasara	fundamental
pakkuburang	funeral
pakakkala	funny
bulu	fur
larro sanna	furious
parabo	furniture
labbi bella	further
labbi labbi pa	furthermore
waktu riboko	future
passawallang	gain
anggappa	gain
kare-karenan	game
celah	gap
garasi	garage
loro	garbage
koko	garden
laguna kebo	garlic
gerebang	gate
angngumpulu	gather
pa'nassa	gathering
angngukkuru	gauge
leba assare	gave
gigi	gear
jenis kelamin	gender
tabbala	general
umumnya	generally
angngassele	generate
generasi	generation
la'bu lima	generous
caradde	genius
genre	genre
alusu	gentle
asli	genuine
pamentengang	gesture
gappa	get
ammakaian	get dressed
bangung	get up
tettereki gassing	get well soon
anggappai	getting
setan	ghost
tiba tiba allannya	ghosting
orassasa	giant
hadia	gift
jahe	ginger
tau lolo	girl
bayoang baine	girlfriend
assare	give
menyerah	give up
ni sareang	given
sannang	glad
lirikan	glance
kaca	glass
kacamata	glasses
nicini sinampere	glimpse
global	global
muram	gloomy
sarung lima	gloves
accora	glow
cora	glow
amminra siagang appa kalannasa	glow up
lem	glue
lampa	go
paturusu	go ahead
lampa ki	go away
mangentindro	go to bed
sasaran	goal
sasaran	goals
bembe	goat
karaeng	god
karaenga ta ala ambarakakki	god bless you
allampa	goes
allampa	going
allampa mange	going to
emas	gold
lannya	gone
ero	gonna
za' dakki siagang kantala	goo
porei	good
bajiki	good
salama allo	good afternoon
salama ammokoi	good bye
