i	a
nanyana njani	anyways
ngaphandle	apart
ikamero	apartment
colisa	apologize
sepepeneneni	apparent
ungasuthi	apparently
lila	appeal
vela	appear
ukuvela	appearance
vela	appeared
ikanukisakudla	appetite
ihabhula	apple
isibawo	application
sebenzisa	apply
isibekiselano	appointment
buka	appreciate
ukubuka	appreciation
tjhidela	approach
ukutjhidela	approach
aneleko	appropriate
ukugunyazwa	approval
gunyaza	approve
gunyaziweko	approved
pheze	approximately
usihlabantangana	april
ngokungasimthetho	arbitrary
umakhi	architect
imakhiwo	architecture
ibulungelomlando	archive
u	are
wena-ke	are you
ingabe umatasatasa	are you busy
utjhadile	are you married
utjhadile namkha awukatjhadi	are you married or single
Usesekhona lapho?	Are you still there?
ukhona	are you there
indawo	area
phikisa	argue
ipikiswano	argument
phaphama	arise
umkhono	arm
amabutho	army
magega	around
hlela	arrange
ukuhlela	arrangement
ukufika	arrival
fika	arrive
fikile	arrived
ukuzikhukhumeza	arrogant
i-ero	arrow
ubukghwari	art
i-athikili	article
kokwenziwa	artificial
umgwali	artist
njenge	as
ikani	as long as
kanye	as well
kanye ne	as well as
umlotha	ash
ukuba neenhloni	ashamed
buza	ask
buze	asked
lele	asleep
ingcenye	aspect
iphuzu	aspect
isi-Assamese	Assamese
betha	assault
umbuthano	assembly
ukuzithemba	assertive
hlola	assess
ukuhlola	assessment
ipahla	asset
iimpahla	assets
nikela	assign
umtlolophenyo	assignment
siza	assist
umsizi	assistant
khambisana	associate
hlobene	associated
ihlangano	association
thoma	assume
okucatjangwako	assumption
e	at
okungasenani	at least
dlile	ate
umgijimi	athlete
namathisela	attach
nanyathiselwe	attached
okunanyathiselweko	attachment
ukusahlela	attack
umzamo	attempt
zama	attempt
khambela	attend
ukuba khona	attendance
itjhejo	attention
ukuziphatha	attitude
dosa	attract
ukuganukeja	attraction
karisako	attractive
isici	attribute
ababukeli	audience
urhoboyi	august
ukghari	aunt
ukghari	aunty
semthethweni	authentic
umtloli	author
amandla	authority
isiruthwana	autumn
tholakala	available
inani	average
balekela	avoid
vukile	awake
umtlomelo	award
lemuka	aware
ilemuko	awareness
kude	away
kuhle	awesome
sabekako	awful
masikizi	awkward
isi-Aymara	Aymara
umntwana	baby
ipohlo	bachelor
emuva	back
isendlalelo	background
kumbi	bad
isikhwama	bag
ukudoba	bait
ukubhaga	bake
lapha kubhagwa khona	bakery
ibhakpuyere	baking soda
bhalansa	balance
ukubhalansa	balance
ibholo	ball
isiBambara	Bambara
ibhanana	banana
ibhendi	band
betha	bang
ibhanga	bank
ibha	bar
pheze	barely
ibhagana	bargain
ukukhonkotha	bark
khonkotha	bark
ikoroyi	barley
isiqabo	barrier
isisekelo	base
okusekelwe	based
indawo engaphasi	basement
isisekelo	basic
kuhlekuhle	basically
isinungo	basil
isikhohlakali	bastard
ibhetjhi	batch
ukuhlamba	bath
indlu yokuhlambela	bathroom
ibhethri	battery
ipi	battle
itheku	bay
iba	be
yelela	be careful
ibhitjhi	beach
ibhimu	beam
amabhontjisi	beans
ibhera	bear
veza	bear
isilevu	beard
ukubeletha	bearing
isilwani	beast
ibetho	beat
betha	beat
kuhle	beautiful
kuhle	beauty
ibe	became
ngombana	because
iba	become
umbhede	bed
ikamero lokulala	bedroom
inyosi	bee
ikomo	beef
bengi	been
ibhiya	beer
ngaphambi	before
thoma	began
thoma	begin
ekuthomeni	beginning
njengomjameli	behalf
ukuziphatha	behave
ukuziphatha	behavior
ukuziphatha	behaviour
ngemuva	behind
ukuba	being
ikolo	belief
kholwa	believe
amathumbu	belly
ngelaka	belong
bathandekako	beloved
ngenzasi	below
ibhande	belt
ibhanga	bench
goba	bend
ngaphasi	beneath
inzuzo	benefit
zuza	benefit
amarhubhelo	benefits
ngaphandle kwa	beside
ngaphandle kwe	besides
okuhle	best
okuhle kodwa	best of luck
othandekako	best regards
ngcono	better
hlangana	between
isiselo	beverage
ngale	beyond
isiBhojpuri	Bhojpuri
ukuthatha ihlangothi	bias
thatha ihlangothi	biased
itsikiri	bicycle
ibhidi	bid
kulu	big
isithuthuthu	bike
i-akhawundi	bill
bopha	bind
inyoni	bird
ilanga lamabeletho	birthday
kancani	bit
luma	bite
ukuluma	bite
duma	bitter
nzima	black
ilemu	blade
sola	blame
ukusola	blame
nganalitho	blank
ingubo	blanket
dumuza	blast
ibhlitjhi	bleach
hlanganisa	blend
busisa	bless
busisekile	blessed
ngaboni	blind
ithabo	bliss
ibhlogo	block
iingazi	blood
ukuchakaza	bloom
vuthela	blow
hlaza sasibhakabhaka	blue
buthuntu	blunt
ibhodi	board
isikepe	boat
umzimba	body
bila	boil
ukuzethemba	bold
itjhebiswano	bond
ithambo	bone
bhuga	book
ukubhuga	book
khuphula	boost
ukukhuphula	boost
isikhwezeleli	booster
ibhudu	boot
amabhudzu	boots
umkhawulo	border
bhora	bore
ukudonda	bored
dondisa	boring
belethwa	born
boleka	borrow
isikhulu	boss
kokubili	both
ukutshwenya	bother
ibhodlelo	bottle
phasi	bottom
thengile	bought
ukubhambha	bounce
bopheleka	bound
imikhawulo	boundaries
ukukhothama	bow
isikotlelo	bowl
ibhoksi	box
umsana	boy
isokana	boyfriend
ibhengele	bracelet
ubucopho	brain
igatja	branch
ibhrendi	brand
ukuba nesibindi	brave
ukwephula	breach
uburotho	bread
ukuphula	break
phula	break
ibhrakfesi	breakfast
ibele	breast
umoya	breath
phefumula	breathe
fuya	breed
isitina	brick
umakoti	bride
ibhrorho	bridge
kafitjhazana	brief
rhanyazela	bright
kuhle	brilliant
letha	bring
mnakwethu	bro
naba	broad
rhatjha	broadcast
hlukana	broke
phukileko	broken
umthanyelo	broom
umnakwethu	brother
usibari	brother in law
lethe	brought
nzotho	brown
ibhratjhi	brush
ibhakede	bucket
mngani	buddy
ibhajedi	budget
ingogwana	bug
akha	build
umakhiwo	building
akha	built
inengi	bulk
ikunzi	bull
tlhorisa	bully
tjhayisa	bump
isiqhema	bunch
inyanda	bundle
khathaza	burden
ikathazo	burden
bulungwa	buried
isitebele	burn
dumuza	burst
ngcwaba	bury
ibhesi	bus
ihlathi	bush
irhwebo	business
isifuba	bust
matasatasa	busy
kodwana	but
ibhotere	butter
iviyaviyani	butterfly
ikunubhe	button
thenga	buy
nge	by
konje	by the way
sala kuhle	bye
ikhabitjhi	cabbage
ikhabhinethi	cabinet
ikheji	cage
ikhekhe	cake
ikonyana	calf
biza	call
ukubiza	call
ngibiza	call me
obizwa	called
ukuthula	calm
uze	came
ijima	campaign
-kghona	can
-tjengisa	can
angeze	can't
Sula	Cancel
ikankere	cancer
ukuba nekghono	capable
umthamo	capacity
ihlokodorobho	capital
isihloko	caption
thumba	capture
ikoloyi	car
ibizelo	career
ngokuyelela	careful
ngokuyelela	carefully
ngatjhejiko	careless
ukutlhogomela	caring
umbazi	carpenter
umada	carpet
ikherothi	carrot
guga	carry
ragela phambili	carry on
ragela phambili	carry out
umlandu	case
ikhetjhi	cash
phosa	cast
inqaba	castle
ngatjhejiko	casual
ukatsu	cat
bamba	catch
umkhakha	category
ikomo	cattle
banjwa	caught
unobangela	cause
bangela	cause
isiyeleliso	caution
tjhejekako	cautious
irholo	cave
phela	cease
isilinghi	ceiling
ukugidinga	celebrate
iseli	cell
isentha	center
ikhulumnyaka	century
isiriyeli	cereal
umnyanya	ceremony
okhunye	certain
ngokweqiniso	certainly
isitifikeyidi	certificate
itjheyini	chain
isitulo	chair
tjhijila	challenge
isitjhijilo	challenge
ithuba	chance
tjhuguluka	change
ihlangahlangano	chaos
umlingisi	character
amatshwayo	characteristics
beka umlandu	charge
isirhawu	charity
ukuqaleka	charming
itjhadi	chart
gijimisa	chase
khuluma	chat
ukukhuluma	chat
thengeka	cheap
ukukopa	cheat
ukukopa	cheating
ukuhlola	check
hlola	check
isihlathi	cheek
thokoza	cheer
kwakwazelwako	cheerful
kwakwazela	cheers
itjhizi	cheese
ikhemistri	chemistry
hlonipha	cherish
itjhezi	chess
isifuba	chest
hlafunya	chew
ikukhu	chicken
ikosi	chief
umntwana	child
ebuntwaneni	childhood
abantwana	children
ledlhileko	chill
ukuledlha	chill
iintjhimela	chimneys
isilevu	chin
itjhokolede	chocolate
ikhetho	choice
khetha	choose
kapa	chop
umsebenzi	chores
ukunona	chubby
isondo	church
isinamoni	cinnamon
isiyingilizi	circle
izehlakalo	circumstances
isakhamuzi	citizen
idorobho	city
itleyimu	claim
tleyima	claim
hlathulula	clarify
itlasi	class
ibumba	clay
hlwengile	clean
zwakalako	clear
zwakala	clear
unobhala	clerk
hlakaniphileko	clever
itlayendi	client
iliwa	cliff
itlayimethi	climate
khwelela	climb
ukugona	clingy
itlogo	clock
vala	close
valiwe	closet
itjhila	cloth
izambatho	clothes
ilifu	cloud
kunamafu	cloudy
usomahlaya	clown
umtlhala	clue
ukuba sibaga	clumsy
ihlanganisela	cluster
bandula	coach
ukubandula	coach
amalahle	coal
iligu	coast
ijasi	coat
ikofi	coffee
umkhumbulo	cognitive
ukutjhayisana	coincidence
makhaza	cold
iwa	collapse
ikholoro	collar
umlingani	colleague
abalingani	colleagues
buthelela	collect
ibuthelelo	collection
ikholitjhi	college
umbala	color
umbala	colour
ikholomu	column
ikama	comb
ihlanganisela	combination
hlanganisa	combine
iza	come
yewize lapha	come here
iza	come on
duduza	comfort
ledlhileko	comfortable
iza	coming
iyeza msinya	coming soon
umyalo	command
isiphakamiso	comment
irhwebo	commercial
inzuzo	commission
zibophelele	commit
ukuzibophelela	commitment
zibophelele	committed
ipahla yerhwebo	commodity
jayelekileko	common
thintana	communicate
ukucocisana	communication
umphakathi	community
umkhambi ngesikhwelo	commute
umngani	companion
ikhamphani	company
madanisa	compare
madanisa	comparison
umusa	compassion
ukuba nomusa	compassionate
khambelanako	compatible
phalisana	compete
nekghono	competent
iphaliswano	competition
nephaliswano	competitive
isinghonghoyilo	complain
umnghonghoyili	complaint
ukungezelela	complement
ngezelela	complement
qeda	complete
okupheleleko	completely
hlangahlangeneko	complex
khambisana	compliance
hlangahlangeneko	complicated
zaliselela	compliment
khambisana	comply
ukubumbeka	composition
ihlanganisela	compound
isifundo sokuzwisisa	comprehension
ngokupheleleko	comprehensive
thalalisa	compromise
ukuthalalisa	compromise
katelelekileko	compulsory
ikhomphyutha	computer
ukucabangisisa	concentrate
umqondo	concept
khathalela	concern
ukukhathalela	concern
tshwenyekileko	concerned
ikhonsadi	concert
isiphetho	conclusion
phathekako	concrete
ukuphatheka	concrete
ubujamo	condition
imibandela	conditions
ukuziphatha	conduct
ikhonferensi	conference
vuma umlando	confess
ukuzethemba	confidence
ukuzethemba	confident
qinisekisa	confirm
irarano	conflict
vangeneko	confused
ihlangahlangano	confusion
siyakuthokozisa	congrats
siyakuthokozisa	congratulation
siyakuthokozisa	congratulations
isihlanganiso	conjunction
hlanganisa	connect
nqoba	conquer
ukuzwa	conscious
isazelo	consciousness
vuma	consent
imvumo	consent
imiphumela	consequences
ukutlhogonyelwa	conservation
olandelanako	conservative
tjheja	consider
ukutjheja	considered
mumethe	consist
ngokungatjhugulukiko	consistency
ngatjhugulukiko	consistent
ukunande	constant
ngokufanako	constantly
ukubhinjidelwa	constipation
ukwakhiwa	construction
idla	consume
ukudliwa	consumption
thintana	contact
ukuthintana	contact
thathelanako	contagious
mumethe	contain
mumethe	contains
kwanje	contemporary
ukunyaza	contempt
okumunyethweko	content
ukuphikisana	contest
okumunyethweko	context
inarhakazi	continent
raga	continue
ikontraga	contract
kontraga	contract
ukumadanisa	contrast
madanisa	contrast
nikela	contribute
umnikelo	contribution
lawula	control
okuphikisanako	controversial
ubulula	convenience
kulula	convenient
ikulumo	conversation
tjhugulula	convert
ukutjhugulula	convert
dlulisa	convey
ukudelisa	convince
ukudelisa	convinced
ukupheka	cook
pheka	cook
ukupheka	cooking
-pholileko	cool
kuhle tle	cool
itjhebiswano	cooperation
kghona	cope
ikhopha	copper
ummongo	core
isiphila	corn
iwugu	corner
kulungile	correct
biza	cost
ukubiza	cost
ikhosjumu	costume
ikhotheji	cottage
ikotini	cotton
isofa	couch
khohlela	cough
nginga	could
umkhandlu	council
bala	count
phikisa	counter
inarha	country
emaphandleni	countryside
iinthandani	couple
khuthaza	courage
ikhosi	course
ikhotho	court
ihlonipho	courtesy
umzala	cousin
vala	cover
ikomo	cow
igwala	coward
mnandi	cozy
ikalakala	crab
bharasa	crack
ibharasi	crack
ubukghwari	craft
ihlanya	crap
ukuputjuza	crash
putjuza	crash
ukurhalela	craving
khasa	crawl
rhapha	crazy
bumba	create
nobukghwari	creative
isikolodo	credit
ukunyonyoba	creep
totoba	creepy
isiqhema	crew
ubulelesi	crime
ukutjhida	cringe
rhunyela	cringe
ihlekelele	crisis
indlela	criteria
nobujamo obumbi	critical
ukuba nelihlo lokuhlaba	criticism
isitjalo	crop
iintjalo	crops
isiphambano	cross
phambana	cross
igwababa	crow
iwoma	crowd
buthelelana	crowd
zeleko	crowded
umqhele	crown
qakathekile	crucial
ukuba nehliziyo embi	cruel
ukukhamba ngesikepe	cruise
ukuputjuza	crush
putjuza	crush
lila	cry
ikomkomu	cucumber
singatha	cuddle
isiko	culture
ubumenemene	cunning
ikopi	cup
ikhabethe	cupboard
indlela	curb
elapha	cure
ukwelapha	cure
isikhathi sewatjhi	curfew
irhuluphelo	curiosity
rhuluphela	curious
tshophileko	curly
ikharensi	currency
njenganje	current
njenganje	currently
isiqalekiso	curse
irharideyini	curtain
umsamedlwana	cushion
umkhuba	custom
umthengi	customer
imikghwa	customs
ukusika	cut
sika	cut
kuhle	cute
umzombe	cycle
ukuzombeleza	cycling
ubaba	dad
ubaba	daddy
ngamalanga	daily
ideri	dairy
idamu	dam
umonakalo	damage
onakala	damage
jezisa	damn
manzana	damp
ukudansa	dance
ingozi	danger
okuyingozi	dangerous
mnyama	dark
sithandwa	darling
idetjhi	dash
idatha	data
ilanga	date
indodakazi	daughter
ilanga	day
hlongakala	dead
ilanga lokugcina	deadline
ukungezwa	deaf
rhweba	deal
ukurhweba	deal
sithandwa	dear
Lotjhani noke	Dear All
Mthengi Othandekako	Dear Customer
Lotjhani baBelethi	Dear Parents
Lotjha Nomzana	Dear Sir
Lotjhani baFundi	Dear students
Lotjhani siQhema	Dear Team
ukuhlongakala	death
ikulumopikiswano	debate
isikwelede	debit
iinsila ezirhatjhekileko	debris
isikolodo	debt
itjhumimnyaka	decade
ukubola	decay
hlongakeleko	deceased
khohlisa	deceive
unobayeni	december
lungileko	decent
cabanga	decide
thethe isiqunto	decided
isiqunto	decision
ukuhlobisa	deck
yehla	decline
yehla	decrease
zinikeleko	dedicated
ukuzinikela	dedication
isenzo	deed
tjhingako	deep
inyamazana	deer
ngasiyo	default
ukwehlula	defeat
ahlula	defeat
vikela	defend
hlathulula	define
kwamambala	definitely
ihlathululo	definition
izinga	degree
ukuliya	delay
liya	delay
ukubambezeleka	delayed
sula	delete
ngabomu	deliberate
bulenda	delicate
kumnandi	delicious
ukuthaba	delight
thabileko	delighted
khambisa	deliver
ilethiwe	delivered
ukulethwa	delivery
funa	demand
isifuno	demand
ukufuna	demanding
idemokhrasi	democracy
idimoni	demon
tjengisa	demonstrate
yala	denied
ukuminyana	density
udorhodera wamazinyo	dentist
phika	deny
umnyango	department
ukukhamba	departure
thembela	depend
thumela endaweni ethileko	deploy
dibhozida	deposit
ukudibhozida	deposit
gandeleleka	depressed
igandelelo	depression
ukujula	depth
hlathulula	describe
ihlathululo	description
irhahlawumba	desert
ukufanelwa	deserve
ukutlama	design
tlama	design
isikhundla	designation
khanuka	desire
ikanuko	desire
ideske	desk
ukulahla ithemba	despair
ukuzidela	desperate
ngaphandle kwa	despite
iindengezeli	dessert
indawo	destination
ukwenzeka kwezehlakalo	destiny
ona	destroy
ukubhubhisa	destruction
umniningwana	detail
imininingwana	details
thola	detect
ukuzinikela	determination
qunta	determine
ukuzibophelela	determined
ukuthukwa	devastated
thuthukisa	develop
thuthukile	developed
ituthuko	development
isisetjenziswa	device
usathani	devil
zinikeleko	devoted
isiDhivehi	Dhivehi
ubulwele beswigiri	diabetes
ukuthulula	diarrhea
idayari	diary
isihlathululimezwi	dictionary
enze	did
ukuhlongakala	die
ukuhlongakala	died
idayethi	diet
umahluko	difference
okuhlukileko	different
kubudisi	difficult
yemba	dig
isithunzi	dignity
khuthala	diligent
idina	dinner
tjhingela phasi	dip
nqophileko	direct
ilayelo	direction
umnqophisi	director
isila	dirt
silaphazekileko	dirty
ngakghoniko	disable
ukuba nokukhubazeka	disabled
tjhabalala	disappear
phoqeka	disappointed
ihlekelele	disaster
lahla	discard
khupha	discharge
ukujezisa	discipline
isaphulelo	discount
vumbulula	discover
ibandlululo	discrimination
coca	discuss
ukucocisana	discussion
ubulwele	disease
amalwele	diseases
zifihle	disguise
nyenyisako	disgusting
isitja	dish
iinkotlelo	dishes
qotha	dismiss
thumela	dispatch
umkhangiso	display
ukulahla	disposal
isinghonghoyilo	dispute
ibanga	distance
ukuhlukana	distinct
hlukanisa	distinguish
ukutlhuwa	distress
ukuhlukaniselana	distribution
isiyingi	district
thikameza	disturb
iforo	ditch
tjuza	dive
hlukileko	diverse
ukuhlukahlukana	diversity
hlukanisa	divide
okwaphezulu	divine
ukuhlukana	divorce
hlukana	divorce
isiyezi	dizzy
yenza	do
wenza	do you
ingabe uyangithanda	do you love me
udorhodera	doctor
umtlolo	document
enza	does
akusinjalo	doesn't
inja	dog
isiDogri	Dogri
ukwenza	doing
unompopi	doll
isizinda	domain
kwekhaya	domestic
ukuba namandla	dominant
ungenzi	don't
ungatshwenyeki	Don't worry
nikela	donate
phelile	done
udumbana	donkey
kuhle	dope
ukubuyelela	double
buyelela	double
ukuzaza	doubt
zaza	doubt
iderhe	dough
phasi	down
dawunlowuda	download
tlhatlhabeja	draft
itlhatlha	draft
dosa	drag
idreyini	drain
ukuminya	drain
umdlalo	drama
dweba	draw
ilayi	drawer
umdwebo	drawing
mbi	dread
ibhudango	dream
bhudanga	dream
irogo	dress
ukubhoboza	drill
sela	drink
ukusela	drink
tjhayela	drive
ukwehlisa	drop
ehlisa	drop
wile	dropped
isomiso	drought
dakwa	drunk
oma	dry
idada	duck
ngesimanga	due
ngesimanga	due to
fipheleko	dull
ubudlhadlha	dumb
lahla	dump
isikhathi	duration
nakwenzeka	during
ithuli	dust
umsebenzi	duty
hlala	dwell
ukufa	dying
kunye	each
ngabanye	each other
ba netjisakalo	eager
ikhozi	eagle
indlebe	ear
ngaphambilini	earlier
ekuseni	early
rhola	earn
iindlebe	ears
iphasi	earth
ukudengezela kwephasi	earthquake
lula	ease
kalula	easily
ipumalanga	east
lula	easy
idla	eat
ukudla	eating
zomnotho	economic
zomnotho	economy
umqoqo	edge
lungisa	edit
ifundo	education
umphumela	effect
phumelelako	effective
ukusebenza kuhle	efficiency
ukuba nekghono	efficient
umzamo	effort
iqanda	egg
isithelo	eggplant
ukuzazisa	ego
bunane	eight
itjhumi nobunane	eighteen
amatjhumi abunane	eighty
namkha	either
yenaba	elaborate
indololwana	elbow
omdala	elder
esele bakhulile	elderly
ehle	elegant
i-elemende	element
indlovu	elephant
itjhumi nanye	eleven
thandekako	eligible
phungula	eliminate
okhunye	else
phoqekileko	embarrassed
phathisa iinhloni	embarrassing
gona	embrace
thoma	emerge
rhabekileko	emergency
kwemizwa	emotional
izwelo	empathy
ukugandelela	emphasis
gandelela	emphasize
isisebenzi	employee
abasebenzi	employees
umqatjhi	employer
umsebenzi	employment
nganalitho	empty
ukukghonakalisa	enable
hlangabezana	encounter
khuthaza	encourage
ukuphela	end
iba sengozini	endangered
zama	endeavor
ukubekezela	endurance
bekezela	endure
isitha	enemy
i-eneji	energy
ukubonisana	engage
ukuhlanganyela	engaged
isivumelwano	engagement
injini	engine
usonjiniyera	engineer
isiNgisi	English
ukukghonakalisa	enhance
thaba	enjoy
rarako	enormous
kwanele	enough
qinisekisa	ensure
ngena	enter
ukuthabisa	entertainment
itjisakalo	enthusiasm
majadu	enthusiastic
koke	entire
enesihloko	entitled
into ezijamele yodwa	entity
ubungeno	entrance
usorhwebo	entrepreneur
imvilobhu	envelope
ibhoduluko	environment
ukurhalela	envy
ikondlomlando	epic
umabhubhisa	epidemic
linganako	equal
isisetjenziswa	equipment
ukulingana	equity
linganako	equivalent
iraba	eraser
iphoso	error
phunyurha	escape
khulukhulu	especially
i-eseyi	essay
ummongo	essence
qakathekileko	essential
hloma	establish
ukuhlonywa	established
ilifa	estate
isilinganiso	estimate
isilinganiso	estimated
njll	etc
okwaphakade	eternal
imikghwa	ethics
hlola	evaluate
ukuhlola	evaluation
nanyana	even
nalokha	even though
ubusuku	evening
isehlakalo	event
ekugcineni	eventually
safuthi	ever
qobe	every
woke umuntu	everybody
uwokewoke	everyone
koke	everything
ubufakazi	evidence
ubusathana	evil
ukuziphendukela kwemvelo	evolution
sombuluka	evolve
isi-Ewe	Ewe
poro	exact
poro	exactly
isihlahlubo	exam
hlola	examine
isibonelo	example
dlula	exceed
kuhle	excellent
ngaphandle kwe	except
okuseleko	exception
eqako	excess
ngokudluleleko	excessive
royila	exchange
thabile	excited
ukuthakasa	excitement
karisako	exciting
okukhethekileko	exclusive
icolo	excuse
ngibawa ungilibalele	excuse me
enza	execute
ukubulala	execution
isigungu	executive
thabulula	exercise
ukuzithabulula	exercise
dinisa	exhaust
diniwe	exhausted
umbukiso	exhibit
umbukiso	exhibition
iba khona	exist
ekhona	existence
okukhona	existing
ukuphuma	exit
naba	expand
lindela	expect
okulindelweko	expected
iindleko	expenses
biza	expensive
lemuka	experience
ilemuko	experience
isitjengisombono	experiment
isazi	expert
ukudlulelwa sikhathi	expired
hlathulula	explain
ihlathululo	explanation
caphaza	exploit
hlola	explore
phumela ngaphandle	export
veza tjhatjhalazi	expose
tjhatjhalazi	exposed
ukuveza	exposure
veza	express
ihlathululo	expression
ngezelela	extend
ngezelelwe	extended
isengezelelo	extension
ubukhulu	extent
ngaphandle	external
ukutjhabalala	extinct
okungeziweko	extra
dzubhula	extract
ngakajayeleki	extraordinary
ngokudluleleko	extreme
ngamandla	extremely
ilihlo	eye
amehlo	eyes
itjhila	fabric
babazekako	fabulous
ukuqalana	face
qalana	face
kghonakalisa	facilitate
iinsetjenziswa	facilities
isisetjenziswa	facility
iphuzu	fact
ifektha	factor
ifekthri	factory
amaphuzu	facts
fiphala	fade
bhalelwa	fail
ukubhalelwa	fail
bhalelwe	failed
ukubhalelwa	failure
ukutsirimezeka	faint
khanyako	fair
thembekileko	fair
kuhle	fairly
inolwana	fairy
ikolo	faith
thembekile	faithful
ikohliso	fake
ukuwa	fall
iwa	fall
MAMALA	false
ukuduma	fame
jayelekileko	familiar
umndeni	family
indlala	famine
dumileko	famous
umkwakwazeli	fan
isiphehlamoya	fan
kuhle	fancy
kuhle	fantastic
kude	far
khamba kuhle	farewell
iplasi	farm
umlimi	farmer
karisako	fascinating
ifetjheni	fashion
msinya	fast
nona	fat
bulalako	fatal
amandla	fate
ubaba	father
ukudinwa	fatigue
iphoso	fault
thandwako	favorite
ukuvumela	favour
thandwako	favourite
esaba	fear
ukwesaba	fear
umgidi	feast
isiba	feather
itshwayo	feature
tshwaya	feature
amatshwayo	features
umhlolanja	february
silingekile	fed up
imali	fee
dlisa	feed
umbiko obuyako	feedback
izwa	feel
umuzwa	feeling
iinyawo	feet
wile	fell
umkhambisani	fellow
ukuzizwa	felt
osikazi	female
ifensi	fence
vundileko	fertile
umnyanya	festival
thatha	fetch
umgomani	fever
okumbalwa	few
mbalwa	fewer
isokana elibonileko	fiance
amanga	fiction
umkhakha	field
nelaka	fierce
itjhumi nahlanu	fifteen
amatjhumi amahlanu	fifty
ukulwa	fight
ilwa	fight
ukulwa	fighting
umgwalo	figure
gwala	figure
thola	figure out
ifayili	file
zalisa	fill
zaliswe	filled
ifilimu	film
silaphazekile	filthy
kokugcina	finally
zeemali	finance
zeemali	financial
thola	find
thola	find out
lungileko	fine
lungile	fine
umuno	finger
qeda	finish
phelileko	finished
umlilo	fire
qinisekisako	firm
ukuqinisekisa	firm
kokuthoma	first
ibizo lokuthoma	first name
ihlambi	fish
lingana	fit
kuhlanu	five
lungisa	fix
lungisiweko	fixed
iflarha	flag
ukumeruza	flash
isipara	flat
ubutjhapha	flaw
engenasici	flawless
phapha	flee
inyama	flesh
phaphile	flew
tjhugutjhuguluka	flex
nokutjhuguluka	flexible
ukulwa	flight
phendla	flip
hlala uthandana	flirt
ukurhalela umuntu	flirting
thaya	float
iinkhukhula	flood
ihlabathi	floor
iflowuru	flour
geleza	flow
ukugeleza	flow
ithuthumbo	flower
umgomani	flu
butjhelela	fluent
