a little	азчыкъ
brush	фырчы
bucket	къопкъа
buddy	аркъадаш
budget	бюджет
bug	боджек
build	къурмакъ
building	япы
built	къурулгъан
bulk	рыкъма-рыкъ
bull	огюз
bully	ярамаз
bump	шишик
bunch	оба
bundle	демет
burden	юк
buried	комюльген
burn	янмакъ
burst	патламакъ
bury	коммек
bus	автобус
bush	чалы
business	тиджарий фаалиет
bust	бюст
busy	мешгъуль
but	амма
butter	ягъ
butterfly	кобелек
button	дёгме
buy	сатын алмакъ
by	тарафындан
by the way	сёз келими
bye	корюшкендже
cabbage	къапыста
cabinet	долап
cage	къафес
cake	торт
calf	бузав
call	чагъырмакъ
call	чагъырув
call	адландырмакъ
call me	манъа телефон ач
called	адландырылгъан
calm	тынч
came	кельди
campaign	сефер
can	имкяниети бар
can't	олмайым
Cancel	Лягъу
cancer	рак хасталыгъы
capable	къабилиетли
capacity	аджим
capital	пайтахт
caption	серлева
capture	якъаламакъ
car	араба
career	карьера
careful	мукъайт
carefully	дикъкъатнен
careless	гъамсыз
caring	къайгъыргъан
carpenter	дюльгер
carpet	халы
carrot	хавуч
carry	ташымакъ
carry on	девам этмек
carry out	беджермек
case	адисе
cash	пешин пара
cast	тёкмек
castle	кермен
casual	куньделик
cat	мышыкъ
catch	якъаламакъ
category	зюмре
cattle	тувар
caught	тутулды
caught	тутулгъан
cause	маначыкъ
caution	мукъайтлыкъ
cautious	мукъайт
cave	къоба
cease	токътатмакъ
ceiling	таван
celebrate	байрам этмек
cell	уджейре
center	меркез
century	асыр
cereal	ашлыкъ
ceremony	мерасим
certain	белли бир
certainly	эльбет
certificate	сертификат
chain	зынджыр
chair	отургъыч
challenge	сынав
chance	фырсат
change	къайтым
change	денъишме
chaos	къарышыкълыкъ
character	мизадж
characteristics	хусусиетлер
charge	масрафлар
charity	хайриет
charming	джильвели
chart	диаграмма
chase	къуваламакъ
chat	тасырдамакъ
cheap	уджуз
cheat	хиянетлик этмек
cheating	доландырма
check	тешкермек
check	чек
cheek	янакъ
cheer	рухландырмакъ
cheerful	нешели
cheers	алгъыш
cheese	пенир
chemistry	химия
cherish	беслемек
chess	сантырач
chest	кокюс
chew	чайнамакъ
chicken	тавукъ
chicken	чипче
chief	баш
child	бала
childhood	балалыкъ
children	балалар
chill	пек сувукъ
chimneys	баджлар
chin	сакъал тюбю
chocolate	шоколад
choice	сечим
choose	сайламакъ
chop	догърамакъ
chores	эв ишлери
chubby	томалакъ
church	кильсе
cinnamon	тарчын
circle	даире
circumstances	шартлар
citizen	ватандаш
city	шеэр
claim	иддиа этмек
clarify	айдынлатмакъ
class	сыныф
clay	балчыкъ
clean	темиз
clear	шеффаф
clerk	кятип
clever	азырджевап
client	муштери
cliff	сырым
climate	иклим
climb	тырмашмакъ
clingy	япышкъан
clock	саат
close	якъын
close	къапатмакъ
closet	килер
cloth	басма
clothes	урба
cloud	булут
cloudy	булутлы
clown	клоун
clue	анахтар
clumsy	беджериксиз
cluster	уюр
coach	идманджы
coal	комюр
coast	саиль
coat	пальто
coffee	къаве
cognitive	фикрий
coincidence	тесадуф
cold	сувукъ
collapse	чёкмек
collar	якъа
colleague	меслекдеш
colleagues	зенаатдашлар
collect	топламакъ
collection	топлам
college	колледж
color	ренк
colorless green ideas slept furiously	ренксиз ешиль фикирлер хышымнен юкълайлар
colour	ренк
column	сутун
comb	таракъ
combination	уйма
combine	бирлештирмек
come	кельмек
come here	мында кель
come on	къана
comfort	раатлыкъ
comfortable	раат
coming	кельмекте
coming soon	якъын арада оладжакъ
command	эмир
comment	тевсир
commercial	тиджарий
commission	эйет
commit	эйлемек
commitment	теслим этюв
committed	мефкюревий
commodity	мал
common	муштерек
communicate	субетлешмек
communication	алякъа
community	джемиет
commute	барып кельмек
companion	шерик
company	ширкет
compare	къыясламакъ
comparison	тенъештирме
compassion	мерамет
compassionate	раим
compatible	уюгъан
compete	рекъабет этмек
competent	ихтисаслы
competition	мусабакъа
competitive	рекъабетли
complain	шикяет этмек
complaint	шикяет
complement	тамамлайыджы
complete	битирильген
completely	тамамынен
complex	къуралгъан
compliance	уйгъунлыкъ
complicated	мушкюль
compliment	комплимент
comply	уймакъ
composition	тизилиш
compound	къуралма
comprehension	анълама
comprehensive	эртарафлама
compromise	разылашма
compulsory	ваджип
computer	бильгисаяр
concentrate	къоюрмакъ
concept	концепция
concern	раатсызлыкъ
concerned	гъамлы
concert	концерт
conclusion	хуляса
concrete	бетон
condition	шарт
conditions	шартлар
conduct	идаре этмек
conference	конференция
confess	тёвбе этмек
confidence	эминлик
confident	къани
confirm	тасдыкъламакъ
conflict	чатышув
confused	шашмалагъан
confusion	къарышыкълыкъ
congrats	хайырлавлар
congratulation	хайырлав
congratulations	тебриклер
conjunction	багълайыджы
connect	багъламакъ
conquer	басып алмакъ
conscious	акъыл-ферасетли
consciousness	эс
consent	разылыкъ
consequences	акъибетлер
conservation	сакълама
conservative	консерватив
consider	дикъкъаткъа алмакъ
considered	дикъкъаткъа алынгъан
consist	ибарет олмакъ
consistency	изченлик
consistent	изчен
constant	денъишмеген
constantly	мутемадиен
constipation	къабыз
construction	къуруджылыкъ
consume	истимал этмек
consumption	истимал
contact	багъ
contagious	юкъунчлы
contain	ичермек
contains	ичинде булунмакъ
contemporary	чагъдаш
contempt	хор бакъмакъ
content	мундеридже
contest	ярышма
context	контекст
continent	къыта
continue	девам этмек
contract	мукъавеле
contrast	контраст
contribute	иссе къошмакъ
contribution	иссе
control	тефтиш
controversial	давалы
convenience	онъайтлылыкъ
convenient	онъайтлы
conversation	субет
convert	чевирмек
convey	алып бермек
convince	къандырмакъ
convinced	къатий ишангъан
cook	аш пиширмек
cooking	аш пиширюв
cool	салкъын
cooperation	иш бирлиги
cope	баш этмек
copper	бакъыр
core	озек
corn	мысырбогъдай
corner	коше
correct	догъру
cost	малиет
costume	такъым урба
cottage	коттедж
cotton	памукъ
couch	сет
cough	оксюрик
could	ола бильмек
council	шура
count	саймакъ
counter	сайыджы
country	мемлекет
countryside	кой ери
couple	чифт
courage	джесарет
course	курс
course	ёнелиш
court	макеме
courtesy	незакет
cousin	эки догъмуш
cover	къапакъ
cow	сыгъыр
coward	къоркъакъ
cozy	къынтавлы
crab	енгеч
crack	сындырмакъ
craft	унер
crap	бокъ
crash	къаза
craving	мерам
crawl	сюйрекленмек
crazy	диване
create	яратмакъ
creative	яратыджы
credit	одюнч
creep	чыкъчыкъ балабан
creepy	дешет
crew	эркян
crime	джинает
Crimean Tatar	Къырымтатар
cringe	бойнуны къысмакъ
crisis	бухран
criteria	критерий
critical	аль этиджи
criticism	тенкъит
crop	пытамакъ
crops	махсулатлар
cross	хач
crow	къаргъа
crowd	къалабалыкъ
crowded	къалабалыкъ
crown	тадж
crucial	пек муим
cruel	залым
cruise	сейир
crush	эзмек
cry	агъламакъ
cucumber	хыяр
cuddle	сарылмакъ
culture	медениет
cunning	къурназ
cup	фильджан
cupboard	савут долабы
curb	юген
cure	дева
curfew	ёлгъа чыкъмакъ ясагъы
curiosity	меракъ
curious	эр шейнен меракълангъан
curly	къувурчыкъ
currency	пара бирими
current	агъымдаки
currently	ал-азырда
curse	лянет
curtain	перде
cushion	ястыкъ
custom	гумрюкхане
custom	адет
customer	муштери
customs	гюмрюкхане
cut	кесмек
cute	муляйим
cycle	девре
cycling	аякъмашнада юрюв
dad	баба
daddy	бабачыгъым
daily	куньделик
dairy	сют махсулатлары
dam	бент
damage	бузмакъ
damn	лянет
damp	дым
dance	оюн
danger	телюке
dangerous	телюкели
dark	къаранлыкъ
darling	севгили
dash	тире
data	бери
date	васыл
daughter	къыз бала
day	кунь
dead	олю
deadline	сонъ тарих
deaf	сагъыр
deal	муамеле
dear	азиз
Dear All	Азиз эр кес
Dear Customer	азиз муштери
Dear Parents	Севимли ана-бабалар
Dear Sir	Севимли эфенди
Dear students	Севимли талебелер
Dear Team	Севимли такъымым
death	олюм
debate	мунакъаша
debit	бордж
debris	виране
debt	бордж
decade	он йыллыкъ
decay	чюрюмек
deceased	олю
deceive	алдатмакъ
december	ильк къыш айы
decent	эдепли
decide	къарар этмек
decided	къарар этти
decision	къарар
deck	когерте
decline	чёкюш
decrease	эксильтмек
dedicated	къатий ишангъан
dedication	садыкълыкъ
deed	арекет
deep	терен
deer	сыгъын
default	огюнден козь огюне алынгъан
defeat	магълюбиет
defend	къорчаламакъ
define	къарарламакъ
definitely	эминликнен
definition	тариф
degree	дередже
delay	кечиктирмек
delayed	авуштырылгъан
delete	сильмек
deliberate	аселет
delicate	нарин
delicious	леззетли
delight	зевкъ
delighted	айран
deliver	кетирмек
delivered	теслим этильген
delivery	теслим
demand	талап этмек
demanding	талап этиджи
democracy	демократия
demon	иблис
demonstrate	корьсетмек
denied	ред этильген
density	сыкълыкъ
dentist	тиш экими
deny	ред этмек
department	болюк
departure	ёлгъа чыкъыш
depend	таби олгъан
deploy	ачмакъ
deposit	пей
depressed	мелюль
depression	рухтан тюшме
depth	теренлик
describe	тасвир этмек
description	тариф
desert	сахра
deserve	акъ къазанмакъ
design	лейха
designation	тайин этюв
desire	эмель
desk	иш масасы
despair	умютсизлик
desperate	чаресиз
despite	бакъмадан
dessert	шекерлеме
destination	макъсат этип къоюлгъан ер
destiny	такъдир
destroy	ёкъ этмек
destruction	дагъылув
detail	парчалар
details	тафсилятлар
detect	кешиф этмек
determination	азимкярлыкъ
determine	бельгилемек
determined	бельгиленген
devastated	виран этильген
develop	инкишаф эттирмек
developed	инкишафлы
development	инкишаф
device	джихаз
devil	шейтан
devoted	садыкъ
Dhivehi	Дивехи тили
diabetes	шекер хасталыгъы
diarrhea	исал
diary	куньделик
dictionary	лугъат
did	япты
die	ольмек
died	ольди
diet	диета
difference	фаркъ
different	чешит тюрлю
difficult	къыйын
dig	къазмакъ
dignity	къыймет
diligent	чалышкъан
dinner	акъшамлыкъ
dip	батырмакъ
direct	догъру
direction	ёнелиш
director	мудир
dirt	кир
dirty	кирли
disable	къулланымдан кесмек
disabled	сакъат
disappear	ёкъ олмакъ
disappointed	къасеветленген
disaster	фелякет
discard	чёплюкке атмакъ
discharge	бошама
discipline	низам
discount	эндирим
discover	кешиф этмек
discrimination	айрымджылыкъ
discuss	музакере этмек
discussion	музакере
disease	хасталыкъ
diseases	хасталыкълар
disguise	маскаламакъ
disgusting	игренч
dish	табакъ
dishes	тепислер
dismiss	къабул этмемек
dispatch	ёлламакъ
display	тасвирлеме
disposal	хазыф
dispute	мунакъаша
distance	месафе
distinct	мухтелиф
distinguish	айырды этмек
distress	элем
distribution	тевзи
district	маалле
disturb	раатсызламакъ
ditch	ор
dive	далмакъ
diverse	чешит-чешит
diversity	чешитлик
divide	больмек
divine	иляйи
divorce	айырылышма
dizzy	баш айландырыджы
do	япмакъ
do you	сен
do you love me	сен мени севесинъми
doctor	эким
document	весикъа
does	япа
doesn't	дегиль
dog	копек
Dogri	Догри тили
doing	япкъан
doll	къокъла
domain	домен
domestic	ички
dominant	баскъын
don't	япма
Don't worry	Раатсызланма
donate	багъышламакъ
done	битти
donkey	эшек
dope	уюштырыджы
double	чифт
doubt	шубеленмек
dough	хамыр
down	ашагъы
download	юклемек
draft	къаралама
drag	сюрюклемек
drain	бошатмакъ
drama	драма
draw	чызмакъ
draw	джельп этмек
drawer	чекмедже
drawing	ресим
dread	къоркъулыкъ
dream	арзу
dress	антер
drill	бургъу
drink	ичимлик
drive	араба айдамакъ
drop	тюшюрмек
drop	тамчы
dropped	йыкъылды
drought	къургъакълыкъ
drunk	сархош
dry	къуру
duck	папий
dude	ашна
due	себебинден
due to	себептен
dull	солгъун
dumb	будала
dump	чёплюк
duration	девамлылыкъ
during	девамында
dust	тоз
duty	невбетчилик
dwell	отурмакъ
dying	мына-мына оледжек
each	эр бир
each other	бир-бирини
eager	истекли
eagle	къартал
ear	къулакъ
earlier	бундан эвель
early	эрте
earn	къазанмакъ
ears	къулакълар
earth	ер курреси
earthquake	зельзеле
ease	къолайлыкъ
easily	енгильдже
east	шаркъ
easy	къолай
eat	ашамакъ
eating	ашагъан
economic	икътисадият
economy	икътисат
edge	кенар
edit	тарир этмек
education	тасиль
effect	семере
effective	семерели
efficiency	семерелилик
efficient	семерели
effort	гъайрет
egg	йымырта
eggplant	морпатильджан
ego	нефисхорлыкъ
eight	секиз
eighteen	он секиз
eighty	сексен
either	веяхут
elaborate	ишлетмек
elbow	тирсек
elder	яшы буюк
elderly	эсли-башлы
elegant	зариф
element	унсур
elephant	филь
eleven	он бир
eligible	акъкъы олгъан
eliminate	элемек
else	даа да
embarrassed	утангъан
embarrassing	утандырыджы
embrace	къучакъ
emerge	ортагъа чыкъмакъ
emergency	февкъульаде вазиет
emotional	дуйгъулы
empathy	къайгъыдашлыкъ
emphasis	ургъу
emphasize	тюбюни чызмакъ
employee	хадим
employees	хадим
employer	иш берген
employment	иш
empty	бош
enable	имкян бермек
encounter	чатышмакъ
encourage	рагъбетлендирмек
end	сонъ
endangered	несили ёкъ оладжакъ
endeavor	ынтылма
endurance	даянув
endure	чыдамакъ
enemy	душман
energy	энергия
engage	эглендирмек
engaged	нишанлангъан
engagement	нишан
engine	кочюриджи
engineer	муэндис
English	Инглиз
enhance	къуветлендирмек
enjoy	кейфленмек
enormous	муаззам
enough	етер
ensure	кефиль олмакъ
enter	кирмек
entertainment	темаша
enthusiasm	джошкъунлыкъ
enthusiastic	авесли
entire	бутюнлей
entitled	башлыкълы
entity	барлыкъ
entrance	кириш
entrepreneur	иш адамы
envelope	зарф
environment	чевре
envy	пахыллыкъ
epic	дестан киби
epidemic	салгъын
equal	мусавий
equipment	донатма
equity	адалет
equivalent	мусавий
eraser	сильгич
error	хата
escape	къачув
especially	хусусан
essay	инша
essence	маиет
essential	темель
establish	тесис этмек
established	тешкиль этильген
estate	мульк
estimate	эсапламакъ
estimated	тахминий
etc	иляхре
eternal	эбедий
ethics	ахлякъият
evaluate	къыймет кесмек
evaluation	къыймет кесюв
even	атта
even though	олса да
evening	акъшам
event	тедбир
eventually	ниает
ever	ич
every	эр
everybody	эр кес
everyone	эр кес
everything	эр шей
evidence	исбат
evil	яман
evolution	эврим
evolve	инкишаф этмек
Ewe	Эве тили
ex	сабыкъ
exact	там
exactly	айнен
exam	имтиан
examine	тедкъикъ этмек
example	мисаль
exceed	ашмакъ
excellent	аля
except	истисна
exception	истисна
excess	арткъач
excessive	арткъан
exchange	денъишюв
excited	эеджанлы
excitement	эеджан
exciting	айретте къалдырыджы
exclusive	аля дереджели
excuse	акълама
excuse me	багъышла мени
execute	иджра этмек
execution	эда
executive	иджра
exercise	ерине кетирюв
exercise	мешгъулиет
exhaust	къыйнамакъ
exhausted	къыйналгъан
exhibit	сергиленген шей
exhibition	серги
exist	мевджут олмакъ
existence	бар олгъаны
existing	бар олгъан
exit	чыкъыш
expand	джайратмакъ
expect	ишанмакъ
expected	бекленильген
expenses	масрафлар
expensive	паалы
experience	теджрибе
experiment	денъев
expert	мутехассыс
expired	вакъыты кечти
explain	анълатмакъ
explanation	изаат
exploit	ишлетмек
explore	араштырмакъ
export	ихрадж
expose	мейдангъа чыкъармакъ
exposed	маруз къалгъан
exposure	маруз къалмакъ
express	ифаде этмек
expression	ифаде этюв
extend	кенишлетмек
extended	кенишлетильген
extension	узатма
extent	мертебе
external	тыш
extinct	сёнюк
extra	къошма
extract	чыкъармакъ
extraordinary	февкъульаде
extreme	ашыры
extremely	пек
eye	козь
eyes	козьлер
fabric	токъума
fabulous	салтанатлы
face	бет
facilitate	къолайлаштырмакъ
facilities	донатмалар
facility	къурулыш
fact	керчек
factor	фактор
factory	фабрика
facts	акъикъатлар
fade	солмакъ
fail	насипсизлик
failed	хайырсыз
failure	ред
faint	байылмакъ
fair	адалетли
fair	серги
fairly	баягъы
fairy	пери
faith	иман
faithful	садыкъ
fake	сахте
fall	кузь
fall	йыкъылмакъ
FALSE	сахте
fame	нам
familiar	таныш
family	къоранта
famine	ачлыкъ
famous	мешур
fan	ельпазе
fan	мухлис
fancy	назик
fantastic	фантастик
far	баягъы
far	узакъ
farewell	сагълыкълашув
farm	ферма
farmer	фермаджы
fascinating	тылсымлы
fashion	мода
fast	тез
fat	семиз
fatal	къачынылмаз
fate	къадер
father	баба
fatigue	ёргъунлыкъ
fault	янълышлыкъ
favorite	севимли
favour	эйилик
favourite	севимли
fear	къоркъмакъ
fear	къоркъу
feast	зияфет
feather	тюк
feature	хусусиет
features	вазифелер
february	кичик ай
fed up	быкъкъан
fee	уджрет
feed	ашатмакъ
feedback	къаршылыкъ
feel	ис этмек
feeling	дуйгъу
feet	аякълар
fell	йыкъылды
fellow	акъран
felt	кийиз
female	апай киши
fence	къора
fertile	махсулдарлыкъ
festival	фестиваль
fetch	чекмек
fever	умма
few	бираз
fewer	даа аз
fiance	нишанлы
fiction	уйдурма
field	саа
field	тарла
fierce	явуз
fifteen	он беш
fifty	элли
fight	котеклешмек
fighting	котек
figure	ракъам
figure out	сораштырып бильмек
file	файл
fill	толдурмакъ
filled	толгъан
film	фильм
filthy	пис
finally	ахыры
finance	малие
financial	малиевий
find	тапмакъ
find out	сораштырып бильмек
fine	эйи
finger	пармакъ
finish	битирмек
finished	биткен
fire	янгъын
fire	атеш
firm	ширкет
first	биринджи
first name	ад
fish	балыкъ
fit	уймакъ
five	беш
fix	тюзетмек
fixed	сабит
flag	байракъ
flash	парылты
flat	ялпакъ
flat	даире
flaw	эксиклик
flawless	къусурсыз
flee	къачмакъ
flesh	эт
flew	учти
flex	букмек
flexible	майышкъакъ
flight	учуш
flip	такълакъ
flirt	джильвеленмек
flirting	джильвелене
float	ялдавукъ
flood	сель
floor	къат
floor	табан
flour	ун
flow	акъым
flower	чичек
flu	грипп
fluent	сув-тильмач
fluently	чабик
fluffy	йымшакъ
fluid	шингенлик
fly	учмакъ
focus	бир ерге топланмакъ
fog	туман
foggy	туманлы
fold	къатламакъ
folks	халкъ
follow	излемек
follow up	такъип ет
following	келеджек
food	аш
fool	дели
foolish	ахмакъ
foot	аякъ
football	футбол
for	ичюн
For example	Мисаль оларакъ
for instance	мисаль оларакъ
for you	сенинъ ичюн
forbidden	ясакълы
force	кучь
forecast	тахмин
forehead	манълай
foreign	четель
forest	орман
forever	эбедиен
forget	унутмакъ
forgive	афу этмек
forgot	унутты
fork	санчкъы
form	шекиль
formal	ресмий
former	сабыкъ
fortunately	бахтыма
fortune	сервет
forty	къыркъ
forty-two	къыркъ эки
forward	огге
foster	етиштирмек
fought	тартышты
found	тапылгъан
foundation	темель
four	дёрт
fourteen	он дёрт
fox	тильки
fragile	нарин
frame	черчиве
framework	черчиве
fraud	айнеджилик
freak	худжур
free	сербест
free	бедава
freedom	сербестлик
freeze	бузламакъ
frequency	сыкълыкъ
frequent	сыкъ
frequently	сыкъ-сыкъ
fresh	тазе
friday	джума
fridge	бузлатыджы
friend	дост
friendly	достане
friends	достлар
friendship	достлукъ
frightened	къоркъутылгъан
frightening	къоркъутыджы
frog	бакъа
from	итибарен
front	огдеки
frozen	бузлатылгъан
fruit	мейва
frustrated	синъирли
fuel	якъарлыкъ
Fulfulde	Фулфулде тили
full	толу
fun	эглендже
function	ишлев
fundamental	темель къойгъан
funeral	дженазе
funny	кулюнчли
fur	кюрк
