a	а
advice	маслихӀат
advise	гӀакълу кьезе цӀодор гьавизе
advise	маслихӀатаб жо бицине
advocate	судалъул ишалъе божилъи гьабурав чи
aesthetic	эстетический
affair	роман
affect	зулму-хӀалалдалъун гьабизе тӀами
affection	тӀолареб гьудуллъи
affection	щулияб бухьен
afford	изну кьезе
afford	ихтияр кьезе
affordable	ине нух бугеб
afraid	хӀинкъун
after	цинги
afternoon	къалъулгӀуж
afterwards	цинги
afterwards	нахъа
afterwards	хадуб
again	цӀидасан
against	дандбитӀун
age	сон
agency	агентство
agent	агент
aggressive	тушманаб къасд букӀин
aggressive	квешаб
agile	бигьаго гьетӀизабизе кӀолеб
agile	хьетӀулеб
ago	нахъехун
ago	нахъе
agree	изну
agree	разилъи
agree	рекъей
agreement	рекъезаби
agreement	данде ккезаби
agriculture	росдал магӀишат
ahead	цебе бугеб
ahead	цебе чӀараб
ahead	цебе чӀун бугеб
aid	кумек
aim	ишан
aim	гӀуж
air	гьава
airport	аэропорт
aisle	кьер
aisle	мухъ
alarm	ракӀхӀинкъи
alarm	рахӀатхвей
alcohol	гӀаракъи
alert	ракӀхӀинкъи
alert	рахӀатхвей
alive	чӀагояб
alive	рухӀ бугеб
all	сахабго
all right	кинабго лъикӀ буго
all the best	кинабниги лъикӀаб
allow	изну кьезе
allow	ихтияр кьезе
allowed	изну кьезе
almost	гӀага-шагарго
alone	живго
along	гӀебеде
already	цебего
Alright	агьа
also	гьебги
alternative	кӀиго хӀукмуялъул цояб бищичӀого чара гьечӀолъи
although	кин бугониги
always	кидаго
am	эм
amazing	гӀажаибаб
ambiguous	магӀна бахчараб
ambition	чӀухӀдари
ambitious	цебе тӀамурав
ambitious	цо хӀалалдаса цогиялде унев
amend	битӀизабизе
amid	бакьулъ
among	бакьулъ
among us	нилъеда гъорлъ
amount	рикӀкӀен
amusing	гъира ккезабулеб
an	эн
analysis	анализ
ancestors	умумул
anchor	лангар
ancient	некӀсияб
and	и
and you	ва мунги
angel	малаик
anger	ццидаллъи
angle	цили
angry	ццидалав
angry	ццидалай
angry	ццидалаб
animal	рухӀчӀаголъи
animal	хӀайван
ankle	анат. хӀатӀихинкӀ
anniversary	лъагӀел тӀубай
announcement	игӀлан
announcement	баян кьей
announcement	лъазаби
annoy	рахӀат хун лъугьине
annoyed	ццин бахъарав
annoying	ццин бахъинабизе
annual	щибаб лъагӀалилаб
annual	санайилаб
anonymous	анонимияб
another	цогияб
answer	жаваб
anticipate	цебеккунго лъазе
anxiety	рахӀат гьечӀого
anxious	рахӀат хвараб
any	бокьараб
anymore	цӀикӀкӀун
anymore	гӀемер
anyone	бокьараб
anything	щибниги гуро
anyway	кинбугонаниниги
anyways	кин бугониги
apart	батӀаго
apart	батӀа тӀун
apartment	квартира
apologize	тӀаса лъугьине
apparent	берда бихьулеб
apparent	якъинаб
apparent	дагӀба гьечӀеб
apparently	батила
appeal	буссинаби
appeal	хьвадизаби
appear	баккизе
appearance	тӀасияб рахъ
appearance	къватӀисеб рахъ
appearance	сипат
appearance	тӀаде балагьун бихьулеб рахъ
appearance	куц
appeared	баккана
appetite	кваниде хьул
appetite	квен бокьи
appetite	кваниде гъира
apple	гӀеч
application	баян кьей
apply	хӀалтӀизабизе
appointment	тӀамизе
appreciate	къимат кьола
appreciation	къимат лъай
approach	рекъей
appropriate	рекъолеб
approval	лъикӀаблъун
approval	битӀараблъун рикӀкӀин
approve	тасдикъ гьабизе
approve	ритӀухъ гьабизе
approve	къабул гьабизе
approved	лъикӀаблъун
approximately	мисалияб куцалъ
april	апрель
arbitrary	эркенаб
architect	проект бахъулев специалист
architecture	архитектура
archive	идара
are	буго
are you	мун?
are you busy	нуж регӀун руги?
are you married	мун росасе ун йигейи-for girls
are you married	дуца чӀужу ячун йигейи -for boys
are you married or single	мун рукъалда вусун вуги или жеги мунгойищ вуге
Are you still there?	мун жеги гьениваищ?
are you there	мун гъоваищ
area	бутӀа
argue	дагӀбадизе
argue	къацандизе
argument	далил
argument	хӀужжа
arise	баккизе
arm	квер
army	армия
around	серун бугеб
arrange	гӀуцӀизе
arrange	гьабизе
arrangement	къотӀи-къай
arrival	бачӀин
arrival	тӀаде щвей
arrive	бачӀине
arrived	бачӀине
arrogant	гӀамал кӀодолъи
arrow	чӀорил сурат
art	гьунар
art	махщел
article	макъала
artificial	тӀубазабулев чи
artist	суратал рахъулев чи
as	эз
as long as	гьабсагӀат
as well	гьединго
as well as	гьединго
ash	мухӀур
ashamed	нечон вуго
ask	гьикъизе
asked	гьикъана
asleep	кьижараб
aspect	бербалагьи
Assamese	Ассамес
assault	гьужум гьабизе
assault	сундениги тӀаделъизе
assembly	бакӀари
assembly	дандбай
assertive	таваккалаб
assess	багьа чӀезабизе
assessment	багьа гьаби
assessment	багьа чӀезаби
assessment	къимат кьей
asset	хӀажатаб
asset	гьечӀого гӀолареб
asset	къваригӀараб
assets	ресурсы
assign	хъвайзе
assignment	чӀезаби
assist	кумек гьабизе
assistant	кумекчи
associate	хурхен бугеб
associated	хурхен букӀине
association	цого тайпаялъул хӀалтӀул гӀадамазул цолъи
assume	ракӀалда букӀине
assumption	гьадин батилилан ракӀалъ хӀисаб гьаби
at	в
at least	дагьго
ate	кванана
athlete	даимго спорталда тӀад чӀарав чи
attach	рекӀинабизе
attached	чӀвана
attachment	тӀад лъей
attack	гьужум
attempt	жигар бахъизе
attempt	хӀал бихьизе
attend	щвезе
attend	ине
attendance	рачӀен
attention	пикру кьей
attitude	бербалагьи
attract	привлекать
attraction	аскӀове цӀай
attractive	ракӀ балеб
attractive	бихьизе берцинаб
attractive	ракӀ тӀаде цӀалеб
attribute	атрибут
audience	халкъ
august	август
aunt	ункъгӀал
aunty	тетка
authentic	аутентичный
author	автор
authority	авторитет
autumn	хасалихълъи
available	кӀолеб
Avar	авар мацӏ
average	гьоркьобисеб
avoid	цӀунизе
awake	кьижичӀого чӀун вугев
award	шапакъат
aware	лъай букӀин
aware	баян букӀин
awareness	лъалеб букӀин
awareness	баян букӀин
away	добегӀан
awesome	цӀакъ лъикӀ
awful	хӀинкъизабулеб
awkward	санагӀат гьечӀлъи
Aymara	Эймара
baby	лъимер
bachelor	болозан
bachelor	лъади ячинчӀев чи
back	нахъе
background	тӀон
background	фон
bad	квешаб
bag	сумка
bag	къвача
bait	приманка
bake	выпекать
bakery	пекарня
baking soda	кванил сода
balance	баланс
ball	торгӀо
Bambara	Бамбара
banana	банан
band	ъокъа
band	тӀелr
bang	къвагьизе
bank	банк
bar	бар
barely	хӀалица
bargain	багьакъадаралъул къотӀи-къай гьабизе
bark	хӀапдезе
barley	пурчӀун
barrier	чали
barrier	къед
base	архит. кьучӀ
based	эхебе
based	гӀодобе
based	гъоркье
basement	подвал
basic	аслияб
basically	хӀакъикъаталсан
basil	бэзил
bastard	угъраш
batch	партия
bath	ванна
bathroom	ванна
battery	батарея
battle	рагъулаб
bay	мацӀ
bay	ралъдал квачӀ
be	йигоӀвуго
be careful	цӀодор вукӀа
beach	ралъдал рагӀлад
beam	чӀор
beans	бобы
bear	if it is animal it is - ци
bear	if it means to bear - ккойзе
beard	мегеж
bearing	босулеб
beast	жанавар
beat	бергьине
beautiful	берцинавӀберцинай
beauty	берцинлъи
became	лъана
because	щайгурелъидал
become	лъугьана
bed	манги
bed	тах
bedroom	кьижулеб рукъ
bee	най
beef	панзил гьан
been	букӀана
beer	пиво
before	цебе
began	байбихьи
begin	байбихьизе
beginning	жубай
behalf	цӀаралдасан
behave	хьвада-чӀвади
behavior	гӀамал
behaviour	хьвада-чӀвади
behind	нахъа
being	биинг
belief	ракӀчӀей
belief	божел
belief	божи
believe	божи
belly	чехь
belong	бетӀергьанаблъун букӀине
beloved	бокьулеб
below	гъоркьа
belt	рачел
bench	гьитӀинаб тукен
bend	к
bend	ич
bend	изабизе
beneath	под
benefit	тӀокӀлъи
benefits	тӀокӀлъи
beside	аскӀоб
besides	гьеб хутӀизегӀан
best	бищунго лъикӀаб
best of luck	сахлъи
best regards	лъикӀаб гьаригун
better	лъикӀ гьаби
between	гьоркъоблъи
beverage	гьекъолеб
beyond	нахъа
Bhojpuri	Бовджпури
bias	цебеккун
bias	сундулгунниги-лъилгунниги лъай-хъвай гьабилалде
bias	хӀакъикъиял хӀужжабиги хӀисабалде росичӀого
bias	бижараб пикру
biased	мекъав вугониги жиндие вокьулесул рахъ кколев
bicycle	хӀатӀимашин
bid	гьоркьоб жо лъезе
big	кӀудияб
bike	хӀатӀимашин
bill	рикӀкӀен
bill	хӀисаб
bind	бухьине
bird	хӀинч
birthday	гьаби
bit	бутӀа
bite	хӀанчӀизе
bitter	кьогӀаб
black	чӀегӀераб
blade	бал
blame	гӀайиб чӀвазе
blank	чӀобогояб
blanket	юргъан
blast	кьвагьизаби
blast	кьвагьун щущазаби
blast	кьвагьи
bleach	хъахӀ гьабизе
blend	жуба-гъубзе
bless	пурман кьей
bless	изну
blessed	Алагьасде аманат
blind	канлъи бихьуларев
blind	бецав
bliss	тӀубараб талихӀ
block	блок
blood	би
bloom	тӀегьазе
blow	пузе
blue	хъахӀилаб
blunt	бал хвараб
blunt	свараб
blunt	тӀехӀараб
board	къоно
board	хъарщи
boat	гама
body	къаркъала
boil	гьалдезабизе
bold	тӀехӀаб
bond	бухьен
bond	хурхен
bone	ракьа
book	тӀехь
boost	гӀилла-сабаб букӀина
booster	кумекжо
boot	лъит
boots	чакмаби
border	гӀурхъи
bore	бухъизе
bored	бизарлъизе
boring	чӀалгӀараб
born	вижарав
borrow	тӀад гьабизе
borrow	бекӀеда къезе
boss	босс
both	кӀиябго
bother	рахӀат хвезабизе
bottle	шиша
bottom	тӀину
bought	босана
bounce	кӀанцӀезе
bound	гӀурхъи
boundaries	гӀурхъи
bow	бетӀер къули
bow	икрам гьаби
bowl	суркӀа
box	къали
box	гъутухъ
boy	вас
boyfriend	гьудулав чи
bracelet	браслет
brain	гӀадалнах
branch	гӀаркьел
brand	гӀаламат
brand	маркӀа
brand	гӀуж
brave	бахӀарчияв
brave	бер къаларев
brave	къвакӀарав
breach	биххизаби
breach	хвезаби
bread	чед
break	бекана
breakfast	радалквен
breast	керен
breath	хӀухӀел цӀазе
breathe	хӀухьел цӀазе
breed	тайпа
brick	кирпич
bride	бахӀарай
bridge	кьо
brief	къокъаб
bright	гвангъараб
brilliant	кунчӀараб
brilliant	гвангъараб
bring	босе
bro	вацако
broad	гӀатӀидаб
broad	гӀебаб
broadcast	транслировать
broke	векарав
broken	бекана
broom	жул
brother	вац
brother in law	чӀужуялъул вац
brought	босана
brown	сурмияб
brush	щетка
bucket	ведро
buddy	гьудул
budget	бюджет
bug	хатӀа
bug	гъалатӀ
build	гӀуцӀизе
building	мина
building	ригь
built	гӀуцӀи
bulk	шгӀемераб
bull	оц
bully	зулмуялдалъун
bully	гучалдалъун хӀинкъи кьезе
bump	кьабизе
bunch	бухьин
bundle	квацӀи
burden	бакӀаб юк
buried	букъизе
burn	цӀа рекӀине
burst	къваизе
bury	букъизе
bus	автобус
bush	хьуй
bush	хъарахъ
business	Бизнес
bust	щущазабизе
bust	гъуризе
bust	гъуризабизе
bust	noun -керен
bust	бекизабизе
bust	verb -  бекизе
bust	тӀетӀезабизе
busy	регӀел гьечӀо
but	амма
butter	масло
butterfly	кӀалкӀучӀ
button	кнопка
buy	босизе
by	бай
by the way	кинбугонаниниги
bye	къо-мех лъикӀ
cabbage	капуста
cabinet	кабинет
cage	хьури
cake	торт
calf	гӀакаялъул тӀинчӀ
calf	бече
call	къуризе
call	ахӀизе
call me	диде кьуре
called	кьурана
calm	сабру
came	вачӀине
campaign	кампания
can	кӀола
can't	кӀуларго
Cancel	къайзе
cancer	ралъдал гарц
capable	бажари
capacity	гъварилъи
capital	капитал
caption	гъолбас гьаби
capture	ккойзе
car	машина
career	карьера
careful	цӀодорав
carefully	цӀодорго
careless	ургъел гьечӀеб
caring	ургъел гьабулев
carpenter	цӀулал устар
carpet	тӀанса
carrot	ламадур
carry	ккой
carry on	иш чӀезе течӀого яги заманалдасан цебе бачине
carry on	гьабизе
carry out	тӀубазе
case	лъугьа-бахъин
cash	наличные
cast	речӀчӀизе
castle	хъала
castle	щулалъи
casual	чӀараб
casual	ругьунаб
casual	кидаго гӀадаб
cat	кету
catch	ккуна
category	категория
cattle	чӀегӀербоцӀи
caught	ккуна
cause	гӀилла
caution	цеве валагьи
caution	цӀодорлъи
cautious	дица балагьула буго
cave	нохъо
cease	къотӀизабизе
ceiling	мокърукьбакӀ
celebrate	байрам гьабизе
cell	хьури
center	бакьулъбакӀ
century	гӀасру
century	нусго сон
cereal	тӀоролал
cereal	могьолал
ceremony	церемония
certain	къвакӀго
certainly	узухъда
certificate	сертификат
certificate	шагьатнама
chain	синжир
chain	рахас
chair	бакӀу
challenge	хӀал бихьи
chance	шартӀ
change	хисизе
chaos	дунялалъул низам биххи
chaos	кинабго жо жуба-гъубан
character	персонаж
character	гӀамал
characteristics	хасият-гӀамал бихьизаби
charge	цӀезе
charity	кумек гьаби
charming	хӀикмалъизаризе гьабулеб
charming	хӀайранлъизаризе
chart	план
chase	хадулъизе
chat	гаргадулеб бакӀ
cheap	учузаб
cheat	хисизабизе
cheating	хӀалихьалъи
cheating	нахъегӀанлъи
cheating	къадарлъи
cheating	гьерсихъанлъи
check	цӀех-рехизе
cheek	кӀаркьен
cheer	рохел
cheerful	ракӀ гӀанчӀав
cheerful	ракӀ регьарав
cheerful	аваданав
cheers	сахлъиялъе
cheese	хӀан
chemistry	химия
cherish	багьа чӀвазе
chess	шахматал
chest	керен
chew	чӀамизе
chicken	гӀанкӀу
chief	аслияб
chief	бетӀераб
child	лъимер
childhood	лъимерлъи
childhood	гьитӀинаб мех
childhood	лъимераб гӀуж
children	лъимал
chill	квачан
chimneys	кӀкӀуй унеб труба
chin	нилъу
chocolate	шоколад
choice	тӀаса бищи
choose	бищизе
chop	къотӀ-къотӀизе
chores	рокъосеб хӀалтӀи
chubby	гургинаб гьумералъул
church	церковь
cinnamon	корица
cinnamon	дарчин
circle	гор
circumstances	шартӀ
circumstances	хӀужжа
citizen	гражданин
city	шагьар
claim	ракӀ чӀезабизе
clarify	баян гьабизе
class	сорт
clay	хӀатӀракь
clay	хӀатӀ
clean	бацӀадаб
clear	бацӀцӀадаб
clerk	офисалъул хӀалтӀукъан
clever	гӀакълуяв
clever	гӀакълуяй
clever	гӀакълуяб
client	жо босулев чи
cliff	утес
climate	гьава-бакъ
climb	рахине
clingy	рекӀун чӀолеб
clock	сагӀат
close	къай
closet	шкаф
cloth	ххам
clothes	ретӀел
cloud	накӀкӀ
cloudy	зобал накӀкӀаз рациялъул даража
clown	клоун
clue	кӀичӀ
clue	гъармахъ
clue	гъанца
clumsy	тантрахъаб
cluster	кластер
coach	тренер
coal	тӀурччи
coast	рагӀаллъи
coast	рагӀал
coat	пальто
coffee	къагьва
coffee	кофе
cognitive	лъазе рес бугеб
cognitive	нахъгӀунтӀулеб
coincidence	дандеккей
coincidence	цадахъ ккей
cold	квачараб
collapse	биххи
collar	воротник
colleague	цого махшелалъул чи
colleagues	хӀалтӀухъаби
collect	бакӀаризе
collection	цого тайпаялъул къайи-къоно
collection	коллекция
college	цӀалул бакӀал
color	кьер
colorless green ideas slept furiously	кьер гьечӀел гӀурччинал идеяби кутакалда лъикй кьишун рукӀана
colour	кьер
column	гъоркь-тӀад ругел мухъазул хӀуби
comb	гьоркьо
combination	комбинация
combine	хасаб тартибалда лъезе
combine	цоцалъ жубазабизе
combine	данде ккезабизе
combine	рекъезабизе
come	вачӀа
come	йячӀа
come here	гьаниве вачӀа
come on	жубазе
comfort	санагӀалъи
comfort	рахӀат
comfort	квегӀенлъи
comfortable	санагӀатаб
coming	вачӀунев
coming soon	хеккого
coming soon	кватӀичӀого
command	буюрухъ
comment	комментарий
commercial	коммерческий
commission	комиссия
commit	гьаби
commitment	тӀадебоси
commitment	чара гьечӀого
commitment	кьуричӀого тӀубазабизе кколеб къотӀи
committed	ритӀухъав
committed	ракӀ-ракӀалъ мутӀигӀав
commodity	къайи
common	тӀолазего
communicate	гаргадизе
communicate	бухьен букӀине
communicate	гьоркьоблъи
communication	гьоркьоблъи
community	сообщество
commute	щезе
companion	къайицадахъ
company	компания
compare	гьоркьоб бикьи
comparison	дандекквей
compassion	ракӀунти
compassion	гурхӀел
compassionate	гурхӀулев
compassionate	гурхӀел бугев
compatible	цадахъ букӀине бегьулеб
compatible	цадахъ букӀине рес бугеб
compete	чем къец базе
competent	сундулниги хӀакъалъулъ гӀураб лъай гьечӀев
competition	къец
competitive	данде чӀезе кӀолев
complain	гӀарза кьезе
complaint	гӀарз
complaint	зигарди
complaint	гӀарз бахъи
complement	цӀезабизе
complete	лъугӀизабизе
complete	тӀубазабизе
complete	рагӀалде бахъинабизе
completely	тӀубанго
completely	тӀаса камичӀого
complex	захӀматаб
compliance	тартиб цӀуни
complicated	захӀматаб
compliment	рецц-бакъ гьаби
comply	тӀуразаризе
composition	чего гӀуцӀи
composition	гӀуцӀи
compound	гӀадатаб гуреб
compound	захӀматаб
comprehension	бичӀчӀин
comprehensive	тӀолалго рахъал хӀисабалде росараб
comprehensive	кинабго рахъалъулаб
compromise	рекъел гьаби
compromise	маслихӀат
compromise	къотӀи ккей
compromise	кӀиябго рахъ разилъи
compulsory	гьабизе тӀамизе
compulsory	хӀалалъ гьабизабизе
computer	компьютер
concentrate	бакӀарун данделъизе
concentrate	цо бакӀалде рачӀинесконцентрироваться
concentrate	цо бакӀалде данделъизе
concept	аслияб пикру
concern	хӀалбихьизе
concerned	лъалев
concert	концерт
conclusion	къватӀибе бачин
concrete	чӀванкъотӀараб
condition	шартӀ
conditions	шартӀ
conduct	хьвада-чӀвади
conference	вакилзабазул данделъи
confess	мукӀурлъи
confidence	къвакӀи
confident	къвакӀи
confirm	уяблъизе
conflict	дагӀба-рагӀи
confused	бигъараб
confusion	жуба-гъубай
confusion	бада-гъудур
congrats	баркула
congratulation	барки
congratulations	баркула
conjunction	жубазаби
conjunction	цолъизаби
connect	рекӀинабизе
conquer	кквезе
conquer	ккун чӀезе
conscious	лъай
conscious	пикру бичӀчӀи
consciousness	сознание
consciousness	щибниги жоялъул хӀакъикъат
consent	разилъи
consequences	нахъалъун
conservation	цӀуни
conservative	консерватор
consider	ургӀула
considered	лъугьун бугеб ахӀвал-хӀалги хӀисабалде босун
consist	данде гьабун букӀине
consistency	тартиб буголъи
consistent	тартиб буголъи
constant	гьоркьоса къотӀичӀеб
constantly	гьоркьоса къотӀичӀого
constipation	рахай
construction	гӀуцӀи
construction	сокӀкӀин
consume	пайда босизе
consume	хӀалтӀизабиз
consumption	хӀалтӀизаби
contact	бухьен
contagious	бахунеб
contain	жаниб букӀине
contains	ккола
contains	хьихьула
contemporary	жакъасеб
contemporary	гьабсагӀат бугеб
contemporary	гьанжесеб заманалъул
contempt	рикӀкӀунгутӀизе мустахӀикъав
content	РакӀ чӀараб
contest	къец
context	магӀнаялъул рахъалъ щвалде щвараб тексталъул бутӀа
continent	континент
continue	чӀезе течӀого цебе бачине
contract	къотӀи
contrast	батӀалъи
contribute	кумек гьабизе
contribute	санагӀат гьабизе
contribute	санагӀалъи ккезабизе
contribute	сабаблъун ккезе
contribute	кому-чему квербакъи гьабизе
contribution	лъей
control	хал гьаби
controversial	тӀадкӀалъай бугеб
convenience	санагӀалъи
convenience	къагӀида рекъей
convenience	квегӀенлъи
convenient	санагӀатаб
conversation	ишалъулаб
conversation	цоцазулгун гьоркьоблъи
conversation	гьудуллъиялъулаб бухьен
convert	конвертировать
convey	битӀизе
convey	кьезе
convince	божизавизе
convince	ракӀ чӀезабизе
convinced	ракӀ чӀезабурав
cook	квен гьабизе
cooking	квен гьабизе
cool	лъикӀин
cooperation	цадахъ хӀалтӀи
cope	кӀойзе
copper	пахь
copper	пахьул гӀарац
core	аслияб
corn	цӀорлъ
corner	цили
correct	битӀараб
cost	хвезаби
costume	костюм
costume	ретӀел
cottage	коттедж
cotton	квасквас
couch	диван
cough	ухӀуди
could	куд
council	гӀакълу дандбай
council	гӀакълу
council	малълъи
council	маслихӀат
count	рикӀкӀине
counter	тукада къайи лъолеб стол
country	хӀукумат
countryside	росдал
countryside	росулъ вугев
couple	кӀигояб
couple	жут
courage	бахӀарчилъи
course	цӀали
court	суд
courtesy	къокъаб
cousin	яцгӀал - for girls  вацгӀал - for boys
cover	тӀамизе
cow	гӀака
coward	цӀукӀа
coward	хӀинкъуч
coward	гӀанкӀиракӀ
cozy	санагӀатаб
cozy	квегӀенаб
crab	краб
crack	трескаться
craft	махшел
craft	пиша
craft	устарлъи
crap	ккал
crash	балагь
crash	талихӀ къараб иш
craving	кутакаб шавкъ бугев
crawl	шуризе
crawl	хъурщизе
crazy	гӀадаллъарав
crazy	гӀадалав
create	лъугьинабизе
creative	гьунаралъулаб
credit	кредит
credit	налъи
creep	слизняк
creepy	квешаб
creepy	рокьукъаб
crew	буюрухъ
crime	такъсир
cringe	Нахъе кӀанцӀизе
crisis	захӀматаб гӀуж
criteria	бажарулареб
criteria	лъугьунареб
critical	критикияб
criticism	къимат кьеялъул
crop	къотӀизе
crop	ругъун лъезе
crops	бачӀин
cross	гӀебса къотӀизе
crow	гъеду
crowd	гури
crowd	халкъалъул руккел
crowded	гури
crowded	халкъалъул руккел
crown	корона
crucial	критикияб
cruel	раӀму гьечӀого
cruise	круиз
cruise	рейс
crush	гъуризабизе
cry	гӀодизе
cucumber	охцер
cuddle	къвал базе
culture	культура
cunning	оборлъи
cunning	сихӀирлъи
cup	къотӀизе
cupboard	буфет
curb	мицӀир
cure	лъилъизавизе
cure	сахлъизавизе
cure	дару гьабизе
curfew	командантасул сагӀат
curiosity	ккараб
curiosity	лъугьараб
curiosity	рагӀараб рагӀа-ракьанде щун лъазе бугеб гъира
curious	кинабго лъазе гъира-шавкъ бугеб
curly	кӀургӀараб
currency	валюта
current	хӀалтӀулеб
currently	дагьаб цебегӀан
curse	нагӀана кьезе
curtain	пардав
cushion	къандалъо
custom	гӀадат
customer	бичун босулев чи
customs	гӀурхъи бахун
cut	къотӀизе
cute	вокьулевӀйокьулей
cycle	къотӀел
cycle	цо чӀараб тӀел
cycling	хӀатӀимашина бачин
dad	эмен
dad	дада
daddy	дада
daily	щибаб къоялъ
dairy	рахьдал гьабураб
dam	сангар
damage	зарал
damage	зиян гьаби
damn	нагӀана батаяб
damp	регьел бугеб
damp	рагьлилаб
damp	биччараб
dance	кьурди
danger	хӀинкъи
dangerous	хӀинкъи бугеб
dark	бецӀаб
darling	хирияв
darling	хирияй
dash	рехдезе
data	заман
data	гӀуж
date	дандчӀвай
daughter	яс
day	къо
dead	хвел
deadline	ахирисеб заман
deaf	гӀинкъаб
deal	къотӀи-къай гьабизе
dear	хириявӀхирияй
Dear All	киназего салам
Dear Customer	хӀурматияв босулев чи
Dear Parents	эбел-эмен
Dear Parents	хириял умумул
Dear Sir	хӀурмат бугев бетӀерчӀахъад
Dear students	хириял цӀалдохъаби
Dear Team	хирияб команда
death	хвей
death	гӀажал
death	хвел
debate	бахӀс
debate	дагӀба-къец
debit	налъи бихьизабулеб счет
debris	рекарал жал
debt	налъи
decade	анцӀго сон
decay	бутӀабазде бикьун ине
deceased	парахатаб
deceased	гӀодобе биччараб
deceased	сабураб
deceive	гуккизе
december	декабрь
decent	лъикӀаб
decent	рекъараб
decide	хӀукму гьабизе
decided	хӀукму гьаубраб
decision	гьаби
deck	гамил тӀасияб рахъ
decline	гьетӀизабизе
decline	нахъе цузе
decline	цояб рахъалде къазабизе
decrease	гьитӀинабизе
dedicated	ритӀухълъи
dedication	ритӀухълъи
dedication	ракӀ-ракӀалъ мутӀигӀлъи
deed	лъалаго гьабураб
deed	цо къасдалда гьабураб иш
deep	гъваридаб
deer	ритӀучӀ
default	нахъ буссинабунгутӀи
default	кьунгутӀи
default	бецӀунгутӀи
defeat	къини
defend	хьихьизе
defend	лъилниги рахъ кквезе
define	чӀезабизе
definitely	дурусго
definition	чӀезаби
definition	баянлъи
degree	степень
degree	даража
delay	батӀаго лъезе
delay	нахъе лъезе
delayed	хадуб гьабизе тараб
delete	рикӀкӀад гьабизе
delete	рикӀкӀалъизабизе
delete	бацӀине
deliberate	цебеккун ургъунго хӀадур гьабураб
delicate	хӀеренаб
delicious	татуяб
delight	рохел
delight	хӀайранлъи
delighted	разияв
deliver	щвезабизе
delivered	щвезабураб
delivery	щвезаби
demand	тӀалаб гьабизе
demanding	кьварараб
demanding	тӀалаб бугеб
democracy	хӀукуматалъул ишал халкъалъ гьари
demon	гӀиприт
demon	илбис
demonstrate	бихьизабизе
demonstrate	берда бихьизе цебе лъезе
denied	нахъе цуй
density	щулалъи
dentist	цабзазул устар
dentist	гӀусазул тохтир
deny	нахъчӀвараб
deny	разилъи гьечӀеб
department	батӀалъизаби
departure	ине
depend	бараблъун
deploy	бичизе
deposit	лъураб гӀарац
depressed	ракӀ гӀодобчӀвай
depression	депрессия
depth	гъварилъи
describe	сипат-сурат гьабизе
description	хъвай
description	бицин
desert	кутакалда гучаб
desert	цӀакъ кутакаб
desert	хаган хутӀизарулеб
desert	кӀудияб асар гьабулеб
deserve	мустакълъизе
design	дизайн
design	къачӀай
designation	гӀуж гьаби
desire	анищ
desire	мурад
desk	хӀалтӀул стол
despair	хьул къотӀи
despair	ракӀ буссин
desperate	гьабулелде вачӀунарев
