a	un
architect	tisavour
architecture	savouriezh
archive	diell
are	zo
are	eo
are you	out
are you busy	prez zo warnoc'h
are you married	dimezet oc'h
are you married or single	dimezet oc'h pe dizimez
Are you still there?	Aze emaoc'h c'hoazh ?
are you there	aze emaoc'h ?
area	takad
argue	arguzenniñ
argue	tabutal
argument	tabut
argument	arguzenn
arise	sevel
arm	brec'h
arm	arm
army	arme
around	tro-dro
arrange	renkañ
arrangement	kinkladur
arrival	donedigezh
arrive	degouezhout
arrived	degouezhet
arrogant	rog
arrow	saezh
art	arz
article	pennad
artificial	artifisiel
artist	arzour
as	evel
as long as	ken hir ha
as long as	e-keit ha ma
as well	ivez
as well as	ken mat ha
ash	ludu
ash	onn
ashamed	lent
ashamed	mezhek
ask	goulenn
asked	goulennet
asleep	kousket
aspect	neuz
Assamese	asameg
assault	argad
assembly	bodadenn
assertive	kadarn
assess	priziañ
assessment	dielfennadenn
assessment	priziadenn
asset	mat
asset	splet
asset	danvez
assets	kevala
assets	madoù
assets	peadra
assign	dereiñ
assignment	dever
assignment	kefridi
assignment	post
assist	harpañ
assistant	skoazeller
associate	kevreet
associated	kevreet
association	kevredigezh
association	kenaozadur
assume	soñjal
assumption	lakadenn
at	e
at	da
at least	da nebeutañ
ate	debret
athlete	atletour
attach	stagañ
attached	staget
attachment	pezh-stag
attack	argad
attack	tagañ
attempt	esaeañ
attend	mont
attend	bezañ war al lec'h
attend	kemer perzh
attendance	daremprederezh
attendance	bezañs
attention	evezh
attitude	emzalc'h
attract	dedennañ
attraction	dedennerezh
attractive	desachus
attribute	reiñ
attribute	dereiñ
audience	arvesterien
august	Eost
aunt	moereb
aunty	moereb
authentic	gwirion
author	aozer
authority	aotrouniezh
autumn	diskaramzer
available	hegerz
average	keitat
avoid	mont hebiou
awake	dihun
award	prizañ
award	lore
aware	emskiantek
awareness	emskiant
away	kuit
awesome	eus ar c'hentañ
awful	divalav
awful	spontus
awkward	iskis
Aymara	aymaraeg
baby	babig
bachelor	den dizimez
bachelor	bachelor
bachelor	bachelouriezh
back	kein
back	harpañ
back	distro
background	drekleur
bad	fall
bag	sac'h
bait	boued
bake	pobañ
bake	fardañ gwastilli
bakery	baraerezh
baking soda	bikarbonat natriom
balance	balañs
ball	mell
ball	kell
Bambara	bambaraeg
banana	bananezenn
band	strollad
bang	stlakal
bang	stlakadenn
bang	skeiñ
bank	bank
bar	difenn
bar	barrenn
bar	tavarn
barely	a-boan
bargain	marc'hata
bargain	distaol
bark	harzhal
barley	heiz
barrier	kloued
base	diazez
base	diazezañ
base	strad
based	diazezet
basement	danzouar
basic	diazez
basically	dreist-holl
basil	bazilik
bastard	bastard
batch	strollañ
batch	strollad
bath	sal-emwalc'hiñ
bath	kibellañ
bath	kibelladenn
bathroom	sal-emwalc'hiñ
battery	batiri
battery	pil
battle	emgann
bay	bae
be	bezañ
be careful	taol evezh
beach	traezhenn
beam	treust
beam	skignañ
beans	fav
bear	gouzañv
bear	arzh
bear	sammañ
beard	barv
bearing	levezon
bearing	harp
beast	euzhvil
beat	poulzadenn
beat	skeiñ
beautiful	kaer
beauty	kened
beauty	koantenn
became	deuet da vezañ
because	peogwir
become	dont da vezañ
bed	gwele
bedroom	kambr
bee	gwenanenn
beef	kig-bevin
been	a zo bet
beer	bier
before	a-raok
began	kroget
begin	kregiñ
beginning	deroù
behalf	a-berzh
behave	en em zerc'hel
behavior	emzalc'h
behaviour	emzalc'h
behind	a-dreñv
being	bezañ
belief	kredenn
believe	krediñ
belly	kof
belong	bezañ da
beloved	karet
below	a-is
belt	gouriz
bench	bank
bend	plegañ
bend	stouiñ
beneath	dindan
benefit	gounid
benefits	gounidoù
beside	tost
besides	ouzhpenn-se
best	gwellañ
best of luck	chañs vat
best regards	gwellañ soñjoù
better	gwelloc'h
between	etre
beverage	evaj
beyond	en tu all
Bhojpuri	bhojpureg
bias	tuadur
bias	tro-viziez
biased	falset
bicycle	marc'h-houarn
bid	kinnig
big	bras
bike	troadikellat
bike	belo
bill	fakturenn
bill	kont
bill	danvez lezenn
bind	liammañ
bird	evn
birthday	deiz-ha-bloaz
bit	tamm
bite	dantañ
bite	tamm
bite	flemmañ
bitter	c'hwerv
black	du
blade	lavnenn
blame	tamall
blank	goullo
blanket	pallenn
blast	barrad
bleach	gwennañ
blend	kenaozañ
blend	kemmesk
blend	teuzet
bless	bennigañ
blessed	chañsus
blind	dall
bliss	trugar
block	bloc'had
block	stankañ
blood	gwad
bloom	bleuniadur
blow	tarzhañ
blow	taol
blow	c'hwezhañ
blue	trist
blue	glas
blunt	tougn
board	kuzul-merañ
board	taol
board	bodad
boat	bag
body	korf
boil	birviñ
bold	dizaon
bold	arouezennoù tev
bond	liamm
bond	stagañ
bone	askorn
book	mirout
book	levr
boost	kas war-raok
booster	bounter
boot	heuz
boots	heuzoù
border	harz
bore	toullañ
bore	enoeiñ
bored	enoet
boring	enoeüs
born	ganet
borrow	amprestañ
boss	patrom
both	an daou
bother	direnkañ
bottle	boutailh
bottom	foñs
bottom	penn a-dreñv
bought	prenet
bounce	dazlamm
bound	liammañ
boundaries	harzoù
bow	stouiñ
bowl	bolenn
box	boest
boy	paotr
boyfriend	karedig
bracelet	tro-vrec'h
brain	empenn
branch	skourr
brand	merk
brave	kalonek
breach	terriñ
bread	bara
break	vakañsoù
break	troc'h
break	terriñ
breakfast	lein
breast	bronn
breath	analañ
breathe	analiñ
breed	gouenn
breed	ki
breed	parañ
Breton	brezhoneg
brick	brikenn
bride	plac'h nevez
bridge	tostaat
bridge	pont
bridge	kevreañ
brief	diverrañ
brief	kelaouiñ
brief	berr
bright	speredek
bright	skedus
brilliant	dispar
brilliant	skedus
bring	degas
bro	frei
broad	ledan
broadcast	abadenn
broadcast	bannañ
broadcast	skingas
broke	rivinet
broke	torret
broken	torret
broom	banal
brother	breur
brother in law	breur-kaer
brought	degaset
brown	gell
brush	broust
brush	broustañ
bucket	bailh
buddy	frei
budget	budjed
bug	c'hwil
build	sevel
building	savadur
built	sevel
built	savet
bulk	bern
bull	tarv
bully	gwallgas
bump	bos
bunch	pakad
bundle	pakad
burden	pouez
burden	samm
buried	douaret
burn	deviñ
burst	tarzhañ
bury	douarañ
bus	bus
bush	bod
business	embregerezh
business	afer
bust	korf-bras
bust	c'hwitadenn
bust	tarzhañ
busy	tapet
but	met
butter	amann
butterfly	balafenn
button	bouton
buy	prenañ
by	dre
by the way	p'emaon ganti
bye	kenavo
cabbage	kaol
cabinet	kabined
cage	kaoued
cake	gwastell
calf	leue
call	galv
call	gervel
call	pellgomzadenn
call me	galv ac'hanon
call me	pellgomz din
called	galvet
calm	sioul
calm	sioulaat
came	deuet
campaign	koulzad-kabaliñ
campaign	stourm
campaign	koulzad
can	gallout
can't	ne c'hall ket
Cancel	Nullañ
cancer	kankr
capable	gouest
capacity	barregezh
capital	kevala
capital	kêr-benn
caption	rubrikenn
caption	alc'hwez
caption	istitlañ
capture	pakañ
car	karr
career	red-micher
careful	evezhiek
carefully	gant aket
careless	dievezh
caring	o teurel evezh
carpenter	kalvez
carpet	tapis
carrot	karotezenn
carry	treuzkas
carry	dougen
carry	kenderc'hel
carry on	kenderc'hel
carry out	seveniñ
carry out	lakaat e plas
carry out	kas da benn
case	degouezh
cash	teñzorerezh
cash	enkefiañ
cash	arc'hant dizolo
cast	plastr
cast	moull
cast	bannañ
castle	kastell
casual	pemdez
cat	kazh
catch	pakañ
category	rummad
cattle	chatal
caught	tapet
cause	degas
cause	abeg
caution	diwall
caution	kemenn
cautious	evezhiek
cave	mougev
cease	paouez
ceiling	kav
celebrate	lidañ
cell	kellig
center	kreiz
century	kantved
cereal	edaj
ceremony	lid
certain	sur
certainly	sur a-walc'h
certificate	testeni
chain	chadenn
chair	kadoriad
chair	kador
challenge	klaoustre
chance	chañs
change	kemmañ
change	kemm
change	treuzfeurmiñ
chaos	reustl
character	tudenn
characteristics	perzhioù
charge	fakturenniñ
charge	mizoù
charge	karg
charity	karitez
charming	hoalus
chart	grafik
chase	poursuiñ
chat	flapañ
chat	flap
cheap	marc'had-mat
cheat	truchañ
cheating	o truchañ
check	gwiriañ
check	chekenn
cheek	jod
cheer	strakal an daouarn
cheer	frealziñ
cheerful	bagol
cheers	yec'hed mat
cheers	kalonekadurioù
cheers	salud
cheese	keuz
chemistry	kimiezh
cherish	cherisañ
chess	echedoù
chest	brusk
chew	chaokat
chicken	yar
chief	penn
child	bugel
childhood	bugaleaj
children	bugale
chill	yenaat
chill	yen-ki
chimneys	siminalioù
chin	elgezh
chocolate	chokolad
choice	dibab
choose	dibab
chop	drailhañ
chores	anerioù
chores	devereioù
chubby	kuilh
church	iliz
cinnamon	kanell
circle	kelc'h
circumstances	darvoudoù
citizen	keodedour
city	kêr
claim	goulenn
claim	klemm
clarify	sklaeraat
class	klas
clay	pri
clean	prop
clean	naetaat
clear	sklaer
clear	naetaat
clear	skarzhañ
clerk	komis
clerk	kloareg
clerk	sekretour
clever	speredek
client	arval
cliff	tornaod
climate	hin
climb	krimpat
climb	krapat
climb	krapadenn
clingy	pegus
clock	eurier
close	tost
close	serriñ
closet	armel-voger
cloth	pezh dilhad
clothes	dilhad
cloud	koumoulenn
cloudy	koumoulek
clown	furlukin
clue	arverk
clue	titour
clue	alc'hwez
clumsy	dizampart
cluster	blokad
cluster	strollañ
coach	gourdoner
coal	glaou
coast	aod
coat	mantell
coffee	kafe
cognitive	anaoudel
coincidence	kendegouezh
cold	yen
collapse	kouezhañ en e boull
collar	kolier
colleague	kenseurt
colleagues	kenseurted
collect	dastum
collection	dastumad
college	studioù
college	skolaj
college	skol-veur
color	liv
colorless green ideas slept furiously	mennozhioù louet diliv a gouske a-zevri
colour	liv
column	rubrikenn
column	bann
column	steudad
comb	kribat
combination	kenstroll
combine	kenstrollañ
come	dont
come here	deus amañ
come on	deus 'ta
comfort	frealziñ
comfortable	aes
coming	o tont
coming soon	o tont emberr
command	gourc'hemenn
command	urzhiañ
comment	reiñ e soñj
comment	evezhiadenn
commercial	kenwerzhel
commission	urzhiadenn, urzhiañ, bodad
commit	seveniñ
commitment	engouestl
committed	empleget
commodity	danvez
commodity	aezamant
common	stank
common	boutin
communicate	kehentiñ
communication	kehentiñ
community	kumuniezh
commute	monedone
commute	dilec'hiañ
companion	kompagnun
company	kompagnunezh
compare	keñveriañ
comparison	keñveriadenn
compassion	truez
compassionate	trugarezus
compatible	kenglotus
compete	keveziñ
competent	barrek
competition	kenstrivadeg
competitive	kevezus
complain	klemm
complaint	klemm
complement	klokaenn
complete	klokaat
complete	leuniañ
complete	echuet
completely	da vat
complex	luziet
complex	kemplezh
compliance	sevenidigezh
compliance	reizhder
compliance	doujañs
complicated	kudennek
complicated	luziet
compliment	reiñ pour da
compliment	mel
comply	seveniñ
comply	ober diouzh
composition	aozadur
compound	kenaozañ
comprehension	kompren
comprehensive	klok
compromise	treuzvarc'hatañ
compulsory	ret
computer	urzhiataer
concentrate	kreizennet
concept	meizad
concern	nec'hiñ
concern	afer
concern	sellet ouzh
concerned	prederiet
concert	sonadeg
conclusion	klozadur
concrete	fetis
condition	yec'hed
condition	plegenn
condition	stad
conditions	modelezhioù
conduct	emzalc'h
conduct	ren
conduct	kas da benn
conference	prezegenn
confess	anzav
confidence	anzavadenn
confident	fiziañs ennañ
confirm	kadarnaat
conflict	tabut
confused	amsklaer
confused	trubuilhet
confusion	kemmesk
congrats	gourc'hemennoù
congratulation	gourc'hemenn
congratulations	gourc'hemennoù
conjunction	kenstroll
connect	kevreañ
conquer	aloubiñ
conscious	emouez
consciousness	emskiant
consent	asant
consent	asantiñ
consequences	heuliadoù
conservation	kaozeadenn
conservative	mirour
consider	en em soñjal
considered	diouzh
consist	mont d'ober
consistency	dalc'husted
consistent	dalc'hus
constant	kendalc'hus
constantly	ingal
constipation	goustivadur
construction	savadur
consume	beveziñ
consumption	beveziñ
contact	mont e darempred
contact	darempred
contagious	kontammus
contain	bevenniñ
contains	a zo ennañ
contemporary	kempred
contempt	dispriz
content	plijet
content	endalc'had
content	danvez
contest	sevel a-enep
contest	kenstrivadeg
contest	tagañ
context	kendestenn
continent	kevandir
continue	kenderc'hel
contract	pakañ
contract	kevrat
contract	strishaat
contrast	dargemm
contribute	kemer perzh
contribution	perzh
control	kontrolliñ
control	kontroll
controversial	breutaus
convenience	aezamant
convenient	azas
conversation	kaozeadenn
convert	amdreiñ
convert	distreiñ ouzh
convey	treuzkas
convince	kendrec'hiñ
convinced	kendrec'het
cook	keginañ
cook	keginer
cooking	o keginañ
cool	sichant
cool	yen
cool	klouaraat
cooperation	kenober
cope	derc'hel an taol
copper	kouevr
core	kalonenn
corn	maiz
corn	ed
corn	greun
corner	gennañ
corner	korn
correct	reizh
correct	reizhañ
cost	koustañ
cost	koust
costume	abid
costume	gwiskamant
cottage	pennti
cotton	koton
couch	gourvezvank
couch	skridaozañ
couch	fled
cough	pasaat
cough	paz
could	gallfe
council	kuzul
count	kont
count	kontañ
counter	talañ ouzh
counter	enebiñ
counter	konter
country	bro
countryside	maezioù
couple	koublad
courage	kalonegezh
course	programm
course	stummadur
course	kentel
court	lez
courtesy	sevended
cousin	kenderv
cover	golo
cover	goleiñ
cover	pallenn
cow	buoc'h
coward	digalon
cozy	aes
crab	krank
crack	strakal
crack	faout
crack	terriñ
craft	micher
craft	empentiñ
craft	artizanerezh
crap	brein
crap	nullachoù
crap	kaoc'hus
crash	gwallzarvoud
crash	frikañ
craving	c'hoant bras
craving	ezhomm
craving	sec'hed
crawl	ruzañ
crazy	foll
create	krouiñ
creative	krouus
credit	kred
creep	en em silañ
creepy	spouronus
crew	akipaj
crime	torfed
cringe	hegaziñ
crisis	enkadenn
criteria	dezverk
critical	arvarus
criticism	burutelladenn
crop	plantenn
crop	eost
crop	gounit
crops	plant
crops	trevadoù
cross	kroaz
cross	treuziñ
crow	bran
crowd	engroez
crowded	leun a dud
crown	kurunenn
crown	kurunenniñ
crucial	pouezus-meurbet
cruel	kriz
cruise	merdeiñ
cruise	merdeadenn
crush	amourouz
crush	frikañ
cry	youc'hadenn
cry	gouelañ
cry	galv
cucumber	kokombrez
cuddle	flourañ
culture	sevenadur
cunning	korvigell
cunning	finesa
cup	tasenn
cupboard	armel-voger
curb	mougañ
curb	krennañ
cure	pareañ
cure	pare
curfew	keulfe
curiosity	kuriusted
curious	drol
curious	kurius
curly	rodellek
currency	moneiz
current	froud
current	red
current	a vremañ
currently	evit ar mare
curse	mallozhiñ
curse	mallozh
curtain	rideoz
cushion	torchenn
cushion	gwareziñ
custom	diouzh muzul
customer	arval
customs	hengounioù
customs	maltouterezh
customs	boazioù
cut	troc'hañ
cut	troc'h
cute	koant
cycle	troadikellat
cycle	kelc'hiad
cycle	marc'h-houarn
cycling	marc'hhouarnañ
dad	tad
daddy	tadig
daily	pemdeziek
dairy	laezherezh
dam	stankell
damage	gwall
damage	gwallgas
damn	boulc'hurun
damp	leizh
dance	dañs
dance	dañsal
danger	dañjer
dangerous	dañjerus
dark	teñval
darling	karedig
dash	fardiñ
dash	taolenn-vourzh
data	roadennoù
date	emgav
date	deiziad
date	daremprediñ
daughter	merc'h
day	deiz
dead	marv
deadline	termen
deaf	bouzar
deal	talañ
deal	emglev
deal	marc'had
dear	karedig
dear	ker
Dear All	Keneiled ker
Dear Customer	Arval ker
Dear Parents	Kerent ker
Dear Sir	Aotrou ker
Dear students	Studierien ger
Dear Team	Skipailh ker
death	marv
debate	kendiviz
debate	divizout
debit	dleoù
debit	savadenn
debit	paeamant
debris	atred
debt	dle
decade	dekvloaziad
decay	breinañ
deceased	marv
deceive	touellañ
december	Kerzu
decent	dereat
decide	divizout
decided	divizet
decision	diviz
deck	pont
decline	mont war ziskar
decrease	digreskiñ
decrease	digresk
dedicated	gouestlet
dedication	engouestl
dedication	dediadenn
deed	jestr
deed	ober
deed	taol-kaer
deep	don
deer	karv
default	mank
defeat	faezhidigezh
defend	difenn
define	termeniñ
definitely	da vat
definition	termenadur
degree	derez
delay	dale
delayed	daleet
delete	dilemel
deliberate	a-ratozh
deliberate	kendivizout
delicate	kizidik
delicious	eus an dibab
delight	trugar
delighted	plijet-kaer
deliver	degas
delivered	degas
delivery	degas
demand	goulenn
demanding	labourus
demanding	tenn
democracy	demokratelezh
demon	diaoul
demonstrate	prouiñ
denied	nac'het
density	stankter
dentist	dentour
deny	nac'hañ
department	rann
departure	disparti
depend	bezañ diouzh
deploy	dispakañ
deposit	lezel
depressed	diwasket
depression	diwaskadenn
depth	donder
describe	deskrivañ
description	deskrivadur
desert	dezerzh
desert	dilezel
deserve	bezañ dellezek
design	tresañ
designation	anvadur
desire	c'hoantaenn
desire	kaout c'hoant
desk	burev
despair	dizesper
desperate	en dizesper
despite	daoust ma
dessert	dibenn-pred
destination	pal
destiny	tonkadur
destroy	distrujañ
destruction	distrujañ
destruction	distruj
detail	munud
details	munudoù
detect	dinoiñ
determination	youl
determine	diazezañ
determine	didermeniñ
determined	mennet
devastated	gwastet
develop	diorren
developed	diorroet
development	diorren
device	mekanik
devil	diaoul
devoted	emroüs
Dhivehi	dhiveheg
diabetes	diabet
diarrhea	darc'hoal
diary	deizlevr
dictionary	geriadur
did	a rae
die	mervel
died	marv
diet	reol-voued
difference	diforc'h
different	disheñvel
difficult	diaes
dig	toullañ
dignity	dinded
diligent	aketus
dinner	koan
dip	soubañ
direct	eeun
direction	durc'hadur
director	rener
dirt	loustoni
dirty	lous
disable	diweredekaat
disable	nammañ
disable	lakaat e-maez ar jeu
disabled	nammet
disappear	mont diwar wel
disappointed	dipitet
disaster	gwallreuz
discard	dilezel
discharge	diskarg
discipline	diskiblezh
discount	distaol
discover	dizoleiñ
discrimination	gwallziforc'h
discuss	divizout
discussion	kaozeadenn
disease	kleñved
diseases	kleñvedoù
disguise	teruzwisk
disguise	dic'hizañ
disgusting	heugus
dish	meuz
dish	stign parabolek
dish	plad
dishes	pladoù
dismiss	disteurel
dispatch	dasparzh
dispatch	kas
display	dispakañ
disposal	e kerz
disposal	skarzhadenn
disposal	lastez
dispute	tabut
distance	hed
distinct	disheñvel
distinguish	disheñvelaat
distress	argoll
distribution	dasparzh
district	distrig
disturb	direnkañ
ditch	foz
dive	splujañ
diverse	liesseurt
diversity	liesseurted
divide	rannañ
divine	divinout
divine	kaer-meurbet
divine	doueel
divorce	torr-dimeziñ
dizzy	mezevellet
do	ober
do you	ober a rit
do you love me	ha karout a rit ac'hanon
do you love me	ha karout a rez ac'hanon
doctor	doktor
document	teul
does	ra
doesn't	ne labour ket
dog	ki
Dogri	dogreg
doing	oc'h ober
doll	merc'hodenn
domain	domani
domestic	eus an ti
dominant	pennañ
don't	arabat
Don't worry	Arabat ober gwad fall
donate	donezoniñ
done	aet faezh
done	graet
donkey	azen
dope	dramm
dope	genaoueg
dope	drammañ
double	doubl
doubt	douetañs
dough	segal
dough	toaz
down	war al leur
down	stanket
down	en traoñ
download	pellgargañ
draft	brouilhed
draft	raktres
draft	brastresañ
drag	sachañ
drain	skarzhañ
drain	dizourañ
drama	drama
draw	desachañ
draw	tresañ
draw	tresadenn
drawer	tiretenn
drawing	o tresañ
drawing	tresadenn
dread	anken
dream	hunvreal
dream	hunvre
dress	gwiskañ
dress	sae
drill	pleustradenn
drink	evaj
drink	evañ
drive	bleinañ
drop	takenniñ
drop	takenn
drop	lezel da gouezhañ
dropped	lezet da gouezhañ
drought	sec'hor
drunk	mezv
dry	sec'h
duck	houad
dude	frei
due	en abeg
due	dle
due to	en abeg da
dull	enoeüs
dull	divlas
dull	togn
dumb	sot
dump	skarzhañ
dump	toull-lastez
dump	stlepel
duration	pad
during	e-pad
dust	poultrenn
duty	dlead
dwell	bezañ o chom
dwell	straniñ
dying	o vervel
each	pep hini
each other	an eil d'egile
eager	kaout c'hoant
eager	bezañ mall warnañ
eagle	erer
ear	skouarn
earlier	abretoc'h
early	abred
earn	gounit
ears	divskouarn
earth	douar
earthquake	kren-douar
ease	aesaat
easily	aes
east	reter
easy	aes
eat	debriñ
eating	o tebriñ
economic	ekonomikel
economy	ekonomiezh
edge	bevenn
edit	aozañ
edit	embann
education	studioù
education	kelenn
education	desaverezh
effect	efed
effective	efedus
efficiency	efeduster
efficient	efedus
effort	striv
egg	vi
eggplant	berjinez
ego	an-unan
ego	me
eight	eizh
eighteen	triwec'h
eighty	pevar-ugent
either	pe
elaborate	sevel
elbow	ilin
elder	henañ
elderly	oadet
elegant	kran
element	elfenn
elephant	olifant
eleven	unnek
eligible	dilennadus
eliminate	skarzhañ
else	all
embarrassed	lakaet diaes
embarrassing	chastreüs
embrace	briata
embrace	engronnañ
emerge	dont war c'horre
emergency	trummadoù
emotional	fromus
empathy	empatiezh
emphasis	pouez
emphasize	pouezañ war
employee	implijad
employees	implijidi
employer	implijout
employment	implij
empty	goullo
enable	aotren
encounter	kejañ gant
encourage	kalonekaat
end	fin
end	echuiñ
endangered	en arvar
endeavor	striv
endurance	padusted
endure	gouzañv
enemy	enebour
energy	energiezh
engage	kemer perzh
engage	enfredañ
engaged	graet ur bromesa gantañ
engagement	engouestl
engine	keflusker
engineer	ijinour
English	saozneg
enhance	diorren
enjoy	kaout plijadur
enormous	ramzel
enough	a-walc'h
ensure	suraat
ensure	gwareziñ
enter	mont tre
entertainment	dudi
enthusiasm	entan
enthusiastic	entanet
entire	klok
entitled	aotreet
entity	aozadur
entity	embregerezh
entrance	antre
entrepreneur	penn embregerezh
envelope	golo-lizher
envelope	goleiñ
environment	endro
envy	magañ gwarizi ouzh
envy	c'hoant
epic	harozel
epidemic	epidemiezh
equal	kevatal
equipment	aveadur
equity	ingalder
equivalent	kevatal
eraser	diverker
error	fazi
escape	tec'hout
especially	dreist-holl
essay	skridaozadenn
essence	strilheoul
essential	hollret
establish	diazezañ
established	diazezet
estate	peadra
estimate	priziañ
estimated	priziet
etc	h.a.
eternal	peurbadel
ethics	etik
evaluate	priziañ
evaluation	priziadenn
even	par
even	zoken
even though	ha pa
evening	nozvezh
event	darvoud
eventually	a-benn ar fin
ever	gwech ebet
every	pep
everybody	an holl dud
everyone	pep hini
everything	pep tra
evidence	prouenn
evil	diaoul
evil	drouk
evil	diaoulek
evolution	emdroadur
evolve	emdreiñ
Ewe	eweeg
ex	bet
exact	rik
exactly	dres
exam	arnodenn
examine	studiañ
example	skouer
exceed	tremen dreist
excellent	dreist
except	nemet
exception	nemedenn
excess	reñver
excessive	reñverek
exchange	eskemm
excited	dibasiant
excitement	birvilh
exciting	fromus
exciting	plijus
exclusive	dibar
excuse	digarez
excuse me	ma digarezit
execute	seveniñ
execute	lazhañ
execution	sevenidigezh
execution	andishadur
executive	sterner
exercise	poelladenn
exhaust	mont faezh
exhaust	gazoù-skarzh
exhausted	skuizh-divi
exhibit	diskouezadeg
exhibit	diskouez
exhibition	diskouezadeg
exist	bezañ
existence	bezañs
existing	bev
exit	er-maez
expand	astenn
expect	gedal
expect	gortoz
expected	gortozet
expenses	dispignoù
expensive	ker
experience	skiant-prenañ
experiment	arnod
experiment	arnodiñ
expert	arbennigour
expired	aet d'e dermen
explain	displegañ
explanation	displegadur
exploit	taol-kaer
explore	ergerzhiñ
export	ezporzhiañ
expose	divasklañ
expose	lakaat war wel
expose	dizoleiñ
exposed	dizolo
exposure	dispakadenn
express	embann
express	ezteurel
express	a-ratozh
expression	eztaoladenn
extend	astenn
extended	astennet
extension	astenn
extent	astenn
external	diavaez
extinct	aet da get
extra	ouzhpenn
extract	tamm
extract	lemel
extract	tennad
extraordinary	dreistordinal
extreme	estremour
extreme	radikal
extremely	meurbet
eye	lagad
eyes	daoulagad
fabric	danvez
fabulous	dispar
face	talañ
face	dremm
facilitate	aesaat
facilities	servijoù
facility	aezamant
fact	fed
factor	paotr-al-lizheroù
factor	faktor
factory	labouradeg
facts	fedoù
fade	mont diwar wel
fade	dislivañ
fade	steuziañ
fail	c'hwitañ
failed	c'hwitet
failure	c'hwitadenn
faint	semplañ
fair	reizh
fair	foar
fair	onest
fairly	madik
fairy	boudig
faith	feiz
faithful	feal
fake	touelladenn
fake	faos
fake	fals
fall	koazhañ
fall	diskar-amzer
fall	kouezhañ
false	FAOS
fame	brud
familiar	boas
familiar	anavezet
family	familh
famine	naonegezh
