পৰিত্যাগ	abandon
দিশ	aspect
অসমীয়া	Assamese
আক্ৰমণ	assault
সদন	assembly
নিশ্চয়াত্মক	assertive
মূল্যায়ন	assessment
সম্পত্তি	asset
সম্পত্তিসমূহ	assets
সাহায্য	assist
সহায়ক	assistant
সহযোগী	associate
সংস্থা	association
ধাৰণা	assumption
লগতে	as well
লগতে	as well as
খাইছিল	ate
ক্ৰীড়াবিদ	athlete
সংলগ্নক	attachment
আক্ৰমণ	attack
উপস্থিতি	attendance
আচৰণ	attitude
আকৰ্ষণ	attract
আকৰ্ষণ	attraction
আকৰ্ষণীয়	attractive
বৈশিষ্ট্য	attribute
দৰ্শক	audience
আগষ্ট	august
খুড়ী	aunt
খুড়ী	aunty
পেহী	aunty
মাহী	aunty
প্ৰামাণিক	authentic
লিখক	author
কতৃপক্ষ	authority
শৰত্‍	autumn
উপলব্ধ	available
গড়	average
পুৰস্কাৰ	award
জ্ঞাত	aware
সচেতনতা	awareness
আঁতৰত	away
বিস্ময়কৰ	awesome
ভয়াবহ	awful
আইমাৰা	Aymara
কেঁচুৱা	baby
পিছলৈ	back
পৃষ্ঠভূমি	background
বেয়া	bad
মোনা	bag
প্রলোভন	bait
সিজোৱা	bake
বেকাৰী	bakery
বল	ball
বংবাৰা	Bambara
কল	banana
বেণ্ড	band
ধমাকা	bang
বেংক	bank
বাৰ	bar
কোনোমতে	barely
বাকলি	bark
বাৰ্লী	barley
বাধা	barrier
ভেঁটি	base
ভিত্তিত	based
বেছমেণ্ট	basement
প্ৰাথমিক	basic
মূলতঃ	basically
তুলসী	basil
জাৰজ	bastard
বেটছ	batch
স্নান	bath
স্নানাগাৰ	bathroom
বেটাৰি	battery
যুদ্ধ	battle
উপসাগৰ	bay
হওক	be
আলোকৰশ্মি	beam
বীন	beans
ভালুক	bear
দাড়ি	beard
জন্তু	beast
ধুনীয়া	beautiful
সৌন্দৰ্য	beauty
হৈছিল	became
কাৰণ	because
হওক	become
বিছনা	bed
মৌমাখি	bee
গোমাংস	beef
বীয়েৰ	beer
আগতে	before
আৰম্ভণি	beginning
হৈ	behalf
আচৰণ	behave
ব্যৱহাৰ	behavior
আচৰণ	behaviour
পিছফালে	behind
বিশ্বাস	belief
বিশ্বাস	believe
পেট	belly
অন্তৰ্গত	belong
মৰমৰ	beloved
তলত	below
বেঞ্চ	bench
তলত	beneath
লাভ	benefit
লাভসমূহ	benefits
কাষত	beside
তাৰোপৰি	besides
সৰ্বোত্তম	best
শুভেচ্ছাৰে	best regards
উত্তম	better
মাজত	between
পানীয়	beverage
ভোজপুৰী	Bhojpuri
পক্ষপাত	bias
চাইকেল	bicycle
নিবিদা	bid
ডাঙৰ	big
মটৰচাইকেল	bike
বিল	bill
বন্ধা	bind
চৰাই	bird
জন্মদিন	birthday
কামোৰ	bite
তিতা	bitter
ক’লা	black
ব্লেড	blade
খালী	blank
কম্বল	blanket
ফুটা	blast
ব্লীচ	bleach
অন্ধ	blind
আশীৰ্বাদ	bliss
তেজ	blood
নীলা	blue
ভোটা	blunt
ব’ৰ্ড	board
নাও	boat
শৰীৰ	body
উতলোৱা	boil
সাহসী	bold
বান্ধোন	bond
হাড়	bone
কিতাপ	book
প্ৰচাৰক	booster
বুটজোতা	boot
বুটজোতা	boots
সীমান্ত	border
বিৰক্তিকৰ	boring
বছ	boss
উভয়	both
বটল	bottle
তলি	bottom
অনা	bought
জঁপিওৱা	bounce
বাধ্যতা	bound
সীমা	boundaries
ধেনু	bow
বাতি	bowl
বাকচ	box
ল’ৰা	boy
প্ৰেমিক	boyfriend
মগজ	brain
শাখা	branch
ব্ৰেণ্ড	brand
সাহসী	brave
উলংঘন	breach
লোফ	bread
ভঙা	break
বুকু	breast
উশাহ	breath
শ্বাস-প্ৰশ্বাস	breathe
বংশবৃদ্ধি	breed
ইটা	brick
কইনা	bride
সেঁতু	bridge
চমু	brief
উজ্বল	bright
উজ্বল	brilliant
অনা	bring
ভাই	bro
বহল	broad
সম্প্ৰচাৰ	broadcast
ভগা	broke
ভগা	broken
ঝাড়ু	broom
ভাই	brother
ভিনদেউ	brother in law
আনিছিল	brought
মটিয়া	brown
বাছ	brush
বাল্টি	bucket
সমনীয়া	buddy
বাজেট	budget
পোক	bug
নিৰ্মাণ	build
ভৱন	building
নিৰ্মিত	built
ষাঁড়	bull
উত্‍পীড়ন	bully
উখহা	bump
মুঠি	bunch
বাণ্ডিল	bundle
বোজা	burden
জ্বলা	burn
বিস্ফোৰণ	burst
পোতা	bury
বাছ	bus
জোপোহা	bush
ব্যৱসায়	business
বুকু	bust
ব্যস্ত	busy
কিন্তু	but
মাখন	butter
পখিলা	butterfly
বুটাম	button
দ্বাৰা	by
বিদায়	bye
বন্ধাকবি	cabbage
কেবিনেট	cabinet
সঁজা	cage
পিঠা	cake
শান্ত	calm
আহিছিল	came
অভিযান	campaign
পাৰে	can
কৰ্কট	cancer
নোৱাৰে	can't
সক্ষম	capable
ক্ষমতা	capacity
ৰাজধানী	capital
শিৰোনাম	caption
বাহন	car
কেৰিয়াৰ	career
সাৱধান	careful
সতৰ্কতাৰে	carefully
অসাৱধান	careless
কাঠমিস্ত্ৰী	carpenter
দলিচা	carpet
গাজৰ	carrot
কঢ়িওৱা	carry
ঘটনা	case
নগদ	cash
ঢলা	cast
দুৰ্গ	castle
নৈমিত্তিক	casual
মেকুৰী	cat
ধৰা	catch
শ্ৰেণী	category
গৰু	cattle
কাৰণ	cause
সাৱধান	caution
সতৰ্ক	cautious
গুহা	cave
সমাপ্তি	cease
চিলিং	ceiling
উদযাপন	celebrate
কোষ	cell
কেন্দ্ৰ	center
শতিকা	century
উপলক্ষ	ceremony
নিৰ্দিষ্ট	certain
নিশ্চিতভাৱে	certainly
প্ৰমাণপত্ৰ	certificate
শিকলি	chain
চকী	chair
প্ৰত্যাহবান	challenge
সুযোগ	chance
বিশৃংখলতা	chaos
চৰিত্ৰ	character
বৈশিষ্ট্যসমূহ	characteristics
চাৰ্জ	charge
পৰোপকাৰ	charity
কমনীয়	charming
তালিকা	chart
খেদা	chase
চাট	chat
সস্তীয়া	cheap
ঠগা	cheat
ঠগা	cheating
গাল	cheek
উল্লাস	cheer
হাঁহিমুখীয়া	cheerful
চীয়েৰ্ছ	cheers
চীজ	cheese
দবা	chess
বুকু	chest
চোবোৱা	chew
কুকুৰা	chicken
প্ৰধান	chief
শিশু	child
শিশুকাল	childhood
শিশু	children
ঠাণ্ডা	chill
চিমনি	chimneys
থুঁতৰি	chin
চকলেট	chocolate
পচন্দ	choice
কটা	chop
কাজকৰ্ম	chores
শকত	chubby
গীৰ্জা	church
দালচেনী	cinnamon
বৃত্ত	circle
পৰিস্থিতি	circumstances
নাগৰিক	citizen
চহৰ	city
শ্ৰেণী	class
পৰিষ্কাৰ	clean
পৰিষ্কাৰ	clear
পিয়ন	clerk
টেঙৰ	clever
গ্ৰাহক	client
শিল	cliff
জলবায়ু	climate
বগোৱা	climb
ঘড়ী	clock
বন্ধ	close
আলমাৰি	closet
পোছাক	cloth
কাপোৰ	clothes
ডাৱৰ	cloud
ডাৱৰীয়া	cloudy
বহুৱা	clown
সূত্ৰ	clue
অনাড়ম্বৰ	clumsy
গুচ্ছ	cluster
প্ৰশিক্ষক	coach
কয়লা	coal
উপকূল	coast
কোট	coat
কফি	coffee
জ্ঞানভিত্তিক	cognitive
কাকতালীয়	coincidence
ঠাণ্ডা	cold
কলাৰ	collar
সহকৰ্মী	colleague
সহকৰ্মীসকল	colleagues
সংগ্ৰহ	collect
সংগ্ৰহ	collection
মহাবিদ্যালয়	college
ৰং	color
ৰং	colour
স্তম্ভ	column
ফণী	comb
সংমিশ্ৰণ	combination
আহক	come
আৰাম	comfort
আৰামদায়ক	comfortable
আদেশ	command
মন্তব্য	comment
বাণিজ্যিক	commercial
অংগীকাৰ	commitment
প্ৰতিশ্ৰুতিবদ্ধ	committed
পণ্য	commodity
সাধাৰণ	common
যোগাযোগ	communicate
যোগাযোগ	communication
সমুদায়	community
অহাযোৱা	commute
সংগী	companion
কোম্পানী	company
কৰুণা	compassion
সহানুভূতিশীল	compassionate
উপযুক্ত	compatible
প্ৰতিযোগিতা	compete
সক্ষম	competent
প্ৰতিযোগিতা	competition
প্ৰতিযোগিতামূলক	competitive
গোচৰ	complaint
পৰিপূৰক	complement
সম্পূৰ্ণ	completely
জটিল	complex
অনুবৰ্তী	compliance
জটিল	complicated
প্ৰশংসা	compliment
সুৰ-ৰচনা	composition
যৌগ	compound
বোধগম্যতা	comprehension
বিস্তৃত	comprehensive
বাধ্যতামূলক	compulsory
কম্পিউটাৰ	computer
ধাৰণা	concept
উদ্বেগ	concern
চিন্তিত	concerned
সংগীতানুষ্ঠান	concert
উপসংহাৰ	conclusion
কংক্ৰিট	concrete
পৰিস্থিতি	condition
পৰিস্থিতি	conditions
ব্যৱহাৰ	conduct
সন্মিলন	conference
আত্মবিশ্বাস	confidence
আত্মবিশ্বাসী	confident
নিশ্চিত	confirm
বিবাদ	conflict
বিভ্ৰান্ত	confused
খেলিমেলি	confusion
অভিনন্দন	congrats
অভিনন্দন	congratulation
অভিনন্দন	congratulations
সংযোগ	conjunction
চেতনা	conscious
চেতনা	consciousness
অনুমতি	consent
পৰিণামবোৰ	consequences
সংৰক্ষণ	conservation
ৰক্ষণশীল	conservative
বিবেচিত	considered
গঠিত	consist
স্থিৰতা	consistency
অবিচলিত	consistent
নেৰানেপেৰা	constant
নিৰন্তৰ	constantly
কোষ্ঠকাঠিন্য	constipation
নিৰ্মাণ	construction
সেৱন	consumption
সংক্ৰামক	contagious
অন্তৰ্ভুক্ত	contain
সমসাময়িক	contemporary
অৱমাননা	contempt
বিষয়	content
প্ৰতিযোগিতা	contest
সন্দৰ্ভ	context
মহাদেশ	continent
চুক্তি	contract
বিষমতা	contrast
অৱদান	contribution
নিয়ন্ত্ৰণ	control
বিবাদগ্ৰস্ত	controversial
সুবিধা	convenience
সুবিধাজনক	convenient
কথা-বাৰ্তা	conversation
ৰূপান্তৰ	convert
ৰন্ধা	cook
ৰন্ধা	cooking
ঠাণ্ডা	cool
সহযোগ	cooperation
তাম	copper
মুখ্য	core
মাকৈ	corn
চুক	corner
শুদ্ধ	correct
খৰচ	cost
পোছাক	costume
কটেজ	cottage
কপাহ	cotton
শয্যা	couch
কাহ	cough
পৰিষদ	council
বিৰোধ	counter
দেশ	country
গ্ৰাম্যঅঞ্চল	countryside
দম্পতি	couple
সাহস	courage
ধাৰা	course
আদালত	court
ভদ্ৰতা	courtesy
পেহী	cousin
মামা	cousin
মাহী	cousin
আৱৰণ	cover
গাই	cow
ভয়াতুৰ	coward
আৰামদায়ক	cozy
কেঁকোৰা	crab
ফাঁট	crack
শিল্প	craft
বিষ্ঠা	crap
ভোক	craving
বলিয়া	crazy
সৃষ্টিশীল	creative
কৃতিত্ব	credit
অধম	creep
ভয়ংকৰ	creepy
দল	crew
অপৰাধ	crime
বিপদ	crisis
চৰ্ত	criteria
সমালোচনা	criticism
শস্য	crop
শস্য	crops
কাউৰী	crow
ভিৰ	crowd
মুকুট	crown
গুৰুত্বপূৰ্ণ	crucial
নিষ্ঠুৰ	cruel
ক্ৰুজ	cruise
কন্দা	cry
তিঁয়হ	cucumber
সংস্কৃতি	culture
টেঙৰ	cunning
কাপ	cup
আলমাৰী	cupboard
প্ৰতিবন্ধক	curb
আৰোগ্য	cure
অনুসন্ধিত্‍সা	curiosity
কৌতূহলী	curious
কেকোঁৰা	curly
মুদ্ৰা	currency
সোঁত	current
বৰ্তমান	currently
অভিশাপ	curse
পৰ্দা	curtain
কুশ্বন	cushion
গ্ৰাহক	customer
কটা	cut
মৰমলগা	cute
চক্ৰ	cycle
দেউতা	dad
দেউতা	daddy
দৈনিক	daily
দুগ্ধজাত	dairy
বাঁধ	dam
ক্ষতি	damage
সেমেকা	damp
নৃত্য	dance
বিপদ	danger
বিপদজনক	dangerous
অন্ধকাৰ	dark
মৰমৰ	darling
ছিটিকনি	dash
তথ্য	data
তাৰিখ	date
জীয়েক	daughter
দিন	day
মৃত	dead
সময়সীমা	deadline
বধিৰ	deaf
চুক্তি	deal
মৰমৰ	dear
মৃত্যু	death
তৰ্ক	debate
খৰচ	debit
ধ্বংসাবশেষ	debris
ধাৰ	debt
দশক	decade
মৃত	deceased
প্ৰতাৰণা	deceive
ডিচেম্বৰ	december
শালীন	decent
সিদ্ধান্ত	decision
ডেক	deck
নিম্নগামী	decrease
নিবেদিত	dedicated
একাগ্ৰতা	dedication
কৰ্ম	deed
গভীৰ	deep
হৰিণা	deer
ডিফল্ট	default
হৰুওৱা	defeat
প্ৰতিৰক্ষা	defend
নিশ্চিতভাৱে	definitely
সংজ্ঞা	definition
ডিগ্ৰী	degree
বিলোপ	delete
ইচ্ছাকৃত	deliberate
কোমল	delicate
সুস্বাদু	delicious
আনন্দ	delight
আনন্দিত	delighted
গণতন্ত্ৰ	democracy
ৰাক্ষস	demon
প্ৰদৰ্শন	demonstrate
ঘনত্ব	density
বিভাগ	department
প্ৰস্থান	departure
নিৰ্ভৰ	depend
জমা	deposit
উদাস	depression
গভীৰতা	depth
বিৱৰণ	description
মৰুভূমি	desert
প্ৰাপ্য	deserve
ডিজাইন	design
পদবী	designation
আকাংক্ষা	desire
ডেস্ক	desk
হতাশা	despair
হতাশ	desperate
সত্বেও	despite
মুখৰুচক	dessert
গন্তব্যস্থান	destination
ভাগ্য	destiny
ধ্বংস	destruction
বিৱৰণ	detail
সবিশেষ	details
সংকল্প	determination
নিৰূপিত	determined
বিধ্বস্ত	devastated
বিকশিত	developed
বিকাশ	development
ডিভাইচ	device
চয়তান	devil
সমৰ্পিত	devoted
দিৱেহী	Dhivehi
ডায়েবিটিছ	diabetes
ডায়েৰিয়া	diarrhea
ডায়েৰী	diary
অভিধান	dictionary
কৰিছিল	did
খাদ্য	diet
পাৰ্থক্য	difference
অন্য	different
কঠিন	difficult
মৰ্যাদা	dignity
পৰিশ্ৰমী	diligent
পোনপটীয়া	direct
দিশ	direction
নিৰ্দেশক	director
ময়লা	dirt
লেতেৰা	dirty
অক্ষম	disable
অদৃশ্য	disappear
নিৰাশ	disappointed
দুৰ্যোগ	disaster
নিয়মানুৱৰ্তিতা	discipline
ৰেহাই	discount
বৈষম্য	discrimination
আলোচনা	discussion
ৰোগ	disease
ৰোগসমূহ	diseases
ছদ্মৱেশ	disguise
ঘৃণা	disgusting
থালী	dish
কাঁহী	dishes
বৰ্খাস্ত	dismiss
পঠিওৱা	dispatch
প্ৰদৰ্শন	display
নিষ্পত্তি	disposal
বিতৰক	dispute
দূৰত্ব	distance
নিৰ্দিষ্ট	distinct
বেদনা	distress
বিতৰণ	distribution
জিলা	district
নলা	ditch
বিচিত্ৰ	diverse
অনৈক্য	diversity
আধ্যাত্মিক	divine
কৰক	do
ডাক্তৰ	doctor
নথিপত্ৰ	document
কৰে	does
নহয়	doesn't
কুকুৰ	dog
ডোগৰী	Dogri
পুতলা	doll
ডমেইন	domain
ঘৰুৱা	domestic
প্ৰভাৱশালী	dominant
গাধ	donkey
নকৰিব	don't
মূৰ্খ	dope
দুগুণ	double
সন্দেহ	doubt
তললৈ	down
ডাউনল’ড	download
খচৰা	draft
নলা	drain
নাটক	drama
অঁকা	draw
ড্ৰয়াৰ	drawer
ভয়	dread
সপোন	dream
পোছাক	dress
খন্দা	drill
চলোৱা	drive
টোপাল	drop
খৰ	drought
নিচাসক্ত	drunk
শুকান	dry
হাঁহ	duck
ল’ৰা	dude
দেয়	due
কাৰণে	due to
নিস্তেজ	dull
বোবা	dumb
ভাণ্ডাৰ	dump
সময়কাল	duration
ধুলি	dust
দায়িত্ব	duty
প্ৰতিটো	each
পৰস্পৰক	each other
আগ্ৰহী	eager
ঈগল	eagle
কাণ	ear
পূৰ্বতে	earlier
আগতীয়া	early
কাণ	ears
পৃথিৱী	earth
ভূমিকম্প	earthquake
সহজে	ease
সহজে	easily
পূব	east
সহজ	easy
খোৱা	eat
খোৱা	eating
অৰ্থনৈতিক	economic
অৰ্থনীতি	economy
প্ৰান্ত	edge
শিক্ষা	education
প্ৰভাৱ	effect
কাৰ্যকৰী	effective
দক্ষতা	efficiency
দক্ষ	efficient
চেষ্টা	effort
কণী	egg
বেঙেনা	eggplant
অহং	ego
আঠ	eight
ওঠৰ	eighteen
আশী	eighty
সম্প্ৰসাৰিত	elaborate
কিলাকুটী	elbow
জ্যেষ্ঠ	elder
জ্যেষ্ঠ	elderly
সুন্দৰ	elegant
উপাদান	element
হাতী	elephant
এঘাৰ	eleven
যোগ্য	eligible
নিষ্কাশন	eliminate
আবির্ভূত	emerge
জৰুৰীকালীন	emergency
আবেগিক	emotional
সহানুভুতি	empathy
কৰ্মচাৰী	employee
কৰ্মচাৰী	employees
নিয়োগকৰ্তা	employer
কৰ্মসংস্থান	employment
খালী	empty
সমাপ্ত	end
বিপন্ন	endangered
প্ৰচেষ্টা	endeavor
ধৈৰ্য	endurance
শত্ৰু	enemy
শক্তি	energy
জড়িত	engaged
ব্যস্ততা	engagement
ইঞ্জিন	engine
অভিযন্তা	engineer
ইংৰাজী	English
বৃহত্‍	enormous
পৰ্যাপ্ত	enough
বিনোদন	entertainment
উত্‍সাহ	enthusiasm
উত্‍সাহী	enthusiastic
সমগ্ৰ	entire
সত্তা	entity
প্ৰৱেশদ্বাৰ	entrance
উদ্যোগী	entrepreneur
খাম	envelope
পৰিৱেশ	environment
ঈৰ্ষা	envy
মহাকাব্য	epic
মহামাৰী	epidemic
সমান	equal
সঁজুলি	equipment
ন্যায়	equity
সমান্তৰাল	equivalent
ৰবৰ	eraser
আঁসোৱাহ	error
পলোৱা	escape
বিশেষকৈ	especially
ৰচনা	essay
সাৰাংশ	essence
আৱশ্যকীয়	essential
স্থাপিত	established
সম্পত্তি	estate
অনুমানিক	estimate
অনুমানিক	estimated
আদি	etc
চিৰদিনীয়া	eternal
নীতি	ethics
মূল্যায়ন	evaluation
যুগ্ম	even
সন্ধিয়া	evening
কাৰ্যক্ৰম	event
তথাপিও	even though
অৱশেষত	eventually
কেতিয়াবা	ever
প্ৰত্যেক	every
সকলো	everybody
সকলো	everyone
সকলো	everything
প্ৰমাণ	evidence
অশুভ	evil
এবৈ	Ewe
পূৰ্ব	ex
সঠিক	exact
পৰীক্ষা	exam
উদাহৰণ	example
ব্যতিক্ৰম	exception
অতিমাত্ৰা	excess
অতিৰিক্ত	excessive
বিনিময়	exchange
উত্তেজনা	excitement
ৰোমাঞ্চকৰ	exciting
একচেটিয়া	exclusive
কাৰ্যবাহী	executive
ব্যায়াম	exercise
নিষ্কাশন	exhaust
ক্লান্ত	exhausted
প্ৰদৰ্শন	exhibit
প্ৰদৰ্শনী	exhibition
উপলব্ধ	exist
অস্তিত্ব	existence
বিদ্যমান	existing
প্ৰস্থান	exit
খৰচ	expenses
দামী	expensive
অভিজ্ঞতা	experience
পৰীক্ষণ	experiment
বিশেষজ্ঞ	expert
ব্যাখ্যা	explanation
শোষণ	exploit
ৰপ্তানি	export
উন্মুক্ত	expose
উদঙোৱা	exposed
অনাবৃত	exposure
অভিব্যক্তি	expression
প্ৰসাৰিত	extend
বৰ্ধিত	extended
বিস্তাৰ	extension
বাহ্যিক	external
লুপ্ত	extinct
অতিৰিক্ত	extra
অসাধাৰণ	extraordinary
চৰম	extreme
অত্যন্ত	extremely
চকু	eye
চকু	eyes
ফেব্ৰিক	fabric
অবিশ্বাস্য	fabulous
চেহেৰা	face
সুবিধাসমূহ	facilities
সুবিধা	facility
তথ্য	fact
কাৰক	factor
ফেক্টৰী	factory
তথ্যসমূহ	facts
মেলা	fair
নিৰপেক্ষভাৱে	fairly
পৰী	fairy
ভৰসা	faith
বিশ্বাসী	faithful
ভুৱা	fake
মিছা	false
খ্যাতি	fame
চিনাকি	familiar
পৰিয়াল	family
দুৰ্ভিক্ষ	famine
বিখ্যাত	famous
পাংখা	fan
ফেন্সী	fancy
চমত্‍কাৰ	fantastic
দূৰ	far
বিদায়	farewell
খেতি	farm
খেতিয়ক	farmer
আকৰ্ষণীয়	fascinating
ফেশ্বন	fashion
বেগাই	fast
শকত	fat
প্ৰাণঘাতক	fatal
ভাগ্য	fate
পিতৃ	father
ভাগৰ	fatigue
দোষ	fault
প্ৰিয়	favorite
পক্ষপাত	favour
প্ৰিয়	favourite
ভয়	fear
ভোজ	feast
পাখি	feather
বৈশিষ্ট্য	feature
বৈশিষ্ট্যসমূহ	features
ফেব্ৰুৱাৰী	february
মাচুল	fee
ভোজন	feed
মতামত	feedback
অনুভৱ	feeling
ফুট	feet
সহকৰ্মী	fellow
মহিলা	female
বেৰা	fence
উৰ্বৰ	fertile
উত্‍সৱ	festival
জ্বৰ	fever
বাগদত্তা	fiance
কল্পকাহিনী	fiction
ক্ষেত্ৰ	field
ভয়ংকৰ	fierce
পোন্ধৰ	fifteen
পঞ্চাছ	fifty
কাজিয়া	fight
শৰীৰ	figure
ফাইল	file
পূৰ্ণ	fill
চলচ্চিত্ৰ	film
লেতেৰা	filthy
অৱশেষত	finally
বিত্ত	finance
অৰ্থনৈতিক	financial
জৰিমনা	fine
আঙুলি	finger
সমাপ্ত	finish
অগ্নি	fire
দৃঢ়	firm
প্ৰথম	first
মাছ	fish
পাঁচ	five
নিৰ্ধাৰিত	fixed
পতাকা	flag
চমক	flash
চেপেটা	flat
নিখুঁত	flawless
মাংস	flesh
নমনীয়	flex
নমনীয়	flexible
উৰাজাহাজ	flight
জোকোৱা	flirting
বানপানী	flood
মজিয়া	floor
ময়দা	flour
ফুল	flower
বাকপটু	fluent
সাৱলীলভাৱে	fluently
জুলীয়া	fluid
উৰা	fly
কুঁৱলী	fog
ভাঁজ	fold
বান্ধৱসকল	folks
নিম্নলিখিত	following
আহাৰ	food
মূৰ্খ	fool
মুৰ্খতা	foolish
ফুট	foot
ফুটবল	football
বাবে	for
নিষিদ্ধ	forbidden
বল	force
পুৰ্বানুমান	forecast
কপাল	forehead
বিদেশী	foreign
অৰণ্য	forest
চিৰদিন	forever
পাহৰা	forget
পাহৰিছিল	forgot
উদাহৰণস্বৰূপে	for instance
প্ৰপত্ৰ	form
আনুষ্ঠানিক	formal
পূৰ্বৰ	former
সৌভাগ্যক্ৰমে	fortunately
সৌভাগ্য	fortune
চল্লিশ	forty
বিয়াল্লিশ	forty-two
আগলৈ	forward
ভেঁটি	foundation
চাৰি	four
চৈধ্য	fourteen
শিয়াল	fox
ভঙ্গুৰ	fragile
ফ্ৰেম	frame
ফ্ৰেমৱৰ্ক	framework
প্ৰৱঞ্চনা	fraud
পাগল	freak
বিনামূলীয়া	free
স্বাধীনতা	freedom
ফ্ৰীজ	freeze
কম্পনাংক	frequency
সঘনাই	frequent
সঘনাই	frequently
সতেজ	fresh
শুক্ৰবাৰ	friday
ফ্ৰীজ	fridge
বন্ধু	friend
বন্ধুসুলভ	friendly
বন্ধুসকল	friends
বন্ধুত্ব	friendship
শংকিত	frightened
ভয়াৱহ	frightening
ভেকুলী	frog
পৰা	from
সন্মুখৰ	front
হিমায়িত	frozen
ফল	fruit
নিৰাশা	frustrated
ইন্ধন	fuel
ফুলফুল্দে	Fulfulde
সম্পূৰ্ণ	full
আনন্দ	fun
অনুষ্ঠান	function
মৌলিক	fundamental
জমনি	funny
নোম	fur
অগ্নিশৰ্মা	furious
আচবাব	furniture
আগলৈ	further
তদুপৰি	furthermore
ভৱিষ্যত	future
খেল	game
গেপ	gap
গেৰেজ	garage
আৱৰ্জনা	garbage
বাগিছা	garden
নহৰু	garlic
গেট	gate
গোটোৱা	gather
সমাবেশ	gathering
দিছিল	gave
গিয়েৰ	gear
লিংগ	gender
সাধাৰণ	general
সাধাৰণতে	generally
প্ৰজন্ম	generation
দয়ালু	generous
প্ৰতিভা	genius
ধাৰা	genre
ভদ্ৰ	gentle
