abandoned	सोडून वचप
comb	फणी
come here	हांगा यो
come on	सोडून दी
come	येवप
come	यो
comfortable	आरामदायक
comfortable	चैनीचें
comfort	आराम
comfort	सुसेग
coming soon	रोखडेंच येता
coming	येता
command	आदेश
command	कमांड
comment	टिप्पणी
commercial	वाणिज्य
commission	कमीशन
commitment	लागणूक
commitment	वचनबद्दताय
committed	करप
commit	करप
commit	वचन
commodity	वस्तू
commodity	सामुग्री
commodity	साहित्य
common	सामान्य
communicate	संवाद सादप
communication	दळणवळण
community	समुदाय
commute	यो-वच
companion	सहकारी
company	कंपनी
compare	तुळा
comparison	तुळा करप
compassionate	मायेस्त
compassion	काकुळट
compatible	अनुरूप
competent	अधिकृत
compete	पुराय करचें
competition	सर्त
competitive	स्पर्धात्मक
complaint	कागाळ
complain	कागाळ
complement	पुरक
completely	पुरायेन
complete	पुराय
complete	पूर्ण
complex	कठीण
complex	गूंतागूंतीचें
compliance	अनुपालन
complicated	गूंतागूंतीचें
complicated	जटील
compliment	तोखणाय
comply	पाळो दिवप
composition	रचना
compound	दुरीग
comprehension	आकलन
comprehension	बोध
comprehensive	सर्वसमावेशक
compromise	तडजोड करप
compulsory	सक्तीचें
computer	संगणक
concentrate	लक्ष दिवप
concept	संकल्पना
concerned	संबंदीत
concerned	हुस्को
concern	हुस्को
concert	कॉन्सर्ट
conclusion	निश्कर्श
concrete	ठोस
conditions	स्थिती
condition	अट
condition	स्थिती
conduct	आचरण
conference	परिशद
confess	कुमसार जावप
confidence	खात्री
confidence	विस्वास
confident	आत्मविस्वासी
confident	धीट
confirm	खात्री
confirm	निश्चीत
confirm	पुश्टी
conflict	संघर्श
confused	गोंदळिल्लो
confusion	गोंदळ
congrats	अभिनंदन
congratulations	अभिनंदन
congratulations	परबी
congratulation	अभिनंदन
conjunction	युती
connect	कनॅक्ट करचें
connect	जोडचें
conquer	जिखप
consciousness	चेतना
conscious	सावध
consent	मंजुरी
consent	संमती
consequences	निष्पत्ती
consequences	परिणाम
conservation	आरक्षण
conservation	राखण
conservative	आरक्षीत
conservative	एकमुळो
considered	विचारांत घेवप
consider	विचारांत घेवचें
consistency	सातत्य
consistent	सातत्यान
consist	समावेश
constantly	सातत्यान
constant	थीर
constant	नित्य
constipation	बध्दकोश्टता
construction	बांदकाम
consume	खावप
consume	सेवन
consumption	खर्च
consumption	खावप
contact	संपर्क
contagious	संसर्ग
contains	आसपावीत
contain	आसपावता
contemporary	समकालीन
contempt	तिरस्कार
content	मजकूर
content	सामुग्री
contest	स्पर्धा
context	संदर्भ
continent	खंड
continue	फुडें व्हरप
contract	कंत्राट
contrast	अपारदर्शक
contribute	योगदान
contribution	योगदान
control	नियंत्रण
controversial	वादग्रस्त
convenience	सोय
convenient	सोयीचें
conversation	संभाशण
convert	रुपांतरीत करप
convey	पावोवप
convinced	मन वळोवप
convince	समजावप
cooking	रांदप
cook	रांदपी
cool	थंड
cool	शांत
cooperation	सहकार्य
cope	बरोबरी करप
copper	तांबें
core	मुखेल गाभो
corner	कोनसो
corn	मको
correct	अचूक
correct	बरोबर
costume	पोशेग
cost	दर
cottage	खोेप
cotton	कापूस
couch	कोच
cough	कफ
cough	खोकली
could	शकप
council	मंडळ
counter	गल्लो
counter	नाब
counter	विरोध
countryside	गांवगिरो वाठार
country	देश
count	मेजणी
couple	जोडपें
courage	उर्बां
courage	प्रोत्साहन
courage	साहस
course	अभ्यासक्रम
course	पाठ्यक्रम
course	प्रवाह
courtesy	शिश्टाचार
court	कोर्ट
court	न्यायालय
cousin	आतेभाव-भयण
cousin	बापोलभाव-भयण
cousin	मामेभाव-भयण
cousin	मावसभाव-भयण
cover	आच्छादन
cover	कव्हर
cover	धांपणे
coward	भितरो
coward	भिवकुरो
cow	गाय
cozy	हलकेंफुलकें
crab	कुल्ली
crack	भेग
craft	हस्तकला
crap	लेंडी
crash	दिवाळें
craving	इत्सा
crawl	दिमकु-यानी चलप
crazy	पिशें
create	निर्माण करचें
creative	सर्जनशील
credit	उश्णे
credit	क्रेडिट
creepy	चलप
creep	सरकटप
crew	चोंबो
crew	तारवटी
crime	गुन्यांव
cringe	हांजी हांजी करप
crisis	संकट
criteria	निकश
critical	गंभीर
criticism	टिका
criticism	समिक्षा
crops	पिकावळ
crop	पीक
cross	क्रॉस
crowded	गर्दी आशिल्लें
crowd	गर्दी
crown	मुकुट
crow	कावळो
crucial	गंभीर
crucial	म्हत्वाचें
cruel	क्रूर
cruel	पाशवी
cruise	क्रुझ
crush	चिड्डप
cry	रडप
cucumber	तवशें
cuddle	वेंग
culture	संस्कृती
cunning	धूर्त
cupboard	आलमार
cup	कप
curb	अंकूश
cure	उपाय
cure	बरें जावप
curfew	कर्फ्यू
curiosity	उत्सूकताय
curious	उमळशीक आसपी
curly	कुरळे
currency	चलन
currently	चालंत
currently	सद्या
currently	हालींच
current	चालंत
current	सद्या
curse	स्त्राप
curtain	पडदो
cushion	कुशन
customer	गिरायक
customs	रिवाज
customs	रुढी
custom	कस्टम
custom	रिवाज
custom	रुढी
cute	सुंदर
cut	कातरप
cut	कापप
cycle	सायकल
cycling	सायकल चलोवप
daddy	डॅडी
daddy	बाबा
dad	बाबा
daily	सद्दां
dairy	डेअरी
damage	लुकसाण
damage	हानी
damn	दोश दिवप
damp	उडोवप
dam	धरण
dance	नाच
dangerous	धोक्याचें
dangerous	हानीकारक
danger	धोको
dark	काळोख
dark	गाड
darling	मोगा
dash	डॅश
data	डेटा
date	तारीख
daughter	धूव
day	दीस
deadline	डेडलायन
dead	मृत
dead	मेल्लो
deaf	भेड्डो
deal	सौदो
Dear All	सगल्या मोगाळ भावाभंयणानो
Dear Customer	मोगाळ गिरायक
Dear Parents	मोगाळ पालक
Dear Sir	मोगाळ सर
Dear students	मोगाळ विद्यार्थी
Dear Team	मोगाळ पंगड
dear	मोगाळ
death	मरण
debate	वादविवाद
debit	डेबिट
debit	वजा
debris	अवशेश
debris	गोबोर
debris	राख
debt	कर्ज
debt	रीण
decade	दशक
decay	कुसप
deceased	मृत
deceive	फटोवप
december	डिसेंबर
decent	देसेंत
decent	सभ्य
decided	थारायलां
decided	निर्णय घेतलो
decide	निर्णय
decision	निर्णय
deck	डॅक
decline	न्हयकारप
decrease	कमी
decrease	देंवप
dedicated	समर्पित
dedication	समर्पण
deed	कर्तूब
deep	खोल
deer	हरण
default	चूक
default	डिफॉल्ट
default	दोश
defeat	हार
defend	संरक्षण
define	स्पश्ट करचें
definitely	खात्रीशीर
definitely	निश्चीतपणान
definition	व्याख्या
degree	पदवी
delayed	कळाव जाल्लें
delay	कळाव
delete	वगळावचें
deliberate	हेतूपुर्वक
delicate	नरम
delicious	रुच्चीक
delighted	उमेदी
delight	संतोस
delivered	धाडलें
delivery	डिलिवरी
deliver	डेलिवर
demanding	मागणी
demand	मागणी
democracy	लोकशाय
demonstrate	प्रदर्शन
demon	राकेस
denied	न्हयकारलें
density	घनता
density	दाटसाण
dentist	दांताचो दोतोर
deny	न्हयकार
department	विभाग
departure	वचप
departure	सोडप
depend	अवलंबून
depend	निंबून
deploy	तैनात
deposit	जमा करप
deposit	ठेव
depressed	ताणांत आसपी
depression	चिंता
depression	ताण
depth	खोलाय
describe	वर्णन करचें
description	वर्णन
desert	वाळवंट
deserve	पात्र
deserve	लायक
designation	पद
design	डेझेन्य
design	रचना
design	सजावट
desire	इत्सा
desire	कामना
desire	हेत
desk	बांक
despair	निरशेणी
desperate	आत्यंतीक
despite	तरी लेगीत
dessert	डेझर्ट
dessert	रेंवट
dessert	वाळवंट
destination	नियोजीत थळ
destiny	नशीब
destroy	नाश
destruction	नाश
details	तपशील
detail	तपशील
detect	कळप
detect	मेळप
determination	निश्चेव
determined	निग्रही
determined	हट्टी
determine	थारावप
determine	निश्चीत
devastated	नाश जालो
developed	विकसीत
development	उदरगत
development	विकास
develop	विकास
device	उपकरण
device	डिव्हायस
devil	राकेस
devoted	समर्पित
Dhivehi	दिवेही
diabetes	गोडेंमूत
diarrhea	हागवण
diary	डायरी
dictionary	शब्दकोश
did	करप
did	सोडोवप
died	मरण
died	मृत
diet	आहार
die	मरण
difference	अंतर
difference	फरक
difference	भेद
different	वेगळें
difficult	कठीण
dignity	प्रतिश्ठा
dignity	व्हडपण
dig	खणप
diligent	सतर्क
dinner	रातचें जेवण
dip	बुचकळप
dip	बुडकी मारप
direction	दिका
director	संचालक
direct	थेट
direct	प्रत्यक्ष
dirty	घाण
dirty	म्हेळ
dirt	घाण
dirt	म्हेळें
disabled	निश्क्रीय
disable	निश्क्रीय करचें
disappear	अप्रगट
disappointed	अपेक्षाभंग
disappointed	खेद
disappointed	नापसंती
disappointed	नाराज
disaster	आपत्ती
disaster	संकश्ट
discard	बडतर्फ
discharge	घरा धाडप
discipline	शिश्त
discount	सवलत
discount	सूट
discover	तपास
discover	सोद
discrimination	भेदाभेद
discussion	चर्चा
discuss	चर्चा करची
diseases	दुयेंस
disease	दुयेंस
disease	रोग
disguise	वेशांतर
disgusting	किळसवाणे
disgusting	तिडक मारपी
dishes	पदार्थ
dish	पदार्थ
dismiss	बडतर्फ
dispatch	धाडप
display	डिस्प्ले
display	प्रदर्शन
disposal	विलो लावप
dispute	किजील
distance	अंतर
distinct	खेरीत
distinct	स्पश्ट
distinguish	फरक दाखय
distinguish	भेद
distress	दुख्ख
distress	संकश्ट
distribution	वांटप
distribution	वितरण
district	जिल्लो
disturb	बाधा
disturb	व्यत्यय
ditch	फटोवप
diverse	तरेकवार
diversity	विविधताय
dive	पाणबुडी
divide	विभागणी
divine	दैवी
divorce	घटस्फोट
dizzy	घुंवळ येवप
doctor	दोतोर
document	दस्तावेज
doesn't	ना
does	करप
Dogri	डोगरी
dog	कुत्रो
doing	करप
doll	बावली
domain	डोमेन
domestic	घरगुती
domestic	स्वदेशी
dominant	प्रबळ
donate	देणगी दिवप
done	जालें
donkey	गाढव
Don't worry	हुस्को करचो न्हय
don't	खबर ना
dope	घुंवळी वखद
double	दोट्टी
doubt	प्रस्न
doubt	संशय
dough	मळिल्ल्या पिठाचो गुळो
download	डावनलोड करचें
down	सकयल
do you love me	तू म्हजेर मोग करता
do you	तुमी
do	करचें
do	करप
draft	मसुदो
drag	ओडप
drain	गाळप
drama	नाटक
drawer	खण
drawer	पयशे काडपी
drawing	रेखाटण
draw	पितारप
draw	रेखाटण
dread	भंय
dread	भिरांत
dream	सपन
dress	पोशेग
drill	ड्रील
drink	पेय
drive	चलोवप
dropped	सोडलें
drop	थेंबो
drought	दुकळ
drunk	पिलें
dry	सुकें
duck	बकें
dude	भावा
due to	हाका लागून
due	कारण
due	देय
dull	निस्तेज
dull	मंद
dumb	मूक
dump	उडोवप
dump	घालप
duration	कालावधी
during	मजगती
dust	धुल्ल
duty	कर्तव्य
dwell	निवास
dying	मरता
each other	एकामेकाक
each	दरेकी
each	प्रत्येक
eager	उचंबळीत
eager	उत्सुक
eagle	गरूड
eagle	घार
earlier	आदीं
early	आदीं
early	पयलीं
early	बेगीन
earn	कमाय
earn	कमोवचें
ears	कान
earthquake	भूंयकाप
earth	धर्तरी
earth	पृथ्वी
ear	कान
ease	सोंपें
easily	सोंपेंरितीन
east	उदेंत
easy	सहज
easy	सोंपें
eating	खावप
eat	खा
eat	खावप
economic	अर्थिक
economy	अर्थवेवस्था
edge	कड
edge	देग
edit	संपादन करचें
education	शिक्षण
effective	परिणामकारक
effect	परिणाम
effect	प्रभाव
efficiency	प्रभाव
efficient	कार्यक्षम
effort	प्रयत्न
effort	येत्न
eggplant	वायंगे
egg	तातीं
ego	गर्व
eighteen	अठरा
eighty	ऐंशीं
eight	आठ
either	एकतर
elaborate	विस्तारावंन सांगचें
elbow	कोंपर
elderly	जाणटो
elder	जाण्टो
elder	व्हडलो
elegant	मोहक
elegant	सोबीत
element	घटक
elephant	हत्ती
eleven	इकरा
eligible	पात्र
eliminate	काडप
else	अतिरिक्त
else	तेभायर
embarrassed	लजेक घालें
embarrassing	लजेवणे
embrace	आपणावप
embrace	वेंगावप
emergency	आपात्काळ
emerge	उत्पन्न
emerge	प्रगट
emotional	भावनीक
empathy	समदुख्खी
emphasis	भर दिवप
emphasize	भर दिवप
employees	कर्मचारी
employee	कर्मचारी
employer	धनी
employment	रोजगार
empty	रिकामें
enable	सक्षम
encounter	गांठ पडप
encourage	उर्बां
encourage	प्रोत्साहन
endangered	नश्ट जावपाच्या मार्गाचेर
endeavor	प्रयत्न
endeavor	येत्न
endurance	जिद्द
endure	चिकाटी
end	शेवट
end	समाप्ती
enemy	शत्रू
energy	उर्जा
