abandoned	naibati
arbitrary	agbaliw-baliw
architect	arkitekto
architecture	arkitektura
archive	dokumento
area	lugar
are	ket
are you busy	naaliwaksay ka kadi
are you married	adda kadi asawam
are you married or single	adda kadi asawam wenno awan
are you	sika kadi ket
Are you still there?	Adda ka kadi pay lang dita?
are you there	adda ka kadi dita
argue	makisuppiat
argument	argumento
arise	agpangato
arm	takiag
army	soldado ti nasion
around	lawlaw ti
arrangement	katulagan
arrange	urnosen
arrival	pannakadumteng
arrived	simmangpet
arrive	dumteng
arrogant	natangig
arrow	gayang
art	artes
article	artikulo
artificial	artipisial
artist	artista
ashamed	mabain
ash	dapo
ask	agdamag
as	kas
asked	nadamag
asleep	nakaturog
as long as	basta no
aspect	aspeto
Assamese	Assamese
assault	puroken
assembly	gimong
assertive	natibker
assess	kedngan
assessment	panangkedngan
asset	sanikua
assets	dagiti sanikua
assign	idutok
assignment	panangidutok
assistant	mangbaddang
assist	baddangan
associated	nainaig
associate	inaig
association	asosasion
assume	ipagarup
assumption	panagpagarup
as well as	kas met ti
as well	kas met
ate	kinnan
athlete	atleta
at	iti
at least	uray
attached	nairagpin
attach	iragpin
attachment	nairagpin
attack	atake
attempt	padasen
attendance	pannakipaset
attend	imatonan
attention	panangikaso
attitude	ugali
attract	awisen
attraction	panangawis
attractive	napintas
attribute	idutok
audience	dum-dumngeg
august	agosto
aunt	anti
aunty	anti
authentic	nalinteg
authority	autoridad
author	mannurat
autumn	otonio
available	sidadaan
average	pagtengngaan
avoid	liklikan
awake	siririing
award	gunggona
aware	makaammo
awareness	kinaammo
away	adayo
awesome	nagmayat
awful	nakaam-ames
awkward	nasamukol
Aymara	Aymara
baby	ubing
bachelor	baro
background	naggappuan
back	likud
bad	dakes
bag	bag
bait	apan
bake	agtemtem
bakery	paggatangan ti tinapay
baking soda	baking soda
balance	balanse
ball	bola
Bambara	Bambara
banana	saba
band	banda
bang	iyyuten
bank	bangko
barely	apaman
bargain	tawaran
bar	kabaret
bark	agtaul
barley	barley
barrier	serra
base	base
based	base iti
basement	sirok
basically	kadawyanna
basic	kadawyan
basil	basil
bastard	bastardo
batch	grupo
bath	digos
bathroom	banio
battery	bateria
battle	laban
bay	baybay
beach	igid ti taaw
be	ag
beam	tangbaw
beans	dagiti utong
bear	baklayen
beard	barbas
bearing	agbung-bunga
beast	animal
beat	bauten
beautiful	nagpintas
beauty	pintas
became	nagbalin
be careful	agannad
because	gapu ta
become	agbalin
bed	pagiddaan
bedroom	pagturugan
beef	karne ti baka
been	ket
beer	serbesa
bee	uyokan
before	sakbay
began	nangrugi
begin	irugi
beginning	rugi
behalf	maipanggep
behave	naalluad
behavior	panagtignay
behaviour	panagtignay
behind	nabati
being	addaan ti
belief	pammati
believe	patien
belly	tian
belong	tagikuaen
beloved	patpatgen
below	baba
belt	barikes
bench	papag
bend	killuen
beneath	baba
benefit	benepisio
benefits	dagiti benepisio
beside	arpad
besides	iti arpad
best	kasayaatan
best of luck	kaimbagan a gasat
best regards	nasayaat ka koma a kanayon
better	maymayat
between	baet
beverage	mainum
beyond	labes
Bhojpuri	Bhojpuri
bias	adda ayonanna
biased	addaan ti kayat
bicycle	bisikleta
bid	tawar
big	dakkel
bike	bisikleta
bill	babayadan
bind	igalut
bird	billit
birthday	pannakayanak
bite	kagaten
bit	sangkabassit
bitter	napait
black	nangisit
blade	tadem
blame	pabasolen
blank	blangko
blanket	ules
blast	bombaen
bleach	ikolada
blend	itipun
bless	bendisionan
blessed	nabendisionan
blind	buldeng
bliss	ragsak
block	lappedan
blood	dara
bloom	agsabong
blow	puyotan
blue	asul
blunt	nangudel
board	tabla
boat	bangka
body	bagi
boil	ipaburek
bold	naingel
bond	reppet
bone	tulang
book	libro
booster	booster
boost	papigsaen
boot	botas
boots	dagiti botas
border	beddeng
bore	aludinget
bored	naalidunget
boring	makabannog
born	naiyanak
borrow	buloden
boss	mangidadaulo
both	dua
bother	ringgoren
bottle	botelya
bottom	lansad
bought	nagatang
bounce	agkallatik
boundaries	dagiti beddeng
bound	bumalagtong
bow	agruknoy
bowl	malukong
box	kahon
boyfriend	nobio
boy	ubing a lalaki
bracelet	porselas
brain	utek
branch	sanga
brand	marka
brave	natured
breach	sawang
bread	tinapay
breakfast	pammigat
break	ibarsak
breast	suso
breath	anges
breathe	aganges
breed	lahi
brick	pader
bride	kaayan-ayat a babai
bridge	rangtay
brief	biit
bright	naraniag
brilliant	naglaing
bring	itugot
broadcast	irakurak
broad	naakaba
broke	awanan ti kuarta
broken	nabittak
broom	walis
bro	pare
brother in law	bayaw
brother	manong
brought	naitugot
brown	kayumanggi
brush	idamgis
bucket	balde
buddy	kadua
budget	presupuesto
bug	bangabanga
building	kamarin
build	ipatakder
built	naaramid
bulk	bulto
bull	toro
bully	mangirurumen
bump	bukol
bunch	kerker
bundle	reppet
burden	baklay
buried	naikali
burn	puoran
burst	bumtak
bury	ikali
bus	bus
bush	lampong
business	negosio
bust	suso
busy	adu ar-aramidenna
but	ngem
butterfly	kulibangbang
butter	mantikilya
button	buton
buy	gatangen
by	babaen
bye	pakada
by the way	ti patinayonna
cabbage	repolyo
cabinet	kabinet
cage	kulungan
cake	keyk
calf	urbon
call	awagan
called	naawagan
call me	awagannak
calm	natalna
came	napan
campaign	kampania
Cancel	Ikansela
cancer	kanser
can	kabaelan
can't	saan a kabaelan
capable	addaan ti kabaelan
capacity	kabaelan
capital	kapital
caption	tanda
capture	alaen
career	karera
carefully	naalluad
careful	naannad
careless	saan a naannad
caring	panangtaripato
car	kotse
carpenter	karpentero
carpet	karpet
carrot	karot
carry	awiten
carry on	ituloy
carry out	aramiden
case	kaso
cash	kuarta
cast	iwalin
castle	kastilio
casual	saan a patinayon
catch	tiliwen
category	kategoria
cat	pusa
cattle	baka
caught	natiliw
cause	gapu
caution	pakdaar
cautious	naalluad
cave	kueba
cease	isardeng
ceiling	bobida
celebrate	rambakan
cell	sellula
center	sentro
century	sangagasut a tawen
cereal	cereal
ceremony	seremonia
certainly	sigurado
certain	naisalumina
certificate	sertipikasion
chain	kawar
chair	tugaw
challenge	karit
chance	gasat
change	baliwan
chaos	gulo
characteristics	dagiti anag
character	karakter
charge	singiren
charity	panangaasi
charming	makaay-ayo
chart	tsart
chase	kamaten
chat	chat
cheap	nalaka
cheat	agkusit
cheating	agkus-kusit
check	kitaen
cheek	pingping
cheerful	nasayasak
cheer	liwliwa
cheers	kampay
cheese	keso
chemistry	kimdias
cherish	ilalaen
chess	chess
chest	barukong
chew	ngalngalen
chicken	manok
chief	tsip
childhood	kinaubing
children	ubbing
child	ubing
chill	lam-ek
chimneys	dagiti pagsimbuyokan
chin	timid
chocolate	tsokolate
choice	taban
choose	agpili
chop	tadtaden
chores	dagiti ubra
chubby	nalukmeg
church	simbaan
cinnamon	cinnamon
circle	bilog
circumstances	dagiti kasasaad
citizen	umili
city	siudad
claim	tunton
clarify	ipalawag
class	klase
clay	pila
clean	nadalus
clear	nalawag
clerk	eskribiente
clever	nasaririt
client	kliente
cliff	bakras
climate	klima
climb	umuli
clingy	nakapet
clock	orasan
close	iserra
closet	aparador
clothes	dagiti badu
cloth	tela
cloud	ulep
cloudy	naulep
clown	bubullagaw
clue	pagilasinan
clumsy	nadarumisa
cluster	purok
coach	mannarabay
coal	uging
coast	igid ti baybay
coat	kapote
coffee	kape
cognitive	kognitibo
coincidence	panaggiddan
cold	nalammiis
collapse	marpuog
collar	kuelyo
colleague	katarabaho
colleagues	dagiti katarabaho
collect	agkolekta
collection	koleksion
college	kolehiyo
colorless green ideas slept furiously	dagiti awan marisna a berde a balabala ket naturog a si-uunget
color	maris
colour	maris
column	kolum
combination	kombinasion
combine	itipun
comb	sagaysay
come here	mapan ka ditoy
come on	intan
come	umay
comfortable	nanam-ay
comfort	nam-ay
coming	mapanen
coming soon	umay ton
command	bilin
comment	komento
commercial	mailako
commission	komision
commit	italek
commitment	panagtalek
committed	natalek
commodity	produkto
common	sapasap
communicate	makikomunikar
communication	komunikasion
community	komunidad
commute	agpamasahe
companion	kadua
company	kompania
compare	iyasping
comparison	panangiyasping
compassion	asi
compassionate	naasi
compatible	mabalin
compete	makikompitensia
competent	nalaing
competition	kompetision
competitive	nalayaw
complain	agreklamo
complaint	reklamo
complement	mangkadua
complete	kompletoen
completely	kompleto
complex	komplikado
compliance	panagsurot
complicated	komplikado
compliment	kablaaw
comply	suruten
composition	komposision
compound	lawlaw
comprehension	panagawat
comprehensive	komprehensibo
compromise	kompromiso
compulsory	mandatorio
computer	kompiuter
concentrate	agperreng
concept	konsepto
concern	biang
concerned	makibiang
concert	konsierto
conclusion	tungpalna
concrete	konkreto
condition	kondision
conditions	dagiti kondision
conduct	aramiden
conference	kumperensia
confess	ipalgak
confidence	pammati
confident	napigsa pakinakem
confirm	kumpirmaen
conflict	susik
confused	nakibor
confusion	panangiyaw-awan
congrats	dayaw
congratulation	dayaw
congratulations	dayaw
conjunction	mangisilpu
connect	inaig
conquer	iparmek
consciousness	kinasiririing
conscious	siririing
consent	pammalubos
consequences	dagiti nagbanagan
conservation	panagtipid
conservative	konserbatibo
considered	naikonsiderar
consider	ikonsiderar
consist	aglaon
consistency	di panagbaliw
consistent	di-agbalbaliw
constant	di-agbalbaliw
constantly	kanayon
constipation	saan a makatakki
construction	panangipatakder
consume	usaren
consumption	panangbusbus
contact	kontaken
contagious	makaakar
contain	aglaon
contains	aglaon
contemporary	kotemporario
contempt	agpugtit
content	linaon
contest	kompetision
context	konteksto
continent	kontinente
continue	ituloy
contract	kontrata
contrast	kasupadi
contribute	agited
contribution	kontribusion
control	tengngelen
controversial	kontrobersial
convenience	kinanam-ay
convenient	nanam-ay
conversation	panagsao
convert	pabalinen
convey	ipakaammo
convince	awisen
convinced	naawis
cook	agluto
cooking	panagluto
cool	nalammiis
cooperation	pannakipaset
cope	benbenan
copper	tanso
core	bugas
corner	suli
corn	mais
correct	kusto
cost	gatad
costume	insuot
cottage	kubo
cotton	kapas
couch	pagtugawan
cough	uyek
could	kabaelan
council	koseho
count	bilangen
counter	puesto
country	pagilian
countryside	away
couple	agasawa
courage	kinatured
course	kurso
courtesy	dayaw
court	korte
cousin	kasinsin
cover	kalluban
coward	natakrot
cow	baka
cozy	mayengmeng
crab	rasa
crack	bittak
craft	sikap
crap	takki
crash	idungpar
craving	raguten
crawl	agkarayam
crazy	agmauyong
create	agaramid
creative	talentado
credit	utang
creep	agkaradap
creepy	kabutbuteng
crew	tattao
crime	basol
cringe	agkeppes
crisis	krisis
criteria	kriteria
critical	kritikal
criticism	kritisismo
crop	ani
crops	dagiti apit
cross	krus
crowded	nabutong
crowd	pangen
crown	korona
crow	uwak
crucial	napateg
cruel	naranggas
cruise	aglayag
crush	rumeken
cry	agsangit
cucumber	pipino
cuddle	agkubukub
culture	kultura
cunning	nasikap
cupboard	bankera
cup	tasa
curb	kissayan
cure	agasan
curfew	plaso ti panagruar
curiosity	kina-intrimitida
curious	naaya a mangammo
curly	nakulot
currency	kita ti kuarta
current	agdama
currently	agdama
curse	irurumen
curtain	kurtina
cushion	pungan
customer	kostumer
custom	naibagay
customs	dagiti kababalin
cute	makapaay-ayo
cut	puteden
cycle	siklo
cycling	panagbisikleta
daddy	tatang
dad	tatang
daily	inaldaw
dairy	paggatasan
damage	dadael
damn	okinnana
damp	nabasa
dam	tambakan ti danum
dance	sala
dangerous	delikado
danger	peggad
dark	nasipnget
darling	dungngo
dash	sayuan
data	datos
date	petsa
daughter	anak a babai
day	aldaw
deadline	plaso
dead	natay
deaf	tuleng
deal	aglangen
Dear All	Amin a Patpatgenmi
Dear Customer	Patpatgenmi a Gumagatang
Dear Parents	Patpatgenmi a Nagannak
dear	patpatgen
Dear Sir	Apo a Patpatgenmi
Dear students	Patpatgenmi nga estudiante
Dear Team	Patpatgenmi a Yasmang
death	pannakatay
debate	debate
debit	debito
debris	matinnag
debt	utang
decade	dekada
decay	rupsa
deceased	natayen
deceive	lukuen
december	disiembre
decent	disente
decided	inkeddeng
decide	ikeddeng
decision	desision
deck	arkos
decline	ipaid
decrease	kissayan
dedicated	nadungngo
dedication	dedikasion
deed	pammaneknek
deep	naadalem
deer	usa
default	default
defeat	abaken
defend	depensaan
define	ilawlawag
definitely	nakedngan
definition	kaipapanan
degree	grado
delayed	naitantan
delay	itantan
delete	ikkaten
deliberate	innayad
delicate	narasi
delicious	naimas
delighted	narag-o
delight	liwliwa
delivered	naipaw-it
deliver	ipaw-it
delivery	panangipaw-it
demanding	nadagullit
demand	pakasapulan
democracy	demokrasia
demon	demonio
demonstrate	ipasirmata
denied	naipaid
density	kadagsen
dentist	dentista
deny	ilibak
department	departamento
departure	panagpanaw
depend	depende
deploy	mangipadala
deposit	deposito
depressed	nadepres
depression	depresion
depth	kinaadalem
describe	iladawan
description	panangiladawan
desert	kadaratan
deserve	maiparbeng
designation	panangidutok
design	disenio
desire	tarigagay
desk	lamesaan
despair	tuok
desperate	malagawan
despite	basta
dessert	nasam-it
destination	destinasion
destiny	gasat
destroy	dadaelen
destruction	panagdadael
detail	detalye
details	dagiti detalye
detect	maamiris
determination	panangkeddeng
determined	naikeddeng
determine	maamiris
devastated	narebbeken
developed	nasukog
development	pagannayasan
develop	sukogen
device	ramit
devil	diablo
devoted	nadungngo
Dhivehi	Dhivehi
diabetes	diabetes
diarrhea	panagtakki
diary	diary
dictionary	diksionario
did	inaramid
died	natayen
die	matay
diet	kanen
difference	giddiat
different	sabali
difficult	narigat
dig	agkali
dignity	dignidad
diligent	nagaed
dinner	pang-rabii
dip	naisawsaw
direction	direksion
director	direktor
direct	tarus
dirt	rugit
dirty	narugit
disable	awan ti kabaelan
disabled	awanan ti kabaelan
disappear	mapukaw
disappointed	napaay
disaster	didigra
discard	ibelleng
discharge	panagruar
discipline	disiplina
discount	diskuento
discover	sukain
discrimination	panangbigbig
discussion	pagsaritaan
discuss	saritaen
disease	sakit
diseases	dagiti sakit
disguise	aglimmo
disgusting	naaryek
dishes	dagiti pinggan
dish	kanen
dismiss	papanawen
dispatch	idispatsa
display	ipakita
disposal	panangibelleng
dispute	ergo
distance	distansia
distinct	naidumduma
distinguish	iduma
distress	dismaya
distribution	panangiwaras
district	distrito
disturb	disturboen
ditch	kanal
dive	agbatuk
diverse	agduduma
diversity	panagduduma
divide	bingayen
divine	nasantoan
divorce	panagsina
dizzy	maulaw
do	aramiden
doctor	doktor
document	dokumento
does	agar-aramid
doesn't	saan a
dog	aso
Dogri	Dogri
doing	ar-aramiden
doll	munieka
domain	masaksakupan
domestic	naamo
dominant	mangnangruna
donate	agidonar
done	nalpasen
donkey	donkey
don't	saan
Don't worry	Saan nga agdanag
dope	allilawen
double	doble
doubt	dua-dua
dough	masa
down	baba
download	i-download
do you love me	ay-ayatennak kadi
do you	sika kadi ket
draft	angin
drag	uluden
drain	paatianan
drama	drama
drawer	kalsonsilio
draw	iladawan
drawing	panangiladawan
dread	amak
dream	tagtagainep
dress	bistida
drill	barena
drink	inumen
drive	agmaneho
drop	itinnag
dropped	intinnag
drought	tuyot
drunk	nabartek
dry	namaga
duck	pato
dude	pare
due	agsipud
due to	gapu ti
dull	nangudel
dumb	duldog
dump	ibelleng
duration	kabayag
during	bayat
dust	tapok
duty	rebbengen
dwell	agtaeng
dying	mat-matayen
each	kada
each other	pada a tao
eager	nagagar
eagle	agila
ear	lapayag
earlier	nasapsapa
early	nasapa
earn	agurnong
ears	dagiti lapayag
earth	lubong
earthquake	gingined
ease	palakaen
easily	a nalaka
east	daya
easy	nalaka
eating	mang-mangan
eat	mangan
economic	ekonomiko
economy	ekonomia
edge	iking
edit	sabalian
education	edukasion
effect	epekto
effective	nabirtud
efficiency	kinabirtud
efficient	adda kabaelanna
effort	pigsa
egg	itlog
eggplant	tarong
ego	panagdayaw ti bagi
eighteen	sangapulo ket walo
eight	walo
eighty	walo a pulo
either	uray ania iti dua
elaborate	ilawlawag
elbow	siko
elderly	natataengan
elder	natataengan
elegant	nadaeg
element	elemento
elephant	elepante
eleven	sangapulo ken maysa
eligible	maikari
eliminate	ikkaten
else	wenno sabali pay
embarrassed	nabainan
embarrassing	kababain
embrace	arakupen
emergency	emerhensia
emerge	rimmuar
emotional	emosional
empathy	pannakipagrikna
emphasis	pannakaitalmeg
emphasize	italmeg
employee	empleado
employees	dagiti empleado
employer	amo
employment	panagtarabaho
empty	ubbaw
enable	pagbalinen
encounter	mapadasan
encourage	allukoyen
endangered	adda iti peggad
endeavor	kagumaan
end	gibus
endurance	panangibtur
endure	anusan
enemy	kalaban
energy	enerhia
engaged	tamingen
engagement	tulag
engage	tamingen
engineer	inhiniero
engine	makina
English	Ingles
enhance	papintasen
enjoy	ganasen
enormous	dakkel unay
enough	naan-anay
ensure	siguradoen
enter	sumrek
entertainment	lingay
enthusiasm	kinaragsak
enthusiastic	naragsak
entire	intero
entitled	naindaklan
entity	entidad
entrance	pagserrekan
entrepreneur	negosiante
envelope	sobre
environment	lawlaw
envy	apal
epic	atiddog a daniw
epidemic	epidemiko
equal	kapada
equipment	alikamen
equity	kinaparbeng
equivalent	kapada
eraser	pamborar
error	biddut
escape	tumakas
especially	naisingsingayan
essay	surat
essence	kaipapanan
essential	napateg
established	naitakder
establish	ipatakder
estate	sanikua
estimated	naipatta-patta
estimate	patta-patta
etc	kdpy
eternal	agnanayon
ethics	dagiti etika
evaluate	kedngan
evaluation	panangkedngan
evening	rabii
even though	uray nu
event	pasamak
eventually	met laeng
even	uray
ever	agnanayon
everybody	amin a tao
every	kada
everyone	amin a tao
everything	amin a banag
evidence	ebidensia
evil	diablo
evolution	ebolusion
evolve	agsabali
Ewe	Ewe
exact	eksakto
exactly	eksakto
exam	eksamen
examine	iyeksamen
example	pagwadan
exceed	surok
excellent	nalaing
exception	panangilaksid
except	malaksid
excessive	nasur-surok
excess	surok
exchange	panangisukat
excited	naitabuy
excitement	kinaragsak
exciting	naganas
exclusive	eksklusibo
excuse me	dumalanak man
excuse	pambar
execute	patayen
execution	panagaramid
executive	ehekutibo
exercise	panagwatwat
exhaust	agbannog
exhausted	nabannog unay
exhibition	pabuya
exhibit	ipakita
ex	idi
exist	agbiag
existence	panagbiag
existing	agdama
exit	rumuar
expand	palawaen
expected	namnamaen
expect	namnamaen
expenses	dagiti gasto
expensive	nangina
experience	kapadasan
experiment	eksperimento
expert	eksperto
expired	nagpusaten
explain	ilawlawag
explanation	panangilawlawag
exploit	aramaten ti pagimbagan
explore	dapadapen
export	iruar ti pagilian
exposed	naiwarnak
expose	iwarnak
exposure	pannakaiwarnak
express	ibaga
expression	panangibaga
extended	naipaatiddog
extend	paatiddogen
extension	panangpaatiddog
extent	kaatiddog
external	iti ruar
extinct	naibusen
extract	likkaben
extraordinary	sangsangayan
extra	surok
extremely	la unay
extreme	nakaro
eye	mata
eyes	dagiti mata
fabric	tela
fabulous	sangsangayan
face	rupa
facilitate	baddangan
facilities	dagiti pasilidad
facility	pasilidad
fact	agpayso
factor	makaapektar
factory	pabrika
facts	dagiti pudno
fade	nausaw
failed	nagbabak
fail	maabak
failure	pannakaabak
faint	agtalimudaw
fairly	naparbeng
fair	naparbeng
fairy	enkantada
faithful	nagulib
faith	pammati
fake	peke
fall	matinnag
false	saan nga agpayso
fame	kinadayaw
familiar	naikaruaman
family	pamilia
famine	bisin
famous	madaydayaw
fancy	darepdep
fan	paypay
fantastic	saan a nakapatpati
far	adayo
farewell	pakada
farmer	agtal-talun
farm	talon
fascinating	makakayaw
fashion	fashion
fast	napartak
fatal	makapatay
fate	gasat
father	tatang
fatigue	kinabannog
fat	nalukmeg
fault	basol
favorite	kaykayat
favourite	kaykayat
favour	pabor
fear	buteng
feast	fiesta
feather	dutdot
feature	ladawan
features	dagiti ladawan
february	pebrero
fed up	nauman
fee	babayadan
feedback	kapanunotan
feed	pakanen
feeling	rikna
feel	marikna
feet	dagiti saka
fell	natinnag
fellow	kadua
felt	narikna
female	babai
fence	alad
fertile	nataba
festival	piesta
fetch	inallawat
fever	gurigor
few	bassit
fewer	basbassit
fiance	nobio
fiction	saan nga agpayso
field	talun
fierce	naungit
fifteen	sangapulo ket lima
fifty	lima a pulo
fight	apa
fighting	panagapa
figure out	ammoen
figure	pigura
file	urnosen
filled	nakargaan
fill	kargaan
film	pelikula
filthy	narugit
finally	kamaudiananna
finance	pirakan
financial	pinansial
find	biruken
find out	ammoen
fine	nasayaat
finger	ramay
finished	nalpasen
finish	palpasen
fire	apuy
firm	natibker
first name	nagan
first	umuna
fish	lames
fit	rumbeng
five	lima
fixed	naurnos
fix	urnosen
flag	bandera
flash	biit
flat	nasimpa
flaw	ganna
flawless	awan gannana
flee	timmakas
flesh	lasag
flew	timmayab
flexible	nalap-it
flex	iparayag
flight	panagtayab
flip	ibaliktad
flirt	garampang
flirting	panaggarampang
float	lumtaw
flood	layos
floor	datar
flour	arina
flow	agayus
flower	sabong
fluently	natarabit
fluent	natarabit
fluffy	naburbur
fluid	likido
flu	trangkaso
fly	agtayab
focus	agperreng
fog	angep
foggy	naangep
fold	ikulpi
folks	dagiti nagannak
following	sumaganad
follow	suruten
follow up	pasurutan
food	makan
foolish	langgong
fool	maag
football	football
foot	saka
forbidden	maiparit
force	puersa
forecast	ipadles
forehead	muging
foreign	baniaga
forest	kabakiran
forever	agnanayon nga awan inggana
For example	Kas pangarigan
forget	lipaten
forgive	pakawanen
forgot	nalipatan
for instance	kas pangarigan
fork	tinidor
formal	pormal
former	napalabas
form	porma
for	para
fortunately	nagasat
fortune	gasat
forty-two	uppat a pulo ket dua
forty	uppat a pulo
forward	umabante
for you	para kenka
foster	pannakapamilia
fought	naglaban
foundation	pundasion
found	nabirukan
fourteen	sangapulo ket uppat
four	uppat
fox	lobo
fragile	mabuong
frame	kuadro
framework	kuadro ti tarabaho
fraud	panagkusit
freak	naisupadi
freedom	kinawaya
free	libre
freeze	ipalammiis
frequency	kinasansan
frequently	masansan
frequent	masansan
fresh	nalasbang
friday	biernes
fridge	pridieder
friend	gayyem
friendly	mannakigayyem
friends	dagiti gagayyem
friendship	pannakigayyem
frightened	mabuteng
frightening	kabutbuteng
frog	tukak
from	manipud
front	sango
frozen	natangkenan
fruit	prutas
frustrated	naim-ima
fuel	sungrud
Fulfulde	Fulfulde
full	napunno
function	amad
fundamental	napateg
funeral	pumpon
fun	naragsak
funny	nakakatkatawa
fur	dutdot
furious	naunget
furniture	muebles
further	ad-adda
furthermore	maysa pay
future	masakbayan
gain	gun-oden
game	ay-ayam
gap	uwang
garage	garahe
garbage	basura
garden	hardin
garlic	bawang
gate	aruangan
gathering	panagtipun
gather	tipunen
gauge	panagrukod
gave	nangited
gear	aragaag
gender	kinatao
generally	iti sapasap
general	sapasap
generate	makaaramid
generation	henerasion
generous	natan-ok
genius	nasirib
genre	klase
gentle	natalna
genuine	pudno
gesture	garaw
get	alan
get dressed	agbado kan
getting	panangala
get up	tumakder
get well soon	lumaing ka koma a dagus
ghost	ar-arya
ghosting	panangar-arya
giant	higante
gift	sagut
ginger	laya
girlfriend	nobia
girl	ubing a babai
give	ited
given	naited
give up	sumuko
glad	naragsak
glance	agtalyaw
glasses	dagiti antiokos
glass	sarming
glimpse	talyaw
global	iti intero a lubong
gloomy	naalidunget
gloves	glab
glow	agraniag
glow up	pumintas
glue	pigkit
go ahead	umunan
goal	gandat
goals	dagiti gandat
goat	kalding
go away	umadayo ka
god bless you	bendisionannaka ti apo
god	dios
goes	papan
going	papan
going to	papan iti
gold	balitok
go	mapan
gone	napukaw
gonna	apan ti
good afternoon	naimbag a malem
good bye	agpakadan
goodbye	mapanen
good day	naimbag nga aldaw
good evening	naimbag a rabii
good job	naglaing ka
good looking	guapo
good luck	naimbag a gasat
good morning my love	naimbag nga aldaw ay-ayatek
good morning	naimbag a bigat
good	nasayaat
goodnight	naimbag a panagturog
good night	nasayaat koma ti turogmo
goods	dagiti makan
Google	Google
Google Translate	Panangitarus iti Google
goo	napigkit
goose	ganso
gorgeous	nagpintas
gossip	agtarabitab
got it	naalakon
got	naala
go to bed	maturog kan
government	gobierno
grab	agawen
grade	grado
gradually	in-inut
graduate	agturpos
grain	bukel
granted	naisagut
grant	ipalubos
grapes	dagiti ubas
grasp	maiggaman
grass	ruot
grateful	agyaman
gratitude	panagyaman
grave	sidunget
gray	dapo
great	naindaklan
greed	agum
greedy	naagum
green	berde
greeting	kablaaw
greetings	dagiti kablaaw
greet	kablaawan
grey	dapo
grid	grid
grief	leddaang
grind	dikdiken
grip	gemgemen
grocery	sakada
groom	kaayan-ayat a lalaki
gross	nakaar-aryek
ground	daga
group	grupo
grow	dumakkel
growth	panagdakkel
