abandoned	si wogblẽ ɖi
are you married or single	srɔ̃ le asiwò lo alo wò ɖeka koe li
Are you still there?	Ega le afima?
are you there	èle afi ma
argue	he nya
argument	nyahehe
arise	tso
arm	abɔ
army	aʋakɔ
around	le wo dome
arrange	ɖo
arrangement	ɖoɖo
arrival	ɖoɖo
arrived	ɖo
arrive	va ɖo
arrogant	dze aglã
arrow	aŋtrɔe
article	nu
artificial	ame ƒe nuwɔwɔ
artist	nutala
art	nutata
as	abe
ashamed	si ŋu kpe
ash	dzofi
ask	bia
asked	bia
asleep	dɔ alɔ̃
as long as	zi ale si
aspect	akpa
Assamese	Assamese
assault	ƒo
assembly	ƒuƒoƒo
assertive	si me kakaɖedzi le
assess	do kpɔ
assessment	dodokpᴐ
asset	nunɔamese
assets	nunɔamesiwo
assign	de dɔ asi
assignment	dᴐdeasi
assistant	kpeɖeŋutɔ
assist	kpeɖeŋu
associated	si de ha kple
associate	wɔ ɖeka
association	habɔbɔ
assume	bui
assumption	nu si wobu
as well as	hekpe ɖe
as well	hã
ate	ɖu
athlete	duƒula
at	le
at least	ne mede kura o la
attached	kpeɖeŋu
attach	le ɖe eŋu
attachment	lele ɖe nu ŋu
attack	dze avu
attempt	tee kpᴐ
attendance	teƒedede
attend	de
attention	ŋuɖoɖo
attitude	nɔnɔme
attract	he
attraction	nuhehe
attractive	si hea ame
attribute	ŋutinu
audience	nuselawo
august	dasiamime
aunt	tasi
aunty	tasi
authentic	atsiatsia
authority	ŋusẽ
author	nuŋlɔla
autumn	nuŋeɣi
available	eli
average	ve dome
avoid	de axa
awake	nyɔ
award	nunana
awareness	nyanya
aware	nya
away	na
awesome	nya kpɔ ŋutɔ
awful	menyo o
awkward	mesᴐ ŋku me o
Aymara	Aymara
baby	vidzĩ
bachelor	tre
background	nu si de megbe
back	megbe
bad	gbegblẽ
bag	kotoku
bait	ƒunulã
bake	me
bakery	abolomeƒe
baking soda	na
balance	le te
ball	bɔl
Bambara	Bambara
banana	akɔɖu
band	hadziha
bang	ɣli sesẽ
bank	gadzraɖoƒe
bar	ahanoƒe
barely	kpᴐtᴐ vie ko
bargain	ƒo asi
bark	wò
barley	na
barrier	mɔxexe
based	ku ɖe
basement	sã gɔme
base	teƒe
basically	kpuie ko
basic	gɔmedzenu
basil	na
bastard	gbɔmeya
batch	hatsotso
bath	le tsi
bathroom	tsileƒe
battery	batri
battle	aʋa
bay	na
beach	ƒuta
beam	xɔgbãti
beans	ayi
beard	ge
bearing	vevienyenye
bear	sisiblisi
beast	gbemelã
beat	ƒo
beautiful	dze tugbe
beauty	tugbedzedze
became	va zu
be careful	kpɔ ɖokuiwò dzi
because	elabena
become	zu
bed	aba
bedroom	xɔgãme
bee	anyi
beef	nyilã
been	nye
be	enye
beer	biya
before	do ŋgɔ
began	dze egɔme
begin	dze egᴐme
beginning	gɔmedzedze
behalf	ɖe eteƒe
behave	wɔ nyuie
behavior	nuwᴐna
behaviour	nuwɔna
behind	emegbe
being	nu gbagbe
belief	dzixɔse
believe	xᴐe se
belly	ƒodo
belong	nye etᴐ
beloved	lɔlɔ̃tɔ
below	été
belt	alidziblaka
bench	zikpuilegbe
bend	bɔ
beneath	le egɔme
benefits	viɖe
benefit	viɖe
beside	kpeɖe eŋu la
besides	kpeɖe eŋu
best	nyuietᴐ
best of luck	eme nenyo
best regards	medogbe na wò
better	nyo wu
between	titina
beverage	nunono
beyond	gbɔ eŋu
Bhojpuri	Bhojpuri
bias	akpa ɖeka dzidede
biased	de akpa ɖeka dzi
bicycle	gasɔ̃
bid	asidodo
big	lolo
bike	gasɔ̃
bill	febugbalẽ
bind	bla
bird	xe
birthday	dzigbe
bit	ɖu
bite	ɖu
bitter	le vevem
black	yibᴐ
blade	nulãnu
blame	bu fɔ̃
blanket	avɔtsɔtsɔ
blank	le ƒuƒlu
blast	gbã
bleach	klɔ ŋuti
blend	tsaka
blessed	si woyra
bless	yra
blind	gbã ŋku
bliss	dzidzeme
block	xe mɔ
blood	ʋu
bloom	le keklem
blow	kᴐ
blue	bluᴐ
blunt	tsi kpo
board	ati gbadza
boat	tɔdziʋu
body	ŋutilã
boil	fie
bold	kalẽtᴐe
bond	kpe
bone	ƒu
book	agbalẽ
boost	de ŋusẽ eme
booster	nu si doa nu ɖe ŋgɔ
boot	afɔkpa
boots	afɔkpawo
border	liƒo
bored	mo dzaka
bore	ŋɔ do
boring	me vivim o
born	wo dzi
borrow	do nu
boss	amegã
bother	ɖe fu
both	wo ame eve la
bottle	atukpa
bottom	gᴐme
bought	ƒle
bounce	dzodzo
boundaries	liƒowo
bound	bla
bow	bᴐbᴐ
bowl	agba
box	aɖaka
boyfriend	ahiãvi ŋutsu
boy	ŋutsuvi
bracelet	alɔnuga
brain	hɔhɔ̃
branch	alɔdze
brand	nudzadzra ŋkɔ
brave	kalẽ
breach	da le se dzi
bread	abolo
breakfast	ŋdi nuɖuɖu
break	gbã
breast	no
breathe	gbɔ ya
breath	gbɔgbɔ
breed	nyi
brick	kpe
bride	ŋgbɛtɔ
bridge	agbasasã
brief	kpuie
bright	klẽ
brilliant	si nya nu
bring	tsɔe vɛ
broadcast	nyakaka
broad	keketa
broke	ɖoko
broken	gbã
bro	nɔvi ŋutsu
broom	xa
brother in law	nyo
brother	nᴐvi ŋutsu
brought	tsᴐe va
brown	kɔdzẽ
brush	aɖuklɔnu
bucket	tɔkpɔ
buddy	xɔ̃
budget	gaɖaŋu
bug	nugbagbevi
building	xɔ
build	tu
built	tu
bulk	le agbɔsɔsɔ me
bull	nyitsu
bully	ŋutasẽla
bump	kpo
bunch	kpo
bundle	babla
burden	agba
buried	ɖi
burn	bi dzo
burst	wo
bury	ɖi
bush	gbeme
business	dᴐwᴐna
bust	akᴐta
bus	ʋugã
busy	le dɔ wɔm
but	gake
butter	bᴐta
butterfly	akpakpaluʋui
button	awunugbui
buy	ƒle
bye	xede nyuie
by the way	ke ɖee
cabbage	na
cabinet	nudzraɖoƒe
cage	xadza
cake	akpɔnɔ
calf	nyivi
called	yᴐ
call me	yɔm
call	yᴐ
calm	li kpo
came	va
campaign	gbeƒaɖeɖe
can	ate ŋu
Cancel	Te fli ɖe eme
cancer	kansa
can't	mate ŋui o
capable	ate ŋu
capacity	ŋutete
capital	toxɔdu
caption	tanya
capture	le
career	dᴐwᴐna
careful	kpɔe nyuie
carefully	le dzigbɔɖi me
careless	ɖematsɔleme
caring	leabe na nu
carpenter	atikpala
carpet	anyigbãvɔ
carrot	karɔt
carry on	yi edzi
carry out	wɔe
carry	tsᴐ
car	ʋu
case	goe
cash	ga
cast	da
castle	mɔ
casual	si mede to o
catch	lé
cat	dadi
category	hatsotso
cattle	nyiwo
caught	lé
cause	wᴐe be
caution	ŋkumekaka
cautious	le wɔwɔm nyuie
cave	agado
cease	tɔte
ceiling	agbakɛ
celebrate	ɖu azã
cell	gaxɔ
center	titina
century	ƒe alafa ɖeka
cereal	blinu
ceremony	azãnuwɔna
certain	ka ɖe edzi
certainly	godoo
certificate	ɖasɛɖigbalẽ
chain	kɔsɔkɔsɔ
chair	zikpui
challenge	ʋli ho
chance	aklama
change	trɔ
chaos	ʋunyaʋunya
characteristics	nɔnɔmewo
character	nᴐnᴐme
charge	febubu
charity	dɔmenyo
charming	nyakpɔ ŋutɔ
chart	agbalẽgbadza
chase	ti yome
chat	ɖo dze
cheap	mexᴐ asi o
cheat	ba ame
cheating	amebaba
check	le ŋku ɖe eŋu
cheek	alɔgo
cheerful	le dzidzɔ kpɔm
cheer	kpɔ dzidzɔ
cheers	dzidzᴐkpᴐkpᴐ
cheese	notsibabla
chemistry	atike ŋuti nusɔsrɔ̃
cherish	kpɔdzidzɔ
chess	na
chest	akᴐta
chew	ɖu
chicken	koklo
chief	fia
child	ɖevi
childhood	ɖevinyenye
children	ɖeviwo
chill	fa mia
chimneys	dzudzɔti
chin	glã
chocolate	tsokolɛti
choice	tiatia
choose	tia
chop	lã
chores	aƒemedɔ
chubby	kpɔ lame
church	sɔleme
cinnamon	na
circle	fli nogo
circumstances	nᴐnᴐme
citizen	dumevi
city	dugã
claim	xɔ
clarify	ɖe eme
class	nusrɔ̃ƒe
clay	anyi
clean	dzadzɛ
clear	me kᴐ
clerk	klaki
clever	nya nu
client	asisi
cliff	kplekɔkɔ
climate	na
climb	lia dzi
clingy	lena ɖe nu ŋuti
clock	gaƒoɖokui
closet	bebeƒe
close	tu
cloth	avɔ
clothes	nudodowo
cloud	lilikpo
cloudy	alilikpowo le
clown	fefewɔla
clue	dzesi
clumsy	wɔ nyamaa
cluster	ƒuƒoƒo
coach	hehenala
coal	aka
coast	ƒuta
coat	dziwui
coffee	kɔfi
cognitive	le susume
coincidence	nudzɔɖenunu
cold	fa
collapse	dze anyi
collar	kɔla
colleague	hati
colleagues	hatiwo
collection	nuƒoƒu
collect	lɔ
college	kɔledzi
color	amadede
colorless green ideas slept furiously	gbemu tamesusuwo dɔ alɔ̃ kple adã
colour	amadede
column	akpa
comb	ayiɖa
combination	nuƒoƒu
combine	ƒoƒu
come here	va afi
come on	tso
come	va
comfortable	dzidzeme
comfort	dzidzeme
coming	gbɔna
coming soon	egbɔna kpuie
command	gbeɖeɖe
comment	nutsotso
commercial	si wole dzadzram
commission	nuʋuʋu
commitment	ɖokuitsᴐtsᴐna
committed	tsɔ eɖokui na
commit	tsɔ na
commodity	nudzadzra
common	nu bɔbɔ
communicate	ka nyata
communication	nyatakaka
community	hatsotso
commute	ɖo ʋu
companion	kpeɖeŋutɔ
company	hã
compare	tsɔe sɔ
comparison	nusɔnu
compassionate	nublanukpɔkpɔ
compassion	dɔmenyo
compatible	sɔ ɖe edzi
competent	nya dɔ
compete	ʋliho
competition	hoʋiʋli
competitive	le ho ʋlim
complain	nyatoto
complaint	nyatoto
complement	kafukafu
completely	blibo
complete	wu enu
complex	si me nu geɖe le
compliance	sedziwᴐwᴐ
complicated	si me nuwo le fũu
compliment	kafukafu
comply	wɔ edzi
composition	nuƒoƒu
compound	xɔxɔnu
comprehension	nugɔmesese
comprehensive	de blibo
compromise	ɖe ɖe le eme
compulsory	nye sedede
computer	kɔmpuita
concentrate	susu nɔ nu ɖeka ŋuti
concept	nunya
concern	dzitsitsi
concerned	tsᴐ ɖe le eme
concert	fefe
conclusion	nyanuwuwuw
concrete	kɔkreti
condition	nᴐnᴐme
conditions	nɔnɔme
conduct	agbenᴐnᴐ
conference	takpekpe
confess	ʋu eme
confidence	kakaɖedzi
confident	ka ɖe edzi
confirm	ɖo kpe edzi
conflict	dzre
confused	tᴐtᴐ
confusion	tɔtɔ
congrats	dɔnɔɔ
congratulation	dɔnɔɔ
congratulations	dɔnɔɔ
conjunction	nyatsyãnya
connect	doka
conquer	ɖu dzi
conscious	le ŋute
consciousness	ŋutenɔnɔ
consent	mᴐɖeɖe
consequences	metsonu vɔ̃wo
conservation	nu lele ɖi
conservative	tɔtrɔgbela
consider	bu eŋu
considered	bu eŋu
consistency	mɔ ɖeka toto
consistent	to mɔ ɖeka dzi
consist	woawoe nye
constantly	edziedzi
constant	si dzɔna ɖa
constipation	miléle
construction	xɔtutu
consume	ɖu
consumption	nu ɖuɖu
contact	kadodo
contagious	si nye dɔxɔleameŋu
contain	le eme
contains	le eme
contemporary	tsidzi nu
contempt	vlododo
content	eme nuwo
contest	hoʋiʋli
context	nu si nɔa edzi yim
continent	anyigbãga
continue	yi edzi
contract	nubabla
contrast	de vovototo
contribute	dzᴐ nu
contribution	wɔƒe
control	dziɖuɖu
controversial	si nye nyahehe
convenience	dzidzeme
convenient	dze na ame
conversation	dzeɖoɖo
convert	trɔ dzime
convey	tsɔe yi
convinced	ƒoe ɖe enu
convince	ƒoe ɖe enu
cook	ɖa ŋu
cooking	nuɖaɖa
cool	fa
cooperation	alɔdodo
cope	ato eme
copper	gadzẽ
core	tometi
corn	bli
corner	dzogoe
correct	de
cost	asixᴐxᴐ
costume	awu
cottage	agblexɔ
cotton	ɖetsifu
couch	xɔmezikpui legbe
cough	kpe
could	te ŋu
council	dudzikpɔha
counter	nudaɖoƒe
country	dukᴐ
countryside	kɔƒe
count	xlẽ
couple	srɔ̃tɔwo
courage	dzideƒo
course	mᴐ
courtesy	bubudeame
court	ʋᴐnu
cousin	nɔvi
cover	akpa
coward	vɔvɔnɔtɔ
cow	nyi
cozy	dzidzeme
crab	agalã
crack	gbagbãƒe
craft	asinudɔ
crap	nu maɖinu
crash	gbã
craving	didi veviẽ
crawl	te
crazy	ku tsu
create	wᴐ
creative	wɔa aɖaŋu
credit	gadodo
creep	ƒo mo ɖe
creepy	si tsana
crew	dɔwɔha
crime	nuvɔ
cringe	ŋe ɖe eme
crisis	kuxigã
criteria	afɔɖeɖe
critical	nye nu sesẽ
criticism	nyahehe
crop	nuku
crops	nukuwo
cross	atitsoga
crow	akpavia
crowd	ameha
crowded	ƒo kᴐ
crown	fiakuku
crucial	hiã ŋutᴐ
cruel	se tame
cruise	tsidzizɔzɔ̃
crush	gbã
cry	fa avi
cucumber	na
cuddle	mimi
culture	dekᴐnu
cunning	dze ayɛ
cupboard	agbalẽɖaka
cup	kplu
curb	tsi enu
cure	yɔ dɔ
curfew	zã se
curiosity	numekpɔkpɔ
curious	lea ŋku ɖe nu me
curly	gɔdɔ
currency	ga
current	fifia
currently	fifi
curse	fiƒode
curtain	xɔmetsovɔ
cushion	nu bɔbɔe
custom	dekᴐnu
customer	asisi
customs	dekɔnuwo
cute	kpokploe
cut	lã
cycle	si yina gagbɔna
cycling	gasɔ̃dodo
daddy	papa
dad	papa
daily	gbe sia gbe
dairy	nyinotsi
damage	nugbegblẽ
dam	dam
damn	si wobu fɔ̃
damp	ƒo tsi
dance	ɖu ɣe
danger	ŋɔdzi
dangerous	dziŋᴐ
dark	nyrɔ
darling	lᴐlɔ̃tᴐ
dash	fli
data	na
date	ŋkeke
daughter	vi nyᴐnu
day	ŋkeke
dead	ku
deadline	nuwuwu game
deaf	tokunɔ
deal	nuɖoɖo
Dear All	lɔlɔ̃tɔwo
Dear Customer	Asisi lɔlɔ̃a
dear	lɔlɔ̃tɔ
Dear Parents	Dzila lɔlɔ̃wo
Dear Sir	Amega lɔlɔ̃a
Dear students	Nusrɔ̃la lɔlɔ̃wo
Dear Team	Dɔwɔha lɔlɔ̃
death	ku
debate	nyahehe
debit	nugbegblẽ
debris	gbeɖuɖɔ
debt	fe
decade	ƒe ewo
decay	nyinyɔ
deceased	si ku
deceive	ble
december	dzome
decent	dze ani
decided	ɖoe
decide	tso nyame
decision	nyametsotso
deck	sãdzi
decline	yi anyi
decrease	yi anyi
dedicated	si wotsᴐ na
dedication	tsɔtsɔdesi
deed	nuwɔwɔ
deep	goglo
deer	sẽ
default	gᴐmedzeƒe
defeat	anyidzedze
defend	ʋli ta
define	ɖe egɔme
definitely	kokooko
definition	gɔmeɖeɖe
degree	ɖoƒe
delayed	he ɖe megbe
delay	hehe ɖe megbe
delete	ɖe ɖa
deliberate	nu ɖoɖo
delicate	si mesẽ o
delicious	ele aɖe
delight	dzidzɔnu
delighted	kpɔ dzidzɔ
delivered	woɖee
deliver	tsɔ yi
delivery	vidzidzi
demand	bia
demanding	le biabiam
democracy	ablɔɖegbadza
demon	gbɔgbɔvɔ̃
demonstrate	ɖe fia
denied	xe mɔ na
density	toto
dentist	aɖu ɖɔkta
deny	xe mᴐ
department	dɔwɔƒe ƒe alɔdze
departure	dzodzo
depend	kpɔ ame dzi
deploy	de dɔ asi
deposit	dae ɖi
depressed	de ɖe anyi
depression	teteɖeanyi
depth	goglome
describe	ɖᴐ
description	nuɖᴐɖᴐ
desert	dzogbe
deserve	dze na
design	aɖaŋudɔ
designation	dzesidede
desire	dzimedidi
desk	kplᴐ
despair	dziɖeameƒo
desperate	tsi dzi
despite	togbɔ
dessert	numeɖenu
destination	deƒe
destiny	dzɔgbe
destroy	gblẽ
destruction	nugbegblẽ
detail	emenuwo
details	emenuwo
detect	de dzesi
determination	kutrikuku
determine	aɖoe
determined	ɖoe kplikpa
devastated	wɔ nublanui
developed	tsi ɖe edzi
development	ŋgᴐyiyi
develop	yi ŋgᴐ
device	mᴐ
devil	abosaŋu
devoted	tsɔ eɖokui na
Dhivehi	Dhivehi
diabetes	suklidɔ
diarrhea	dɔmetɔtrɔ
diary	nuleɖigbalẽ
dictionary	nyadigbalẽ
did	wᴐe
died	ku
die	ku
diet	nuɖuɖu ɖoɖo
difference	vovototo
different	to vovo
difficult	sesẽ
dig	ku do
dignity	bubu
diligent	ku kutri
dinner	fiɛ̃ nuɖuɖu
dip	dee eme
direction	mɔfiame
director	dɔdzikpɔla
direct	tẽe
dirt	ɖi
dirty	ƒo ɖi
disable	de dzo le eme
disabled	si me woɖe dzo le
disappear	bu
disappointed	dzi gbã
disaster	dzɔgbevɔ̃e
discard	tsɔe ƒu gbe
discharge	ɖe agba
discipline	hehe
discount	ɖedzi
discover	ʋu go
discrimination	azitiazime
discuss	dzro eme
discussion	numedzodzro
disease	dᴐléle
diseases	dɔlélewo
disguise	de ba mo
disgusting	nyɔŋu
dishes	nuɖaɖawo
dish	nuɖuɖu
dismiss	ɖe asi le eŋu
dispatch	dɔ
display	ɖeɖe fia
disposal	nu ƒugbe
dispute	nyahehe
distance	didiƒe
distinct	to vovo
distinguish	de vovototo
distress	nuteɖeamedzi
distribution	nu mama
district	nuto
disturb	ɖe fu
ditch	ʋe
dive	do ɖi
diverse	vovovowo
diversity	vovototo
divide	ma
divine	mawume nu
divorce	srɔgbegbe
dizzy	mo le tɔtrɔm
doctor	ɖɔkta
document	agbalẽ
doesn't	mewɔ
does	wᴐa
dog	avu
Dogri	Dogri
doing	le ewɔm
doll	atividzĩ
domain	dziɖuƒe
domestic	aƒe me
dominant	si ɖu wo kata dzi
donate	na nu
done	wɔe vɔ
donkey	tedzi
don't	gawɔe o
Don't worry	Mega tsi dzi o
dope	movitɔ
double	le eve
doubt	ɖikeke
dough	amɔ
down	anyi
download	hee ɖa anyi
do	wɔ
do you	elɔ̃a
do you love me	Ele lɔ̃nyem mahã
draft	tata gbãtɔ
drag	he
drain	no
drama	fefe
drawer	drɔ̃
drawing	nutata
draw	ta nu
dread	do ŋɔdzi
dream	drɔ̃e
dress	awu
drill	ŋɔ do
drink	no
drive	ku ʋu
drop	ge
dropped	dae ɖi
drought	kuɖiɖi
drunk	mu aha
dry	ƒu
duck	kpakpaxe
dude	ame
due	si li
due to	tso egbɔ
dull	syiɔ̃
dumb	aɖe tutu
dump	kᴐe ɖi
duration	ɣeyiɣi didime
during	le esime
dust	ʋuʋudedi
duty	dᴐdeasi
dwell	nɔ
dying	le kukum
each	ɖe sia ɖe
each other	wo nɔeawo
eager	le klalo
eagle	hɔ̃
earlier	do ŋgɔ
early	kaba
earn	kpᴐ ga
ears	towo
earth	anyigba
earthquake	anyigbãʋuʋu
ear	to
ease	bɔbɔe
easily	bɔbɔe
east	ɣedzeƒe
easy	bᴐbᴐe
eat	ɖu
eating	le nu ɖum
economic	ga nya
economy	ga ŋuti nya
edge	to
edit	wɔ tɔtrɔ
education	susᴐsrɔ̃
effect	ƒe dᴐwᴐna
effective	wɔa dɔ
efficiency	dɔ wɔwɔ nyuie
efficient	wᴐ dᴐ nyuie
effort	ŋtete
egg	koklozi
eggplant	agbitsa
ego	amenyenye
eighteen	wuienyi
eight	enyi
eighty	blaenyi
either	eya loo
elaborate	ɖe eme
elbow	abɔkuglui
elder	ametsitsi
elderly	amegaxoxo
elegant	nyakpɔ ŋutɔ
element	na
elephant	atiglinyi
eleven	wuiɖɛkɛ
eligible	kpᴐ ŋudzedze
eliminate	ɖee ɖa
else	bubu
embarrassed	ŋu kpee
embarrassing	nye ŋukpe
embrace	kpla asi akᴐ
emerge	dze go
emergency	kpomenya
emotional	se seselelãme
empathy	vevesese ɖe amebubu teƒe
emphasis	gbetete ɖe nu dzi
emphasize	te gbe ɖe edzi
employee	dᴐwᴐla
employees	dɔwɔlawo
employer	dɔtɔ
employment	dɔwɔɖua
empty	ƒuƒlu
enable	ɖe mᴐ na
encounter	gododo
encourage	de dzi ƒo na
endangered	si le xaxa me
endeavor	dze agbagba
end	nuwuwu
endurance	dzidodo
endure	dodzi
enemy	futɔ
energy	ŋusẽ
engage	de dɔ asi na
engaged	mele vovome o
engagement	srɔɖeɖe
engineer	aɖaŋudɔwɔla
engine	mɔ
English	iŋlisi
enhance	do ɖe ŋgᴐ
enjoy	kpɔ dzidzɔ nyuie
enormous	lolo ŋutᴐ
enough	ede
ensure	kpᴐ egbᴐ be
enter	geɖe eme
entertainment	modzakaɖeɖe
enthusiasm	dzidzɔkpɔkpɔ
enthusiastic	kple dzidzɔ
entire	katã
entitled	kpɔ gome
entity	dɔwɔƒe
entrance	mɔnu
entrepreneur	asitsala
envelope	agbalẽkotoku
environment	xexeãme
envy	ŋubiabiã
epic	ŋutinya legbe
epidemic	dɔtsatsa
equal	sɔ
equipment	dᴐwᴐnu
equity	sɔsɔ
equivalent	si sɔ kple
eraser	nuŋɔŋlɔtutunu
error	vodada
escape	si
especially	kã
essay	nyadutsotso
essence	veviẽnyenye
essential	si hiã
establish	ɖoe anyi
established	ɖoe anyi
estate	aƒe
estimate	bui
estimated	si wobu
etc	kple bubuwo
eternal	mavɔmavɔ
ethics	sedziwɔwɔ
evaluate	bu akɔnta
evaluation	dodokpɔ
even	hã
evening	fiɛ̃
even though	togbɔ be
event	nudzᴐdzᴐ
eventually	mlᴐeba
ever	tegbe
everybody	ame sia ame
every	ɖe sia ɖe
everyone	ame sia ame
everything	nu sia nu
evidence	kpeɖodzi
evil	vɔ̃
evolution	tɔtrɔ
evolve	trɔ
Ewe	Eʋegbe
exactly	tututu
exact	tututu
exam	dodokpɔ
examine	do kpɔ
example	kpɔɖeŋu
exceed	gbɔ edzi
excellent	enyo ŋutᴐ
except	ɖe ko
exception	esi do le emm
excessive	si gbɔ eme
excess	si tsi edzi
exchange	ɖɔli
excited	kpɔ dzidzɔ
excitement	dzidzɔkpɔkpɔ
exciting	doa dzidzᴐ
exclusive	ɖe ɖe aga
excuse	kukuɖeɖe
excuse me	ago nam
execute	tsɔ wɔ dɔ
execution	dɔwɔwɔ
executive	kplɔlawo
exercise	kamedede
exhausted	ɖeɖi te eŋu
exhaust	te ɖeɖi
exhibit	ɖe ɖe go
exhibition	nu ɖeɖe ɖe go
existence	anyinɔnɔ
existing	si li
exist	li
exit	do
expand	keke
expected	si wokpɔ mɔ na
expect	kpɔ mɔ
expenses	gagbegblẽ
expensive	xᴐ asi
experience	nuteƒekpɔkpɔ
experiment	kasakasa
expert	nunyala
expired	si ƒe ŋkeke de
explain	ɖe eme
explanation	numeɖeɖe
exploit	zã
explore	tsa le eme
export	ɖoe ɖa
exposed	ɖe ɖe go
expose	ɖe de go
exposure	ɖeɖe ɖe go
express	ɖe eme
expression	nyagbɔgblɔ
ex	si megali o
extended	si me wo he
extend	he ɖe ŋgɔ
extension	nu hehe
extent	ɖoƒe
external	le egodo
extinct	megali o
extract	ɖe le eme
extra	dedzii
extraordinary	si to vovo sã
extremely	veviẽ ŋutɔ
extreme	si gbɔ eme
eye	ŋku
eyes	ŋkuwo
fabric	avɔ
fabulous	wɔ nuku
face	mo
facilitate	kpeɖeŋu
facilities	kpeɖeŋunuwo
facility	nuwɔƒe
fact	nu si le eteƒe
factor	memanu
factory	dɔwɔƒe
facts	nyateƒewo
fade	klo
fail	dze anyi
failed	dze anyi
failure	madzedzi
faint	yi ɖi me
