a little	شوية
anything	أي حاجة
anyway	على أي حال
anyway	ما علينا
anyways	ما علينا
apart	بغض النظر
apartment	شقة
apologize	اعتذر
apparent	واضح
apparently	باينة
apparently	على ما تيبان
appeal	استئناف
appear	ظهر
appearance	مظهر
appeared	ظهر
appetite	شهية
apple	تفاحة
application	تطبيق
apply	طبّق
appointment	موعد
appreciate	قدّر
appreciation	تقدير
approach	قرّب
appropriate	مناسب
approval	موافقة
approve	وافق
approved	موافق عليه
approved	معتمد
approximately	تقريبًا
april	أبريل
arbitrary	تعسفي
architect	معماري
architecture	هندسة معمارية
archive	أرشفة
are you	واش انت
are you busy	واش مشغول
are you married	واش نتا مزوج
are you married or single	واش متزوج ولا أعزب
Are you still there?	ما زال هنا؟
are you there	واش نتا هنا؟
area	منطقة
argue	ناقش
argument	نقاش
argument	حجة
arise	برز
arm	ذراع
army	جيش
around	داير بـ
around	على
arrange	نظم
arrangement	ترتيب
arrival	وصول
arrive	وصل
arrived	وصل
arrogant	متكبر
arrogant	حاس براسو
arrow	سهم
art	فن
article	مقالة
article	بند
artificial	اصطناعي
artist	فنان
as	بحال
as	حيت
as long as	ما دام
as well	حتى
as well as	زيد عليها
ash	رماد
ashamed	حشمان
ask	سوّل
asked	سوّل
asleep	ناعس
aspect	جانب
aspect	مظهر
Assamese	الأسامية
assault	تعدى
assembly	تجميع
assertive	حازم
assess	تقييم
assessment	تقييم
asset	أصل
assets	أصول
assign	تعيين
assignment	واجب
assignment	مهمة
assist	عاون
assistant	مساعد
associate	مشارك
associated	مرتبط
association	جمعية
association	منظمة
assume	فترض
assumption	افتراض
at	فـ
at	مع
at least	على الأقل
ate	كلمة
athlete	رياضي
attach	ارفق
attach	علق
attached	مرفق
attached	مرتبط
attachment	مرفق
attachment	تعلق
attack	هاجم
attempt	حاول
attend	حضر
attendance	حضور
attention	انتباه
attention	اهتمام
attitude	سلوك
attract	جذب
attraction	جاذبية
attractive	جذاب
attribute	ميزة
audience	جمهور
august	غشت
aunt	عمة
aunt	خالة
aunty	عمتي
authentic	أصلي
author	كاتب
author	مؤلف
authority	سلطة
autumn	خريف
available	موجود
average	عادي
average	متوسط
avoid	تجنب
awake	فايق
award	جائزة
aware	إدراك
awareness	توعية
away	بعيد
awesome	واعر
awful	خايب
awkward	غريب
Aymara	الأيمرية
baby	ترابي
baby	خلوق
bachelor	بكالوريوس
back	رجع
back	ظهر
back	من ورا
background	خلفية
bad	خايب
bag	حقيبة
bag	ماليطة
bait	طعم
bait	فخ
bake	خبز
bakery	مخبزة
baking soda	صودا الخبز
balance	توازن
ball	كرة
Bambara	لغة بمبارة
banana	بنان
band	حزام
band	فرقة
bang	انفجر
bank	بنكا
bar	شريط
bar	قضيب
barely	بدراع
barely	بالسيف
bargain	مساومة
bark	نبح
barley	شعير
barrier	حاجز
base	قاعدة
based	مبازيا
basement	السفلي
basic	أساسي
basic	عادي
basically	أساسًا
basil	ريحان
bastard	حمار
batch	دفعة
batch	مجموعة
bath	حمام
bathroom	طواليط
battery	باتري
battle	معركة
bay	خليج
be	يكون
be careful	رد البال
beach	بحر
beam	شعاع
beam	بوطو
beans	فاصوليا
beans	حبوب
bear	صبّر
bear	دب
beard	لحية
bearing	تحمل
beast	وحش
beat	غلب
beat	ضرب
beautiful	زوين
beauty	جمال
became	رجع
because	حيتاش
become	رجع
become	ولّا
bed	فراش
bedroom	بيت النعاس
bee	نحلة
beef	لحم
been	كان
beer	بيرة
before	قبل
began	بدأ
begin	بدا
beginning	بداية
behalf	نيابةً على
behave	تصرف
behavior	سلوك
behaviour	سلوك
behind	مورا
being	كاين
belief	إيمان
belief	اعتقاد
believe	آمن
belly	كرش
belong	ملك ديال
beloved	محبوب
below	تحت
belt	حزام
bench	كرسي
bend	تني
bend	حني
beneath	تحت
benefit	ميزة
benefits	مزايا
beside	جنب
besides	زد عليها
besides	زيدون
best	أحسن
best of luck	حظ سعيد
best regards	أطيب التحيات
better	حسن
between	بين
beverage	مشروب
beyond	مورا
Bhojpuri	البوجبورية
bias	تحيز
biased	متحيز
bicycle	بيكالة
bid	مناقصة
bid	عرض
big	كبير
bike	بيكالة
bill	فاتورة
bind	حصلة
bind	ربط
bird	طوير
birthday	عيد ميلاد
bit	شوية
bite	عض
bite	عضة
bitter	مرّ
black	كحل
blade	شفرة
blame	لام
blank	خاوي
blanket	بطانية
blast	انفجار
bleach	تبييض
bleach	مبيّض
blend	خلّط
bless	بارك
blessed	مبارك
blind	اعمى
bliss	نعيم
block	بلوك
block	كتلة
block	حظر
blood	دم
bloom	زدهر
blow	فجر
blow	ضرب
blue	زرق
blunt	صريح
board	لوحة
board	سبورة
boat	مركب
body	جسم
boil	غلّي
bold	جريء
bold	عريض
bond	سند
bond	رابطة
bone	عظم
book	كتاب
book	حجز
boost	عزز
boost	زاد
booster	معزز
boot	تمهيد
boot	سباط
boots	لي بوط
border	حدود
bore	تجويف
bored	جاه الملل
boring	ممل
born	ولد
borrow	سلّف
boss	رئيس
both	بجوج
bother	زعج
bother	شقم
bottle	قرعة
bottom	قاع
bought	شرا
bounce	ارتداد
bound	ملزم
boundaries	حدود
bow	قوس
bow	حنى
bowl	زلافة
box	صندوق
boy	دري
boyfriend	حبيب
bracelet	براسلي
brain	مخ
branch	غصن
branch	فرع
brand	براند
brand	ماركة
brave	شجاع
breach	خرق
bread	خبز
break	هرس
break	استراحة
breakfast	فطور
breast	صدر
breath	تنفس
breathe	تنفس
breed	سلالة
breed	فصيلة
brick	ياجور
bride	عروس
bridge	جسر
brief	موجز
brief	مختصر
bright	فاتح
bright	ساطع
brilliant	لامع
brilliant	ذكي
bring	جاب
bro	خويا
broad	واسع
broad	عام
broadcast	إذاعة
broke	مفلس
broke	هرّس
broken	مهرس
broken	خاسر
broom	شطابة
brother	أخ
brother in law	أخ ماشي شقيق
brought	جاب
brown	بني
brush	غسل
brush	شيتة
bucket	سطل
buddy	صاحب
budget	ميزانية
bug	حشرة
build	بنى
building	مبنى
built	مبني
bulk	لا ماس
bulk	بالجملة
bull	ثور
bully	تنمر
bump	ضرب
bunch	حزمة
bundle	باقة
burden	ثقل
burden	عبء
buried	مدفون
burn	حرق
burst	طرطق
burst	انفجر
bury	دفن
bus	طوبيس
bush	شجيرة
business	شركة
business	مشروع
bust	اعتقل
bust	شدّ
busy	مشغول
but	من غير
but	ولكن
butter	زبدة
butterfly	فراشة
button	بوطون
buy	شرا
by	مع
by	من عند
by	بـ
by the way	بالمناسبة
by the way	آه بلحاق
bye	بسلامة
cabbage	كروم
cabinet	كابينة
cage	قفص
cake	كيكة
calf	مولي
calf	عجل
call	عيط
call	اتّصل
call me	تاصل بيا
called	عيّط
called	اتصل
calm	هادئ
came	جا
campaign	حملة
can	قدر
can	يمكن
can't	مقادرش
Cancel	إلغاء
Cancel	لغي
cancer	سرطان
capable	قادر
capacity	سعة
capital	عاصمة
caption	عنوان
capture	التقط
car	طوموبيل
career	مهنة
careful	حريص
carefully	بعناية
careless	ممسوقش
caring	رعاية
carpenter	نجار
carpet	سجادة
carrot	خيزو
carrot	جعدة
carry	كمل
carry	هاز
carry on	كمّل
carry out	تنفيذ
case	محفظة
case	حالة
case	قضية
cash	كاش
cast	طاقم ممثلين
cast	لقى
castle	قلعة
casual	ماشي رسمي
cat	مش
cat	قط
catch	شدّ
category	فئة
cattle	قطيع
caught	شدّ
cause	تسبّبْ
cause	سبب
caution	حذر
cautious	حذر
cave	كهف
cease	وقف
ceiling	سقف
celebrate	احنفال
cell	خلية
center	وسط
center	مركز
century	قرن
cereal	كورن فليكس
ceremony	حفلة
certain	معين
certainly	بالتأكيد
certificate	شهادة
chain	سلسلة
chair	كرسي
challenge	تحدي
chance	فرصة
change	بدل
chaos	فوضى
character	شخصية
characteristics	خصائص
charge	شارج
charge	تهمة
charity	صدقة
charity	مؤسسة خيرية
charming	ساحر
chart	مخطط
chart	جدول
chase	يصطاد
chat	شات
cheap	رخيص
cheat	غش
cheat	خدع
cheating	غش
cheating	خان
check	تحقق
check	شاف
cheek	حنك
cheer	شجع
cheerful	مبتهج
cheers	بصحة
cheese	جبن
chemistry	كيمياء
cherish	اعتز
chess	شطرنج
chest	صدر
chest	صندوق
chew	مضغ
chicken	دجاجة
chief	رئيس
chief	مدير
chief	قايد
child	دري
childhood	طفولة
children	أطفال
children	دراري
chill	برّد
chill	قشعريرة
chimneys	مداخن
chin	غادومة
chocolate	شكلاط
choice	اختيار
choose	ختار
chop	قطع
chores	واجبات
chubby	غليظ
church	كنيسة
cinnamon	قرفة
circle	دائرة
circumstances	ظروف
citizen	مواطن
city	مدينة
claim	طالب
claim	ادّعى
clarify	وضّح
class	صف
class	فصل
clay	طين
clay	فخار
clean	نقي
clear	واضح
clerk	كاتب
clerk	موظف
clever	ذكي
client	عميل
client	كليان
cliff	جرف
climate	مناخ
climb	تسلق
clingy	متشبث
clock	ساعة
close	سد
closet	خزانة
cloth	درّة
clothes	حوايج
cloud	سحابة
cloudy	مغيم
clown	مهرج
clue	فكرة
clumsy	أخرق
clumsy	غريب
cluster	تجمع
coach	مدرب
coal	فحم
coast	ساحل
coat	كبوط
coffee	قهوة
cognitive	معرفية
coincidence	مصادفة
cold	بارد
collapse	انهار
collar	سلسلة
colleague	زميل
colleagues	زملاء
collect	جمع
collection	مجموعة
college	كلية
color	لون
colorless green ideas slept furiously	أفكار خضرة ما عندها لون نعسات وهي معصبة
colour	لون
column	عمود
comb	مشط
combination	خليط
combination	مزيج
combine	دمج
combine	جمع
come	جا
come here	أجي لهنا
come on	يلاه
comfort	راحة
comfortable	مريح
coming	ماجي
coming soon	قريب
command	سلطة
command	أمر
comment	تعليق
commercial	تجاري
commission	لجنة, عمولة
commit	التزم
commit	ارتكب
commitment	التزام
committed	ملتزم
committed	ارتكب
commodity	سلعة
common	معروف
common	شائع
communicate	تواصل
communication	تواصل
community	مجتمع
commute	تنقل
companion	رفيق
company	شركة
company	صحبة
compare	مقارنة
comparison	مقارنة
compassion	شفقة
compassion	عطف
compassionate	حنين
compatible	متناسق
compatible	متوافق
compete	نافس
competent	كفؤ
competition	منافسة
competitive	تنافسي
complain	تشكى
complaint	شكوى
complement	استكمال
complete	كمّل
completely	تماماً
complex	معقد
compliance	امتثال
complicated	معقد
compliment	مجاملة
comply	امتثل
composition	تركيب
compound	مجمع
comprehension	فهم
comprehensive	شامل
compromise	حل وسط
compulsory	اجباري
computer	بي سي
concentrate	ركّز
concept	مفهوم
concern	قلق
concern	اهتمام
concerned	مقلق
concert	حفل موسيقي
conclusion	خلاصة
concrete	سيما
concrete	ملموسة
condition	حالة
condition	شرط
conditions	شروط
conduct	تولّى
conduct	سلوك
conference	مؤتمر
confess	اعترف
confidence	ثقة
confident	واثق
confirm	أكّد
conflict	صراع
confused	مشوّش
confusion	ربجة
congrats	مبروك
congratulation	مبروك
congratulations	مبروك
conjunction	ارتباط
conjunction	اقتران
connect	ربط
conquer	غزا
conscious	واعي
consciousness	وعي
consent	موافقة
consequences	عواقب
conservation	حافظ
conservative	محافظ
consider	عتبر
consider	راعي
considered	تيتعتبر
consist	يتضمن
consistency	اتساق
consistent	ثابت
constant	ثابت
constantly	باستمرار
constantly	ديما
constipation	إمساك
construction	بني
consume	استهلاك
consumption	استهلاك
contact	اتصال
contact	اتّصل
contagious	معدي
contain	فيه
contain	كيحتوي على
contains	تضمن
contemporary	معاصر
contempt	احتقار
content	محتوى
contest	منافسة
context	سياق
continent	قارة
continue	كمّل
contract	كونطرا
contrast	تباين
contrast	مقابلة
contribute	ساهم
contribution	مساهمة
control	تحكم
controversial	جدلي
convenience	راحة
convenient	مريح
convenient	مناسب
conversation	محادثة
convert	حوّل
convey	وصّل
convince	قنع
convinced	مقتنع
cook	طباخ
cook	طيب
cooking	طياب
cooking	طيب
cool	واعر
cool	بارد
cooperation	تعاون
cope	واجه
copper	نحاس
core	جوهر
corn	ذرة
corner	ركينة
corner	قنت
correct	صحيح
cost	ثمن
cost	تكلفة
costume	بدلة
costume	كوستيم
cottage	كوخ
cotton	قطن
couch	كانابي
cough	سْعَلْ
cough	سُعْلّة
could	يمكن
council	مجلس
count	عدد
counter	كونطور
country	بلاد
countryside	البادية
couple	ثنائي
courage	شجاعة
course	دورة
court	مجلس
court	محكمة
courtesy	مجاملة
cousin	ولد عمتي
cousin	ولد حبيبي
cousin	ولد عمي
cover	غطا
cow	بقرة
coward	جبان
coward	خواف
cozy	مريح
crab	سلطعون
crack	هرّس
craft	حرفة
crap	تخربيق
crash	كسيدة
craving	رغبة
crawl	زحف
crazy	حمق
create	إنشاء
creative	مبدع
credit	ائتمان
credit	رصيد
creep	كيخلع
creepy	كيخوف
crew	طاقم
crime	جريمة
cringe	بليز
cringe	مبلوز
crisis	أزمة
criteria	معايير
critical	حاسم
critical	مهم
criticism	نقد
crop	محصول
crops	محاصيل
cross	صليب
cross	يعبر
crow	غراب
crowd	حشد
crowd	زحام
crowded	مخنوق
crowded	عامر
crown	تاج
crucial	حاسم
crucial	ضروري
cruel	حكار
cruel	قاسي
cruise	رحلة بحرية
crush	كراش
crush	حطّم
cry	بكى
cucumber	خيار
cuddle	عانق
culture	ثقافة
cunning	لاصيان
cup	كاس
cupboard	خزانة
curb	قمع
cure	دوا
curfew	حظر التجول
curiosity	فضول
curious	فضولي
curious	فيه البلوة
curly	مجرفل
curly	مجعد
currency	عملة
current	الحالي
currently	حاليًا
curse	سبّ
curtain	رواق
cushion	مخدة
custom	جمرك
custom	مخصص
customer	عميل
customs	جمارك
cut	قطع
cute	حلو
cycle	دورة
cycling	ركوب الدراجات
dad	الوالد
dad	با
daddy	بابا
daily	يوميًا
dairy	الألبان
dam	سد
damage	ضرر
damn	تفو
damp	فازك
dance	شطحة
danger	خطر
dangerous	خطير
dark	مغلوق
darling	حبيبا
dash	اندفاع
data	بيانات
date	تاريخ
date	موعد
daughter	بنت
day	نهار
dead	ميت
deadline	موعد نهائي
deaf	أصم
deal	اتفاق
deal	صفقة
dear	عزيز
Dear All	أعزائي
Dear Customer	عميلنا العزيز
Dear Parents	الآباء الأعزاء
Dear Sir	سيدي العزيز
Dear students	طلابي العزاز
Dear Team	فريقي العزيز
death	موت
debate	جدال
debit	خصم
debris	حطام
debt	دين
decade	عقد
decay	انحلال
decay	تعفن
deceased	متوفى
deceive	خدع
december	دجنبر
decent	مزيان
decide	قرر
decided	قرر
decision	قرار
deck	الظهر ديال السفينة
deck	سطح
decline	رفض
decrease	انخفض
dedicated	متخصص
dedication	تكريس
deed	عمل
deep	عميق
deer	عزال
default	افتراضي
defeat	فشل
defeat	خسارة
defend	دافع
define	حدد
definitely	بلا شك
definition	تعريف
definition	دقة
degree	درجة
degree	شهادة
delay	تأخير
delayed	تأخير
delete	مسح
deliberate	متعمد
delicate	دقيق
delicate	حساس
delicious	لذيذ
delight	بهجة
delighted	فرحان
deliver	وصّل
delivered	تصيفط
delivery	توصيل
demand	طالب
demanding	طالب
democracy	ديمقراطية
demon	شيطان
demonstrate	وضّح
denied	نفى
density	كثافة
dentist	طبيب ديال السنان
deny	نكر
department	إدارة
department	قسم
departure	رحيل
departure	خروج
depend	اعتمد
deploy	وزّع
deploy	نشر
deposit	عربون
deposit	إيداع
depressed	مكتئب
depression	اكتئاب
depth	عمق
describe	وصف
description	وصف
desert	صحرا
deserve	يستاهل
design	تصميم
designation	تعيين
desire	بغا
desire	أمنية
desk	مكتب
despair	يأس
desperate	يائس
despite	وخّا
despite	بالرغم من
dessert	حلوى
dessert	ديسير
destination	وجهة
destiny	مصير
destroy	قضى على
destruction	دمار
detail	تفاصيل
details	ديطاي
detect	كشف
determination	اصرار
determination	عزيمة
determine	حدد
determined	مصمّم
determined	عازم
devastated	دمر
develop	طوّر
developed	طوّر
development	تنمية
development	تطوير
device	جهاز
devil	شيطان
devoted	مكرس
Dhivehi	الديفهية
diabetes	سكر
diarrhea	إسهال
diary	مذكرة
dictionary	قاموس
did	دار
die	مات
died	توفى
diet	ريجيم
difference	فرق
different	مختلف
difficult	صعيب
dig	حفر
dignity	كرامة
diligent	مجتهد
dinner	عشا
dip	تراجع
dip	غمّس
direct	مباشرة
direction	اتجاه
director	مخرج
director	مدير
dirt	تراب
dirty	موسخ
disable	وقّف
disabled	عاجز
disappear	اختفى
disappointed	خائب الأمل
disaster	كارثة
discard	نبذ
discard	رمى
discharge	تفريغ
discharge	تصريف
discipline	انضباط
discount	تخفيض
discover	اكتشف
discrimination	تمييز
discrimination	تعصب
discuss	ناقش
discussion	نقاش
disease	مرض
diseases	أمراض
disguise	تنكر
disgusting	تيغيلف
dish	طبسيل
dishes	طباسل
dismiss	رفض
dismiss	استبعد
dispatch	صرّد
display	عرض
disposal	تصرف
dispute	صراع
dispute	نزاع
distance	مسافة
distinct	متميز
distinguish	ميّز
distress	محنة
distribution	توزيع
district	منطقة
district	مقاطعة
disturb	زعج
ditch	تخلّص من
dive	غاص
diverse	متنوع
diversity	تنوع
divide	قسم
divine	مقدس
divorce	طلاق
dizzy	دوخة
do	دار
do you	واش نتا
do you love me	تتبغيني
doctor	دكتور
doctor	طبيب
document	مستند
does	دار
dog	كلب
dog	جرو
Dogri	الدوجرية
doing	داير
doll	مونيكا
domain	دومين
domestic	منزلي
dominant	مسيطر
Don't worry	لا تقلقش
donate	تبرع
done	دار
done	واجد
donkey	حمار
dope	مخدر
double	ضوبل
doubt	شكْ
doubt	شاك
dough	عجينة
down	تحت
download	تيليشارجي
draft	مسودة
drag	سحب
drag	جرّ
drain	استنزف
drama	دراما
draw	رسم
draw	سحب
drawer	مجر
drawing	رسم
dread	رهبة
dream	حلم
dress	لبس
dress	روب
dress	ثوب
drill	حفر
drill	تدريب
drink	شرب
drive	تيدفع
drive	سايق
drop	طيح
drop	قطرة
dropped	طاح
dropped	انخفض
drought	جفاف
drunk	سكران
dry	يابس
duck	بطة
dude	صاحبي
due	واجب
due to	بسباب
dull	باهت
dull	ممل
dumb	حمق
dump	مزبلة
dump	قمامة
duration	مدة
during	فـ
during	فالوقت ديال
dust	غبرة
duty	واجب
duty	مهمة
dwell	سكن
dying	كيموت
each	كل
each other	بعضهم
eager	متحمّس
eagle	نسر
ear	وذن
earlier	قبايل
early	بكري
earn	ربح
earn	كسب
ears	ودن
earth	الأرض
earthquake	زلزال
ease	سهولة
easily	بسهولة
east	شرق
easy	ساهل
eat	ياكل
eating	كياكل
economic	اقتصادي
economy	اقتصاد
edge	حافة
edit	تعديل
education	تعليم
effect	أثر
effective	فعّال
efficiency	فعالية
efficient	فعال
effort	مجهود
egg	بيض
eggplant	دبنجال
ego	غرور
ego	أنانية
eight	تمنية
eighteen	تمنطاش
eighty	تمانين
either	إما
either	حتى
elaborate	شرح
elbow	كود
elder	الناس كبار فالسن
elderly	الناس كبار فالسن
elegant	أنيق
element	عنصر
elephant	فيل
eleven	حداش
eligible	مؤهل
eliminate	لغى
eliminate	قضى على
else	آخر
embarrassed	مُحرج
embarrassed	محشّم
embarrassing	محرج
embrace	احتضن
emerge	ظهر
emergency	طوارئ
emotional	عاطفي
empathy	تعاطف
emphasis	تركيز
emphasis	تشديد
emphasize	شدّد
employee	موظف
employees	موظفين
employer	رب العمل
employment	توظيف
empty	خاوي
enable	خلّى
encounter	واجه
encounter	قابل
encourage	شجّع
end	نهاية
endangered	مهدد بالخطر
endeavor	سعي
endurance	تحمل
endure	تحمّل
enemy	عدو
energy	طاقة
engage	تفاعل
engage	شارك
engaged	خاطب
engaged	مشارك
engagement	خطوبة
engagement	مشاركة
engine	موطور
engineer	مهندس
English	لونغلي
enhance	حسّن
enhance	عزّز
enjoy	ستمتع
enormous	كبير
enough	كافي
enough	باركة
ensure	تأكّد
ensure	ضمن
enter	دخل
entertainment	ترفيه
enthusiasm	حماس
enthusiastic	متحمس
entire	كامل
entitled	بعنوان
entitled	مخول
entitled	مستحق
entity	كيان
entrance	دخلة
entrepreneur	مقاول
envelope	جوا
environment	بيئة
envy	حسد
epic	ملحمي
epidemic	وباء
equal	كيساوي
equipment	ماطريال
equity	إنصاف
equity	عدالة
equivalent	مساوي
equivalent	مقابل
eraser	ممحاة
error	خطأ
escape	هروب
escape	هرب
especially	بالخصوص
essay	مقال
essence	جوهر
essence	عطر
essential	ضروري
essential	أساسي
establish	أسس
established	أُسّسَ
estate	ملكية
estate	مقاطعة
estimate	قدّر
estimated	مقدر
etc	إلخ
eternal	أبدي
ethics	أخلاق
evaluate	قيّم
evaluation	تقييم
even	حتى
even though	بالرغم من
evening	ليل
event	حدث
eventually	فنهاية المطاف
eventually	فلخر
ever	أبدًا
every	كل
everybody	كلشي
everyone	الناس كلهم
everything	كلشي
evidence	دليل
evil	شر
evolution	تطور
evolve	تطور
Ewe	لغة إيوي
ex	سابق
exact	بالضبط
exactly	بالضبط
exactly	تمامًا
exam	فحص
exam	امتحان
examine	فحص
example	مثال
exceed	فات
excellent	مزيان
except	ما عدا
except	باستثناء
exception	استثناء
excess	إفراط
excessive	مفرط
exchange	تبادل
excited	فرحان
excited	متحمس
excitement	تشويق
exciting	مشوّق
exclusive	حصري
excuse	عذر
excuse me	سمحليا
execute	نفذ
execution	تنفيذ
executive	تنفيذي
exercise	تريض
exercise	تمرين
exhaust	شكاپي
exhausted	مهلوك
exhausted	عيّان بزاف
exhibit	عرض
exhibition	معرض
exist	كاين
exist	موجود
existence	وجود
existing	موجود
exit	خروج
expand	وسّع
expect	توقع
expected	متوقع
expenses	مصاريف
expensive	غالي
experience	جرّب
experience	تجربة
experiment	تجربة
expert	خبير
expired	تقاداتلو الصلاحية
explain	شرح
explanation	شرح
exploit	استغل
explore	استكشاف
export	صدّر
export	تصدير
expose	فضح
expose	كشف
exposed	معرّض
exposure	كشف
exposure	تعرض
express	عبّر
express	سريع
expression	تعبير
extend	مدّد
extended	ممتد
extension	امتداد
extent	مدى
external	خارجي
extinct	منقرض
extra	إضافي
extract	استخراج
extraordinary	استثنائي
extreme	متطرف
extreme	أقصى
extremely	بزاف
eye	عين
eyes	عينين
fabric	قماش
fabulous	خلاب
face	واجه
face	وجه
facilitate	يسهل
facilities	مرافق
facility	مرفق
fact	حقيقة
factor	عامل
factory	مصنع
facts	حقائق
fade	ختفى
fail	فشل
failed	فشل
failure	فشل
faint	سخف
fair	فاتح
fair	عادل
fairly	بإنصاف
fairy	جنية
faith	ثقة
faith	إيمان
faithful	مخلص
fake	مزيف
fake	مزور
fall	طاح
fall	الخريف
false	غلط
fame	شهرة
familiar	مألوف
family	عائلة
famine	مجاعة
famine	ندرة
famous	مشهور
fan	مروحة
fan	معجب
fancy	فاخر
fantastic	مخير
far	بعيد
farewell	توديع
farm	مزرعة
farmer	مزارع
fascinating	مدهش
fascinating	مبهر
fashion	موضة
fast	خفيف
fast	سريع
fat	غليظ
fat	دهون
fatal	مميت
fate	قدر
father	والد
father	أب
fatigue	عيا
fault	خطأ
favorite	مفضل
favour	أيد
favour	خير
favourite	مفضل
fear	خاف
fear	خوف
feast	مأدبة
feather	ريش
feature	ميزة
features	مزايا
february	فبراير
fed up	طلعلو الدم
fee	أتعاب
feed	وكّل
feedback	ملاحظة
feel	حسّ
feeling	شعور
feet	رجل
fell	طاح
fellow	زميل
felt	حس
female	أنثى
fence	سور
fertile	خصبة
festival	مهرجان
fetch	جاب
fever	سخانة
few	قليل
few	بعيد
fewer	أقل
fiance	خطيب
fiction	خيال
field	حقل
field	أرض
fierce	عنيف
fifteen	خمسطاش
fifty	خمسين
fight	تقاتل
fight	مدابزة
fight	حرب
fighting	كفاح
fighting	قتال
figure	شكل
figure out	اكتشاف
file	ملف
fill	عمّر
filled	معمّر
filled	عامر
film	فيلم
filthy	خانز
finally	أخيرًا
finance	مالية
finance	تمويل
financial	مالي
find	لقى
find	جبر
find out	كتشف
fine	رقيق
fine	مزيان
fine	بخير
finger	صبع
finish	كمّّل
finish	نهاية
finished	منتهي
fire	عافية
firm	قوي
firm	شركة
first	أول
first name	الاسم الأول
fish	حوت
fit	صحيح
fit	مناسب
five	خمسة
fix	صلح
fix	اصلاح
fixed	ثابت
flag	علم
flag	بنديرة
flash	وميض
flat	مسطح
flat	شقة
flaw	عيب
flaw	ثغرة
flawless	بلا عيوب
flee	هرب
flesh	جلد
flew	طار
flex	ثني
flex	قرص
flexible	مرن
flight	طيارة
flip	قلب
flirt	تعزل
flirting	مغازلة
float	طفا
float	عام
flood	فيضان
floor	طابق
floor	أرض
flour	دقيق
flow	تيار
flow	تدفّق
flower	وردة
flu	رواح
fluent	فصيح
fluent	لسانو مطلوق
fluently	بطلاقة
fluffy	منفوش
fluid	سائل
fly	طار
fly	ذبانة
