a	ɖé
appeal	hwɛjijɔ
appear	klé
appearance	xwè tɔ́n
appeared	é wá
appetite	nùjlome
apple	atín
application	nukùnkpénùwù
apply	zán
appointment	è ɖè
appreciate	dŏ mε
appreciation	nùkpinkpan
approach	kpò
appropriate	mɛɖesɔ
approval	gbè
approve	yí gbè
approved	è yí gbè
approximately	nùɖé
april	azan
arbitrary	kpénà
architect	xɔtuntɔ́
architecture	xɔtuntɛn
archive	blo
are	nyí
are you	hwi wɛ
are you busy	a ɖò azɔ̌ wa wɛ à
are you married	mi wlí alɔ
are you married or single	a wlí alɔ à alǒ a ɖò mɛɖesunɔ wɛ à
Are you still there?	A kpo ɖò fínɛ́ à?
are you there	a ɖo finɛ à
area	fí e è ɖè
argue	ɖɔ xó
argument	nùjlɛ́n
arise	ɖì
arm	alɔ
army	ahwankpá
around	lɛ lɛ do
arrange	bló tuto
arrangement	nùɖé
arrival	wá
arrive	wá
arrived	é wá
arrogant	goyiyi
arrow	nùkan
art	azɔwanú
article	xota
artificial	jujɔ́
artist	azɔtɔ́
as	ɖi
as long as	hwenu e
as well	bɔ
as well as	bɔ
ash	afín
ashamed	winnyá dó mì
ask	kanbyɔ́
asked	byɔ́
asleep	amlɔ
aspect	akpáxwé
Assamese	Assamese
assault	nùbláblá
assembly	kplé
assertive	gblɔ́n
assess	ékpɔ́n
assessment	kpɔnkpɔn
asset	ɖŏ
assets	àcɔ́bànù
assign	ɖè
assignment	lɛ lɛ do
assist	dŏ alɔ
assistant	alɔdo tɔn
associate	ɖŏ wŭ
associated	nùɖé lɛ
association	kpɔ́n kpɔ́n
assume	ɖɔ
assumption	nùɖíɖó
at	ɖo
at least	hweɖelɛnu
ate	ɖu nù
athlete	azɔtɔ́
attach	ɖŏ
attached	e ɖò alɔ mɛ
attachment	nǔ e è ɖ'alɔ
attack	ahwan
attempt	ténkpɔ́n
attempt	tintɛnkpɔ́n
attend	ɖ'ayi
attendance	mɛ nɔ yì kplé
attention	ayi ɖó
attitude	ayijε
attract	dɔn
attraction	mɛkpénúmɛ
attractive	é nyɔ́ nukún mɛ
attribute	do nù me
audience	mɛ e ɖò xó ɖɔ wɛ lɛ é
august	azanzan
aunt	nɔ
aunty	nɔ
authentic	adodwé
author	wlantɔ́
authority	acɛkpikpa
autumn	hwexónu
available	É ɖò
average	tɛntin
avoid	dŏ wŭ
awake	fɔ́n
award	ajɔnù
aware	tuùn
awareness	ayi mɛ nú mɛ
away	yì zɔ
awesome	nǔ ɖagbeɖagbe
awful	e nyɔ́ ǎ
awkward	nùɖíɖó
Aymara	Aymara
baby	é jɛxa
bachelor	asúkúsi
back	lɛkɔ
background	ɖŏ gudo
bad	nǔ nyanya
bag	adɔ́kpo
bait	xomefifànɔ́
bake	bibi
bakery	wɔ́xùxùsàtɔ́
baking soda	nùsúnnú
balance	axɔ́ susu
balance	axɔ́
ball	bɔlu
Bambara	Bambara
banana	kokwé
band	hùn
bang	gbò
bank	xwé akwɛ́ tɔn
bar	ahannuxɔsà
barely	é ɖò wɛn ɖɔ
bargain	ɖŏ ɖŏ
bark	hwa do
bark	hwa dido
barley	gbǎ
barrier	gǎglónú
base	gbeta ɔ
based	é nɔ́ nyí
basement	kɔ́xo
basic	hwɛjijɔ
basically	é ɖò taji ɔ
basil	nùxú
bastard	nylaví
batch	ajobà
bath	kɔ́n
bathroom	xɔkwín
battery	batele
battle	ahwan
bay	tɔtɛntinto
be	nyí
be careful	nɔ́ ɖó ayi
beach	xuta
beam	nǔjlɛ́jlɛ́
beans	nùkún
bear	lεvi
beard	gbakɔtàn
bearing	alɔdo
beast	kanlin
beat	oun hò
beat	hi hò
beautiful	ɖɛkpɛ
beauty	ɖɛkpɛ
became	huzu
because	ɖó
become	hùzù
bed	zanzan
bedroom	xɔ mε
bee	nyɔnukún
beef	nyibú
been	ɖŏ
beer	nùɖúɖú
before	ɖ'ayǐ ɔ
began	jɛ̀
begin	jɛ̀
beginning	jɛ̀ nukɔn ɔ́
behalf	ɖŏ gbè
behave	basi
behavior	walɔ
behaviour	jijɔ
behind	gudo
being	nyí
belief	ɖi nù
believe	ɖi nǔ
belly	adɔgo
belong	ɖŏ àsi medé tɔ́n
beloved	mɛvívɛ́ná
below	ɖò do
belt	gǒjíblánú
bench	zinkpò
bend	ɖì
beneath	ɖò hweɖénu
benefit	ɖŏ lè
benefit	ɖu lè
benefits	ledudu
beside	kpá
besides	é ɖò có
best	nǔ ɖagbe hugǎn
best of luck	é nyɔ́ nú mì
best regards	kplɔnmɛ ɖagbe lɛ
better	é nyɔ́ hú
between	ɖò tɛntin
beverage	sinnunu
beyond	ɖò gudo
Bhojpuri	Bhojpuri
bias	ɖekpo
biased	ɖíɖá
bicycle	kɛkɛ
bid	xwlé
big	ɖaxó
bike	kɛkɛ
bill	axɔ́ e è na ɛ é
bind	xò
bird	xɛví
birthday	azànzǎn
bit	kpɛví kpɛví
bite	kpɛɖé
bitter	vivè
black	awii
blade	jivi
blame	mi ɖu
blame	mi ɖu vivǐ
blank	nùɖé ɖè ǎ
blanket	avɔdudɔ́
blast	nùxámɛ
bleach	nùjlajla
blend	sinsin
bless	nyɔna
blessed	nyɔna
blind	nukúntíntɔ́nnɔ
bliss	nyɔna
block	ji go nù me
blood	hun
bloom	gbà sé
blow	fùn
blue	hwɛ̌
blunt	wùgblémetɔ́
board	wèmàwlànxwle
board	kpò
boat	tɔjíhún
body	agbaza
boil	hwinhwen
bold	adàntɔ́
bond	bɔnd
bone	xú
book	hen do tè
book	wèmà
boost	dŏ alɔ
boost	alɔ dŏ
booster	nùjlɛ́jlɛ́
boot	afɔkpa
boots	afɔkpa
border	kanmɛ
bore	tɔ́n
bored	é ɖò xixo wɛ
boring	nǔ gblé
born	jì
borrow	yí akwɛ́
boss	gǎn
both	we lɛ́
bother	ɖŏ tagba
bother	ɖì
bottle	go
bottom	jizɔ́n
bought	xɔ
bounce	zlɔ́n
bound	è dó
boundaries	dogbó lɛ
bow	gàn
bowl	nùɖúɖú
box	gangbà
boy	nyaví
boyfriend	xɔ́ntɔn
bracelet	alɔví
brain	ayi
branch	alɔxɔ
brand	nùjlɛdonǔwu
brave	akɔnkpinkpan
breach	nǔgbomɛ
bread	wɔ̌xúxú
break	etɛ́ wɛ́ nyí
breakfast	nùɖúɖú
breast	kɔ́
breath	jɔhɔn
breathe	hùn
breed	honwezun
brick	azin
bride	alɔwliwli
bridge	gǎglónú
brief	nùɖé kpò
bright	akpé
brilliant	akpé
bring	dŏ wŭ
bro	nɔví
broad	mɛxo
broadcast	jla
broke	é gblé
broken	gba
broom	akizà
brother	nɔví
brother in law	nɔví sunnu tɔn
brought	kplá
brown	kɔ́n
brush	nùsúnsùnnú
bucket	xɛ
buddy	xɔ́ntɔn
budget	akwɛ̀kpò
bug	nùɖé
build	bló
building	xɔ
built	è bló
bulk	ayakatayajà
bull	nyibú
bully	mɛ e nɔ dó ya nú mɛ é
bump	go
bunch	hwin
bundle	nùbiblà
burden	ɖŏ agban
burden	agban
buried	è ɖi
burn	do myɔ
burst	wùkpà
bury	ɖà
bus	mɔ̆to
bush	gbadé
business	agbàn
bust	nùɖíɖó
busy	un ɖó hwenu ǎ
but	amǒ
butter	atín
butterfly	lɛ́ɛ
button	gùn
buy	xɔ
by	ɖò
by the way	é ɖò mɔ̌ có
bye	bye bye
cabbage	amà
cabinet	nùgùdo
cage	ajà
cake	acɔnmɔ́n
calf	nyibú
call	ylɔ́
call	ylɔ́ wà
call me	ylɔ mì
called	ylɔ́
calm	gbɔjɛ
came	wá
campaign	nùkpinkpan
can	sixu
can	kpéwú
can't	Un sixu wà mɔ̌ ǎ
Cancel	ÐáñáôçñÞóôå
cancer	kansɛ́n
capable	nǔwukpikpé
capacity	nǔwukpikpé
capital	nǔ taji
caption	xókwín
capture	wlí
car	mɔ̆to
career	azɔ̀
careful	ayi ɖó
carefully	kpɔnkpɔn
careless	ayi ma ɖó
caring	kpé nukún dó mɛ wu
carpenter	atínzɔ́watɔ́
carpet	tikwéé
carrot	xɛ́
carry	hɛn
carry on	yì nukɔn
carry out	wà
case	xɔ́
cash	cìn jí
cast	ɖŏ
castle	xɔ
casual	vuvɔ
cat	awii
catch	wlí
category	nùɖé
cattle	kanlin
caught	è wlí
cause	nù
cause	ɖò alisà
caution	ayihun
cautious	ayi ɖó
cave	mɛ
cease	sà
ceiling	gàn
celebrate	ɖù xwè
cell	alokàn
center	tɛntin
century	xwè kanweko
cereal	jinukùn
ceremony	nuwà
certain	nùɖé
certainly	é ɖò wɛn
certificate	kúnnuɖenú
chain	kannu
chair	azinkpo
challenge	tagba
challenge	kpà do
chance	tabubɔ
change	wǒ
chaos	nǔ gblé
character	nùjɔnǔ
characteristics	nùɖé lɛ
charge	ɖidà
charity	nǔníná ɖagbewiwa
charming	nyɔ́
chart	wemafɔ
chase	dŏ gudo
chat	ódi do
chat	ɖi do
chat	ɖŏ xó
cheap	akwɛ́ ɖé ǎ
cheat	adà
cheating	nùblíblí
check	xà kpɔ́n
check	dô kpɔ́n
cheek	alàkà
cheer	jlo
cheerful	xomɛhunhun
cheers	é sù
cheese	nùsúnnú
chemistry	nùjlajla
cherish	yí wǎn
chess	afɔkù
chest	kɔ
chew	té adù ji
chicken	kokló
chief	gǎn
child	vǐ
childhood	vǔ
children	vǐ lɛ
chill	fifa
chill	éfa
chimneys	nùɖúɖú
chin	mɛ̀
chocolate	kpɔ́kɔ́ló
choice	gbeta
choose	cyàn
chop	xuxo
chores	azɔ̌ lɛ
chubby	kpɔ́bii
church	sinsɛn
cinnamon	sinmɛ
circle	lɛ́ lɛ̌ dó
circumstances	ninɔmɛ lɛ
citizen	tòví
city	toxo
claim	ɖŏ hwɛ
claim	nǔɖíɖó
claim	ɖŏ hwɛ dó mɛ
clarify	ɖè wě
class	azɔmɛ
clay	xɛ
clean	mǐmɛ́
clear	nyénminyénmi
clear	zàwé
clerk	azɔwanú
clever	nùnywɛ́tɔ́
client	nùzɔ̌tɔ́
cliff	yɔdo
climate	jɔhɔn
climb	yì jǐ
clingy	ɖíɖá
clock	ganxixo
close	bɔ̀ dŏ
closet	alumàà
cloth	avɔ
clothes	awu
cloud	hwesivɔ
cloudy	azizɔ
clown	manahen
clue	nùjlɛdonǔwu
clumsy	nǔglɔ́
cluster	nùjlɛ́mɛ
coach	nukplon mɛ
coach	nukplon mɛtɔ
coal	kɔ́n
coast	xuta
coat	avɔ
coffee	kafe
cognitive	nùjlɛdonǔwu
coincidence	nyinyi
cold	xú
collapse	jɛ ayǐ
collar	gǎ
colleague	azɔ̌gbɛ́
colleagues	azɔ̌gbɛ́ ce lɛ
collect	akwèjɔ̀
collection	àkwéjɔ́
college	wemaxɔmɛ
color	kɔ́n
colorless green ideas slept furiously	nùjlɛ́jlɛ́ wěwé e ma ɖó tin ǎ lɛ́ɛ nɔ́ dɔ́ amlɔ mɛ
colour	kɔ́
column	xɛ̀n
comb	nùsúnnú
combination	blá ɖo kpɔ
combine	se ta kplé
come	wǎ
come here	wǎ fí
come on	wá
comfort	gbɔdónúmɛ
comfortable	é nyɔ́
coming	é ɖò wǐwá wɛ
coming soon	e na wá ɖò malín málín mɛ̀
command	acɛkpikpa
comment	xósin
commercial	ajɔ̌nú
commission	azɔwanú
commit	ɖŏ wŭ
commitment	kancica
committed	e dó akpá
commodity	agbàn
common	nùxámɛ
communicate	ɖɔ xó
communication	kpà
community	agun
commute	yì azɔ̌
companion	xɔntɔn
company	gbé
compare	jlɛ́
comparison	jlɛjininɔ
compassion	nǔbláwǔkúnúmɛ
compassionate	xomɛnyínyɔ́
compatible	nùɖíɖó e sɔgbe lɛ é
compete	ɖùgbɛ́
competent	acɛkpikpa
competition	kancica
competitive	ɖùkpá
complain	ɖŏ hwɛ
complaint	ɖŏ nùkanbyɔ
complement	gɔ́ nan
complement	hú nan
complete	nǔ bǐ fó
completely	bibɔ́
complex	nǔ kpinkpɛn
compliance	nùjlɛ́n
complicated	nǔ kpinkpɛn
compliment	nùkpinkplɔn
comply	si
composition	nǔ e è ɖ'ayǐ
compound	nùɖíɖó
comprehension	nukúnnúmɔjɛnǔmɛ
comprehensive	nǔ bǐ
compromise	gbedo kpɔ
compromise	ɖŏ gbeji
compulsory	nǔ e è ɖó ná bló é
computer	kɔmpiutɛ
concentrate	nùɖúɖú
concept	linlin
concern	kpò
concerned	nùkanbyɔ́
concert	nùxixo
conclusion	xota
concrete	wi wa
concrete	é blo
condition	ninɔmɛ
conditions	ninɔmɛ lɛ
conduct	jijɔ
conference	kpléɖókpɔ́
confess	ɖɔ
confidence	jiɖiɖe
confident	jiɖiɖe
confirm	tè ɖě ji
conflict	nǔdindɔn
confused	blɛ́
confusion	nùblawùn
congrats	é nyɔ́ ɖɛ
congratulation	kú dó nú mì
congratulations	é nyɔ́ ɖɛ
conjunction	nùblànù
connect	xò
conquer	ɖu ɖ'é jí
conscious	ayi
consciousness	ayixa
consent	yi gbè nù me
consent	alɔwlíwlí
consent	yi gbè
consequences	nùɖé lɛ
conservation	ze nu hen
conservative	zè nù hèn
consider	ɖè nukún dó
considered	è gbéjé
consist	nɔ nɔ
consistency	tegbè
consistent	é nɔ́ nɔ̀
constant	nɔ nɔ
constantly	hweɖebǔnu
constipation	nùxámɛ
construction	azɔmɛ
consume	fyɔ́
consumption	gbɔ́tàgbigbà
contact	ylɔ̌
contagious	azɔnkwín
contain	nɔ ɖó
contains	nɔ ɖó
contemporary	hwexónu tɔn
contempt	nùɖé dó mɛ
content	tíín
contest	nùkpánkpán
context	xógbe e è ɖɔ dó nǔ wu é
continent	to ɔ
continue	yì nukɔn
contract	do kancica
contract	kancica
contrast	dokpo wéa
contribute	d'alɔ
contribution	alɔdo
control	kpɔ́n
controversial	ɖekúnnu
convenience	ɖŏ mε
convenient	nùɖíɖó ɖagbe
conversation	xóɖiɖɔ
convert	ɖyɔ
convert	ézé hùzù
convert	hùzù
convey	ɖɔ n'í
convince	ɖɔ xó
convinced	é yí gbè
cook	sɔ́ nù
cook	blo ɖŏ
cooking	sɔ́ nù
cool	é vívíví tawun
cool	é nyɔ́
cooperation	azɔ̌ ɖó kpɔ́
cope	kpàn nukɔ̀n
copper	kɔ́fu
core	nùjɔnǔ
corn	gbò
corner	kɔxo
correct	é sɔgbe
cost	axivéxivé
cost	we axi
costume	awu
cottage	xɔ
cotton	atín
couch	kɔ́fún
cough	kpén
could	sixu
council	kplékplé
count	kpò
counter	sɔ́ kén
country	tò
countryside	gleta
couple	mɛ wè
courage	akɔnkpinkpan
course	wezùn
court	hwɛɖɔxɔsa
courtesy	mesisi
cousin	tɔ́gbó
cover	xɛsin
cow	nyibú
coward	xlonɔ
cozy	eyon
crab	agàsà
crack	ézin
crack	gba
craft	azɔwanú
crap	afènnù
crash	éwor
crash	alita òvi
craving	menujlome
crawl	ɖù
crazy	nùɖé wɛ
create	ɖŏ
creative	ɖíɖó
credit	nyìyí tɔn
creep	nùɖúɖú
creepy	wŭ
crew	azɔ̌watɔ́
crime	hwɛhuhu
cringe	ɖì
cringe	mafù
crisis	kpò
criteria	nùjlɛdonǔwu
critical	nùxámɛ
criticism	wèmá
crop	nǔkún
crops	nǔkún
cross	dida sa
cross	kpé
crow	xɛ
crowd	mɛ lɛ
crowded	mɛ kpò
crown	axɔ́súgbákún
crucial	nǔ taji
cruel	adǎn
cruise	tɔjihùn
crush	lí
crush	li li
cry	ɖasin
cucumber	kpikpa
cuddle	lili alɔ̀ wù
culture	aca
cunning	mebibi
cup	kɔ́fu
cupboard	alumaà
curb	lè le do
cure	gbɔ azɔn
cure	azɔn gbi gbɔ
curfew	gbadanu
curiosity	nùkanbyɔ
curious	kpò
curly	gàglonù
currency	akwɛ̀
current	dŏ nú
currently	dìn
curse	nùɖé
curtain	kanxisi
cushion	daàkpè sin vi
custom	ahwangàn
customer	xɔtɔ́
customs	hwɛhwɛ
cut	gbigbo
cut	glo
cute	nyɔ́ ɖɛkpɛ
cycle	nùjlajla
cycling	kpikpa
dad	tɔ́
daddy	tɔ́
daily	sùn ɖokpo ɖokpo
dairy	ganvɔvɔ
dam	gàn
damage	gùgù
damn	e nyɔ́
damp	fifà
dance	ɖú wè
danger	awovinú
dangerous	nùxámɛ
dark	zàn
darling	alɔví ce
dash	dŏ
data	mɛ e nɔ
date	akɔjegbè
date	hwenu
daughter	vǐ nyɔnu
day	azǎn
dead	kú
deadline	xota tɔn
deaf	dŏ tó
deal	nǔ
deal	djè akor
deal	akɔdjidjè
dear	vívɛ́ná
Dear All	Mi bǐ
Dear Customer	mɛvívɛ́ná ce
Dear Parents	Mɛjitɔ́ vívɛ́ná lɛ
Dear Sir	Mɛvívɛ́ná ce
Dear students	Azɔ̌nɔ ce lɛ
Dear Team	Mɛvívɛ́ná ce lɛ
death	kú
debate	xóɖɔɖ'ayǐ
debit	cé
debris	xwè
debt	axɔ
decade	xwè wǒ
decay	gblégblé
deceased	kú
deceive	blǒ
december	décembre
decent	mɛ ɖagbe
decide	ɖɔ
decided	gbeta e è ɖɔ é
decision	afɔ̌tunté
deck	lini
decline	ɖyɔ́
decrease	kpɔ́n té
dedicated	é zé éɖée jó
dedication	mɛɖée zízé jó
deed	wèmá
deep	mɛ
deer	lɛ́ɛ
default	jijɔ nyanya
defeat	dja yi
defeat	ayi djidjè
defend	gàn
define	ɖɔ
definitely	é ɖò wɛn
definition	tinmɛ
degree	azɔmɛ
delay	gangbɔtɔ
delay	lin
delayed	é nɔ́ lín
delete	ɖè
deliberate	wlenwindidé
delicate	ɖŏ mε
delicious	jokpé
delight	awǎjijɛ
delighted	é hun xomɛ nú mì
deliver	ɖè
delivered	è sɔ́
delivery	hɛn
demand	kinkanbyɔ
demand	kàn bɔ
demanding	byɔ́ nǔ mɛ
democracy	acɛkpikpa
demon	awovi
demonstrate	xlé
denied	è gbɛ́
density	nùjlajla
dentist	aɖǔzɔ́nɔ
deny	gbɛ́
department	azɔwanú
departure	yì
depend	agbàn
deploy	wlan
deposit	sɔ́ dó ayi
deposit	ɖekúnnu é
depressed	mɛ e ɖò aluwɛ mɛ é
depression	nùxámɛ
depth	gɔɔ́n
describe	tinmɛ
description	tinmɛ
desert	gbadanu
deserve	é jɛxa
design	nu dide
design	dénu
designation	è ɖè
desire	jló
desire	nùjlótɔ
desk	wemaxɔmɛ
despair	nùxámɛ
desperate	é ɖò xwi ɖí wɛ
despite	kpodo
dessert	gbéxo
destination	nǔ e è ɖó ná bló é
destiny	gbenù
destroy	sú dó
destruction	gblégblé
detail	nùɖé lɛ
details	tinmɛ
detect	mɔ
determination	gbetaɖowu
determine	ɖɔ
determined	è ɖè
determined	è ɖɔ
devastated	é gblé
develop	ɖò nukɔn yì wɛ
develop	ɖù
developed	jɛji
developed	è ɖù
development	nukɔ́nyiyi
device	nǔkpìkpà
device	nùjlɛdonǔwu
devil	awovi
devoted	mɛ e nɔ yí wǎn
Dhivehi	Dhivehi
diabetes	sukpɔ́
diarrhea	nùxámɛ
diary	gbeɖiɖe
dictionary	xógbeɖevomɛ
did	wà
die	kú
died	kú
diet	nùɖuɖu
difference	vogbingbɔn
different	nǔ vovo
difficult	é vɛwǔ
dig	kùn
dignity	sísí
diligent	wùyiyà
dinner	nùɖúɖú
dip	gbamè
direct	gùwùn
direction	ali
director	gǎn
dirt	kɔ́n
dirty	nùɖúɖú
disable	gbò
disabled	mɛ e ɖó wǔvɛ́
disappear	bú
disappointed	é wà nùɖé ǎ
disaster	nǔ nyanya
discard	ɖè
discharge	é ɖè
discipline	mɛsin
discount	ɖíɖekpó
discover	mɔ̀
discrimination	gbeɖeji
discuss	ɖɔ xó
discussion	xó ɖɔ
disease	azɔn
diseases	azɔn lɛ
disguise	ɖŏ
disgusting	kwiji
dish	agbàn gbéjé
dishes	nù ɖù lɛ́
dismiss	ɖè mɛ
dispatch	àjɔ́xwé
display	xlɛ́
disposal	blo ɖó
dispute	kpò
distance	zɔjɛn
distinct	nùɖé
distinguish	klolo
distress	wŭ
distribution	má nǔ
district	xá
disturb	ɖŏ tagba
ditch	yɔdo
dive	lùn
diverse	nùɖé lɛ
diversity	nùɖíɖó vovo
divide	má
divine	nùkikàn
divorce	mi man
divorce	é man
dizzy	nùɖé nɔ́ nyí
do	bló
do you	a nɔ bló gbɔn
do you love me	a yí wǎn nú mì
doctor	dotóo
document	wuntun
does	é nɔ wà
doesn't	é nɔ wà mɔ̌ ǎ
dog	cukù
Dogri	Dogri
doing	blo
doll	abunéka
domain	nùɖé
domestic	tò tò
dominant	acɛkpikpa
don't	ma bló ó
Don't worry	Ma ɖi xɛsi ó
donate	dŏ nù
done	ɖŏ
donkey	xasun
double	atɔn do bù
double	wèdobù
doubt	xò nù kpɔn
dough	mamà
down	afongodé
download	dŏ wŭ
draft	ɖŏ wŭ
drag	sà lelè
drain	sisa
drama	nùjlajla
draw	wlan
drawer	dɔ́n
drawing	ɖè
dread	xɛsi ɖi
dream	drɔ́ kùkù
dream	drɔ́
dress	awu
drill	tɔn
drink	nu
drink	ahan
drive	kun
drop	ayijijé
drop	zè wà do
dropped	e ɖè
drought	xú
drunk	ahannumú
dry	xú
duck	gàn
dude	xɔ́ntɔn
due	è ɖó ná yí
due to	ɖó
dull	fitifiti
dumb	xlonɔ
dump	nùɖúɖú
duration	xwè
during	ɖò hwenu
dust	kɔ́
duty	azɔ̌
dwell	nɔ
dying	kú
each	mɛ ɖokpo ɖokpo
each other	mǐɖée
eager	jló
eagle	jɔhɔn
ear	tó
earlier	nukɔnmɛ
early	hweɖenu
earn	mɔ akwɛ́
ears	tó
earth	ayikúngban
earthquake	ayikúngbanjijla
ease	nǔ nɔ bɔkun
easily	é nɔ bɔwǔ
east	zǎnzǎnhwe jí
easy	é fá
eat	ɖu nù
eating	ɖuɖu
economic	akwɛ̀nkpò
economy	akwékplékplé
edge	kpà
edit	ɖyɔ́
education	mekpinkplɔn
effect	nǔwiwa
effective	nùjiwǔ
efficiency	agidi
efficient	akowunkà
effort	gǎndùdó
egg	asin
eggplant	atinsinsɛn
ego	mɛɖesɔhwe
eight	Azɔn tantɔn
eighteen	xwè kanwe afɔtɔn
eighty	kanɖé nukún
either	abǐ
elaborate	slé
elbow	alɔví
elder	mɛxó
elderly	mɛxo lɛ
elegant	lomilomi
element	bogbé
elephant	fífán
eleven	ɖokpo
eligible	e nɔ kpé nukún dó nǔ wu
eliminate	ɖíɖí
else	mɛ ɖevo
else	nǔ ɖevo lɛ
embarrassed	winnyá dó mì
embarrassing	winnyá
embrace	kisi
emerge	ɖŏ
emergency	nùxámɛ
emotional	ayi mɛtɔn
empathy	sè xá mɛ
emphasis	nukùndéji
emphasize	dŏ wě nú
employee	azɔ̌watɔ́
employees	azɔ̌watɔ́
employer	azɔxotɔ́
employment	zàn
empty	mɛ́ ɖè ă
enable	d'alɔ
encounter	dokpé
encourage	dó wusyɛn lanmɛ nú mɛ
end	finɛ
endangered	e ɖò afɔkú wɛ
endeavor	gǎn dó
endurance	kanɖodonǔwu
endure	zɔ̀n ji
enemy	kɛntɔ́
energy	hlɔnhlɔn
engage	ɖo gbatè
engaged	alɔwliwli
engagement	kancica
engine	mɔ̆tɔ́
engineer	azɔwanú
English	glensi gbè
enhance	dŏ sù
enjoy	dŏ mε
enormous	nùɖíɖó ɖaxó ɖé
enough	é kpé
ensure	gàn jè wù dɔ́
enter	byɔ́
entertainment	ayihunhun
enthusiasm	akpàkpà
enthusiastic	akpàkpà
entire	nǔ bǐ
entitled	e ɖó acɛ
entity	bulɔ́n
entrance	mɛ byɔ́
entrepreneur	azɔtɔ
envelope	wèmá
environment	azɔ̌
envy	wènú
epic	nùjlɛdonǔwu
epidemic	azɔnkwín
