a little	бичииле
bias	чөптүг эвес
biased	чѳптүг эвес
bicycle	чадаг терге
bid	чагыг
big	улуг
bike	чадаг-терге
bill	счёт
bind	улаар
bird	кушкаш
birthday	төрүттүнген хүн
bit	хензиг
bite	ызырар
bitter	ажыг
black	кара
blade	бис
blame	буруудадыр
blank	куруг
blanket	чоорган
blast	частыышкын
bleach	белизна
blend	холуур
bless	йөрээр
blessed	йөрээлдиг
blind	согур
bliss	чыргал
block	бүзээлээр
blood	хан
bloom	чечектелиир
blow	үрер
blue	көк
blunt	шапты
board	самбыра
boat	хеме
body	эът-бот
boil	хайындырар
bold	тас
bond	харылзаа
bone	сөөк
book	ном
boost	өстүрер
booster	күштелдирикчи
boot	идик
boots	идиктер
border	кызыгаар
bore	чалгаараары
bored	чалгаараар
boring	чалгааранчыг
born	төрүтүнген
borrow	чээр
boss	дарга
both	иелээ
bother	саадарыыр
bottle	шил
bottom	адаа
bought	садып алган
bounce	өрү халыгылаар
bound	улатынган
boundaries	кызыгаарлары
bow	ча
bowl	аяк
box	хааржак
boy	оол
boyfriend	эр таныш
bracelet	билектээш
brain	мээ
branch	будук
brand	таңма
brave	эрес-дидим
breach	чаза шавары
bread	хлеб
break	бустуур
break	үрелиир
breakfast	эртенги чем
breast	эмиг
breath	тынар
breathe	тынар
breed	азыраар
brick	кирпич
bride	душтук
bridge	көвүрүг
brief	кыска
bright	чырык
brilliant	бриллиант
bring	чедирер
bring	экээр
bro	ака
broad	калбак
broadcast	теледамчыдылга
broke	үреп калган
broken	сыйылган
broom	ширбииш
brother	акый
brother	акы
brother in law	чуржу
brought	экелген
brown	хүрең
brush	щётка
bucket	хууң
buddy	эш
budget	бюджет
bug	доос-кара
build	тудар
building	бажың
built	туттунган
bulk	улуг кезии
bull	буга
bully	дүржок кижи
bump	үзер
bunch	оваа
bundle	комплект
burden	аар чүък
buried	хөөп калган
burn	өрттедир
burst	частыышкын
bury	хөөр
bus	автобус
bush	чокпак үнүш
business	ажыл-херек
bust	сыгар
busy	чай чок
but	ынчалза-даа
butter	ак саржаг
butterfly	ховаган
button	кнопка
buy	садып алыр
by the way	ооң кадында
bye	байырлыг
cabbage	капуста
cabinet	кабинет
cage	клетка
cake	торт
calf	бызаа
call	кыйгырар
call	долгаар
call me	менче долгаар
called	адатынган
calm	оожум
came	келген
campaign	кампания
can	шыдаар
can't	шыдавас
Cancel	Узуткаар
cancer	рак
capable	шыдаар
capacity	ишкири
capital	найысылал
caption	бижик
capture	тудуп алыр
car	чычаан
career	ажыл-үүле
careful	оваарымчалыг
carefully	кичээнгейлиг
careless	сагыш амыр
caring	сагыш човаңгыр
carpenter	бызаңчы
carpet	хевис
carrot	морковь
carry	ажаал
carry on	улаштырар
carry out	эттирер
case	херек
cash	бар акша
cast	октаар
castle	шивээ
casual	бөдүүн
cat	моортай
cat	диис
catch	тудар
category	категория
cattle	мал
caught	тутурткан
cause	чылдагаан
caution	оваарымчалыы
cautious	оваарымчалыг
cave	куй
cease	соксадыры
ceiling	дээвиир
celebrate	байырлаар
cell	клетка
center	орзузу
century	век
cereal	тараалыг
ceremony	ёзулал
certain	кезек
certainly	ынчанмайн канчаар
certificate	сертификат
chain	илчирбе
chair	сандай
challenge	кыйгырары
chance	шанс
change	солур
chaos	сандараашкын
character	киржикчи
characteristics	характеристикалар
charge	октаар
charity	ядыыларга дуза
charming	магаданчыг
chart	диаграмма
chase	сүрер
chat	шуугаар
cheap	өртээ чиик
cheat	мегелээр
cheating	меге
check	хынаар
cheek	чаак
cheer	сергедиир
cheerful	хөглүг
cheers	чазамыктаар
cheese	быштак
chemistry	химия
cherish	хайыралаар
chess	шыдыраа
chest	аптара
chew	дайнаар
chicken	дагаа
chief	баштыңчы
child	чаш уруг
childhood	чаш назын
children	ажы-төл
chill	сериин
chimneys	яңданнар
chin	сегел
chocolate	шоколад
choice	шилип алыры
choose	шилиир
chop	чарар
chores	бажыңда ажыл
chubby	семис
church	хүрээ
cinnamon	корица
circle	төгерик
circumstances	байдалдар
citizen	хамааты
city	хоорай
claim	негелде
clarify	тодарадыр
class	класс
clay	дой
clean	арыг
clear	арыг-силиг
clerk	албан-хаакчы
clever	угаанныг
client	клиент
cliff	чалым
climate	агаар-бойдус
climb	халбактанып үнер
clingy	чыпшынчак
clock	шак
close	хаар
closet	шкаф
cloth	хеп
clothes	хептер
cloud	булут
cloudy	булуттуг
clown	клоун
clue	буруудадыр барымдаа
clumsy	каңдай
cluster	чыылганы
coach	башкы
coal	хөмүр
coast	эрик чоогу
coat	тон
coffee	кофе
cognitive	угаан
coincidence	дүгжүрү
cold	соок
collapse	коллапс
collar	моюндурук
colleague	коллега
colleagues	коллегалар
collect	чыыр
collection	коллекция
college	колледж
color	өң
colorless green ideas slept furiously	өң чок ногаан бодалдар дыка удуп чыткан
colour	өң
column	столбец
comb	дыргак
combination	каттыштырары
combine	каттыштырар
come	кээр
come	келир
come here	бээр кел
come on	чоокшуладыр кээр
comfort	комфорт
comfortable	эптиг
coming	кел чыдар
coming soon	удавас кээр
command	бөлүк
comment	комментарий
commercial	коммерцияның
commission	комиссия
commit	күүседиир
commitment	хүлээлге
committed	шынчы
commodity	бараан
common	ниити
communicate	харылзажыр
communication	харылзаа
community	бөлүк
commute	солуур
companion	өңнүк
company	компания
compare	дөмейлээр
comparison	деңнелге
compassion	кады качыгдаары
compassionate	кээргээчел
compatible	тааржыр
compete	чаржыр
competent	эки билир
competition	чарыш
competitive	маргыштыг
complain	хомудаар
complaint	хомудал
complement	немелде
complete	доозар
completely	бүрүнү-биле
complex	нарын
compliance	тааржыры
complicated	нарын
compliment	мактаары
comply	сагыыр
composition	композиция
compound	улажыры
comprehension	билип алыры
comprehensive	хөй талалыг
compromise	чөпшээрежилге
compulsory	албан ужурлуг
computer	компьютер
concentrate	мөөңнээр
concept	концепция
concern	дүвүрээзин
concerned	дүвүрээн
concert	концерт
conclusion	түңнел
concrete	бетон
condition	байдал
conditions	байдал
conduct	дамчыдар
conference	конференция
confess	ажыы-биле минниир
confidence	бүзүрээри
confident	бүзүрелдиг
confirm	шынзыдар
conflict	маргыжары
confused	эгенир
confusion	будулгаазын
congrats	байыр чедирери
congratulation	байыр чедирери
congratulations	байыр чедирер
conjunction	улажыры
connect	кожар
conquer	чаалап алыр
conscious	медерелдиг
consciousness	миннири
consent	чөпшээрел
consequences	уржуктары
conservation	кадагалаары
conservative	хожудаңгай
consider	топтап көөр
consider	манап көөр
considered	санатынган
consist	тургустунар
consistency	чөпшээрежилге
consistent	туруштуг
constant	үргүлчү
constantly	черле
constipation	тырык
construction	тудуушкун
consume	хереглээр
consumption	хереглээри
contact	харылзаа
contagious	халдавырлыг
contain	тудар
contains	хандырар
contemporary	онза чугула
contempt	тоо бодавазы
content	допчузу
contest	конкурс
context	контекст
continent	дип
continue	улаштырар
contract	керээ
contrast	контраст
contribute	дузалаар
contribution	салган акша
control	контроль
controversial	маргыштыг
convenience	эптии
convenient	эптиг
conversation	чугаа
convert	чаартыр
convey	дамчыдар
convince	бүзүредир
convinced	бүзүрээн
cook	чем кылыр
cooking	чем кылыр
cool	азаартыг
cool	сериин
cool	угжок
cooperation	кады ажылдажылга
cope	күш чедер
copper	чес
core	үрүң
corn	кукуруза
corner	азыг
correct	шын
cost	өртек
costume	костюм
cottage	коттедж
cotton	хөвең
couch	диван
cough	чөдүрер
could	болур
could	шыдаар
council	чөвүлел
count	санаар
counter	счётчик
country	чурт
countryside	суур
couple	эжеш
courage	эрес-дидим
course	уг-шиг
court	шүүгү
courtesy	хүндүлээчели
cousin	шаны
cover	шывар
cow	инек
coward	кортук кижи
cozy	таарымчалыг
crab	краб
crack	дарс дээн
craft	ус ажыл
crap	мыяк
crash	үрелиишкин
craving	чүткүлде
crawl	соястаар
crazy	четпес
create	чаяар
creative	чогаадыкчы
credit	кредит
creep	үңгээр
creepy	коргунчуг
crew	бөлүк
crime	кем-херек
cringe	чыырлыыр
cringe	чыырлы бээр
crisis	кризис
criteria	критерий
critical	ондактыг
criticism	критика
crop	дүжүт
crops	тараа культуралары
cross	кежер
crow	каарган
crowd	мөөң кижилер
crowded	кижи долдур
crown	хаанның бөргү
crucial	ондактыг
cruel	дерзии
cruise	круиз
crush	чуура шавар
crush	чуура базар
cry	ыглаар
cucumber	огурец
cuddle	куспактаныыр
culture	культура
cunning	кажары
cup	тудалыг аяк
cupboard	чем шкавы
curb	узда
cure	эмнээри
curfew	хорупкаан шак
curiosity	сонуургал
curious	сонуургаар
curly	дыдыраш
currency	валюта
current	амгы
currently	амгы
curse	каргыш
curtain	көжеге
cushion	сыртык
custom	таарыштырган
customer	садып алыкчы
customs	каайлы чери
cut	кезер
cute	чаптанчыг
cycle	цикл
cycling	терге мунар
dad	ачай
daddy	ача
daily	хүн бүрүде
dairy	сүттен кылган
dam	чал
damage	урелиишкин
damn	ойт
damp	өл
dance	таанзы
danger	айыыл
dangerous	айыылдыг
dark	караңгы
darling	эргим
dash	хап кирер
data	медээлер
date	үе
daughter	уруу
day	хүн
dead	өлүг
deadline	cөөлгү срогу
deaf	дүлей
deal	херек
dear	эргим
Dear All	эргим шупту
Dear Customer	Эргим садып алыкчы
Dear Parents	эргим ада-ие
Dear Sir	эргим сэр
Dear students	эргим студентилер
Dear Team	эргим бөлүк
death	өлүм
debate	дискуссия
debit	дебет
debris	бузундулар
debt	өре
decade	он чыл
decay	будулары
deceased	өлген
deceive	мегелээр
december	он ийи ай
decent	топтуг
decide	шиитпирлээр
decided	шиитпирлээн
decision	шиитпир
deck	түү
decline	кудуладыыр
decrease	эвээжедир
dedicated	бараан болдурган
dedication	бердингени
deed	чорук
deep	хандыр
deer	иви
default	өйлээни-биле
defeat	аштырыышкын
defend	камгалаар
define	тодарадыр
definitely	чүс хуу
definition	тодарадылга
degree	чада
delay	саадаашкын
delayed	соңгаарладыр
delete	аштаар
deliberate	сагыштыг кылгаң
delicate	ээлдек
delicious	чаагай
delight	улуг өөрүшкү
delighted	магадаан
deliver	чедирер
delivered	чедирген
delivery	чедирери
demand	негээр
demanding	негелделиг
democracy	демократия
demon	аза
demonstrate	көргүзер
denied	ойталаан
density	сырыйы
dentist	диш эмчизи
deny	хүлээвес
department	килдис
departure	чорудары
depend	идегээр
deploy	чада тудар
deposit	депозит
depressed	муңгаргай
depression	депрессия
depth	тереңи
describe	тодарадып бижиир
description	тодарадып бижиири
desert	куруг хову
deserve	чедип алыр
design	дизайн
designation	хүлээлге
desire	күзел
desk	ажыл ширээзи
despair	идегелин ышкынары
desperate	идегел чок янзылыг
despite	ынчалза-даа
despite	турза-даа
dessert	десерт
destination	чедер чери
destiny	салым-чол
destroy	үрегдээр
destruction	бузары
detail	деталь
details	тодаргайы
detect	тывар
determination	тодарадылга
determine	тодарадыр
determined	тодараткан
devastated	хорадыр
develop	сайзыраар
developed	сайзыраңгай
development	хөгжүлде
device	тургузуг
device	херексел
devil	аза
devoted	тураскааткан
Dhivehi	Дивехи
diabetes	чигир аарыы
diarrhea	ижин долгап аарыыры
diary	дневник
dictionary	сөстүк
did	турган
die	өлүрер
died	өлүп калган
diet	диета
difference	ылгал
different	аңгы
difficult	берге
dig	казар
dignity	мөзүлүү
diligent	чүткүлдүг
dinner	кежээки чем
dip	сугар
direct	доорт
direction	уг
director	директор
dirt	хир
dirty	хирлиг
disable	өжүрер
disabled	харыысалга онаап болбас
disappear	чиде бээр
disappointed	чөгенген
disaster	катастрофа
discard	каар
discharge	эмгежок
discipline	чурум
discount	чиигелде
discover	илередир
discrimination	кызагдаашкын
discuss	чугаалажыыр
discussion	чугаалажыыры
disease	аарыг
diseases	аарыг
disguise	маскировкалаар
disgusting	кончуг багай
dish	калбак тавак
dishes	калбак тавактар
dismiss	чөпшээревес
dispatch	чоргузар
display	дисплей
disposal	чайладыры
dispute	чаргы
distance	аразы
distinct	илдең
distinguish	ылгаар
distress	муңгагдал
distribution	хуваалда
district	район
disturb	дүвүредир
ditch	оңгар
dive	шымныр
diverse	янзы-бүрү
diversity	янзы-бүрү
divide	үлээр
divine	ыдыктыг
divorce	чарлыры
dizzy	баш дескинги дег
do	кылыр
do you	сен
do you	силер
do you love me	сен меңээ ынак сен бе
doctor	эмчи
document	документ
does	бар
dog	ыт
Dogri	Догри
doing	кылып турар
doll	ойнаар-кыс
domain	домен
domestic	бажыңның
dominant	тергиидкен
don't	чок
Don't worry	дүвүреве
donate	өргүүр
done	дооскан
done	кылган
donkey	элчиген
dope	кара-таапкы
double	ийи дакпыр
doubt	чинзиниг
dough	далган
down	куду
download	бижиттирер
draft	болбаазырадыр
drag	сөөртүр
drain	харыксырадыр
drama	драма
draw	чуруур
drawer	дыртар карак
drawing	чурук
dread	коргунчуг
dream	дүш
dress	платье
drill	мергежиири
drink	суксун
drive	мунар
drop	оскунар
dropped	барып ушкан
drought	каңдаашкын
drunk	эзирик
dry	кургаг
duck	өдүрек
dude	ашак
due	чогуур
due to	мооң хараазы-биле
dull	чалгааранчыг
dumb	мелегей
dump	бок төгер чер
duration	үүрү
during	үезинде
during	үеде
dust	доозун
duty	хулээлге
dwell	чуртаар
dying	өлүп чыдар
each	бүрү
each other	бот-боттарын
eager	аажок күзээр
eagle	эзир
ear	кулак
earlier	ооң мурнунда
early	эрте
earn	ажылдап алыр
ears	кулактар
earth	чер
earthquake	чер шимчээшкини
ease	бөдүүнү
easily	бөдүүнү-биле
east	чөөн чүк
easy	белен
eat	чиир
eating	чип турар
economic	экономика
economy	экономика
edge	кыдыг
edit	редакторлаар
education	өөредилге
effect	магадал
effective	үре-түңнелдиг
efficiency	ажылгыры
efficient	эффектилиг
effort	күжениишкин
egg	чуурга
eggplant	баклажан
ego	эго
eight	сес
eighteen	он сес
eighty	сезен
either	чүү-даа
either	кандыг-даа
elaborate	ажылдап кылыр
elbow	шенек
elder	улуг
elderly	кырыксай берген
elegant	аянныг
element	элемент
elephant	чаан
eleven	он бир
eligible	чөпшээреп болур
eliminate	узуткаар
else	өске
embarrassed	ыяткан
embarrassing	ыядынчыг
embrace	куспактаар
emerge	көстү бээр
emergency	онза байдал
emotional	сеткил-сагыжы хайынган
empathy	сеткил каттыштырары
emphasis	ударение
emphasize	акцент салыр
employee	ажылдакчы
employees	ажылчыннар
employer	ажыл берикчизи
employment	ажылга киирери
empty	хос
empty	куруг
enable	кыпсыр
encounter	үскүлежиишкин
encourage	сергедир
encourage	дедкиир
end	төнчүзү
endangered	айыыл адаанда
endeavor	чүткүл
endurance	шыдамыы
endure	шыдажып эртер
enemy	дайзын
energy	энергия
engage	киириштирер
engaged	дүгдеттинген
engagement	дүгдээри
engine	шимчедикчси
engineer	инженер
English	англий дыл
enhance	экижидер
enjoy	таалаар
enormous	аажок улуг
enough	чедер
enough	чедип тур
enough	четчир
ensure	магадаар
enter	кирер
entertainment	хөглээшкин
enthusiasm	сорук кириишкин
enthusiastic	магадаан
entire	бүдүнге
entitled	адатынган
entity	алыс ужуру
entrance	кирер чер
entrepreneur	бүдүрүлге ээзи
envelope	чагаа
environment	хүрээлээшкин
envy	адааргал
epic	маадырлыг
epidemic	эпидемия
equal	дең
equipment	дериг-херексел
equity	чөптүг чорук
equivalent	эквивалент
eraser	балааш
error	чазыг
escape	дезер
especially	онза
essay	чогаал
essence	алыс ужуру
essential	чугула
establish	тургузар
established	тургустунган
estate	хөреңги
estimate	үнелээр
estimated	даап бодаан
etc	оон-даа ыңай
eternal	мөңге
ethics	этика
evaluate	үнелээр
evaluation	үнелээри
even	безин
even	оода
even though	даа болза
evening	кежээ
event	болуушкун
eventually	түңнелинде
ever	кажан-бир шагда
every	бүрү
everybody	шупту
everyone	шупту
everything	шупту чүве
evidence	өчүк
evil	багай чүүл
evolution	эволюция
evolve	сайзыраар
Ewe	Эве
ex	шагдагы
exact	ылап шын
exactly	ылап
exactly	ылап-ла
exam	шалгалда
examine	шинчилээр
example	чижек
exceed	көвүдей немээр
excellent	дыка эки
except	аңгыдан
exception	тускай чуве
excess	артыкшыл
excessive	эмин эрттир
exchange	солуушкун
excited	девидээр
excitement	девидээри
exciting	сеткил хөлзээр
exclusive	онзагай
excuse	өршээр
excuse me	бурулуг болдум
execute	күүседир
execution	күүседир
executive	күүседикчи
exercise	мергежилге
exhaust	харыксырадыр
exhausted	шылап калган
exhibit	көргүзер
exhibition	делгелге
exist	амыдыраар
existence	амыдыраары
existing	бар
exit	үнер
expand	алгыдар
expect	идегээр
expected	манаан
expenses	чарыгдалдар
expensive	аар
experience	дуржулга
experiment	эксперимент
expert	эксперт
expired	эрткен
explain	тайлбырлаар
explanation	тайылбыр
exploit	мөлчүүр
explore	шинчилээр
export	экспорт
expose	сойгалаар
exposed	делгээр
exposure	салдар
express	илередир
expression	илерээшкин
extend	делгемчидер
extended	калбарткан
extension	алгыдары
extent	хемчээл
external	даштыкы
extinct	кырлыр
extra	немей
extract	уштур
extraordinary	анаа эвес
extreme	сан чок
extremely	дыка
eye	карак
eyes	карактар
fabric	пөс
fabulous	дүвүренчиг
face	арын
facilitate	деткиир
facilities	дериг-херекселдер
facility	бүдүрүлге
fact	барымдаа
factor	фактор
factory	завод
facts	фактылар
fade	оңар
fail	чедимче чок болур
failed	чедимче чок
failure	чедимче чок
faint	сула
fair	чөптүг
fairly	ам болзун
fairy	фея
faith	чүдүлге
faithful	бүзүрелдиг
fake	меге чүүл
fall	барып дүжер
fall	бадар
fall	аңдарылыыр
FALSE	меге чүүл
fame	ат-алдар
familiar	таныыр
family	өг-бүле
famine	аш-чут
famous	алдарлыг
fan	вентилятор
fancy	тывызык
fancy	нарын
fantastic	фантастиктиг
far	ыракта
farewell	чарлып байырлажыры
farm	ферма
farmer	фермер
fascinating	магаданчыг
fashion	мода
fast	дүрген
fat	семис
fatal	халаптыг
fate	салым
father	ада
fatigue	шагзырааны
fault	частырыг
favorite	ынак
favour	дуза
favourite	ынак
fear	коргуш
feast	найыр
feather	чүг
feature	чүүлү
features	онза чүүлдери
february	ийи ай
fed up	чемгерип турган
fee	давыдыр
feed	чемгерер
feedback	дедир харылзаа
feel	минниир
feeling	минниишкин
feet	буттар
fell	барып ушкан
fellow	эш
felt	минген
female	кыс кижи
fence	кажаа
fertile	дүжүткүр
festival	фестиваль
fetch	уштур
fever	халыын
few	эвээш
fewer	биче
fiance	душтук
fiction	бодап тыпкан чүүл
field	шөл
fierce	араатанзыг
fifteen	он беш
fifty	бежен
fight	чогуш
fighting	чогуш
figure	дүрзү
figure out	билип алган
file	файл
fill	долдурар
filled	долдур
film	кино
filthy	ческинчиг
finally	ам на
finance	саң-хөө
financial	саң-хөө
find	тып алыр
find	тывар
find out	илередир
fine	чүгээр
fine	ажырбас
finger	салаа
finish	төнчүзү
finished	доозупкан
fire	от
firm	быжыг
first	бир дугаар
first name	ат
fish	балык
fit	тааржыыр
five	беш
fix	эдер
fixed	кылдынган
flag	тук
flash	кывыышкын
flat	калбак
flat	дески
flaw	четпес чүүл
flawless	кончуг эки
flee	дезер
flesh	эът-бот
flew	ужуп турган
flex	ыргайтыр
flexible	эглиичел
flight	ужугары
flip	аңдарар
flirt	ылчыңнажыр
flirting	ылчыңнашкан
float	салдаар
flood	үер
floor	шала
flour	далган
flow	агар
flower	чечек
flu	грипп
fluent	илдик чок
fluently	хостуг
fluffy	чымчак
fluid	суук чүүл
fly	ужар
focus	хаара тудар
fog	туман
foggy	туманныг
fold	сыга тудар
folks	кижилер
follow	эдерер
follow up	көрүп турар
following	соонда
food	чем
fool	мелегей
foolish	мелегей
foot	буттар
football	футбол
For example	чижээлээрге
for instance	чижелээрге
for you	сеңээ
forbidden	хоруглуг
force	күш
forecast	медээ
forehead	хавак
foreign	даштыкы
forest	арга
forever	кезээде
forget	уттуптар
forgive	өршээр
forgot	утупкан
fork	серээ
form	хевир
formal	хевирниң
former	шаандагы
fortunately	Аас-кежии болуп
fortune	аас-кежик
forty	дөртен
forty-two	дөртен ийи
forward	буруңгаар
forward	мурнунче
foster	дузалаар
fought	чокшуп турган
found	тыпкан
foundation	үндезин
four	дөрт
fourteen	он дөрт
fox	дилги
fragile	бустуучал
frame	рамка
framework	рамки
fraud	бузурукчу чорук
freak	элдептиг кижи
free	хостуг
freedom	хосталга
freeze	доңар
frequency	частота
frequent	бо-ла
frequently	бо-ла
fresh	чаа
friday	пятница
fridge	соодукчу
friend	эш
friendly	эп-найыралдыг
friends	эштер
friendship	найырал
frightened	корткан
frightening	коргунчуг
frog	пага
from	-дон (төнчү)
from	-дан
from	-ден
front	мурнуку
frozen	доңурган
