ए	a
सोलाय	amend
गेजेराव	amid
मादाव	among
जोंनि गेजेराव	among us
गासै बिबां	amount
रंजानाय बाजानाय	amusing
एन	an
बिजिरथि	analysis
फोरेल	ancestors
आस्रय होग्रा	anchor
सिगांनि	ancient
आरो	and
आरो नों	and you
राफोदाय	angel
रागा	anger
ख'ना	angle
राग जोंनाय	angry
जुनार	animal
हानथु गिला	ankle
माइथायारि	anniversary
फोसावनाय	announcement
बोराब हो	annoy
रागा जोंनाय	annoyed
बोराबथाव	annoying
बोसोरारि	annual
मोनथि मोनै	anonymous
गुबुन मोनसे	another
फिननाय हो	answer
फिननाय	answer
सिगांनो सानखा	anticipate
उसुखुथु	anxiety
गोनोगोथो	anxious
जायखिजाया	any
दंबाव नामा	anymore
जायखि जाया	anyone
जिखुनु	anything
जेरैखिजा	anyway
जेरैखि जाया	anyways
आलादा आलादायै	apart
ख'था	apartment
निमाहा बि	apologize
रोखा रोखा	apparent
रोखा रोखा	apparently
खावलायनाय	appeal
नुजथि	appear
नुजाथिनाय	appearance
नुजाफैदों	appeared
ख'हाबनाय	appetite
आफेल फिथाइ	apple
दरखास्ट	application
खावलाय	apply
निजुकथि	appointment
बाखनायनाय	appreciate
बाखनाइनाय	appreciation
खाथियाउ फैनाय	approach
सेराव साफि	approach
गाहाम	appropriate
गनायथि	approval
गनाय	approve
गनायथि हो	approved
फ्राय	approximately
इंराजि बोसोरनि ब्रै दान	april
अननायगैयै	arbitrary
बानायग्रा	architect
गेदेर गेदेर न'नि महर होग्रा	architecture
दोनथ' हरनाय	archive
दंङ	are
नांगौ	are
नों नंगौ	are you
नोंथांआ मुखुब नामा	are you busy
नोंथांआ जुलि जाबाय नामा	are you married
नोंथांआ जुलि जादों ना ‌जायाखै	are you married or single
नों दाबो बेयावनो दङ	Are you still there?
नोंथांआ बैयाव सहैबाय	are you there
ओनसोल	area
खोथा हेबनाय	argue
नांलायनाय	argument
सिखार	arise
आखाइ	arm
सानथ्रि हानजा	army
सोरगिदिं	around
जगार	arrange
साजाय	arrangement
सफैनाय सम	arrival
सफै	arrive
सफैबाय	arrived
दुगा	arrogant
थिर	arrow
आदब	art
आइन	article
नंगुबै	artificial
सावगारि एरगिरि	artist
बायदि	as
जेसे गोलाव	as long as
आरो लोगोसे	as well
आरो लोगोसेयै	as well as
हाथफ्ला	ash
लाजिनांनाय	ashamed
सों	ask
सोंबाय	asked
उन्दुलाननाय	asleep
नुथाय	aspect
अआसामनि राव	Assamese
गाग्लोबनाय	assault
आयेन आफाद	assembly
खाटां	assertive
बिजिरना नाय	assess
बिजिरनाय	assessment
समफथि	asset
समफथि	assets
दैथाय	assign
बाहागो खालामना होनाय खामानि	assignment
मदद	assist
हेफाजाबगिरि	assistant
गोरोब	associate
गोरोब	associated
खौसे	association
सानना ला	assume
साननानै लानाय बाथ्रा	assumption
सेराव	at
खमावबो	at least
जाखांबाय	ate
खमलायनाय	athlete
नांजाब	attach
नांथाबना	attached
सोमोनदो	attachment
गागलोब	attack
नाजानाय	attempt
नाजा	attempt
हाजार जा	attend
हाजिरा	attendance
गोसो हो	attention
साननाय एबा गोसोनि अबसथा	attitude
मुहि	attract
मुहिनि	attraction
नोजोर बोनाय	attractive
फोनां	attribute
नायग्राफोर	audience
सनमानगोनां	august
बिमानै	aunt
आनै	aunty
गुबै	authentic
लिरगिरि	author
गोहो	authority
दुफां बोथोर	autumn
मोनथाव	available
गर	average
एंगार	avoid
सिरिमोन	awake
बान्था	award
सांग्रां	aware
सांग्रांथि	awareness
जानगार	away
जोबोद गाहाम	awesome
जोबोद गाज्रि	awful
गोनो गोथो गोनां	awkward
आयामाराया बलिबिया नि राव	Aymara
खुदिया	baby
हाबा जायै हौवा	bachelor
उन बाहागो	back
उनथिं थानाय	background
मोजां नङि	bad
जलंगा	bag
लुबै होनाय	bait
फोरान	bake
फिथा बानायग्रा न'	bakery
सौदा बानायनाय	baking soda
फारला	balance
समानथाय	balance
जोलुर	ball
बामबाराया मालि हादरनि राव	Bambara
थालिर फिथाइ	banana
फिटा	band
गोसा सोदोब	bang
रुगुं	bank
लाउथि	bar
इसेयै	barely
दाम दर थिक खालामनाय	bargain
सों	bark
दंफां बिगुर	bark
जेबो आइजें गैया लासे	barley
बेरा	barrier
बिथा	base
बिथा	based
न'नि गाहायनि खथा	basement
गुदि	basic
गुबैयै	basically
थुलुंसि बिफां	basil
जारज	bastard
हानजा	batch
दुगैनाय	bath
दुगैग्रा न'	bathroom
बेटारी	battery
दावहा	battle
जाथि थि गाब	bay
दं	be
जा	be
था	be
मोजां था	be careful
लैथो जिं	beach
सोरां रोदा	beam
गरसि	beans
सहाय	bear
मुफुर	bear
दारि	beard
आखु	bearing
जुनार	beast
फेजेननाय	beat
बु	beat
समायना	beautiful
समायना	beauty
जाबाय	became
मानोना	because
मानोहोनोब्ला	because
जानो	become
बिसना	bed
उनदुग्रा खथा	bedroom
बेरे	bee
मोसौ बेदर	beef
दंमोन	been
रोखोमसे जौ	beer
सिगां	before
जागायबाय	began
जागाय	begin
जागायजेननाय	beginning
सासेनि सोलाय	behalf
बाहाय	behave
आखल आखु	behavior
आखल	behaviour
उनफारसे	behind
थाथाय (अस्तित)	being
फोथाइ	belief
फोथाय	believe
उदै	belly
बिगोमा	belong
अनजालु	beloved
गाहायनि	below
पेटी	belt
बेरेंसि	bench
फदब	bend
सिंआव	beneath
मुलामफा	benefit
मुलामफा मोन	benefit
मुलामफा	benefits
खाथियाव	beside
खाथियाव	besides
साबसिन	best
मोजांयै हो	best of luck
साबसिन सनमान	best regards
साबसिन	better
गेजेराव	between
सरबत	beverage
बाहेराव	beyond
झारखाण नि राव	Bhojpuri
नंखाय	bias
फेर	biased
साइकेल	bicycle
बिथोन हो	bid
गिदिर	big
मटर साइकेल	bike
रांनि हिसाब	bill
खा	bind
दाव	bird
जोनोम सान	birthday
इसे	bit
अर	bite
अरनाय	bite
गोखा	bitter
गोसोम	black
गोबौ मुवा	blade
दाय	blame
दाय हम	blame
जेबो गैयै	blank
खमबल	blanket
बेरफ्रु	blast
गुफुर जा	bleach
गलाय	blend
बोर हो	bless
बोर गोनां	blessed
खाना	blind
थार सुख	bliss
खफा	block
थै	blood
बिबार बारस्रानाय	bloom
सौनाय	blow
निला	blue
बुथुवा	blunt
मेज	board
दिङा	boat
बोडो	Bodo
सोलेर	body
रु	boil
गिनो रोंइ	bold
खाग्रा	bond
हारा	bone
बिजाब	book
बोलो हो	boost
नारना हर	boost
बोलो बांहोग्रा	booster
होखार	boot
बुट जुथा	boots
सिमा	border
बा नाय	bore
खायसो खालाम	bored
गोसो गैयि	boring
जोनोम	born
दाहार लाथ'	borrow
दैदेनगिरि	boss
सानैबो	both
नांजानाय	bother
बथल	bottle
गेजेर	bottom
लाबोनाय	bought
बाजल'	bounce
सिमा	bound
सिमना	boundaries
खर' गंलायनाय	bow
खुरै	bowl
बाखसु	box
हौवासा	boy
गोसोथोनाय सेंगोरा	boyfriend
आसान	bracelet
मेलेम	brain
दालाइ	branch
फालांगि नेरसोन	brand
सहस गोरा	brave
गुदुं	breach
आटानि र'थि एबा फिथा	bread
सिफायनाय	break
सिफाय	break
फुंनि आदार	breakfast
आबु	breast
हां लानाय हगार नाय	breath
हां बो	breathe
फोलेर	breed
इथा	brick
खैना	bride
दालां	bridge
गुसुं	brief
गोजों	bright
जोबोद मोजां	brilliant
लाना फै	bring
बिदा	bro
गुवार	broad
गोसार होनाय	broadcast
बायनाय	broke
बायनाइ	broken
हासिब	broom
बिदा-फंबाय	brother
गुमै	brother in law
लाबोबाय	brought
मुगा	brown
मैला हुगारग्रा	brush
बालथिं	bucket
लोगोरि	buddy
रां बावजा	budget
उराव एमफौ	bug
लु	build
लुनाय	building
लुनाय	built
बिबां	bulk
मोसौ खार	bull
सुथालाग्रा मानसि	bully
सौथु	bump
मुथा	bunch
मुथा	bundle
बजाय हो	burden
बजाय	burden
फबनाय	buried
फोजों	burn
गुब्रु	burst
फब	bury
बास गारी	bus
जाहार	bush
फालांगि	business
सिफाय	bust
मुखुब	busy
नाथाइ	but
माखन	butter
सिखिरि	butterfly
गुदाम	button
रांहोना ला	buy
खाथियाव	by
बिनिफ्राय	by the way
बिदाय	bye
बान्दाकबि	cabbage
मनथ्रिमण्डल	cabinet
फिनजारी	cage
फिथा	cake
मोसौ मैसोनि एबा मैदेरनि फिसा	calf
लेंहर	call
लेंहरनाय	call
आंखौ लिंहर	call me
लेंहर	called
निजोम	calm
फैबाय	came
फोथार	campaign
दो	can
थेमा	can
मावनो एबा खालामनो हा	can
हाया	can't
बोखार	Cancel
केनसार बेराम	cancer
मावनो हानाय	capable
लानो हानाय गोहो	capacity
राजथावनि	capital
आयदानि गिबि सारि	caption
सेबखां	capture
गारि	car
जिवनि हाबा	career
जोथोन गोनां	careful
जोथोनै	carefully
जोथोनगैयै	careless
जोथोन	caring
मिसथ्रि	carpenter
दलिसा	carpet
गाजर	carrot
दिखां	carry
मावबाय था	carry on
मावबाय था	carry out
मामला	case
नोगोद रां	cash
महर हो	cast
खरं	castle
जाहोन	casual
मावजि	cat
हम	catch
थाखो	category
मोसौ	cattle
हमनाय	caught
सोमजि हो	cause
जाहोन	cause
सांग्रांथि	caution
सांग्रांथि	cautious
दनदर	cave
नागार	cease
सिलिं	ceiling
फोरबो फालि	celebrate
फिसा दनदर	cell
गेजेर	center
जौथाय	century
साबाय	cereal
फोरबो	ceremony
थार	certain
नंथारगौ	certainly
फोरमान लाइसि	certificate
जिनज्रि	chain
मासि	chair
फेर फाथि	challenge
दाबि	challenge
सोलाय	chance
सोलाइ	change
बेले -बेजे	chaos
आखल	character
स्वभाब	characteristics
बिबान	charge
दान होनाय	charity
समायना	charming
फारिलाइ	chart
होसो	chase
सावरायलाबायनाय	chat
बाथ्रा बुंला बायनाय	chat
सस्ता	cheap
फोला	cheat
थगायनाय	cheating
आनजाद खालाम	check
थाबथानाय	check
खावलाय	cheek
रंजानाय	cheer
रंजानाय	cheerful
रंजा	cheers
गायखेर दाखा	cheese
रासायन सास्र	chemistry
गेदेर गोलाव‌ खालाम	cherish
दाबा गेलेनाय	chess
बिखा	chest
सावले	chew
दावसा	chicken
गाहाय	chief
गथ'	child
उन्दै सम	childhood
गथ'फोर	children
गोजांनाय	chill
गुसुखालाम एबा जा	chill
गुसु	chill
उखुनदै गलांग्रा हासुं	chimneys
खखाब	chin
मेथाय	chocolate
बासिनाय	choice
बासि	choose
सिखाजों हानाय	chop
सानफ्रोमबो मावनो गोनां हाबा	chores
दुलुत दालात	chubby
गिरजा न'	church
दालसेनि	cinnamon
बेंखन	circle
जाथाय	circumstances
नोगोरारि	citizen
सहर	city
बिख'नाय	claim
मोनथाय	claim
बुंफोरना हो	clarify
थाखो	class
हाब्रु	clay
साफा	clean
रोखारोखा खालाम	clear
रोखा रोखा	clear
महरी	clerk
सालाख	clever
उकिल हमग्रा मानसि	client
अनथाइनि गरा	cliff
बारहावा	climate
मानखो	climb
नांथाबनानै था	clingy
घड़ी	clock
बन्द'	close
गस्ला दोनग्रा खथा	closet
सि जोम	cloth
जोम	clothes
जोमै	cloud
दोमैलु	cloudy
आलोगेन्द्रा	clown
गुमुर	clue
बुथुवा	clumsy
थुबुर	cluster
फोरोंथायहोगिरि	coach
खैला	coal
लैथोजिं	coast
क'ट गसला	coat
क'फि	coffee
बुजिनाय गोहो	cognitive
लोगोसे जाफानाय जाथाय	coincidence
गुसु	cold
हरखाब बायनाय	collapse
गोदोनानि जि	collar
लोगोसे मावफाग्रा	colleague
हेफाजाबगिरि	colleagues
बुथुम	collect
बुथुमनाय	collection
फरायसालिमा	college
गाब	color
गाब गैयै गोथां सानस्रिया उनदुदों थिउरियायै	colorless green ideas slept furiously
गाब	colour
खामफा	column
खानजं	comb
दाजाबनाय	combination
दाजाब	combine
फै	come
बियाव फै	come here
फै	come on
सुखु	comfort
गोजोनै	comfortable
फैगौ	coming
फैगासिनो	coming soon
बिथोन	command
बाखनाय	comment
फालांगियारि	commercial
खामानि मावनो‌ सायख' जानाय हानजा	commission
सतबांसा ला	commit
थिरांथा	commitment
समाय - खिरा ला	committed
मुवा बेसाद	commodity
बयनिबो	common
जगा जग	communicate
जगा जग खालाम	communication
सुबुं समाज	community
थांलाय फैलाय खालाम	commute
लोगो	companion
दोलो	company
रुजु	compare
रुजुनाय	comparison
अननाय	compassion
अननायजों	compassionate
सोमोनदोगोनां	compatible
जुजि	compete
आरजाथाव	competent
बादायलायनाय	competition
बादायलायनाय	competitive
अजद	complain
अजद	complaint
फुरायग्रा	complement
फुराय	complement
फोजोब	complete
फुरायै	completely
गोरा	complex
फालिनाय	compliance
गोब्राब जानाय	complicated
हामलायनाय	compliment
सिमान जा	comply
सुजुनाय	composition
हा द'खर	compound
हमदांनो हाथावना	comprehension
गासैखौबो लाजोबना	comprehensive
मिला मिसा जानाय	compromise
गोनांथार	compulsory
सानजुनथी	computer
गोसो फज'	concentrate
सानखांथि	concept
जिंगासि	concern
जिंगा	concern
जिंगासि	concerned
दामनाय देनायनि मेला	concert
जोबनायाव	conclusion
गथा	concrete
बाला	concrete
हालसाल	condition
थासारि	conditions
दैदेन	conduct
जथुम्मा	conference
सिमान जा	confess
साहस	confidence
फोथायनाय	confident
रोखा	confirm
बेरेखा	conflict
आनदायनाय	confused
आनदायनाय	confusion
बराय	congrats
साबायखर	congratulation
साबायखर बावनाय	congratulations
थाफानाय	conjunction
जराय	connect
जैजा	conquer
सांग्रां	conscious
आनदास	consciousness
बोसोन	consent
राजि जा	consent
फिथाय	consequences
रैखा खालामनाय	conservation
रैखाथि	conservative
सानना नाय	consider
सानना नाय	considered
था	consist
गोरोबथि	consistency
बायदियै	consistent
सोलायनाय गैयै	constant
दिदोमै	constantly
गोरा जा	constipation
बानायबाय थानाय	construction
मन	consume
मोनजानाय	consumption
सोमोनदो	contact
सोमोनदोआव फै	contact
बारस्लायग्रा	contagious
हमफा	contain
हमफा	contains
मोनसे समनि	contemporary
मुगैनाय	contempt
सिंनि मुवा	content
बादाय	contest
लोबबा गोनां बाधा	context
हादोरमा	continent
आवगाय	continue
रादाय खा	contract
रादाय बिलाइ	contract
फाराकथि	contrast
फाराक दिनथि	contrast
मदद हो	contribute
मदद	contribution
दबथायनाय	control
हेंथा गोनां	controversial
खाबु	convenience
सुबिदागोनां	convenient
सावरायनाय	conversation
सोलाय	convert
सोलायनाय	convert
दैथाय	convey
फोथाय हो	convince
मानि होनाय	convinced
सं	cook
रुवाथि	cook
संनाय	cooking
गुसु	cool
जोबोद मोजां	cool
लोगो नांना माव	cooperation
खर' खोबग्रा	cope
तामा	copper
बिखा	core
जुंखाम	corn
खना	corner
थार	correct
दाम	cost
खरसा जा	cost
देलायग्रा मुवा	costume
देरा	cottage
कपाह सि	cotton
फुथुमना दोन	couch
गुजुनाय	cough
हागौमोन	could
समिटि	council
सान	count
हेंथायै	counter
हादर	country
गामि ओनसोल	countryside
ज'रासे	couple
गोहो	courage
बोहैथि लामा	course
बिजिरसालि	court
माहि आखु	courtesy
बिबथै एबा बिमायंनि फिसाला एबा फिसाजो	cousin
खोबथे	cover
मोसौ गाइ	cow
गिख' मानसि	coward
आराम गोनां	cozy
खांख्राय	crab
गावनाय	crack
बायहोग्रा	crack
शिल्प' बिधा	craft
खांख्राइ	crap
सिलिंखार जानाय	crash
गाज्रि जा	crash
लुबैनाय	craving
मानबाय	crawl
सानना रोङग	crazy
बानाय	create
सोरजिलु	creative
मुं होनाय	credit
मानबाय नाय	creep
नायखुमाग्रा	creepy
सुबुं हानजा	crew
दाय	crime
गुरै जा	cringe
गिनानै खर'गंलाय	cringe
अलखत	crisis
बिजिरनायनि खानथि एबा नेम	criteria
खैफोद गोनां	critical
बखिनाय	criticism
बिदां	crop
बिदां	crops
गैया खालाम	cross
दाजाबनाय सिन	cross
दावखा	crow
सुबुं थुबुर	crowd
गोबांद्राय	crowded
मुखुट	crown
गोनां	crucial
अनागारि	cruel
संदानग्रा जाहाज	cruise
नारसिननाय	crush
थेफा खालाम	crush
गाब	cry
थाइबें	cucumber
हमक्र'बलाय	cuddle
हारिमु	culture
सालाख	cunning
खुरै	cup
थोरसि - लथा दोनग्रा जायगा	cupboard
दबथाय	curb
सोखानाय	cure
फाहाम	cure
बायजोआव ओंखारला बायनो मोनै	curfew
मोनथिनो उसुखुथु जानाय	curiosity
मोनथिनो लुबैनाय	curious
खिंख्रि खानाइ	curly
हादोर आव सोलिनाय रां एबा मुद्रा	currency
सोलिगासिनो थानाइ	current
दासिमाव	currently
साव हो	curse
फरदा	curtain
गादि	cushion
नेमखानथि	custom
बाइग्रा	customer
नेमखानथि	customs
दाननाय	cut
दान	cut
महरगोसा	cute
समनि फाखन	cycle
साइकेल सालायनाय	cycling
आफा	dad
आफा	daddy
सानफ्रोमबो	daily
गाइखेर कारबार	dairy
बानदो	dam
खहा	damage
खहा खालाम	damage
सावहो	damn
सिदोमा	damp
मुसा	dance
खैफोद	danger
गिलु बालु	dangerous
खोमसि	dark
अनजालि	darling
खुफले	dash
बिथं	data
लोगोहमनाय	date
अकट'	date
फिसाजो	daughter
सान	day
गोथै	dead
थि खालामनाय सम	deadline
बेंगा	deaf
रान	deal
बाहागो	deal
बेसेन गोसा	dear
मानिनां गासैबो	Dear All
मानिजाथाव बायग्रा	Dear Customer
बिफाफोर	Dear Parents
मानिनां गुरु	Dear Sir
आंगोनि फरायसाफोर	Dear students
आंगो हानजा	Dear Team
थैबाय	death
बाथ्रा दानथेलायनाय	debate
हरनाय	debit
दाखोर - दाला	debris
दाहार	debt
जि बोसोर	decade
सेवनाय	decay
थैनाय	deceased
थ'गाय	deceive
इंराजि बोसोरनि जिनैथि दान	december
थि	decent
गोसो थि खालाम	decide
थिरां खालाम	decided
थिरांथा	decision
देलाय हो	deck
नेउसि	decline
बाङाय खालाम	decrease
बावसोमनाय	dedicated
बावसोम	dedication
हाबा	deed
गोथौ	deep
मै	deer
दाय	default
जेननाय	defeat
फेजेन	defeat
बासाय	defend
रोखा ओंथि खालाम	define
रोखायै	definitely
बेखेवथि	definition
थाखो	degree
गोबाव खालामनाय	delay
गोबाव खालाम	delay
गोबाव जानाय	delayed
दानगार	delete
गोथौयै सान	deliberate
गुरै	delicate
गोथाव	delicious
गोजोन हो	delight
गोजोननाय	delighted
बिलाय	deliver
दैथायहर	delivered
रान	delivery
दाबि	demand
दाबि खालाम	demand
दाबिनाय	demanding
सुबुंखानथि	democracy
असुर	demon
रोखायै दिनथि	demonstrate
मानियै	denied
बेसे गोरा	density
हाथाइनि दाक्टर	dentist
मानिना लायै	deny
बिफान	department
नागारलांनाय	departure
सोनार	depend
फेहेर	deploy
दोनथुम	deposit
जमा खालाम	deposit
गोसो बायहोनाय	depressed
सिनथा हवा	depression
गोथौ	depth
खेंफोर	describe
बेखेवथि	description
बालाहामा	desert
खामानिजों आरजि	deserve
सावगारि	design
महर हो	design
बिमुं	designation
लुबै	desire
हासथायनाय	desire
आरांगा	desk
हाथास जा	despair
आसा गैयै	desperate
नेहात साननाय	despite
ओंखाम जाखांनानै जाग्रा फिथाइ सामथाइ	dessert
थांखि	destination
खाफाल	destiny
फोजोबस्रां	destroy
सिलिंखार	destruction
गुदिखिथा बुंफ्रोदनाय	detail
गुवारै फोरमाय	details
दिहुन	detect
थि खालामनाय	determination
थिरांथा खालामनाय	determine
थि खालाम	determined
फोजोबस्रां	devastated
दिहुन	develop
जौगाथाय	developed
दावगानाय	development
आदब	device
सैतान	devil
बावसोमनाय	devoted
मालदिबसनि राव	Dhivehi
थाब थाब हासुनो ओंखारनाय बेराम	diabetes
खिनाय बेराम	diarrhea
सानरेब	diary
सोदोब बिहुं	dictionary
मावदों	did
थै	die
थैबाय	died
आहार	diet
फारागथि	difference
गुबुन	different
खस्त'	difficult
जाव	dig
सनमान	dignity
मावथि	diligent
मोनानि जानाय	dinner
थबल'	dip
गोथों	direct
दैदेननाय	direction
बिथोन होग्रा	director
मैला	dirt
मैला	dirty
मावनो हायै	disable
मावनो हायै	disabled
गोमोरलां	disappear
निरासा जानाय	disappointed
खैफोद	disaster
दानगार	discard
बिबान एरख्लाय	discharge
आब्रुथि	discipline
रेहाय बेसेन	discount
दिहुन	discover
बासिनाय	discrimination
सावराय	discuss
सावरायनाय	discussion
बेराम	disease
रग	diseases
महर सोलाय	disguise
बानाय	disgusting
थोरसि	dish
थोरसि	dishes
होखारनाय	dismiss
दैथाय	dispatch
दिनथिफुं	display
साजायनाय	disposal
नांलाय	dispute
जानथाय	distance
थि	distinct
फाराग खालाम	distinguish
अलखद	distress
राननाय	distribution
जिल्ला	district
सुखुवै खालाम	disturb
थगाय	ditch
दैयाव थब्ल'	dive
बायदि रोखोमनि	diverse
बायदि रोखोम	diversity
रान	divide
इसोरारि	divine
फाथैलाइ बिसि	divorce
फाथैलाइ बिसिनाय	divorce
खर'गिदिंनाय मोननाय	dizzy
माव	do
नोंथां हा	do you
नों आंखौ मोजां मोनो ना	do you love me
बेराम फाहामगिरि	doctor
दलिल	document
मावओ	does
खालामा	doesn't
सैऐमा	dog
जामु आरो कासमिरनि राव	Dogri
खामानि	doing
फुथुला	doll
हादोर	domain
न'नि	domestic
गाहाय	dominant
दाखालाम	don't
जिंगा दाखालाम	Don't worry
दान हो	donate
फुरायै फोजोबनाय	done
गाद'	donkey
फेग्रा मुवा	dope
नैगुन	double
नैगुन खालाम	double
सन्देह	doubt
फोथायनो गोब्राब मोन	doubt
दै गलायनानै नानाय आटा गुनदैनि लट्रा	dough
गाहायाव	down
इंटारनेद निफ्राय गावनि जानबुंआव लाखिनाय	download
लिरना एबा बोना नायग्रा	draft
खसरा	draft
सस्रायना लां	drag
बोहैखार लां	drain
नायजाब	drama
सावगारि बो	draw
दिहुनग्रा	drawer
सावगारि	drawing
समखि	dread
सिमां नु	dream
सिमां	dream
गानग्रा - जोमग्रा	dress
फलं	drill
लोंनाय	drink
लों	drink
सलाय	drive
थारथिं	drop
थोबफा थोबफा गोगलैनाय	drop
गारबाय	dropped
गोरान	drought
निसा नांनाय	drunk
गोरान	dry
हांसो	duck
साहाब बायदि दिनथिग्रा मानसि	dude
होनो गोनां	due
मानो ना	due to
बुथुवा	dull
बबा	dumb
गारहर	dump
दिदोमथि	duration
समाल	during
हाद्रि	dust
हाबा	duty
था	dwell
थैलांनाय	dying
मोनफ्रोम	each
गावजों गाव	each other
जोबेद गोसो गोनां	eager
फेसा	eagle
खोमा	ear
सिगांआव	earlier
समनि सिगां	early
खामाय	earn
खोमा	ears
बुहुम	earth
बांग्रि	earthquake
आराम	ease
गोरलैयै	easily
सानजा	east
गोरलै	easy
जा	eat
जानाय	eating
गथि गथि बाहायग्रा	economic
राखांनथि	economy
रूगुं	edge
सुजु	edit
सोलोंथाइ	education
जाउन	effect
जाउनगोनां	effective
गोरों	efficiency
आखा फाखा	efficient
नाजानाय	effort
दावदै	egg
दावदै बिफां	eggplant
अहं	ego
दाइन	eight
जि दाइन अनजिमा	eighteen
दाइन जि	eighty
मोनफ्रोमबो	either
मोननैनि गेजेराव मोनसे	either
गुवारै बेखेव	elaborate
खिलाखुनथि	elbow
देरसिन	elder
गेदेरसिन	elderly
समायना	elegant
गुदिमुवा	element
मैदेर	elephant
जि से अनजिमा	eleven
जाथाव	eligible
नागार	eliminate
नङाब्ला	else
लाजिनांनाय	embarrassed
लाजिथावना	embarrassing
ब'जब	embrace
नुजा	emerge
हरखाब नुजानाय	emergency
आबेग गोनां	emotional
गुबुननि दुखुखौ मोनदां नो‌ हानाय	empathy
गोबारै बुंनाय	emphasis
बाथ्रानि सायाव जर होनाय	emphasize
खामानि मावग्रा	employee
साख्रि आवला	employees
थिसनग्रा	employer
थिसनथाय	employment
लाथिख'	empty
गोहोनां खालाम	enable
मोगामोगि जा	encounter
थुलुंगा हो	encourage
जोबथा बाहागो	end
गोमोरलांनो नागिरनाय	endangered
नाजा	endeavor
सहायनाय	endurance
सहाय	endure
सुथुर	enemy
गोहो	energy
थिसन	engage
खामानियाव नांथाबना थानाय	engaged
हाबानि खोथा जाखानाय	engagement
जनथ्र'	engine
इनजिन बानायग्रा	engineer
इंराजि	English
बांहो	enhance
रंजा	enjoy
जोबोद गेदेर	enormous
थोबाइ	enough
थोजासे	enough
रोखा खालामना हो	ensure
हाब	enter
रंजानाय	entertainment
थुलुंगा	enthusiasm
गोसो गुदुं	enthusiastic
गासै	entire
मोनथाय हो	entitled
सिनायथि	entity
दरखं	entrance
फालांगियारि सुबुं	entrepreneur
लेफाफा	envelope
बेंखननाय	environment
हिंसा खालाम	envy
सल'नथायमा	epic
महामारि	epidemic
समान	equal
माल माथा	equipment
नाज्य बिसार	equity
एखे	equivalent
खोमोरग्रा	eraser
गोरोनथि	error
रैखा	escape
