ani	a
zulzui	based
inhnuai	basement
bulthut	basic
lenhmui	basil
sawn	bastard
pawlthen	batch
inbual	bath
battery	battery
indona	battle
aw bawihte	yes baby
chutiang bawkin	such as
lehkhathawn bawm	envelope
thildahna bawm	suitcase
thawmhnaw bawm	wardrobe
vaukam	bay
ni	be
khanchhuk	beam
be	beans
tuar	bear
nei	bearing
sakawlh	beast
vua	beat
mawi	beautiful
mawina	beauty
avang	because
ni	become
khum	bed
khuai	bee
bawngsa	beef
ni	been
hmaah	before
tan	began
bultan	begin
tirlam	beginning
aiawh	behalf
nungchang	behavior
nungchang	behaviour
hnungah	behind
ni	being
ka beisei	I hope so
zawm belh	attach
rinna	belief
ring	believe
dul	belly
ta	belong
duhlai	beloved
hnuai	below
kawnghren	belt
thutthleng	bench
tikul	bend
hnuaiah	beneath
hlawkpuina	benefits
tha ber	best
khawpui ber	capital
hmasa ber	first
hnuhnung ber	last
hnuhnung ber	latest
tlem ber	least
deuh ber	mostly
hmasa ber	primary
pui ber	prime
tawp ber	ultimate
tu ber	whose
chhe ber	worst
bul	beside
chubakah	besides
karah	between
piahah	beyond
ram bial khat	district
ke bial	wheel
thirsakawr	bicycle
chhang	bid
lian	big
zuah bik	dedicated
thirsakawr	bike
hual bik	exclusive
mithiam bik	expert
tha bik	extraordinary
thiltum bik	mission
tan bik nei	bias
danglam bik	queer
danglam bik	special
a bik takin	particularly
tum bik	target
thiltha bik	vintage
kaihkawp	bind
sava	bird
piancham	birthday
te	bit
hun bi takah	regularly
seh	bite
kha	bitter
dum	black
chem	blade
puh	blame
awl	blank
puankawp	blanket
puak	blast
tivar	bleach
chawhpawlh	blend
malsawm	bless
malsawm	blessed
mitdel	blind
dang	block
thisen	blood
parchhuak	bloom
ham	blow
pawl	blue
bil	blunt
chuang	board
lawng	boat
phum bo	disposal
taksa	body
chhum	boil
tumruh	bold
inzawmna	bond
ruh	bone
lehkhabu	book
tihmasawn	boost
tizualtu	booster
sawisel bo	perfect
kal bo rawh	go away
ramri	border
verh	bore
ning	bored
ninawm	boring
piang	born
hawh	borrow
hotu	boss
la bo	take away
pahnihin	both
tibuai	bother
tuium	bottle
mawng	bottom
lei	bought
sawt	bounce
pan	bound
ramri	boundaries
kun	bow
thleng	bowl
bawm	box
bialpa	boyfriend
ngun	bracelet
thluak	brain
tawpeng	branch
chhinchhiah	brand
huaisen	brave
bawhchhia	breach
chhangthawp	bread
keh	break
tukthuan	breakfast
hnute	breast
thaw	breath
thaw	breathe
vulh	breed
leirawhchan	brick
mo	bride
lei	bridge
tawite	brief
eng	bright
vengva	brilliant
keng	bring
unaupa	bro
zau	broad
thehdarh	broadcast
keh	broke
keh	broken
hmunphiah	broom
unaupa	brother
keng	brought
uk	brown
hru	brush
i buai em	are you busy
bucket	bucket
thian	buddy
rannung	bug
chhangphut buh	wheat
sa	build
in	building
sa	built
chibai buk	greet
chibai bukna	greeting
chibai bukna	greetings
thil bul chhuina	philosophy
thil bul	element
hlawm	bulk
bawngpa	bull
tiduhdah	bully
insu	bump
khawm	bunch
telkhawm	bundle
sava bu	nest
zin bungrua	luggage
ram bung	territory
phurrit	burden
phum	buried
kang	burn
atchilh burna	obsession
atchilh bur nei mi	freak
puak	burst
phum	bury
bus	bus
hnimbuk	bush
sumdawnna	business
awm	bust
buai	busy
mahse	but
butter	butter
phengphehlep	butterfly
kawrkilh	button
lei	buy
tu	by
mangtha	bye
zikhlum	cabbage
bawm	cage
chhang	cake
bawngno	calf
ko	call
ko	called
reh	calm
lokal	came
beihrual	campaign
thei	can
Titawp	Cancel
ngawt	cancer
thei	capable
thupui	caption
la	capture
lirthei	car
hnathawh	career
fimkhur	careful
pawlawh	careless
dawmthiam	caring
chhuatphah	carpet
carrot	carrot
phur	carry
tihlawhtling	carry out
thubuai	case
pawisafai	cash
tilang	cast
kulh	castle
zawhte	cat
man	catch
bithliahna	category
bawng	cattle
man	caught
chhan	cause
fimkhurna	caution
fimkhur	cautious
puk	cave
tawp	cease
inchung	ceiling
lawm	celebrate
pindan	cell
lai	center
za	century
thlairah	cereal
hunserh	ceremony
chiang	certain
inzawm	chain
thutthleng	chair
chaw chakna	appetite
chona	challenge
remchang	chance
a chang changin	occasionally
thlak	change
buaina	chaos
nunzia	character
ziarang	characteristics
puh	charge
thilthlawnpek	charity
duhawm	charming
thil charna	glue
um	chase
inbia	chat
siam chawp	make up
tlawm	cheap
bum	cheat
inbum	cheating
dap	check
biang	cheek
fuih	cheer
hlim	cheerful
lawmpuina	cheers
cheese	cheese
hmangaih che	love you
ngai che	miss you
chemistry	chemistry
mi cheng	resident
engemaw chen	quite
hlut	cherish
chess	chess
awm	chest
thial	chew
thlah chhawng	generation
sawi chhawng	quotation
a chhe love	not bad
ring chhin	assume
thil chhinchhiah	note
tum chhin	risk
ring chhin	supposed
thanglian chho	evolution
tleirawl chhuah	puberty
zawng chhuak	figure out
zawng chhuak	find out
pawnlama chhuak	outgoing
chham chhuak	spell
thlawk chhuak	take off
nih chhung chu	as long as
huap chhung	domain
nihna chiah	actual
Ni chiah e	absolutely
ni chiah e	of course
chiah chiah	exact
dik chiahna	accuracy
chiah chiah	precisely
hma chiah	previous
chawhnulam chibai	good afternoon
tlailam chibai	good evening
piancham Chibai	happy birthday
piancham chibai le	happy birthday to you
kumthar chibai le	happy new year
Krismas chibai	merry christmas
in chi	beverage
ar	chicken
hotu	chief
zu chi khat	beer
sangha chi khat	salmon
pawl chi khat	species
naupang	child
naupanlai	childhood
naupang	children
meikhuchhuahna	chimneys
khabe	chin
thlai chi	seed
chocolate	chocolate
duhthlanna	choice
thlang	choose
satbung	chop
hna	chores
ani chuan a nei	she has
chubakah chuan	in addition
loh chuan	unless
hma chuan	until
pawh chu	as well
chum	chubby
Ani chu	he is
chumi chu	it is
vawiin chu i ti tha maw	how are you doing today
chu chu	it's
biakin	church
ani chu	she is
chu chu	that is
anni chu	they are
tu chu	who is
thakthing	cinnamon
bial	circle
thilthleng	circumstances
rammi	citizen
khawpui	city
hauh	claim
hrilhfiah	clarify
pawl	class
chirhdiak	clay
fai	clean
fiah	clear
ziaktu	clerk
fing	clever
dawrtu	client
kham	cliff
lawn	climb
bet	clingy
sona	clock
khar	close
puan	cloth
thawmhnaw	clothes
chhum	cloud
chhumzing	cloudy
nuihzasiamtu	clown
sulhnu	clue
phawsawlh	clumsy
awmkhawm	cluster
zirtir	coach
lungalhthei	coal
kam	coast
kawrchung	coat
kawfi	coffee
hriatthiamna	cognitive
vawt	cold
chim	collapse
kawrnghawng	collar
thawhpui	colleague
thawhpuite	colleagues
khawlkhawm	collect
dahkhawm	collection
rawng	color
rawng	colour
ban	column
khuih	comb
inkawpchawi	combination
tizawm	combine
lokal	come
thlamuan	comfort
nuamsa	comfortable
lokal	coming
thupek	command
sawizui	comment
lachhawng	commission
inpe	commit
inpekna	commitment
intiamkam	committed
zawrhsum	commodity
uar	common
hriattir	communicate
inbiaktawnna	communication
khawtlang	community
thlakthleng	commute
kawppui	companion
company	company
khaikhin	compare
khaikhinna	comparison
lainatna	compassion
inmil	compatible
inel	compete
tlak	competent
inelna	competition
inelna	competitive
sawisel	complain
sawiselna	complaint
tipuitlingtu	complement
zo	complete
zavaiin	completely
chipchiar	complex
zawm	compliance
buaithlak	complicated
lawmpuina	compliment
zawm	comply
phuahkhawm	composition
hungchhung	compound
famkimna	comprehension
huapzo	comprehensive
inremna	compromise
computer	computer
insawrbing	concentrate
chanpual	concern
ngaihven	concerned
inthurualna	concert
tawpna	conclusion
sakhat	concrete
dinhmun	condition
dinhmun	conditions
kalphung	conduct
intawhkhawm	conference
inpuang	confess
inrintawkna	confidence
inringtawk	confident
nemnghet	confirm
buaina	conflict
lawmpuina	congratulation
lawmpuina	congratulations
zawm	connect
hneh	conquer
harhfim	conscious
remtihna	consent
nghawng	consequences
humhalhna	conservation
ngaihtuah	consider
zenghet	consistency
nghet	consistent
inzawmzat	constantly
buatsaihna	construction
hmang	consume
hmanralna	consumption
inbepawp	contact
huap	contain
tel	contains
inrualtlang	contemporary
inhmuhsitna	contempt
lungawi	content
intihsiak	contest
tlangpui	context
khawmualpui	continent
chhunzawm	continue
inremna	contract
thawh	contribute
thawhkhawm	contribution
thunun	control
remchanna	convenience
remchang	convenient
inbiakna	conversation
inthlakthleng	convert
hriattir	convey
hmin	convince
hneh	convinced
chhum	cook
chhum	cooking
dai	cool
inlungrualna	cooperation
hneh	cope
dar	copper
laimu	core
vaimim	corn
kil	corner
dik	correct
man	cost
incheina	costume
thlam	cottage
la	cotton
khuh	cough
thei	could
chhiar	count
beilet	counter
ram	country
thingtlang	countryside
kawpchawi	couple
huaisenna	courage
kawng	course
rorelna	court
hawihhawmna	courtesy
unau	cousin
khuh	cover
bawng	cow
dawihzep	coward
nuam	cozy
chakai	crab
khi	crack
themthiam	craft
kehsawm	crash
chakna	craving
bawkvak	crawl
atchilh	crazy
siam	create
themthiam	creative
leiba	credit
bawkvak	creep
rapawm	creepy
pawl	crew
suahsualna	crime
khur	cringe
harsatna	crisis
khaikhinna	criteria
khirhkhan	critical
sawiselna	criticism
thlai	crop
thlai	crops
kawkalh	cross
choak	crow
mipui	crowd
pungkhawm	crowded
lallukhum	crown
pawimawh	crucial
nunrawng	cruel
veivak	cruise
tikehsawm	crush
tap	cry
fanghma	cucumber
inkuah	cuddle
hnamzia	culture
phakar	cunning
no	cup
chhuar	cupboard
khuahkhirh	curb
tidam	cure
karfiu	curfew
dilchhut	curiosity
dilchhut	curious
kir	curly
pawisa	currency
tun	current
anchhia	curse
puanzar	curtain
cushion	cushion
chindan	custom
dawrtu	customer
zai	cut
duhawm	cute
thirsakawr	cycle
pa	dad
pa	daddy
thil dahkhawm	inventory
bungraw dahkhawmna	warehouse
motor dahna	garage
thilhlui dahthatna	museum
nitin	daily
tuikhuah	dam
tichhia	damage
i dam em	how are you
anchhedawng	damn
hnawng	damp
i dam tha em	how are you doing
lo dam vat rawh	get well soon
lan dan	apparent
lam	dance
hnam dan	customs
Tawng danga tawng chiam a hriatthiam theih ni chuang lo sawina	My hovercraft is full of eels
hlauhawm	danger
hlauhawm	dangerous
inchei danglam	disguise
dang dang	various
lamrik dan	pronunciation
lehlin dan	version
hriat dan	vibes
thim	dark
duhtak	darling
theh	dash
tarikh	date
fanu	daughter
ti dawn	gonna
thingpui dawr	restaurant
Min dawrtu duhtak	Dear Customer
ni	day
thi	dead
huntawp	deadline
bengngawng	deaf
inremna	deal
duhtak	dear
thihna	death
inhnialna	debate
leiba	debit
kehsawm	debris
leiba	debt
tawih	decay
thi	deceased
bum	deceive
december	december
zahawm	decent
duhthlang	decide
thutlukna	decision
khuhna	deck
tlahniam	decline
titlem	decrease
inhlanna	dedication
thiltih	deed
thuk	deep
sakhi	deer
hlawhchhamna	default
hneh	defeat
hrilhfiah	define
hrilhfiahna	definition
degree	degree
rilru dek	impressive
titlai	delay
titlai	delayed
nem	delicate
tui	delicious
hlim	delight
lawm	delighted
sem	deliver
sem	delivery
beisei	demand
ramhuai	demon
entir	demonstrate
hnawl	deny
pawl	department
chhuak	departure
innghat	depend
thawnchhuak	deploy
dahlut	deposit
lungngai	depressed
lungngaihna	depression
thukzawng	depth
hrilhfiah	describe
hrilhfiahna	description
thlaler	desert
phu	deserve
nihna	designation
chak	desire
dawhkan	desk
mangang	despair
nimahse	despite
dessert	dessert
tumram	destination
hmahun	destiny
tichhia	destroy
tihchhiatna	destruction
chipchiar	detail
kimchang	details
tlan det det	jogging
manchhuak	detect
tumruhna	determination
tumnghet	determine
tumruh	determined
tichhia	devastated
tihmasawn	develop
changkang	developed
hmasawnna	development
hmanrua	device
ramhuai	devil
thahnemngaihna	devoted
zunthlum	diabetes
kawthalo	diarrhea
boral	die
thi	died
danglamna	difference
danglam	different
harsa	difficult
lai	dig
zahawmna	dignity
chhanna dik	solution
ngaihdam dil	apologize
taima	diligent
tun dinhmunah	currently
zanriah	dinner
chiah	dip
her dip	pound
tlang	direct
kaihruaitu	director
bal	dirt
bal	dirty
ramtuileilo	disable
ramtuileilo	disabled
bibo	disappear
lungawilo	disappointed
chhiatrupna	disaster
hnawl	discard
chhuahtir	discharge
khuakhirhna	discipline
titlawm	discount
hmuchhuak	discover
tihbikna	discrimination
sawiho	discuss
sawiho	discussion
natna	disease
hri	diseases
tenawm	disgusting
chawhmeh	dish
bungbel	dishes
hnawl	dismiss
thawnchhuak	dispatch
tarchhuak	display
inremlohna	dispute
hlatzawng	distance
danglam	distinct
thliarhrang	distinguish
manganna	distress
semzai	distribution
tibuai	disturb
thlauhthla	ditch
bawh	dive
thenhrang	divide
thianghlim	divine
inthen	divorce
luhai	dizzy
ti	do
daktawr	doctor
ti	does
ui	dog
nautelem	doll
inlam	domestic
awp	dominant
pe	donate
sabengtung	donkey
ruihhlo	dope
thiang	double
ringhlel	doubt
hnuailam	down
duangchhin	draft
hnuk	drag
paihchhuak	drain
lemcham	drama
ziak	draw
pawhdawh	drawer
thilziak	drawing
hlauhna	dread
mumang	dream
thawmhnaw	dress
verh	drill
in	drink
khalh	drive
far	drop
thlauh	dropped
khawkheng	drought
zurui	drunk
ro	dry
varak	duck
thianpa	dude
hun	due
ka duh che	I like you
ka duh che	I want you
ka duh	I like
ka duh	I love
ka duh	I want
awle duhlai	ok honey
chibai duhtak	hello dear
Ka duhtak	My dear
awle duhtak	okay honey
awle duhtak	ok dear
Zirlai duhtakte u	Dear students
Thawhpui duhtakte u	Dear Team
awle duhtak	yes dear
aw duhtak	yes honey
mahni duh vanga ti	spontaneous
hnim	dull
tawngtheilo	dumb
paih	dump
laiin	during
vaivut	dust
tihtur	duty
cheng	dwell
vek	each
nghakhlel	eager
mupui	eagle
beng	ear
hma	early
hlawh	earn
beng	ears
khawvel	earth
lirnghing	earthquake
awlsam	ease
khawchhak	east
awlsam	easy
ei	eat
ei	eating
kotlang	edge
siamtha	edit
zirna	education
nghawng	effect
hlawkthlak	effective
thawkrim	efficient
tumna	effort
artui	egg
bawkbawn	eggplant
hrethiam e	got it
pariat	eight
sawmpariat	eighteen
sawmriat	eighty
tukthuan ei rawh	have breakfast
i ei tawh em	have you eaten
pat ek	mold
sawizau	elaborate
kiu	elbow
upa	elder
upa	elderly
nalh	elegant
sai	elephant
sawmpakhat	eleven
tiboral	eliminate
bakah	else
tu emaw	somebody
tu emaw	someone
zak	embarrassed
zahthlak	embarrassing
kuah	embrace
langchhuak	emerge
rikrum	emergency
hriatthiamna	empathy
uar	emphasize
hnathawktu	employee
hnathawktu	employees
ruaitu	employer
hna	employment
ruak	empty
intawnna	encounter
fuih	encourage
tawp	end
tumna	endeavor
tuarchhelna	endurance
tuar	endure
hmelma	enemy
inhual	engage
inkungkaih	engaged
inhualna	engagement
chibai enge i an	hi how are you
nang enge i an	how about you
tunah enge i tih	what are you doing now
khawl	engine
engineer	engineer
Sap	English
vawiin engnge i an	how are you today
hmathlir eng	optimistic
vawiin engtin nge hun i hman le	how was your day
nang engtin nge	what about you
kum engzat nge i nih	how old are you
tizual	enhance
lian	enormous
tawk	enough
enzui	ensure
lut	enter
intihhlimna	entertainment
phurna	enthusiasm
phur	enthusiastic
zavaiin	entire
chanvo	entitled
luhka	entrance
sumdawngtu	entrepreneur
thik	envy
in ep	contrast
vanglai	epic
intluktlang	equal
hmanrua	equipment
intluktlang	equity
tlukpui	equivalent
nawhreh	eraser
talchhuak	escape
thuziak	essay
awmzia	essence
tul	essential
din	establish
din	established
chhut	estimate
hisap	estimated
adangte	etc
chatuan	eternal
zirchiang	evaluate
zirchianna	evaluation
intluk	even
tlailam	evening
hunbik	event
reng	ever
engpawh	every
tupawh	everybody
engpawh	everything
finfiahna	evidence
sual	evil
chang	evolve
hlui	ex
chiah	exactly
exam	exam
zirchiang	examine
entirna	example
khum	exceed
hmaih	except
hmaih	exception
chuangliam	excess
chuangbang	excessive
inthleng	exchange
hlim	excited
thathona	excitement
hlim	exciting
chhuanlam	excuse
tihlawhtling	execute
tihlawhtlinna	execution
thuneitu	executive
insawizawi	exercise
chau	exhaust
entir	exhibit
inphochhuahna	exhibition
awm	exist
awmna	existence
chhuak	exit
tilian	expand
beisei	expect
rindan	expected
hmaralna	expenses
manto	expensive
tawnhriat	experience
enchhinna	experiment
hrilhfiah	explain
hrilhfiahna	explanation
chhawrbawk	exploit
zawngchhuak	explore
thawnchhuak	export
tilang	expose
tilangchhuak	exposed
inphochhuak	exposure
tilang	express
tilangchhuak	expression
tizau	extend
belhzau	extended
tisei	extension
chin	extent
pawnlam	external
rem	extinct
chuangliam	extra
lachhuak	extract
mit	eye
mit	eyes
puanthan	fabric
ropui	fabulous
hmai	face
tiawlsam	facilitate
remchanna	facilities
remchanna	facility
thudik	fact
thlentu	factor
thudik	facts
chuai	fade
hlawhchham	fail
hlawhchham	failed
hlawhchhamna	failure
thidang	faint
dik	fair
diktakin	fairly
lasi	fairy
rinna	faith
rinawm	faithful
lem	fake
tla	fall
diklo	false
hmingthanna	fame
hrebel	familiar
chhungkua	family
tam	famine
lar	famous
fan	fan
duhzawng	fancy
pawt fan	resilient
thatak	fantastic
lal fanu	princess
hla	far
inthlahna	farewell
lo	farm
loneitu	farmer
incheina	fashion
chak	fast
thau	fat
khuarel	fate
pa	father
chau	fatigue
diklohna	fault
duhbik	favorite
duhsak	favour
tha fawr	outstanding
hlau	fear
ruai	feast
hmul	feather
nihphung	feature
nihphung	features
February	february
ning	fed up
man	fee
chawm	feed
chhanna	feedback
hria	feel
hriatna	feeling
ke	feet
tla	fell
thawhpui	fellow
hmeichhia	female
pal	fence
kutpui	festival
man	fetch
khawsik	fever
tlem	few
phuahchawp	fiction
mual	field
hlauhawm	fierce
sawmpanga	fifteen
sawmnga	fifty
insual	fight
insual	fighting
milem	figure
thun	fill
film	film
tenawm	filthy
zawnghmu	find
tha	fine
kutzungtang	finger
zo	finish
mei	fire
nghet	firm
sangha	fish
mil	fit
panga	five
siam	fix
nghet	fixed
puanzar	flag
phezuai	flash
phek	flat
diklohna	flaw
tlanchhia	flee
tisa	flesh
thlawk	flew
thlep	flex
thlawk	flight
vai	flip
lerh	flirt
lerh	flirting
lang	float
tuilian	flood
chhuat	floor
chhangphut	flour
luang	flow
pangpar	flower
hritlang	flu
hnehsawh	fluent
tuiril	fluid
thlawk	fly
tiauchhum	fog
thlep	fold
chhungte	folks
zui	follow
zui	following
chhunzawmna	follow up
chaw	food
mawl	fool
a	foolish
ke	foot
football	football
tan	for
tilui	force
hmuhlawk	forecast
chal	forehead
ramdang	foreign
ramhnuai	forest
chatuan	forever
theihnghilh	forget
ngaidam	forgive
theihnghilh	forgot
thirkut	fork
siam	form
hmasa	former
rosum	fortune
sawmli	forty
hmalam	forward
chawm	foster
insual	fought
hmu	found
bulthut	foundation
pali	four
sawmpali	fourteen
sihal	fox
derthawng	fragile
ruangam	frame
ruhrel	framework
zalen	free
zalenna	freedom
khang	freeze
zinzia	frequency
fo	frequent
fo	frequently
tharlam	fresh
Zirtawpni	friday
fridge	fridge
thian	friend
nelawm	friendly
thiante	friends
inthianthatna	friendship
hlau	frightened
hlauhawm	frightening
utawk	frog
atangin	from
hma	front
khang	frozen
thei	fruit
thintawt	frustrated
meichaw	fuel
khat	full
hlimawm	fun
thiltih	function
bulpui	fundamental
invuina	funeral
nuihzatthlak	funny
sahmul	fur
thinalh	furious
bungbel	furniture
hlawk	gain
infiamna	game
bawlhhlawh	garbage
huan	garden
purunvar	garlic
kawngkharpui	gate
kalkhawm	gather
awmkhawm	gathering
endik	gauge
pe	gave
thawmhnaw	gear
tlanglawn	general
tlangpuiin	generally
pechhuak	generate
thilphal	generous
mifing	genius
lampang	genre
dimdawi	gentle
zaizir	gesture
nei	get
dawng	getting
thlahrang	ghost
milian	giant
thilpek	gift
sawhthing	ginger
bialnu	girlfriend
pe	give
pek	given
bansan	give up
lawm	glad
thlir	glance
darthlalang	glass
tarmit	glasses
nguai	gloomy
kutkawr	gloves
engchhuak	glow
kal	go
tum	goal
tum	goals
kel	goat
pathian	god
kal	goes
kal	going
rangkachak	gold
tha	good
mangtha	good bye
mangtha	goodbye
hmeltha	good looking
muttui	goodnight
bungrua	goods
google	Google
vatawk	goose
rel	gossip
nei	got
sawrkar	government
tham	grab
pawl	grade
zirchhuak	graduate
buhfang	grain
phalsak	grant
phalsak	granted
grape	grapes
manbet	grasp
phul	grass
lawm	grateful
lawmna	gratitude
thlan	grave
paw	gray
ropui	great
duhamna	greed
duham	greedy
hring	green
uk	grey
hruizam	grid
lungngai	grief
rawt	grind
hmer	grip
moneitu	groom
tenawm	gross
chhuat	ground
pawl	group
thang	grow
thang	growth
titau	grumpy
tiam	guarantee
veng	guard
ring	guess
mikhual	guest
kaihhruaina	guidance
kaihruai	guide
mipa	guy
mipate	guys
tihdanphung	habit
chenna	habitat
nei	had
rial	hail
sam	hair
chanve	half
kut	hand
chelh	handle
hmeltha	handsome
khai	hang
lengchhuak	hang out
thleng	happen
thilthleng	happened
hlimna	happiness
hlim	happy
hriatthiam har	ambiguous
in ha rawh le	get dressed
sak	hard
khat	hardly
rilru harhna	consciousness
hliam	harm
hrisello	harmful
inlungrualna	harmony
nasa	harsh
hriat har	subtle
sengkhawm	harvest
nei	has
hua	hate
nei	have
nei	having
khaw hawi	sightseeing
hlauhthawnawm	hazard
romei	haze
ani	he
lu	head
tidam	heal
tidam	healing
hrisel	health
hrisel	healthy
ngaithla	hear
hria	heard
thinlung	heart
sa	heat
vanram	heaven
rit	heavy
hahthlak	hectic
sanzawng	height
rokhawmtu	heir
rukruk	heist
chelh	held
hremhmun	hell
Chibai	Hello
lukhum	helmet
tanpui	help
tangkai	helpful
chhangthawp hem ro	toast
chuvangin	hence
ani	her
pawl	herd
hetah	here
rochun	heritage
hreh	hesitate
Hey	Hey
Chibai	Hi
Hetah hian ziak rawh	Write here
thuhruk	hidden
biru	hide
hei hi engnge	what is this
indawtdan	hierarchy
sang	high
tlangpui	highlight
Kei hi	I am
heta hi ka awm	I'm here
tisang	hike
lawn	hiking
nuihzatthlak	hilarious
tlang	hill
ani	him
lo him dam rawh u	stay safe
hrilhthawi	hint
bawp	hip
mawngbawr	hips
chhawr	hire
hawh	hiring
ani	his
vua	hit
hei hi	this is
hei hi tunge	who is this
Eng hi	what is
bungrua hlan	delivered
dik hlel	invalid
tui hleuh	swimming
vawiin hlim takin lo hmang ang che	many many happy returns of the day
thil hlu	aesthetic
thil hlutna pung chho	inflation
a hma ah	in front of
Ka hmangaih che	I love you
min hmangaih em	do you love me
Ka hmangaih lutuk che	I love you so much
ka hmangaih	my love
sum hmanna	budget
ni hman nuam le	good day
ni hman nuam le	have a good day
ni hman nuam le	have a nice day
eisiamna hmanrua	recipe
hming hmasa	first name
hun hmasa lam	earlier
chhang hmeh	dough
dawithiam hmeichhia	witch
nih hmel	likely
nih hmel	seems
i hmeltha hle mai	you are so beautiful
ka hming chu	my name is
thil hming	nouns
thil hming zawmtu	preposition
hmm	Hmm
ka hmu duh che	I want to see you
min hmuh rawh	show me
ka hmu	I see
khabe hmul	beard
chenna hmun	address
ritchawina hmun	gym
dawr hmunpui	agency
khawl hmunpui	industry
chawlhna hmun	resort
inlam hna	homework
eng hna nge i thawh	what do you do for a living
thil hnang	goo
thiamthil hnathawh	profession
rawng hnawih	painting
a hnuah chuan	afterwards
a hnuah	lately
a hnuah	later
hming hnuhnung	last name
chelh	hold
kua	hole
chawlh	holiday
kawrawng	hollow
in	home
