tenê	a little
ma ti	and you
melek	angel
hêrs	anger
hoke	angle
hêrsin	angry
heywan	animal
savoke	ankle
serrgêre	anniversary
vilaweke	announcement
hêrs kerdene	annoy
hêrsbîyaye	annoyed
tacizker	annoying
serrane	annual
anonîm	anonymous
yewna	another
cewab	answer
cewab dayene	answer
hêvî kerdene	anticipate
qisawete	anxiety
biqisawet	anxious
teba	any
êdî	anymore
kes	anyone
çîyêk	anything
welhasil	anyway
welhasil	anyways
ra ber	apart
qateban	apartment
ozrê xo waştene	apologize
eşkera	apparent
merdim vano qey	apparently
îtîraz kerdene	appeal
muracad kerdene	appeal
asayene	appear
asayîş	appearance
asaye	appeared
made	appetite
saye	apple
muracat	application
muracat kerdene	apply
randevu	appointment
qedrê ci zanayene	appreciate
sipasdarî	appreciation
helwêst	approach
nêzdî bîyene	approach
munasîb	appropriate
tesdîq	approval
tesdîq kerdene	approve
tesdîqbîyaye	approved
kêm-zêde	approximately
nîsane	april
keyfî	arbitrary
mîmar	architect
mîmarîye	architecture
arşîv	archive
ê	are
ti ya	are you
meşgul î	are you busy
ti zewicîyayî ya	are you married
ti zewicîyaya ya yan azeb a	are you married or single
Ti hîna uca yî?	Are you still there?
ti uca der a	are you there
herême	area
munaqeşe kerdene	argue
arguman	argument
weriştene	arise
harme	arm
artêşe	army
fekafek	around
eyar kerdene	arrange
eyarkerdiş	arrangement
resayîş	arrival
resayene	arrive
resaye	arrived
qure	arrogant
tîre	arrow
huner	art
meqale	article
viraşte	artificial
hunermend	artist
sey	as
heta ke	as long as
zî	as well
hem zî	as well as
wele	ash
şermezar	ashamed
persayene	ask
perskerde	asked
hewn de	asleep
het	aspect
Asameskî	Assamese
hêriş kerdene	assault
meclîs	assembly
xobawer	assertive
erjnayene	assess
erjnayîş	assessment
mal û milk	asset
mal û milk	assets
wezîfe dayene	assign
tayîn	assignment
hetkarîye kerdene	assist
hetkar	assistant
hemkar	associate
eleqedar	associated
yew kerdene	association
ferz kerdene	assume
ferzkerdiş	assumption
de	at
tewr tay	at least
werd	ate
atlet	athlete
îlawe kerdene	attach
pirakerde	attached
îlawe	attachment
hêriş kerdene	attack
teşebus kerdene	attempt
teşebus	attempt
beşdar bîyene	attend
beşdarîye	attendance
dîqet	attention
şêle	attitude
celb kerdene	attract
atraksîyon	attraction
cazîbedar	attractive
sifet	attribute
temaşewan û goşdarî	audience
tebaxe	august
eme	aunt
xalike	aunty
otantîk	authentic
nuştox	author
otorîte	authority
payîz	autumn
mewcûd	available
averaj	average
ci ra dûrî vindetene	avoid
hişyar bîyene	awake
xelate	award
hayîdar	aware
hişyarîye	awareness
dûrî	away
harîka	awesome
berbad	awful
bêeleqe	awkward
Aymara	Aymara
pit	baby
xorto azeb	bachelor
peyser	back
peyzemîn	background
xirabin	bad
çente	bag
alef	bait
pewtene	bake
firine	bakery
sodyum karbonat	baking soda
hemsencîye	balance
hemsencîye viraştene	balance
gude	ball
Bambara	Bambara
muze	banana
kome	band
req û teq	bang
reqayene	bang
banka	bank
bar	bar
bi zehmetî	barely
bazar kerdene	bargain
qafik	bark
lawayene	bark
cew	barley
sînor	barrier
bingeh	base
temelî	based
qatê erdî	basement
bingeyên	basic
eslê xo de	basically
rihan	basil
pinc	bastard
pêserîye	batch
awke	bath
awke	bathroom
baterya	battery
ceng	battle
kendawe	bay
bîyene	be
baldar be	be careful
plaj	beach
tîrêje	beam
lobîkî	beans
heş	bear
tebitîyayene	bear
erdîşe	beard
tewir	bearing
cinawir	beast
piro dayene	beat
pirodayîş	beat
rindek	beautiful
rindekîye	beauty
bî	became
çike	because
bîyene	become
cile	bed
odaya rakewtişî	bedroom
hinge	bee
goştê naxirî	beef
bî	been
bîra	beer
verê	before
dest pêkerd	began
dest pêkerdene	begin
destpêk	beginning
bi nameyê	behalf
hedê xo zanayene	behave
roniştiş weriştiş	behavior
hal û hereket	behaviour
pey de	behind
bîyayîş	being
bawerî	belief
bawer kerdene	believe
vêre	belly
aîd bîyene	belong
heskerde	beloved
cêrên	below
qayîş	belt
kursîya derge	bench
fetiloke	bend
bin de	beneath
feyde	benefit
feyde dayene	benefit
faydeyî	benefits
kîşte de	beside
yew zî	besides
tewr rind	best
bixeyr bo	best of luck
zaf selamî	best regards
rindêr	better
mabên de	between
çîyê şimitişî	beverage
ra dot	beyond
Bhojpurî	Bhojpuri
verhukm	bias
verhukmdar	biased
bîsîklete	bicycle
pêşnîyaze	bid
girs	big
bîsîklet	bike
fatura	bill
girê dayene	bind
mîlçike	bird
rojbîyayîş	birthday
vîçek	bit
gaj kerdene	bite
gaj	bite
tal	bitter
sîya	black
fekê kardî	blade
sucdar kerdene	blame
suc	blame
tal	blank
betanîya	blanket
teqayîş	blast
zewq	blast
awa çamaşirî	bleach
sipî kerdene	bleach
pêşanayîş	blend
pîroz kerdene	bless
şukur kerdene	bless
bimbarek	blessed
kor	blind
bextîyarî	bliss
asteng kerdene	block
gonî	blood
akerdene	bloom
puf kerdene	blow
kewe	blue
kon	blunt
heyetê îdareyî	board
keştîye	boat
leşe	body
girênayene	boil
qalind	bold
girê dayene	bond
este	bone
kitab	book
ca abirnayene	book
averberdiş	boost
aver berdene	boost
destek	booster
verbarkerdiş	boot
bot	boot
botî	boots
sînor	border
qule kerdene	bore
bêhêdîr	bored
acizker	boring
bîya	born
deyn kerdene	borrow
patron	boss
her di	both
nerehet kerdene	bother
şuşe	bottle
bin	bottom
hêrînaye	bought
xil dayene	bounce
girêdaye	bound
sînorî	boundaries
kemane	bow
tase	bowl
qutîye	box
lajek	boy
dost	boyfriend
bazin	bracelet
mezg	brain
şax	branch
marka	brand
çêr	brave
şikitene	breach
nan	bread
şikitene	break
mabên	break
arayîye	breakfast
çiçik	breast
nefes girewtene	breath
nefes girewtene	breathe
weyî kerdene	breed
tuxla	brick
veyveke	bride
pird	bridge
kilm	brief
roşt	bright
jîr	brilliant
ardene	bring
bira	bro
hîra	broad
weşan kerdene	broadcast
şikit	broke
îflas	broke
şikite	broken
gezî	broom
bira	brother
vistewre	brother in law
ard	brought
qeweyî	brown
firçe kerdene	brush
beroş	bucket
dosto	buddy
butçe	budget
lulik	bug
awan kerdene	build
awanî	building
ban	building
awanîye	built
govde	bulk
boxe	bull
zorbazîye kerdene	bully
pêro ginayene	bump
deste	bunch
qevde	bundle
barpişt	burden
barpişt kerdene	burden
wedarit	buried
veşnayene	burn
peqayîş	burst
wedardene	bury
otobuse	bus
leme	bush
kar	business
heykel	bust
meşgul	busy
la	but
rûno kele	butter
perperike	butterfly
gocege	button
hêrînayene	buy
bi	by
na esna de	by the way
oxir bo	bye
kelem	cabbage
dolabe	cabinet
hukmat	cabinet
qefes	cage
kek	cake
guk	calf
telefon kerdene	call
vengdayîş	call
mi rê telefon bike	call me
bi nameyê	called
aram	calm
ame	came
kampanya	campaign
eşkayene	can
qutî	can
Betal kerdene	Cancel
kanser	cancer
hêgin	capable
kapasîta	capacity
paytext	capital
manşet	caption
girewtene	capture
erebe	car
karîyer	career
baldar	careful
bi baldarî	carefully
bêxem	careless
zerrîvêşaye	caring
necar	carpenter
xalî	carpet
gizêr	carrot
kiriştene	carry
dewam kerdene	carry on
ardene ca	carry out
rewşe	case
pêşîn	cash
eştene	cast
qesir	castle
rojane	casual
pisînge	cat
tepiştene	catch
kategorî	category
naxir	cattle
tepişt	caught
sebeb bîyene	cause
sebeb	cause
îxtar	caution
baldar	cautious
eşkefte	cave
vindetene	cease
serke	ceiling
pîroz kerdene	celebrate
hucre	cell
merkez	center
seserre	century
heb	cereal
merasîm	ceremony
tayê	certain
eynen	certainly
sertîfîka	certificate
zincîre	chain
kursîye	chair
duşt de vejîyayene	challenge
zehmetîye	challenge
şans	chance
vurîyayene	change
kaos	chaos
karakter	character
taybetî	characteristics
şarj kerdene	charge
sucdar kerdene	charge
xeyrkarî	charity
efsûnên	charming
tablo	chart
plan	chart
fetilnayene	chase
terraqnayene	chat
xpşebere	chat
erjan	cheap
xapitene	cheat
hîle kerdene	cheating
kontrol	check
kontrol kerdene	check
alişke	cheek
şênî	cheer
şên	cheerful
noş	cheers
pênîr	cheese
kîmya	chemistry
ser o hêc bîyene	cherish
kişike	chess
sêne	chest
cutene	chew
kerge	chicken
serek	chief
doman	child
domanîye	childhood
domanî	children
honik	chill
qers … kewtene	chill
qers	chill
lojinî	chimneys
çene	chin
çîkolata	chocolate
tercîh	choice
weçînitene	choose
qesnayene	chop
kar û bar	chores
goştin	chubby
dêr	church
darçîn	cinnamon
dayîre	circle
şert û mercî	circumstances
hemwelatî	citizen
şaristan	city
îdîa kerdene	claim
îdîa	claim
zelal kerdene	clarify
sinife	class
kîle	clay
pak kerdene	clean
zelal kerdene	clear
zelal	clear
nuştox	clerk
rotox	clerk
jîr	clever
muşterî	client
tirr	cliff
îklîm	climate
ro vejîyayene	climb
zeliqok	clingy
saete	clock
girewtene	close
dolabe	closet
kinc	cloth
kincî	clothes
hewr	cloud
hewra	cloudy
palyaço	clown
îma	clue
xam	clumsy
kome	cluster
antrenor	coach
antrenorî kerdene	coach
komir	coal
qerax	coast
çakêt	coat
qewe	coffee
hişkî	cognitive
tesaduf	coincidence
serd	cold
rijîyayene	collapse
pêsîr	collar
hemkar	colleague
hemkarî	colleagues
arê dayene	collect
koleksyon	collection
unîversîte	college
reng	color
fikrê keskê bêrengî hêrsin kewenê ra	colorless green ideas slept furiously
reng	colour
kuncik	column
şane kerdene	comb
pêardiş	combination
pîya kerdene	combine
ameyene	come
bê tîya	come here
hayde	come on
rehet kerdene	comfort
rehet	comfortable
yeno	coming
demo nêzdî de	coming soon
ferman dayene	command
şîrove	comment
bazirganî	commercial
komîsyon	commission
kerdene	commit
wad	commitment
kerde	committed
mal	commodity
vilabîyaye	common
komunîkasyon	communicate
komunîkasyon	communication
komel	community
şîyene kar	commute
heval	companion
şîrkete	company
pêver şanayene	compare
pêveronayîş	comparison
zerrîvêşayîyîye	compassion
zerrîveşayîye	compassionate
ahengdar	compatible
temam	compete
ciraameye	competent
musabeqa	competition
hemberîker	competitive
gerre kerdene	complain
gerre	complaint
temam kerdene	complement
pesn	complement
temam kerdene	complete
temamen	completely
aloz	complex
îtaet	compliance
têmîyankewte	complicated
pesn	compliment
îtaet kerdene	comply
pêardiş	composition
pêrabeste	compound
fehm	comprehension
şumûldar	comprehensive
werê ameyene	compromise
werêameyîş	compromise
mecburî	compulsory
komputure	computer
konsantre bîyene	concentrate
konsept	concept
eleqe	concern
eleqedar bîyene	concern
eleqedar	concerned
endîşenak	concerned
konser	concert
peynîye	conclusion
şênber	concrete
şênber kerdene	concrete
beton	concrete
şert	condition
şertî	conditions
ca ardeene	conduct
kombîyayîş	conference
ro xo nayene	confess
xobawerîye	confidence
xobawer	confident
e kerdene	confirm
têkewtiş	conflict
şaşbîyaye	confused
şaşmendiş	confusion
pîroz bo	congrats
pîrozkerdiş	congratulation
çimê to roştî bê	congratulations
bestox	conjunction
girê dayene	connect
îşxal kerdene	conquer
hişyar	conscious
hişyarîye	consciousness
destûr	consent
razî bîyene	consent
netîceyî	consequences
muhafezekerdiş	conservation
muhafezakar	conservative
çiman ver girewtene	consider
fikrkerde	considered
pêra ameyene	consist
pêgirewtiş	consistency
pêgirewte	consistent
berdewam	constant
timûtim	constantly
qebz	constipation
awanîye	construction
serf kerdene	consume
serf	consumption
têkilî	contact
kewtene têkilîye	contact
serî	contagious
tede bîyene	contain
tede	contains
hemçax	contemporary
razî	contempt
tedeyî	content
musabeqe	contest
kontekst	context
qita	continent
dewam kerdene	continue
kontrat	contract
kontrat kerdene	contract
zid	contrast
têver nayene	contrast
beşdarîye	contribute
beşdarîye	contribution
kontrol	control
nîqaşbar	controversial
musaîdîye	convenience
musaîd	convenient
xoşebere	conversation
çarnayîş	convert
çarnayene	convert
resnayene	convey
îqna kerdene	convince
îqnakerde	convinced
pewtene	cook
werdpewj	cook
pewtiş	cooking
honik	cool
weş	cool
hemkarîye	cooperation
hal kerdene	cope
paxir	copper
dendik	core
lazut	corn
kuncik	corner
raşt	correct
mesref	cost
mal bîyene	cost
kisvet	costume
holike	cottage
peme	cotton
meqet	couch
kuxike	cough
konseye	council
hûmaritene	count
muqabele kerdene	counter
welat	country
dewan de	countryside
cite	couple
cesaret	courage
kurs	course
dadgeh	court
kibarîye	courtesy
dereza	cousin
nimitene	cover
manga	cow
tersonek	coward
rehet	cozy
kerkince	crab
qilaşîyayene	crack
qilaş	crack
huner	craft
gî	crap
qeza kerdene	crash
qeza	crash
vîyar kerdene	craving
kaş bîyene	crawl
xêx	crazy
afirnayene	create
viraştox	creative
kredî	credit
kaş bîyene	creep
tersnak	creepy
muretebat	crew
suc	crime
şermdar	cringe
rokewtene	cringe
krîz	crisis
krîterî	criteria
krîtîk	critical
rexnegerî	criticism
ber	crop
mehsul	crops
xaç	cross
visîyayene bover	cross
qijike	crow
qelebalix	crowd
qelebalix	crowded
tac	crown
girîng	crucial
zorbaz	cruel
raywanîya deryayî	cruise
pelçiqnayene	crush
pelçiqnayîş	crush
bermayene	cry
xîyar	cucumber
xo verare kerdene	cuddle
kultur	culture
qurnaz	cunning
fîncane	cup
dolabe	cupboard
sînor kerdene	curb
kemerê peyerayîrî	curb
weşkerdiş	cure
weş kerdene	cure
qedexeyê vejîyayîşê teberî	curfew
meraq	curiosity
meraqdar	curious
gijikin	curly
dovîz	currency
nikayin	current
nika	currently
milqî dayene	curse
perde	curtain
mînder	cushion
adet	custom
muşterî	customer
urf û adetî	customs
gumrik	customs
birnayene	cut
birnaye	cut
şîrin	cute
dewr	cycle
bîsîklet raimtene	cycling
bakil	dad
bawo	daddy
rojane	daily
qatix	dairy
awbend	dam
zerar	damage
zerar dayene	damage
lanet kerdene	damn
tênin	damp
reqisîyayene	dance
tehluke	danger
tehlukeyin	dangerous
tarî	dark
waştî	darling
tîre	dash
pirodayîş	dash
data	data
randevu	date
tarîx	date
kêna	daughter
roje	day
merde	dead
tarîxo peyên	deadline
kerr	deaf
pêameyîş	deal
pê ameyene	deal
sînaye	dear
hevalê delalî	Dear All
Muşterîyo Erjaye	Dear Customer
May û pîyê erjayeyî	Dear Parents
Efendîyo erjaye	Dear Sir
Wendekarê erjayeyî	Dear students
Ekîpa erjayîye	Dear Team
merdene	death
nîqaş	debate
deyndar	debit
debî	debit
enkaz	debris
deyn	debt
desserre	decade
xeripîyayene	decay
rijîyayene	decay
dinya xo vurna	deceased
xapênayene	deceive
kanûne	december
cade	decent
qerar dayene	decide
qerar da	decided
qerar	decision
deste	deck
red kerdene	decline
kêm bîyene	decrease
ser o hêc	dedicated
îthaf	dedication
çalakî	deed
tapû	deed
xorîn	deep
gakovî	deer
standard	default
mexlubîye	defeat
mexlub kerdene	defeat
seveknayene	defend
terîf kerdene	define
qetîyen	definitely
pênas	definition
derece	degree
peyde eştene	delay
peydeeştiş	delay
taloq bî	delayed
estiritene	delete
bi zanayîş	deliberate
nazik	delicate
tehmweş	delicious
keyf	delight
keyfweş	delighted
teslîm kerdene	deliver
verdayene	deliver
reşte	delivered
ciresnayîş	delivery
waştene	demand
waştiş	demand
çetin	demanding
israrker	demanding
demokrasî	democracy
cîn	demon
numayîş kerdene	demonstrate
betalkerde	denied
sixletîye	density
didansaz	dentist
înkar kerdene	deny
beş	department
rayemendiş	departure
girêdaye bîyene	depend
dayene hereketkerdene	deploy
depozîto dayene	deposit
depozîto	deposit
depresîf	depressed
depresyon	depression
xorînîye	depth
pênas kerdene	describe
pênas	description
çol	desert
heq kerdene	deserve
dîzayn	design
dîzayn kerdene	design
tayîn	designation
waştene	desire
waştiş	desire
masa	desk
hêvîya xo ra bîyene	despair
bêhêvî	desperate
herçiqas ke	despite
şîranîye	dessert
hedef	destination
çarenus	destiny
çin kerdene	destroy
xeripnayîş	destruction
teferuat	detail
detayî	details
kifş kerdene	detect
qerardarîye	determination
belî kerdene	determine
qerardar	determined
xirabe	devastated
mafbîyaye	devastated
aver kerdene	develop
averşîyaye	developed
averşîyayîş	development
hacete	device
şeytan	devil
merbut	devoted
Dhîvehî	Dhivehi
dîyabet	diabetes
emel	diarrhea
rojnuşte	diary
ferheng	dictionary
kerd	did
merdene	die
merd	died
parêz	diet
cîyayîye	difference
cîya	different
zehmet	difficult
kinitene	dig
şeref	dignity
xeyretkêş	diligent
şamîye	dinner
tirokerdiş	dip
tiroşîyayîş	dip
raşteraşt	direct
het	direction
rejîsor	director
lêm	dirt
qilêrin	dirty
astengdar	disable
astengdar	disabled
çiman ver vîndî bîyene	disappear
zerrîşikite	disappointed
afate	disaster
vetene	discard
eştene	discard
tal kerdene	discharge
dîsîplîn	discipline
kêmîkerdiş	discount
keşf kerdene	discover
dîskrîmînasyon	discrimination
munaqeşe kerdene	discuss
werênayîş	discussion
nêweşîye	disease
nêweşî	diseases
kinctebdil bîyene	disguise
pîs	disgusting
werd	dish
firaqî	dishes
kar ra eştene	dismiss
ruşnayene	dispatch
musnayene	display
wedaritiş	disposal
îdare	disposal
rotiş	disposal
nîqaş	dispute
mesafe	distance
cîya	distinct
cêra vetene	distinguish
tenge	distress
vilakerdiş	distribution
taxe	district
nerehet kerdene	disturb
xendeq	ditch
kewtene awe	dive
zafrengin	diverse
bêjbibêjîye	diversity
pare kerdene	divide
homayî	divine
cîya bîyene	divorce
cîyabîyayîş	divorce
sewsî	dizzy
kerdene	do
ti mi ra hes kenî	do you love me
doktor	doctor
dokuman	document
keno	does
kutik	dog
Dogrî	Dogri
kerdiş	doing
veyveke	doll
bare	domain
war	domain
kedî	domestic
serdest	dominant
Meraq meke	Don't worry
bexiş kerdene	donate
temam	done
her	donkey
esrar	dope
çut	double
di qat kerdene	double
guman	doubt
guman kerdene	doubt
mîr	dough
devacêr	down
war ardene	download
verkar	draft
verkar viraştene	draft
kaş kerdene	drag
der kerdene	drain
drama	drama
xêz kerdene	draw
çekmece	drawer
resim	drawing
xewf	dread
hewn	dream
hewn dîyene	dream
fîstan	dress
lane kerdene	drill
çîyê şimitişî	drink
şimitene	drink
ramitene	drive
dilope kerdene	drop
dilope	drop
veradaye	dropped
xela	drought
serxoş	drunk
huşk	dry
ordege	duck
mêrik	dude
goreyê	due
semedê	due to
acizker	dull
ehmeq	dumb
rişnayene	dump
mudet	duration
wextê … de	during
tozê ci pak kerdene	dust
wezîfe	duty
ser o vindetene	dwell
mireno	dying
her	each
yewbînan	each other
zerrîwaz	eager
hêlî	eagle
goş	ear
hîna rew	earlier
rew	early
qezenc kerdene	earn
goşî	ears
dinya	earth
erdlerz	earthquake
rehetîye	ease
asan	easily
rojhelat	east
asan	easy
werdene	eat
werdiş	eating
ekonomîk	economic
ekonomî	economy
kobe	edge
sereraşt kerdene	edit
perwerde	education
tesîr	effect
bitesîr	effective
tesîrdarîye	efficiency
bitesîr	efficient
lebate	effort
hak	egg
balcane	eggplant
ego	ego
heşt	eight
heştês	eighteen
heştay	eighty
yan	either
bidetay	elaborate
henezik	elbow
pîl	elder
kokim	elderly
tîtikin	elegant
element	element
fîl	elephant
yewendes	eleven
munasib	eligible
vetene	eliminate
sewbîna	else
şermokin	embarrassed
şermezarker	embarrassing
qebul kerdene	embrace
vejîyayene	emerge
rewşa lezabezîye	emergency
hîssî	emotional
empatî	empathy
giranî dayene ser	emphasis
giranî dayene ser	emphasize
karker	employee
karkerî	employees
kardayox	employer
karkerdiş	employment
veng	empty
aktîf kerdene	enable
raşt ameyene	encounter
zerrî dayene	encourage
qedênayene	end
tehluke de	endangered
çalakî	endeavor
teşebus	endeavor
tehemul	endurance
tebitîyayene	endure
dişmen	enemy
enerjî	energy
meşgul	engage
meşxul	engaged
nîşan	engagement
motor	engine
muhendis	engineer
Îngilizkî	English
girs kerdene	enhance
ecibnayene	enjoy
zaf girs	enormous
bes	enough
garantî dayene	ensure
dekewtene	enter
keyf û kelebut	entertainment
hewesdarîye	enthusiasm
hewesdar	enthusiastic
heme	entire
selahîyetdar	entitled
estîye	entity
cikewtiş	entrance
muteşebis	entrepreneur
zerfe	envelope
dorûver	environment
celudîyayene	envy
destane	epic
epîdemî	epidemic
têduşt	equal
ekîpman	equipment
sermaye	equity
muqabil	equivalent
pakker	eraser
xeta	error
remayene	escape
bitaybetî	especially
meqale	essay
esl	essence
lazim	essential
pê şanayene	establish
ronaye	established
emlak	estate
texmîn kerdene	estimate
texmînî ser	estimated
ûêb	etc
bêpeynî	eternal
etîk	ethics
erjnayene	evaluate
erjnayîş	evaluation
hetta	even
herçend ke	even though
şan	evening
çalakîye	event
peynîye de	eventually
qet	ever
her	every
her kes	everybody
heme kes	everyone
her çî	everything
delîl	evidence
xirabin	evil
evolusyon	evolution
aver şîyene	evolve
Ewe	Ewe
verên	ex
tam	exact
aynen	exactly
ezmûn	exam
muayene kerdene	examine
nimûne	example
hed ra vîyartene	exceed
zaf weş	excellent
xeyrja	except
îstîsna	exception
hed ra vîyartene	excess
zêde	excess
bêhed	excessive
borsa	exchange
ravurnayîş	exchange
heyecandar	excited
heyecan	excitement
heyecandar	exciting
taybet	exclusive
mazeret	excuse
bibexşne	excuse me
bi kar ardene	execute
dardekerdiş	execution
caardox	executive
temrîn kerdene	exercise
temrîn	exercise
egzoz	exhaust
qefilnayene	exhaust
rincan	exhausted
nawneyene	exhibit
temaşegeh	exhibition
est bîyene	exist
estbîyayîş	existence
estbîyaye	existing
vejîyayene	exit
hîra kerdene	expand
pawitene	expect
pawîyaye	expected
şîyayeyî	expenses
vay	expensive
tecrube	experience
dîyene	experience
cerib	experiment
pispor	expert
mudetê ci vîyarte	expired
areze kerdene	explain
îzah	explanation
îstîsmar kerdene	exploit
keşf kerdene	explore
îhracad	export
maruz kerdene	expose
maruz	exposed
maruz bîyene	exposure
îfade kerdene	express
îfade	expression
hîra kerdene	extend
hîrakerde	extended
hîrakerdiş	extension
derece	extent
yê teberî	external
çinbîyaye	extinct
zêde ra	extra
vetene	extract
mustesna	extraordinary
ekstrem	extreme
xeylê zaf	extremely
çim	eye
çimî	eyes
qumaş	fabric
mikemel	fabulous
têrî ameyene	face
rî	face
asan kerdene	facilitate
tesîsî	facilities
tesîs	facility
raştîye	fact
faktor	factor
karxane	factory
raştî	facts
permelîyayene	fade
bin kewtene	fail
binkewtiş	fail
sernêkewte	failed
ser nêkewtene	failure
xeriqîyayene	faint
sivik	fair
heq	fair
xeylê	fairly
perî	fairy
bawerî	faith
wefadar	faithful
zurayin	fake
payîz	fall
war o ginayene	fall
XELET	false
namdarîye	fame
şinasî	familiar
keye	family
vêşanîye	famine
namdar	famous
heyran	fan
perwane	fan
hewes kerdene	fancy
fantastîk	fantastic
dûrî	far
xatirwaştiş	farewell
çewlîg	farm
rencber	farmer
balkêş	fascinating
moda	fashion
lez	fast
qelew	fat
ê mergî	fatal
çarenus	fate
pî	father
qefilîyayene	fatigue
xeta	fault
favorî	favorite
tehm	favour
favorî	favourite
tersayene	fear
ters	fear
şayîye	feast
purt	feather
taybetmendîye	feature
tede est bîyene	feature
taybetmendî	features
gucige	february
heridan	fed up
heq	fee
nan dayene	feed
apeyhayî	feedback
hîs kerdene	feel
hîs	feeling
lingî	feet
kewt	fell
heval	fellow
hîs kerd	felt
makî	female
percîn	fence
berhemdar	fertile
festîvale	festival
ardene	fetch
tewe	fever
tayê	few
kêmêr	fewer
waştî	fiance
fîkşin	fiction
war	field
xurt	fierce
pancês	fifteen
pancas	fifty
lej	fight
lej kerdene	fight
pêrodayîş	fighting
teswîr kerdene	figure
fîgure	figure
tede vetene	figure out
dosya	file
pirr kerdene	fill
pirrkerde	filled
fîlm	film
qilêrin	filthy
axirî	finally
fînansman	finance
ekonomîk	financial
dîyene	find
tey vetene	find out
hol	fine
ceza	fine
engişte	finger
temam kerdene	finish
qedîya	finished
adir	fire
fîrma	firm
pêt	firm
verên	first
name	first name
mase	fish
destdayî	fit
panc	five
tamîr kerdene	fix
sabît	fixed
bellî	fixed
ala	flag
flaş	flash
bilusk	flash
pan	flat
dayîre	flat
kêmasî	flaw
bêqusur	flawless
remayene	flee
goşt	flesh
pera	flew
kablo	flex
deardene	flex
nerm	flexible
raywanîya teyara	flight
dêm dayene	flip
raçarnayene	flip
flort kerdene	flirt
flort kerdene	flirting
awe ser o	float
laser	flood
qat	floor
ardî	flour
herikîyayene	flow
herik	flow
vîlike	flower
harîge	flu
herikbar	fluent
herikbar	fluently
nerm	fluffy
awî	fluid
fir dayene	fly
fokusê xo dayene ser	focus
fokus	focus
mij	fog
mijin	foggy
qat kerdene	fold
şar	folks
taqîb kerdene	follow
dewamê ci	follow up
ke dime ra yeno	following
werd	food
xapitene	fool
ehmeq	fool
xêxkî	foolish
linge	foot
futbol	football
seba	for
Sey nimûne	For example
mesela	for instance
seba to	for you
qedexe	forbidden
hêz	force
texmîn	forecast
çare	forehead
xerîb	foreign
daristan	forest
heta ebedî	forever
xo vîr ra kerdene	forget
ef kerdene	forgive
xovîrrakerde	forgot
çetale	fork
pêardene	form
form	form
resmî	formal
verên	former
şans o ke	fortunately
şans	fortune
çewres	forty
çewres û di	forty-two
aber	forward
xurt kerdene	foster
pêrodaye	fought
dozkerde	found
sazgeh	foundation
çar	four
çarês	fourteen
luye	fox
nazik	fragile
çarçewa	frame
çarçewa	framework
