а	a
лъимераб гӀуж	childhood
лъимал	children
квачан	chill
кӀкӀуй унеб труба	chimneys
нилъу	chin
шоколад	chocolate
тӀаса бищи	choice
бищизе	choose
къотӀ-къотӀизе	chop
рокъосеб хӀалтӀи	chores
гургинаб гьумералъул	chubby
церковь	church
корица	cinnamon
дарчин	cinnamon
гор	circle
шартӀ	circumstances
хӀужжа	circumstances
гражданин	citizen
шагьар	city
ракӀ чӀезабизе	claim
баян гьабизе	clarify
сорт	class
хӀатӀракь	clay
хӀатӀ	clay
бацӀадаб	clean
бацӀцӀадаб	clear
офисалъул хӀалтӀукъан	clerk
гӀакълуяв	clever
гӀакълуяй	clever
гӀакълуяб	clever
жо босулев чи	client
утес	cliff
гьава-бакъ	climate
рахине	climb
рекӀун чӀолеб	clingy
сагӀат	clock
къай	close
шкаф	closet
ххам	cloth
ретӀел	clothes
накӀкӀ	cloud
зобал накӀкӀаз рациялъул даража	cloudy
клоун	clown
кӀичӀ	clue
гъармахъ	clue
гъанца	clue
тантрахъаб	clumsy
кластер	cluster
тренер	coach
тӀурччи	coal
рагӀаллъи	coast
рагӀал	coast
пальто	coat
къагьва	coffee
кофе	coffee
лъазе рес бугеб	cognitive
нахъгӀунтӀулеб	cognitive
дандеккей	coincidence
цадахъ ккей	coincidence
квачараб	cold
биххи	collapse
воротник	collar
цого махшелалъул чи	colleague
хӀалтӀухъаби	colleagues
бакӀаризе	collect
цого тайпаялъул къайи-къоно	collection
коллекция	collection
цӀалул бакӀал	college
кьер	color
кьер гьечӀел гӀурччинал идеяби кутакалда лъикй кьишун рукӀана	colorless green ideas slept furiously
кьер	colour
гъоркь-тӀад ругел мухъазул хӀуби	column
гьоркьо	comb
комбинация	combination
хасаб тартибалда лъезе	combine
цоцалъ жубазабизе	combine
данде ккезабизе	combine
рекъезабизе	combine
вачӀа	come
йячӀа	come
гьаниве вачӀа	come here
жубазе	come on
санагӀалъи	comfort
рахӀат	comfort
квегӀенлъи	comfort
санагӀатаб	comfortable
вачӀунев	coming
хеккого	coming soon
кватӀичӀого	coming soon
буюрухъ	command
комментарий	comment
коммерческий	commercial
комиссия	commission
гьаби	commit
тӀадебоси	commitment
чара гьечӀого	commitment
кьуричӀого тӀубазабизе кколеб къотӀи	commitment
ритӀухъав	committed
ракӀ-ракӀалъ мутӀигӀав	committed
къайи	commodity
тӀолазего	common
гаргадизе	communicate
бухьен букӀине	communicate
гьоркьоблъи	communicate
гьоркьоблъи	communication
сообщество	community
щезе	commute
къайицадахъ	companion
компания	company
гьоркьоб бикьи	compare
дандекквей	comparison
ракӀунти	compassion
гурхӀел	compassion
гурхӀулев	compassionate
гурхӀел бугев	compassionate
цадахъ букӀине бегьулеб	compatible
цадахъ букӀине рес бугеб	compatible
чем къец базе	compete
сундулниги хӀакъалъулъ гӀураб лъай гьечӀев	competent
къец	competition
данде чӀезе кӀолев	competitive
гӀарза кьезе	complain
гӀарз	complaint
зигарди	complaint
гӀарз бахъи	complaint
цӀезабизе	complement
лъугӀизабизе	complete
тӀубазабизе	complete
рагӀалде бахъинабизе	complete
тӀубанго	completely
тӀаса камичӀого	completely
захӀматаб	complex
тартиб цӀуни	compliance
захӀматаб	complicated
рецц-бакъ гьаби	compliment
тӀуразаризе	comply
чего гӀуцӀи	composition
гӀуцӀи	composition
гӀадатаб гуреб	compound
захӀматаб	compound
бичӀчӀин	comprehension
тӀолалго рахъал хӀисабалде росараб	comprehensive
кинабго рахъалъулаб	comprehensive
рекъел гьаби	compromise
маслихӀат	compromise
къотӀи ккей	compromise
кӀиябго рахъ разилъи	compromise
гьабизе тӀамизе	compulsory
хӀалалъ гьабизабизе	compulsory
компьютер	computer
бакӀарун данделъизе	concentrate
цо бакӀалде рачӀинесконцентрироваться	concentrate
цо бакӀалде данделъизе	concentrate
аслияб пикру	concept
хӀалбихьизе	concern
лъалев	concerned
концерт	concert
къватӀибе бачин	conclusion
чӀванкъотӀараб	concrete
шартӀ	condition
шартӀ	conditions
хьвада-чӀвади	conduct
вакилзабазул данделъи	conference
мукӀурлъи	confess
къвакӀи	confidence
къвакӀи	confident
уяблъизе	confirm
дагӀба-рагӀи	conflict
бигъараб	confused
жуба-гъубай	confusion
бада-гъудур	confusion
баркула	congrats
барки	congratulation
баркула	congratulations
жубазаби	conjunction
цолъизаби	conjunction
рекӀинабизе	connect
кквезе	conquer
ккун чӀезе	conquer
лъай	conscious
пикру бичӀчӀи	conscious
сознание	consciousness
щибниги жоялъул хӀакъикъат	consciousness
разилъи	consent
нахъалъун	consequences
цӀуни	conservation
консерватор	conservative
ургӀула	consider
лъугьун бугеб ахӀвал-хӀалги хӀисабалде босун	considered
данде гьабун букӀине	consist
тартиб буголъи	consistency
тартиб буголъи	consistent
гьоркьоса къотӀичӀеб	constant
гьоркьоса къотӀичӀого	constantly
рахай	constipation
гӀуцӀи	construction
сокӀкӀин	construction
пайда босизе	consume
хӀалтӀизабиз	consume
хӀалтӀизаби	consumption
бухьен	contact
бахунеб	contagious
жаниб букӀине	contain
ккола	contains
хьихьула	contains
жакъасеб	contemporary
гьабсагӀат бугеб	contemporary
гьанжесеб заманалъул	contemporary
рикӀкӀунгутӀизе мустахӀикъав	contempt
РакӀ чӀараб	content
къец	contest
магӀнаялъул рахъалъ щвалде щвараб тексталъул бутӀа	context
континент	continent
чӀезе течӀого цебе бачине	continue
къотӀи	contract
батӀалъи	contrast
кумек гьабизе	contribute
санагӀат гьабизе	contribute
санагӀалъи ккезабизе	contribute
сабаблъун ккезе	contribute
кому-чему квербакъи гьабизе	contribute
лъей	contribution
хал гьаби	control
тӀадкӀалъай бугеб	controversial
санагӀалъи	convenience
къагӀида рекъей	convenience
квегӀенлъи	convenience
санагӀатаб	convenient
ишалъулаб	conversation
цоцазулгун гьоркьоблъи	conversation
гьудуллъиялъулаб бухьен	conversation
конвертировать	convert
битӀизе	convey
кьезе	convey
божизавизе	convince
ракӀ чӀезабизе	convince
ракӀ чӀезабурав	convinced
квен гьабизе	cook
квен гьабизе	cooking
лъикӀин	cool
цадахъ хӀалтӀи	cooperation
кӀойзе	cope
пахь	copper
пахьул гӀарац	copper
аслияб	core
цӀорлъ	corn
цили	corner
битӀараб	correct
хвезаби	cost
костюм	costume
ретӀел	costume
коттедж	cottage
квасквас	cotton
диван	couch
ухӀуди	cough
куд	could
гӀакълу дандбай	council
гӀакълу	council
малълъи	council
маслихӀат	council
рикӀкӀине	count
тукада къайи лъолеб стол	counter
хӀукумат	country
росдал	countryside
росулъ вугев	countryside
кӀигояб	couple
жут	couple
бахӀарчилъи	courage
цӀали	course
суд	court
къокъаб	courtesy
яцгӀал - for girls  вацгӀал - for boys	cousin
тӀамизе	cover
гӀака	cow
цӀукӀа	coward
хӀинкъуч	coward
гӀанкӀиракӀ	coward
санагӀатаб	cozy
квегӀенаб	cozy
краб	crab
трескаться	crack
махшел	craft
пиша	craft
устарлъи	craft
ккал	crap
балагь	crash
талихӀ къараб иш	crash
кутакаб шавкъ бугев	craving
шуризе	crawl
хъурщизе	crawl
гӀадаллъарав	crazy
гӀадалав	crazy
лъугьинабизе	create
гьунаралъулаб	creative
кредит	credit
налъи	credit
слизняк	creep
квешаб	creepy
рокьукъаб	creepy
буюрухъ	crew
такъсир	crime
Нахъе кӀанцӀизе	cringe
захӀматаб гӀуж	crisis
бажарулареб	criteria
лъугьунареб	criteria
критикияб	critical
къимат кьеялъул	criticism
къотӀизе	crop
ругъун лъезе	crop
бачӀин	crops
гӀебса къотӀизе	cross
гъеду	crow
гури	crowd
халкъалъул руккел	crowd
гури	crowded
халкъалъул руккел	crowded
корона	crown
критикияб	crucial
раӀму гьечӀого	cruel
круиз	cruise
рейс	cruise
гъуризабизе	crush
гӀодизе	cry
охцер	cucumber
къвал базе	cuddle
культура	culture
оборлъи	cunning
сихӀирлъи	cunning
къотӀизе	cup
буфет	cupboard
мицӀир	curb
лъилъизавизе	cure
сахлъизавизе	cure
дару гьабизе	cure
командантасул сагӀат	curfew
ккараб	curiosity
лъугьараб	curiosity
рагӀараб рагӀа-ракьанде щун лъазе бугеб гъира	curiosity
кинабго лъазе гъира-шавкъ бугеб	curious
кӀургӀараб	curly
валюта	currency
хӀалтӀулеб	current
дагьаб цебегӀан	currently
нагӀана кьезе	curse
пардав	curtain
къандалъо	cushion
гӀадат	custom
бичун босулев чи	customer
гӀурхъи бахун	customs
къотӀизе	cut
вокьулевӀйокьулей	cute
къотӀел	cycle
цо чӀараб тӀел	cycle
хӀатӀимашина бачин	cycling
эмен	dad
дада	dad
дада	daddy
щибаб къоялъ	daily
рахьдал гьабураб	dairy
сангар	dam
зарал	damage
зиян гьаби	damage
нагӀана батаяб	damn
регьел бугеб	damp
рагьлилаб	damp
биччараб	damp
кьурди	dance
хӀинкъи	danger
хӀинкъи бугеб	dangerous
бецӀаб	dark
хирияв	darling
хирияй	darling
рехдезе	dash
заман	data
гӀуж	data
дандчӀвай	date
яс	daughter
къо	day
хвел	dead
ахирисеб заман	deadline
гӀинкъаб	deaf
къотӀи-къай гьабизе	deal
хириявӀхирияй	dear
киназего салам	Dear All
хӀурматияв босулев чи	Dear Customer
эбел-эмен	Dear Parents
хириял умумул	Dear Parents
хӀурмат бугев бетӀерчӀахъад	Dear Sir
хириял цӀалдохъаби	Dear students
хирияб команда	Dear Team
хвей	death
гӀажал	death
хвел	death
бахӀс	debate
дагӀба-къец	debate
налъи бихьизабулеб счет	debit
рекарал жал	debris
налъи	debt
анцӀго сон	decade
бутӀабазде бикьун ине	decay
парахатаб	deceased
гӀодобе биччараб	deceased
сабураб	deceased
гуккизе	deceive
декабрь	december
лъикӀаб	decent
рекъараб	decent
хӀукму гьабизе	decide
хӀукму гьаубраб	decided
гьаби	decision
гамил тӀасияб рахъ	deck
гьетӀизабизе	decline
нахъе цузе	decline
цояб рахъалде къазабизе	decline
гьитӀинабизе	decrease
ритӀухълъи	dedicated
ритӀухълъи	dedication
ракӀ-ракӀалъ мутӀигӀлъи	dedication
лъалаго гьабураб	deed
цо къасдалда гьабураб иш	deed
гъваридаб	deep
ритӀучӀ	deer
нахъ буссинабунгутӀи	default
кьунгутӀи	default
бецӀунгутӀи	default
къини	defeat
хьихьизе	defend
лъилниги рахъ кквезе	defend
чӀезабизе	define
дурусго	definitely
чӀезаби	definition
баянлъи	definition
степень	degree
даража	degree
батӀаго лъезе	delay
нахъе лъезе	delay
хадуб гьабизе тараб	delayed
рикӀкӀад гьабизе	delete
рикӀкӀалъизабизе	delete
бацӀине	delete
цебеккун ургъунго хӀадур гьабураб	deliberate
хӀеренаб	delicate
татуяб	delicious
рохел	delight
хӀайранлъи	delight
разияв	delighted
щвезабизе	deliver
щвезабураб	delivered
щвезаби	delivery
тӀалаб гьабизе	demand
кьварараб	demanding
тӀалаб бугеб	demanding
хӀукуматалъул ишал халкъалъ гьари	democracy
гӀиприт	demon
илбис	demon
бихьизабизе	demonstrate
берда бихьизе цебе лъезе	demonstrate
нахъе цуй	denied
щулалъи	density
цабзазул устар	dentist
гӀусазул тохтир	dentist
нахъчӀвараб	deny
разилъи гьечӀеб	deny
батӀалъизаби	department
ине	departure
бараблъун	depend
бичизе	deploy
лъураб гӀарац	deposit
ракӀ гӀодобчӀвай	depressed
депрессия	depression
гъварилъи	depth
сипат-сурат гьабизе	describe
хъвай	description
бицин	description
кутакалда гучаб	desert
цӀакъ кутакаб	desert
хаган хутӀизарулеб	desert
кӀудияб асар гьабулеб	desert
мустакълъизе	deserve
дизайн	design
къачӀай	design
гӀуж гьаби	designation
анищ	desire
мурад	desire
хӀалтӀул стол	desk
хьул къотӀи	despair
ракӀ буссин	despair
гьабулелде вачӀунарев	desperate
