chuchoko	a little
kwenjerwa	anxious
chichose	any
chiliposo	anymore
waliyose	anyone
chilichose	anything
mu nthowa yiliyose	anyway
mu nthowa yiliyose	anyways
kufunyapo	apart
nyumba	apartment
phepiska	apologize
kuwoneka	apparent
zikuwoneka kuti	apparently
kukasuska	appeal
woneka	appear
kaonekelo	appearance
kuwoneka	appeared
chilakolako cha kurya	appetite
apozi	apple
kugwiliskira ntchito	application
lembela	apply
sankhika	appointment
dokela	appreciate
kukhorwa	appreciation
fikila	approach
chakuyenelela	appropriate
Kuzomerezga	approval
zomelezga	approve
zomelezgeka	approved
kuyerekeza waka	approximately
epulo	april
nkhwesa	arbitrary
nkhwantha ya vyakuzenga	architect
vyakuzenga	architecture
sunga vinthu	archive
imwe	are
kasi imwe	are you
wabizika	are you busy
kasi uli kutengwa	are you married
kasi uli kutola	are you married
ka uli kutengwa olo yayi	are you married or single
uchali penepapo	Are you still there?
ulipo apo	are you there
malo	area
kangana	argue
mukangano	argument
kufuma	arise
woko	arm
wasilikali	army
kuzungulira	around
kunozga	arrange
ndondomeko	arrangement
kufika	arrival
fika	arrive
fika	arrived
nkhwesa	arrogant
ntchetho	arrow
luso	art
nkhani	article
chanadi yayi	artificial
waluso	artist
nga ni	as
para	as long as
kweniso	as well
nakutiso	as well as
vyoto	ash
soni	ashamed
fumba	ask
fumba	asked
mutulo	asleep
chigaŵa	aspect
Assamese	Assamese
yamba mwa mbembe	assault
ungano	assembly
mwakujigomezga	assertive
kupima	assess
kuwunika	assessment
katundu	asset
katundu	assets
kupereka	assign
ntchito	assignment
kuovwira	assist
wokuvwita	assistant
kugwilizgana	associate
vyakukolerana	associated
gulu la wanthu	association
kughanaghana	assume
sachizgo	assumption
pa	at
kwambura kuchera pa	at least
irya	ate
masewera ghakulimbiska thupi	athlete
sazgako	attach
kubanyako	attached
kukakika	attachment
yamba	attack
yezgelela	attempt
wapo	attend
kizilo	attendance
teghelezga	attention
nkharo	attitude
kuchema	attract
kukopa	attraction
ŵakutowa	attractive
kakhaliro	attribute
wakuteghelezga	audience
august	august
asibweni wanakazi	aunt
ankhazi	aunty
unenesko	authentic
wakulemba	author
wa udindo	authority
nyengo ya chihanya	autumn
chilipo	available
nilipo	available
pa avereji	average
kutcheŵa	avoid
maso	awake
mphotho	award
manya	aware
kumanya	awareness
kutali	away
vyakukondwesa	awesome
chiheni	awful
mbura kwenerera	awkward
Aymara	Aymara
mwana	baby
batchala	bachelor
kumanyuma	back
kunyuma kwa chithuzi	background
kunangika	bad
chikwama	bag
nyambo	bait
kuphika na tirigu	bake
bekale	bakery
soda	baking soda
kukhazikika	balance
bola	ball
Bambara	Bambara
nthochi	banana
bandi	band
tchaiska	bang
bankl	bank
bara	bar
pachoko waka	barely
malonda	bargain
gwentha	bark
barley	barley
chijando	barrier
kuwumaliro kwa chinthu	base
kufumira	based
chipinda cham'munsi	basement
vakwambilira	basic
nkhanira	basically
basil	basil
chindere	bastard
katundu uyo wapangika pa nyengo yimoza	batch
geza	bath
malo ghakugezela	bathroom
batile	battery
mbembe	battle
mphepete	bay
kuwa	be
makola makola	be careful
mphepete mwa nyanja	beach
ungweru	beam
ntchunga	beans
manya kuti	bear
mwembe	beard
kubaba	bearing
chilombo	beast
tchaya	beat
kutowa	beautiful
kutowa	beauty
kuba	became
chifukwa	because
kuja	become
bedi	bed
chipinda	bedroom
njuchi	bee
nyama ya ng'ombe	beef
kuwapo	been
moba	beer
pambele	before
yamba	began
yamba	begin
kumayambililo	beginning
m'malo	behalf
nkhalo	behave
nkharo	behavior
nkhalo	behaviour
kuseli	behind
kuwa	being
chigomezgo	belief
gomezga	believe
nthumbo	belly
kuŵa nawo	belong
wakutemweka	beloved
pasi	below
lamba	belt
mpando	bench
pinda	bend
pasi	beneath
phindu	benefit
vyakuhala	benefits
paluwande	beside
kweniso	besides
chiwemi chomene	best
viwemi vyose	best of luck
viwemi vyose	best regards
nkhasako	better
pakati	between
vyakumwa	beverage
jumphizga	beyond
Bhojpuri	Bhojpuri
kutemwela	bias
kutemwera	biased
njnga	bicycle
kukula	big
njinga	bike
bilu	bill
bika pamoza	bind
kayuni	bird
zuba lakubabika	birthday
kachoko	bit
luma	bite
ukali	bitter
chifipa	black
chakuthwa	blade
kuŵika mulandu pa	blame
pambula kanthu	blank
bulangete	blanket
kuphulika	blast
kuyeresa	bleach
kusakanikirana	blend
tumbika	bless
tumbika	blessed
khungu	blind
chimwemwe	bliss
janda	block
ndopa	blood
chithanyelo	bloom
kuwombera	blow
buluwu	blue
kwambula kubisa	blunt
bolodi	board
boti	boat
thupi	body
mphiska	boil
wakulimba	bold
kukolerana	bond
chiwanga	bone
buku	book
kusazgako	boost
chakukhozga	booster
jombo	boot
skapato	boots
mphaka	border
kuvuka	bore
boweka	bored
kuboweka	boring
babika	born
bweleka	borrow
bwana	boss
vose vibiri	both
kusuzga	bother
botolo	bottle
pasi	bottom
kugula	bought
kujumpha	bounce
kakika	bound
malire	boundaries
sendama	bow
bakule	bowl
bokosi	box
munyamata	boy
chibwezi	boyfriend
chibangili	bracelet
mongo	brain
nthambi	branch
burandi	brand
chikanga	brave
kunanga	breach
chingwa	bread
pumula	break
chakulya cha mulenji	breakfast
mabele	breast
kupuma	breath
thuta	breathe
mtundu	breed
njerwa	brick
mukwati	bride
muthandatho	bridge
pachoko waka	brief
kuwala	bright
wakuwoneka makora	brilliant
zanacho	bring
longosi	bro
wambiri	broad
kuwulusa	broadcast
kwambula ndalama	broke
phyoka	broken
chithanyelo	broom
mukulu or munung'una wako	brother
mulamu	brother in law
zanacho	brought
burawuni	brown
burashi	brush
baketi	bucket
bwenzi	buddy
bajeti	budget
chakupulikisira mwa chinsisi	bug
zenga	build
nyumba	building
zenga	built
vinandi	bulk
ng'ombe yanalume	bull
wakuchita nkhaza	bully
gunda	bump
mkoko	bunch
mutolo	bundle
chiphinjo	burden
wundila	buried
wotcha	burn
phulika	burst
undila	bury
basi	bus
thondo	bush
bizinesi	business
pachifuŵa	bust
tangwanika	busy
kweni	but
majalini	butter
gulugufe	butterfly
batani	button
gula	buy
na	by
ndiposo	by the way
naluta	bye
kabichi	cabbage
kabati	cabinet
chiwaya	cage
keke	cake
tholi	calf
chema	call
niyimbila	call me
chema	called
kuzika	calm
zanga	came
kampeni	campaign
-ngachita	can
Kuleka	Cancel
khansa	cancer
kukwaniska	capable
ukulu	capacity
likulu	capital
mazgu ghakulongosora	caption
kola	capture
galimoto	car
ntchito iyo ukugwira	career
makolamakola	careful
makola makola	carefully
kwambula kujipwelelela	careless
kutemwa	caring
wakupala mathabwa	carpenter
kapeti	carpet
karoti	carrot
nyamula	carry
lutilila	carry on
panga	carry out
mulandu	case
ndalama	cash
gulu la sewero	cast
nyumba ya chifumu	castle
wakawaka	casual
chona	cat
kola	catch
gawa la mugulu	category
ng'ombe	cattle
kola	caught
chakwambiska	cause
chenjezgo	caution
kuchenjera	cautious
mphanji	cave
leka	cease
siling'i	ceiling
kondwa	celebrate
selo	cell
pakati	center
vyaka 100	century
cereal	cereal
mwambo	ceremony
simikizga	certain
nadi	certainly
setifiketi	certificate
tcheni	chain
mupando	chair
chakusuzga	challenge
mwabi	chance
zintha	change
chivundungwelu	chaos
kachitiro	character
vimanyisko	characteristics
kulipiska	charge
vyalusungu	charity
wakutowa	charming
tchati	chart
tchimbizga	chase
chezga	chat
tchipa	cheap
pusika	cheat
pusika	cheating
beka	check
matama	cheek
kuseka	cheer
mwakukondwa	cheerful
kuchemerera	cheers
tchizi	cheese
za sayansi	chemistry
kondwa	cherish
nganga	chest
sumba	chew
nkhuku	chicken
fumu	chief
mwana	child
nyengo ya ubana	childhood
bana	children
kuzizima	chill
machumuni	chimneys
chibwano	chin
chokoleti	chocolate
chisankho	choice
sankha	choose
kudumura	chop
ntchito zapanyumba	chores
kututuwirako	chubby
tchalitchi	church
sinamoni	cinnamon
zunguzga	circle
vyakuchitika	circumstances
mweneko chalo	citizen
msumba	city
khumba	claim
longosola makola	clarify
kalasi	class
dongo	clay
chakutowa	clean
fumya	clear
mulembi	clerk
chenjela	clever
kasitomala	client
pa therezi	cliff
vya nyengo	climate
kwela	climb
kukakamira	clingy
nyengo	clock
jala	close
chimbuzi	closet
chakuvwala	cloth
malaya	clothes
mutambo	cloud
kwa mitambo	cloudy
munthu wakuchita vakusekesya	clown
chimanyisko	clue
kuchita mwambura mahara	clumsy
gulu la vinthu venevivo	cluster
kochi	coach
marasha	coal
kunyanja	coast
khothi	coat
khofi	coffee
wamahara	cognitive
mwamwawi	coincidence
kuzizima	cold
zinduka	collapse
kolala	collar
munyane	colleague
wanyane	colleagues
tola	collect
kusonkheska	collection
koleji	college
mutundu	color
chambura mtundu girini maghanoghano wakagona mwaukali	colorless green ideas slept furiously
mutundu	colour
mzati	column
skakula	comb
kusazgana	combination
sazga	combine
zanga	come
zakuno	come here
zani kuno	come on
pembuzga	comfort
wakusanguluska	comfortable
kwiza	coming
kwiza sono sono	coming soon
lamula	command
kuyowoyapo	comment
malonda	commercial
ntchito	commission
kuwikapo mtima	commit
kujipereka	commitment
kujipereka	committed
mbewu	commodity
bwekakweka	common
yowoya	communicate
yowoyiskana	communication
chigaba	community
kuyendela	commute
munyako	companion
kampani	company
kuyaniska	compare
kupambanisya	comparison
chitemwa	compassion
chitemwa	compassionate
kozgana	compatible
pikisana	compete
wa luso	competent
mpikisano	competition
kupikisana	competitive
dandaula	complain
dandaulo	complaint
sazgilapo	complement
malizga	complete
kumalizgikilathu	completely
ndondomeko yakusuzga	complex
kukolerana	compliance
kusuzga	complicated
kuwonga	compliment
panga umo wakhumbila	comply
vipangikenge	composition
pamoza	compound
kupulikiska	comprehension
wakukwana	comprehensive
kunyengerera	compromise
chita bwenu	compulsory
kompyuta	computer
teghelezga	concentrate
ghanoghano	concept
khwaskika	concern
kukhwaskika	concerned
konsati	concert
pa umalilo	conclusion
konkireti	concrete
umo viliri	condition
ndondomeko	conditions
kachitiro	conduct
ungano	conference
ulula	confess
kugomezga	confidence
kugomezga	confident
zomerezga	confirm
mukangano	conflict
hangaika	confused
chitimbaheti	confusion
chivundungwelu	confusion
chachita makola	congrats
wachita makola	congratulation
nkhumuwongani	congratulations
kukolerana	conjunction
lumikiza	connect
kuwina	conquer
tchelu	conscious
kuba maso	consciousness
kuzomerezga	consent
viyezgo	consequences
kujandizga	conservation
kususkana na kusintha kwa vinthu	conservative
muganizile	consider
kughanaghanira	considered
muli	consist
kukolerana	consistency
kusinthasintha	consistent
nyengo zose	constant
kwambura kuleka	constantly
kuqumba	constipation
zenga	construction
kumala	consume
karyelo	consumption
kulumikizgana	contact
kupasilana	contagious
muli	contain
vyamukati	contains
mazuŵa ghano	contemporary
kunanga	contempt
vyamukati	content
pikisana	contest
nkhani	context
chalo	continent
lutilila	continue
chupulikano	contract
lekaniska	contrast
pelekako	contribute
sonkha	contribution
kuwongolera	control
vakususkina	controversial
mwa khumbo linu	convenience
nchakunozga	convenient
dumbiskana	conversation
lutiska	convert
peleka	convey
kusimikizga	convince
wakagomezganga	convinced
wakuphika	cook
kuphika	cooking
kuzizima	cool
ungano	cooperation
kulimbana nawo	cope
chisulo chiswesi	copper
mkatikati	core
ngoma	corn
kona	corner
nozga	correct
mutengo	cost
vyakuvwara	costume
koteji	cottage
thonje	cotton
sofa	couch
khosomola	cough
wangachita	could
khansolo	council
welenga	count
kauntala	counter
chalo	country
ku mizi	countryside
nthegwa	couple
chikanga	courage
nthowa	course
khoti	court
kuwonga	courtesy
muvyala	cousin
benekera	cover
ng'ombe	cow
wamantha	coward
kusanguluska	cozy
nkhanu	crab
lumwa	crack
luso la kupanga vinthu na mawoko	craft
viswaswa	crap
ganda	crash
mata	craving
khwawa	crawl
funtha	crazy
panga	create
kulenga	creative
ngongole	credit
kwawa	creep
chinthu chakofya	creepy
ŵantchito	crew
mulandu	crime
kukhuwara	cringe
suzgo	crisis
nthowa	criteria
chikulu	critical
kususkika	criticism
vyakumela	crop
mbewu	crops
mutanda	cross
chaholi	crow
gulu	crowd
gulu	crowded
korona	crown
kukhumbikwa	crucial
nkhaza	cruel
tchimbila	cruise
gandana	crush
lila	cry
nkhaka	cucumber
kuvumbatirana	cuddle
chikhalilo	culture
kuchenjera mwauzereza	cunning
kapu	cup
kabati	cupboard
kanizga	curb
mankhwala	cure
nyengo yakuwelera ku nyumba	curfew
kukhumba kumanya	curiosity
wakunweka	curious
kunyololoka	curly
ndalama	currency
vyasono	current
sono	currently
tembelela	curse
makatani	curtain
khushoni	cushion
mwambo	custom
kasitomala	customer
wamalango	customs
dumula	cut
kutowa chomene	cute
kupalasa	cycle
kupalasa	cycling
adada	dad
adada	daddy
zuba lililose	daily
mkaka	dairy
dambo	dam
kunangika	damage
imwe!	damn
chakunyewa	damp
vina	dance
ngozi	danger
kuofya	dangerous
ufipa	dark
wakutemweka	darling
mdumura mazgu	dash
data	data
zuba	date
mwana wane mwanakazi	daughter
zuba	day
kufwa	dead
zuba la kujala	deadline
kwambula kupulika	deaf
malana	deal
wakutemweka	dear
Wakutemweka mose	Dear All
kasitomala wakutemweka	Dear Customer
wakutemweka wapapi	Dear Parents
wakutemweka adada	Dear Sir
wakutemwaka wasambili	Dear students
Wakutemweka wumba wose	Dear Team
nyifwa	death
kususkana	debate
ngongole	debit
viswaswa	debris
ngongole	debt
vyaka 10	decade
kunangika	decay
chiponde	deceased
kunyenda	deceive
disembala	december
kwenelera	decent
sankha	decide
naganiza	decided
chiganizo	decision
deki	deck
kana	decline
kuchepa	decrease
kujipereka	dedicated
kujipereka	dedication
zintchito	deed
kunjila pasi	deep
nswala	deer
kuleka kukwaniriska	default
gonjesa	defeat
kujanda	defend
kulongosora	define
nadi	definitely
ng'anamulo	definition
digiri	degree
chedwesa	delay
kuchedwesa	delayed
sisita	delete
mwa dala	deliberate
chambura kulimba	delicate
nowa	delicious
kukondwela	delight
kukondwa	delighted
peleka	deliver
kupeleka	delivered
wapeleka	delivery
pempha	demand
kukhumba mwakuchichizga	demanding
demokalase	democracy
chibanda	demon
woneska	demonstrate
kukanika	denied
unandi	density
dokotala wa mino	dentist
kana	deny
dipatimenti	department
nyamuka	departure
kugomezga	depend
tumizga	deploy
wika	deposit
Kusuzgika maghanoghano	depressed
kusuzgika maghanoghano	depression
kunjila pasi	depth
longosola	describe
kulongosora	description
chupululu	desert
kwenerera	deserve
kupanga	design
udindo	designation
khumbilo	desire
thebulu	desk
mwakugongowa	despair
kukhumbisiska	desperate
kwambula	despite
dizeti	dessert
malo agho ŵakuluta	destination
munthazi	destiny
nanga	destroy
kunanga	destruction
mwakukwana	detail
dongosolo	details
kuwoneseska	detect
kukhazikika mtima	determination
kumanya	determine
simikizga	determined
kukhwasika	devastated
panga	develop
kupanga	developed
chitukuko	development
chipangizo	device
satana	devil
temwesesa	devoted
Dhivehi	Dhivehi
matenda gha shuga	diabetes
kujulika	diarrhea
dayale	diary
dikishonale	dictionary
wakachita	did
ifwa	die
kufwa	died
chakurya chakasintha	diet
kupambana	difference
kupambana	different
chinonono	difficult
jima	dig
ulemu	dignity
kulimbikira	diligent
chakurya cha namise	dinner
kubizga	dip
chindunji	direct
longola	direction
mulongozgi	director
binkha	dirt
kubinkha	dirty
funyako	disable
kupendela	disabled
soba	disappear
gongowa	disappointed
soka	disaster
kutaya	discard
fuma	discharge
nkhalo	discipline
kukhizga	discount
manya kakwamba	discover
nkhaza	discrimination
yowoyiskana	discuss
vidumbilano	discussion
matenda	disease
matenda	diseases
kujibisa	disguise
wakuseluska	disgusting
mbale	dish
mbale	dishes
kuwuskapo	dismiss
peleka	dispatch
kuwoneska	display
kutaya	disposal
mukangano	dispute
mutunda	distance
kupambanapambana	distinct
lekaniska	distinguish
kusuzgika	distress
kugaba	distribution
boma	district
kutangwaniska	disturb
nkhando	ditch
duka	dive
mitundu yakupambanapambana	diverse
kupambanapambana	diversity
gaba	divide
Ungweru	divine
lekana	divorce
tulo	dizzy
chita	do
kasi imwe	do you
ukunitemwa ine	do you love me
dokotala	doctor
pepala	document
chita	does
ntchewe	dog
Dogri	Dogri
kuchita	doing
chidole	doll
malo wakulamulirika nawanyakhe	domain
pamlyango	domestic
wakuluska	dominant
yayi	don't
kufipa mutima yayi	Don't worry
peleka	donate
panga	done
mbunda	donkey
munkhwala	dope
vibiri	double
kayika	doubt
kusagza maji na tirigu	dough
pasi	down
tola	download
kulemba kakwamba	draft
guza	drag
julila	drain
sewelo	drama
lemba	draw
chigawa cha kabati	drawer
chakujambula	drawing
wofi	dread
maloto	dream
malaya	dress
jima khululu	drill
chakumwa	drink
tchika	drive
taya	drop
kutaya	dropped
chilala	drought
lowela	drunk
womila	dry
baka	duck
munyamata	dude
chifukwa	due
chifukwa cha	due to
wambula kupulika	dull
leka kupulika	dumb
taya	dump
utali wa nyengo	duration
munyengo	during
chuvu	dust
ntchito	duty
khala	dwell
kufwa	dying
chimoza	each
yumoza na munyake	each other
khumbilo	eager
chiwombankhanga	eagle
nkhutu	ear
mbele	earlier
luwiloluwilo	early
pokela	earn
makutu	ears
chalo cha pasi	earth
chindindindi	earthquake
kumasuka	ease
waupusu	easily
kumafumiro gha dazi	east
upusu	easy
kurya	eat
kurya	eating
vyachuma	economic
vyachuma	economy
mphepete	edge
kusintha	edit
masambilo	education
zotsatira	effect
wakovwira	effective
kuchita makora	efficiency
wakovwira	efficient
nkhongono	effort
sumbi	egg
mabilingano	eggplant
vakuganiza mwenecho	ego
zinkhondi na zitatu	eight
khumi na vikhondi na vitatu	eighteen
makumi ghankhondi na ghatatu	eighty
kungawa kuti	either
kulongosora	elaborate
chigongono	elbow
mulala	elder
walala	elderly
woneka makora	elegant
elementi	element
ndhlovu	elephant
khumi na chimoza	eleven
wakwenelera	eligible
funyako	eliminate
kunyake	else
kukhozgeka soni	embarrassed
kukhozga soni	embarrassing
kukumbatira	embrace
fuma	emerge
vyamabuchibuchi	emergency
maghanoghano	emotional
kuŵa na chitima	empathy
didimizga	emphasis
kusindikizga	emphasize
wantchito	employee
wantchito	employees
wakulemba ntchito	employer
ntchito	employment
kwambula kanthu	empty
panga kugwira ntchito	enable
kukumana	encounter
limbikiska	encourage
umalilo	end
uwofyi	endangered
kuyezga	endeavor
zizipizga	endurance
kupilira	endure
mulwani	enemy
nkhongono	energy
kukolerana	engage
chinkhoswe	engaged
chinkhoswe	engagement
injini	engine
injiniya	engineer
chizungu	English
kusazga	enhance
kondwa	enjoy
chikulu	enormous
vyakwana	enough
simikizga	ensure
njira	enter
vyakusanguluska	entertainment
chidwi	enthusiasm
ŵakunweka	enthusiastic
vyose	entire
wakwenelera	entitled
chinthu icho chilipo	entity
mulyango	entrance
wamalonda	entrepreneur
nevulupu	envelope
malo	environment
sanji	envy
ndakatulo ya muwiro wakale	epic
matenda	epidemic
kuyana	equal
katundu	equipment
wambura kutemwera	equity
kuyana	equivalent
sisita	eraser
zangika	error
tchimbila	escape
chomenechomene	especially
chimangilizo	essay
esensi	essence
vyakukhumbikwa	essential
kukhazikiska	establish
kukhazikiskika	established
munda	estate
chiyezgelelo	estimate
sachizgo	estimated
na vinyankhevinyakhe	etc
muyilayila	eternal
kakhaliro	ethics
pima	evaluate
kupima	evaluation
nanga	even
nanga uli	even though
usiku	evening
chakuchitika	event
pamanyuma pake	eventually
nyengo zose	ever
waliyose	every
waliyose	everybody
waliyose	everyone
vyose	everything
ukaboni	evidence
wulwani	evil
kufuma kwa mbewu	evolution
kufuma ku	evolve
Ewe	Ewe
chamunyuma	ex
wakuneneska	exact
nthena nthena	exactly
mayeso	exam
beka makola	examine
chiyezgelelo	example
juphizga	exceed
wachita makola	excellent
kulekapo	except
kupatula	exception
vinandi	excess
chomene	excessive
sinthana	exchange
kondwa	excited
chikondwelelo	excitement
kondwesa	exciting
yekhayekha	exclusive
dandaulo	excuse
nkhangweleni	excuse me
koma	execute
kukomeka	execution
wakulongozga	executive
khwimiska thupi	exercise
vuka	exhaust
kuvuka	exhausted
chioneselo	exhibit
chioneskelo	exhibition
chiliko	exist
kukhalako	existence
vyakukhazikika	existing
pakufumila	exit
kuzga	expand
kulindilila	expect
kulindizgika	expected
vyakugula	expenses
kudula	expensive
ivyo wakumanya	experience
kuyezgelela	experiment
kaswiri	expert
kumala ntchito	expired
longosola	explain
kulongosola	explanation
nkhando	exploit
kuwona	explore
kutumizgirana katundu	export
wika pakwelu	expose
kuwonekera pakweru	exposed
wika pakwelu	exposure
yowoya	express
mazgu	expression
sazgilapo	extend
kutalikiska	extended
kusazgilapo	extension
unandi	extent
vyakuwalo	external
zamara	extinct
kusazgilapo	extra
kuunyapo	extract
chakuzirwa chomene	extraordinary
chomene	extreme
chomene	extremely
jiso	eye
maso	eyes
salu	fabric
wakuzizwiska	fabulous
chisko	face
kuchita vinthu kwambura kusuzgika	facilitate
malo	facilities
malo	facility
unenesko	fact
chakukhumbika	factor
fakitale	factory
fundo	facts
kuzimwa	fade
feluka	fail
kutondeka	failed
kutondeka	failure
komoka	faint
chilungamo	fair
mwakukwana	fairly
kanakazi kamasalamusi	fairy
chigomezgo	faith
gomezgeka	faithful
utesi	fake
kuwa	fall
utesi	FALSE
tchuka	fame
kumanyikwa	familiar
banja	family
njara	famine
kutchuka	famous
fani	fan
chapachanya	fancy
wakuzizwiska	fantastic
kutali	far
kulayilana	farewell
munda	farm
mulimi	farmer
kondwesa	fascinating
fashoni	fashion
lubilo	fast
tutuwa	fat
kuofya	fatal
tsoka	fate
dada	father
vuka	fatigue
suzgo	fault
kutemweka	favorite
kutemwela	favour
chakutemweka	favourite
mantha	fear
mphwando	feast
mahumba	feather
chigawa	feature
vigaŵa	features
febuluwale	february
kukhutiskika	fed up
malipiro	fee
lyesa	feed
zgolo	feedback
pulika	feel
pulika	feeling
malundi	feet
kuwa	fell
munyithu	fellow
kupulika	felt
mwanakazi	female
mpanda	fence
chonde	fertile
chikondwelelo	festival
tola	fetch
kuwinya muliwavu	fever
vichoko	few
wachoko	fewer
chibwenzi	fiance
vyakuchezga	fiction
munda	field
kuofya	fierce
khumi na vikhondi	fifteen
makumi ghankhondi	fifty
mbembe	fight
mbembe	fighting
chiŵerengero	figure
kumanya	figure out
fayilo	file
kuzura	fill
kuzula	filled
kanema	film
kubinkha	filthy
paumalilo	finally
vyachuma	finance
vyachuma	financial
sanga	find
fumba fumba	find out
makola	fine
njowe	finger
mala	finish
kumalizga	finished
moto	fire
kukhora	firm
chakwamba	first
zina la kwamba	first name
somba	fish
kukwana	fit
vinkhondi	five
nozga	fix
nozgeka	fixed
mbendela	flag
kung'anima	flash
pakunyoroka	flat
chakunangika	flaw
chambulakunangika	flawless
tchimbira	flee
nyama	flesh
kuwuluka	flew
masuka	flex
masuka	flexible
ndege	flight
benekula	flip
songa	flirt
kusonga	flirting
yandama	float
chigumula	flood
pasi pa nyumba	floor
ufu	flour
kwenda	flow
maluwa	flower
chikhoso	flu
yowo chomene	fluent
mwambura kusuzga	fluently
weya wakutowa	fluffy
cha maji	fluid
chakuduka	fly
kuwika chidwi	focus
nyakhuwinda	fog
nyakhuwinda	foggy
pinda	fold
wabale	folks
londezga	follow
londolozga	follow up
kulondezga	following
chakurya	food
chindele	fool
chindele	foolish
lundi	foot
bola	football
kwa	for
mwa chiyezgelelo	For example
mwachiyelezgero	for instance
tchako	for you
chakukanizgika	forbidden
nkhongono	force
kulosera	forecast
chipumi	forehead
wakuwalo	foreign
thondo	forest
muyilayila	forever
luwa	forget
gowoka	forgive
luwande	forgot
foloko	fork
fomu	form
mwapadera	formal
kale	former
mwamwabi	fortunately
mwabi	fortune
makumi ghanayi	forty
makumi ghanayi na viwiri	forty-two
kunthazi	forward
wakulera	foster
timba	fought
sanga	found
maziko	foundation
vinayi	four
khumi na vinayi	fourteen
nkhandwe	fox
chakusweka	fragile
feremu	frame
dongosolo la ntchito	framework
unkhungu	fraud
wakutemwa vinthu chomene	freak
ulele	free
ufulu	freedom
kuomiska	freeze
kanandi waka	frequency
kanandinandi	frequent
kanandinandi	frequently
viwisi	fresh
chinkhondi	friday
firiji	fridge
munyako	friend
kuchezgeka	friendly
wanyane	friends
chimunyankhe	friendship
kuofyeka	frightened
kuofya	frightening
chule	frog
kufuma	from
kunthazi	front
kukhoma	frozen
vipaso	fruit
kukhumudwisika	frustrated
mafuta gha galimoto	fuel
Fulfulde	Fulfulde
zula	full
sekeska	fun
kugwila ntchito	function
vakukhumbikwa	fundamental
nyifwa	funeral
vyakusekesa	funny
ubweya	fur
kukwiya	furious
mipando	furniture
kulutilila	further
kulitilila apoo	furthermore
kunthazi	future
kupindula	gain
masewera	game
mphambano	gap
galaja	garage
viheni	garbage
munda	garden
galiki	garlic
geti	gate
ungana	gather
ungano	gathering
geji	gauge
peleka	gave
