Ein	a
eyðsæð	apparent
eyðsýniliga	apparently
ákallan	appeal
daga undan	appear
koma fram	appear
koma undan	appear
koma	appearance
útsjónd	appearance
framkoma	appearance
kom til sjóndar	appeared
matarhugur	appetite
súrepli	apple
umsókn	application
søkja	apply
avtala	appointment
meta høgt	appreciate
hámeta	appreciate
meta	appreciate
viðurkenning	appreciation
koma	approach
hóskandi	appropriate
undirtøka	approval
taka undir við	approve
viðurkendur	approved
umleið	approximately
apríl	april
tilivldarligur	arbitrary
arkitektur	architect
arkitekturur	architecture
skráseta	archive
er	are
er tú	are you
er tú upptikin	are you busy
er tú giftur	are you married
er tí gift	are you married
er tú giftur ella stakur	are you married or single
Er tú framvegis har?	Are you still there?
er tú har	are you there
øki	area
træta	argue
próvgrund	argument
koma í	arise
armur	arm
herur	army
kring	around
skipa	arrange
skipan	arrangement
koma einum undir	arrival
koma fram	arrive
komin	arrived
hugmóðligur	arrogant
ørvur	arrow
list	art
grein	article
tilgjørdur	artificial
listafólk	artist
eins	as
sum	as
í	as
so leingi sum	as long as
eins og	as well
eins og	as well as
askur	ash
forskammaður	ashamed
spyrja	ask
spurdi	asked
svevur	asleep
ásjón	aspect
Assamese	Assamese
snarálop	assault
samkoma	assembly
tvørur	assertive
meta um	assess
skatting	assessment
skattaálíknan	assessment
ognir	asset
ognir	assets
áseta	assign
avhending	assignment
tilluting	assignment
hjálpa til	assist
hjálparfólk	assistant
vinmaður	associate
feagi	associate
vinir	associated
felag	association
taka sær	assume
taka	assume
átaka	assume
hugsan	assumption
í	at
hjá	at
í minsta lagi	at least
át	ate
ítróttarmaður	athlete
festa	attach
festur	attached
viðfest fylgiskjal	attachment
álop	attack
roynd	attempt
luttaka	attend
nærvera	attendance
hjávera	attendance
far	attention
gætur	attention
støða	attitude
hugburður	attitude
draga at sær	attract
atdráttarmegi	attraction
dámligur	attractive
eginleiki	attribute
áskoðari	audience
august	august
pápasystir	aunt
mammusystir	aunt
fastir	aunty
sannur	authentic
høvundur	author
mynduleiki	authority
heyst	autumn
tøkur	available
til taks	available
miðal	average
miðaltal	average
sleppa sær undan	avoid
vakin	awake
samsýna	award
varugur	aware
vitan	awareness
burtur	away
øgiligur	awesome
virdur	awesome
hátt virdur	awesome
øgiligur	awful
klombrutur	awkward
lorkutur	awkward
smæðin	awkward
Aymara	Aymara
smábarn	baby
nýføðingur	baby
pinkubarn	baby
gamal drongur	bachelor
ryggur	back
aftur	back
bak	back
baksýni	background
vánaligur	bad
ringur	bad
taska	bag
agn	bait
baka	bake
bakarí	bakery
natron	baking soda
javnvág	balance
bóltur	ball
Bambara	Bambara
banan	banana
band	band
brak	bang
slag	bang
peningastovnur	bank
barr	bar
neyvan	barely
valla	barely
handil	bargain
goyggja	bark
neyvan	barley
bummur	barrier
byrging	barrier
grund	base
staðsettur	based
kjallari	basement
grundleggjandi	basic
í grundini	basically
basilikum	basil
beist	bastard
bunki	batch
bakstur	batch
bað	bath
baðirúm	bathroom
battarí	battery
bardagi	battle
vík	bay
vera	be
ansa tær	be careful
strond	beach
biti	beam
bønir	beans
bjørn	bear
skegg	beard
hugburður	bearing
beist	beast
buka	beat
vakurt	beautiful
vøkur	beautiful
vakur	beautiful
vakurleiki	beauty
gjærdist	became
tíð	because
gerast	become
song	bed
kamar	bedroom
býfluga	bee
búffur	beef
hevur verið	been
bjørn	beer
áðrenn	before
byrjaði	began
byrja	begin
byrjan	beginning
fyri hann	behalf
skikka sær	behave
atburður	behavior
atburður	behaviour
aftanfyri	behind
verða verandi	being
vera	being
sannføring	belief
trúgva	believe
búkur	belly
hoyra til	belong
elskaður	beloved
undir	below
belit	belt
bonkur	bench
bogi	bend
undir	beneath
fyrimunur	benefit
fyrimunur	benefits
við síðuna av	beside
umframt	besides
best	best
bestu eydnu	best of luck
bestu heilsur	best regards
kærar heilsur	best regards
betra	better
bøta um	better
millum	between
ímillum	between
drykkur	beverage
fyri handan	beyond
handan	beyond
Bhojpuri	Bhojpuri
skráskurður	bias
fordómur	bias
partískur	biased
súkkla	bicycle
boð	bid
stórur	big
súkkla	bike
rokning	bill
band	bind
fuglur	bird
føðingardagur	birthday
petti	bit
biti	bit
bíta	bite
biti	bite
beiskur	bitter
svartur	black
blað	blade
ákæra	blame
glopp	blank
teppi	blanket
hvirla	blast
bleikja	bleach
blanda seg við	blend
vælsigna	bless
signaður	blessed
blindur	blind
sæla	bliss
kubbi	block
blóð	blood
blóma	bloom
blása	blow
blátt	blue
óhvassur	blunt
fara umborð	board
borð	board
bátur	boat
kroppur	body
kóka	boil
djarvur	bold
óræddur	bold
band	bond
bein	bone
bók	book
lyft	boost
kraftøkjari	booster
stivli	boot
stivlar	boots
mark	border
keðsemi	bore
keðir seg	bored
keðiligt	boring
føddur	born
læna	borrow
stjóri	boss
bæði	both
hávi	bother
plága	bother
ampi	bother
fløska	bottle
grund	bottom
botnur	bottom
grundarlag	bottom
keypti	bought
spring	bounce
mark	bound
mørk	boundaries
bukka	bow
skál	bowl
eskja	box
drongur	boy
unnusti	boyfriend
armband	bracelet
heili	brain
grein	branch
merkisvøra	brand
djarvur	brave
brot	breach
breyð	bread
bróta	break
morgunmatur	breakfast
bringa	breast
bróst	breast
andi	breath
anda	breathe
aling	breed
múrsteinur	brick
brúður	bride
brúgv	bridge
stutt	brief
ljóst	bright
avbært	brilliant
koma við	bring
bera	bring
vinmaður	bro
flógvi	broad
varpa út	broadcast
brotið	broke
brotin	broken
kustur	broom
beiggi	brother
bróður	brother
svágur	brother in law
kom við	brought
brúnur	brown
busta	brush
spann	bucket
vinur	buddy
fíggjarætlan	budget
skordýr	bug
byggja	build
bygningur	building
bygdi	built
stødd	bulk
tarvur	bull
bølmenni	bully
slag	bump
bundi	bunch
bundi	bundle
knýti	bundle
byrða	burden
grivin	buried
brenna	burn
spreinging	burst
jarða	bury
bussur	bus
runnur	bush
handil	business
handilsskapur	business
bringumynd	bust
stríðast við	busy
íðin	busy
men	but
smør	butter
firvaldur	butterfly
knappur	button
keypa	buy
melda pass	by
framvið	by
við	by
annars	by the way
farvæl	bye
kál	cabbage
kamar	cabinet
hola	cage
køka	cake
kálvur	calf
róp	call
rópa	call
uppkall	call
ring til mín	call me
ringdi	called
ró	calm
kvirra	calm
rógv	calm
kom	came
herferð	campaign
vera førur fyri	can
kunna	can
fáa loyvi til	can
kann ikki	can't
gera til onkis	Cancel
strika	Cancel
krabbamein	cancer
førur	capable
føri	capacity
høvuðsstaður	capital
yvirskrift	caption
fanga	capture
bilur	car
starv	career
varliga	careful
varisliga	carefully
líkasælur	careless
umsorgan	caring
timburmaður	carpenter
teppi	carpet
gularót	carrot
bera	carry
halt á	carry on
liðugur rættur	carry out
føri	case
tilburður	case
reiður peningur	cash
kast	cast
slott	castle
tilvildarligur	casual
ketta	cat
køttur	cat
fangaði	catch
flokkur	category
neyt	cattle
fangaði	caught
grund	cause
orsøk	cause
orsøki	cause
varni	caution
varin	cautious
hola	cave
steðga	cease
loft	ceiling
hátíðarhalda	celebrate
kykna	cell
miðseta	center
øld	century
korn	cereal
halgisiður	ceremony
vissur	certain
vist	certainly
ivaleyst	certainly
við vissu	certainly
prógv	certificate
keta	chain
stólur	chair
avbjóðing	challenge
møguleiki	chance
broyta	change
ruðuleiki	chaos
náttúra	character
eyðkenni	characteristics
skuldseting	charge
útreiðslur	charge
løða	charge
vælgerð	charity
hugtakandi	charming
sjókort	chart
jagstra	chase
prát	chat
ódýrur	cheap
bíligur	cheap
snýta	cheat
sviking	cheating
forðing	check
kekkur	check
skjálki	cheek
fagnaðarróp	cheer
glaður	cheerful
skál	cheers
ostur	cheese
evnafrøði	chemistry
verja um	cherish
talv	chess
bringa	chest
tyggja	chew
høsnarungi	chicken
høvdingi	chief
barn	child
barndómur	childhood
børn	children
kuldi	chill
krím	chill
skorsteinar	chimneys
kjálki	chin
skjokláta	chocolate
val	choice
velja	choose
slag	chop
uppgávur	chores
køggutur	chubby
kirkja	church
kanel	cinnamon
ringrás	circle
umstøður	circumstances
borgari	citizen
býur	city
uppáhald	claim
krav	claim
klára	clarify
klárna	clarify
flokkur	class
leir	clay
reinur	clean
rudda	clear
reinsa	clear
skrivari	clerk
klókur	clever
viðskiftafólk	client
berg	cliff
umhvørvi	climate
klatra	climb
halda fast	clingy
klokka	clock
lata aftur	close
skáp	closet
klútur	cloth
klæði	clothes
skýggj	cloud
skýggja	cloudy
íspegil	clown
spor	clue
klombrutur	clumsy
bólkur	cluster
lærari	coach
venjari	coach
kol	coal
strond	coast
frakki	coat
kaffi	coffee
fatanarligur	cognitive
tilvildarliga	coincidence
kaldur	cold
kalt	cold
falla saman	collapse
kragi	collar
samstarvsfelagi	colleague
samstarvsfelagi	colleagues
innsavning	collect
savn	collection
læristovnur	college
litur	color
litleys grøn hugskot svóvu í øðini	colorless green ideas slept furiously
litur	colour
súla	column
greiða	comb
samanseting	combination
sameina	combine
koma	come
kom higar	come here
kom nú	come on
trpyst	comfort
fýsligur	comfortable
hugnaligur	comfortable
makligur	comfortable
komandi	coming
komi skj´tt	coming soon
kemur skjótt	coming soon
boð	command
viðmerking	comment
lýsing	commercial
starv	commission
binda seg til	commit
avhending	commitment
bundin	committed
vøra	commodity
vanligt	common
samskifta	communicate
samskifti	communication
samfelag	community
pendla	commute
felagi	companion
vertskapur	company
samvera	company
samanbera	compare
samanbering	comparison
samhugi	compassion
samkennandi	compassionate
sameinast	compatible
kappast	compete
førur fyri	competent
dugnaligur	competent
kapping	competition
stríðandi	competitive
klaga	complain
klaga	complaint
fullgerð	complement
fullgera	complete
fullfíggja	complete
fullkomuliga	completely
heild	complex
semja	compliance
torskilt	complicated
fagurorð	compliment
lata sær eftirlíka	comply
samanseting	composition
blandingur	compound
fatan	comprehension
drúgvur	comprehensive
neyðsemja	compromise
tvingaður	compulsory
telda	computer
miðsavna	concentrate
hugtakandi	concept
mál	concern
viðurskifti	concern
søk	concern
stúrin	concerned
áhugaður	concerned
konsert	concert
niðurstøða	conclusion
betong	concrete
støða	condition
treyt	condition
standur	condition
leiðslur	conditions
førsla	conduct
ráðstevna	conference
viðganga	confess
álit	confidence
sannførdur	confident
ivaleysur	confident
vátta	confirm
orrusta	conflict
ørkymlaður	confused
ráðaleysur	confused
ógreiða	confusion
tillukku	congrats
tillukku	congratulation
tillukku	congratulations
samband	conjunction
sambinda	connect
vinna á	conquer
tilvitaður	conscious
tivit	consciousness
samstykki	consent
játtan	consent
avleiðingar	consequences
umsiting	conservation
friðing	conservation
siðbundin	conservative
umhugsa	consider
umhugsa	considered
vera úr	consist
sambæri	consistency
sambærur	consistent
áhaldandi	constant
støðugur	constantly
hart lív	constipation
bygging	construction
brúka	consume
brúk	consumption
samband	contact
smittandi	contagious
innihalda	contain
innihalda	contains
samtíðar	contemporary
vanvirðing	contempt
innhihald	content
styrkiroynd	contest
samanhangur	context
meginland	continent
halda á fram	continue
sáttmáli	contract
mótsetningur	contrast
veita	contribute
íkast	contribution
vald	control
sum ósemja er um	controversial
hentleiki	convenience
hentur	convenient
hóskandi	convenient
samrøða	conversation
trúarskiftingur	convert
flyta	convey
sannføra	convince
sannførdur	convinced
matgera	cook
matgerða	cooking
kul	cool
óført	cool
samarbeiði	cooperation
vera mentur	cope
kopar	copper
tað innasta	core
korn	corn
horn	corner
rætta	correct
kostnaður	cost
útreiðslur	cost
búni	costume
smátta	cottage
silkibummull	cotton
sofa	couch
hosta	cough
kundi	could
umboðsráð	council
telja	count
mótvirka	counter
land	country
bygdarlag	countryside
par	couple
dirvi	courage
skeið	course
gongd	course
rættur	court
kurteisi	courtesy
systkinabarn	cousin
áklæði	cover
kúgv	cow
ræðuskítur	coward
hugnaligur	cozy
krabbi	crab
riva	crack
handverk	craft
lortur	crap
brak	crash
tráan	craving
grulva	crawl
ørur	crazy
skapa	create
skapandi	creative
álit	credit
andstyggiligt fólk	creep
krúpan	creep
óhugnaligur	creepy
manning	crew
brotsgerð	crime
krøkja seg saman	cringe
kreppa tærnar	cringe
krúpa saman	cringe
kreppa	crisis
eyðkenni	criteria
vandin	critical
atfinning	criticism
kjós	crop
avgrøði	crops
krossur	cross
kráka	crow
mannamongd	crowd
ovfyltur	crowded
krúna	crown
týdningarmikið	crucial
óreinur	cruel
langferð	cruise
gresjan	crush
knúsan	crush
knasan	crush
gráta	cry
agurk	cucumber
klemmast	cuddle
mentan	culture
snildur	cunning
koppur	cup
skáp	cupboard
teymur	curb
viðgerð	cure
útgongubann	curfew
forvitni	curiosity
forvitin	curious
purlutur	curly
umferð	currency
streymur	current
rák	current
í løtuni	currently
alsamt	currently
banning	curse
gardina	curtain
koddi	cushion
skikkur	custom
viðskiftafólk	customer
tollur	customs
skera	cut
klippa	cut
fittur	cute
listinlærdur	cute
snildur	cute
súkkla	cycle
súkkling	cycling
pápi	dad
babba	daddy
pápi	daddy
dagliga	daily
mjólkavirki	dairy
byrging	dam
skaði	damage
illbøn	damn
eiður	damn
rai	damp
dansur	dance
vandi	danger
vandamikil	dangerous
myrkur	dark
eygnasteinur	darling
skattur	darling
unnusti	darling
slag	dash
sannroyndir	data
tíð	date
dadla	date
dagur í mánaðinum	date
dóttir	daughter
dagur	day
deyður	dead
evstamark	deadline
deyvur	deaf
avtala	deal
góði	dear
kæri	dear
elskaði	dear
góðu tit øll	Dear All
Góða viðskiftafólk	Dear Customer
Góðu foreldur	Dear Parents
Góð	Dear Sir
Góðu lesandi	Dear students
Góða toymi	Dear Team
deyði	death
kjak	debate
skuld	debit
leivdir	debris
skuld	debt
áratíggju	decade
órøkt	decay
deyður	deceased
svikja	deceive
desembur	december
sámilgur	decent
avgerða	decide
avgjørdi	decided
avgerð	decision
dekk	deck
afturgongd	decline
lækking	decrease
halgaður	dedicated
halgan	dedication
verktakari	deed
djúp	deep
kæri	deer
vanrøkt	default
vansketni	default
ósigur	defeat
verja	defend
greiða frá	define
avgjørt	definitely
ásetan	definition
stig	degree
tarn	delay
seinkað	delayed
strúka burtur	delete
umráða seg	deliberate
fínligur	delicate
lekkurt	delicious
leskiligt	delicious
deiggj	delight
glaður	delighted
bera	deliver
úborið	delivered
avhending	delivery
krevja	demand
krevjandi	demanding
fólkaræði	democracy
illur andi	demon
sýna fram	demonstrate
mótmæla	demonstrate
sýtttur	denied
tættleiki	density
tannlækni	dentist
súta	deny
nokta	deny
deild	department
fráferð	departure
treytað av	depend
spjaða	deploy
trygdarfæ	deposit
tungur í huga	depressed
tunglyndi	depression
dýpd	depth
lýsa	describe
lýsing	description
frágreiðing	description
oyðimørk	desert
uppiborið	deserve
snið	design
navn	designation
hugur	desire
ynski	desire
brell	desire
skriviborð	desk
vónloysi	despair
vónleysur	desperate
hoast	despite
omaná	dessert
mál	destination
lagna	destiny
oyðileggja	destroy
oyðilegging	destruction
staklutur	detail
staklutir	details
varnast	detect
avgerð	determination
taka avgerð um	determine
gera av	determine
avgjørdur	determined
oyða	devastated
menna	develop
verktakari	developed
gongd	development
íkoma	development
menning	development
uppfinning	device
tól	device
amboð	device
djevul	devil
trúfastur	devoted
Dhivehi	Dhivehi
sukursjúka	diabetes
leyst lív	diarrhea
dagbók	diary
orðabók	dictionary
gjørdi	did
doyggja	die
doyði	died
kostur	diet
munur	difference
ørðvísi	different
trupult	difficult
grava	dig
virðing	dignity
íðin	diligent
døgverði	dinner
dypp	dip
beinleiðis	direct
leið	direction
leiðari	director
skittur	dirt
Skitin	dirty
gera óarbeiðsføran	disable
avlamin	disabled
hvørva	disappear
vónsvikin	disappointed
vanlukka	disaster
vrakaður lutur	discard
úttøming	discharge
læra	discipline
avsláttur	discount
varnast	discover
mannamunur	discrimination
trætast	discuss
kjak	discussion
sjúkdómur	disease
sjúka	disease
sótt	disease
sjúkur	diseases
dularbúni	disguise
andstyggiligur	disgusting
rættur	dish
tallerkar	dishes
rættir	dishes
senda heim	dismiss
sending	dispatch
sýna fram	display
ræði	disposal
stríð	dispute
fjarstøða	distance
týðiligur	distinct
skilja	distinguish
neyð	distress
útbýting	distribution
øki	district
órógva	disturb
grøv	ditch
veit	ditch
kava	dive
ólíkur	diverse
fjølbroytni	diversity
skilja	divide
guddómligur	divine
hjúnaskilnaður	divorce
svimbul	dizzy
ger	do
ger tú	do you
elskar tú meg	do you love me
lækni	doctor
skjal	document
ger	does
ger ikki	doesn't
hundur	dog
Dogri	Dogri
gerð	doing
dukka	doll
ríki	domain
hús	domestic
ráðandi	dominant
ikki	don't
ikki hugsa um tað	Don't worry
geva	donate
veita	donate
liðugur	done
gjørdur	done
asni	donkey
doyvingarevni	dope
dupult	double
ivi	doubt
dieggj	dough
niðurgongd	down
niðurtøka	download
taka niður	download
tekna	draft
stríð	drag
tøma	drain
harmleikur	drama
tekna	draw
skuffa	drawer
tekning	drawing
ræðsla	dread
dreymur	dream
kjóli	dress
bora	drill
drikkur	drink
koyra	drive
missa	drop
mist	dropped
turkur	drought
ávirkaður	drunk
fullur	drunk
turrur	dry
dunna	duck
knassi	dude
stavnur	dude
jassur	dude
geva honum tað	due
ið hansara er	due
sambært	due to
doyva	dull
káma	dull
býttur	dumb
ruskpláss	dump
tíðarbil	duration
undir	during
meðan	during
støv	dust
skylda	duty
dvøjla	dwell
doyggjandi	dying
hvør sær	each
hvør	each
hvør einstakur	each
hønn annan	each other
ágrýtin	eager
ørn	eagle
oyra	ear
fyrr	earlier
tíðliga	early
tæna	earn
oyru	ears
jørð	earth
jarðskjálvti	earthquake
hugnaður	ease
lættliga	easily
eystur	east
lætt	easy
eta	eat
et	eat
etur	eating
fíggjarligur	economic
búskapur	economy
egg	edge
rætta	edit
ritstjórnan	edit
útbúgving	education
ávirkan	effect
virkin	effective
virkni	efficiency
virkin	efficient
strev	effort
baks	effort
stríð	effort
egg	egg
aubergina	eggplant
eg	ego
átta	eight
átjan	eighteen
áttati	eighty
annar	either
hvør	either
onnur	either
evna til	elaborate
albogi	elbow
eldri persónur	elder
eldri	elderly
fínur	elegant
lutur	element
fílur	elephant
ellivu	eleven
vælbarur	eligible
sleppa av við	eliminate
ella	else
annar	else
annars	else
foyur	embarrassed
smæðin	embarrassed
snópisligur	embarrassing
fevna	embrace
stingast upp	emerge
koma undan kavi	emerge
neyðstøða	emergency
kenslusamur	emotional
innlivan	empathy
áhreðsla	emphasis
leggja dent á	emphasize
starvsfólk	employee
starvsfólk	employees
arbeiðsgevari	employer
arbeði	employment
tøma	empty
gera føran fyri	enable
fundur	encounter
eggja	encourage
endi	end
komin í vanda	endangered
roynd	endeavor
treysti	endurance
halda á	endure
fíggindi	enemy
orka	energy
binda seg	engage
trúlovaður	engaged
skylda	engagement
motorur	engine
verkfrøðingur	engineer
Enskt	English
hækka	enhance
njóta	enjoy
stuttleika sær við	enjoy
ómetaligur	enormous
ómetaliga stórur	enormous
nóg mikið	enough
tryggja	ensure
fara í	enter
undirhald	entertainment
eldhugi	enthusiasm
eldhugaður	enthusiastic
heilur	entire
allur	entire
hevur rætt til	entitled
veran	entity
inngongd	entrance
arbeiðstakari	entrepreneur
brævbjálvi	envelope
umhvørvi	environment
øvunda	envy
episkt	epic
farsótt	epidemic
eins	equal
útgerð	equipment
útbúnaður	equipment
rættvísi	equity
javngildur	equivalent
viskileður	eraser
feilur	error
rýma	escape
serliga	especially
stutt ritgerð	essay
ritroynd	essay
kjarni	essence
høvuðstáttur	essential
kjarni	essential
stovna	establish
viðurkendur	established
góðs	estate
meting	estimate
mett at vera	estimated
osfr	etc
ævigur	eternal
siðalæra	ethics
meta	evaluate
meting	evaluation
enntá	even
sjálvt	even
tó so	even though
kvøld	evening
tiltak	event
endiliga	eventually
at enda	eventually
nakrantíð	ever
hvør	every
øll	everybody
øll	everyone
alt	everything
prógv	evidence
vitnisburður	evidence
vitnisfrágreiðing	evidence
óreinur	evil
lívmenning	evolution
menna	evolve
Ewe	Ewe
latið	ex
beinrakin	exact
netupp	exactly
neyvt	exactly
akkurát	exactly
próvtøka	exam
kanna	examine
dømi	example
bera av	exceed
frmúr	excellent
vænta	except
undantak	exception
avlop	excess
ómetaligur	excessive
skifti	exchange
spentur	excited
spenningur	excitement
spennandi	exciting
einasti	exclusive
einasta	exclusive
umbering	excuse
orsaka meg	excuse me
útinna	execute
útinning	execution
stjóri	executive
venjing	exercise
útblástur	exhaust
tømdur	exhausted
framsýning	exhibit
framsýningarlutur	exhibit
framsýning	exhibition
vera til	exist
tilvera	existence
sum eru	existing
útgongd	exit
víðka	expand
vænta	expect
væntaður	expected
útreiðslur	expenses
dýrt	expensive
roynd	experience
royndir	experience
roynd	experiment
serfrøðingur	expert
útgingið	expired
greiða frá	explain
frágreiðing	explanation
roysni	exploit
rannsaka	explore
útflutningur	export
koma einum undir	expose
sjónligur	exposed
at vera fyri	exposure
snarboð	express
siga	express
máliska	expression
víðka	extend
útrættur	extended
víðkan	extension
vídd	extent
ytri	external
slóknaður	extinct
eyka	extra
úrdráttur	extract
ómetaligur	extraordinary
útmark	extreme
ógvuliga	extremely
eyga	eye
eygu	eyes
klæði	fabric
sagnkendur	fabulous
andlit	face
lætta um	facilitate
hjálparlutir	facilities
dugnaskapur	facility
sannroynd	fact
táttur	factor
virki	factory
royndur lutur	facts
følna	fade
heyst	fail
miseydnað	failed
feilur	failure
svíma	faint
klára í	fair
marknaður	fair
klárna	fair
rættvísiliga	fairly
álvur	fairy
trúgva	faith
trúgvur	faithful
falskur	fake
heyst	fall
detta	fall
FALSKUR	false
mæti	fame
kendur	familiar
familja	family
kvinnulig	famine
kendur	famous
veittra	fan
fjeppari	fan
hugflog	fancy
ímyndarevni	fancy
tokki	fancy
ótrúligur	fantastic
fjarur	far
fjarlagdur	far
farvæl	farewell
garður	farm
bóndi	farmer
Føroysk	Faroese
hugtakandi	fascinating
móti	fashion
skjótur	fast
feitur	fat
drepandi	fatal
lagna	fate
faðir	father
pápi	father
máttloysi	fatigue
ekkamøði	fatigue
feilur	fault
yndis	favorite
tænasta	favour
yndis	favourite
ottast fyri	fear
ótti	fear
gidli	feast
fjøður	feather
sermerki	feature
andlitsbragd	feature
andlitsskap	features
sermerki	features
andlitsbragd	features
februar	february
hevur fingið nóg mikið	fed up
gjald	fee
geva mat	feed
fóðra	feed
afturgerð	feedback
kenna	feel
kensla	feeling
føtur	feet
datt	fell
maður	fellow
kendi	felt
kvinna	female
garður	fence
burðardygg	fertile
festivalur	festival
fanga	fetch
fepur	fever
fá	few
færri	fewer
unnusti	fiance
fagrar bókmentir	fiction
bøur	field
jørð	field
mark	field
villur	fierce
fimtan	fifteen
fimmti	fifty
berjast	fight
bardagi	fight
bardagar	fighting
skap	figure
mynd	figure
finna útav	figure out
loysa	figure out
fíla	file
fylla	fill
fyltur	filled
filmur	film
skitin	filthy
loksins	finally
endiliga	finally
at enda	finally
fígging	finance
fíggjarligur	financial
finna	find
finn útav	find out
fá greiðu á	find out
reinur	fine
fínur	fine
vakur	fine
fingur	finger
gera liðugt	finish
liðugur	finished
eldur	fire
virki	firm
fyrst	first
fornavn	first name
fiskur	fish
passing	fit
tað at passa	fit
fimm	five
festa	fix
fastur	fixed
flagg	flag
snarljós	flash
íbúð	flat
brek	flaw
lýtaleysur	flawless
flýggja	flee
kjøt	flesh
fleyg	flew
benda	flex
liðiligur	flexible
flúgving	flight
klikk	flip
fjeppan	flirt
fjeppan	flirting
flóta	float
flóð	flood
gólv	floor
mjøl	flour
flóð	flow
vøkstur	flow
blóma	flower
beinkrím	flu
flótandi	fluent
flótandi	fluently
dúnutur	fluffy
væta	fluid
flúgva	fly
brennidepil	focus
mjørki	fog
támut	foggy
brot	fold
vinir	folks
fólk	folks
fylgja	follow
málsframhald	follow up
fyljga	following
matur	food
býttlingur	fool
býttligur	foolish
býttlingur	foot
fótbóltur	football
fyri	for
til dømis	For example
til dømis	for instance
fyri teg	for you
til tín	for you
forboðið	forbidden
máttur	force
styrki	force
forsøgn	forecast
panna	forehead
fremmandur	foreign
skógur	forest
altíð	forever
gloyma	forget
fyrigeva	forgive
gloymdi	forgot
gaffil	fork
skap	form
formligur	formal
fyrrverandi	former
tíbetur	fortunately
lagna	fortune
fjøruti	forty
tvey og fjøruti	forty-two
avgreiða	forward
senda	forward
fostra	foster
bardist	fought
stríddist	fought
funnin	found
stovnan	foundation
fýra	four
fjúrtan	fourteen
revur	fox
viðbrekin	fragile
ramma	frame
grind	framework
svikagerð	fraud
løgin	freak
sleppa leysum	free
fría	free
frælsi	freedom
frysting	freeze
títtleiki	frequency
títt	frequent
ofta	frequently
frískur	fresh
