a	sere
anyways	apantu mae
apart	sisa'la
apartment	apartemen
apologize	pamopporang
apparent	kacinikang
apparently	kacinikanna
appeal	ammeso
appear	munculu
appearance	penampilan
appeared	munjulu
appetite	nafsu nganre
apple	appele
application	aplikasi
apply	annerapkan
appointment	janji sibuntulu
appreciate	pakalabbi
appreciation	apresiasi
approach	anranpiki
approach	anreppesi
appropriate	sangkamma
approval	assimaturu
approve	amminawang
approved	nisetujui
approximately	sekitar
april	april
arbitrary	ero'ero'na
architect	arsitek
architecture	arsitektur
archive	arsip
are	na
are you	ikau kah
are you busy	sibukko
are you married	lebba maki bunting
are you married or single	leba maki buttin ataukah tenapa
Are you still there?	nia injiki anjoreng
are you there	niakki anjoreng
area	kampung
argue	ambanta
argument	alasan
arise	timbulu
arm	lima
army	tantara
around	sekitar
arrange	angngatoro
arrangement	pengaturan
arrival	kabattuan
arrive	battu
arrived	battu
arrogant	tampo
arrow	ana panah
art	seni
article	artikel
artificial	palusu
artist	artisi
as long as	selama
as well	demikian tong
as well as	sibaji
ash	abu
ashamed	siri
ask	akkuta'nang
asked	ni pala
asleep	tattindro
aspect	aspek
Assamese	Tau Assam
assault	annyerang
assembly	perakitan
assertive	asertif
assess	annilai
assessment	annilai
asset	aset
assets	aktiva
assign	appakatantu
assignment	tugasan
assist	ambantu
assistant	asisten
associate	agang
associated	sambunganna
association	asosiasi
assume	naanggap
assumption	pakkanan
at	ri
at least	passingngalinna
ate	nganre
athlete	atlet
attach	addakki
attached	terlampir
attachment	lampiran
attack	annyerang
attempt	usuha
attempt	para cobaang
attend	hadire
attendance	kaniakkang
attention	perhatian
attitude	panggaukang
attract	menarik
attraction	abbeso
attractive	ammeso
attribute	atribut
audience	katte ngaseng
august	agustusu
aunt	tanta
aunty	tanta
authentic	autentik
author	pacarita
authority	otoritas
autumn	musim gugur
available	passadia
average	singkamma kamma
avoid	pailiang
awake	bangung
award	menghadiahkan
aware	sadara
awareness	pangngurangi
away	bella
awesome	gammarak
awful	sanna kodina
awkward	anggali ali
Aymara	Aymara
baby	anak lolo
bachelor	sarajana
back	motere
background	pappasabakkang
bad	kodi
bag	tasa
bait	umpan
bake	ammanggang
bakery	ga'de roti
baking soda	bubuk soda kanre jawa
balance	menyeimbangkan
balance	satimbang
ball	golo
Bambara	Bambara
banana	unti
band	pita
bang	bang
bank	bank
bar	batang
barely	sikede tena
bargain	annawara
bark	kuli
bark	gonggong
barley	jelai
barrier	penghalang
base	basis
based	berdasarkan
basement	basement
basic	dasara
basically	ri poko'na
basil	kemangi
bastard	bajingan
batch	kelompok
bath	ajjene
bathroom	kamar je'ne
battery	batterei
battle	pasiba'jiang
bay	teluk
be	anjari
be careful	ati ati
beach	tamparang
beam	balo
beans	kacang polong
bear	annanggong
bear	ambantui
beard	janggo
bearing	bantalan
beast	olo olo sarring
beat	ripassalah tannangi
beat	ambetai
beautiful	ga'ga
beauty	aggaga
became	anjari
because	napakamma
become	anjari
bed	tampa tinro
bedroom	kamara tindro
bee	lebah
beef	daging sapi
been	le'ba
beer	bir
before	riolo
began	nimulai
begin	pakarammula
beginning	uru
behalf	kepentingan
behave	panggaukan baji
behavior	panggaukan
behaviour	panggaukang
behind	ribokoang
being	rupatau
belief	kepercayaan
believe	tappa
belly	battang
belong	pata
beloved	kesayangan
below	irawa
belt	bangkuli
bench	kadera
bend	ammekko
beneath	irawa
benefit	angnikmati
benefit	manfaat
benefits	manpa'a
beside	risari
besides	lebana anjo
best	paling baji
best of luck	semoga berhasil
best regards	sallang
better	bajikangngang
between	riallakna
beverage	inung
beyond	pantarang
Bhojpuri	Bhojpuri
bias	bias
biased	bias
bicycle	sapeda
bid	pannawaran
big	lompo
bike	sapeda
bill	tagihan
bind	annyikko
bird	jangan jangan
birthday	allo ulang taung
bit	sekedde
bite	gigitan
bite	angngokko
bitter	pai
black	lekleng
blade	pa'dang
blame	menyalahkan
blame	kealahan
blank	kosong
blanket	salimut
blast	allapppo
bleach	pakkebo
blend	accampuru
bless	sare barakka
blessed	abbarakka
blind	buta
bliss	kebahagiaan
block	amblokir
blood	cera'
bloom	bunga
blow	anniup
blue	gau
blunt	tippulu
board	papan
boat	kappala
body	kale
boil	apparere
bold	barani
bond	appasisambung
bone	buku
book	angpesang
book	bo'bo
boost	annyorong
boost	dorongan
booster	appakaramula
boot	boot
boots	sapatu bot
border	berbatasan
bore	la'ju
bored	bosan
boring	bosang
born	nilassukkan
borrow	angnginrang
boss	bos
both	rua ruana
bother	angganggu
bottle	botolo
bottom	dasara
bought	ammalli
bounce	allambung
bound	allumpa
boundaries	batasan
bow	busur
bowl	mangko
box	kota'
boy	ana burakne
boyfriend	bayoang
bracelet	ponti
brain	ota
branch	cabang
brand	cap
brave	barani
breach	allanggara
bread	roti
break	ammari
break	marimari
breakfast	lamba lamba
breast	barambang
breath	nappasa
breathe	anapasa
breed	pammanakkang
brick	bata
bride	buntin baine
bridge	appasisambung
brief	singka
bright	singara
brilliant	akkila
bring	angngerang
bro	agan
broad	luara
broadcast	siaran
broke	bangkrut
broken	panra
broom	pa'barrasa
brother	andik
brother in law	saribbattang ipara
brought	leba angngerang
brown	cokkala
brush	sikat
bucket	karanjeng
buddy	agan
budget	ongkoso
bug	olo olo
build	ambangung
building	bangunan
built	nipare
bulk	ilalang sanna jaina
bull	banteng
bully	aggaratta
bump	allappo
bunch	kalompok
bundle	bundalang
burden	angbebani
burden	beban
buried	takkuburu
burn	attunu
burst	allappo
bury	akkuburu
bus	bis
bush	semak semak
business	usaha
bust	anrampa
busy	sibukki
but	mingka
butter	mentega
butterfly	kupu kupu
button	tombolo
buy	ammalli
by	battu
by the way	omong omong
bye	lammpa ma
cabbage	kubis
cabinet	kabinet
cage	kurungang
cake	kanre jawa
calf	ana sapi
call	akkiok
call	kioki
call me	nakke patatalipong
called	nitalipong
calm	sannang
came	battumi
campaign	kampanye
can	akkulle
can	kulle
can't	tena kulle
Cancel	Cmbatalkan
cancer	kanker
capable	akkulle
capacity	bonena
capital	modala
caption	keterangan
capture	nijakkala
car	oto
career	karier
careful	ati ati
carefully	siagang ati ati
careless	ceroboh
caring	angrawa
carpenter	tukang kayu
carpet	karpe
carrot	wortel
carry	angngerang
carry on	allanjutkan
carry out	erang
case	kasus
cash	doe kes
cast	pakarena
castle	kastil
casual	kasual
cat	miong
catch	ajjakkala
category	kategori
cattle	temak
caught	rijakkala
cause	passabakkan
cause	passaba
caution	appakainga
cautious	waspada
cave	goa
cease	ammantang
ceiling	langi langi
celebrate	aggau gau
cell	terungku
center	tangnga
century	aba
cereal	sereal
ceremony	upacara
certain	tappa
certainly	tantu
certificate	sertifikat
chain	rante
chair	kadera
challenge	tantangan
challenge	annantang
chance	peluang
change	robai
chaos	karicuan
character	sipa'
characteristics	karakteristik
charge	nia biayana
charity	amala
charming	appakalannasa
chart	bagan
chase	angngondang
chat	abbicara bicara
chat	obrolan
cheap	lammoro
cheat	jekkongi
cheating	cecceng
check	paressa
check	ciniki
cheek	pipi
cheer	ammarrang
cheerful	rannu
cheers	bersulang
cheese	keju
chemistry	kimia
cherish	anghargai
chess	catur
chest	barambang
chew	accakma
chicken	jangang
chief	katua
child	ana
childhood	wattu ca'di
children	ana ana
chill	sante
chill	sannang
chill	ammmarimari
chimneys	cerobong
chin	dagu
chocolate	cokelat
choice	pilihang
choose	ammilei
chop	anno'do no'do
chores	jaman ri balla
chubby	tembam
church	gareja
cinnamon	kayu te'ne
circle	bundala
circumstances	keadaan
citizen	warga negara
city	kota
claim	anggugak
claim	annuntuk
clarify	appakasingara
class	kelas
clay	butta lia
clean	annangkasi
clear	annangkasi
clear	tangkasa
clerk	staf
clever	carakdek
client	klie
cliff	jurang
climate	ikilin
climb	manja'
clingy	addingkoleng
clock	jang
close	annongko
closet	lamari
cloth	kaeng
clothes	care care
cloud	rammang
cloudy	awangi
clown	badut
clue	pappijojjo
clumsy	bata bata
cluster	gugus
coach	angngajara
coach	panngajara
coal	batu bara
coast	biring
coat	jas hujang
coffee	kopi
cognitive	kognitif
coincidence	kabatulan
cold	dinging
collapse	runtung
collar	kerah
colleague	agang
colleagues	kolega
collect	appanassa
collection	koleksi
college	kampus
color	cora
colorless green ideas slept furiously	Ide hijau tidak berwarna tidur dengan marah
colour	corak
column	kolong
comb	jangka
combination	kombinasi
combine	appagabung
come	anrapi'
come here	maeki
come on	ambe
comfort	kanyammangngan
comfortable	nyaman
coming	niaka battu sallang
coming soon	tettere nia
command	ammarenta
comment	komentar
commercial	komersial
commission	komisi
commit	anggaukan
commitment	komitmen
committed	berkomitmen
commodity	komoditas
common	singkamma
communicate	appabattu
communication	bicara
community	tau jai
commute	pajappangang
companion	pendamping
company	perusahaan
compare	ambandingkan
comparison	perbandingan
compassion	pangngamaseyang
compassionate	rassi pakamaseang
compatible	kompatibel
compete	bersaing
competent	kompeten
competition	kompetisi
competitive	kompetitif
complain	angngeluh
complaint	akkunraren
complement	melengkapi
complement	pelengkap
complete	pa'lebba
completely	sama sekali
complex	kompele
compliance	kepatuhan
complicated	sokala
compliment	paganti
comply	mematuhi
composition	komposisi
compound	appakase're
comprehension	pemahaman
comprehensive	luara
compromise	berkompromi
compromise	kompromi
compulsory	wajji
computer	komputer
concentrate	konsentrat
concept	konsep
concern	kabingungang
concern	kannawa nawang
concerned	malla malla
concert	konser
conclusion	kesimpulan
concrete	annassa
concrete	beton
concrete	akkassa
condition	kasiatta
conditions	pakkasia
conduct	apaka nia
conference	konferensi
confess	angngakui
confidence	kepercayaan diri
confident	tinggitappak
confirm	pasicoco
conflict	besere
confused	lingu
confusion	lingu
congrats	salama
congratulation	salama'
congratulations	salama'
conjunction	konjungsi
connect	menghubung
conquer	anggaukan
conscious	gassing
consciousness	nisadari
consent	persetujuan
consent	assitujui
consequences	konsekuensi
conservation	konservasi
conservative	konservatif
consider	tassereki
considered	nirekeng rekeng
consist	bonena iami
consistency	konsisten
consistent	konsisten
constant	konstan
constantly	a'mole mole
constipation	sembelit
construction	kontruksi
consume	ammake
consumption	konsumsi
contact	kontak
contact	angbuhungi
contagious	menular
contain	annassa
contains	angngandung
contemporary	kontemporer
contempt	accalla
content	bonena
contest	kontes
context	konteka
continent	benua
continue	appalanju
contract	anggontrak
contract	kontara
contrast	assisala
contrast	pappisalaang
contribute	anyumbang
contribution	kontribusi
control	kontrol
controversial	kontroversial
convenience	kannyamanngan
convenient	assipa
conversation	pabbicarang
convert	mullaf
convert	anrubah
convey	angngangkat
convince	meyakinkan
convinced	yakin
cook	koki
cook	appallu
cooking	appallu
cool	rammusuk
cool	dinging
cooperation	simaturuki
cope	angngatasi
copper	bassi
core	poko
corn	biralle
corner	sudu
correct	annaba
cost	berharga
cost	ongkoso
costume	baju
cottage	pondok
cotton	kapasa
couch	kadera
cough	ta'roko
could	kulle
council	dewan
count	a'rekeng
counter	annahan
countryside	pakampongan
couple	pasangan
courage	kabaranian
course	kursus
court	pengadilan
courtesy	kesopanan
cousin	cikaling
cover	annongkoki
cow	sapi
coward	pengecut
cozy	nyaman
crab	sikuyu
crack	reppe
crack	annreppekki
craft	keahlian
crap	omong kosong
crash	silappo
crash	allappo
craving	kaerokan
crawl	merangkak
crazy	pongoro
create	appare
creative	kreatif
credit	keredit
creep	tau aneh
creepy	appakamalla malla
crew	ana bua kappala
crime	kejahatan
cringe	pakringgi ringikang
cringe	ringi ringi
crisis	karisis
criteria	kriteria
critical	sarringi
criticism	kritik
crop	lamun lamun
crops	lamung lamungang
cross	salib
cross	allimbang
crow	jangan jangan gaga'
crowd	kerumunan
crowded	apparisi barambang
crown	mahkota
crucial	parallu
cruel	kejam
cruise	pelayaran
crush	ancuru
crush	reppeki
cry	ngarru
cucumber	timun
cuddle	siraka
culture	budaya
cunning	licik
cup	cangkiri
cupboard	lamari
curb	mengendalikan
cure	pabballe
cure	angballei
curfew	jam malam
curiosity	keerokan angngisseng
curious	penasaran
curly	gariting
currency	mata doe
current	kamma-kamma anne
currently	kamma kamma anne
curse	assumpah
curtain	tirai
cushion	bantalan
custom	kebiasaan
customer	paballi
customs	bea cukai
cut	potongan
cut	ammolong
cute	cammuri-muri
cycle	siklus
cycling	assapeda
dad	mangge
daddy	mangge
daily	allo allo
dairy	susu
dam	bendungang
damage	kapanrakang
damage	panra
damn	appakaballi ballisi
damp	lembap
dance	annari
danger	bahaya
dangerous	berbahaya
dark	sassang
darling	sayang
dash	a'lari
data	data
date	tanggala
date	parjanjiang
daughter	sari'battang baine
day	allo
dead	mate
deadline	ammari mari
deaf	tongolo
deal	paksinkamai
deal	sicocok
dear	daengku
Dear All	halo ia ngaseng
Dear Customer	Sambalu
Dear Parents	yang terhormat tau toa
Dear Sir	yang terhormat
Dear students	siswa paling ni ngai
Dear Team	tim terhormat
death	kamateang
debate	perdebatan
debit	appantama
debris	puing
debt	inrang
decade	dasawarsa
decay	membusuk
deceased	almarhum
deceive	annipu
december	desember
decent	baji
decide	assisala
decided	ammutusu
decision	pajjari
deck	kartu
decline	annola
decrease	angnguramgi
dedicated	didedikasikan
dedication	dedikasi
deed	akta
deep	lalang
deer	rusa
default	erangan
defeat	ammeta
defeat	kekalahang
defend	ambela
define	mendefinisikan
definitely	tantumi
definition	definisi
degree	derajat
delay	a'nunda
delay	penundan
delayed	terlambat
delete	angngapusu
deliberate	di sengaja
delicate	alusu
delicious	assipa
delight	sukacita
delighted	sannang sanna
deliver	angngantara
delivered	terkirim
delivery	pengiriman
demand	annuntu
demand	pappalakkang
demanding	annuntu
democracy	demokrasi
demon	setang
demonstrate	pakacini
denied	ni tola
density	kepadatan
dentist	dottoro gigi
deny	ambantah
department	departemen
departure	pallampangang
depend	aggantung
deploy	appasiara
deposit	annyetor
deposit	ammoli
depressed	murung
depression	pongoro
depth	kedalamang
describe	aggambarakan
description	keterangan
desert	gurun
deserve	baji'
design	appare rencana
design	desain
designation	sare aren
desire	hasrat
desire	angngeroki
desk	meja
despair	cappu asa
desperate	tappu harapang
despite	manna mamo
dessert	kanre pattonko
destination	tujuan
destiny	takaddere
destroy	angngancuru
destruction	pammanraki
detail	detail
details	detail
detect	deteksi
determination	appakasere
determine	appatantu
determined	bertekad
devastated	angngacuru
develop	appakalompo
developed	nikenbangkan
development	perkembangan
device	kapalarruang
devil	ibilisi
devoted	setia
Dhivehi	Dhivehi
diabetes	garring golla
diarrhea	diare
diary	bo'bo' allo
dictionary	kamusu
did	le'ba nagaukan
die	mate
died	mate
diet	diet
difference	perbedaan
different	sisala
difficult	sawala
dig	angngeke
dignity	siri'
diligent	rajing
dinner	nganre bangngi
dip	appatallang
direct	langsung
direction	oloan
director	direktur
dirt	loro
dirty	ra'masa
disable	caca
disabled	siagang disabilitas
disappear	allannya
disappointed	kecewa
disaster	bencana
discard	ammuang
discharge	appamotere
discipline	disiplin
discount	diskon
discover	anggappai
discrimination	diskriminasi
discuss	ribahas
discussion	diskusi
disease	garring
diseases	garring
disguise	samaran
disgusting	ringi ringi
dish	piring
dishes	pa'bissa panne
dismiss	appabubara
dispatch	annugaskan
display	appakacini
disposal	papelakkang
dispute	pabeseran
distance	bela
distinct	tena sinkamma
distinguish	ampakasisala
distress	kesulitan
distribution	appasiara
district	parrasangang
disturb	angganggu
ditch	kaloran
dive	asselang
diverse	arrupa rupa
diversity	rupa rupa
divide	ambage
divine	assipa karaeng
divorce	assisa'la
divorce	ampisa'lakkang
dizzy	pusing
do	pare
do you	ikau jah
do you love me	nu ngaija
doctor	dottoro
document	dokumen
does	anggaukan
doesn't	tena
dog	kongkong
Dogri	Dogri
doing	sementara anjama
doll	boneka
domain	domain
domestic	rilalang
dominant	dominan
don't	teaki
Don't worry	teaki malla
donate	annyumbang
done	ammari
donkey	keledai
dope	sanna ga'gana
double	pasangan
double	dobolo
doubt	abbata bata
doubt	bata
dough	adonan
down	naung
download	unduh
draft	konsep
draft	appare bagan
drag	annyere
drain	appakalotoro
drama	darama
draw	aggambara
drawer	laci
drawing	agambara
dread	pakkasia malla
dream	bayo bayoan
dream	memimpikan
dress	baju
drill	mengebor
drink	minuman
drink	angnginung
drive	annyetir
drop	mattung
drop	appamattung
dropped	appatugguru
drought	kakalotoran
drunk	nasa'ring
dry	kalotoro
duck	kiti
dude	bung
due	anripa' waktunna
due to	sabab
dull	membosankan
dumb	tolo
dump	ammuang
duration	wattu
during	sibakuk
dust	abu
duty	jama jamang
dwell	mantang
dying	sekarat
each	tungga tunggala
each other	satu sama lain
eager	erok sanna
eagle	jangan jangan tajawali
ear	toli
earlier	labbi riolo
early	rioloang
earn	wassele
ears	toli
earth	lino
earthquake	gempa bumi
ease	kalomoan
easily	siagang gampang
east	angrai
easy	lomolomo
eat	nganre
eating	nganre
economic	ekonomis
economy	ekonomi
edge	biring
edit	edit
education	pendidikan
effect	mempengaruhi
effective	efektif
efficiency	efisien
efficient	efisien
effort	usahana
egg	bayao
eggplant	terong
ego	ego
eight	sagantuju
eighteen	sampuloh sagan tuju
eighty	sagang tuju pulo
either	salah sekrenna
elaborate	appakasingara
elbow	siku
elder	labbi toa
elderly	toa
elegant	anggun
element	elemen
elephant	gajah
eleven	sampulo se're
eligible	ammenuhi sara
eliminate	angngapusu
else	punna tena
embarrassed	siri'siri
embarrassing	appakasiri
embrace	arraka'
emerge	ammunjulu
emergency	keadaan darurat
emotional	emosional
empathy	kamasean
emphasis	tekanan
emphasize	annekankan
employee	ana bua
employees	karyawan
employer	ansare jamang
employment	jama jaman
empty	kosong
enable	memungkinkan
encounter	sigappa
encourage	appejojo
end	cappa
endangered	terancam bahaya
endeavor	berusaha keras
endurance	ketahanan
endure	sessa
enemy	bombe
energy	energi
engage	appantama
engaged	bertunangan
engagement	pertunangan
engine	masina
engineer	insinyur
English	Bahasa Inggirisi
enhance	pajai
enjoy	nasa'ringing
enormous	sanna lompona
enough	ganna'
ensure	appakacoco
enter	appantama
entertainment	hiburan
enthusiasm	assumanga
enthusiastic	sumanga
entire	ngasenna
entitled	berhak
entity	passe'rean
entrance	pakkebu antama
entrepreneur	padanggang
envelope	ampolo
environment	pakaranganna
envy	iri
epic	epik
epidemic	epidemi
equal	sijajara
equipment	ala' ala'
equity	ekuitas
equivalent	sinkamma
eraser	pangngapusu
error	kesalahan
escape	melarikan diri
especially	khususnya
essay	karangan
essence	attojeng
essential	panting
establish	appamenteng
established	nipaenteng
estate	pa'lamungan
estimate	kira kira
estimated	niparakira
etc	rimaraengngannayya pole
eternal	abadi
ethics	etika
evaluate	evaluasi
evaluation	paressai
even	manna poeng
even though	mingka antu
evening	bangngi
event	kajariyang
eventually	ri akhirna
ever	le'ba ma
every	nia' nia'
everybody	ia ngaseng tau
everyone	rupa tau
everything	ia ngaseng
evidence	butti
evil	kejahatan
evolution	evolusi
evolve	attimbo
Ewe	Ewe
ex	bate
exact	pas
exactly	cocoki
exam	ujian
examine	anneliti
example	missala
exceed	alliwaki
excellent	sanna ga'gana
except	anrannuang
exception	panggacualian
excess	kalabian
excessive	ta'liwa liwa
exchange	appassambe
excited	assumangak
excitement	kerannuang
exciting	seru
exclusive	eksklusif
excuse	angngsinkan
excuse me	paramisi
execute	appajappa
execution	eksekusi
executive	eksekutif
exercise	allatih
exercise	latihan
exhaust	kandalappo
exhausted	mangngang
exhibit	pameran
exhibition	pameran
exist	niak
existence	niana
existing	niaka
exit	assulu
expand	appaluara
expect	kukullei
expected	ero
expenses	passulukang
expensive	ka'jalak
experience	panggisengang
experience	pangalamang
experiment	percobaan
expert	pakar
expired	kadaluarsa
explain	anjelaskan
explanation	pappakasingara
exploit	mengeksploitasi
explore	angngola
export	ekspor
expose	annyongke
exposed	tassunke
exposure	appapara
express	inta'
expression	ekspresi
extend	appakala'bu
extended	dipakalabbu
extension	pakkalabuan
extent	sikuntu
external	pantarang
extinct	punah
extra	pannamba
extract	ekstrak
extraordinary	sanna pore
extreme	ekstrim
extremely	sarring
eye	mata
eyes	mata
fabric	kain
fabulous	sarring nyamanna
face	menghadapi
face	tanja
facilitate	appalomolomo
facilities	fasilitas
facility	fasilitas
fact	nyatana
factor	passaba
factory	pabere
facts	fakta
fade	memudar
fail	gagala
failed	gagala
failure	gagala
faint	tena nasadara
fair	adelek
fair	ratai
fairly	secara adele
fairy	peri
faith	ayyakini
faithful	setia
fake	pallusu
fall	mattung
fall	tukguru
false	PALUSU
fame	popularitas
familiar	singai
family	bija pammanakkang
famine	kacipuran
famous	terkenal
fan	penggemar
fan	kipas anging
fancy	nangai
fantastic	fantastis
far	bella
farewell	salamaki
farm	peternakan
farmer	pa'lamung lamung
fascinating	appakalannasa
fashion	mode
fast	tettere
fat	co'mo
fatal	fatal
fate	takaddere
father	mangge
fatigue	maangngang
fault	anu salah
favorite	ningaia
favour	kabajikan
favourite	favorit
fear	cakkuru
fear	mallak
feast	paggaukan
feather	bulu
feature	menonjolkan
feature	ciri
features	fitur
february	februari
fed up	kassala
fee	ongkoso
feed	assare kanre
feedback	masukan
feel	arrasa
feeling	akkasai
feet	bangkeng
fell	appamattung
fellow	agan
felt	nikasia
female	baine
fence	kalli
fertile	suburu
festival	festival
fetch	angngalle
fever	rammusu
few	sikekde
fewer	labi sikede
fiance	tunangan
fiction	fiksi
field	lapangang
fierce	nyeknyere
fifteen	sampulohllima
fifty	limampuloh
fight	pasibbajjang
fight	sabajji
fighting	siba'ji
figure	arrekeng
figure	nomoro
figure out	abboya isseng
file	mengajukan
fill	ammonei
filled	nirassi
film	pelleng
filthy	ra'masa
finally	akhire'na
finance	keuangan
financial	keuanga
find	gappai
find out	ammuntulu
fine	bajik
fine	annabai
finger	karameng
finish	appalebba
finished	le'ba
fire	pepe'
firm	perusahaan
firm	tegasa
first	se're
first name	areng dallekang
fish	juku
fit	bugar
five	lima
fix	appakabaji
fixed	tetap
flag	bandera
flash	kila
flat	lappara
flat	singkammai
flaw	kakurangang
flawless	tena cela
flee	kaburu
flesh	assi
flew	anri'ba
flex	appalenturu
flexible	longgara
flight	panri'bakkan
flip	ammotere
flirt	penggoda
flirting	mangngodo
float	ammawang
flood	banjiri
floor	dapara
flour	tepung
flow	allo'loro
flow	alo'loro
flower	bunga
flu	flu
fluent	lancara
fluently	lancara
fluffy	empuk
fluid	cairan
fly	anri'ba
focus	fokus
focus	memfokuskan
fog	kabut
foggy	berkabut
fold	allappa
folks	ra'ya
follow	amminawang
follow up	appakasambung
following	amminawang
food	kanre-kanreang
fool	tolo
fool	mattolo toloi
foolish	konyol
foot	bangkeng
football	aggolo
for	untuk
For example	ibarana
for instance	contohna
for you	untuk ri katte
forbidden	nipisangkai
force	ammaksa
forecast	ramalan
forehead	abang
foreign	pantarang negara
forest	roman
forever	salamana
forget	luppa
forgive	amma'porang
forgot	ta'kaluppa
fork	garpu
form	ambentuk
form	bentul
formal	resmi
former	leba
fortunately	sawala
fortune	pa'barang barangan
forty	patangpuloh
forty-two	patangpulohanrua
forward	pabattu
foster	angngasuh
fought	berjuang
found	ribuntulu
foundation	dasara
four	appa
fourteen	sampuloh ngappa
fox	rubah
fragile	akkulle
frame	bingkai
framework	kerangka
fraud	tipuan
freak	tau maraeng
free	bebasa
freedom	kabiasan
freeze	ambekukan
frequency	frekuensi
frequent	sarring
frequently	sarroi
fresh	segar
friday	juma
fridge	kulukas
friend	agang
friendly	baji
friends	agang agang
friendship	passaribattangngang
frightened	malla'
frightening	pakamalla
frog	tumpang
from	battu kemae
front	dallekang
frozen	beku
fruit	rappo
frustrated	prustasi
fuel	bahan bakara
Fulfulde	Fulfulde
full	rassi
fun	seru
function	guna
fundamental	anddasara
funeral	pakkuburang
funny	pakakkala
fur	bulu
furious	larro sanna
furniture	parabo
further	labbi bella
furthermore	labbi labbi pa
future	waktu riboko
gain	passawallang
gain	anggappa
game	kare-karenan
gap	celah
garage	garasi
garbage	loro
garden	koko
garlic	laguna kebo
gate	gerebang
gather	angngumpulu
gathering	pa'nassa
gauge	angngukkuru
gave	leba assare
gear	gigi
gender	jenis kelamin
general	tabbala
generally	umumnya
generate	angngassele
generation	generasi
generous	la'bu lima
genius	caradde
genre	genre
gentle	alusu
genuine	asli
gesture	pamentengang
get	gappa
get dressed	ammakaian
get up	bangung
get well soon	tettereki gassing
getting	anggappai
ghost	setan
ghosting	tiba tiba allannya
giant	orassasa
gift	hadia
ginger	jahe
girl	tau lolo
girlfriend	bayoang baine
give	assare
give up	menyerah
given	ni sareang
glad	sannang
glance	lirikan
glass	kaca
glasses	kacamata
glimpse	nicini sinampere
global	global
gloomy	muram
gloves	sarung lima
glow	accora
glow	cora
glow up	amminra siagang appa kalannasa
glue	lem
go	lampa
go ahead	paturusu
go away	lampa ki
go to bed	mangentindro
goal	sasaran
goals	sasaran
goat	bembe
god	karaeng
god bless you	karaenga ta ala ambarakakki
goes	allampa
going	allampa
going to	allampa mange
gold	emas
gone	lannya
gonna	ero
goo	za' dakki siagang kantala
good	porei
good	bajiki
good afternoon	salama allo
good bye	salama ammokoi
