abandoned	hlokomologilwe
burden	morwalo
buried	bolokilwe
burn	fiša
burst	thunya
bury	boloka
bush	sethokgwa
business	kgwebo
bus	pese
bust	sefega
busy	tsene fase
but	eupša
butterfly	serurubele
butter	potoro
button	kunope
buy	reka
bye	šala gabotse
by	ka
by the way	etse
cabbage	khabetšhe
cabinet	kabinete
cage	hoko
cake	khekhe
calf	namane
call	bitša
called	bitšwa
call me	mphounele
calm	homola
came	tlile
campaign	lesolo
Cancel	Khansela
cancer	kankere
can	ka
can't	ka se
capable	bokgoni
capacity	bokgoni
capital	letlotlo
caption	khepšene
capture	golega
career	boiphedišo
careful	hlokomela
carefully	ka tlhokomelo
careless	sa hlokomelego
caring	ba le šedi
car	mmotoro
carpenter	mmetli
carpet	khapete
carrot	borotlelo
carry on	tšwela pele
carry out	phethagatša
carry	rwala
case	molato
cash	kheše
cast	lahla
castle	sebo
casual	ka sewelo
catch	swara
category	legoro
cat	katse
cattle	dikgomo
caught	swerwe
cause	hlola
caution	temošo
cautious	hlokomedišiše
cave	lewa
cease	emiša
ceiling	siling
celebrate	keteka
cell	sele
center	bogareng
century	ngwagakgolo
cereal	serele
ceremony	moletlo
certain	dingwe
certainly	ka nnete
certificate	setifikeiti
chain	tšhaene
chair	setulo
challenge	tlhotlo
chance	sebaka
change	phetogo
chaos	tlhakatlhakano
characteristics	dipharologantšhi
character	semelo
charge	lefiša
charity	lerato
charming	kgahlišago
chart	tšhate
chase	kitimiša
chat	boledišana
cheap	rekega
cheating	hloka potegelo
cheat	sehwirihwiri
check	lekola
cheek	lerama
cheerful	thabilego
cheer	kgothatsa
cheers	go thabiša
cheese	tšhese
chemistry	khemistri
cherish	rata
chess	tšhese
chest	kgara
chew	sohla
chicken	nama ya kgogo
chief	kgoši
childhood	bobjana
child	ngwana
children	bana
chill	go tonya
chimneys	ditšhimele
chin	seledu
chocolate	tšhokolete
choice	kgetho
choose	kgetha
chop	rema
chores	mešongwana
chubby	senatla
church	kereke
cinnamon	sinamone
circle	sediko
circumstances	mabaka
citizen	modudi
city	toropokgolo
claim	baka
clarify	hlatholla
class	phapoši
clay	letsopa
clean	hlwekile
clear	tloša
clerk	tlelereke
clever	hlalefile
client	klaente
cliff	legaga
climate	klaemete
climb	namela
clingy	go itshwarelela
clock	nako
close	tswalela
closet	tlelosete
clothes	diaparo
cloth	lešela
cloud	leru
cloudy	na le maru
clown	rametlae
clue	sekgomaretši
clumsy	boatla
cluster	sehlopha
coach	mohlahli
coal	malahla
coast	lebopo
coat	baki
coffee	kofi
cognitive	monagano
coincidence	sewelo
cold	tonya
collapse	phuhlama
collar	kholara
colleague	mošomimmogo
colleagues	bašomimmogo
collection	kgoboketšo
collect	kgoboketša
college	kholetšhe
colorless green ideas slept furiously	dikgopolo tša go hloka mmala tše talalerata di robetše di befetšwe
color	mmala
colour	mmala
column	kholomo
combination	kopanyo
combine	kopanya
comb	kama
come here	etla mo
come on	etla
come	tla
comfortable	sa boiketlo
comfort	boiketlo
coming soon	tla nako e sa fetšego pelo
coming	tlago
command	laela
comment	swayaswaya
commercial	merero ya kgwebo
commission	khomišene
commit	itlama
commitment	boikgafo
committed	itlamilego
commodity	phahlo
common	tlwaelega
communicate	kgokagana
communication	kgokagano
community	setšhaba
commute	sepela ka senamelwa
companion	mogwera
company	khamphani
compare	bapetša
comparison	papetšo
compassionate	nago le kgaugelo
compassion	kwelobohloko
compatible	swanetšanago
competent	nago le bokgoni
compete	phadišana
competition	phadišano
competitive	phadišanago
complain	belaela
complaint	pelaelo
complement	tlaleletša
complete	feleletše
completely	ka botlalo
complex	raranego
compliance	obamela
complicated	hlakahlakane
compliment	lakaletša mahlogonolo
comply	obamela
composition	tlhamo
compound	kompo
comprehension	kwešišo
comprehensive	kwešišegago
compromise	kwana
compulsory	kgapeletšo
computer	khomphutha
concentrate	hlokomedišiša
concept	lereo
concerned	tshwenyegile
concern	pelaelo
concert	khonsata
conclusion	mafetšo
concrete	khonkriti
condition	peelano
conditions	mabaka
conduct	maitshwaro
conference	khonferentshe
confess	ipolela
confidence	boitshepho
confident	boitshepho
confirm	tiišetša
conflict	thulano
confused	hlakahlakane
confusion	tlhakatlhakano
congrats	ditebogišo
congratulations	malebo
congratulation	tebogišo
conjunction	lekopanyi
connect	kopanya
conquer	thopa
conscious	lemogago
consciousness	temogo
consent	tumelelo
consequences	ditlamorago
conservation	pabalelotlhago
conservative	ila phetogo
consider	akanya
considered	akantšwego
consist	bopša ke
consistency	phegelelo
consistent	kwanago le
constantly	kgafetšakgafetša
constant	tiilego
constipation	go bipela
construction	kago
consume	šomiša
consumption	tšhomišo
contact	kgokaganyo
contagious	fetelago
contain	na le
contains	na le
contemporary	paka ya bjale
contempt	lenyatšo
content	diteng
contest	phadišano
context	kamano
continent	kontinente
continue	tšwela pele
contract	kontraka
contrast	pharologanyo
contribute	na le seabe
contribution	seabe
control	laola
controversial	ngangišanwa
convenience	boiketlo
convenient	loketšego
conversation	poledišano
convert	fetoša
convey	sepetša
convinced	kgotšwe
convince	kgodiša
cook	apea
cooking	go apea
cool	tonya
cooperation	tšhomišano
cope	katana
copper	koporo
core	mooko
corner	sekhutlo
corn	korong
correct	nepagetše
cost	tshenyegelo
costume	khosetumo
cottage	kotase
cotton	leokodi
couch	sofa
cough	gohlola
could	ka
council	lekgotla
count	bala
counter	khaontara
country	naga
countryside	nageng
couple	bobedi
courage	mafolofolo
course	tsela
courtesy	tlhompho
court	kgorotsheko
cousin	motswala
cover	šireletša
coward	lefšega
cow	kgomo
cozy	go iketla
crab	letlapakgerere
crack	monga
craft	tiroatla
crap	mongongoregi
crash	thulana
craving	go duma
crawl	gogoba
crazy	gafago
create	hlama
creative	bokgoni bja go itlhamela
credit	khrediti
creep	gagaba
creepy	gagabago
crew	sehlopha
crime	bosenyi
cringe	ithapeletša
crisis	tlhakatlhakano
criteria	dinyakwa
critical	bohlokwa
criticism	tsholo
crop	puno
crops	merogo
cross	sefapano
crowded	kgobokanetšwego
crowd	lešaba
crow	legokobu
crown	korone
crucial	bohlokwa
cruel	sehlogo
cruise	sepela ka sekepe
crush	šila
cry	lla
cucumber	khukhampa
cuddle	phaphatha
culture	setšo
cunning	bohlale
cupboard	khatepote
cup	komiki
curb	fediša
cure	alafa
curfew	kiletšo
curiosity	ba le phišego
curious	na le kgahlego
curly	nago le leetse
currency	mohuta wa tšhelete
current	bjale
currently	gabjale
curse	rogaka
curtain	garateine
cushion	mosamelo
customer	modiriši
customs	lekgetho
custom	tlwaelo
cute	botse
cut	ripa
cycle	sediko
cycling	go saekela
daddy	papa
dad	papa
daily	tšatši ka tšatši
dairy	maswing
damage	tshenyo
dam	letamo
damn	rogaka
damp	kolobile
dance	tantsha
danger	kotsi
dangerous	kotsi
dark	leswiswi
darling	moratiwa
dash	teše
data	datha
date	letšatšikgwedi
daughter	morwedi
day	letšatši
dead	hlokofetše
deadline	nako ya mafelelo
deaf	mofoafadi
deal	šogana
Dear All	Thobela Ka Moka
Dear Customer	Thobela Moreki
Dear Parents	Thobela Batswadi
dear	rategago
Dear Sir	Thobela Mohlomphegi
Dear students	Thobela baithuti
Dear Team	Thobela Sehlopha
death	lehu
debate	ngangišano
debit	goga
debris	marope
debt	sekoloto
decade	ngwagasome
decay	bola
deceased	mohu
deceive	fora
december	disemere
decent	lokilego
decided	tšerwe sephetho
decide	phetha
decision	sephetho
deck	teka
decline	latola
decrease	fokotša
dedicated	ikgafilego
dedication	kabelo
deed	tiro
deep	tlase
deer	tshepe
default	hlokomologa
defeat	fenya
defend	šireletša
define	hlaloša
definitely	ka nnete
definition	tlhalošo
degree	tikrii
delay	diega
delayed	diegišitše
delete	phumola
deliberate	akanya
delicate	boleta
delicious	monate
delighted	thabile
delight	lethabo
delivered	rometšwe
deliver	romela
delivery	thomelo
demanding	nyakago
demand	nyaka
democracy	temokrasi
demon	letimone
demonstrate	laetša
denied	ganeditše
density	kitlano
dentist	ngaka ya meno
deny	gana
department	lefapha
departure	go tloga
depend	holofela
deploy	romela
deposit	tipositi
depressed	gateletše monaganong
depression	kgatelelo ya monagano
depth	botebo
describe	hlaloša
description	tlhalošo
desert	leganata
deserve	swanelwa ke
designation	sešupo
design	moakanyetšo
desire	kganyogo
desk	teseke
despair	hloboga
desperate	go ba tlalelong
despite	ntle le
dessert	leganata
destination	boyo
destiny	boyo
destroy	senya
destruction	tshenyo
detail	ka botlalo
details	dintlha
detect	lemoga
determination	phegelelo
determined	tiišitše
determine	laetša
devastated	sentšwego
developed	hlabolotšwego
develop	hlabolla
development	tlhabollo
device	setlabela
devil	diabolo
devoted	ineetšego
Dhivehi	Dhivehi
diabetes	twetšiswikiri
diarrhea	letšhollo
diary	maswing
dictionary	pukuntšu
did	dirile
died	hlokofetše
die	hlokofala
diet	dijo
difference	phapano
different	fapanego
difficult	bothata
dig	epa
dignity	seriti
diligent	bokgwari
dinner	matena
dip	tipa
direction	taetšo
direct	lebiša
director	molaodi
dirt	tšhila
dirty	ditqhila
disabled	šitišitšwe
disable	šitiša
disappear	nyamelela
disappointed	nyamile
disaster	masetlapelo
discard	lahla
discharge	lokolla
discipline	kgalema
discount	phokoletšo
discover	utolla
discrimination	kgethollo
discuss	ahlaahla
discussion	therišano
disease	bolwetši
diseases	malwetši
disguise	ikgakanya
disgusting	šišimiša
dishes	dibjana
dish	sebjana
dismiss	raka
dispatch	romela
display	bontšha
disposal	phedišo
dispute	kgakgano
distance	monabo
distinct	go itlhaola
distinguish	fapantšha
distress	kgakanego
distribution	phatlalatšo
district	distriki
disturb	šitiša
ditch	sola
diverse	fapafapana
diversity	pharologano
dive	thinya
divide	arola
divine	sa Modimo
divorce	hlala
dizzy	dikologa
doctor	ngaka
document	tokumente
do	dira
does	dira
doesn't	ga se
dog	mpša
Dogri	Dogri
doing	dira
doll	popi
domain	selete
domestic	ka nageng
dominant	koketšwa
donate	neela
done	phethilwe
donkey	tonki
don't	se ke
Don't worry	Se tshwenyege
dope	toupu
double	gabedi
doubt	doubt
dough	tege
down	fase
download	taonelouta
do you love me	o a nthata naa
do you	naa o
draft	sethalwa
drag	goga
drain	gamola
drama	terama
drawer	mothadi
drawing	sethalwa
draw	thala
dread	poifo
dream	toro
dress	seaparo
drill	tirila
drink	nwa
drive	otlela
drop	lerothodi
dropped	lahlile
drought	komelelo
drunk	tagilwe
dry	omile
duck	lepelepele
dude	mothaka
due	kolotwago
due to	ka lebaka la
dull	sethotho
dumb	foafala
dump	lahla
duration	nako
during	nakong ya
dust	lerole
duty	mošomo
dwell	dula
dying	go hwa
each	nngwe le e nngwe
each other	mongwe le mongwe
eager	phišego
eagle	ntšhu
earlier	pejana
early	pele
earn	gola
ears	ditsebe
earth	lefase
earthquake	tšhišinyego ya lefase
ear	tsebe
ease	bonolo
easily	gabonolo
east	bohlabela
easy	bonolo
eating	go ja
eat	ja
economic	tsheketšo ya tšhelete
economy	ekonomi
edge	morumo
edit	rulaganya
education	thuto
effective	šomago ka tshwanelo
effect	seabe
efficiency	bokgoni
efficient	šoma ka tshwanelo
effort	maitekelo
egg	lee
eggplant	mohlareselee
ego	boithato
eighteen	lesomeseswai
eight	seswai
eighty	masomeseswai
either	e ka ba
elaborate	fahlela
elbow	setšu
elderly	batšofe
elder	motšofe
elegant	bothakga
element	ntlha
elephant	tlou
eleven	lesometee
eligible	maswanedi
eliminate	fediša
else	sengwe
embarrassed	gakanegile
embarrassing	tlontlollago
embrace	gokarela
emergency	tšhoganetšo
emerge	tšwelela
emotional	maikutlo
empathy	kelobohloko
emphasis	kgatelelo
emphasize	gatelela
employee	mošomi
employees	bašomi
employer	mongmošomo
employment	thwalo
empty	se nago selo
enable	kgontšha
encounter	gahlana
encourage	hlohleletša
endangered	lego kotsing
endeavor	phegelelo
end	mafelelo
endurance	kgotlelelo
endure	kgotlelela
enemy	lenaba
energy	enetši
engage	beeletša
engaged	beeleditšwe
engagement	nyalano
engine	entšine
engineer	moentšineere
English	Seisimane
enhance	kaonafatša
enjoy	ipshina
enormous	ntši kudu
enough	lekanetše
ensure	netefatša
entertainment	boithabišo
enter	tsena
enthusiasm	mafolofolo
enthusiastic	na le mafolofolo
entire	ka kakaretšo
entitled	nago le maswanedi
entity	sehlongwa
entrance	mojako
entrepreneur	rakgwebopotlana
envelope	omfolopo
environment	tikologo
envy	duma
epic	thetogale
epidemic	leuba
equal	lekana
equipment	setlabela
equity	tekatekano
equivalent	lekanago
eraser	rapa
error	phošo
escape	ngwega
especially	kudukudu
essay	taodišo
essence	gabotsebotse
essential	bohlokwa
established	hlamilwe
establish	hloma
estate	leruo
estimate	akanya
estimated	akanywago
etc	bjalobjalo
eternal	sa feleng
ethics	maitshwaro
evaluate	lekola
evaluation	tekolo
evening	mantšiboa
even	le ge
even though	le ge e ba
event	tiragalo
eventually	mafelelong
ever	ka mehla
everybody	mang le mang
every	mang le mang
everyone	mang le mang
everything	dilo ka moka
evidence	bohlatse
evil	bobe
evolution	phetogo
evolve	tšweletša
Ewe	Ewe
exactly	thwii
exact	thwii
examine	hlahloba
example	mohlala
exam	tlhahlobo
exceed	fetiša
excellent	gabotse kudu
exception	fapanago
except	ntle le
excess	fetago
excessive	kgolo
exchange	phetošo
excited	go thaba go fetišiša
excitement	lethabo la go fetišiša
exciting	thabile go fetišiša
exclusive	sa akaretšego
excuse	lebalela
excuse me	tshwarelo
execute	phethagatša
execution	phethagatšo
executive	phethiši
exercise	itšhidulla
exhausted	lapile
exhaust	lapiša
exhibition	pontšho
exhibit	pontšho
existence	go ba gona
exist	go ba gona
existing	lego gona
exit	tšwa
expand	katološa
expected	letetšwego
expect	letela
ex	peleng
expenses	ditshenyegelo
expensive	tura
experience	maitemogelo
experiment	maitekelo
expert	setsebi
expired	feletšwe ke nako
explain	hlaloša
explanation	tlhalošo
exploit	diriša bošaedi
explore	utolla
export	romela ntle
expose	bonagatša
exposed	utollotšego
exposure	maitemogelo
express	gatelela
expression	tlhagišo
extended	katološitšwe
extend	katološa
extension	katološo
extent	katološa
external	ka ntle
extinct	fedilego
extract	kgola
extraordinary	fetišišago
extra	tlaleletšo
extreme	kudukudu
extremely	go fetišiša
eye	leihlo
eyes	mahlo
fabric	lešela
fabulous	makatšago
face	sefahlogo
facilitate	sepetša
facilities	ditlabela
facility	senolofatši
fact	ntlha
factor	ntlha
factory	feketheri
facts	dintlha
fade	galoga
failed	paletšwe
fail	palelwa
failure	go palelwa
faint	idibala
fair	lokilego
fairly	ka toka
fairy	kanegelo
faithful	botega
faith	tumelo
fake	ya bofora
fall	wa
false	maaka
fame	go tuma
familiar	tlwaelegilego
family	lapa
famine	tlala
famous	tumile
fancy	kganyoga
fan	mothekgi
fantastic	makatšago
farewell	taelano
far	kgole
farmer	molemi
farm	polase
fascinating	gogago mahlo
fashion	fešene
fast	potlako
fatal	hlolago lehu
fate	pheletšo
father	papa
fatigue	lapile kudu
fat	lekhura
fault	phošo
favorite	mmamoratwa
favour	gaugela
favourite	mmamoratwa
fear	tšhoga
feast	monyanya
feather	lefofa
features	dibopego
feature	sebopego
february	fepreware
fed up	tenegile
feedback	dipoelo
feed	fepa
feel	ikwa
feeling	maikutlo
feet	maoto
fee	tšhelete
fellow	mogagešo
fell	wele
felt	kwelego
female	mosadi
fence	legora
fertile	nonnego
festival	mokete
fetch	nyaka
fever	letadi
fewer	sego kae
few	mmalwa
fiance	molekane
fiction	nonwane
field	tšhemo
fierce	bogale
fifteen	lesomehlano
fifty	masomehlano
fighting	go lwa
fight	lwa
figure out	akanya
figure	seswantšho
file	faele
filled	tladitšwe
fill	tlatša
film	filimi
filthy	ditšhila
finally	mafelelong
finance	matlotlo
financial	tša matlotlo
find	hwetša
find out	utolla
fine	tefišo
finger	monwana
finished	feditše
finish	fetša
fire	mollo
firm	tiilego
first	mathomo
first name	leina
fish	hlapi
fit	swanela
five	hlano
fixed	hlometšwego
fix	lokiša
flag	folaga
flash	gadima
flat	folete
flawless	se nago bosodi
flaw	monga
flee	ngwega
flesh	nama
flew	fofile
flexible	nolo
flex	mena
flight	go fofa
flip	phepheula
flirting	go kalatša
flirt	kalatša
float	phaphama
flood	mafula
floor	lebato
flour	folouru
flow	elela
flower	letšoba
fluent	boreledi
fluently	ka thelelo
fluffy	sekafofa
fluid	seela
flu	mokgohlane
fly	fofa
focus	nepa
foggy	na le kgodi
fog	kgodi
fold	phutha
folks	merafe
following	latelago
follow	latela
follow up	tatišišo
food	dijo
foolish	botlaela
fool	setlaela
football	kgwele ya maoto
foot	leoto
forbidden	lebaletšwe
force	gapeletša
forecast	akanya
forehead	phatla
foreign	ntle
forest	lešoka
forever	go-ya-go-ile
For example	Mohlala
forget	lebala
forgive	lebalela
forgot	lebetše
for instance	mohlala
fork	foroko
formal	semmušo
former	peleng
form	sebopego
fortunately	ka mahlatse
fortune	mahlatse
forty	masomenne
forty-two	masomenne-pedi
forward	pele
for	ya
for you	ya gago
foster	tlwaetša
fought	lwelego
foundation	motheo
found	hweditše
four	nne
fourteen	lesomenne
fox	phukubje
fragile	thubega gabonolo
frame	foreime
framework	tlhako
fraud	bomenetša
freak	selo se se makatšago
freedom	tokologo
free	lokologile
freeze	tšidifatša
frequency	makga
frequent	gantši
frequently	kgafetšakgafetša
fresh	foreše
friday	labohlano
fridge	setšidifatši
friendly	ka lethabo
friend	mogwera
friends	bagwera
friendship	segwera
frightened	tšhošitšwe
frightening	tšhošago
frog	segwagwa
from	go tšwa go
front	ka pele
frozen	tšidifaditšwe
fruit	seenywa
frustrated	hlakahlakane
fuel	makhura
Fulfulde	Fulfulde
full	tletše
fun	boipshino
function	mošomo
fundamental	bohlokwa
funeral	poloko
funny	segišago
fur	boya
furious	galefilego
furniture	fenišara
further	gape
furthermore	go feta fao
future	bokamoso
gain	hwetša
game	papadi
gap	sekgoba
garage	karatšhe
garbage	thogorogo
garden	serapa
garlic	kaliki
gate	mojako
gathering	kopano
gather	kgoboketša
gauge	ela
gave	file
gear	kere
gender	bong
general	kakaretšo
generally	ka kakaretšo
generate	tšweletša
generation	tlhagišo
generous	go se timane
genius	bohlale
genre	mohuta
gentle	botho
genuine	makgonthe
gesture	taetšo
get dressed	apara
get	hwetša
getting	hwetšago
get up	tsoga
get well soon	takaletšo ya pholo ka pela
ghosting	go poka
ghost	sepoko
giant	lekgema
gift	mpho
ginger	gemere
girlfriend	lekgarebe
girl	mosetsana
give	fa
given	filwego
give up	felelwa ke maatla
glad	thabile
glance	kgerulo
glasses	digalase
glass	galase
glimpse	kwešišo
global	lefase
gloomy	nago le manyami
gloves	ditlelafo
glow	phadima
glow up	kganya go ya pele
glue	sekgomaretši
go ahead	eya pele
goal	nepo
goals	dinepo
goat	pudi
go away	tloga
god bless you	modimo a go šegofatše
god	modimo
goes	sepela
go	eya
going to	ya go
going	ya
gold	gauta
gone	sepetše
gonna	tla
good afternoon	thobela
good bye	šala gabotse
goodbye	šala gabotse
good day	letšatši le lebotse
good evening	thobela
good	gabotse
good job	mošomo o mmotse
good looking	lebelelega gabotse
good luck	re go lakaletša mahlatse
good morning my love	thobela moratiwa wa ka
good morning	thobela
goodnight	bošego bjo bobotse
good night	robala gabotse
goods	diphahlo
Google	Google
Google Translate	Google Translate
goo	sekgomaretši
goose	leganse
gorgeous	botse kudu
gossip	hwenahwena
got	hweditše
got it	e hweditše
go to bed	eya malaong
government	mmušo
grab	ubula
grade	kereiti
gradually	gabotsana
graduate	sealoga
grain	lebele
granted	neetšego
grant	mphiwafela
grapes	diterebe
grasp	kwešiša
grass	bjang
