Langai	a
ya byin ai wa	addicted
lu sha shaman kau ai	addicted
ya byin wa ai	addicted
jat la ai rai	addition
kahkyin bang ai lam	addition
ningtau re ai	additional
kahtap jat la ai hte seng ai	additional
hparen ai	address
hkring dat	address
tsup ai	adequate
ra n rawng	adequate
saw na	adjacent
makau kaw na	adjacent
mying shadan	adjective
shadawn ai	adjust
sharai ai	adjust
shakawn ging ai	admire
ra sharawng ai	admire
hkungga ai	admire
yin la ai	admit
hkam la ai	admit
hkan sa galaw ai	adopt
shagrin masat la ai	adopt
bau la ai	adopt
ra tsaw awng sharawng na zawn re ai	adorable
yu ra shingni	adorable
rawt jat ai	advance
htang da ai	advance
ga la ai	advance
jaram	advanced
rawt jat wa ai	advanced
galu kaba wa ai	advanced
akyu ara	advantage
nhkrit ntsang galaw ai lam	adventure
laklai mahkrum madup	adventure
ga shadan	adverb
ndau shabra ai lam	advertisement
ndau shabra laika	advertisement
tsun shana ai	advertising
ndau shabra ai	advertising
nsen shapoi ndau ai	advertising
hpaji jaw ai	advice
bawng	advice
hpaji jaw ai	advise
bawngban jahkrup ai	advise
shiga tsun shana ai	advise
tara kasa	advocate
madi shadaw tsun garum ai	advocate
tsawm htap ai hta myit jung ai hte seng ai	aesthetic
amu magam	affair
galaw ra ai magam	affair
byin nga masa	affair
kang ai	affect
nyam ai	affect
ana ahkya	affection
shawang myit	affection
tsawra myit	affection
dang di ai	afford
dang dep ai	afford
dang di dang dep ai	affordable
hkrit ai	afraid
tsang ai	afraid
ngut ai hpang	after
shani ka-ang	afternoon
shawng de myit mada let	afterwards
kalang bai	again
hpang kalang	again
ninghkap ai	against
asak	age
dat kasa rung	agency
dat kasa dap	agency
ka ang masha	agent
pawt sindawng ai	aggressive
zet let ai	agile
zet tsang ai	agile
lai wa sai ten	ago
myit hkrum ai	agree
hkawn ai	agree
hkap la ai	agree
myit hkrum lam	agreement
ga shaka lai ka	agreement
hkai mu hpaji	agriculture
hkai sun hpaji	agriculture
shawng de	ahead
shawng	ahead
garum madi shadaw ya ai	aid
garum shadaw ai lam	aid
shading ai	aim
di	aim
ban dung	aim
nbung	air
nbungli pa	airport
nbungli daru	airport
lahkum lapran hkawm lam	aisle
hkrit hpa lam du na hpe tau nna shadum ai lam	alarm
hkrit kajawng ai lam	alarm
lauhku	alcohol
chyaru tsa	alcohol
maja let nga ai ten	alert
maja let nga na matu sadi jaw ai nsen	alert
mahkran ai myit	alert
shamu shamawt nga ai	alive
shagrin tawn ai	alive
chyahkrung re ai	alive
yawng	all
rai sai	all right
kaja dik ai lam yawng	all the best
ahkang jaw ai	allow
lam hpaw ya ai	allowed
ahkaw ahkang jaw ai	allowed
ganoi	almost
yawng ngu na ram	almost
langai hkrai	alone
shingtai	alone
ding yang	along
ngut sai	already
magang	already
Rai sai	Alright
rau	also
mung	also
kaga	alternative
raitim mung	although
galoi mung	always
aten tup	always
ayen na	always
mau hpa	amazing
lachyum ndan leng ai	ambiguous
nrup ntsen hpa re ai	ambiguous
yaw shada lam	ambition
grai byin mayu ai myit	ambition
ra sharawng myit	ambition
myit da ai bandung	ambitious
gram lajang ai	amend
grau kaja hkra galaw ai	amend
galai kau ai	amend
kata kaw	amid
ka ang kaw	amid
lapran	among
anhte lapran	among us
jahpan	amount
mani pyaw mai ai	amusing
gawn yu ai lam	analysis
myit san jep yu ai lam	analysis
npawt ndung jep yu ai lam	analysis
jiwoi jiwa	ancestors
kaji kawoi	ancestors
sanghpaw dun ai hpri chying hkyi	anchor
hpri chying hkyi jahkrat ai	anchor
moi na	ancient
shawng ninghpawt	ancient
chaloi nhkoi	ancient
Hte	and
nang gaw	and you
nang taw	and you
sumnung shingdi ai wa	angel
lamu kasa	angel
mara nkap ai wa	angel
masin pawt un ai	anger
sinpawt la htet	anger
nga myek ai	angle
maga mi tingkyeng nna shiga tang madun ai	angle
mada yu ai shara	angle
masin pawt	angry
ka un ai	angry
shapawt ai	angry
du sat	animal
lakre	ankle
ladu hkrum	anniversary
ndau shabra ai lam	announcement
shana shabra ai lam	announcement
myit shanuk shangun ai	annoy
ahtu ai	annoyed
dingsa ai	annoyed
shatsang ai	annoyed
myit jashuk ya ai	annoying
shaning shagu	annual
mying n chye ai wa	anonymous
laga langai	another
kaga langai	another
mahtai	answer
htai ai	answer
nau nna galaw ai	anticipate
tau hkrau n na	anticipate
shawn di chye ai	anticipate
myit shuk lam	anxiety
myit tsang ai lam	anxiety
myit pu ai lam	anxiety
tsang ai	anxious
gara tim	any
ya	anymore
matut nna	anymore
kadai rai rai	anyone
hpa raitim	anything
hpa mi nga nga	anyway
gara hku mi raitim	anyways
gara hku mi nga nga	anyways
kaga san re ai	apart
kaga ran di ai	apart
hka gara mat ai	apart
tsan tsan	apart
gawk	apartment
hpyi shawn ai	apologize
hpyi nyem ai	apologize
asan re ai	apparent
dan leng ai	apparent
dan dawng ai	apparent
mawt	apparently
hpyi lajin ai	appeal
akroi anoi hpyi lajin ai	appeal
shadan ai	appear
dan pru ai	appear
hkrang sai	appear
nsam	appearance
dan pru wa ai	appeared
du sa wa ai	appeared
paw pru wa ai	appeared
n-gup nam ta	appetite
namta	appetite
ja makawk si	apple
makawk si	apple
shawk shawn ai	application
chya ai	application
jai lang ai	application
shawk ai	apply
jai lang ai	apply
masat da ai shara	appointment
masat da ai ten	appointment
masat masa galaw ai	appreciate
sharing hkungga ya ai	appreciation
grai manu shadan ai	appreciation
ladat	approach
htuk manu ai	appropriate
ra sharawng lam	approval
myit hkrum ya ai lam	approval
hkap la ya ai	approve
ra sharawng ya ai	approve
shagrin da ai	approve
myit hkrum ya ai	approve
shagrin da ai	approved
myit hkrum ya ai	approved
daram	approximately
shala ta	april
kam mara re ai	arbitrary
myit shading ai	arbitrary
nta gaw gap kajang ai wa	architect
htinggap ninghkring	architect
gawgap hpaji	architecture
hkam la lu ai	archive
hkap la lu ai	archive
re ma ai	are
rai ma ai	are
nang gaw	are you
Nang kyin taw ai i?	are you busy
dinghku hte re i	are you married
nang dinghku de sai i	are you married
dinghku hte i shingnrai shingtai i	are you married or single
Nang dai kaw sha naw re i?	Are you still there?
nang dai kaw re i	are you there
lamu ga	area
ginra	area
dara hkat ai	argue
ashai ai	argue
ga law ai	argue
dang rang ai lam	argument
ndang kalang	argument
rawt sa ai	arise
lung wa ai	arise
lahpum	arm
hpyen la	army
grup	around
shachyip ai	arrange
tau hkrau hkyen lajang ai	arrange
hkyen lajang ai lam	arrangement
shachyip ai lam	arrangement
du sa ai lam	arrival
du dep ai	arrival
du wa ai	arrival
du ai	arrive
gale ai	arrive
du ai	arrived
gale ai	arrived
raidum ai	arrogant
myit ja ai	arrogant
gawng ai	arrogant
pala	arrow
lashi pala	arrow
shingni hpa ji	art
si mani hpaji	art
shaman hpaji	art
sumroi	article
ta hte galaw ai	artificial
sumla sara	artist
zawn	as
ding sa	as long as
mung	as well
mung	as well as
dap	ash
kaya kahpa	ashamed
san ai	ask
hpyi ai	ask
san ai	asked
jep ai	asked
yup pyaw ai	asleep
yup malap taw ai	asleep
nsam	aspect
ningmu	aspect
Assamese	Assamese
gasat ai	assault
htim gasat ai lam amu	assault
rapdaw zuphpawng	assembly
zuphpawng shara	assembly
madu hkum madu kam lai ai lam	assertive
dinglik ai	assess
sagawn ai lam	assessment
gwi gwi tsun ai	asset
nlawm nmai ai rai	assets
madu lu ai rai	assets
apnawng ya ai	assign
masat da ai	assign
lit apnawng ai	assign
lit	assignment
bungli	assignment
karum ai	assist
lakawn ai	assist
ningrum ningtau di ai	assist
garum ai wa	assistant
ningtau	assistant
mazum ai	associate
kanawn ai	associate
kanawn manang	associate
hkau chyap ai	associated
kanawn mazum ai	associated
hpung	association
hkam la ai	assume
hkam la ai lam	assumption
galaw masu ai lam	assumption
matsing la ai lam	assumption
hta	at
kaw	at
yawm dik	at least
sha ai	ate
ginsup ninghkring	athlete
noi ai	attach
shakap ai	attach
kap ai	attach
let	attached
noi ai	attachment
shakap ai	attachment
kap ai	attachment
gasat ai	attack
hpyen htim ai	attack
htim ai	attack
shakut ai	attempt
lung ai	attend
shang lawm ai	attend
rung lung ai lam	attendance
sa du ai lam	attendance
myit maju jung ai	attention
arawn alai	attitude
myit masa	attitude
Ning mu	attitude
mawng ai	attract
myit shakap la ai	attract
gang ai	attract
mawng ai lam	attraction
myit shakap la ai lam	attraction
yu ra shingni	attractive
shingkang	attribute
seng ang ai	attribute
nsam kumla	attribute
shawa masha	audience
gupshi ta	august
A tung	aunt
a moi	aunty
a tung	aunty
ajet re ai	authentic
majing sawng	authentic
laika ka sara	author
laika ka ai wa	author
ahkang aya	authority
daru magam	authority
nmut ta	autumn
lu mai ai	available
mai lu ai	available
lapran	average
htang da ai shadawn shadang	average
koi yen ai	avoid
koi gam ai	avoid
yup jasu ai	awake
yup hprang ai	awake
kumhpa shagrau ai	award
shagrau kumhpa jaw ai	award
shagrau kumhpa	award
maja ai	aware
sadi ai	aware
maja ai	awareness
ningmu jahpaw ai	awareness
sadi ai	awareness
tsan ai	away
grai hkrak ai	awesome
mauhpa	awesome
tsawmra mi n kaja ai	awful
n chye n kaw re ai	awkward
apai ai	awkward
Aymara	Aymara
manga	baby
brang tung brang la	bachelor
hpang de	back
hting nut ai	back
shingdu na	background
n kaja ai	bad
nhpye	bag
nga n shat noi ai	bait
nga myek shat	bait
nga shat bang ya ai	bait
kakang ai	bake
kabaw ai	bake
ju ai	bake
muk galaw ai shara	bakery
muk ju shara	bakery
muk ka kang ai kaw lang ai hpan	baking soda
joi jang ai	balance
gaw din	ball
Bambara	Bambara
langu si	banana
adawt nsen	band
gyit hkang ai	band
dum sumpyi hpung	band
gayat nsen ngoi ai	bang
ma ja gayat ai	bang
gumhpraw dum	bank
hka hkin gau	bank
tsa seng	bar
dinggrang	bar
sha naw	barely
dai ram sha	barely
manu dara ai	bargain
hpun hpyi	bark
gwi wau ai	bark
hpun kawp	bark
n nga ai daram	barley
ram sha	barley
numdaw numdan	barrier
dingbai ai rai	barrier
ningpawt	base
npawt ru di	base
mahta nna	based
ga npu htap	basement
ru di ru hpang hte seng ai	basic
npawt nhpang	basic
ru di ru hpang hku ngu yang	basically
shingtawn pan	basil
ninggyi	bastard
masha pang	batch
pang	batch
hka shin ai lam	bath
kashin kamun ai	bath
hka shin gawk	bathroom
wan dek	battery
nga rai wan dek	battery
majan pa	battle
gwi wau ai	bay
hpung jut	bay
sadi saka u	be careful
panglai hkin gau	beach
ngau ring	beam
naw kwi	beans
naw lep	beans
shapre ni	beans
tsap	bear
nhka mun	beard
hkawm sa shamu shamawt	bearing
sat lawat	bearing
du sat	beast
matse labye	beast
adup ai	beat
dum ai	beat
gayet ai	beat
Tsawm ai	beautiful
Tsawm htap ai	beautiful
sari rawng ai lam	beauty
tsawm htap ai lam	beauty
byin wa ai	became
hpa majaw nga yang	because
hpa majaw ngu yang	because
tai ai	become
byin wa ai	become
yup ra	bed
yup ku	bed
yup gawk	bedroom
lagat	bee
nga shan	beef
tsa hku	beer
chyaru	beer
ndu shi yang	before
nrai shi yang	before
hpaw hpang ai	began
npawt sharawt ai	began
hpang ai	begin
npawt nhpang	beginning
malai	behalf
gawng malai	behalf
hkawm sa ai	behave
kanawn mazum ai	behave
jak kyi ai	behave
akyang	behavior
sat la wat	behaviour
lai nsam	behaviour
hpang kaw	behind
hpang de	behind
ngam kau da sai	behind
makam masham	belief
kam sham ai lam	belief
kam hpa ai	believe
kan	belly
seng ai	belong
nja nhpra re ai	beloved
nachying tsawra ai	beloved
npu e	below
npu kaw	below
shingkyit	belt
dunghkum galu	bench
gum dagup ai	bend
magaw ai	bend
npu	beneath
akyu ara	benefit
hkam la lu ai akyu	benefits
akyu chyeju	benefits
makau e	beside
hta n-ga	beside
makau mayang e	beside
makau	besides
kaja dik htum	best
gam kaja u ga	best of luck
gam kaja dik u ga	best of luck
hkungga let	best regards
kaja dik htum	better
lapran	between
lu hpa ntsin	beverage
malum ntsin	beverage
tawt lai	beyond
de hpang	beyond
dawn jan ai	beyond
Bhojpuri	Bhojpuri
myi man lata ai	bias
maga ai	bias
myiman lata ai	biased
lagaw leng	bicycle
shaw shingjawng gat hta manu jaw ai	bid
karam ga tsun ai	bid
kaba ai	big
lagaw leng	bike
shabrai	bill
hkang ai	bind
gyit ai	bind
u	bird
shangai nhtoi	birthday
loi mi	bit
ga wa ai	bite
makret	bite
achye	bite
hka ai	bitter
ahka	bitter
achyang amang	black
chyang ai	black
ningshan	blade
mara shagun ai	blame
shara ai	blame
kaman re ai	blank
hpa jawng	blanket
hpun nba	blanket
kapaw ai	blast
hpraw hkra galaw ai	bleach
jahpraw kau ai	bleach
gayau gaya di ai	blend
pan gayau ai	blend
shaman ya ai	bless
shaman ya u ga	blessed
kyaw ai	blind
myi n mu ai	blind
a lu ai lam	bliss
a lu ai chyeju	bliss
lawk	block
tawng	block
pat shingdang ai	block
sai	blood
pu pu ai	bloom
ahpawt ai	blow
bung ai	blow
hpyi	blow
chyamut	blue
maw	blue
amaw	blue
dup dup re ai	blunt
mungbawng hpung	board
hpun pyen pa	board
hkali	boat
li	boat
hkum hkrang	body
prut ai	boil
shadu shaprut ai	boil
gwi ai	bold
dan dawng ai	bold
mu mada ai	bold
lit la ai	bond
ga shaka ka ai	bond
myit hkrum ai	bond
nra	bone
laika	book
laika buk	book
shagreng ai	boost
shagreng ai	booster
kyepdin	boot
kyep din	boots
htungdin	boots
lamu jarik	border
nkam mat ai	bore
jin mat ai	bore
lau mat ai	bore
lagawn	bored
ajin aban	bored
lagawn ai	boring
ajin aban	boring
shangai ai	born
hkoi ai	borrow
shap ai	borrow
lauban	boss
sa hte	boss
Lahkawng yen	both
kanau	bother
kahpu	bother
dumlawng	bottle
soi	bottle
hka ndum	bottle
ndum	bottle
npawt	bottom
htum pa	bottom
mari wa ai	bought
gumtsat ai	bounce
kahtan ai	bounce
masat da ai lam	bound
lam masat ai	bound
lamu ga jarit	boundaries
gum ai	bow
hka wan	bowl
sumpu	box
htwi ai	box
sadek	box
la kasha	boy
sumtsaw	boyfriend
manang la	boyfriend
lahkawn	bracelet
baw nu	brain
lakung	branch
laking	branch
wan nhtaw	brand
dazik	brand
mazut ai	brave
magrau grang ai	brave
shada sadi hka mat ai lam	breach
muk	bread
ga	break
di	break
daw hten ai	break
jahpawt shat	breakfast
sinda	breast
chyu tauba	breast
madoi chyu hpang	breast
nsa sa ai	breath
nsoi nsa	breath
nsa sa ai	breathe
jat wa ai	breed
mayat wa ai	breed
rem ai	breed
wut tawng	brick
num ningnan	bride
num nnan	bride
mahkrai	bridge
ntsa lam	brief
kabrim ai	bright
htoi tu ai	bright
htoi ala ai	brilliant
mala shala ningtawn dik ai	brilliant
la sa wa ai	bring
ba	bro
chyam hkra	broad
dam lada ai	broad
nsen shapoi ai	broadcast
shiga	broadcast
ga mat ai	broke
hten mat ai	broke
hka bra ai	broken
ga ai	broken
ding ye	broom
dun ye	broom
kanau	brother
kahpu	brother
hkau	brother in law
la sa wa ai	brought
amang nsam	brown
amang re ai	brown
arut ai	brush
arut ahpu ai rai	brush
hka pung	bucket
manang	buddy
gumhpraw jahpan	budget
shakrep	bug
gap ai	build
gaw ai	build
nta	building
gaw gap ai	building
gaw gap ai	built
shachyaw ai	built
lit kaba ai rai	bulk
wawm ai rai	bulk
law ai rai	bulk
dumsu u la	bull
nga u la	bull
u su	bull
manang hpe n-gun hte roi a ra di ai wa	bully
n-gun ja shakawng ai wa	bully
roi sha ai	bully
dang sha ai	bully
adawt hkra ai	bump
sumbaw	bunch
u raw	bunch
shing kyang	bunch
majaw	bundle
makai	bundle
abyen	burden
lit li shangun ai	burden
wan nat kau ai	buried
wan hkru hkang nma	burn
nat kau ai	burn
wan nat jahten kau ai	burn
awng ai	burst
makoi mayang ai	bury
lup makoi ai	bury
shawa jawn mawdaw kaba	bus
sum wum	bush
nbyap	bush
hpaga	business
magam	business
bungli	business
num sinda	bust
kyin taw ai	busy
raitim	but
avogadu	butter
ahpyawk ai	butter
pilam la	butterfly
hkai dang	button
pa chyin	button
mari ai	buy
marang e	by
hte	by
shakram dat ai	bye
chyinghkrang ba hkaw	cabbage
bahkaw	cabbage
sumhtang	cabinet
rapdaw rung	cabinet
u rawng	cage
u ra	cage
hkawp ai	cake
udi muk	cake
lagaw labawp	calf
magwi hkalung	calf
dumsu	calf
matut mahkai ai	call
shaga ai	call
ngai hpe shaga rit	call me
nga ma ai	called
shamying ai	called
shaga ai	called
shazim ai	calm
sim ai	calm
sa wa ai	came
sa du ai	came
gasat gala lam	campaign
dang di lu ai	can
n dang di lu ai	can't
n galaw lu ai	can't
dawm kau ai	Cancel
shabai ai	Cancel
mawng ana	cancer
dang di ai	capable
galaw lu na atsam	capacity
ka-ang	capital
ga baw	caption
rim bang ai	capture
rim la ai	capture
mawdaw	car
kan bau bungli	career
bungli	career
sadi	careful
htau li htau la re ai	carefully
sadi maja ai	carefully
ndum ndam re ai	careless
ahpa atang galaw ai	careless
sadi ntawn ai sha	careless
lanu lahku ai	caring
lakawn ai	caring
lak sama	carpenter
sagu panyep	carpet
hkrang pawt	carrot
hpai ai	carry
gun hpai ai	carry
matut u	carry on
matut n na galaw u	carry on
galaw shabyin ai	carry out
mabyin	case
masa	case
gumhpraw	cash
hkrang shala ai	cast
numhkap	castle
langchyi	castle
n myit mada ai sha	casual
kajawng kaja	casual
lanyau	cat
nyau	cat
lu ai	catch
hkwi la ai	catch
rim la ai	catch
amyu baw hpan	category
pang	category
dum su	cattle
yam nga	cattle
rim ai	caught
byin masa	cause
tau shawng sadi jaw ai	caution
hprang maja ai	cautious
sadi sahka myit rawng ai	cautious
ginlawng hku lungpu	cave
gyi mat ai	cave
lung hkrung	cave
ngap ai	cease
hpawng mat ai	cease
shangap kau ai	cease
magaw	ceiling
masat poi galaw ai	celebrate
gawk kaji	cell
dat kawk	cell
ka ang	center
latsa ning	century
jaw prat	century
mam	cereal
nai mam	cereal
poi shingra	ceremony
malawm ni	certain
shang lawm ai	certain
nan	certain
teng ai	certain
teng sha	certainly
teng teng	certainly
lakmat	certificate
sakse laika	certificate
sai ru	chain
sai dawng	chain
dunghkum	chair
ning dat ai	challenge
ahkaw ahkang	chance
galai shai ai	change
myit lai ai	change
sat lawat	character
lai kyang hte seng ai	characteristics
manu jahpu	charge
lit nga ai	charge
htim ai	charge
karum kahtau bungli	charity
ningja rawng ai	charming
tsawm htap ai	charming
chyarang lawk	chart
sumla	chart
hkan rim ai	chase
hkan nang ai	chase
tsun shaga chyai ai	chat
jahta chyai ai	chat
manu hpa ai	cheap
hkyem sa ai	cheap
mawp sha ai	cheat
masu sha ai	cheat
maw sha ai	cheat
maw sha nga ai	cheating
mawp sha nga ai	cheating
masu sha taw ai	cheating
san jep ai	check
jep joi ai	check
sha byi	cheek
myit pyaw	cheer
kabu sum sai ai	cheer
kabu ai	cheerful
pyaw ai	cheerful
kabu gara ai	cheers
chyu sau muk	cheese
nga chyu muk	cheese
dat jasat hpaji	chemistry
shagrau aw law ai	cherish
manu shadan la ai	cherish
chess ginsup ai	chess
sinda	chest
shat lai lai ai	chew
maya ai	chew
u	chicken
u hkai kasha	chicken
ningbaw	chief
kaba htum re ai	chief
du	chief
ma	child
ma prat	childhood
ma ni	children
katsi ai	chill
wan hkut shadaw	chimneys
nhka	chin
hkang amyu	chin
lata la ai ahkang	choice
lata san ai lam	choice
lata ai	choose
azat ai	chop
achye ga ai	chop
atawk ai	chop
nta bungli	chores
di di re ai	chubby
abau adi re ai	chubby
nawku jawng	church
maza shamu hpun	cinnamon
hpun shaman	cinnamon
shing wang	circle
ting wang	circle
masa	circumstances
mungdan masha	citizen
mare	city
hpyi shawn ai	claim
aja awa tsun ai	claim
hpyi ai	claim
tsun jahpra dan ai	clarify
tsun shaleng dan ai	clarify
baw hpan	class
atang	class
tsang madang	class
htu gyi	clay
kagam ga	clay
san seng ai	clean
hkoi ai	clear
san ai	clear
akrin re ai	clear
chyare	clerk
ram ai	clever
rai mari ai wa	client
amu hkrum ai wa	client
ning gam	cliff
du hkra ladaw	climate
lung ai	climb
kap sha ai	clingy
NA kap taw ai	clingy
hkying hkum madun jak	clock
Na ri	clock
pat ai	close
ni ai	close
ni htep ai	close
rai da gawk	closet
sumpan	cloth
bu hpun palawng	clothes
wam wam sumwi	cloud
sumwi	cloud
lamu mung ai	cloudy
pan hte	clown
shing chyai chyai wa	clown
mau hte	clown
byin sa majun	clue
sumbaw	cluster
shingkyang	cluster
sara	coach
nhprang wan n-ga	coal
hkinggau mayan	coast
hpun palawng	coat
ntsa palawng	coat
kaw hpi	coffee
shingran myit	cognitive
mu chye ai lam	cognitive
ang sha a re ai	coincidence
kashung ai	cold
katsi ai	cold
waw	cold
kazut taw ai	collapse
malap galau mat ai	collapse
kabawp taw ai	collapse
lawng du	collar
kaw lan	collar
mu gun manang	colleague
bungli rau galaw manang ni	colleagues
mahkawng tawn ai	collect
lahkawn la ai	collect
shing gyin la ai	collect
mahkawng da ai rai	collection
hkawlik	college
nsam	color
nsam	colour
nlung shadaw	column
shadaw daw hpum	column
pasi	comb
u jaw ban	comb
gumhpawn ai	combination
matut ai	combination
pawng ai	combine
gumhpawn ai	combine
matut ai	combine
sa wa ai	come
sa wa u	come
ndai kaw sa wa rit	come here
sa wa rit	come on
grai	come on
shalan shabran ai	comfort
myit shabran ya ai	comfort
manu ai	comfortable
du wa ra ai	coming
sa wa sai	coming
kade nna yang sa wa na	coming soon
hkang da ai	command
hpaji jaw ai lam	comment
matsun madun ga	comment
hpaga masa	commercial
komishin gumhpraw , komishin hpung	commission
shut hpyit ai	commit
tawt lai ai	commit
ga sadi jaw da sai bungli	commitment
mara yin la ai	committed
hpaga rai	commodity
gun rai	commodity
law malawng	common
matut mahkai ai	communicate
matut mahkai lam	communication
hpung	community
galai hkat ai	commute
ari jaw ai lam hpe shayawm kau ya ai	commute
manang	companion
manaw manang	companion
hpaga hpung	company
shing daw ai	compare
shingdaw ai lam	comparison
matsan dum myit	compassion
matsan dum chye ai myit	compassionate
htap htuk ai	compatible
hkrak ai	compatible
htuk ai	compatible
shing jawng ai	compete
kung gat ai	competent
lawan ai	competent
zen ai	competent
shingjawng poi	competition
shingjawng ai lam	competition
shing jawng ai lam	competitive
put ai	complain
lajin laroi ga	complaint
lachyum shatsup ya ai ga	complement
jahkrum ya ai	complement
hkum tsup sai	complete
jahkum ai	complete
shatusp ai	complete
shangut shakre hkra	completely
jahkum shatsup hkra	completely
jashuk ai rai	complex
hpran la yak ai	complex
chye na yak ai	complex
hkan nang hkan sa ai lam	compliance
shuk ai	complicated
yak ai	complicated
shakawn shagrau ai	compliment
shakawn shagrau lam	compliment
myit ra hkan ya ai	comply
tsun ai hku hkan galaw ya ai	comply
gin shalat da ai	composition
wang	compound
tsi gayau ai	compound
chye na hkawn hkrang lu ai atsam	comprehension
myit hprang ai	comprehensive
dum hprang ai	comprehensive
jahkrup daw dan ai	compromise
n galaw n mai	compulsory
hkrak tup	compulsory
kumpyuta	computer
myit lawm hkra galaw ai	concentrate
kahkyin ai	concentrate
myit maju jung ai	concentrate
hkam la lam	concept
ningmu	concept
myit pu ba ai	concern
seng ang ai	concern
seng ai	concerned
myit hpawm lam	concert
kawn set madun poi	concert
daw dan lam	conclusion
tup hkrak re ai	concrete
dan dan leng leng re ai	concrete
atawng apa	concrete
masa	condition
masa ni	conditions
galaw ai	conduct
mungbawng zuphpawng	conference
bawngban zuphpawng	conference
yin la ai	confess
gwi ai	confidence
kam ai	confident
gwi ai	confident
shagrin ai	confirm
manghkang	conflict
myit hkanu shangun ai	confused
myit shuk hkun ai	confused
kashuk kashak	confusion
sheng mawng sheng hkang	confusion
kabu aw law ai	congrats
kabu aw law ai lam	congratulation
grai kabu lawm sai	congratulations
grai arawng la ai	congratulations
ga matut	conjunction
matut mahkai ai	connect
matut ai	connect
awng padang ninglaw lu ai	conquer
dang kau ai	conquer
maja taw ai	conscious
sadi maja ai	conscious
dumhprang ai	consciousness
myit hta hprang ai	consciousness
shagrau sha a ai	consent
aw law ai	consent
akyu ara hku n na	consequences
de a majaw	consequences
sin la jang da ai lam	conservation
kyem mazing da ai lam	conservation
mungding myu tsaw myit	conservative
mungding myu tsaw myit rawng ai	conservative
Myit shalawm ya ai	consider
myit ya ai	consider
myit ya ai	considered
myit shalawm ya ai	considered
shang lawm ai	consist
lawm ai	consist
galai shai ai lam n nga ai	consistency
dinggrin nga taw ai	consistent
kang ai	constant
kang kang ka ka	constantly
ga sadi dung let	constantly
kan chyat machyi ai	constipation
shachyaw ai	construction
sha kau ai	consume
jahtum kau ai	consume
akyu jashawn ai	consumption
jai lang ai	consumption
matut mahkai ai	contact
matut ai	contact
kap chye ai (ana)	contagious
lawm ai	contain
shawng lawm ai	contain
rawng ai	contains
shang ai	contains
lawm. ai	contains
ban bung masha	contemporary
prat bung masha	contemporary
matsat kau ai	contempt
n gawn n sawn re ai lam	contempt
nkaw nlaw	contempt
malawm	content
ndang kalang hkat ai	contest
shing jawng ai	contest
ga hkrang matut masa	context
dan	continent
matut manoi	continue
matut ai	continue
shagyin kau ai	contract
nbung ai lam	contrast
maga mi de	contrast
bang lawm ai	contribute
shang lawm ai	contribute
bang lawm ai	contribution
shang lawm ai	contribution
hkang ai	control
dara hkat ra na zawn re ai	controversial
manu ai lam	convenience
htap htuk ai lam	convenience
loi ai lam	convenience
manu ai	convenient
mung jahta ga	conversation
hpung kayin ai	convert
galai ai	convert
galai hkra galaw ai	convert
shalai ya ai	convey
tsun dan ai	convey
