a	ah
away	wey
awesome	great
awful	awful
awkward	akwud
Aymara	Aymara
baby	baby
bachelor	bachila
back	back
background	back grung
bad	bad
bag	bag
bait	ketchinz
bake	bake
bakery	bakery
baking soda	bakin soda
balance	wah lef
ball	bawl
Bambara	Bambara
banana	banana
band	ban
bang	bang
bank	bank
bar	bar
barely	haadly
bargain	bargin
bark	bawk
barley	barley
barrier	blackage
base	battam
based	base pan
basement	basement
basic	minimum
basically	mo dan likely
basil	basil
bastard	eediat
batch	batch
bath	showa
bathroom	baachroom
battery	batry
battle	war
bay	bay
be	bi
be careful	bi careful
beach	beach
beam	shine
beans	peas
bear	bear
beard	face 'air
bearing	bearing
beast	mansta
beat	lick
beautiful	pretty
beauty	beauty
became	di appen to
because	caz
become	become
bed	bed
bedroom	bed room
bee	beez
beef	cow meat
been	go deh aready
beer	beer
before	bifor
began	staat
begin	start
beginning	staat
behalf	behaaf a
behave	behave
behavior	behavia
behaviour	behavia
behind	behine
belief	believ
believe	bileev
belly	tomuck
belong	bilang
beloved	luv suh much
below	unda
belt	belt
bench	bench
bend	ben up
beneath	unda
benefit	benifit
benefits	benifit dem
beside	sida
besides	adda dan
best	bess
best of luck	gud luck
best regards	bess regyad
better	betta
between	in between
beverage	drinks
beyond	beyon'
Bhojpuri	Bhojpuri
bias	bias
biased	bias
bicycle	bicycle
bid	bid
big	big
bike	yeng yeng
bill	stress
bind	itch up
bird	bud
birthday	earthstrang
bit	bite
bite	bite
bitter	bitta
black	black
blade	blade
blame	faalt
blank	empty
blanket	towil
blast	loud up
bleach	rub out
blend	blend up
bless	bless
blessed	bless
blind	bline
bliss	feel gud
block	black
blood	blood
bloom	spring up
blow	blow
blue	blue
blunt	dull
board	piece a board
boat	boat
body	bady
boil	bwile
bold	brave
bond	ban
bone	bone
book	buk
boost	boos' up
booster	boosta
boot	chraddaz
boots	boot dem
border	baada line
bore	bore up
bored	borin'
boring	borin'
born	bawn
borrow	barrow
boss	leada
both	bowt
bother	badda
bottle	bakkle
bottom	batty
bought	buy
bounce	bunce
bound	tie up
boundaries	baadas
bow	tie
bowl	basin
box	bax
boy	bwoy
boyfriend	bwoyfren
bracelet	bangle
brain	ead space
branch	branch
brand	bran
brave	brave
breach	breach
bread	bred
break	bruk
breakfast	brukfas
breast	titi
breath	bret
breathe	breed
breed	breed
brick	brick
bride	wife
bridge	brij
brief	undawear
bright	brite
brilliant	smaat
bring	bring
bro	bredda
broad	braad
broadcast	shout e out loud
broke	did bruk up
broken	bruk up
broom	broom
brother	bredda
brother in law	bredda in law
brought	bring
brown	brown
brush	comb up
bucket	buckit
buddy	buddy
budget	plan fi
bug	inseck
build	bil up
building	bildin
built	did bil
bulk	plenty
bull	bull
bully	bad up
bump	bump
bunch	bunch
bundle	bungle
burden	stress
buried	bery inna grung
burn	bun up
burst	buss out
bury	bery
bus	chichi bus
bush	bush
business	bisniz
bust	buss
busy	bizi
but	but
butter	butta
butterfly	buttafly
button	buttn
buy	buy
by	by
by the way	by di way
bye	lata
cabbage	cabbige
cabinet	cubad
cage	cage
cake	cake
calf	baby cow
call	cawl
call me	call mi
called	did call
calm	quiat
came	come agen
campaign	campaign
can	cyan
can't	caan
Cancel	Shet dung
cancer	canca
capable	able
capacity	full up
capital	money
caption	capshan
capture	ketch
car	cyar
career	job
careful	watch out
carefully	careful
careless	cayliss
caring	care nuff
carpenter	boad man
carpet	rug
carrot	carrot
carry	carry
carry on	carry
carry out	bring out
case	cova
cash	money
cast	cyaas
castle	castle
casual	evryday
cat	puss
catch	ketch
category	section
cattle	cackle
caught	ketch
cause	cuz
caution	safe
cautious	move safe
cave	cave
cease	tap
ceiling	sealin'
celebrate	paaty
cell	cell
center	centa
century	undred 'ear
cereal	cerial
ceremony	meetin'
certain	shure
certainly	certin
certificate	cerfiticate
chain	chain
chair	bench
challenge	bad up
chance	try
change	change
chaos	truble
character	karacta
characteristics	ways
charge	chaaj
charity	sarry fah
charming	full a charm
chart	chart
chase	run dung
chat	tawk
cheap	cheep
cheat	gi bun
cheating	a cheat
check	check
cheek	jaw
cheer	cheer up
cheerful	happy
cheers	chays
cheese	cheez
chemistry	chemistry
cherish	luv
chess	chess plate
chest	chess
chew	chew
chicken	fowl
chief	chief
child	pickney
childhood	pickney days
children	pickney dem
chill	kool out
chimneys	chimney dem
chin	chin
chocolate	chaaclit
choice	pick
choose	chuze
chop	cut up
chores	chore dem
chubby	fat
church	church
cinnamon	cinniman
circle	circle
circumstances	issue
citizen	citizen
city	town
claim	claim
clarify	mek dem know
class	catigory
clay	clay
clean	clean
clear	clear
clerk	service
clever	cleva
client	customa
cliff	cliff
climate	climit
climb	clime
clingy	clingy clingy
clock	clack
close	shut
closet	clasit
cloth	claat
clothes	gaament
cloud	cloud
cloudy	cloudy
clown	clown
clue	cluu
clumsy	clumsy
cluster	clusta
coach	coach
coal	coal
coast	coase
coat	jackit
coffee	caffee
cognitive	mental
coincidence	cincidence
cold	coal
collapse	drap dung
collar	calla bone
colleague	calleague
colleagues	calleague dem
collect	tek up
collection	calleckshan
college	calij
color	cola
colorless green ideas slept furiously	colaless green idea sleep wid anga
colour	cula
column	culum
comb	comb
combination	cumbinashan
combine	put togedda
come	cum
come here	cum yah
come on	cum aan
comfort	cumfat
comfortable	comfatable
coming	a cum
coming soon	soon cum
command	deman'
comment	comment
commercial	advatisement
commission	comishan
commit	commit tuh
commitment	commitment
committed	layal
commodity	camadity
common	camman
communicate	communicate
communication	communication
community	yaad
commute	move up
companion	companian
company	bizniz place
compare	luk pon
comparison	comparison
compassion	luv
compassionate	luvin
compatible	guh tigedda
compete	face aaf
competent	able
competition	enemy dem
competitive	competitive
complain	tawk bout
complaint	complain
complement	tawk gud bout
complete	dun
completely	fully
complex	place
compliance	tek tawk
complicated	haad
compliment	big up
comply	guh wid
composition	composishan
compound	premises
comprehension	comprehenshan
comprehensive	comprehensiv
compromise	cause truble
compulsory	haffi 'appen
computer	computa
concentrate	focus
concept	cancep'
concern	cancern
concerned	tink bout
concert	cancert
conclusion	en'
concrete	haad
condition	condishan
conditions	terms
conduct	canduck
conference	meetin'
confess	tawk chut
confidence	hypeness
confident	canfident
confirm	confirm
conflict	prablem
confused	nuh know
confusion	head ache
congrats	cangrats
congratulation	cangrats
congratulations	cangrats
conjunction	join
connect	link up
conquer	beat an teach
conscious	awake
consciousness	consciousniss
consent	permishon
consequences	cansequence
conservation	canservation
conservative	kwyat
consider	cansida
considered	cansida
consist	include
consistency	cansistency
consistent	all eh wile
constant	canstant
constantly	canstantly
constipation	bung up
construction	canstrucshan
consume	nyam
consumption	cansumshan
contact	call up
contagious	ketchin'
contain	cantain
contains	hav een
contemporary	cantempary
contempt	feelins
content	cantent
contest	cantess
context	canteks
continent	cantinent
continue	galang suh
contract	cantrack
contrast	diffrence
contribute	give back
contribution	cantribushan
control	cantrol
controversial	big in
convenience	tuh yuh likin
convenient	canvenient
conversation	tawk
convert	canvert
convey	ekspress
convince	sho' im seh
convinced	convince
cook	run a boat
cooking	run a boat
cool	kool
cooperation	wuk togedda
cope	cope
copper	coppa
core	deep inside
corn	caan
corner	corna
correct	correck
cost	cass
costume	castume
cottage	cattij
cotton	catton
couch	settee
cough	couf
could	coulda
council	council
count	count
counter	counta
country	country
countryside	kuntry
couple	two
courage	bravry
course	course
court	court
courtesy	curtesy
cousin	cuzzin
cover	cova
cow	cow
coward	cowad
cozy	relax
crab	crab
crack	crack
craft	craaf
crap	crap
crash	lik up inna
craving	craven
crawl	crawl
crazy	mad
create	mek
creative	creative
credit	barrow
creep	creep
creepy	scary
crew	squad
crime	crime
cringe	muscle up
crisis	crisis
criteria	criteria
critical	critical
criticism	back tawk
crop	food
crops	plant dem
cross	guh ova e
crow	crow
crowd	crowd
crowded	full up
crown	crown
crucial	impotant
cruel	wickid
cruise	cruz
crush	crush
cry	bawl
cucumber	cucumba
cuddle	hug up
culture	culcha
cunning	tricky tricky
cup	cup
cupboard	cupbad
curb	curve
cure	cure
curfew	curfew
curiosity	faasniss
curious	inquizitive
curly	curly curly
currency	money
current	current
currently	now
curse	cuss out
curtain	curtin
cushion	cushon
custom	custom
customer	custama
customs	custom dem
cut	cut up
cute	pretty
cycle	cycle
cycling	ride
dad	fada
daddy	popa
daily	evry day
dairy	dairy
dam	dyam
damage	mash up
damn	dyam
damp	wet
dance	move yuh badi
danger	danja
dangerous	deadly
dark	black
darling	dawlin
dash	chrow
data	infamashan
date	date
daughter	daughta
day	day
dead	gaan
deadline	deadline
deaf	nah 'ear gud
deal	deal
dear	dear
Dear All	evrybadi
Dear Customer	Dear customa
Dear Parents	Dear fadda
Dear Sir	Dear Sah
Dear students	Dear students
Dear Team	Dear Comreds
death	det
debate	aague
debit	pay up
debris	piece piece
debt	money weh owe
decade	deckade
decay	ratten
deceased	ded
deceive	chrick
december	decemba
decent	nice
decide	decide
decided	did decide
decision	dicision
deck	deck
decline	nah aksep
decrease	slow dung
dedicated	luv up
dedication	luv
deed	deed
deep	deep
deer	deer
default	default
defeat	beat up
defend	tan up fi
define	gi di meanin
definitely	but muss
definition	meanin'
degree	educashan
delay	tek lang
delayed	nuh ready fi start yet
delete	chrow weh
deliberate	spiteful
delicate	saaf
delicious	sweet bad
delight	delite
delighted	delite
deliver	deliva
delivered	drap aaf
delivery	delivery
demand	tek
demanding	bossy bossy
democracy	democracy
demon	evil spirit
demonstrate	show
denied	nuh mek
density	density
dentist	dentist
deny	deny
department	depaatment
departure	depawcha
depend	depen pon
deploy	let out
deposit	puh dung
depressed	did dipress
depression	dipreshan
depth	det
describe	tawk bout
description	discripshan
desert	desert
deserve	deserve
design	mek up
designation	paaty
desire	desire
desk	deks
despair	sadniss
desperate	desparet
despite	dispite
dessert	dissurt
destination	destination
destiny	destiny
destroy	distroy
destruction	mash up
detail	detail
details	detail dem
detect	feel
determination	drive
determine	determin'
determined	trang will
devastated	mash up
develop	develop
developed	did develop
development	development
device	divice
devil	satan
devoted	layal
Dhivehi	Dhivehi
diabetes	shuga
diarrhea	wata do do
diary	diary
dictionary	dicshanery
did	did
die	die
died	did ded
diet	dyat
difference	diffrentniss
different	diffrent
difficult	haad
dig	dig up
dignity	dignity
diligent	haad wurkin
dinner	dinna
dip	dip
direct	show
direction	wich way
director	directa
dirt	dut
dirty	dutty
disable	disable
disabled	disable
disappear	lef out
disappointed	feel low
disaster	dizasta
discard	chrow weh
discharge	let aaf
discipline	behavia
discount	discount
discover	fine
discrimination	discriminashan
discuss	chat bout
discussion	debate
disease	sickness
diseases	sickness dem
disguise	disguise
disgusting	nasty
dish	dish
dishes	dish dem
dismiss	dismiss
dispatch	dispatch
display	show
disposal	dash wey
dispute	prablem
distance	lent
distinct	definit
distinguish	diffrenshiate
distress	distress
distribution	gi out
district	districk
disturb	disturb
ditch	ditch
dive	jump inna
diverse	diverse
diversity	diversity
divide	split up
divine	divine
divorce	divowse
dizzy	dizzy
do	duh
do you	yuh duh
do you love me	yuh lum mi
doctor	dacta
document	paypa
does	do
doesn't	nuh
dog	dawg
Dogri	Dogri
doing	a duh
doll	dolly
domain	delete
domestic	domestic
dominant	cantrollin
don't	dont eh
Don't worry	nuh worry
donate	gi
done	dun
donkey	dankey
dope	gud
double	duble
doubt	doubt
dough	raw flowa
down	dung
download	dunload
draft	ruff draaf
drag	drag
drain	drain
drama	drama
draw	draw
drawer	draw
drawing	paintin
dread	rasta
dream	vijon
dress	frack
drill	drill
drink	drink dung
drive	drive
drop	drap
dropped	fall dung
drought	wata dun aaf
drunk	drunk
dry	dry
duck	duck
dude	ombre
due	due
due to	due tuh
dull	dull
dumb	cyan tawk
dump	chrow weh
duration	duration
during	durin'
dust	duss
duty	duty
dwell	liv
dying	a ded
each	every
each other	each ada
eager	caan wait
eagle	burd
ear	eyz
earlier	earlia
early	soon
earn	earn
ears	ear dem
earth	wurl
earthquake	eartquake
ease	free up
easily	easy easy
east	eas'
easy	easy
eat	nyam
eating	a eat
economic	economic
economy	icanamy
edge	eje
edit	rite ova
education	education
effect	effeck
effective	effective
efficiency	ifficiency
efficient	shaap
effort	effut
egg	egg
eggplant	eggplant
ego	ego
eight	eight
eighteen	eighteen
eighty	eighty
either	eeda
elaborate	tawk mo'
elbow	elbo
elder	elda
elderly	eldaly
elegant	eligant
element	element
elephant	elephant
eleven	eleven
eligible	fit fi
eliminate	get rid a
else	else
embarrassed	shame
embarrassing	a embarrass
embrace	hug up
emerge	cum fram
emergency	emergency
emotional	sad
empathy	empathy
emphasis	shure up
emphasize	emfasize
employee	wuka
employees	wurka dem
employer	bass
employment	a wuk
empty	empty
enable	enable
encounter	buck up
encourage	encourage
end	dun
endangered	inna truble
endeavor	endeva
endurance	trent
endure	tek
enemy	hattaz
energy	enagy
engage	ingage
engaged	ingage
engagement	fi marrid
engine	ingin
engineer	arkiteck
English	Inglish
enhance	brite up
enjoy	fuljoy
enormous	inarmous
enough	enuf
ensure	mek shure
enter	guh inna
entertainment	enattainment
enthusiasm	ekscitement
enthusiastic	eksitid
entire	hola
entitled	haffi get
entity	ting
entrance	entrance
entrepreneur	boss man
envelope	invilup
environment	enviranment
envy	badmind
epic	epic
epidemic	epidemic
equal	same
equipment	tool
equity	equity
equivalent	equivalent
eraser	rubba
error	mistake
escape	run weh
especially	specially
essay	essay
essence	reason
essential	necissery
establish	bil up
established	popula
estate	estate
estimate	bout dis
estimated	bout
etc	etc
eternal	fah eva
ethics	ethics
evaluate	gi ratins
evaluation	judge
even	even
even though	even dough
evening	evnin
event	meetin
eventually	soon
ever	eva
every	evry
everybody	evrybadi
everyone	evrybady
everything	everyting
evidence	evidence
evil	wickid
evolution	change
evolve	grow
Ewe	Ewe
ex	ex
exact	same
exactly	exack
exam	tes
examine	examine
example	example
exceed	exceed
excellent	eksellent
except	excep'
exception	ekseption
excess	excess
excessive	excessive
exchange	ekschange
excited	happy
excitement	gladniss
exciting	excitin'
exclusive	eksclusive
excuse	excuse
excuse me	ekscuse mi
execute	bring out
execution	murda
executive	big boss
exercise	exacise
exhaust	simoke
exhausted	tyad
exhibit	exhibit
exhibition	eksibishan
exist	egzist
existence	existence
existing	a exist
exit	cum out
expand	big up
expect	expeck
expected	ekspectid
expenses	expense dem
expensive	dear
experience	experience
experiment	try out
expert	expert
expired	nuh gud
explain	hecksplain
explanation	eksplanashan
exploit	tek advantij a
explore	search out
export	ship out
expose	show up
exposed	did expose
exposure	show up
express	faas
expression	ekspreshan
extend	eksten
extended	drag out
extension	mo' time
extent	ekstent
external	outside
extinct	ded out
extra	nuff
extract	extrack
extraordinary	extra aadinery
extreme	extreme
extremely	ekstremely
eye	yeye
eyes	yeye dem
fabric	claat
fabulous	fantastic
face	face
facilitate	fascilitate
facilities	facility
facility	facility
fact	facks
factor	facta
factory	fackchry
facts	facks
fade	fade out
fail	fail
failed	neva pass
failure	failia
faint	drap dung
fair	fair
fairly	onestly
fairy	fairy
faith	fait'
faithful	nah gi weh
fake	nuh real
fall	drap
FALSE	FAWSE
fame	popularity
familiar	known
family	fambily
famine	nuh food nuh deh bout
famous	papula
fan	fan
fancy	show aaf
fantastic	fun
far	fur
farewell	gudbye
farm	faam
farmer	faama
fascinating	fascinatin'
fashion	fashan
fast	faas
fat	swarty
fatal	deadly
fate	fate
father	fada
fatigue	tyadniss
fault	fault
favorite	favrit
favour	like
favourite	favrit
fear	fraidy fraidy
feast	big dinna
feather	fedda
feature	feacha
features	luks
february	february
fed up	fed up
fee	chaage
feed	feed
feedback	pointas
feel	feel
feeling	a feel
feet	foot dem
fell	drap
fellow	fello
felt	did ffeel
female	oman
fence	baadaline
fertile	breed up
festival	festival
fetch	guh fi
fever	feva
few	likkle bit
fewer	less dan
fiance	fiance
fiction	fiction
field	fiel'
fierce	bad
fifteen	fifteen
fifty	fifty
fight	lick dung
fighting	a fite
figure	figa out
figure out	figa out
file	file
fill	full up
filled	full up
film	flim
filthy	dutty
finally	finally
finance	sumadi weh yah guh marrid
financial	finanshal
find	fine
find out	fine out
fine	fine
finger	finga
finish	dun
finished	dun
fire	fyah
firm	trang
first	fuss
first name	fuss name
fish	swim around
fit	fit
five	five
fix	fix up
fixed	fix up
flag	flag
flash	flash
flat	flat
flaw	fault
flawless	pretty
flee	run weh
flesh	flesh
flew	fly weh
flex	move up
flexible	cyan ben
flight	flite
flip	tun ova
flirt	flirt
flirting	luss afa
float	float
flood	flood up
floor	grung
flour	flowa
flow	flow
flower	flowaz
flu	col'
fluent	tawk nuff
fluently	gud gud
fluffy	swaaty
fluid	wata
fly	fly
focus	zoom in pon
fog	fag
foggy	faggy
fold	fol' up
folks	people
follow	falla
follow up	check pan
following	a falla
food	food
fool	eediat
foolish	chupid
foot	fut
football	futball
for	fi
For example	Fi example
for instance	fi instance
for you	fi yuh
forbidden	nuff duh
force	push
forecast	forecast
forehead	farid
foreign	farin
forest	faris
forever	fi eva
forget	figet
forgive	figive
forgot	figet
fork	faak
form	faam
formal	farmal
former	faama
fortunately	luckily
fortune	richis
forty	faaty
forty-two	faaty two
forward	farwud
foster	fasta
fought	did fite
found	fine
foundation	root
four	four
fourteen	fourteen
fox	fox
fragile	eazi fi bruk
frame	frame out
framework	framewuk
fraud	lie
freak	freaky gyal
free	free
freedom	freedom
freeze	freeze up
frequency	frequency
frequent	regila
frequently	all eh wile
fresh	clean to mi step
friday	friday
fridge	frij
friend	fren
friendly	frenny frenny
friends	fren dem
friendship	frenship
frightened	fraid
frightening	scary
frog	bull frag
from	from
front	front
frozen	freeze up
fruit	fruut
frustrated	tyad a eh
fuel	gas up
Fulfulde	Fulfulde
full	full up
fun	fun
function	get bye
fundamental	necissery
funeral	finaral
funny	funny
fur	fur
furious	angry
furniture	furnicha
further	furda
furthermore	furdamo'
future	fucha
gain	gain
game	game
gap	space
garage	car powch
garbage	rubbish
garden	gyaaden
garlic	gyaalic
gate	gate
gather	gyadda up
gathering	gaddarin
gauge	lean up
gave	gi
gear	gear
gender	genda
general	genna
generally	generally
generate	genarate
generation	bludline
generous	kine
genius	smaat
genre	type
gentle	saaf
genuine	real
gesture	an move
get	get
get dressed	put aan clothes
get up	tan up
get well soon	get betta soon
getting	a get
ghost	duppy
ghosting	yuh a hide
giant	giant
gift	present
ginger	ginja
girl	gal
girlfriend	oman
give	gi
give up	gi up
given	gi tuh
glad	glad
glance	bayly luk
glass	glass
glasses	glass dem
glimpse	bayly luk
global	wurl wide
gloomy	bleaky
gloves	glove dem
glow	shine
glow up	glow
glue	glue
go	guh
go ahead	gwaan
go away	guh wey
go to bed	guh a yuh bed
goal	dream
goals	goal dem
goat	nanny goat
god	gad
god bless you	god bless yuh
goes	a guh
going	a guh
going to	guh a
gold	gold
gone	nuh deh yah
gonna	a guh
good	gud
good afternoon	aftanoon
good bye	bye bye
good day	gud day
good evening	evenin'
good job	gud job
good looking	gud lukin
good luck	blessin
good morning	maanin
good morning my love	gud mawnin mi luv
good night	gud nite
goodbye	ba bye
goodnight	gud nite
goods	guds dem
Google	Google
Google Translate	Google Translate
goose	duck dem
gorgeous	gawjus
gossip	chat bout
got	did get
got it	a get eh
government	babylon
grab	grab up
grade	mark
gradually	eventually
graduate	graduate
grain	grain
grant	grant
granted	did gi
grapes	grape dem
grasp	ole on pon
grass	grass
grateful	gi tanks
gratitude	gi tanks
grave	grave
gray	gray
great	great
greed	craveniss
greedy	luv yuh belly
green	green
greet	seh 'ello
greeting	owdy duh
greetings	greetings
grey	grey
grid	grid
grief	grief
grind	mash up
grip	ole on tight
grocery	grocery
groom	groom
gross	evryting
ground	grung
group	bungle
grow	grow
growth	growt'
grumpy	grumpy
Guarani	Guarani
guarantee	guarantee
guard	gyaad
guess	gess
guest	guess
guidance	gaidance
guide	gaide
guilty	guilty
guy	man
guys	man dem
gym	gym
habit	ways
habitat	livin place
had	did hav
hail	big up
hair	air
half	paat a
hall	livin room
hand	an
handle	angle
handsome	ansome
hang	heng up
hang out	heng out
happen	appen
happened	di appen
happiness	happiness
happy	happy
happy birthday	happi earthstrong
happy birthday to you	happy earthstrong
happy new year	appy new 'ear
hard	haad
hardly	aadly
hardly ever	nuh regila
harm	hurt
harmful	daynjarus
harmony	aamony
harsh	trang
harvest	reep
has	as
hate	nuh like
have	hab
have a good day	hav a gud day
have a nice day	a hope yuh day tun out gud
have breakfast	nyam breakfaas
have fun	party
have you eaten	yuh eat yet
having	a hav
hazard	dangarus
haze	fuzzy fuzzy
he	im
he has	im hav
he is	im a
head	head
headache	headache
heal	get betta
healing	a heal
health	elt
healthy	healty
hear	hear
heard	ear seh
heart	haat
heat	heat
heaven	up inn eh sky
heavy	heavy
hectic	ectic
height	height
heir	heir
heist	hijack
held	ole
hell	ell
Hello	Ello
hello dear	ello deh
hello how are you	ello ow yuh duh
hello how are you doing	ello 'ow yuh duh
helmet	elmit
help	elp
helpful	help out
hence	ence
her	shi
herd	herd
here	yah so
heritage	eritage
hesitate	tink twice
Hey	greetings
Hi	owdi
hi how are you	hi 'ow yuh duh
Hi there	ello dere
hidden	idden
hide	hide
hierarchy	higher ups
high	tall
highlight	loud up
hike	climb
hiking	a hike
hilarious	funny
hill	hillside
him	im
hint	int
hip	hip
hips	hip dem
hire	hyah
hiring	a luk people
his	fi him
history	histry
hit	lick
Hmm	mhm
hobby	habby
hold	hol'
hold on	ole aan
hole	ole
holiday	aliday
hollow	allo
home	yaad
homework	homewuk
honest	tawk trut
honestly	onestly
Honey	oney
honor	ana
hood	hood
hook	huk
hop	hap
hope	hope
hopefully	hopefully
hopeless	opeless
horizontal	arizantal
horn	haan
horrible	arrible
horror	scary
horse	donkey
hospital	aspital
hospitality	ospitality
host	ost
hostile	hastile
hot	hat
hotel	otel
hour	owa
hours	owaz
house	owse
household	ouse
how	ow
how about you	wah bout yuh
how are you	wah gwaan
how are you doing	ow yuh duh
how are you doing today	ow yuh do tiday
how are you today	ow yuh duh tideh
how do you do	ow yuh duh
how is	ow a
how many	ow meny
how much	ow many
how often	ow regila
how old are you	yuh a ow much
how was your day	a 'ow yuh day guh
how was your night	ow yuh nite guh
however	oweva
hub	hub
hubby	man
hug	hug
huge	huge
human	people
humble	umble
humid	ot
humidity	heat
hundred	undred
hungry	ungry
hunt	luk fi
hurricane	staam
hurry	hurry up
hurry up	move faas
hurt	urt
husband	hussy
hustle	hustle
hut	hut
hygiene	igene
I	Mi
I am	mi a
I am fine	mi arite
I can	mi cyan
I can't	mi caan
I do	mi duh
I do not know	mi nuh know
I do not understand	mi nuh undastan
I don't	mi nuh
I don't know	mi nuh know
I don't understand	mi nuh undastan
I don't understand what you mean	Mi nuh undastan wah yuh mean
I don't understand you	mi nuh undastan yuh
I don’t know	mi nuh know
I don’t understand	mi un undastan
i guess	mi gess suh
I had	mi did hav
I have	mi hav
I have been	Mi ben a
I hope so	Mi 'ope suh
I know	mi know
I like	mi like
I like you	mi like yuh
I love	Mi luv
I love my big brother	mi luv mi big bredda
I love my big sister	mi luv mi big sista
I love my father	mi luv mi fada
I love my little brother	mi luv mi likkle bredda
I love my little sister	mi luv mi likkle sista
I love my mother	mi luv mi mada
I love you	Mi luv yuh
I love you so much	Mi luv yuh bad
I love you too	mi luv yuh tuh
I mean	mi mean
I miss you	Mi miss yuh
I miss you so much	mi miss yuh bad
I see	mi si
I think	mi tink
I understand	mi undastan
I want	mi waan
I want to see you	mi waan si yuh
I want you	Mi wah yuh
I was	Mi did a
I will	Mi wi
I would be	Mi woulda bi
I'm	Mi a
I'm fine	mi aright
I'm good	mi gud
I'm here	mi deh yah
I'm sorry	mi sarry
ice	ice
ice cream	ice cream
idea	idea
ideal	perfeck
identical	luk like
identify	identify
identity	identity
idiot	eediat
idle	waste time
if	if
ignore	nah luk pan
ill	sick
illegal	nuh legal
illness	sickness
Ilocano	Ilocano
image	imij
