сахал	a little
сÿпĕлтетÿ	chat
сÿпĕлтет	chat
йунĕ	cheap
шарлатан	cheat
улталакан	cheating
тĕрӗсле	check
тĕрӗслӳ	check
пит çăмарти	cheek
савӑнӑҫ	cheer
савăнăçлă	cheerful
саламлă сăмахсем	cheers
чăкăт	cheese
хими	chemistry
юратса пăх	cherish
шахмат	chess
кăкăр	chest
чăмла	chew
чӗпӗ	chicken
шеф	chief
ача	child
ачалăх	childhood
ачасем	children
сивĕ	chill
сивĕт	chill
мăрьесем	chimneys
янах	chin
шоколад	chocolate
суйлав	choice
суйла	choose
çур	chop
кашни кунхи ӗҫ	chores
тулли питлĕ	chubby
чиркÿ	church
Чăваш	Chuvash
корица	cinnamon
çаврашкана ил	circle
сӑлтавсем	circumstances
гражданин	citizen
хула	city
хисте	claim
хистев	claim
тĕрĕсрех ту	clarify
класс	class
тăм	clay
таса	clean
ăнлантар	clear
ăнланмалла	clear
клерк	clerk
ăслă	clever
клиент	client
чул ту	cliff
климат	climate
тапаçлан	climb
ҫыпӑҫакан	clingy
сехет	clock
хуп	close
чăлан	closet
пир	cloth
тумтир	clothes
пĕлĕт	cloud
пĕлĕтлĕ	cloudy
клоун	clown
çилĕм	clue
ăссăрлăх	clumsy
çупкам	cluster
тренер	coach
тренировка тутар	coach
çĕр кăмрăкĕ	coal
çыран	coast
куртка	coat
кофе	coffee
когнитивлӑ	cognitive
пĕр килни	coincidence
сивĕ	cold
коллапс	collapse
çуха	collar
ĕçтеш	colleague
пĕрле ĕçлекенсем	colleagues
пуçтарма	collect
коллекци	collection
колледж	college
тĕс	color
шупка симĕс шухăшсем хаяррăн çывăраççĕ	colorless green ideas slept furiously
тĕс	colour
колонна	column
майра тури	comb
комбинаци	combination
шайлаштар	combine
кил	come
кил кунта	come here
ирт	come on
комфорт	comfort
хăтлă	comfortable
çывхаракан	coming
часах килекенни	coming soon
команда	command
комментари	comment
коммерци	commercial
комисси	commission
хуш	commit
обязательство	commitment
тивĕçе хăй çине илекен	committed
тавар	commodity
пĕрлехи	common
хутшăн	communicate
коммуникаци	communication
общество	community
ĕçе кай та кил	commute
компаньон	companion
компани	company
танлаштар	compare
танлаштару	comparison
хӗрхенӳ	compassion
хĕрхенекен	compassionate
пĕр евĕрлĕ	compatible
ӑмӑрт	compete
компетентлă	competent
ӑмăрту	competition
конкурентлӑ	competitive
ӳпкеле	complain
çăхав	complaint
комплектла	complement
комплектаци	complement
тулли	complete
пĕтĕмпех	completely
комплекс	complex
ӳпкев	compliance
кăткăс	complicated
мухтани	compliment
килĕшсе тăр	comply
хайлав	composition
япала	compound
ăнлану	comprehension
анлă	comprehensive
çураçу	compromise
шухăшсене çураçтарни	compromise
мĕнле пулсан та	compulsory
компьютер	computer
концентрациле	concentrate
концепци	concept
ăшталану	concern
ăшталан	concern
хутшăннă	concerned
концерт	concert
пĕтĕмлетӳ	conclusion
бетонла	concrete
бетонлă	concrete
бетон	concrete
услови	condition
условисем	conditions
ирттер	conduct
конференци	conference
чăннине кала	confess
шанни	confidence
шанăçлă	confident
çирĕплет	confirm
хирĕçни	conflict
именчĕк	confused
именӳ	confusion
саламсем	congrats
саламлани	congratulation
салам сăмахĕсем	congratulations
ҫыхӑнса тӑни	conjunction
çыхăнтар	connect
çĕнсе ил	conquer
ăнкаруллă	conscious
тăн	consciousness
килӗш	consent
килӗшӳ	consent
юлашкисем	consequences
консервласси	conservation
консервативлă	conservative
шутла	consider
пăхса тухнă	considered
тăр	consist
килӗшӳ	consistency
вырăнлă	consistent
яланхи	constant
ялан	constantly
вар хытни	constipation
строительство	construction
пĕтер	consume
усă курни	consumption
çыхăну	contact
çыхăну тыт	contact
ерекен	contagious
тытса тă	contain
пур	contains
хальхи	contemporary
шута хуманни	contempt
шалашĕ	content
ӑмăрту	contest
контекст	context
континент	continent
малалла тăс	continue
договор ту	contract
договор	contract
уйрăмлăх	contrast
уйăр	contrast
хыв	contribute
тӳпе хывни	contribution
тĕрĕслев	control
тавлă	controversial
меллĕх	convenience
меллĕ	convenient
калаçу	conversation
улшăннă	convert
улăштар	convert
турттар	convey
ĕнентер	convince
ĕненнĕ	convinced
повар	cook
пӗҫер	cook
пĕçерекен	cooking
чаплă	cool
сулхăн	cool
пĕрле ĕçлени	cooperation
ҫӗн	cope
пăхăр	copper
вар	core
керпе пĕрчи	corn
кĕтес	corner
тĕрĕс	correct
хак	cost
тăр	cost
костюм	costume
коттедж	cottage
çĕр мамăкĕ	cotton
кушетка	couch
ӳслӗк	cough
пултарчĕ	could
канаш	council
шутла	count
счетчик	counter
çĕршыв	country
ял вырӑнӗ	countryside
мăшăр	couple
хастарлӑх	courage
курс	course
суд	court
сапăрлăх	courtesy
иккӗмӗш сыпӑкри тӑван	cousin
вит	cover
ĕне	cow
хăравçă	coward
хăтлă	cozy
чăрмала	crab
çур	crack
çурăк	crack
карап	craft
ӑпӑр-тапӑр	crap
аркану	crash
аркат	crash
антӑхакан	craving
шуни	crawl
ухмаха ернĕ	crazy
ту	create
творчествăлла	creative
кивҫен	credit
шуса пыр	creep
шăвакан	creepy
ушкăн	crew
преступлени	crime
вăтан	cringe
вăтанăç	cringe
кризис	crisis
критери	criteria
пысăк пĕлтерĕшлĕ	critical
критицизм	criticism
çитĕнтерекен культура	crop
тырӑ	crops
хĕресленни	cross
урлӑ каҫ	cross
кăранклатни	crow
ушкăн	crowd
тулли çын	crowded
корона	crown
чи кирли	crucial
хаяр	cruel
çул çÿрев	cruise
çĕмĕрни	crush
çĕмĕр	crush
йĕр	cry
хăяр	cucumber
çумна пăчăрта	cuddle
культура	culture
чее	cunning
чей курки	cup
шкап	cupboard
бордюр	curb
сипле	cure
сиплев	cure
комендант сехечĕ	curfew
пурне те пĕлме тăрăшни	curiosity
кăсăкланакан	curious
кăтра	curly
валюта	currency
хальхи	current
халӗ	currently
ятла	curse
карă	curtain
минтер	cushion
йăла	custom
заказчик	customer
йăла	customs
кас	cut
касăк	cut
ҫивӗч	cute
цикл	cycle
çаврăм	cycling
аттеçĕм	dad
аттеçĕм	daddy
кулленхи	daily
дневник	dairy
дамба	dam
сиенле	damage
сиен	damage
хурла	damn
нÿрĕк	damp
ташла	dance
хăрушлăх	danger
хăрушă	dangerous
тĕттĕм	dark
савнă	darling
тире	dash
кăтартусем	data
тĕл пулу	date
вăхăт	date
хĕр	daughter
кун	day
вилнĕ	dead
юлашки вăхăт	deadline
хăлхасăр	deaf
çураçу	deal
ҫыхлан	deal
хаклă	dear
Хисеплĕ Юлташсем	Dear All
Хисеплĕ клиент	Dear Customer
Хисеплĕ Атте-Анне	Dear Parents
Хисеплĕ Хуçа	Dear Sir
Хисеплĕ студентсем	Dear students
Хисеплĕ Команда	Dear Team
вилӗм	death
дебатсем	debate
дебит	debit
ванчăк япаласем	debris
парăм	debt
декада	decade
ҫӗрӗклӗх	decay
вилнӗ ҫын	deceased
ултала	deceive
раштав уйăхĕ	december
ĕретлĕ	decent
шут тыт	decide
татса панă	decided
йышăну	decision
палуба	deck
тайăлтар	decline
чакар	decrease
уăрса хунă	dedicated
халал	dedication
ӗҫ	deed
тарăн	deep
пăлан	deer
дефолт	default
хÿтĕлев	defeat
хÿтĕле	defeat
хÿтĕле	defend
палăрт	define
паллă	definitely
палăрт	definition
степень	degree
чарӑн	delay
чарӑнса тӑни	delay
кая юлни	delayed
хурат	delete
юри тунӑ	deliberate
чечен	delicate
техĕмлĕ	delicious
хавхалан	delight
хĕпĕрчĕк	delighted
кÿрсе пар	deliver
илсе килнӗ	delivered
килсе пар	delivery
ыйтать	demand
ыйтни	demand
ыйтакан	demanding
демократи	democracy
усал сывлăш	demon
кăтарт	demonstrate
килӗшмерӗ	denied
тачӑлӑх	density
шăл тухтăрĕ	dentist
ан йышăн	deny
отделени	department
кайни	departure
пӑхӑн	depend
вырнаҫтарса тух	deploy
депозит	deposit
депозит хыв	deposit
пусăрăнчăк	depressed
депресси	depression
тарăнăш	depth
сăнласа пар	describe
сăнарласа пани	description
пушхир	desert
тивĕçлĕ пул	deserve
туса хатĕрле	design
конструкци	design
паллă туни	designation
кăмăл	desire
сун	desire
çыру сĕтелĕ	desk
шанӑҫсӑрлӑх	despair
шанчăксăр	desperate
шута хумасăр	despite
пылак çимĕç	dessert
çитме тивĕçлĕ вырăн	destination
шăпа	destiny
çĕмĕр	destroy
аркату	destruction
деталь	detail
даннӑйсем	details
асăрха	detect
палăртни	determination
палăрт	determine
паллă	determined
намăслантарнă	devastated
аталантар	develop
аталаннă	developed
аталану	development
прибор	device
шуйттан	devil
парăннă	devoted
Дивехила	Dhivehi
диабет	diabetes
диаррея	diarrhea
дневник	diary
сăмахсар	dictionary
тунă	did
вил	die
вилнĕ	died
диета	diet
уйрӑмлӑх	difference
тĕрлĕ	different
йывăр	difficult
чав	dig
тивĕçлĕх	dignity
тӑрӑшуллӑ	diligent
апатланни	dinner
чик	dip
тÿрĕ	direct
ен	direction
директор	director
варала	dirt
таса мар	dirty
сӳнтер	disable
пултарайман	disabled
çухал	disappear
шанчăка çухатнă	disappointed
инкек	disaster
утиле пар	discard
пушат	discharge
йĕрке	discipline
чакарни	discount
çĕнĕлĕх туп	discover
дискриминаци	discrimination
сӳтсе яву	discuss
сӳтсе яву	discussion
чир	disease
чир-чĕрсем	diseases
маскировка ту	disguise
йĕрĕнчĕк	disgusting
апат	dish
апатсем	dishes
ан йышӑн	dismiss
кай	dispatch
дисплей	display
тĕп туни	disposal
сÿтсе явма	dispute
хушă	distance
уçă	distinct
уйӑр	distinguish
инкек	distress
пайлани	distribution
район	district
чăрмантар	disturb
канав	ditch
чăм	dive
тĕрлĕ енлĕ	diverse
нумай енлĕх	diversity
пайла	divide
питĕ чаплă	divine
уйрăлу	divorce
уйрăлма	divorce
пуç çаврăннине туй	dizzy
ту	do
эсĕ	do you
эсĕ мана юрататăн-и	do you love me
тухтăр	doctor
документ	document
не	doesn't
йытă	dog
Догрила	Dogri
тăвакан	doing
пукане	doll
домен	domain
килти	domestic
доминант	dominant
мар	don't
ан	don't
Ан пăшăрхан	Don't worry
парнеле	donate
тунă	done
ашак	donkey
допинг	dope
иккĕмĕш хут ту	double
иккĕмĕш хут туни	double
иккĕленӳ	doubt
иккĕлен	doubt
чуста	dough
аялта	down
уçласа ил	download
малтан тун	draft
малтанлăха тунă	draft
эмел	drag
пушат	drain
драма	drama
ӳкер	draw
туртмалли ещӗк	drawer
чертеж	drawing
шарт сик	dread
ӗмӗтлен	dream
ӗмӗт	dream
кӗпе	dress
пӑрала	drill
ӗҫмелли	drink
ӗҫ	drink
машина çӳрет	drive
ӳкер	drop
тумлам	drop
ӳкнĕ	dropped
шăрăх	drought
ӗҫрӗ	drunk
типĕ	dry
кăвакал	duck
вĕçкĕнчĕк	dude
пирки	due
пула	due to
мăка	dull
илтмен	dumb
куча	dump
вӑрӑмлӑх	duration
вăхăтӗнче	during
тусан	dust
тивĕç	duty
тăхтаса тăни	dwell
сӳнекен	dying
кашни	each
пĕр-пĕрне	each other
антӑх	eager
ăмăрткайăк	eagle
хăлха	ear
малтан	earlier
ир	early
ĕçлесе ил	earn
хăлхасем	ears
çĕр	earth
ҫӗр чӗтрени	earthquake
çăмăллат	ease
çăмăл	easily
тухаç	east
çăмăл	easy
ҫи	eat
çиекен	eating
экономика	economic
перекетлĕх	economy
аякки	edge
тӳрлет	edit
пĕлӳ илни	education
витĕм	effect
ÿсĕмлĕ	effective
тухӑҫлӑх	efficiency
тухăçлă	efficient
вăй хуни	effort
çăмарта	egg
баклажан	eggplant
эго	ego
саккăр	eight
вун саккăр	eighteen
сакăр вуннă	eighty
кирек	either
ăнлантар	elaborate
чавса	elbow
аслăраххи	elder
ват ҫын	elderly
элегантлă	elegant
элемент	element
слон	elephant
вун пĕр	eleven
законлă	eligible
хурат	eliminate
тата	else
именчĕк	embarrassed
именчӗклӗ	embarrassing
ҫавӑрса ил	embrace
çиеле тух	emerge
авари лару-тӑрӑвӗ	emergency
туйăмлă	emotional
эмпати	empathy
палăртса калани	emphasis
палăрт	emphasize
ĕçлекен	employee
ĕçлекенсем	employees
ĕçпе тивĕстерекен	employer
ĕçлĕ пулни	employment
пушă	empty
ирĕк пар	enable
тĕл пулни	encounter
хавхалантар	encourage
вĕçĕ	end
хӑрушлӑхра	endangered
вăй хур	endeavor
чăтăмлăх	endurance
чăтса ирттер	endure
тăшман	enemy
энерги	energy
хутшăн	engage
çырăннă	engaged
çураçу	engagement
двигатель	engine
инженер	engineer
Акăлчан	English
вăйлат	enhance
киллен	enjoy
капмар	enormous
çителĕклĕ	enough
шантар	ensure
кĕр	enter
тĕлĕнмелле курăм	entertainment
хавхалану	enthusiasm
тулли хастарлăх	enthusiastic
пĕтĕмешле	entire
ят панă	entitled
пĕрлешĕв	entity
кӗмелли вырӑн	entrance
предприниматель	entrepreneur
конверт	envelope
йӗри-тавралӑх	environment
кӳлеш	envy
эпосла	epic
эпидемилле	epidemic
тан	equal
оборудовани	equipment
капитал	equity
эквивалент	equivalent
пӑсмалли	eraser
йăнăш	error
куçран çухал	escape
пушшех	especially
эссе	essay
тупсӑмӗ	essence
паха	essential
вырнаçтар	establish
йышăннă	established
пурлăх	estate
хакла	estimate
хакланӑ	estimated
тата ытти те	etc
ӗмӗрлӗх	eternal
этика	ethics
хакла	evaluate
хаклани	evaluation
та	even
çапла пулсан та	even though
каҫ	evening
событи	event
кайран	eventually
хăçан та пулсан	ever
кашни	every
кашни	everybody
кашни	everyone
веҫех	everything
çирӗплетсе пани	evidence
усал	evil
эволюци	evolution
кӑларса яр	evolve
Эвела	Ewe
тĕп-тĕрĕсси	exact
чӑн	exactly
экзамен	exam
экзамен тыттар	examine
тĕслĕх	example
ирттер	exceed
питĕ лайăх	excellent
кăлар	except
уйӑрни	exception
ытлашши	excess
ытлашши	excessive
ылмаштарни	exchange
çӗкленӳллӗ	excited
хавхалану	excitement
хумхануллă	exciting
пĕртен-пĕр	exclusive
каçар	excuse
каҫарсамӑр мана	excuse me
пурнӑҫла	execute
пурнӑҫланни	execution
ĕç тăвакан	executive
вĕрен	exercise
хăнăхтару	exercise
халтан яр	exhaust
вӑйран ÿкнĕ	exhausted
выставка экспоначӗ	exhibit
выставка	exhibition
пул	exist
пурри	existence
пур	existing
тухмалли	exit
сар	expand
кĕтсе тăр	expect
кĕтнĕ	expected
тăкаксем	expenses
хаклă	expensive
пĕл	experience
опыт	experience
эксперимент	experiment
эксперт	expert
иртнĕ	expired
ăнлантар	explain
ăнлантару	explanation
усӑ кур	exploit
тĕпче	explore
экспорт	export
витĕм кÿр	expose
витӗм кӳр	exposed
витĕм	exposure
хӑвӑрт	express
палăрăм	expression
тăс	extend
сарӑлнӑ	extended
сарăл	extension
виçе	extent
тулашри	external
вилсе пĕтнĕ	extinct
хушма	extra
экстракт	extract
экстраодинарлă	extraordinary
экстремаллă	extreme
акăш-макăш	extremely
куç	eye
куç	eyes
пусма	fabric
ăнтан каймалла	fabulous
пырса тăрăн	face
пит	face
пулӑш	facilitate
хатĕрсем	facilities
объект	facility
факт	fact
фактор	factor
фабрика	factory
фактсем	facts
шăпа	fade
ăнăçсăрлăх	fail
пут	fail
ӑнӑҫсӑр пулчӗ	failed
юсавсăрлăх	failure
тăна çухатни	faint
çутă	fair
тӳрĕ	fair
кӑлтӑксӑр	fairly
фея	fairy
ĕненӳ	faith
турра ĕненекен	faithful
суя	fake
ӳкни	fall
ӳк	fall
СУЯ	false
чап	fame
паллакан	familiar
çемье	family
выçлăх	famine
чапа тухнă	famous
вентилятор	fan
фанат	fan
ăсра сăнарла	fancy
фантастикăлла	fantastic
инҫе	far
уйрăлу	farewell
ферма	farm
фермер	farmer
теветлĕ	fascinating
мода	fashion
хăвăрт	fast
çуллă	fat
пулмалли	fatal
шăпа	fate
атте	father
ĕшенӳ	fatigue
кăлтăк	fault
юратнă	favorite
кăмăл туни	favour
юратнă	favourite
шиклен	fear
шик	fear
ӗҫкӗ-ҫикӗ	feast
тĕк	feather
паллă	feature
палăрт	feature
паллӑлӑх	features
нарăс	february
йӑлӑхтарнӑ	fed up
комисси	fee
ҫитер	feed
хак пани	feedback
туй	feel
туйăм	feeling
ура лапписем	feet
ӳк	fell
юлташ	fellow
сиснĕ	felt
хĕрарӑм	female
карта	fence
тухӑҫлӑ	fertile
уяв	festival
илсе кăтарт	fetch
вӗри	fever
сахал	few
сахалрах	fewer
çураçнă	fiance
шухӑшласа кӑларнӑ япала	fiction
хир	field
кăра	fierce
вун пилĕк	fifteen
аллă	fifty
