abandoned	جێهێڵراو
analysis	شیکاری
ancestors	باوباپیران
anchor	لەنگەر
ancient	کۆن
and you	و تۆ
and	و
angel	گۆشە
anger	تووڕەیی
angle	فریشتە
angry	تووڕە
animal	ئاژەڵ
ankle	گوزنگ
anniversary	ساڵانە
announcement	ڕاگەیاندن
annoyed	بێزار
annoying	بێزارکەر
annoy	بێزارکردن
annual	ساڵانە
anonymous	نەناسراو
another	دانەیەکی تر
answer	وەڵام
anticipate	پێشبینی کردن
anxiety	دڵەڕاوکێ
anxious	نیگەران
anymore	چی تر
anyone	هەر کەسێک
anything	هەر شتێک
anyways	هەرچۆنێک بێت
anyway	هەرچۆنێک بێت
any	هەر
apartment	شوقە
apart	جیا
apologize	داوای لێبووردن کردن
apparently	بە ڕواڵەت
apparent	ڕووخسار
appeal	تێهەڵچوونەوە
appearance	ڕووخسار
appeared	دەرکەوت
appear	دەرکەوتن
appetite	ئارەزووی خواردن
apple	سێو
application	داواکاری
apply	جێبەجێکردن
appointment	دیمانە
appreciate	نراخاندن
appreciation	پێزانین
approach	نزیک بوونەوە
appropriate	گونجاو
approval	پەسەندکردن
approved	پەسەندکراو
approve	پەسەندکردن
approximately	نزیکەی
april	نیسان
arbitrary	سەرپێی
architecture	تەلارسازی
architect	تەلارساز
archive	ئەرشیف
area	ناوچە
are you busy	ئایا سەرقاڵیت
are you married or single	هاوسەرگیریت کردووە یان سەڵتی
are you married	ئایا هاوسەرگیریت کردووە
Are you still there?	هێشتا لەوێیت؟
are you there	ئایا تۆ لەوێی
are you	ئایا تۆ
are	بریتین لە
argue	مشتومڕ
argument	مشتومڕ
arise	بەرز بوونەوە
army	هێزی سەربازی
arm	قۆڵ
around	نزیکەی
arrangement	ئامادەکاری
arrange	ڕێکخستن
arrival	گەیشتن
arrived	گەیشت
arrive	گەیشتن
arrogant	لووت بەرز
arrow	تیر
article	بابەت
artificial	دەستکرد
artist	هونەرمەند
art	هونەر
ashamed	شەرمەندە
ash	خۆڵەمێش
asked	پرسیاری کرد
ask	پرسیارکردن
asleep	خەوتوو
as long as	تا ئەو کاتەی
aspect	لایەن
Assamese	ئاسامیس
assault	هێرش
assembly	ئەنجومەن
assertive	پێداگر
assessment	هەڵسەنگاندن
assess	هەڵسەنگاندن
assets	کەرەستەکان
asset	کەرەستە
assignment	ئەرک
assign	دیاری کردن
assistant	یاریدەدەر
assist	یارمەتی
associated	پەیوەست
associate	پەیوەست
association	دامەزراوە
assume	پێشبینی
assumption	مەزەندەکردن
as well as	هەروەها
as well	هەروەها
as	وەک
ate	خواردی
athlete	وەرزشوان
at least	بە لایەنی کەم
attached	هاوپێچکراو
attachment	هاوپێچ
attach	هاوپێچکردن
attack	هێرشکردن
attempt	هەوڵ
attendance	ئامادەبوون
attend	ئامادە بوون
attention	سەرنج
attitude	بۆچوون
attraction	سەرنج ڕاکێشان
attractive	سەرنج ڕاکێش
attract	سەرنج ڕاکێشان
attribute	بەشداری
at	لە
audience	جەماوەر
august	ئاب
aunty	مامۆژن
aunt	مامۆژن
authentic	ڕەسەن
authority	دەسەڵات
author	نووسەر
autumn	پایز
available	بەردەست
average	ڕێژە
avoid	بەدوورگرتن
awake	بەئاگا
award	خەڵات
awareness	هۆشیاری
aware	ئاگادار
away	دوور
awesome	ناوازە
awful	سەمەرە
awkward	نامۆ
Aymara	ئایمارا
a	ئە
baby	منداڵ
bachelor	سەڵت
background	باکگراوند
back	گەڕانەوە
bad	خراپ
bag	جانتا
bait	گاڵتە پێکردن
bakery	نانەواخانە
bake	برژاندن
baking soda	سۆدی چێشت لێنان
balance	هاوسەنگی
ball	تۆپ
Bambara	بامبارا
banana	مۆز
band	دەستە
bang	تەقینەوە
bank	بانک
barely	جۆ
bargain	سەودا
bark	وەڕین
barley	جۆ
barrier	بەربەست
bar	بار
based	لە سەر بنەمای
basement	ژێرزەمین
base	بناغە
basically	لە بنەڕەتدا
basic	بنەڕەتی
basil	ڕەیحان
bastard	زۆڵ
batch	کۆمەڵە
bathroom	گەرماو
bath	گەرماو
battery	پاتری
battle	جەنگ
bay	کەنداو
beach	کەنار دەریا
beam	تیشک
beans	فاسولیا
beard	ڕیش
bearing	لەخۆگرتن
bear	وورچ
beast	دڕندە
beat	لێدان
beautiful	جوان
beauty	جوانی
became	بوو
be careful	ئاگادار بە
because	بەهۆی
become	بوون
bedroom	ژووری نووستن
bed	سیسەم
beef	گۆشتی مانگا
beer	بیرە
bee	هەنگ
before	پێش
began	دەستی پێکرد
beginning	دەستپێکردن
begin	دەستپێکردن
behalf	لەجیاتی
behave	ڕەفتارکردن
behavior	ڕەفتار
behaviour	ڕەفتار
behind	لەدواوە
belief	باوەڕ
believe	باوەڕ
belly	سک
belong	دەگەڕێتەوە بۆ
beloved	خۆشەویست
below	خوارەوە
belt	قایش
bench	قەراغ
bend	چەمانەوە
beneath	لەژێر
benefits	سوودەکان
benefit	سوود
besides	سەرەڕای
beside	سەرەڕای
best of luck	بەهیوای بەختێکی باش
best regards	لەگەڵ ڕێز
best	باشترین
better	باشتر
between	لەنێوان
beverage	خواردنەوە
beyond	دوای
be	بوون
Bhojpuri	بۆجپوری
biased	لایەنگر
bias	لایەنگیر
bicycle	پایکسل
bid	تەندەر
big	گەورە
bike	پایسکڵ
bill	پسوولە
bind	بەستنەوە
bird	باڵندە
birthday	ڕۆژی لەدایک بوون
bite	گازلێدان
bitter	تاڵ
bit	کەمێک
black	ڕەش
blade	نووک
blame	لۆمە
blanket	بەتانی
blank	بەتاڵ
blast	تەقینەوە
bleach	فاس
blend	تێکەڵکردن
blessed	بەرەکەتکراو
bless	پیرۆزکردن
blind	کوێر
bliss	خۆشی
block	بلۆک
blood	خوێن
bloom	خونچە
blow	تەقان
blue	شین
blunt	بێمانا
board	بۆرد
boat	بەلەم
body	جەستە
boil	کوڵان
bold	تۆخ
bond	گرێ
bone	ئێسک
book	کتێب
booster	بەهێزکەر
boost	بەهێزکردن
boots	پووت
boot	پووت
border	سنوور
bored	بێزار
bore	بەرگەی گرت
boring	بێزارکەر
born	لەدایک بوون
borrow	وەرگرتن
boss	سەرۆک
bother	بێزارکردن
both	هەردووک
bottle	بوتڵ
bottom	خوارەوە
bought	کڕی
bounce	هەڵبەزین
boundaries	سنوورەکان
bound	پەیوەست
bowl	مەنجەڵ
bow	چەمانەوە
box	سندوق
boyfriend	کوڕە هاوڕێ
boy	کوڕ
bracelet	بازن
brain	مێشک
branch	لق
brand	براند
brave	ئازا
breach	پێشێلکاری
bread	نان
breakfast	نانی بەیانی
break	شکاندن
breast	مەمک
breathe	هەناسە
breath	هەناسە
breed	زۆر بوون
brick	خشت
bride	بووک
bridge	پرد
brief	کورت
bright	ڕووناک
brilliant	ژیر
bring	هێنان
broadcast	پەخش
broad	فراوان
broken	شکاو
broke	شکاندی
broom	گێسک
brother in law	زڕ برا
brother	برا
brought	هێنان
brown	قاوەیی
bro	برا
brush	فڵچە
bucket	سەتڵ
buddy	هاوڕێ
budget	بوجە
bug	مێروو
building	باڵەخانە
build	بنیاتنان
built	بنیاتی نا
bulk	قەبە
bully	هەڕەشەکردن
bull	گا
bump	خۆپێداکێشان
bunch	چەپک
bundle	چەپک
burden	بار
buried	ناشتی
burn	سووتان
burst	تەقین
bury	ناشتن
bush	دارستان
business	بزنس
bust	پەیکەر
busy	سەرقاڵ
bus	پاس
butterfly	پەپولە
butter	پەنیر
button	دوگمە
but	بەڵام
buy	کڕین
bye	خواحافایز
by the way	بە ڕاست
by	تا
cabbage	کەلەرم
cabinet	کابنە
cage	قەفەس
cake	کێک
calf	گۆلک
called	ناوبراو
call me	پەیوەندیم پێوە بکە
call	پەیوەندی
calm	ئارام
came	هات
campaign	هەڵمەت
Cancel	ڕەتکردنەوە
cancer	شێرپەنجە
can't	ناتوانێت
can	دەتوانێت
capable	بە توانا
capacity	توانا
capital	پایتەخت
caption	ژێرنووس
capture	گرتن
career	پیشە
carefully	بەووردی
careful	وریا
careless	کەمتەرخەم
caring	چاودێری کردن
carpenter	دارتاش
carpet	ڕایەخ
carrot	گێزەر
carry on	بەردەوام بە
carry out	ئەنجامدان
carry	هەڵگرتن
car	ئۆتۆمبێل
case	کەیس
cash	پارەی نەختی
castle	قەڵا
cast	تیم
casual	باو
catch	گرتن
category	جۆر
cattle	مەڕ و ماڵات
cat	پشیلە
caught	گرتی
cause	هۆکار
caution	هۆشیاری
cautious	هۆشیار
cave	ئەشکەوت
cease	گرتن
ceiling	بنمیچ
celebrate	ئاهەنگ گێڕان
cell	خانە
center	ناوەند
century	سەدە
cereal	دانەوێڵە
ceremony	ئاهەنگ
certainly	بە دڵناییەوە
certain	دڵنیا
certificate	بڕوانامە
chain	زنجیرە
chair	کورسی
challenge	ئاستەنگی
chance	دەرفەت
change	گوڕین
chaos	بێ سەروبەری
characteristics	تایبەتمەندیەکان
character	کاراکتەر
charge	بارگاوی
charity	خێرخوازی
charming	زۆر سەرنج ڕاکێش
chart	هێڵکاری
chase	ڕاوکردن
chat	چات
cheap	هەرزان
cheating	فێڵکردن
cheat	فێڵ
check	پشکنین
cheek	ڕوومەت
cheerful	خۆش
cheers	بەخۆشی
cheer	خۆشی
cheese	پەنیر
chemistry	کیمیا
cherish	ڕێزلێگرتن
chess	شەترەنج
chest	سنگ
chew	جوین
chicken	مریشک
chief	سەرۆک
childhood	منداڵی
children	منداڵان
child	منداڵ
chill	سارد
chimneys	دووکەڵکێش
chin	چەنەگە
chocolate	شوکولاتە
choice	بژاردە
choose	هەڵبژاردن
chop	بڕی
chores	کۆرس
chubby	دەموچاو قەڵەو
church	کەنیسە
cinnamon	قەنەفر
circle	بازنە
circumstances	بارودۆخەکان
citizen	هاوڵاتی
city	شار
claim	داواکردن
clarify	ڕوونکردنەوە
class	پۆل
clay	قوڕ
clean	پاک
clear	ڕوون
clerk	نووسەر
clever	زیرەک
client	کلایەنت
cliff	لاپاڵ
climate	ئاوهەوا
climb	سەرکەوتن
clingy	پێوەنووساو
clock	کاتژمێر
closet	کانتۆر
close	داخستن
clothes	جلوبەرگ
cloth	کوتاڵ
cloudy	هەوراوی
cloud	هەور
clown	قۆشمەچی
clue	بەڵگە
clumsy	نامۆ
cluster	هێشوو
coach	عارەبانە
coal	خەڵوز
coast	کەناردەریا
coat	چاکەت
coffee	قاوە
cognitive	مەعریفی
coincidence	ڕێکەوت
cold	سارد
collapse	شکست هێنان
collar	یاخە
colleagues	هاوپیشەکان
colleague	هاوکار
collection	کۆکردنەوە
collect	کۆکردنەوە
college	کۆلێژ
colorless green ideas slept furiously	بیرۆکە ناڕوونەکان نەمان
color	ڕەنگ
colour	ڕەنگ
column	ستوون
combination	ئاوێتەکردن
combine	ئاوێتەکردن
comb	شانە
come here	وەرە ئێرە
come on	وەرە
come	هاتن
comfortable	ئاسوودە
comfort	ئاسوودەیی
coming soon	بەم زووانە دەگات
coming	هاتوو
command	فەرمان
comment	سەرنج
commercial	بازرگانی
commission	کۆمسیۆن
commitment	پابەند بوون
committed	ئەنجامی دا
commit	ئەنجام دان
commodity	کەلوپەل
common	باو
communicate	پەیوەندی کردن
communication	پەیوەندیکردن
community	کۆمەڵگە
commute	هاتوچۆ
companion	هاوڕێ
company	کۆمپانیا
compare	بەراورد
comparison	بەراوردکردن
compassionate	هاوسۆز
compassion	سۆز
compatible	گونجاو
competent	لێهاتوو
compete	تەواو
competition	پێشبڕکێ
competitive	پێشبڕکێکارانە
complaint	سکاڵا
complain	سکاڵا
complement	تەواوکەر
completely	بەتەواوی
complete	تەواو
complex	ئاڵۆز
compliance	پابەند بوون
complicated	ئاڵۆز
compliment	پیاهەڵدان
comply	پابەند بوون
composition	داڕشتن
compound	ئاوێتە
comprehension	تێگەیشتن
comprehensive	گشتگیر
compromise	سازشکردن
compulsory	بەزۆرە ملێ
computer	کۆمپیوتەر
concentrate	جەختکردن
concept	چەمک
concerned	نیگەران
concern	نیگەرانی
concert	کۆنسێرت
conclusion	ئەنجام
concrete	بەرجەستە
conditions	بارودۆخەکان
condition	بارودۆخ
conduct	ئەنجامدان
conference	کۆنفرانس
confess	دان پێدانان
confidence	متمانە
confident	خاوەن متمانە
confirm	دڵنیاکردنەوە
conflict	ناکۆکی
confused	شێواو
confusion	شێوان
congrats	پیرۆزە
congratulations	پیرۆزە
congratulation	پیرۆزە
conjunction	لێکدەر
connect	گرێدان
conquer	داگیرکردن
consciousness	هۆشیاری
conscious	بەهۆش
consent	ڕەزامەندی
consequences	دەرەنجامەکان
conservation	پاراستن
conservative	پارێزکار
considered	ڕەچاوکراو
consider	ڕەچاوکردن
consistency	هاوڕێکی
consistent	هاوڕێک
consist	پێک دێت
constantly	بەردەوام
constant	جێگیر
constipation	قەبزی
construction	بنیاتنان
consume	بەکارهێنان
consumption	بەکارهێنان
contact	پەیوەندی
contagious	پەتا
contains	لەخۆ دەگرێت
contain	لەخۆگرتن
contemporary	هاوچەرخ
contempt	گاڵتە پێکردن
content	ناوەڕۆک
contest	پێشبڕکێ
context	سیاق
continent	کیشوەر
continue	بەردەوام بوون
contract	گرێبەست
contrast	پێچەوانە
contribute	بەشداریکردن
contribution	بەشداری کردن
control	کۆنترۆڵ
controversial	مشتومڕدار
convenience	ئاسوودەیی
convenient	گونجاو
conversation	گفتوگۆ
convert	گۆڕین
convey	کاروان
convinced	ڕازی کرد
convince	ڕازیکردن
cooking	چێشت لێنان
cook	چێشت لێنان
cool	باش
cooperation	هاوکاری
cope	گونجان
copper	مس
core	کڕۆک
corner	گۆشە
corn	گەنمەشامی
correct	ڕاست
costume	جلوبەرگ
cost	تێچوو
cottage	کوخ
cotton	لۆکە
couch	قەنەفە
cough	کۆکە
could	توانا
council	ئەنجومەن
counter	بەرامبەر
countryside	دەرەوەی شار
country	وڵات
count	گێرانەوە
couple	دووانە
courage	بوێری
course	کۆرس
courtesy	خۆش دوان
court	دادگا
cousin	ئامۆزا
cover	ڕووپۆش
coward	ترسنۆک
cow	مانگا
cozy	ئاسوودە
crab	قرژاڵ
crack	درز
craft	پیشە
crap	گەمژەیی
crash	پێکدادان
craving	ئارەزوو
crawl	گاگۆڵە
crazy	شێت
create	دروستکردن
creative	داهێنانکار
credit	کرێدیت
creepy	نامۆ
creep	نامۆ
crew	دەستە
crime	تاوان
cringe	ملکەچی
crisis	قەیران
criteria	پێوەر
critical	گرنگ
criticism	ڕەخنە
crops	بەروبووم
crop	قرتاندن
cross	سەرانسەر
crowded	قەرەباڵغ
crowd	گروپ
crown	تاج
crow	قەل
crucial	گرنگ
cruel	دڵڕەق
cruise	گەشتی دەریایی
crush	تێکشکان
cry	گریان
cucumber	خیار
cuddle	باوەشگرتن
culture	کەلتور
cunning	فێڵباز
cupboard	کانتۆر
cup	کوپ
curb	دامرکاندن
cure	چاک بوونەوە
curfew	قەدەغەی هاتوچۆ
curiosity	زانینخوازی
curious	پەرۆش
curly	لوول
currency	دراو
currently	لەکاتی ئێستادا
current	هەنووکە
curse	نەفرەت
curtain	پەردە
cushion	کوشین
customer	کڕیار
customs	نەریتەکان
custom	باو
cute	قشت
cut	بڕین
cycle	سووڕ
cycling	پایسکلسواری
daddy	باوکە
dad	باوک
daily	ڕۆژانە
dairy	بەرهەمی شیری
damage	تێکشکان
damn	نەفرەت
damp	گێل
dam	بەنداو
dance	سەما
dangerous	مەترسیدار
danger	مەترسی
dark	تاریک
darling	خۆشەویست
dash	جووڵەی خێرا
data	داتا
date	ڕێکەوت
daughter	کچ
day	ڕۆژ
deadline	دوا وادە
dead	مردوو
deaf	کەڕ
deal	مامەڵە
Dear All	بەڕزان
Dear Customer	کڕیاری بەڕێز
Dear Parents	باوکی بەڕێز
Dear Parents	دایک
Dear Sir	بەڕێز
Dear students	قوتابیە بەڕێزەکان
Dear Team	تیمی بەڕێز
dear	بەڕێز
death	مەرگ
debate	دیبەیت
debit	قەرز
debris	پاشماوە
debt	قەرز
decade	دەیە
decay	بۆگەن بوون
deceased	وەفاتی کرد
deceive	هەڵخەڵەتاندن
december	کانونی یەکەم
decent	شایستە
decided	بڕیاریدا
decide	بڕیاردان
decision	بڕیار
deck	پشتی کەشتی
decline	ڕەتکردنەوە
decrease	کەم کردنەوە
dedicated	تەرخانکراو
dedication	تەرخانکردن
deed	کردار
deep	قووڵ
deer	مامز
default	بنەڕەتی
defeat	شکست
defend	بەرگری کردن
define	پێناسەکردن
definitely	بێگومان
definition	پێناسە
degree	پلە
delayed	دواخراو
delay	دواخستن
delete	سڕینەوە
deliberate	بە ئەنقەست
delicate	وورد
delicious	بەتام
delighted	خۆشحاڵ
delight	دڵشاد
delivered	گەیاندی
delivery	گەیاندن
deliver	گەیاندن
demanding	داواکراو
demand	داواکردن
democracy	دیموکراتیەت
demonstrate	نمایشکردن
demon	نەگریس
denied	نکۆڵی کرد
density	چڕی
dentist	پزیشکی ددان
deny	نکۆڵی کردن
department	بەش
departure	جێهێشتن
depend	پشت بەستن
deploy	بڵاو کردنەوە
deposit	پارە دانان
depressed	پەست
depression	خەمۆکی
depth	قووڵی
describe	وەسفکردن
description	وەسف
desert	بیابان
deserve	شایستە
designation	ڕاسپاردن
design	ديزاين
desire	ویستن
desk	مێز
despair	بێ هیوایی
desperate	بێ هیوا
despite	سەرەڕای
dessert	شیرینی
destination	جێمەبەست
destiny	جێمەبەست
destroy	تێکشکاندن
destruction	تێکدان
details	ووردەکاریەکان
detail	ووردەکاری
detect	تێبینی کردن
determination	دیاری کردن
determined	دیاریکراو
determine	دیاری کردن
devastated	حەپەساو
developed	پەرەپێدراو
development	پەرەپێدان
develop	پەرەپێدان
device	ئامێر
devil	ئەهریمەن
devoted	تەرخان
Dhivehi	دیڤیهی
diabetes	شەکرە
diarrhea	سکچوون
diary	بیرەوەری
dictionary	فەرهەنگ
did	ئەنجامی دا
died	مرد
diet	ڕجیمی خۆراک
die	مردن
difference	جیاوازی
different	جیاواز
difficult	سەخت
dignity	شکۆ
dig	هەڵگەندن
diligent	تێکۆشەر
dinner	نانی ئێوارە
dip	نوقم کردن
direction	ئاڕاستە
director	بەڕێوەبەر
direct	ڕاستەوخۆ
dirty	پیس
dirt	پیسی
disabled	کەم ئەندام
disable	ناچالاک کردن
disappear	وون بوون
disappointed	بێهیوا
disaster	کارەسات
discard	ڕەتکردنەوە
discharge	بەخشین
discipline	بنەما
discount	داشکان
discover	دۆزینەوە
discrimination	جیاکاری
discussion	گفتوگۆ
discuss	گفتوگۆکردن
diseases	نەخۆشیەکان
disease	نەخۆشی
disguise	خۆگۆڕین
disgusting	قێزەون
dishes	قاپ
dish	قاپ
dismiss	بەلاوە نان
dispatch	ناردن
display	نیشاندان
disposal	فڕێدان
dispute	ناکۆکی
distance	دووری
distinct	جیا
distinguish	جیاکردنەوە
distress	تەنگانە
distribution	دابەشکردن
district	قەزا
disturb	بێزارکردن
ditch	چاڵ
diverse	هەمەجۆر
diversity	هەمەڕەنگی
dive	چوونە ناو ئاو
divide	دابەشکردن
divine	ئیلاهی
divorce	جیابوونەوە
dizzy	گێژ
doctor	پزیشک
document	بەڵگەنامە
doesn't	نەخێر
Dogri	دۆگری
dog	سەگ
doing	ئەنجامدان
doll	بووکەڵە
domain	دۆمەین
domestic	ناوخۆیی
dominant	باو
donate	بەخشین
done	تەواو
donkey	کەر
Don't worry	نیگەران مەبە
don't	نەخێر
dope	بێ مێشک
double	دوو هێندە
doubt	گومان
dough	هەویر
download	دابەزاندن
down	خوارەوە
do you love me	ئایا تۆ منت خۆش دەوێت
do you	ئایا تۆ
do	کردن
draft	ڕەشنووس
drag	ڕاکێشان
drain	ئاوەڕۆ
drama	دراما
drawer	چەکمەجە
drawing	وێنە کێشان
draw	وێنەکێشان
dread	ناخۆش
dream	خەون
dress	جل
drill	ڕاهێنان
drink	خواردنەوە
drive	لێخوڕین
dropped	کەوت
drop	کەوتن
drought	وشکە ساڵی
drunk	خواردیەوە
dry	ووشک
duck	مراوی
dude	پیاو
due to	بەهۆی
due	بەهۆی
dull	تاریک
dumb	گێل
dump	گێل
duration	ماوە
during	لەماوەی
dust	تۆز
duty	ئەرک
dwell	نیشتەجێ بوون
dying	بۆیەکردن
each other	یەکتر
each	هەر
eager	پەرۆش
eagle	باز
earlier	زووتر
early	زوو
earn	بەدەست هێنان
ears	گوێکان
earthquake	زەمین لەرزە
earth	زەوی
ear	گوێ
ease	سانا
easily	بە ئاسانی
east	خۆرهەڵات
easy	ئاسان
eating	خواردن
eat	خواردن
economic	ئابوری
economy	ئابوری
edge	لێوار
edit	بژارکردن
education	خوێندن
effective	کاریگەر
effect	کاریگەری
efficiency	چوستی
efficient	توانست
effort	هەوڵ
eggplant	باینجان
egg	هێلکە
ego	خۆپەسەند
eighteen	هەژدە
eighty	هەشتا
eight	هەشت
either	هەریەک
elaborate	ڕوونکردنەوە
elbow	ئەنیشک
elderly	بەتەمەنتر
elder	بە تەمەنتر
elegant	شەنگ
element	پێکهاتە
elephant	فیل
eleven	یازدە
eligible	شایستە
eliminate	بنبڕکردن
else	ئی تر
embarrassed	شەرمەزار
embarrassing	شەرمەزارکەر
embrace	لەخۆگرتن
emergency	فریاکەوتن
emerge	دەرکەوتن
emotional	سۆزداری
empathy	هاوسۆزی
emphasis	جەختکردن
emphasize	جەختکردن
employees	کارمەندان
employee	کارمەند
employer	خاوەنکار
employment	کار
empty	بەتاڵ
enable	چالاک کردن
encounter	ڕووبەڕوو بوونەوە
encourage	هاندان
endangered	ژێر مەترسی
endeavor	بەرگە گرتن
endurance	بەرگە گرتن
endure	بەرگە گرتن
end	کۆتایی
enemy	دووژمن
energy	ووزە
engaged	بەشدار
engagement	بەشداری کردن
engage	بەشداری کردن
engineer	ئەندازیار
engine	بزوێنەر
English	ئینگلیزی
enhance	باشترکردن
enjoy	چێژوەرگرتن
enormous	مەزن
enough	بەس
ensure	دڵنیاکردن
entertainment	دڵخۆشکردن
enter	چوونە ناو
enthusiasm	پەرۆشی
enthusiastic	پەرۆش
entire	کۆی
entitled	شایستە
entity	قەوارە
entrance	دەرگا
entrepreneur	پێشەنگکار
envelope	زەرف
environment	ژینگە
envy	حەسوود
epic	ئەفسانەیی
epidemic	پەتایی
equal	یەکسان
equipment	کەرەستە
equity	یەکسانی
equivalent	هاو واتا
eraser	سڕەرەوە
error	هەڵە
escape	ڕاکردن
especially	بە تایبەتی
essay	ووتار
essence	کڕۆک
essential	گرنگ
established	دامەزراو
establish	دامەزراندن
estate	خانوبەرە
estimated	خەمڵێنراو
estimate	مەزەندەکردن
etc	هتد
eternal	نەمر
ethics	ئێتیک
evaluate	هەڵسەنگاندن
evaluation	هەڵسەنگاندن
evening	ئێوارە
even though	گەرچی
eventually	لە کۆتاییدا
event	پێشهات
even	تەنانەت
everybody	هەموو کەسێک
everyone	هەموو کەسێک
everything	هەموو شتێک
every	هەموو
ever	قەت
evidence	بەڵگە
evil	شەڕانگێز
evolution	پەرەسەندن
evolve	گەشە سەندن
Ewe	ئێوی
exactly	بە تەواوی
exact	تەواو
examine	تاقیکردنەوە
example	نموونە
exam	تاقیکردنەوە
exceed	تێپەڕین
excellent	نایاب
exception	بەدەرکردن
except	جگە لە
excessive	لەڕادەبەدەر
excess	لەڕادە دەرچوون
exchange	ئالوگوڕ
excited	خۆشحاڵ
excitement	خۆشی
exciting	سەرنج ڕاکێش
exclusive	تایبەت
excuse me	ببوورە
excuse	بەهانە
execute	جێبەجێکردن
execution	جێبەجێکردن
executive	جێبەجێکار
exercise	مەشق
exhausted	ماندوو
exhaust	ماندوو
exhibition	نمایش
exhibit	نمایشکردن
existence	بوون
existing	هەبوو
exist	بوون
exit	دەرچوون
expand	فراوانکردن
expected	پێشبینیکراو
expect	پێشبینی
expenses	خەرجیەکان
expensive	گران بەها
experience	ئەزموون
experiment	تاقیکردنەوە
expert	شارەزا
expired	بەسەرچوو
explain	ڕوونکردنەوە
explanation	ڕوونکردنەوە
exploit	چەوسانەوە
explore	گەڕان
export	هەناردە
exposed	بەرکەوت
expose	بەرکەوتن
exposure	بەرکەوتن
expression	دەربڕین
express	دەربڕین
extended	درێژکراوە
extend	درێژکردنەوە
extension	درێژکردنەوە
extent	ماوە
external	دەرەکی
extinct	جیا
extract	دەرهاوێشتە
extraordinary	نا ئاسایی
extra	زیادە
extremely	بە تووندی
extreme	تووند
ex	پێشووتر
eyes	چاوەکان
eye	چاو
fabric	ڕیشاڵ
fabulous	ناوازە
face	دەموچاو
facilitate	ئاسانکردن
facilities	دامەزراوەکان
facility	دامەزراوە
factory	کارگە
factor	هۆکار
facts	ڕاستیەکان
fact	ڕاستی
fade	کزبوون
failed	شکستی هێنا
failure	شکست
fail	شکست
faint	پووکانەوە
fairly	دادپەروەرانە
fairy	پەری
fair	دادپەروەرانە
faithful	وەفادار
faith	باوەڕ
fake	ساختە
fall	کەوتن
false	هەڵە
fame	چوارچێوە
familiar	ئاشنا
family	خێزان
famine	برسیەتی
famous	بەناوبانگ
fancy	ناوازە
fantastic	ناوازە
fan	هەوادار
farewell	خواحافیزی
