a little	chuchoko
boil	mphiska
bold	wakulimba
bond	kukolerana
bone	chiwanga
book	buku
boost	kusazgako
booster	chakukhozga
boot	jombo
boots	skapato
border	mphaka
bore	kuvuka
bored	boweka
boring	kuboweka
born	babika
borrow	bweleka
boss	bwana
both	vose vibiri
bother	kusuzga
bottle	botolo
bottom	pasi
bought	kugula
bounce	kujumpha
bound	kakika
boundaries	malire
bow	sendama
bowl	bakule
box	bokosi
boy	munyamata
boyfriend	chibwezi
bracelet	chibangili
brain	mongo
branch	nthambi
brand	burandi
brave	chikanga
breach	kunanga
bread	chingwa
break	pumula
breakfast	chakulya cha mulenji
breast	mabele
breath	kupuma
breathe	thuta
breed	mtundu
brick	njerwa
bride	mukwati
bridge	muthandatho
brief	pachoko waka
bright	kuwala
brilliant	wakuwoneka makora
bring	zanacho
bro	longosi
broad	wambiri
broadcast	kuwulusa
broke	kwambula ndalama
broken	phyoka
broom	chithanyelo
brother	mukulu or munung'una wako
brother in law	mulamu
brought	zanacho
brown	burawuni
brush	burashi
bucket	baketi
buddy	bwenzi
budget	bajeti
bug	chakupulikisira mwa chinsisi
build	zenga
building	nyumba
built	zenga
bulk	vinandi
bull	ng'ombe yanalume
bully	wakuchita nkhaza
bump	gunda
bunch	mkoko
bundle	mutolo
burden	chiphinjo
buried	wundila
burn	wotcha
burst	phulika
bury	undila
bus	basi
bush	thondo
business	bizinesi
bust	pachifuŵa
busy	tangwanika
but	kweni
butter	majalini
butterfly	gulugufe
button	batani
buy	gula
by	na
by the way	ndiposo
bye	naluta
cabbage	kabichi
cabinet	kabati
cage	chiwaya
cake	keke
calf	tholi
call	chema
call me	niyimbila
called	chema
calm	kuzika
came	zanga
campaign	kampeni
can	-ngachita
Cancel	Kuleka
cancer	khansa
capable	kukwaniska
capacity	ukulu
capital	likulu
caption	mazgu ghakulongosora
capture	kola
car	galimoto
career	ntchito iyo ukugwira
careful	makolamakola
carefully	makola makola
careless	kwambula kujipwelelela
caring	kutemwa
carpenter	wakupala mathabwa
carpet	kapeti
carrot	karoti
carry	nyamula
carry on	lutilila
carry out	panga
case	mulandu
cash	ndalama
cast	gulu la sewero
castle	nyumba ya chifumu
casual	wakawaka
cat	chona
catch	kola
category	gawa la mugulu
cattle	ng'ombe
caught	kola
cause	chakwambiska
caution	chenjezgo
cautious	kuchenjera
cave	mphanji
cease	leka
ceiling	siling'i
celebrate	kondwa
cell	selo
center	pakati
century	vyaka 100
cereal	cereal
ceremony	mwambo
certain	simikizga
certainly	nadi
certificate	setifiketi
chain	tcheni
chair	mupando
challenge	chakusuzga
chance	mwabi
change	zintha
chaos	chivundungwelu
character	kachitiro
characteristics	vimanyisko
charge	kulipiska
charity	vyalusungu
charming	wakutowa
chart	tchati
chase	tchimbizga
chat	chezga
cheap	tchipa
cheat	pusika
cheating	pusika
check	beka
cheek	matama
cheer	kuseka
cheerful	mwakukondwa
cheers	kuchemerera
cheese	tchizi
chemistry	za sayansi
cherish	kondwa
chest	nganga
chew	sumba
chicken	nkhuku
chief	fumu
child	mwana
childhood	nyengo ya ubana
children	bana
chill	kuzizima
chimneys	machumuni
chin	chibwano
chocolate	chokoleti
choice	chisankho
choose	sankha
chop	kudumura
chores	ntchito zapanyumba
chubby	kututuwirako
church	tchalitchi
cinnamon	sinamoni
circle	zunguzga
circumstances	vyakuchitika
citizen	mweneko chalo
city	msumba
claim	khumba
clarify	longosola makola
class	kalasi
clay	dongo
clean	chakutowa
clear	fumya
clerk	mulembi
clever	chenjela
client	kasitomala
cliff	pa therezi
climate	vya nyengo
climb	kwela
clingy	kukakamira
clock	nyengo
close	jala
closet	chimbuzi
cloth	chakuvwala
clothes	malaya
cloud	mutambo
cloudy	kwa mitambo
clown	munthu wakuchita vakusekesya
clue	chimanyisko
clumsy	kuchita mwambura mahara
cluster	gulu la vinthu venevivo
coach	kochi
coal	marasha
coast	kunyanja
coat	khothi
coffee	khofi
cognitive	wamahara
coincidence	mwamwawi
cold	kuzizima
collapse	zinduka
collar	kolala
colleague	munyane
colleagues	wanyane
collect	tola
collection	kusonkheska
college	koleji
color	mutundu
colorless green ideas slept furiously	chambura mtundu girini maghanoghano wakagona mwaukali
colour	mutundu
column	mzati
comb	skakula
combination	kusazgana
combine	sazga
come	zanga
come here	zakuno
come on	zani kuno
comfort	pembuzga
comfortable	wakusanguluska
coming	kwiza
coming soon	kwiza sono sono
command	lamula
comment	kuyowoyapo
commercial	malonda
commission	ntchito
commit	kuwikapo mtima
commitment	kujipereka
committed	kujipereka
commodity	mbewu
common	bwekakweka
communicate	yowoya
communication	yowoyiskana
community	chigaba
commute	kuyendela
companion	munyako
company	kampani
compare	kuyaniska
comparison	kupambanisya
compassion	chitemwa
compassionate	chitemwa
compatible	kozgana
compete	pikisana
competent	wa luso
competition	mpikisano
competitive	kupikisana
complain	dandaula
complaint	dandaulo
complement	sazgilapo
complete	malizga
completely	kumalizgikilathu
complex	ndondomeko yakusuzga
compliance	kukolerana
complicated	kusuzga
compliment	kuwonga
comply	panga umo wakhumbila
composition	vipangikenge
compound	pamoza
comprehension	kupulikiska
comprehensive	wakukwana
compromise	kunyengerera
compulsory	chita bwenu
computer	kompyuta
concentrate	teghelezga
concept	ghanoghano
concern	khwaskika
concerned	kukhwaskika
concert	konsati
conclusion	pa umalilo
concrete	konkireti
condition	umo viliri
conditions	ndondomeko
conduct	kachitiro
conference	ungano
confess	ulula
confidence	kugomezga
confident	kugomezga
confirm	zomerezga
conflict	mukangano
confused	hangaika
confusion	chitimbaheti
confusion	chivundungwelu
congrats	chachita makola
congratulation	wachita makola
congratulations	nkhumuwongani
conjunction	kukolerana
connect	lumikiza
conquer	kuwina
conscious	tchelu
consciousness	kuba maso
consent	kuzomerezga
consequences	viyezgo
conservation	kujandizga
conservative	kususkana na kusintha kwa vinthu
consider	muganizile
considered	kughanaghanira
consist	muli
consistency	kukolerana
consistent	kusinthasintha
constant	nyengo zose
constantly	kwambura kuleka
constipation	kuqumba
construction	zenga
consume	kumala
consumption	karyelo
contact	kulumikizgana
contagious	kupasilana
contain	muli
contains	vyamukati
contemporary	mazuŵa ghano
contempt	kunanga
content	vyamukati
contest	pikisana
context	nkhani
continent	chalo
continue	lutilila
contract	chupulikano
contrast	lekaniska
contribute	pelekako
contribution	sonkha
control	kuwongolera
controversial	vakususkina
convenience	mwa khumbo linu
convenient	nchakunozga
conversation	dumbiskana
convert	lutiska
convey	peleka
convince	kusimikizga
convinced	wakagomezganga
cook	wakuphika
cooking	kuphika
cool	kuzizima
cooperation	ungano
cope	kulimbana nawo
copper	chisulo chiswesi
core	mkatikati
corn	ngoma
corner	kona
correct	nozga
cost	mutengo
costume	vyakuvwara
cottage	koteji
cotton	thonje
couch	sofa
cough	khosomola
could	wangachita
council	khansolo
count	welenga
counter	kauntala
country	chalo
countryside	ku mizi
couple	nthegwa
courage	chikanga
course	nthowa
court	khoti
courtesy	kuwonga
cousin	muvyala
cover	benekera
cow	ng'ombe
coward	wamantha
cozy	kusanguluska
crab	nkhanu
crack	lumwa
craft	luso la kupanga vinthu na mawoko
crap	viswaswa
crash	ganda
craving	mata
crawl	khwawa
crazy	funtha
create	panga
creative	kulenga
credit	ngongole
creep	kwawa
creepy	chinthu chakofya
crew	ŵantchito
crime	mulandu
cringe	kukhuwara
crisis	suzgo
criteria	nthowa
critical	chikulu
criticism	kususkika
crop	vyakumela
crops	mbewu
cross	mutanda
crow	chaholi
crowd	gulu
crowded	gulu
crown	korona
crucial	kukhumbikwa
cruel	nkhaza
cruise	tchimbila
crush	gandana
cry	lila
cucumber	nkhaka
cuddle	kuvumbatirana
culture	chikhalilo
cunning	kuchenjera mwauzereza
cup	kapu
cupboard	kabati
curb	kanizga
cure	mankhwala
curfew	nyengo yakuwelera ku nyumba
curiosity	kukhumba kumanya
curious	wakunweka
curly	kunyololoka
currency	ndalama
current	vyasono
currently	sono
curse	tembelela
curtain	makatani
cushion	khushoni
custom	mwambo
customer	kasitomala
customs	wamalango
cut	dumula
cute	kutowa chomene
cycle	kupalasa
cycling	kupalasa
dad	adada
daddy	adada
daily	zuba lililose
dairy	mkaka
dam	dambo
damage	kunangika
damn	imwe!
damp	chakunyewa
dance	vina
danger	ngozi
dangerous	kuofya
dark	ufipa
darling	wakutemweka
dash	mdumura mazgu
data	data
date	zuba
daughter	mwana wane mwanakazi
day	zuba
dead	kufwa
deadline	zuba la kujala
deaf	kwambula kupulika
deal	malana
dear	wakutemweka
Dear All	Wakutemweka mose
Dear Customer	kasitomala wakutemweka
Dear Parents	wakutemweka wapapi
Dear Sir	wakutemweka adada
Dear students	wakutemwaka wasambili
Dear Team	Wakutemweka wumba wose
death	nyifwa
debate	kususkana
debit	ngongole
debris	viswaswa
debt	ngongole
decade	vyaka 10
decay	kunangika
deceased	chiponde
deceive	kunyenda
december	disembala
decent	kwenelera
decide	sankha
decided	naganiza
decision	chiganizo
deck	deki
decline	kana
decrease	kuchepa
dedicated	kujipereka
dedication	kujipereka
deed	zintchito
deep	kunjila pasi
deer	nswala
default	kuleka kukwaniriska
defeat	gonjesa
defend	kujanda
define	kulongosora
definitely	nadi
definition	ng'anamulo
degree	digiri
delay	chedwesa
delayed	kuchedwesa
delete	sisita
deliberate	mwa dala
delicate	chambura kulimba
delicious	nowa
delight	kukondwela
delighted	kukondwa
deliver	peleka
delivered	kupeleka
delivery	wapeleka
demand	pempha
demanding	kukhumba mwakuchichizga
democracy	demokalase
demon	chibanda
demonstrate	woneska
denied	kukanika
density	unandi
dentist	dokotala wa mino
deny	kana
department	dipatimenti
departure	nyamuka
depend	kugomezga
deploy	tumizga
deposit	wika
depressed	Kusuzgika maghanoghano
depression	kusuzgika maghanoghano
depth	kunjila pasi
describe	longosola
description	kulongosora
desert	chupululu
deserve	kwenerera
design	kupanga
designation	udindo
desire	khumbilo
desk	thebulu
despair	mwakugongowa
desperate	kukhumbisiska
despite	kwambula
dessert	dizeti
destination	malo agho ŵakuluta
destiny	munthazi
destroy	nanga
destruction	kunanga
detail	mwakukwana
details	dongosolo
detect	kuwoneseska
determination	kukhazikika mtima
determine	kumanya
determined	simikizga
devastated	kukhwasika
develop	panga
developed	kupanga
development	chitukuko
device	chipangizo
devil	satana
devoted	temwesesa
Dhivehi	Dhivehi
diabetes	matenda gha shuga
diarrhea	kujulika
diary	dayale
dictionary	dikishonale
did	wakachita
die	ifwa
died	kufwa
diet	chakurya chakasintha
difference	kupambana
different	kupambana
difficult	chinonono
dig	jima
dignity	ulemu
diligent	kulimbikira
dinner	chakurya cha namise
dip	kubizga
direct	chindunji
direction	longola
director	mulongozgi
dirt	binkha
dirty	kubinkha
disable	funyako
disabled	kupendela
disappear	soba
disappointed	gongowa
disaster	soka
discard	kutaya
discharge	fuma
discipline	nkhalo
discount	kukhizga
discover	manya kakwamba
discrimination	nkhaza
discuss	yowoyiskana
discussion	vidumbilano
disease	matenda
diseases	matenda
disguise	kujibisa
disgusting	wakuseluska
dish	mbale
dishes	mbale
dismiss	kuwuskapo
dispatch	peleka
display	kuwoneska
disposal	kutaya
dispute	mukangano
distance	mutunda
distinct	kupambanapambana
distinguish	lekaniska
distress	kusuzgika
distribution	kugaba
district	boma
disturb	kutangwaniska
ditch	nkhando
dive	duka
diverse	mitundu yakupambanapambana
diversity	kupambanapambana
divide	gaba
divine	Ungweru
divorce	lekana
dizzy	tulo
do	chita
do you	kasi imwe
do you love me	ukunitemwa ine
doctor	dokotala
document	pepala
does	chita
dog	ntchewe
Dogri	Dogri
doing	kuchita
doll	chidole
domain	malo wakulamulirika nawanyakhe
domestic	pamlyango
dominant	wakuluska
don't	yayi
Don't worry	kufipa mutima yayi
donate	peleka
done	panga
donkey	mbunda
dope	munkhwala
double	vibiri
doubt	kayika
dough	kusagza maji na tirigu
down	pasi
download	tola
draft	kulemba kakwamba
drag	guza
drain	julila
drama	sewelo
draw	lemba
drawer	chigawa cha kabati
drawing	chakujambula
dread	wofi
dream	maloto
dress	malaya
drill	jima khululu
drink	chakumwa
drive	tchika
drop	taya
dropped	kutaya
drought	chilala
drunk	lowela
dry	womila
duck	baka
dude	munyamata
due	chifukwa
due to	chifukwa cha
dull	wambula kupulika
dumb	leka kupulika
dump	taya
duration	utali wa nyengo
during	munyengo
dust	chuvu
duty	ntchito
dwell	khala
dying	kufwa
each	chimoza
each other	yumoza na munyake
eager	khumbilo
eagle	chiwombankhanga
ear	nkhutu
earlier	mbele
early	luwiloluwilo
earn	pokela
ears	makutu
earth	chalo cha pasi
earthquake	chindindindi
ease	kumasuka
easily	waupusu
east	kumafumiro gha dazi
easy	upusu
eat	kurya
eating	kurya
economic	vyachuma
economy	vyachuma
edge	mphepete
edit	kusintha
education	masambilo
effect	zotsatira
effective	wakovwira
efficiency	kuchita makora
efficient	wakovwira
effort	nkhongono
egg	sumbi
eggplant	mabilingano
ego	vakuganiza mwenecho
eight	zinkhondi na zitatu
eighteen	khumi na vikhondi na vitatu
eighty	makumi ghankhondi na ghatatu
either	kungawa kuti
elaborate	kulongosora
elbow	chigongono
elder	mulala
elderly	walala
elegant	woneka makora
element	elementi
elephant	ndhlovu
eleven	khumi na chimoza
eligible	wakwenelera
eliminate	funyako
else	kunyake
embarrassed	kukhozgeka soni
embarrassing	kukhozga soni
embrace	kukumbatira
emerge	fuma
emergency	vyamabuchibuchi
emotional	maghanoghano
empathy	kuŵa na chitima
emphasis	didimizga
emphasize	kusindikizga
employee	wantchito
employees	wantchito
employer	wakulemba ntchito
employment	ntchito
empty	kwambula kanthu
enable	panga kugwira ntchito
encounter	kukumana
encourage	limbikiska
end	umalilo
endangered	uwofyi
endeavor	kuyezga
endurance	zizipizga
endure	kupilira
enemy	mulwani
energy	nkhongono
engage	kukolerana
engaged	chinkhoswe
engagement	chinkhoswe
engine	injini
engineer	injiniya
English	chizungu
enhance	kusazga
enjoy	kondwa
enormous	chikulu
enough	vyakwana
ensure	simikizga
enter	njira
entertainment	vyakusanguluska
enthusiasm	chidwi
enthusiastic	ŵakunweka
entire	vyose
entitled	wakwenelera
entity	chinthu icho chilipo
entrance	mulyango
entrepreneur	wamalonda
envelope	nevulupu
environment	malo
envy	sanji
epic	ndakatulo ya muwiro wakale
epidemic	matenda
equal	kuyana
equipment	katundu
equity	wambura kutemwera
equivalent	kuyana
eraser	sisita
error	zangika
escape	tchimbila
especially	chomenechomene
essay	chimangilizo
essence	esensi
essential	vyakukhumbikwa
establish	kukhazikiska
established	kukhazikiskika
estate	munda
estimate	chiyezgelelo
estimated	sachizgo
etc	na vinyankhevinyakhe
eternal	muyilayila
ethics	kakhaliro
evaluate	pima
evaluation	kupima
even	nanga
even though	nanga uli
evening	usiku
event	chakuchitika
eventually	pamanyuma pake
ever	nyengo zose
every	waliyose
everybody	waliyose
everyone	waliyose
everything	vyose
evidence	ukaboni
evil	wulwani
evolution	kufuma kwa mbewu
evolve	kufuma ku
Ewe	Ewe
ex	chamunyuma
exact	wakuneneska
exactly	nthena nthena
exam	mayeso
examine	beka makola
example	chiyezgelelo
exceed	juphizga
excellent	wachita makola
except	kulekapo
exception	kupatula
excess	vinandi
excessive	chomene
exchange	sinthana
excited	kondwa
excitement	chikondwelelo
exciting	kondwesa
exclusive	yekhayekha
excuse	dandaulo
excuse me	nkhangweleni
execute	koma
execution	kukomeka
executive	wakulongozga
exercise	khwimiska thupi
exhaust	vuka
exhausted	kuvuka
exhibit	chioneselo
exhibition	chioneskelo
exist	chiliko
existence	kukhalako
existing	vyakukhazikika
exit	pakufumila
expand	kuzga
expect	kulindilila
expected	kulindizgika
expenses	vyakugula
expensive	kudula
experience	ivyo wakumanya
experiment	kuyezgelela
expert	kaswiri
expired	kumala ntchito
explain	longosola
explanation	kulongosola
exploit	nkhando
explore	kuwona
export	kutumizgirana katundu
expose	wika pakwelu
exposed	kuwonekera pakweru
exposure	wika pakwelu
express	yowoya
expression	mazgu
extend	sazgilapo
extended	kutalikiska
extension	kusazgilapo
extent	unandi
external	vyakuwalo
extinct	zamara
extra	kusazgilapo
extract	kuunyapo
extraordinary	chakuzirwa chomene
extreme	chomene
extremely	chomene
eye	jiso
eyes	maso
fabric	salu
fabulous	wakuzizwiska
face	chisko
facilitate	kuchita vinthu kwambura kusuzgika
facilities	malo
facility	malo
fact	unenesko
factor	chakukhumbika
factory	fakitale
facts	fundo
fade	kuzimwa
fail	feluka
failed	kutondeka
failure	kutondeka
faint	komoka
fair	chilungamo
fairly	mwakukwana
fairy	kanakazi kamasalamusi
faith	chigomezgo
faithful	gomezgeka
fake	utesi
fall	kuwa
FALSE	utesi
fame	tchuka
familiar	kumanyikwa
family	banja
famine	njara
famous	kutchuka
fan	fani
fancy	chapachanya
fantastic	wakuzizwiska
far	kutali
farewell	kulayilana
farm	munda
farmer	mulimi
fascinating	kondwesa
fashion	fashoni
fast	lubilo
fat	tutuwa
fatal	kuofya
fate	tsoka
father	dada
fatigue	vuka
fault	suzgo
favorite	kutemweka
favour	kutemwela
favourite	chakutemweka
fear	mantha
feast	mphwando
feather	mahumba
feature	chigawa
features	vigaŵa
february	febuluwale
fed up	kukhutiskika
fee	malipiro
feed	lyesa
feedback	zgolo
feel	pulika
feeling	pulika
feet	malundi
fell	kuwa
fellow	munyithu
felt	kupulika
female	mwanakazi
fence	mpanda
fertile	chonde
festival	chikondwelelo
fetch	tola
fever	kuwinya muliwavu
few	vichoko
fewer	wachoko
fiance	chibwenzi
fiction	vyakuchezga
field	munda
fierce	kuofya
fifteen	khumi na vikhondi
fifty	makumi ghankhondi
fight	mbembe
fighting	mbembe
figure	chiŵerengero
figure out	kumanya
file	fayilo
fill	kuzura
filled	kuzula
film	kanema
filthy	kubinkha
finally	paumalilo
finance	vyachuma
financial	vyachuma
find	sanga
find out	fumba fumba
fine	makola
finger	njowe
finish	mala
finished	kumalizga
fire	moto
firm	kukhora
first	chakwamba
first name	zina la kwamba
fish	somba
fit	kukwana
five	vinkhondi
fix	nozga
fixed	nozgeka
flag	mbendela
flash	kung'anima
flat	pakunyoroka
flaw	chakunangika
flawless	chambulakunangika
flee	tchimbira
flesh	nyama
flew	kuwuluka
flex	masuka
flexible	masuka
flight	ndege
flip	benekula
flirt	songa
flirting	kusonga
float	yandama
flood	chigumula
floor	pasi pa nyumba
flour	ufu
flow	kwenda
flower	maluwa
flu	chikhoso
fluent	yowo chomene
fluently	mwambura kusuzga
fluffy	weya wakutowa
fluid	cha maji
fly	chakuduka
focus	kuwika chidwi
fog	nyakhuwinda
foggy	nyakhuwinda
fold	pinda
folks	wabale
follow	londezga
follow up	londolozga
following	kulondezga
food	chakurya
fool	chindele
foolish	chindele
foot	lundi
football	bola
for	kwa
For example	mwa chiyezgelelo
for instance	mwachiyelezgero
for you	tchako
forbidden	chakukanizgika
force	nkhongono
forecast	kulosera
forehead	chipumi
foreign	wakuwalo
forest	thondo
forever	muyilayila
forget	luwa
forgive	gowoka
forgot	luwande
fork	foloko
form	fomu
formal	mwapadera
former	kale
fortunately	mwamwabi
fortune	mwabi
forty	makumi ghanayi
forty-two	makumi ghanayi na viwiri
forward	kunthazi
foster	wakulera
fought	timba
found	sanga
foundation	maziko
four	vinayi
fourteen	khumi na vinayi
fox	nkhandwe
fragile	chakusweka
frame	feremu
framework	dongosolo la ntchito
fraud	unkhungu
freak	wakutemwa vinthu chomene
free	ulele
freedom	ufulu
freeze	kuomiska
frequency	kanandi waka
frequent	kanandinandi
frequently	kanandinandi
fresh	viwisi
friday	chinkhondi
fridge	firiji
friend	munyako
friendly	kuchezgeka
friends	wanyane
friendship	chimunyankhe
frightened	kuofyeka
frightening	kuofya
frog	chule
from	kufuma
front	kunthazi
frozen	kukhoma
fruit	vipaso
frustrated	kukhumudwisika
fuel	mafuta gha galimoto
Fulfulde	Fulfulde
full	zula
fun	sekeska
function	kugwila ntchito
fundamental	vakukhumbikwa
funeral	nyifwa
funny	vyakusekesa
fur	ubweya
furious	kukwiya
furniture	mipando
further	kulutilila
furthermore	kulitilila apoo
future	kunthazi
gain	kupindula
game	masewera
gap	mphambano
garage	galaja
garbage	viheni
garden	munda
garlic	galiki
gate	geti
gather	ungana
gathering	ungano
gauge	geji
gave	peleka
