Yembo	a
Sanmé	blast
Zavèl koom	bleach
Naagé	blend
Ning barkat	bless
Sẽn barke	blessed
zõanga	blind
Zu noogo	bliss
sag muuga	block
Zɩɩm	blood
Puubu	bloom
Saalga	blow
Kẽega	blue
Sẽn fugi	blunt
Yaysgo	board
koglgo	boat
yĩnga	body
Kaiigé	boil
Kaam	bold
N naage	bond
Konbré	bone
Karemé	book
N paase	boost
Rʋsa	booster
Noind mouma	boot
Boat ramba	boots
Todga	border
Boko	bore
Katoumdé	bored
Katoumdé	boring
Sen doge	born
Nougtika	borrow
naaba	boss
A yiibou	both
Boumsoaba	bother
Kolobré	bottle
Tingre	bottom
Raamin	bought
Leb-singé	bounce
bibi	bound
Tèka	boundaries
tãpo	bow
Bɔle	bowl
Touko	box
Bi-ribla	boy
Zoa bila	boyfriend
Kalembanga	bracelet
kalkõto	brain
N welge	branch
Nambo	brand
Raowdo	brave
Gand todga	breach
Bouri	bread
Wangé	break
Yibéoogo riibo	breakfast
bĩisri	breast
Nor-yũugu	breath
N vʋʋse	breathe
buudu	breed
Tankoemdé	brick
Sẽn kãadme	bride
Kʋl-beongo	bridge
Ko ɛ ɛg-koɛɛga	brief
pindamin	bright
pindamin	brilliant
Songré	bring
zoa	bro
yalongo	broad
Lebg in ningi	broadcast
Wan	broke
N kao	broken
Saaga	broom
Babiiga	brother
Pag kinma	brother in law
Kon viinem	brought
sablga	brown
Roubou	brush
Koteoogo	bucket
zoa	buddy
Ligd tʋmdga	budget
Zĩm molle	bug
N me	build
meebo	building
Min	built
Rawisgo	bulk
lolga	bull
Sin pa tounsi	bully
Koundi	bump
Ti vando	bunch
Ning tor toré	bundle
ziibo	burden
boussi	buried
yõoge	burn
pusgri	burst
woumbou	bury
Zirga	bus
Monguin	bush
Tuumnoore	business
Noora yé	bust
Sink_kayé	busy
la	but
kaam	butter
Pilipikou	butterfly
Tutga	button
inda	buy
Nin	by
Zilima	by the way
Nindaaré	bye
Su ramba	cabbage
Almoore	cabinet
Ro guilga	cage
burmaasa	cake
Nagbila	calf
Boolé	call
Booli maam	call me
N boole	called
Sii	calm
wame	came
Sigri	campaign
Toin	can
Ka toin yé	can't
Bas tisa	Cancel
Paafo	cancer
tõogre	capable
tõogo	capacity
yõodo	capital
Nind	caption
gnonké	capture
Loré	car
A paga	career
Ne gesgo	careful
Somaa	carefully
Sin pa tall da menga	careless
Yam raab songo	caring
Minizé	carpenter
pitabdga	carpet
Karota	carrot
Touké	carry
kengdin	carry on
Geele	carry out
Mak	case
Winlgo	cash
N lobe	cast
Kobaoré	castle
Wak-wakato	casual
Gnouga	cat
Gnonké	catch
Gom biis saka	category
Roumsi	cattle
Gnonké	caught
Sabaabo	cause
Reng in wilgi	caution
Tall m menga	cautious
Koug bèda	cave
Bassé	cease
lugri	ceiling
N kɩdme	celebrate
Zinbila	cell
Souka	center
Yuum kobre	century
Kood biisi	cereal
Tigri	ceremony
Kinre	certain
Tindamin ti	certainly
Caset sebré	certificate
Tokr zinga	chain
Zaoga	chair
baoobo	challenge
Zũ-noogo	chance
Tekré	change
zũndri	chaos
Roogo	character
Manessem sin welgé	characteristics
Ziibo	charge
Pʋɩɩre	charity
Neeré	charming
in naalé	chart
tãoosgo	chase
Yèsé	chat
Wend na lokraaga	cheap
Zambé	cheat
Zambo	cheating
Vaiisinbangé	check
yagdga	cheek
Noug-poaka	cheer
Sũ-noogo	cheerful
Nug-poaka	cheers
kaam	cheese
Nassar karengo	chemistry
Nongin	cherish
Kongré	chess
Gnaogo	chest
Wanbé	chew
noaaga	chicken
naam	chief
biiga	child
Gnadré	childhood
kamba	children
waoodo	chill
Tou ti ta	chimneys
Kobré	chin
Nassarribo	chocolate
yãkre	choice
Gnanké	choose
Kè	chop
ziibu	chores
Gingesbèda	chubby
Wẽnd-doogo	church
Baag taamdé	cinnamon
gũbri	circle
Voilà yela	circumstances
Teng in biiga	citizen
Gãlo-tẽnga	city
Sukre	claim
vinégé	clarify
Rarẽnd-doogo	class
yaka	clay
Kasomba	clean
Wininga	clear
Boukaoda	clerk
Bangda	clever
Raadinga	client
Tamsé	cliff
Zĩig kõbgo	climate
N rʋ	climb
In deegé	clingy
Wiligd wakat	clock
Pagbo	close
Teed ningr zinga	closet
kudga	cloth
futu	clothes
sawato	cloud
Sawata beemin	cloudy
Ko keeda	clown
Wiligda	clue
Sẽn ka tũ sore	clumsy
Ti bi kili	cluster
wilgda	coach
Bougsanlé	coal
Kogré	coast
Fou kenga	coat
A taii	coffee
Bangr minim	cognitive
Yaare	coincidence
Waoodo	cold
Lʋɩɩse	collapse
Yandé	collar
T ʋm-ne-taaga	colleague
Toumdin taasé	colleagues
N tigsi	collect
Tiguingou	collection
Karẽn-doogo	college
Konbgo	color
Tags kinsan sin ka konbga ganya sii	colorless green ideas slept furiously
Konbgo	colour
Foole	column
Sansga	comb
Naagtaaba	combination
Naag taaba	combine
Waabo	come
Way ka	come here
Kinger	come on
Noo zinga	comfort
Nooma	comfortable
Sin waté	coming
Sen waté	coming soon
Baa	command
sin yan ninda	comment
Sẽn koosda	commercial
toolé	commission
N maane	commit
Menkouni	commitment
Sẽn dɩk tʋʋma	committed
Sin ya tilay	commodity
id soolem	common
mooné	communicate
sõsga	communication
zamaana	community
Kind la lebgda	commute
zoa	companion
In gingda	company
N make	compare
Welegtaaba	comparison
Kʋme	compassion
Maan songré	compassionate
sin zemstaaba	compatible
Wagsé	compete
Tong	competent
Youmdé	competition
Toin wagsé	competitive
N zabe	complain
Soupanoogo	complaint
Baasé	complement
Pidamin	complete
Manessemdamba	completely
Yel-toogo	complex
Sẽn wẽnege	compliance
toogo	complicated
Pẽka	compliment
Intoun	comply
Sin ya toto	composition
Sinbebé	compound
Woumbo	comprehension
zãnga	comprehensive
Wom-taare	compromise
tilae	compulsory
Nasaar mancin	computer
Wike	concentrate
nind sen yi	concept
Zouloayga	concern
Sinkindnin	concerned
Reem wakat	concert
Kʋʋbo	conclusion
betõ	concrete
Sinatoun	condition
Sasa wa sen na yi a soaba	conditions
A toré	conduct
Tigsga	conference
Kis kaseto	confess
Konsida	confidence
Ko_sida	confident
Vinem	confirm
Tẽn-kũum	conflict
Wininga menga	confused
Kalengo	confusion
Gadaoogo	congrats
Pinka	congratulation
Ned zounoogo	congratulations
Yongneg bila	conjunction
N kin tonk pouga	connect
Lebg indeeg	conquer
Yam-soaba	conscious
Puga	consciousness
Sakré	consent
Yell sẽn wat ne	consequences
Bingui	conservation
Sin bingda	conservative
Waogalamin	consider
N waooge	considered
Kitiyi	consist
Tirga	consistency
Sẽn tũ sore	consistent
Nao-bogd zug yalsgo	constant
Wakat fan	constantly
Pokaega	constipation
meebo	construction
Indi	consume
Rɩɩbo	consumption
Bãngre	contact
Logdé	contagious
N reege	contain
tara	contains
Pindramba	contemporary
Paoogre	contempt
Sinbepouguin	content
Wagestaaba	contest
Noug ganga	context
Ting kassenga	continent
N kel n maane	continue
N deege	contract
Sẽn ka lebe	contrast
Songré	contribute
Songré	contribution
guesgo	control
No koemdé	controversial
Boumb_faan	convenience
Manesim	convenient
Sonsga	conversation
inlebgé	convert
N kɩse	convey
N tõoge	convince
Kon sida	convinced
rãgende	cook
Biibo	cooking
Sonma	cool
Toumdintaré	cooperation
Sembidin	cope
Zuundou	copper
sũuri	core
Kamaana	corn
Lili	corner
Kiap	correct
Kirga	cost
fuverdé	costume
Raad roogo	cottage
lango	cotton
Zaoga	couch
Kelgé	cough
Toin	could
Saglé	council
N sõde	count
Sam regre zinga	counter
Tinga	country
weoogin	countryside
kãadba	couple
Raoodo	courage
Zaka	course
N bao	court
Ninzoodo	courtesy
Pogdinga	cousin
Fu-goabga	cover
Nag-yãanga	cow
Nin wanga	coward
Nooma	cozy
garenga	crab
Sin poussi	crack
Nougtoum toumba	craft
Karissa	crap
Soor zug sampogdo	crash
Banega	craving
Koom rougbou	crawl
gãeega	crazy
Mamsé	create
yagda	creative
samde	credit
Nod koom	creep
Tara rabeem	creepy
Roog teedo	crew
winga	crime
maam-reem	cringe
Zouloayiga	crisis
Nao kindré	criteria
Wɩdga	critical
Widé	criticism
rogomik	crop
koudoumdé	crops
pika	cross
goonbgo	crow
Zãma	crowd
N pidi	crowded
Maanfo	crown
Pakré	crucial
Poutoogo	cruel
Sektaaba	cruise
Wangué	crush
yãbre	cry
Zinbiisi	cucumber
salengo	cuddle
Kʋdemde	culture
rabaare	cunning
tase	cup
armoaare	cupboard
Sor noore	curb
N sãooge	cure
Guidegré	curfew
Bao-bangé	curiosity
Baobangé	curious
Zob libri	curly
Banogo	currency
Moasan	current
Maasmasa	currently
Kan-winga	curse
Lillga	curtain
Zoukouka	cushion
Rogomiki	custom
Ket intinré	customer
Doand damb zinga	customs
Kafika	cut
Neema	cute
Bit sugre	cycle
Weefo	cycling
ba	dad
baaba	daddy
Daar fãa tʋʋmde	daily
Biis koasa	dairy
Baraasé	dam
Ka zemsyé	damage
Sibgré	damn
Maasem	damp
Saoga	dance
yel pakré	danger
Masɩɩba	dangerous
lika	dark
Mnonga	darling
Yangé	dash
kuundama	data
Daaré	date
Bipougla	daughter
Yi-beoogo	day
kũum	dead
Rabaasdga	deadline
muka	deaf
Sakre	deal
Mneda	dear
Mneb somin	Dear All
Raadinga	Dear Customer
Yamba rogdba	Dear Parents
Nin songo	Dear Sir
Yamba karmbibèda	Dear students
Mtaaba	Dear Team
kũum	death
Nokoemdé	debate
Ligd worgdem	debit
Pagdo	debris
samde	debt
Yuum piiga	decade
Yen ponsré	decay
sinkaya	deceased
Zambé	deceive
Yum sar kiuugu	december
Sensigui	decent
Yam yankré	decide
Yam yãkre	decided
Yam yamkré	decision
beongo	deck
louyisé	decline
N booge	decrease
N ɛd yʋʋr yĩnga	dedicated
Konminga	dedication
Kaset sebre	deed
Zouloungou	deep
Weo-bʋʋga	deer
Kègre	default
Kongré	defeat
Zab deegé	defend
N vẽnege	define
Windawa	definitely
Sẽn datẽ yɛɛlga	definition
Sẽn ta to-to	degree
pa wa punda	delay
Maagé	delayed
Yanké	delete
Yanka yam	deliberate
Yel solemde	delicate
Nooma	delicious
Sin-noogo	delight
Sũ-noogo	delighted
Tikissé	deliver
ti kiss	delivered
Kisga	delivery
Kosgo	demand
Takda min	demanding
Basyardo	democracy
Souyana	demon
N modgẽ wilgi	demonstrate
Zongsé	denied
Soonré	density
Sin tipda yen bansé	dentist
N zãgse	deny
Kadenga	department
loogre	departure
Delé	depend
Tal in kingé	deploy
Rɩglgo	deposit
Rin tikin	depressed
Zu-lebga	depression
Zoulem	depth
Goulsé inwilgi	describe
Wiligri	description
Waré	desert
Segdinpaam	deserve
magsga	design
Yankre	designation
sin data	desire
Bɩrʋ	desk
Kankae	despair
Sẽn mak n konge	desperate
Baa in	despite
Rasempʋɩɩga	dessert
Sin debdi	destination
Wẽnd pʋlengo	destiny
Sanmé	destroy
Saanga	destruction
Ber-berbé	detail
Wegsgo	details
Yan	detect
Sɩd kɩsgo	determination
Fo kalé	determine
Kon minga	determined
Sanmé	devastated
Yidigri	develop
Yidgi	developed
Yidigri	development
Sonsga	device
Soutana	devil
Kont minga	devoted
Madive goam	Dhivehi
Noosem baanga	diabetes
Saanga	diarrhea
Seb bila	diary
Buuda gom bi baoore	dictionary
A maana	did
Ki	die
Maan kaalem	died
Naam	diet
Welgré	difference
Tekre	different
Toogo	difficult
Touki	dig
yali	dignity
Maansoma	diligent
Riibo	dinner
Lisi	dip
Tɩrga	direct
Teesgo	direction
Taor soaba	director
ringdo	dirt
Ringdo	dirty
Gnanké	disable
Yank bassé	disabled
N meneme	disappear
Gounsmenga	disappointed
sãanga	disaster
lobé	discard
Sigamin	discharge
Na-kẽnd sõngo	discipline
Barsé	discount
N bãnge	discover
Welgetaaba	discrimination
N sõse	discuss
Sonsga	discussion
Banda	disease
Bansé	diseases
Tedgré	disguise
Yam yiiga	disgusting
Laaga	dish
Laasé	dishes
Lobgé	dismiss
Minim	dispatch
N vẽnege	display
Yela sen ganeg toto	disposal
yelle	dispute
zãrem	distance
Sẽn ka wẽnege	distinct
yãke	distinguish
No beongo	distress
P ʋɩɩbo	distribution
soolem	district
N namse	disturb
Loanga	ditch
Lisi	dive
Ataaba	diverse
waoolem	diversity
Pouibo	divide
Sen toun ne wendé	divine
Bastaaba	divorce
Sẽn bɛdma	dizzy
Maané	do
Fo yaa…	do you
Fo rata maam	do you love me
logtore	doctor
Sebr	document
Maané	does
Ka tar	doesn't
Baaga	dog
Canada goam	Dogri
yel sombdé	doing
Reem tedo	doll
bang kang soaba	domain
Yir-bũmbu	domestic
Sin yida	dominant
Ra maana ye	don't
Ra sãam-f sũur ye	Don't worry
Kon	donate
Mané	done
Bonga	donkey
Tab yoodo	dope
Yilmé	double
Sambogo	doubt
Zom nagdga	dough
tinga	down
Sigamin	download
Sẽn ka sõma	draft
salgé	drag
Ko-so-yiisdg bila	drain
Zaoko	drama
Naalé	draw
Tirwarare	drawer
Naalego	drawing
Rabeem	dread
zãmse	dream
Fu-woko	dress
Poogé	drill
N yũ	drink
N wẽne	drive
Membé	drop
Bassé	dropped
Sa-paoore	drought
Raam sin tara soaba	drunk
Koinga	dry
Ladɩ	duck
M nega	dude
Sinsegda	due
A yĩnga	due to
Oub sin pa mi	dull
yalemdo	dumb
Nug-tikri	dump
kaosgo	duration
Wakat kanga	during
wubsgu	dust
Sen segda	duty
Raboogo	dwell
In dat in ki	dying
Fan	each
Yin a yéwan	each other
Babiraado la babipogsé	eager
Wibga	eagle
Tʋbre	ear
La ra	earlier
Pinda	early
Paamé	earn
Touba	ears
Tẽnga	earth
Teng sin digui	earthquake
N yolse	ease
faag faaga	easily
ya	east
Nana	easy
Riibo	eat
Ritla	eating
Ko-souk	economic
Arzèka	economy
Kirga	edge
Tedgé	edit
Sida mnonga	education
Teogo	effect
sõma	effective
Sombo	efficiency
Sẽn yaa sõma	efficient
Nadegpanga	effort
Guelé	egg
Koumba	eggplant
Menga	ego
Ngué	eight
Pii la nii	eighteen
Pis nii	eighty
Bi	either
N mage	elaborate
Kantiiga	elbow
Kasema	elder
Youm wusgo	elderly
Neem	elegant
beele	element
Wobgo	elephant
Pii la yé	eleven
Sẽn tõe paame	eligible
Gnanké	eliminate
Sinbegé	else
Tiisgou	embarrassed
Tiisdamin	embarrassing
Neeré	embrace
Nuki	emerge
Yãgdem yelle	emergency
Yeesgo	emotional
Yam bogsem	empathy
Koɛɛga	emphasis
Ringré	emphasize
Tʋʋm-biiga	employee
Toumd biiga	employees
toumd soaba	employer
Toumdé	employment
Zaalem	empty
Sak	enable
segre	encounter
Kon raodo	encourage
Saabo	end
Be minin zougou	endangered
Modgre	endeavor
Toin zoesé	endurance
Talraoodo	endure
Bè	enemy
Vinem	energy
N sɩnge	engage
Kɩs-n-menga	engaged
sardo	engagement
Bonvoundem	engine
Tʋʋm mita (à spécifier)	engineer
Gilimdou	English
Teksongo	enhance
Piangé	enjoy
Wʋsgo	enormous
seke	enough
Songé	ensure
Kin	enter
reem	entertainment
Sũ-noogo	enthusiasm
sũnoogo	enthusiastic
zanga	entire
Azugan	entitled
Zinga	entity
Kinbo	entrance
Meng tʋʋma	entrepreneur
Fiibre	envelope
We_viougo	environment
velem	envy
Sin loogé	epic
Baan loangdga	epidemic
Zem-taare	equal
tuum teedo	equipment
Zem-taare	equity
Winlgo	equivalent
Talkumdo	eraser
Toudgri	error
N põsge	escape
Sinteyiida	especially
Mamsé	essay
Esans	essence
Sin yaa tilay	essential
N manege	establish
Vẽenem	established
Zinga	estate
makré	estimate
Kaage	estimated
La sin tar indebda	etc
Ka saabo	eternal
Buudu	ethics
Gueelé	evaluate
Magbo	evaluation
Baa	even
Baa sã	even though
Zaabre	evening
Tigri	event
Baasgo	eventually
Bada	ever
fãa	every
Neba fan	everybody
Sindebdi	everyone
Fan	everything
Kasseto	evidence
Sẽn ka sõma	evil
Sin kin toto	evolution
Keng taore	evolve
Gana la togo goam	Ewe
Pind	ex
Woto	exact
Woto bala	exactly
wagestaaba	exam
Waiisin bangé	examine
rik makré	example
In loogé	exceed
Sombo	excellent
San	except
Sans ka	exception
Ti loogé	excess
Ti loogé	excessive
sõsga	exchange
gnin yikri	excited
Konraoodo	excitement
Yamleogo	exciting
Sen ya yé	exclusive
Maan sugri	excuse
Maan mam sugri	excuse me
In maané	execute
Maan tao	execution
Sẽn segdẽ dɩke	executive
Zamsé	exercise
Pemsem yib zinga	exhaust
Yaamsé	exhausted
wilgri	exhibit
Wiligri	exhibition
inbé	exist
Belem	existence
Sinbé	existing
Yi	exit
N yidgi	expand
Maagué	expect
Tẽeb sẽn ka be bũmb zugu	expected
Ligd yiisdi	expenses
Mneda	expensive
Minem	experience
bangré	experiment
Bangda	expert
Ta dare tèka	expired
Inzemsé	explain
wiligri	explanation
Tal intoum	exploit
N gese	explore
Yiisi	export
Wilgi tib gess	expose
Wilgui	exposed
Yɛdgre	exposure
N gome	express
goma	expression
N yalge	extend
Yalem	extended
longre	extension
Sen dɩk n kẽnge	extent
Yinga	external
Kiisi	extinct
Sin paasida	extra
Sin yank bilfou	extract
Pawindato	extraordinary
Kirga	extreme
Sẽn yɩɩda	extremely
Nifou	eye
Nina	eyes
Peendé	fabric
Sẽn ta	fabulous
Kẽ-taare	face
Faasem	facilitate
viglgu	facilities
faasem	facility
Maane	fact
Sin toundi ninda	factor
Lozindi	factory
Malsem	facts
Ménim	fade
N konge	fail
kongé	failed
Piougda	failure
Pãng kaalem	faint
In zengué	fair
Hali	fairly
Bumb ligdi	fairy
Timbo	faith
Dar fan	faithful
zĩri	fake
Som_minga	fall
beedo	FALSE
Ninyouré	fame
minungu	familiar
Zaka	family
Kom	famine
Koosgo	famous
Kafika	fan
Koussa	fancy
Yelsoalem	fantastic
Zanra	far
Wẽnd na kõd nin-daare	farewell
Ko	farm
Kakoaada	farmer
Sẽn ta	fascinating
Girma	fashion
Tao tao	fast
Kaam	fat
Wingal	fatal
Bassgo	fate
ba	father
yaamsé	fatigue
Nao-kẽn-yooko	fault
Sẽn nong n yɩɩda	favorite
Toum zinga	favour
nonglem	favourite
Yaiisé	fear
Dum nobdsé	feast
Konbdo	feather
Sintalid toto	feature
Sinwelgué	features
Wao fugdg kiuugu	february
Ya né	fed up
maasga	fee
Tolog_kasenroogo	feed
Lebgre	feedback
Mike ti	feel
Tẽebo	feeling
Karga	feet
N kʋ	fell
Toundinga	fellow
Fɛtre	felt
Paga	female
gũbga	fence
Bougsga	fertile
Tigri	festival
N tɩ bao	fetch
Riibo	fever
Bilifou	few
yanké	fewer
Mdonlé	fiance
Ka sida	fiction
Pougo	field
Ne pãnga	fierce
Piig la nou	fifteen
Pis nou	fifty
maoore	fight
Maoré	fighting
Geel-bila	figure
Fo kalé	figure out
Riglé	file
N pidsi	fill
Pidi	filled
Filim	film
Roogo	filthy
Sin bé bansroogo	finally
tanma	finance
Arzèka	financial
Minki	find
Imbangé	find out
Soma	fine
Nougbila	finger
N baase	finish
samin	finished
bugm	fire
Toum noore	firm
Nanda	first
Yʋʋre	first name
zĩifu	fish
Intou	fit
Nou	five
N manege	fix
In ningui	fixed
Tab kaooré	flag
Vinem	flash
Laaga	flat
Zugo	flaw
Ka toin soaba	flawless
Zoésé	flee
Gango	flesh
A zoum	flew
Yomsé	flex
Naana	flexible
Yikre	flight
Lebegé	flip
Nonglembila	flirt
Sen kiim	flirting
Lengré	float
koom sẽn kẽ zĩig sẽn da wɛ n ya koɛɛnga	flood
Paame	floor
zom	flour
Konbgo	flow
Tiipoudou	flower
Non koum	flu
Ko wiiga	fluent
Wakat wusgo	fluently
Tar kongo	fluffy
yaa nana	fluid
zuki	fly
N wɩke	focus
Bourgo	fog
Gouloungoubri	foggy
Toolé	fold
Neba	folks
Pogé	follow
Pogbo	follow up
Sẽn pʋgda	following
Riibo	food
yalemdo	fool
yalemdo	foolish
karga	foot
Bal taong ziiga	football
Sin naa	for
Rik makré	For example
Rik makré	for instance
Fo yinga	for you
Sẽn gɩdge	forbidden
Panga	force
magbo	forecast
Rinri	forehead
San_na	foreign
weoogo	forest
Wakat fãa	forever
Gnimbou	forget
Kon sougri	forgive
gnimbou	forgot
Fursèt	fork
Ya woto	form
Sor sin kon	formal
Kʋdre	former
Wendsongré	fortunately
Arzèka	fortune
Pis naasé	forty
Pis naas la yi	forty-two
