a little	qunxaama
brilliant	nabam meqe
brilliant	kas le
bring	bah
bro	saacibow
bro	toobokoytaw
broad	fidinih
broad	baarle
broadcast	aybalaalaqa
broadcast	xaagu tatrusu
broke	tiggileh
broke	lakqo sinna
broke	yiggileh
broken	tiddigilleemi
broom	fiyeena
brother	toobokoyta
brother in law	ballu
brought	baaheh
brought	baahen
brown	diimin bisu
brush	fiy
brush	askutiyya
bucket	baaladi
buddy	xayi kataysa
budget	miizaniyyata
bug	laclacisiyya
build	xis
building	xisne
built	xiseh
bulk	kaxxam mango
bull	aguru
bully	kokaysseka
bump	koxoqto
bunch	buttà
bundle	kuxaaxuwu
burden	quuka
buried	yomoogoqeh
burn	carris
burst	bakaqa
bury	uguq
bus	awtabuusu
bush	garbo
business	tellemmo
business	kabxa
bust	butukka hay
busy	agxeli
but	laakin
but	takkay immay
butter	subaaca
butterfly	laahiniti
button	adranto
buy	xaam
by	edde
by the way	woh wonnal anuk
bye	salaamata
cabbage	gommana
cabinet	reedantu
cabinet	kareera sanduugu
cage	dagge
cake	keeki
calf	ruga
call	seec
call me	Silki yoh has
called	seeceh
calm	sahha
calm	tibba
came	yemeeteh
campaign	gaadu
can	xiiqi
can	duud
can't	duudewayti
Cancel	Kal
Cancel	Bayis
cancer	barasa
cancer	sissactu
capable	dudda le
capacity	xiqto
capacity	dudda
capital	gadda
capital	qaasima
caption	ammonta
caption	baxxaqsa
capture	ugus
capture	ibbix
car	kokkobeena
career	taama mihrata
careful	garci luk
carefully	cubbi luk
carefully	caatih
careless	carrà-mali
caring	hanaawisiyya
carpenter	orfaaleena
carpet	fiddima
carrot	kaarootu
carry	ukkuq
carry on	bisoh inxic
carry out	abiyya
case	caagidi
cash	lakqo
cast	iraw elle qid
castle	kalqata
casual	caagid maleh
casual	annaak
cat	dummu
catch	ibbix
category	butta
cattle	laa
caught	yibbixeh
cause	sabab
caution	cubbi geya
cautious	cubbi-abe
cave	gabla
cease	soolis
ceiling	tarmaana
celebrate	esseked
cell	misiqi
cell	suuqunta
center	fana
center	gude
century	bool sanata
cereal	muduudun daro
ceremony	waynabo
certain	asmat leemi
certain	digga leemi
certainly	asmat luk
certificate	sumaq warkata
chain	silsilata
chair	korsi
chair	wanbara
challenge	gexe-kala
challenge	adafa
chance	saami
change	milaagu
chaos	wexxeqi
chaos	madqa sinna
character	kinnaane
characteristics	cagli caalata
charge	mellebi
charge	girat haanam
charity	meqem abitto
charming	ruffa hayti
chart	qarwali
chase	diiriyyo
chat	walala
cheap	rakiisi
cheat	duquurus
cheat	aylahis
cheating	ayrisiyya
check	fokkaq
cheek	xabana
cheer	farci qeyto
cheerful	rufto leemi
cheers	meqem qaagiti
cheese	hobba
chemistry	Kemistri
chemistry	kemikaal kusaaqih misso
cherish	hanaawis
chess	gabuxxa
chest	aliili
chew	etcet
chicken	dorrahi
chief	saqala
child	alqi
child	awka
childhood	qunxamariino
children	urru
chill	waaca
chimneys	qerti mawqeeniti
chin	quxe
chocolate	chokkolaata
choice	dooro
choose	door
chop	irgiq
chop	garuuqu
chop	kur
chores	nakur le taama
chubby	gabul le
church	kaniisa
cinnamon	karfa
circle	maro
circumstances	yan caalata
citizen	baaxò baxa
city	magaala
claim	ikoytiino esseriyya
claim	falmaanama
clarify	baxxaqis
class	butta
clay	galhà ballaaqe
clean	saytun le
clear	qaddos
clerk	yaysirriqi
clever	kas le
client	maqmiili
cliff	boolo
climate	rosqa
climate	hawa caalata
climb	eweq
climb	feer
clingy	xakabtaama
clock	wakti loowo
clock	saaqata
close	xayih
close	alif
closet	armaadiyo
cloth	saro
clothes	saritte
cloud	qamburre
cloudy	qamburre le
clown	furkactuli
clue	tacmuuma
clue	afkana
clumsy	qataatakiyya
clumsy	makko sinna
cluster	xaynal kurma
cluster	klasteri
coach	aydakaakanisè
coal	diyyi
coast	baddi qaxa
coat	kootu
coffee	bunà
cognitive	mesenkaca
coincidence	inki adda akkiyya
cold	xamca
collapse	fiqna
collapse	diglo
collar	shamiizik ayti
colleague	illih taamitan numu
colleagues	illih taamitan mara
collect	kobxis
collect	gaabos
collection	gaaboyso
collection	kobxisso
college	kolleeji
color	bisu
colorless green ideas slept furiously	bisu sinni anxaxin mablooli xinteh bakcarritak
colour	bisu
column	qari qamiddu
comb	amo fil
comb	fileena
combination	asgolla
combine	inkittos
combine	esgel
come	am
come here	annah am
come on	am
comfort	sahha
comfortable	sahha le
coming	mamaata
coming soon	xayi uddur tamaateh
command	amri
comment	mabla mattaco
commercial	kabxah
commission	komishiini
commit	taamah ittikiy
commit	baguk taamit
commitment	taamah xagani culma
commitment	taama tikya
committed	xagana cule
commodity	kabdah uwwa
common	tamixxigeemi
common	ittengey lem
communicate	oyti tabsa
communication	oyti tabsa
communication	angaaraw
community	ayyunta
commute	gexay-gaca
companion	kataysa
companion	wakliita
company	missoyna
compare	qalalis
comparison	qalayla
compassion	racmatta
compassion	xuwaawa
compassionate	xuwawli
compatible	ittat bictaama
compete	qalal
competent	dudda le
competition	anaakara
competition	qalayla
competitive	anaakar leemi
complain	weeqa
complain	malkit xayyos
complaint	weeqa
complaint	dareemu
complement	qokolu
complement	ossotina
complete	sel
complete	kibne leemi
completely	inkitanuuh
complex	centebbaaru leemi
compliance	madqat gexsitiyya
complicated	centebbaaritteemi
compliment	fayla
comply	madqah rammit
composition	qadar bicsa
compound	gurrumac
comprehension	cedimi
comprehensive	ceddimtaama
compromise	fanah yamaateenimi
compromise	edde-orob mablo
compulsory	dirki
compulsory	dirk
computer	kombiiteri
concentrate	hangi kah cuy
concept	macsabà
concern	qayyaawa
concerned	acsubiyya
concert	dokla
concert	gaddi handaga
conclusion	mamarraqa
concrete	hunun numma
concrete	koncreeti
condition	wakti caalata
condition	sharti
conditions	caaloota
conduct	gexsiti
conference	koboxu
conference	daffeyna
confess	ekeel
confidence	isil-kibal aalliyya
confident	isil kiballi
confirm	diggos
conflict	ittin waya
conflict	boodu
confused	baditeh
confusion	baditi
congrats	unkaq
congratulation	unkaq
congratulations	unkaq ruffa inte!
conjunction	qagor asgella
conjunction	giti agle
conjunction	agle
connect	osgoorow
connect	xakbis
conquer	seewah orbis
conscious	kasat aniyya
consciousness	macsaba
consciousness	kasat aniyya
consent	edde bicimi
consent	idini
consequences	xalootu
conservation	hanaawi
conservation	daana
conservative	sugti-dacrisi
consider	cubbus
consider	ossokot
considered	cubbuseenimi
consist	addat le
consistency	korankore-wayti
consistent	kori sinniimi
consistent	raagtaama
constant	kore sinniimi
constantly	aggiriqqe kal
constipation	bagi-kafnaana
construction	xisno
consume	adoobit
consume	xagit
consumption	adooba
contact	angaarawa
contagious	tabta dalka
contain	addat yabbixe
contains	addat le
contemporary	inki waktihimi
contemporary	fiqma
contempt	bura
content	addatiino
content	ruffa
contest	qalayli
context	addatiino ceximi
context	yan caalata
continent	qaran-gubà
continent	kaarra
continue	bisoh inxic
contract	cibu
contrast	giddi
contrast	sadu
contribute	qokol
contribution	qokolu
control	lowsiisi
controversial	daqwat leemi
controversial	ittin-way leemi
convenience	bica aalliyya
convenience	sahha'
convenient	bica le
conversation	walala
convert	koris
convert	diini korsè numu
convey	tatrus
convey	tabis
convince	eyseemeniyya
convince	geysis
convinced	geysiiseh
cook	maaqo alas
cooking	maaqoh alaysiyya
cool	xamcinih
cool	meqeh!
cooperation	cato
cooperation	koobahsa
cooperation	egla
cope	kalalit
cope	esseed
copper	nacaasa
core	rakiibo
corn	qelbo
corner	gona
correct	gitah taniimi
cost	awqenta
cost	mekla
costume	bilqà sara
cottage	daasa
cotton	tuutu
couch	qarkayto
cough	gosonu
cough	kacuwu
could	duudak ten
could	takkem duude
council	malà buxa
council	majlisi
count	loowo
count	low
counter	loowise'
counter	sadu
country	baaxo
countryside	barri baaxo
couple	nammay takko
couple	qasaala
courage	agiirannu
course	dayimi
court	cokmi buxa
court	sangerra
courtesy	massakaxxa
courtesy	rammiti
cousin	anna baxa
cousin	qammih baxa
cover	sarsa
cover	uqur
cow	saga
coward	cunxoli
cozy	sahha leemi
crab	baddi-igixxu
crack	baqu
craft	naggaarinna
crap	bagi daaco
crap	guddaafa
crash	iggil
crash	boodu
craving	sangeeli
crawl	cankakkaabiy
crazy	cabuli
create	bicis
create	gin
creative	hadale num
creative	feera maqaane
credit	abuudu
credit	galto gacsa
creep	raaris
creepy	waqaqissaama
crew	tayyaara taameeniiti
crew	markab
crime	baatili
cringe	wacarriy lem
crisis	ceya
crisis	taqabi
criteria	xiqsisso
criteria	faxximataama
critical	assacokkal
critical	hangi faxxa caddo
criticism	assacokka
crop	darò murti
crop	kur
crops	daroora
cross	tatur
cross	tab
crow	kuraanu
crowd	sehdà koboxu
crowded	sehdà koboxu
crown	taaqe
crucial	kaxxam faxximtaama
cruel	xuwaw sinna
cruise	wacaysir safata
crush	iggil
cry	weeqiyya
cucumber	farangi xubba
cuddle	aliilit hayiyya
culture	qaada
cunning	mako aalliyya
cunning	cogdiyya
cup	kubbayya
cup	figgana
cupboard	armaadiyo
curb	waas
curb	soolis
cure	daylis
cure	dayla
curfew	angoyyi waaso
curiosity	ixxigà qataatako
curious	ixxigà bakar le
curly	buqrih tan amò
currency	maali mellebi
current	wakti caalat
currently	awayih udduurut
curse	abaaro
curtain	reebu
curtain	geebo
cushion	makadda
cushion	barkuma
custom	qaada
customer	maqmiili
customs	gumruku
cut	qandis
cut	irgiq
cute	qaxmeqeemi
cute	qaklentu
cycle	meekooka
cycle	qagitta tekko
cycling	cycling
dad	abba
daddy	yi-babba
daily	kulli ayro
dairy	canti
dam	karawwada
damage	umaane
damn	ces!
damp	uunaane
dance	argaade
danger	qawwalayla
dangerous	qawwalaylu
dark	dite
darling	kacnoyta
dash	fiica
data	uwwaytu
data	tutaaxago
date	ayro
daughter	say awka
day	ayro
dead	rabteemi
deadline	maymarraqah ayro
deaf	ayti sinna
deaf	mayaabbi
deal	sittin gey
dear	yenkeecene
Dear All	inkih tan massakaxallelak
Dear Customer	massakaxxale
Dear Parents	Massagaxxale Xaleyna
Dear Sir	Massakaxxale Saqal
Dear students	Massakaxxale barteenitiy
Dear Team	Massakaxxale horta
death	raba
debate	giddi
debit	daanie cisaabak tewqeemi
debris	burruuka
debt	mago
debt	abuudu
decade	tabna-liggida
decay	lagda-akkiyya
deceased	rabeh
deceive	aylahis
december	ciggila kudo
decent	moddaqiyi
decent	adabi leemi
decide	margaqa beeh
decide	waneh
decided	margaqa elle abeenimi
decided	madqimteemi
decision	margaqa
deck	markab-baaxa.
decline	ragoogiyya
decline	ciniyya
decrease	daggoysiyya
dedicated	madqeh
dedication	aciyya
dedication	fidà
deed	taama
deed	abto
deep	adda-xeeri
deer	biqida
default	qemmò dooriti
defeat	gacti
defend	waaso
defend	kalaliyya
define	qaddos
definitely	hununuh
definition	maqna
definition	figda
degree	digri
degree	caddo
delay	udurro
delayed	udurrutteemi
delete	finqis
delete	bayis
deliberate	cisaabisiyya
deliberate	makoh
delicate	maqar sinniimi
delicious	salfa le
delight	satta
delight	rufto
delighted	ruftoli
deliver	gufus
delivered	gufseh
delivered	gufusseh
delivered	maaddeh
delivery	gufsiyya
delivery	xaliyya
demand	faxximiyya
demand	esseriyya
demanding	macal leemi
demanding	esseraanama
democracy	demokraasi
demon	seetana
demon	ibliisi
demonstrate	qaddooseh
denied	waaseenih
density	okqà
dentist	moddina caakimi
deny	yengeddeh
department	dabba
department	ludda
departure	ugtuma
depend	aamanti elle le
depend	kibal elle le
deploy	afkan aciyya
deposit	kaalo
deposit	culsa
depressed	sinsilaaleh
depression	sinsilaala
depth	adda-xeer
describe	baxxaqse
description	baxxaqisiyya
desert	ali-afeyta
desert	qabar le baaxo
deserve	taguudeh
deserve	tassacakkeh
design	siddoyseh
design	siddoysiyya
designation	asta
desire	fayxi
desire	faxeh
desk	riigi
desk	qarrà
despair	niya argiqiyya
desperate	kaxxa fayxi
desperate	niya-yirgiqe
despite	takkay immay
dessert	salfa leela
dessert	tallafoyseena
destination	madma'
destiny	nasiibi
destiny	qidoyta
destroy	butukka-hay
destroy	bayis
destruction	baysiyya
detail	adda fakootitte
detail	fedellitte
details	addz fakootitte
detect	fokkaaqot geeh
determination	gidmi-liino
determine	madqeh
determine	gey
determined	timixxigeem
devastated	finqitteh
develop	dadlaanam
developed	dadliseh
development	dadala
device	mansafa
devil	seetana
devoted	aamanti le
Dhivehi	Dhivehih afa
diabetes	sokkar biyaaka
diarrhea	bag-gexo
diary	kassiisenta
dictionary	qamgor maysaqarra
did	abeh
die	rab
died	rabeh
diet	maaqo
difference	baxsa
different	baxsa le
difficult	gidbih
dig	dag
dig	cot
dignity	konnabna
dignity	sharafa
diligent	agiru
dinner	afxago
dip	kumus
direct	saanih
direct	amris
direct	miraacis
direction	afkan aciyya
direction	mohoodo
director	barittò-buxah saqala
director	taamà-miraaca
dirt	wasaka
dirty	wasak
disable	duddi kaliyya
disabled	erkenna li
disappear	bayiyya
disappointed	hagga iyye
disaster	qawwalayla
discard	qidiyya
discard	kaliyya
discharge	yeyyeeqeh
discharge	cabeh
discipline	adabi leemi
discount	nukusi
discover	naharsi geyto
discrimination	deelu
discrimination	guno
discuss	walal
discussion	walala
disease	biyaaka
disease	dalka
diseases	lakmitte
diseases	biyaakitte
disguise	aaquriyya
disgusting	qax umaama
disgusting	sakki leemi
dish	sacani
dishes	maaqooqa
dismiss	diiriyeh
dismiss	yeyyeeqeq
dispatch	farmo
display	ayballaate
display	uybulluy
disposal	rikkisiyya
dispute	qaduwwi
dispute	tuhata
distance	xexxaara
distinct	baxsa leemi
distinct	itta ceelo waytaama
distinguish	ittak baxis
distress	ceyà
distress	taqabi
distribution	fixiixisiyya
distribution	kuriyya
district	dariifa
district	awda
disturb	wexxeqi
disturb	yaaqe
ditch	lee le boodo
ditch	cabiyya
dive	culiyya
diverse	baxaa baxsa leemi
diversity	qaynatiino
diversity	mangintiino
divide	keefiy
divide	kur
divine	yallih imi
divorce	cabti
dizzy	baaxò meeko
do	ab
do you	atu abtaa
do you love me	atu yoo kicintoo?
doctor	doktooru
doctor	caakimi
document	sanada
does	abah
doesn't	maaba
dog	kuta
Dogri	Dogrih afa
doing	abiyya
doll	asangulliti
domain	xinto
domestic	qafaaritteemi
domestic	buxah addah imi
dominant	daga raaqe
don't	maabin
Don't worry	mameesitin
donate	cateh
done	gaba kalteemi
done	abeenimi
donkey	danana
dope	kasmuda
double	nammaya
doubt	asmat sinnimi
doubt	bohoyu
dough	unduru
down	gubat
down	addah
download	oobis
draft	qagunta
drag	giit
drain	caxiyya
drama	ransa
draw	taswiir hayti
drawer	caxxi sanduugu
drawing	taswiiri
dread	cunxo
dream	soono
dress	sara
drill	cotiyya
drink	aqub
drive	beyto
drop	qideh
dropped	qideh
drought	qabaara
drunk	sakraante
dry	kafnaana
duck	gaayya
dude	alya
due	gara
due to	sabbatah
dull	qulaala
dumb	qulaaaka
dumb	duuda
dump	qidiyya
dump	cabiyya
duration	udduro
during	waktih addat
dust	ballaaqe
dust	qaane
duty	fardi
duty	dirki
dwell	tut raagiyya
dwell	aniyya
dying	rabiyya
each	kulli tii
each other	tiiy tiit
eager	sangeele
eagle	qawiita
ear	ayti
earlier	iisa
earlier	ahak afal
early	xayi uddur
earn	geeh
ears	aytiita
earth	baaxo
earth	ardi
earthquake	baaxoh angoyya
ease	sahali luk
easily	xabcinuk
east	ayrò mawqa
easy	sahalik taniimi
eat	xag
eat	ukum
eating	akmiyya
economic	maduuru
economy	madduru
edge	lemedi
edit	ceesayiyya
education	baritto
effect	uraara
effect	tuk xalu
effective	xalu le
efficiency	xiqto
efficient	dudda le
effort	macala
egg	naala
ego	kibriya
eight	bacaara
eighteen	taban kee bacaara
eighty	bacra tabana
either	akkiiy
elaborate	qaddoysiyya
elbow	cusulu
elder	karmah nabo
elder	kaslenta
elderly	karma kaxxoyta
elegant	bilaqale
element	tumamme
elephant	dakanu
eleven	taban kee ti
eligible	gar le
eligible	xiqqimtaama
eliminate	eyyeq
eliminate	kal
else	kalah
else	akke wayteh
embarrassed	wacarriyeh
embarrassing	wacarrissaama
embrace	oggolu
emerge	ugitte
emerge	yumbulle
emergency	qawwalayla
emotional	cawwartuli
empathy	xuwaawa
emphasis	baxsa le hangi
emphasize	kaxxa hami acuyya
employee	taameyna
employees	taama abeyniiti
employer	tamsiise
employer	tamlisè
employment	taama aalliyya
employment	tamlisiyya
empty	foyya
enable	xiqsiisiyya
encounter	foocat garayiyya
encourage	ilsiiseh
encourage	uguugus
end	ellecabo
end	gabakalti
endangered	qawwalaylet raddè
endeavor	macala
endurance	xiiqi
endurance	cimli
endure	xiqiyya
endure	xiq
enemy	naqboyta
energy	elmo
energy	cayla
engage	asgolliyya
engage	esgel
engaged	agxet aniyya
engaged	rusuq le
engagement	rusuqhayti
engine	motooru
engineer	mahandis
English	engliiz afa
enhance	yeysiiseh
enjoy	ruffa xic
enjoy	farcit
enormous	gidiidinih
enough	xiqtah
enough	duddah
ensure	diggos
enter	culus
entertainment	sabhalaala
enthusiasm	kaxxa niya
enthusiastic	kaxxa niicli
entire	amolladih
entire	inkiih
entitled	ammunta le
entity	xagara
entrance	culmeyna
entrepreneur	tellemoh egla xise
envelope	warkat kiisi
environment	baaxo caalat
environment	dariifa
envy	aysinu
epic	agri fayla
epidemic	dadhoyta
equal	inki gide
equal	missa
