a	Yembo
are you married	Fo kin kadem
are you married or single	Fo kãadmamebɩ fo yaa ra-kõore
Are you still there?	Yamb keta ka
are you there	Fo beeme
area	zĩiga
argue	Gom-n-lubga
argument	No-koeemde
arise	Lingi yi
arm	nugu
army	Tingaanbani
around	Singuilgui
arrange	Wingligi
arrangement	Manegré
arrival	Taabo
arrive	Wooko
arrived	taabo
arrogant	Yʋ-baooda
arrow	Piinm
art	Toumdé
article	Yʋʋr bila
artificial	Nissaal sin maané
artist	Reem deemda
as	Wala
as long as	San pa
as well	Sin paasé
as well as	Né a
ash	Tompinkem
ashamed	Yandé
ask	Souké
asked	souké
asleep	Gounsi
aspect	nenga
Assamese	Aymarendo
assault	Kin
assembly	zama
assertive	Pa sak nana
assess	N mage
assessment	Magué
asset	Ligd t ʋmdga
assets	Tuuda
assign	kon
assignment	Toum wengin
assist	Songé
assistant	Songré
associate	Sen naage
associated	Sẽn naage
association	Lagemintaaré
assume	San maké
assumption	Ragin
at least	Baa sã
ate	A rɩɩme
athlete	Zoéta
attach	sinbé
attached	Sẽn be pʋgẽ
attachment	Nind sen tolgé
attack	Winbo
attempt	Mamsego
attend	Yii kaset ne
attendance	Belembé
attention	Gous-menga
attitude	Mane_sem
attract	Booda
attraction	Tar yamleogo
attractive	Kont raabo
attribute	yaagnin
audience	Zamaan zãnga
august	Sa sik kiougou
aunt	Pogdba
aunty	Pogdba
authentic	Sẽn lebe
author	Gʋlsda
authority	Taoor saoba
autumn	N so menga
available	Beemin
average	Pouisouka
avoid	Gounss
awake	Wisgré
award	Waoogé
aware	Taryam
awareness	Tags
away	Zanrem
awesome	Somba
awful	Rabeem
awkward	Ka tirga
Aymara	Assamaido
baby	Bipeelga
bachelor	Rakonré
back	Pooré
background	Sẽn be poorẽ
bad	Wenga
bag	korgo
bait	Pog gnongsa
bake	ruge
bakery	Bour koosg zinga
baking soda	Bicarbonad
balance	Zem-taare
ball	Gong-nepemsem
Bambara	Bambarande
banana	bordi
band	Souli
bang	Win
bank	Ligd baoré
bar	Ranm ziinga
barely	Sẽn na sɩng bala
bargain	sore
bark	Wessé
barley	Roums riibo
barrier	Bindgo
base	Basda
based	Sinbé
basement	Tinga pougin
basic	Sẽn ka zem bũmbu
basically	Tifan
basil	Yilinyuuga
bastard	Koinbré
batch	Souli
bath	Soubo
bathroom	Ko-solsga
battery	Batéri
battle	Teegré
bay	Ti bila
be	Bebé
be careful	Guus if menga
beach	Sin pa to
beam	Sen vili wogdo
beans	Benga
bear	Rounga
beard	Toɛɛnga
bearing	Paam tiim
beast	yalma
beat	Maon
beautiful	Neeré
beauty	Ninrem
became	Sin lebgé
because	Bala
become	Lebgé
bed	gaaga
bedroom	Roganga
bee	Sin
beef	naafo
been	Ra yii
beer	Ranm
before	Nand ti pa ta
began	A singamin
begin	Tolongo
beginning	Sɩngre
behalf	Ne wendé
behave	Men-zãare
behavior	Yalsé
behaviour	Manes damba
behind	Pooré
being	Bebé
belief	Tinbo
believe	Tinbo
belly	Pouga
belong	N sooge
beloved	Mnonga
below	tengre
belt	Bon sinbdiga
bench	Zaooga
bend	Pondé
beneath	Tẽngre
benefit	yõodo
benefits	yondo
beside	Sẽn pẽlg ne
besides	Rin poore
best	Winlgo
best of luck	Wend kon zounoogo
best regards	Ne waoore
better	Sãon
between	Souka
beverage	Zim
beyond	Rinpooré
Bhojpuri	Inde goam
bias	Yĩnga (nɛda)
biased	Maan ti zemsé
bicycle	Weefo
bid	Kouni
big	bedré
bike	Weefo
bill	Faktɩʋʋre
bind	tonké
bird	Lioula
birthday	Rog-daar tigri
bit	Yaguinga
bite	N rũmi
bitter	Tiisga
black	Sablega
blade	Lamind
blame	N digi
blank	Peelga
blanket	Fu-goabga
blast	Sanmé
bleach	Zavèl koom
blend	Naagé
bless	Ning barkat
blessed	Sẽn barke
blind	zõanga
bliss	Zu noogo
block	sag muuga
blood	Zɩɩm
bloom	Puubu
blow	Saalga
blue	Kẽega
blunt	Sẽn fugi
board	Yaysgo
boat	koglgo
body	yĩnga
boil	Kaiigé
bold	Kaam
bond	N naage
bone	Konbré
book	Karemé
boost	N paase
booster	Rʋsa
boot	Noind mouma
boots	Boat ramba
border	Todga
bore	Boko
bored	Katoumdé
boring	Katoumdé
born	Sen doge
borrow	Nougtika
boss	naaba
both	A yiibou
bother	Boumsoaba
bottle	Kolobré
bottom	Tingre
bought	Raamin
bounce	Leb-singé
bound	bibi
boundaries	Tèka
bow	tãpo
bowl	Bɔle
box	Touko
boy	Bi-ribla
boyfriend	Zoa bila
bracelet	Kalembanga
brain	kalkõto
branch	N welge
brand	Nambo
brave	Raowdo
breach	Gand todga
bread	Bouri
break	Wangé
breakfast	Yibéoogo riibo
breast	bĩisri
breath	Nor-yũugu
breathe	N vʋʋse
breed	buudu
brick	Tankoemdé
bride	Sẽn kãadme
bridge	Kʋl-beongo
brief	Ko ɛ ɛg-koɛɛga
bright	pindamin
brilliant	pindamin
bring	Songré
bro	zoa
broad	yalongo
broadcast	Lebg in ningi
broke	Wan
broken	N kao
broom	Saaga
brother	Babiiga
brother in law	Pag kinma
brought	Kon viinem
brown	sablga
brush	Roubou
bucket	Koteoogo
buddy	zoa
budget	Ligd tʋmdga
bug	Zĩm molle
build	N me
building	meebo
built	Min
bulk	Rawisgo
bull	lolga
bully	Sin pa tounsi
bump	Koundi
bunch	Ti vando
bundle	Ning tor toré
burden	ziibo
buried	boussi
burn	yõoge
burst	pusgri
bury	woumbou
bus	Zirga
bush	Monguin
business	Tuumnoore
bust	Noora yé
busy	Sink_kayé
but	la
butter	kaam
butterfly	Pilipikou
button	Tutga
buy	inda
by	Nin
by the way	Zilima
bye	Nindaaré
cabbage	Su ramba
cabinet	Almoore
cage	Ro guilga
cake	burmaasa
calf	Nagbila
call	Boolé
call me	Booli maam
called	N boole
calm	Sii
came	wame
campaign	Sigri
can	Toin
can't	Ka toin yé
Cancel	Bas tisa
cancer	Paafo
capable	tõogre
capacity	tõogo
capital	yõodo
caption	Nind
capture	gnonké
car	Loré
career	A paga
careful	Ne gesgo
carefully	Somaa
careless	Sin pa tall da menga
caring	Yam raab songo
carpenter	Minizé
carpet	pitabdga
carrot	Karota
carry	Touké
carry on	kengdin
carry out	Geele
case	Mak
cash	Winlgo
cast	N lobe
castle	Kobaoré
casual	Wak-wakato
cat	Gnouga
catch	Gnonké
category	Gom biis saka
cattle	Roumsi
caught	Gnonké
cause	Sabaabo
caution	Reng in wilgi
cautious	Tall m menga
cave	Koug bèda
cease	Bassé
ceiling	lugri
celebrate	N kɩdme
cell	Zinbila
center	Souka
century	Yuum kobre
cereal	Kood biisi
ceremony	Tigri
certain	Kinre
certainly	Tindamin ti
certificate	Caset sebré
chain	Tokr zinga
chair	Zaoga
challenge	baoobo
chance	Zũ-noogo
change	Tekré
chaos	zũndri
character	Roogo
characteristics	Manessem sin welgé
charge	Ziibo
charity	Pʋɩɩre
charming	Neeré
chart	in naalé
chase	tãoosgo
chat	Yèsé
cheap	Wend na lokraaga
cheat	Zambé
cheating	Zambo
check	Vaiisinbangé
cheek	yagdga
cheer	Noug-poaka
cheerful	Sũ-noogo
cheers	Nug-poaka
cheese	kaam
chemistry	Nassar karengo
cherish	Nongin
chess	Kongré
chest	Gnaogo
chew	Wanbé
chicken	noaaga
chief	naam
child	biiga
childhood	Gnadré
children	kamba
chill	waoodo
chimneys	Tou ti ta
chin	Kobré
chocolate	Nassarribo
choice	yãkre
choose	Gnanké
chop	Kè
chores	ziibu
chubby	Gingesbèda
church	Wẽnd-doogo
cinnamon	Baag taamdé
circle	gũbri
circumstances	Voilà yela
citizen	Teng in biiga
city	Gãlo-tẽnga
claim	Sukre
clarify	vinégé
class	Rarẽnd-doogo
clay	yaka
clean	Kasomba
clear	Wininga
clerk	Boukaoda
clever	Bangda
client	Raadinga
cliff	Tamsé
climate	Zĩig kõbgo
climb	N rʋ
clingy	In deegé
clock	Wiligd wakat
close	Pagbo
closet	Teed ningr zinga
cloth	kudga
clothes	futu
cloud	sawato
cloudy	Sawata beemin
clown	Ko keeda
clue	Wiligda
clumsy	Sẽn ka tũ sore
cluster	Ti bi kili
coach	wilgda
coal	Bougsanlé
coast	Kogré
coat	Fou kenga
coffee	A taii
cognitive	Bangr minim
coincidence	Yaare
cold	Waoodo
collapse	Lʋɩɩse
collar	Yandé
colleague	T ʋm-ne-taaga
colleagues	Toumdin taasé
collect	N tigsi
collection	Tiguingou
college	Karẽn-doogo
color	Konbgo
colorless green ideas slept furiously	Tags kinsan sin ka konbga ganya sii
colour	Konbgo
column	Foole
comb	Sansga
combination	Naagtaaba
combine	Naag taaba
come	Waabo
come here	Way ka
come on	Kinger
comfort	Noo zinga
comfortable	Nooma
coming	Sin waté
coming soon	Sen waté
command	Baa
comment	sin yan ninda
commercial	Sẽn koosda
commission	toolé
commit	N maane
commitment	Menkouni
committed	Sẽn dɩk tʋʋma
commodity	Sin ya tilay
common	id soolem
communicate	mooné
communication	sõsga
community	zamaana
commute	Kind la lebgda
companion	zoa
company	In gingda
compare	N make
comparison	Welegtaaba
compassion	Kʋme
compassionate	Maan songré
compatible	sin zemstaaba
compete	Wagsé
competent	Tong
competition	Youmdé
competitive	Toin wagsé
complain	N zabe
complaint	Soupanoogo
complement	Baasé
complete	Pidamin
completely	Manessemdamba
complex	Yel-toogo
compliance	Sẽn wẽnege
complicated	toogo
compliment	Pẽka
comply	Intoun
composition	Sin ya toto
compound	Sinbebé
comprehension	Woumbo
comprehensive	zãnga
compromise	Wom-taare
compulsory	tilae
computer	Nasaar mancin
concentrate	Wike
concept	nind sen yi
concern	Zouloayga
concerned	Sinkindnin
concert	Reem wakat
conclusion	Kʋʋbo
concrete	betõ
condition	Sinatoun
conditions	Sasa wa sen na yi a soaba
conduct	A toré
conference	Tigsga
confess	Kis kaseto
confidence	Konsida
confident	Ko_sida
confirm	Vinem
conflict	Tẽn-kũum
confused	Wininga menga
confusion	Kalengo
congrats	Gadaoogo
congratulation	Pinka
congratulations	Ned zounoogo
conjunction	Yongneg bila
connect	N kin tonk pouga
conquer	Lebg indeeg
conscious	Yam-soaba
consciousness	Puga
consent	Sakré
consequences	Yell sẽn wat ne
conservation	Bingui
conservative	Sin bingda
consider	Waogalamin
considered	N waooge
consist	Kitiyi
consistency	Tirga
consistent	Sẽn tũ sore
constant	Nao-bogd zug yalsgo
constantly	Wakat fan
constipation	Pokaega
construction	meebo
consume	Indi
consumption	Rɩɩbo
contact	Bãngre
contagious	Logdé
contain	N reege
contains	tara
contemporary	Pindramba
contempt	Paoogre
content	Sinbepouguin
contest	Wagestaaba
context	Noug ganga
continent	Ting kassenga
continue	N kel n maane
contract	N deege
contrast	Sẽn ka lebe
contribute	Songré
contribution	Songré
control	guesgo
controversial	No koemdé
convenience	Boumb_faan
convenient	Manesim
conversation	Sonsga
convert	inlebgé
convey	N kɩse
convince	N tõoge
convinced	Kon sida
cook	rãgende
cooking	Biibo
cool	Sonma
cooperation	Toumdintaré
cope	Sembidin
copper	Zuundou
core	sũuri
corn	Kamaana
corner	Lili
correct	Kiap
cost	Kirga
costume	fuverdé
cottage	Raad roogo
cotton	lango
couch	Zaoga
cough	Kelgé
could	Toin
council	Saglé
count	N sõde
counter	Sam regre zinga
country	Tinga
countryside	weoogin
couple	kãadba
courage	Raoodo
course	Zaka
court	N bao
courtesy	Ninzoodo
cousin	Pogdinga
cover	Fu-goabga
cow	Nag-yãanga
coward	Nin wanga
cozy	Nooma
crab	garenga
crack	Sin poussi
craft	Nougtoum toumba
crap	Karissa
crash	Soor zug sampogdo
craving	Banega
crawl	Koom rougbou
crazy	gãeega
create	Mamsé
creative	yagda
credit	samde
creep	Nod koom
creepy	Tara rabeem
crew	Roog teedo
crime	winga
cringe	maam-reem
crisis	Zouloayiga
criteria	Nao kindré
critical	Wɩdga
criticism	Widé
crop	rogomik
crops	koudoumdé
cross	pika
crow	goonbgo
crowd	Zãma
crowded	N pidi
crown	Maanfo
crucial	Pakré
cruel	Poutoogo
cruise	Sektaaba
crush	Wangué
cry	yãbre
cucumber	Zinbiisi
cuddle	salengo
culture	Kʋdemde
cunning	rabaare
cup	tase
cupboard	armoaare
curb	Sor noore
cure	N sãooge
curfew	Guidegré
curiosity	Bao-bangé
curious	Baobangé
curly	Zob libri
currency	Banogo
current	Moasan
currently	Maasmasa
curse	Kan-winga
curtain	Lillga
cushion	Zoukouka
custom	Rogomiki
customer	Ket intinré
customs	Doand damb zinga
cut	Kafika
cute	Neema
cycle	Bit sugre
cycling	Weefo
dad	ba
daddy	baaba
daily	Daar fãa tʋʋmde
dairy	Biis koasa
dam	Baraasé
damage	Ka zemsyé
damn	Sibgré
damp	Maasem
dance	Saoga
danger	yel pakré
dangerous	Masɩɩba
dark	lika
darling	Mnonga
dash	Yangé
data	kuundama
date	Daaré
daughter	Bipougla
day	Yi-beoogo
dead	kũum
deadline	Rabaasdga
deaf	muka
deal	Sakre
dear	Mneda
Dear All	Mneb somin
Dear Customer	Raadinga
Dear Parents	Yamba rogdba
Dear Sir	Nin songo
Dear students	Yamba karmbibèda
Dear Team	Mtaaba
death	kũum
debate	Nokoemdé
debit	Ligd worgdem
debris	Pagdo
debt	samde
decade	Yuum piiga
decay	Yen ponsré
deceased	sinkaya
deceive	Zambé
december	Yum sar kiuugu
decent	Sensigui
decide	Yam yankré
decided	Yam yãkre
decision	Yam yamkré
deck	beongo
decline	louyisé
decrease	N booge
dedicated	N ɛd yʋʋr yĩnga
dedication	Konminga
deed	Kaset sebre
deep	Zouloungou
deer	Weo-bʋʋga
default	Kègre
defeat	Kongré
defend	Zab deegé
define	N vẽnege
definitely	Windawa
definition	Sẽn datẽ yɛɛlga
degree	Sẽn ta to-to
delay	pa wa punda
delayed	Maagé
delete	Yanké
deliberate	Yanka yam
delicate	Yel solemde
delicious	Nooma
delight	Sin-noogo
delighted	Sũ-noogo
deliver	Tikissé
delivered	ti kiss
delivery	Kisga
demand	Kosgo
demanding	Takda min
democracy	Basyardo
demon	Souyana
demonstrate	N modgẽ wilgi
denied	Zongsé
density	Soonré
dentist	Sin tipda yen bansé
deny	N zãgse
department	Kadenga
departure	loogre
depend	Delé
deploy	Tal in kingé
deposit	Rɩglgo
depressed	Rin tikin
depression	Zu-lebga
depth	Zoulem
describe	Goulsé inwilgi
description	Wiligri
desert	Waré
deserve	Segdinpaam
design	magsga
designation	Yankre
desire	sin data
desk	Bɩrʋ
despair	Kankae
desperate	Sẽn mak n konge
despite	Baa in
dessert	Rasempʋɩɩga
destination	Sin debdi
destiny	Wẽnd pʋlengo
destroy	Sanmé
destruction	Saanga
detail	Ber-berbé
details	Wegsgo
detect	Yan
determination	Sɩd kɩsgo
determine	Fo kalé
determined	Kon minga
devastated	Sanmé
develop	Yidigri
developed	Yidgi
development	Yidigri
device	Sonsga
devil	Soutana
devoted	Kont minga
Dhivehi	Madive goam
diabetes	Noosem baanga
diarrhea	Saanga
diary	Seb bila
dictionary	Buuda gom bi baoore
did	A maana
die	Ki
died	Maan kaalem
diet	Naam
difference	Welgré
different	Tekre
difficult	Toogo
dig	Touki
dignity	yali
diligent	Maansoma
dinner	Riibo
dip	Lisi
direct	Tɩrga
direction	Teesgo
director	Taor soaba
dirt	ringdo
dirty	Ringdo
disable	Gnanké
disabled	Yank bassé
disappear	N meneme
disappointed	Gounsmenga
disaster	sãanga
discard	lobé
discharge	Sigamin
discipline	Na-kẽnd sõngo
discount	Barsé
discover	N bãnge
discrimination	Welgetaaba
discuss	N sõse
discussion	Sonsga
disease	Banda
diseases	Bansé
disguise	Tedgré
disgusting	Yam yiiga
dish	Laaga
dishes	Laasé
dismiss	Lobgé
dispatch	Minim
display	N vẽnege
disposal	Yela sen ganeg toto
dispute	yelle
distance	zãrem
distinct	Sẽn ka wẽnege
distinguish	yãke
distress	No beongo
distribution	P ʋɩɩbo
district	soolem
disturb	N namse
ditch	Loanga
dive	Lisi
diverse	Ataaba
diversity	waoolem
divide	Pouibo
divine	Sen toun ne wendé
divorce	Bastaaba
dizzy	Sẽn bɛdma
do	Maané
do you	Fo yaa…
do you love me	Fo rata maam
doctor	logtore
document	Sebr
does	Maané
doesn't	Ka tar
dog	Baaga
Dogri	Canada goam
doing	yel sombdé
doll	Reem tedo
domain	bang kang soaba
domestic	Yir-bũmbu
dominant	Sin yida
don't	Ra maana ye
Don't worry	Ra sãam-f sũur ye
donate	Kon
done	Mané
donkey	Bonga
dope	Tab yoodo
double	Yilmé
doubt	Sambogo
dough	Zom nagdga
down	tinga
download	Sigamin
draft	Sẽn ka sõma
drag	salgé
drain	Ko-so-yiisdg bila
drama	Zaoko
draw	Naalé
drawer	Tirwarare
drawing	Naalego
dread	Rabeem
dream	zãmse
dress	Fu-woko
drill	Poogé
drink	N yũ
drive	N wẽne
drop	Membé
dropped	Bassé
drought	Sa-paoore
drunk	Raam sin tara soaba
dry	Koinga
duck	Ladɩ
dude	M nega
due	Sinsegda
due to	A yĩnga
dull	Oub sin pa mi
dumb	yalemdo
dump	Nug-tikri
duration	kaosgo
during	Wakat kanga
dust	wubsgu
duty	Sen segda
dwell	Raboogo
dying	In dat in ki
each	Fan
each other	Yin a yéwan
eager	Babiraado la babipogsé
eagle	Wibga
ear	Tʋbre
earlier	La ra
early	Pinda
earn	Paamé
ears	Touba
earth	Tẽnga
earthquake	Teng sin digui
ease	N yolse
easily	faag faaga
east	ya
easy	Nana
eat	Riibo
eating	Ritla
economic	Ko-souk
economy	Arzèka
edge	Kirga
edit	Tedgé
education	Sida mnonga
effect	Teogo
effective	sõma
efficiency	Sombo
efficient	Sẽn yaa sõma
effort	Nadegpanga
egg	Guelé
eggplant	Koumba
ego	Menga
eight	Ngué
eighteen	Pii la nii
eighty	Pis nii
either	Bi
elaborate	N mage
elbow	Kantiiga
elder	Kasema
elderly	Youm wusgo
elegant	Neem
element	beele
elephant	Wobgo
eleven	Pii la yé
eligible	Sẽn tõe paame
eliminate	Gnanké
else	Sinbegé
embarrassed	Tiisgou
embarrassing	Tiisdamin
embrace	Neeré
emerge	Nuki
emergency	Yãgdem yelle
emotional	Yeesgo
empathy	Yam bogsem
emphasis	Koɛɛga
emphasize	Ringré
employee	Tʋʋm-biiga
employees	Toumd biiga
employer	toumd soaba
employment	Toumdé
empty	Zaalem
enable	Sak
encounter	segre
encourage	Kon raodo
end	Saabo
endangered	Be minin zougou
endeavor	Modgre
endurance	Toin zoesé
endure	Talraoodo
enemy	Bè
energy	Vinem
engage	N sɩnge
engaged	Kɩs-n-menga
engagement	sardo
engine	Bonvoundem
engineer	Tʋʋm mita (à spécifier)
English	Gilimdou
enhance	Teksongo
enjoy	Piangé
enormous	Wʋsgo
enough	seke
ensure	Songé
enter	Kin
entertainment	reem
enthusiasm	Sũ-noogo
enthusiastic	sũnoogo
entire	zanga
entitled	Azugan
entity	Zinga
entrance	Kinbo
entrepreneur	Meng tʋʋma
envelope	Fiibre
environment	We_viougo
envy	velem
epic	Sin loogé
epidemic	Baan loangdga
equal	Zem-taare
equipment	tuum teedo
equity	Zem-taare
equivalent	Winlgo
eraser	Talkumdo
error	Toudgri
escape	N põsge
especially	Sinteyiida
essay	Mamsé
essence	Esans
essential	Sin yaa tilay
establish	N manege
established	Vẽenem
estate	Zinga
estimate	makré
estimated	Kaage
etc	La sin tar indebda
eternal	Ka saabo
ethics	Buudu
evaluate	Gueelé
evaluation	Magbo
even	Baa
even though	Baa sã
evening	Zaabre
event	Tigri
eventually	Baasgo
ever	Bada
every	fãa
everybody	Neba fan
everyone	Sindebdi
everything	Fan
evidence	Kasseto
evil	Sẽn ka sõma
evolution	Sin kin toto
evolve	Keng taore
Ewe	Gana la togo goam
ex	Pind
exact	Woto
exactly	Woto bala
exam	wagestaaba
examine	Waiisin bangé
example	rik makré
exceed	In loogé
excellent	Sombo
except	San
exception	Sans ka
excess	Ti loogé
excessive	Ti loogé
exchange	sõsga
excited	gnin yikri
excitement	Konraoodo
exciting	Yamleogo
exclusive	Sen ya yé
excuse	Maan sugri
excuse me	Maan mam sugri
execute	In maané
execution	Maan tao
executive	Sẽn segdẽ dɩke
exercise	Zamsé
exhaust	Pemsem yib zinga
exhausted	Yaamsé
exhibit	wilgri
exhibition	Wiligri
exist	inbé
existence	Belem
existing	Sinbé
exit	Yi
expand	N yidgi
expect	Maagué
expected	Tẽeb sẽn ka be bũmb zugu
expenses	Ligd yiisdi
expensive	Mneda
experience	Minem
experiment	bangré
expert	Bangda
expired	Ta dare tèka
explain	Inzemsé
explanation	wiligri
exploit	Tal intoum
explore	N gese
export	Yiisi
expose	Wilgi tib gess
exposed	Wilgui
exposure	Yɛdgre
express	N gome
expression	goma
extend	N yalge
extended	Yalem
extension	longre
extent	Sen dɩk n kẽnge
external	Yinga
extinct	Kiisi
extra	Sin paasida
extract	Sin yank bilfou
extraordinary	Pawindato
extreme	Kirga
extremely	Sẽn yɩɩda
eye	Nifou
eyes	Nina
fabric	Peendé
fabulous	Sẽn ta
face	Kẽ-taare
facilitate	Faasem
facilities	viglgu
facility	faasem
fact	Maane
factor	Sin toundi ninda
factory	Lozindi
facts	Malsem
fade	Ménim
fail	N konge
failed	kongé
failure	Piougda
faint	Pãng kaalem
fair	In zengué
fairly	Hali
fairy	Bumb ligdi
faith	Timbo
faithful	Dar fan
fake	zĩri
fall	Som_minga
FALSE	beedo
fame	Ninyouré
familiar	minungu
family	Zaka
famine	Kom
famous	Koosgo
fan	Kafika
fancy	Koussa
fantastic	Yelsoalem
far	Zanra
farewell	Wẽnd na kõd nin-daare
farm	Ko
farmer	Kakoaada
fascinating	Sẽn ta
fashion	Girma
fast	Tao tao
fat	Kaam
fatal	Wingal
fate	Bassgo
father	ba
fatigue	yaamsé
fault	Nao-kẽn-yooko
favorite	Sẽn nong n yɩɩda
favour	Toum zinga
favourite	nonglem
fear	Yaiisé
feast	Dum nobdsé
feather	Konbdo
feature	Sintalid toto
features	Sinwelgué
february	Wao fugdg kiuugu
fed up	Ya né
fee	maasga
feed	Tolog_kasenroogo
feedback	Lebgre
feel	Mike ti
feeling	Tẽebo
feet	Karga
fell	N kʋ
fellow	Toundinga
felt	Fɛtre
female	Paga
fence	gũbga
fertile	Bougsga
festival	Tigri
fetch	N tɩ bao
fever	Riibo
few	Bilifou
fewer	yanké
fiance	Mdonlé
fiction	Ka sida
field	Pougo
fierce	Ne pãnga
fifteen	Piig la nou
fifty	Pis nou
fight	maoore
fighting	Maoré
figure	Geel-bila
figure out	Fo kalé
file	Riglé
fill	N pidsi
filled	Pidi
film	Filim
filthy	Roogo
finally	Sin bé bansroogo
finance	tanma
financial	Arzèka
find	Minki
find out	Imbangé
fine	Soma
finger	Nougbila
finish	N baase
finished	samin
fire	bugm
firm	Toum noore
first	Nanda
first name	Yʋʋre
fish	zĩifu
fit	Intou
five	Nou
fix	N manege
fixed	In ningui
flag	Tab kaooré
flash	Vinem
flat	Laaga
flaw	Zugo
flawless	Ka toin soaba
flee	Zoésé
flesh	Gango
flew	A zoum
flex	Yomsé
flexible	Naana
flight	Yikre
flip	Lebegé
flirt	Nonglembila
flirting	Sen kiim
float	Lengré
flood	koom sẽn kẽ zĩig sẽn da wɛ n ya koɛɛnga
floor	Paame
flour	zom
flow	Konbgo
flower	Tiipoudou
flu	Non koum
fluent	Ko wiiga
fluently	Wakat wusgo
fluffy	Tar kongo
fluid	yaa nana
fly	zuki
focus	N wɩke
fog	Bourgo
foggy	Gouloungoubri
fold	Toolé
folks	Neba
follow	Pogé
follow up	Pogbo
following	Sẽn pʋgda
food	Riibo
fool	yalemdo
foolish	yalemdo
foot	karga
football	Bal taong ziiga
for	Sin naa
For example	Rik makré
for instance	Rik makré
for you	Fo yinga
forbidden	Sẽn gɩdge
force	Panga
forecast	magbo
forehead	Rinri
foreign	San_na
forest	weoogo
forever	Wakat fãa
forget	Gnimbou
forgive	Kon sougri
forgot	gnimbou
fork	Fursèt
form	Ya woto
formal	Sor sin kon
former	Kʋdre
fortunately	Wendsongré
fortune	Arzèka
forty	Pis naasé
forty-two	Pis naas la yi
