a little	nnye
assistant	mothusi
associate	amana
associated	amangwa
association	kamano
association	mokgatlho
assume	tsaya
assumption	go tsaya gore
at	kwa
at least	bonnye
ate	jele
athlete	moatelete
attach	pataganya
attached	patagantswe
attachment	patagano
attack	tlhasela
attempt	leka
attend	sekegela tsebe
attend	tsena
attendance	tseno
attention	tshekegelo tsebe
attitude	mokgwaselebo
attract	gogela
attraction	kgogedi
attractive	gogela
attribute	setlhaodi
attribute	boleng
audience	balebeledi
august	phatwe
aunt	rakgadi
aunty	mmangwane
authentic	ya nnete
author	mokwadi
authority	bothati
authority	thata
autumn	letlhabula
available	go gone
average	tlwaelesego
avoid	tila
awake	tsogile
award	kabelo
aware	lemoga
awareness	temogo
away	kwa kgakala
awesome	gakgamatsa
awesome	boitshegang
awful	bosula
awkward	matlhogole
Aymara	Aymara
baby	lesea
bachelor	kgope
back	morago
background	lemorago
bad	maswe
bag	kgetsana
bait	phephiso
bake	baka
bakery	lebaka
baking soda	sota e e bakang
balance	lekalekanya
balance	selekanyo
ball	bolo
Bambara	Bambara
banana	panana
band	setlhopha
bang	itaanya
bank	banka
bar	bara
bar	kgoreletso
bar	kgoreletsa
barely	sa
bargain	sesolo
bark	lekwati
barley	bali
barrier	thibedi
base	motheo
base	letlase
based	ikaega
based	tswa kwa
basement	boalo kafa tlase ga kago
basic	theo
basically	sa motheo
basil	beisele
bastard	ngwana wa dikgora
batch	setlhopha
bath	bata
bathroom	phaposibotlhapelo
battery	beteri
battle	ntwa
bay	kgogometso
be	nna
be careful	ela tlhoko
beach	letshitshi
beam	letlhasedi
beans	dinawa
bear	bera
bear	sikara
bear	belega
beard	tedu
bearing	tshotse
beast	sebatana
beat	fenya
beat	betsa
beautiful	ntle
beauty	bontle
became	nnile le
because	ka gore
become	nna
bed	bolao
bedroom	phaposi ya borobalo
bee	notshi
beef	nama ya kgomo
been	kile
beer	biri
before	pele
began	simolotse
begin	simolola
beginning	tshimologo
behalf	mo boemong
behave	itshola
behavior	boitsholo
behaviour	maitshwaro
behind	kwa morago
being	e leng
belief	tumelo
believe	dumelang
belly	mpa
belong	ya
beloved	moratiwa
below	fa tlase
belt	lebanta
bench	setulo
bend	oba
beneath	kwa tlase
benefit	bona molemo
benefit	thuso
benefits	mesola
beside	ntle le
beside	fa thoko
besides	ntle le
best	gaisa
best of luck	nala
best of luck	katlego
best of luck	masego
best regards	weno
better	botoka
between	magareng ga
beverage	seno
beyond	go feta
Bhojpuri	Bhojpuri
bias	nna mo letlhakoreng la
biased	tsaya letlhakore
bicycle	baesekele
bid	raya
bid	bitsa
bid	laletsa
big	kgolo
bike	baeke
bill	tuediso
bill	molomo wa nonyane
bind	bofa
bird	nonyane
birthday	letsatsi la botsalo
bit	nnye
bite	loma
bitter	utlwile botllhoko
bitter	bogalaka
black	ntsho
blade	legare
blame	tshwaya phoso
blank	lelea
blanket	kobo
blast	thuba
bleach	go thuntsa
blend	tlhakanya
bless	segofatsa
blessed	segofetse
blind	foufetse
bliss	boitumelo
block	thibela
blood	madi
bloom	sethunya
bloom	thunya
blow	letsa
blue	botala jwa legodimo
blunt	botswa
board	boto
board	palama
boat	mokoro
body	mmele
boil	bedisa
boil	bela
bold	pelokgale
bond	kgolagano
bone	lerapo
book	buka
boost	godisa
booster	tlaleletso
boot	butshe
boot	butu
boots	dibutshe
border	thetha
border	molelwane
bore	boro
bore	fetlhela
bored	tshwarwa ke bodutu
boring	tshwarisa bodutu
born	belegwe
borrow	adima
boss	kgolokwane
boss	mothapi
both	bobedi
bother	tshwenya
bottle	botlolo
bottom	tlase
bought	rekile
bounce	tlola
bound	golegwa
bound	sekhutlo
bound	molelwane
boundaries	molelwane
bow	obama
bow	bora
bowl	sejana
box	lebokoso
boy	mosimane
boyfriend	lekau
bracelet	leseka
brain	boboko
branch	lekala
brand	letshwao
brand	tshwaya
brave	pelokgale
breach	tlola
bread	senkgwe
break	boikhutso
break	thuba
break	roba
breakfast	difitlholo
breast	letsele
breath	khemo
breathe	hema
breed	tsal
breed	mofuta
breed	godisa
brick	setene
bride	monyadiwa
bridge	borogo
brief	khutshwane
bright	phatsima
brilliant	botlhale
brilliant	manontlhotlho
bring	tlisa
bro	abuti
broad	atlhama
broadcast	kgaso
broke	botlhoka madi
broke	robegile
broken	robegile
broom	lefeelo
brother	morwarre
brother in law	mogwe
brought	tlisitse
brown	tlhokwa
brown	ntlhwa
brush	boratšhe
bucket	kgameleo
buddy	tsala
budget	tekanyetso
bug	tsitsiri
build	aga
building	kago
built	agile
bulk	kgoboko
bull	pholo
bully	mokgerisi
bump	borurusa
bunch	ngata
bunch	lesitlha
bundle	ngata
bundle	phutela
burden	morwalo
buried	fitlha
burn	fisa
burst	thuba
bury	fitlha
bus	bese
bush	setlhatlha
bush	sekgwa
business	kgwebo
bust	thuba
busy	tshwaregile
but	mme
but	fa e se
butter	botoro
butterfly	serurubele
button	konopo
buy	reka
by	fa
by	ka
by the way	kana
bye	tsamaya sentle
bye	sala sentle
cabbage	khabetšhe
cabinet	kabinete
cage	kheišhe
cake	kuku
calf	namane
call	bitsa
call	letsa mogala
call me	nteletsa
call me	mpitsa
called	biditse
called	biditswe
calm	tshisibalo
came	tlile
campaign	letsholo
can	kgona
can	ka
can't	kake
Cancel	Phimola
cancer	kankere
capable	kgona
capacity	bokgoni
capital	motsemošhate
capital	madi a go simolola kgwebo
caption	khepošene
capture	go gapa
car	koloi
career	mokgwa wa go itshetsa le tswelelopele
careful	kelotlhoko
carefully	ka kelotlhoko
careless	go sa kgathalele
caring	pelontle
carpenter	mmetli wa dikgong
carpet	khapete
carrot	segwete
carry	tshola
carry on	tswelela
carry out	ntshetsapele
case	kgetsi
cash	madi a seatleng
cast	latlhela
castle	khasetlele
casual	go sa tseye tsiya
casual	nakwana
cat	katse
catch	tshwara
category	setlhopha
cattle	dikgomo
caught	tshwere
cause	baka
caution	kgakololo
cautious	kelotlhoko
cave	legaga
cease	emisa
ceiling	sileng
celebrate	keteka
cell	sele
center	borakanelo
center	bogare
century	ngwagakgolo
cereal	ditsele
ceremony	mokete
certain	tlhomamisa
certain	rileng
certainly	ruri
certificate	setifikeiti
chain	ketane
chair	setulo
challenge	gwetlha
challenge	kgwetlho
chance	tšhono
change	fetola
chaos	mmudubudu
character	motshameki
character	semelo
characteristics	dipharologantsho
charge	latofatsa
charge	duedisa
charge	laya
charity	dikatso
charming	kgatlha
chart	tšhate
chase	lelekisa
chat	tlotla
cheap	tlhwatlhwatlase
cheat	tsietsa
cheating	tsietsa
check	tlhola
cheek	lerama
cheer	duduetsa
cheer	nametsa
cheerful	itumetse
cheers	cheers
cheese	tšhisi
chemistry	khemeseteri
cherish	rata
chess	tšhese
chest	sehuba
chew	tlhafuna
chicken	koko
chief	kgosi
child	ngwana
childhood	bongwana
children	bana
chill	iketle
chimneys	tšhemele
chin	seledu
chocolate	tšhokolete
choice	tlhopho
choose	tlhopha
chop	fatsa
chores	ditiro
chubby	nonne
church	kereke
cinnamon	sinamone
circle	sediko
circumstances	maemo
citizen	moagi
city	teropokgolo
claim	tatalala
clarify	itshekisa
clarify	tlhalosa
class	tlelase
clay	mmopa
clean	phepa
clear	phepa
clerk	tlelereke
clever	botlhale
client	moreki
cliff	logaga
climate	tlelaemete
climb	pagama
clingy	ngaparela
clock	orolose
close	tswala
closet	tlelosete
cloth	lesela
clothes	diaparo
cloud	leru
cloudy	maru a thibili
clown	radiserekisi
clue	lesedi
clumsy	marorongwane
cluster	sebothwana
coach	mokatisi
coal	legala
coast	lebopo
coat	baki
coffee	kofi
cognitive	tsa tlhaloganyo
coincidence	kwelano
cold	tsididi
collapse	phutlhama
collar	koloro
colleague	modirammogo
colleagues	badirammogo
collect	tsaya
collection	kgobokanyo
college	kholeiji
color	mmala
colorless green ideas slept furiously	dikakanyo tse ditala tse d se nang mmala di robetse ka natla
colour	mmala
column	kholomo
comb	kama
comb	kamo
combination	kopanyo
combine	kopanya
come	tlaya
come here	tla kwano
come on	tlaya
comfort	gomotsa
comfort	kgomotso
comfortable	phuthuloga
coming	tlang
coming soon	ya tla mo bogautshwaneng
command	taelo
command	laela
comment	akgela
commercial	tsa kgwebo
commission	khomišhene
commit	ineela
commitment	boineelo
committed	ineetse
commodity	phatlho
common	tlwaelesegile
communicate	tlhaeletsana
communication	tlhaeletsano
community	baagi
commute	go ya tirong le go boela gae ka gale
commute	fetola
companion	molekane
company	setlhopha
company	setlamo
compare	tshwantshanya
comparison	papiso
compassion	boutlwelobotlhoko
compassionate	utlwela botlhoko
compatible	tshwanelana
compete	gaisana
competent	na le bokgoni
competition	kgaisano
competitive	gaisana
complain	ngongorega
complaint	ngongorego
complement	akgola
complete	fetsa
completely	ka botlalo
complex	marara
compliance	latela melao
complicated	raraane
compliment	tlotlomatso
comply	obamela
composition	tlhamo
compound	kompone
compound	tswako
compound	tswaka
comprehension	tlhaloganyo
comprehensive	feleletseng
compromise	ineela
compulsory	pateletsega
computer	khomphiuta
concentrate	kopanya
concentrate	tebisa mogopolo
concept	kgopolo
concern	matshwenyego
concerned	tshwenyegile
concert	konsarata
conclusion	konosetso
concrete	konkereite
concrete	mmatota
condition	maemo
conditions	maemo
conduct	mokgwa
conduct	tsamaiso
conference	khonferense
confess	ipolela
confidence	boitshepi
confident	itshepile
confirm	tlhomamisa
conflict	kgotlhang
confused	etsaetsega
confusion	kgamarego
confusion	mapetepete
congrats	re motlotlo ka wena
congratulation	kakgolo
congratulations	re a go akgola
conjunction	lekopanyi
connect	kopanya
conquer	fenya
conscious	lemoga
consciousness	boitemogo
consent	tetla
consequences	ditlamorago
conservation	tshomarelo
conservative	konsebetifi
consider	akanya
considered	tseile gore
consist	na le
consistency	tlhomamo
consistent	tlhomama
constant	sa fetogeng
constantly	ka go sa fetogeng
constipation	pipelo
construction	kago
consume	ja
consumption	tiriso
contact	kgolagano
contagious	tshelanang
contain	na le
contains	na le
contemporary	sešweng
contempt	lenyatso
content	diteng
contest	kgaisano
contest	ganela
contest	tlhabana
context	bokao
continent	kontinente
continue	tswelela
contract	koteraka
contrast	farologanya
contrast	pharologanyo
contribute	atswa
contribution	katso
control	taolo
control	laola
controversial	ya kganatseno
convenience	tshiamelo
convenient	siametse
conversation	motlotlo
convert	fetola
convert	mosokologi
convey	fetisa
convince	fea
convinced	fentswe
convinced	tlhomamisegile
cook	apaya
cooking	apeile
cool	tsiditsana
cooperation	tirisanommogo
cope	emelana
copper	koporo
core	konokono
corn	mmidi
corner	sekhutlo
correct	nepile
cost	tlhwatlhwa
costume	khosetšhumu
cottage	thutsana
cotton	letseta
cotton	tlhale
couch	soufa
cough	gotlhola
could	ka
council	khansele
count	bala
counter	ganetsa
counter	khaontara
counter	sebadisi
country	naga
countryside	magaeng
couple	baratani
courage	bogatlhamelamasisi
course	motlhala
court	kgotlatshekelo
courtesy	tlotlo
cousin	ntsala
cover	bipa
cow	kgomo
coward	legatlapa
cozy	boiketlo
crab	lekakauwe
crack	phatloga
craft	botswerere
crap	matlakala
crash	thula
crash	thulano
craving	keletso
crawl	gagaba
crazy	makatsang
crazy	tsenwa
create	bopa
creative	go bopa
credit	keretiti
creep	gagaba
creepy	tsitsibanya mmele
crew	setlhopha
crime	bosenyi
cringe	ingodis
crisis	dipharagobe
criteria	dikaelo
critical	botlhokwa
criticism	tshekatsheko
criticism	kgalo
crop	ngotla
crop	thobo
crop	sejalo
crops	dijalo
cross	tlola
cross	sefapano
crow	legakabe
crowd	boididi
crowded	bokanetse
crown	serwalo sa bogosi
crucial	botlhokwa thata
cruel	setlhogo
crush	pitla
cry	lela
cucumber	komokomore
cuddle	tlamparela
culture	setso
cunning	boferefere
cup	kopi
cupboard	raka
curb	thibela
cure	alafa
curfew	Nako e o e beetsweng
curiosity	šwegašwega
curious	go batla go itse
curious	mo go gakgamatsang
curly	itshopileng
currency	madi
current	moela
current	ga jaana
currently	ga jaana
curse	hutsa
curse	phutso
curtain	garetene
cushion	mosamo
cushion	garela
custom	lekgetho la dithoto
custom	tlwaelo
customer	moreki
customs	letso
customs	makgetho
cut	sega
cute	ntlenyane
cycle	saekela
cycling	go palama baesekele
dad	rre
daddy	papa
daily	ka letsatsi
dairy	teiri
dam	letamo
dam	tama
damage	senya
damage	tshenyo
damp	bongola
dance	bina
danger	kotsi
dangerous	kotsi
dark	lefifi
darling	moratiwa
dash	phatlanya
dash	thaladi
data	deitha
data	dinewane
date	letlha
daughter	morwadi
day	letsatsi
dead	sule
deadline	letlha le le beilweng
deaf	susu
deal	tumelano
dear	tlhwatlhwa
dear	ratega
Dear All	Botlhe ba ba Rategang
Dear Customer	moreki yo tlotlegang
Dear Parents	Batsadi ba ba Tlotlegang
Dear Sir	Morena yo o Tlotlegang
Dear students	Baithuti ba ba tlotlegang
Dear Team	Setlhopha se se Rategang
death	leso
debate	ngangisano
debit	tebita
debit	molato
debris	matlhekge
debt	molato
decade	ngwagasome
decay	bola
deceased	tlhokafetseng
deceive	tsietsa
december	sedimonthole
decent	ntle
decide	swetsa
decided	sweditse
decision	tshwetso
deck	kgabisa
decline	gana
decrease	fokotsa
decrease	phokotso
dedicated	ineetse
dedication	boineelo
deed	tiro
deep	kwa teng
deer	kgama
default	tlhokomologo
defeat	fenya
defend	emela
define	tlhalosa
definitely	totatota
definition	tlhaloso
degree	dikirii
delay	dia
delayed	diegisitswe
delete	phimola
deliberate	akanya
deliberate	ka boomo
delicate	thubegang
delicate	temeka
delicious	balola
delight	itumelela
delighted	itumetse
deliver	go gololola
deliver	go rebola
delivered	rebotswe
delivered	golotswe
delivery	thebolo
demand	topo
demanding	sa kgotsofale
democracy	temokerasi
demon	letimona
demonstrate	supetsa
denied	ganetse
density	kitlano
dentist	ngaka ya meno
deny	ganela
department	lefapha
departure	pololo
depend	ikaega
deploy	romela
deposit	beeletsa
depressed	gateletswe maikutlo
depression	kgatelelo ya maikutlo
depth	boteng
describe	tlhalosa
description	tlhaloso
desert	sekaka
deserve	tshwanelwa
design	setshwantsho
designation	inakemo
desire	keletso
desk	deseke
despair	tsholofologo
desperate	thata
desperate	solofoga
despite	le mororo
dessert	phuting
destination	kwa go iwang teng
destiny	isagwe
destiny	tlholelo
destroy	senya
destruction	tshenyo
detail	ntlha
details	dintlha
detect	fitlhela
determination	boikaelelo
determine	ikaelela
determined	ikemiseditse
devastated	utlwile botlhoko
develop	tlhabolola
developed	tlhabolotse
development	tlhabololo
device	sediriswa
devil	tiabolo
devoted	ineetse
Dhivehi	Dhivehi
diabetes	daebitise
diarrhea	letshololo
diary	tayari
dictionary	thanodi
did	dirile
die	swa
die	tlhokafala
died	sule
diet	dijo
difference	pharologano
different	farologane
difficult	thata
dig	epa
dignity	seriti
diligent	ineetse
dinner	dilalelo
dip	ina
direct	laela
direction	ntlha
director	mokaedi
dirt	leswe
dirty	leswe
disable	nonofolotsa
disable	koafatsa
disabled	ntshitswe mo tirirsong
disabled	na le bogwele
disappear	nyelela
disappointed	swabile
disaster	masetlapelo
discard	latlha
discharge	tswile
discharge	kgololo
discipline	kgalemo
discipline	boineelo
discount	phokotsotlhwatlhwa
discover	fitlhela
discrimination	kgethololo
discuss	buisana
discussion	puisano
disease	bolwetse
diseases	malwetse
disguise	iphitlhile
disgusting	ferosa dibete
dish	sejana
dish	dijo
dishes	dijana
dismiss	leleka
dispatch	fofotsa
display	tshupetso
disposal	go latlha
dispute	ganetsanya
distance	sebaka
distinct	farologanya
distinguish	farologanya
distress	tlalelo
distribution	phatlalatso
district	kgaolo
disturb	kgoreletsa
ditch	latlha
ditch	mosima
dive	kodumela
diverse	farologane
diversity	pharologanyo
divide	aroganya
divine	semodimo
divorce	tlhalo
dizzy	tsewa ke sedidi
do	dira
do you	a o
do you love me	a wa nthata
doctor	ngaka
document	tokomane
does	dira
doesn't	ga
dog	ntša
Dogri	Dogri
doing	dira
doll	mpopi
domain	lephata
domestic	tsa selegae
dominant	phekeetsi
don't	se ka
Don't worry	Se tshwenyege
donate	aba
done	dirile
donkey	tonki
dope	diritibatsi
dope	ntle
double	gabedi
doubt	belaela
dough	tege
down	kwa tlase
download	laisolola
draft	tlhomo
drag	goga
drain	minolosa
drain	mosele
drama	terama
draw	goga
draw	taka
drawer	torowara
drawing	setshwantsho
drawing	a taka
dread	boifa
dread	poborano
dream	lora
dress	mosese
drill	fetlha
drill	phunya
drink	nwa
drive	kgweetsa
drop	diga
drop	lerothodi
drop	rotha
dropped	digile
drought	lešekere
drunk	nwele
drunk	tagilwe
dry	omile
duck	pidipidi
dude	mothaka
due	tshwanelo
due to	ka ntlha ya
dull	letobo
dumb	mumu
dump	latlhela
duration	paka
during	ka nako ya
dust	lerole
duty	tiro
dwell	nna
dying	swang
each	nngwe le nngwe
each other	o mongwe le o mongwe
eager	tlhwaafala
eagle	ntsu
ear	tsebe
earlier	pelenyana ga foo
early	go sa le gale
earn	amogela
ears	ditsebe
earth	lefatshe
earthquake	thoromo ya lefatshe
ease	boiketlo
easily	bonolo
east	botlhaba
easy	bonolo
eat	jaanong
eating	a ja
economic	tsa ekonomi
economy	ikonomi
edge	losi
edge	lelepe
edit	tseleganya
education	thuto
effect	tirafatso
effect	dira
effective	motia
efficiency	bokgoni
efficient	nonofile
effort	boiteko
egg	lee
eggplant	ekepolante
ego	boikgopolo
eight	robedi
eighteen	lesome le borobedi
eighty	masome a robedi
either	le fa e le
elaborate	tlhalosa go ya pele
elbow	sekgono
elder	mogolo
elderly	bagolo
elderly	golo
elegant	ntle
element	ntlha
elephant	tlou
eleven	lesome le bongwe
eligible	senkega
eliminate	fedisa
else	nngwe
embarrassed	swabile
embarrassing	swabisang
embrace	kampa
emerge	tlhagelela
emergency	tshoganyetso
emotional	thuba maikutlo
empathy	kakanyetso ya ba bangwe
emphasis	kgatelelo
emphasize	gatelela
employee	mothapiwa
employees	bathapiwa
employer	mothapi
employment	tiro
empty	leafatsa
empty	lolea
enable	kgontsha
encounter	kopano
encourage	rotloetsa
end	bokhutlo
end	fetsa
endangered	mo kotsing
endeavor	leka
endurance	boitsholo
endure	itshoka
enemy	sera
energy	maatla
engage	beeletsa
engaged	mo tirisong
engaged	beeleditswe
engagement	peeletso
engagement	kgolagano
engine	enjine
engineer	moenjiniere
English	Seesimane
enhance	tokafatsa
enjoy	natefelelwa
enormous	kgolo
enough	lekane
ensure	netefatsa
enter	tsenya
enter	tsena
entertainment	boitumediso
enthusiasm	phisego
enthusiastic	mafolofolo
entire	otlhe
entitled	tshwanetswe
entitled	setlhogo se se reng
entity	setlamo
entrance	botseno
entrepreneur	mogwebi
envelope	enfolopo
environment	tikologo
envy	tswela pelo
epic	kgolo
epic	ntle
epidemic	leroborobo
equal	lekana
equipment	sediriswa
equity	tekatekano
equivalent	lekanang
equivalent	tekano
eraser	rabara
error	phoso
escape	phalolo
escape	falola
especially	segolobogolo
essay	tlhamo
essence	palodisi
essence	boleng
essential	botlhokwa
establish	tlhomamisa
established	tlhomamisitse
estate	boswa
estimate	fopholetsa
estimated	fopholetsa
etc	jj
eternal	bosafeleng
ethics	boiphapo
evaluate	tlhotlhomisa
evaluation	tlhotlhomiso
even	borethe
even	fela
even though	le fa
evening	maitsibowa
event	tiragalo
eventually	kgabagare
ever	kile
every	nngwe le nngwe
everybody	mongwe le mongwe
everyone	mongwe le mongwe
everything	sengwe le sengwe
evidence	bopaki
evil	bosula
evolution	tlhagalelo
evolve	fetoga
Ewe	Ewe
ex	wa maloba
exact	tot
exactly	fela
exam	tlhatlhobo
examine	tlhatlhoba
example	sekai
exceed	fetisa
excellent	gaisa
except	ntle le
exception	phapogo
excess	fetisang
excessive	feteletseng
exchange	refosana
excited	gakatsega
excitement	boitumelo
exciting	gakatsa
exclusive	ka mo go feleletseng
exclusive	kgethegileng
excuse	boipato
excuse me	intshwarele
execute	diragatsa
execution	tiagatso
executive	khuduthamaga
exercise	rutuntsha
exhaust	lapisa
exhausted	phuegile
exhibit	bontsha
exhibition	pontsho
exist	nna teng
existence	boteng
existing	teng
exit	tswa
expand	atolosa
expect	lebelela
expected	solofetse
expenses	ditšego
expensive	tlhwatlhwagodimo
experience	maitemogelo
experiment	tekeletso
expert	moitseanape
expired	fedile
explain	tlhalosa
explanation	tlhaloso
exploit	go ja ntsoma
explore	batlisisa
export	seromelwantle
export	romela ntle
expose	senola
exposed	senotswe
exposed	senola
exposure	pontsho
express	tlhagisa
expression	polelo
extend	atolosa
extended	atolositswe
extension	katoloso
extent	bokgakala
external	kwa ntle
external	bokontle
extinct	fela
extra	koketso
extract	sentshwa
extraordinary	go feta
extreme	thata
extremely	phetelela
eye	leitlho
eyes	matlho
fabric	lesela
fabulous	-dinaane
fabulous	ntle
face	sefatlhego
facilitate	bebofatsa
facilities	mafelo
facility	kago
fact	bonnete
factor	lebaka
factor	katisani
factory	bodirelo
facts	dintlha
fade	nyelela
fail	retelelwa
failed	go sa falole
failure	go sa falole
failure	phoso
faint	idibala
fair	tekatekano
fair	borakanelo
fair	ntle
fairy	feri
faith	tumelo
faithful	tshepagala
fake	e seng ya nnete
fall	wa
false	E SENG NNETE
fame	tumo
familiar	tlwaelesegile
family	lelapa
famine	leuba
famous	tumile
fan	molatedi
fan	fene
fancy	makgabisa
fantastic	ntle
far	kgakala
farewell	dumedisa
farm	polase
farmer	molemi
fascinating	kgatlhisa
fashion	fešhene
fast	lebelo
fat	nonne
fatal	se se bolayang
fate	tlholelo
father	rre
fatigue	go lapa
fault	phoso
favorite	mamoratwa
favour	tlotla
favour	tlekeetsa
favour	thekegelo
favourite	mmamoratwa
fear	tshabo
feast	mokete
feather	lefofa
feature	popego
features	nang le
features	dipopego
february	tlhakole
fed up	tenega
fee	tuelo
feed	fepa
feedback	pegelo
feel	utlwa
feeling	maikutlo
feeling	ikutlwa
feet	diano
fell	wele
fellow	mothaka
fellow	feelo
fellow	monkana
felt	utlwile
female	tshegadi
fence	terata
fertile	nonneng
fertile	o ka kgona go ima
festival	moletlo
fetch	tsaya
fever	letshoroma
few	nnye
fewer	bannye go
fiance	motho yo o beeleditsweng
fiction	ditlhamane
field	naga
fierce	bogale
fifteen	lesome le botlhano
fifty	masome a matlhano
fight	lwa
fight	ntwa
fighting	lwana
figure	tlhakapalo
figure	popego
figure out	leka go tlhaloganya
file	faele
fill	tlatsa
filled	tletse
film	filimi
filthy	leswe
finally	kwa bokhutlong
finance	madi
financial	tsa madi
find	fitlhela
find out	batlisisa
fine	boleta
fine	tefiso
fine	ntle
finger	monwana
finish	fetsa
finished	feditse
fire	molelo
fire	koba
firm	feme
firm	tia
first	ntlha
first name	leina
fish	tlhapi
fit	tshwanela
fit	itekanetse
fit	kidibalo
five	tlhano
fix	baakanya
fixed	siamisitse
flag	folaga
flash	gadima
flat	sepapetla
flaw	molato
flawless	ntle le molato
flee	tshaba
flesh	nama
flew	fofile
flex	oba
flexible	obega
flight	phofo
flip	phetlha
flirt	tshegatshegisa
flirting	tshegatshegisa
float	kokobala
float	kokobadi
flood	morwalela
floor	boalo
flour	bupi
flow	elela
flower	sethunya
flu	mofikela
fluent	nonofile
fluent	tlhapileng
fluently	elela
fluffy	boleta
fluid	seela
fly	ntshi
fly	fofa
focus	toba
fog	mouwane
foggy	go na le mouwane
fold	mena
folks	batho
folks	batsadi
