a	أ
announcement	إعلان
annoy	يزعج
annoyed	متضايق
annoying	مزعج
annual	سنوي
anonymous	مجهول
another	آخر
answer	إجابة
answer	يجيب
anticipate	يتوقع
anxiety	توتر
anxious	متشوق
any	أي
anyone	أي واحد
anything	أي حاجة
anyway	على أي حال
anyways	على أي حال
apart	منفصل
apartment	شقة
apologize	يعتذر
apparent	واضح
apparently	يبدو وأن
appeal	يكشف
appear	يظهر
appearance	ظهور
appeared	ظهر
appetite	شهية
apple	تفاحة
application	تطبيق
apply	يقدم
apply	يطبق
appointment	ميعاد
appointment	توظيف
appreciate	تقدير
appreciation	تقدير
approach	يقرب
approach	أسلوب ونهج
appropriate	مناسب
approval	موافقة
approve	يوافق
approved	موافقة
approximately	تحديدا
april	أبريل
arbitrary	بشكل عبيط
architect	مهندس معماري
architecture	معمار
archive	أرشيف
archive	ملفات قديمة
are	نكون
are you	هل أنت
are you busy	هل أنت مشغول
are you married	أنت متزوج
are you married or single	انت متزوج ولا اعزب
Are you still there?	أنت لسة هنا؟
are you there	هل أنت هناك
area	منطقة
argue	يناقش
argument	نقاش
arise	تنشأ
arm	سلاح
arm	ذراع
army	جيش
around	حول
arrange	ينظم
arrangement	ترتيب
arrival	وصول
arrive	يصل
arrived	وصل
arrogant	مغرور
arrow	سهم
art	فن
article	مقال
artificial	صناعي
artist	فنان
as	زي حرف تشبيه
as long as	طالما
as well	أيضًا
as well as	إلى جانب
ash	رماد
ashamed	خجلان
ask	أسأل
asked	سأل
asleep	نائما
aspect	جانب
Assamese	اللغة الأسامية
assault	يغلط
assembly	جمع
assertive	تأكيدي
assess	يقيم
assessment	تقييم
asset	أصول او مدخرات
assets	أصول
assign	تعيين
assignment	واجب منزلي
assist	يساعد
assistant	مساعد
associate	شريك
associated	عندو علاقة ب
association	جمعية
assume	أفرض
assumption	افتراض
at	في
at least	على الأقل
ate	أكل
athlete	رياضي
attach	يربط
attached	مرتبط
attachment	مرفق
attack	هجوم
attempt	محاولة
attempt	يحاول
attend	يحضر
attendance	حضور
attention	أنتبه
attitude	سلوك
attract	يجذب
attraction	جاذبية
attractive	جذاب
attribute	يصف
audience	مشاهدين
audience	جمهور
august	أغسطس
aunt	عمة
aunt	خالة
aunty	عمتي
authentic	أصلي
author	كاتب
authority	سلطة
autumn	الخريف
available	موجود
average	متوسط
avoid	إتجنب
awake	يقظ
award	جائزة
aware	وعي
awareness	وعي
away	بعيد
awesome	وجيه
awful	مخيف
awkward	فاضح
awkward	خطر
Aymara	لغة ايمارا
baby	طفل
bachelor	بكالوريوس
back	ضهر
back	خلف
background	خلفية
bad	سيء
bag	شنطة
bait	طعم
bake	خبز
bakery	مخبز
baking soda	باكنج بودر
balance	رصيد
balance	يوزن
ball	كرة
Bambara	لغة البامبارا
banana	موز
band	شريط
band	فرقة
bang	انفجار
bank	بنك
bar	حانة
bar	فاصل
barely	بصراحة
bargain	صفقة
bark	نباح
bark	يغطي
barley	الشعير
barrier	حاجز
base	قاعدة
based	قائم على
basement	بدروم
basic	أساسي
basically	أساسًا
basil	نبات الرَيحان
bastard	خسيس
batch	حزمة
bath	حمام
bathroom	حمام
battery	بطارية
battle	معركة
bay	خليج
bay	نبح
be	يكون
be careful	أحذر
beach	شاطيء
beam	عارضة
beam	يشع
beam	بيم
beans	فول
bear	دب
bear	يتحمل
beard	دقن
bearing	طريقة مشي
bearing	تحمل
beast	وحش
beat	يهزم
beat	نبضات
beautiful	جميل
beauty	جمال
became	أصبح
because	لأنو
become	يصبح
bed	سرير
bedroom	غرفة نوم
bee	نحلة
beef	لحم بقر
been	كان
beer	بيرة
before	قبل
began	بدأ
begin	يبدأ
beginning	البداية
behalf	نيابةً عن
behave	يتصرف
behavior	سلوك
behaviour	سلوك
behind	خلف
being	وجود
belief	يؤمن
believe	يؤمن
belly	بطن
belong	ملك ل
beloved	محبوب
below	بالأسفل
belt	حزام
bench	مقاعد البدلاء
bend	يلوي
beneath	أسفل
benefit	ربح
benefit	يستفيد
benefits	فوائد
beside	بجانب
besides	بجانب
best	الأفضل
best of luck	حظا سعيد
best regards	أطيب التحيات
better	أحسن
between	بين
beverage	مشروب
beyond	عدا
Bhojpuri	لغة البوجبوري
bias	انحياز
biased	متحيز
bicycle	دراجة
bid	رهان
big	كبير
bike	دراجة هوائية
bill	فاتورة
bind	ربط
bird	طائر
birthday	عيد ميلاد
bit	قليل
bite	يعض
bite	لدغة
bitter	مر الطعم
black	أسود
blade	مكنة حلاقة
blame	يلوم
blame	عتاب
blank	فارغ
blanket	بطانية
blast	انفجار
bleach	تبييض
blend	يخلط
bless	يرحم
blessed	مبارك
blind	أعمى
bliss	نعيم
block	حي
block	بلوكة
blood	دم
bloom	يزدهر
blow	مصيبة
blue	أزرق
blunt	صريح
board	سبورة
board	لوحة
boat	مركب
body	جسم
boil	يغلي
bold	جريء
bond	علاقة
bone	عظم
book	يحجز
book	كتاب
boost	يعزّز
boost	معزّز
booster	معزِّز
boot	حذاء طويل
boots	أحذية
border	حدود
bore	حفرة
bore	مزعج
bored	ممل
boring	ممل
born	وُلِدّ
borrow	يستعير
boss	زعيم
both	الأتنين
bother	يزعج
bottle	زجاجة
bottom	أسفل
bought	إشترى
bounce	ارتداد
bound	مرتبط ب
boundaries	حدود
bow	قَوس
bowl	مزهرية
box	صندوق
boy	ولد
boyfriend	حبيب
bracelet	إسورة
brain	المخ
branch	فرع
brand	ماركة
brave	شجاع
breach	يخرق
bread	رغيف
break	فترة راحة
break	يكسر
breakfast	فطور
breast	صدر
breath	يتنفس
breathe	يتنفس
breed	يربي
brick	طوبة
bride	عروس
bridge	جسر
brief	مختصر
bright	ساطع
brilliant	ذكي
bring	يُحضر
bro	أخي
broad	عريض
broadcast	إذاعة
broke	كسر
broken	مكسور
broom	مكنسة
brother	أخ
brother in law	أخ الزوج
brought	أحضر
brown	بني
brush	فرشة
bucket	مقدار كبير
bucket	دلو
buddy	زميل
budget	ميزانية
bug	حشرة صغيرة
build	يبني
building	مبنى
built	بنى
bulk	ضخم
bull	ثور
bully	تنمر
bump	صدم
bunch	حزمة
bundle	حزمة
burden	إحراج
burden	يتحمل
buried	مدفون
burn	يحرق
burst	ينفجر
bury	يدفن
bus	حافلة
bus	بص
bush	إعلان
bush	شتلة
business	أعمال
bust	مفلس
bust	إعتقال
busy	مشغول
but	لكن
butter	زبدة
butterfly	فراشة
button	زر
buy	يشتري
by	عن طريق
by the way	على فكرة
bye	مع السلامة
cabbage	كرنب
cabbage	ملفوف
cabinet	خزانة
cage	قفص
cake	كيك
calf	عجل
call	يتصل
call	مكالمة
call me	اتصل بي
called	يسمى
calm	هاديء
came	وصل
campaign	حملة
can	علبة
can	قادر
can't	لا يستطيع
Cancel	يلغي
cancer	سرطان
capable	قادر على
capacity	سعة
capital	رأس مال
capital	عاصمة
caption	توضيح
capture	يقبض على
car	عربية
career	حياة مهنية
careful	حذِر
carefully	بعناية
careless	مهمل
caring	رعاية
carpenter	النجار
carpet	سجادة
carrot	جزر
carry	يحمل
carry on	يحمل
carry out	يكتشف
case	غطاء
case	قضية
cash	نقدي
cast	يصب
castle	قلعة
casual	غير رسمي
cat	قطة
catch	يقبض
category	فئة
cattle	ماشية
caught	قبض
cause	يسبب
cause	سبب
caution	حذر
cautious	حذر
cave	كهف
cease	انقطع
ceiling	سقف
celebrate	احتفل
cell	خلية
center	مركز
century	قرن
cereal	حبوب الذرة
ceremony	احتفال
certain	محدد
certainly	تحديدا
certificate	شهادة
chain	سلسلة
chair	كرسي
challenge	يتحدى
challenge	منافسة
chance	فرصة
change	فكة
change	يغير
chaos	فوضى
character	شخصية
characteristics	صفات
charge	يشحن
charge	غرامة
charity	صدقة
charming	جذاب
chart	جدول
chase	يطارد
chat	يدردش
chat	دردشة
cheap	رخيص
cheat	يغش
cheating	غش
check	يختبر
check	فحص
cheek	خدّ
cheer	يشجع
cheerful	مبسوط
cheers	نخب
cheers	هتاف
cheese	جبنة
chemistry	كيمياء
cherish	يعتز
chess	شطرنج
chest	صدر
chew	مضغ
chicken	دجاج
chief	رئيس
child	طفل
childhood	طفولة
children	أطفال
chill	يرتجف
chill	بارد
chill	برد قارس
chimneys	مداخن
chin	ذقن
chocolate	شوكولاتة
choice	خيار
choose	يختار
chop	يقطع
chores	واجبات منزلية
chubby	سمين
church	كنيسة
cinnamon	القرفة
circle	دائرة
circumstances	ظروف
citizen	مواطن
city	مدينة
claim	شكوى
claim	يطالب
clarify	يوضح
class	فصل
clay	فخار
clean	نضيف
clear	واضح
clear	يفسر
clerk	موظف
clever	ذكي
client	عميل
cliff	منحدر
climate	مناخ
climb	يتسلق
clingy	لزج
clock	ساعة
close	أقفل
closet	خزانة
cloth	قماش
clothes	ملابس
cloud	سحاب
cloudy	غائم
cloudy	سحابي
clown	مهرج
clue	دليل
clumsy	أخرق
cluster	جماعة
coach	يدرب
coach	مدرب
coal	فحم
coast	شاطئ
coat	سيوتر
coat	جاكت
coffee	قهوة
cognitive	مقرب
coincidence	صدفة
cold	بارد
cold	نزلة برد
collapse	ينهار
collar	طوق حديد
colleague	زميل
colleagues	زملاء
collect	يجمع
collection	مجموعة
college	كلية
color	لون
colorless green ideas slept furiously	نامت الأفكار الخضراء عديمة اللون غاضبة
colour	لون
column	عمود
comb	مشط
combination	مزيج
combine	يجمع
come	تعال
come here	تعال هنا
come on	تعال
comfort	راحة
comfortable	مرتاح
coming	يأتي
coming soon	قريباً
command	يأمر
comment	تعليق
commercial	تجاري
commission	عمولة
commit	يرتكب
commitment	التزام
committed	ملتزم
commodity	بضاعة
common	شائع
common	سيء الخلق
communicate	يتواصل
communication	تواصل
community	المجتمع
commute	يداوم ي مكان بعيد
commute	استبدل
companion	مرافق
company	شركة
compare	يقارن
comparison	مقارنة
compassion	إشفاق
compassionate	حنون
compatible	متناسق
compete	ينافس
competent	مؤهل
competition	منافسة
competitive	تنافسي
complain	يشتكي
complaint	شكوى
complement	مديح
complement	أكمل
complete	يكمل
completely	بالكامل
complex	معقد
compliance	طاعة
complicated	معقد
compliment	مديح
comply	أطاع
composition	تعبير
compound	مُجَمَّع
comprehension	فهم
comprehensive	شامل
compromise	تضحية
compromise	يضحي
compulsory	إلزامي
computer	حاسوب
concentrate	يركز
concept	فكرة
concern	توتر
concern	يتعلق
concerned	قلقان
concert	حفلة موسيقية
conclusion	ختام
concrete	يتماسك
concrete	خرسانة
concrete	صلب
condition	ظرف
conditions	شروط
conduct	يقود
conduct	يتصرف
conference	مؤتمر
confess	اعترف
confidence	ثقة
confident	واثق من نفسه
confirm	يؤكد
conflict	تناقض
confused	متحير
confusion	تشويش
congrats	مبروك
congratulation	مبروك
congratulations	مبروك
conjunction	إكمال
conjunction	توصيل
connect	يتصل
conquer	يغزو
conscious	واعي
consciousness	الوعي
consent	يقبل
consent	موافقة
consequences	عواقب
conservation	صيانة
conservative	معتدل
consider	إعتبر
considered	معتبر
consist	يتكون
consistency	تناسق
consistent	ثابت
constant	ثابت
constantly	باستمرار
constipation	إمساك
construction	بناء وتشييد
consume	يستهلك
consumption	إستهلاك
contact	يتواصل
contact	وساءل اتصال
contagious	معدي
contain	يحتوى
contains	يتضمن
contemporary	جديد
contempt	احتقار
content	محتوى
contest	خلاف
context	سياق الجملة
continent	القارة
continue	أستمر
contract	يتعاقد
contract	عقد
contrast	يقارن
contrast	تناقض
contribute	يساهم
contribution	مساهمة
control	يتحكم
controversial	جدلي
convenience	راحة
convenient	مريح
conversation	ونسة
convert	يحول
convert	متحول
convey	يبلغ
convince	يقنع
convinced	مقتنع
cook	يطبخ
cook	طباخ
cooking	طبخ
cool	منعش
cool	رائع
cooperation	تعاون
cope	يصد
copper	نحاس
core	قلب الشيء
corn	حبوب ذرة
corner	ركن
correct	يصحح
cost	يكلف
cost	تكلفة
costume	زي
costume	ملابس
cottage	كوخ
cotton	قطن
couch	أريكة
cough	كحة
could	يجب
council	مجلس
count	أحسب
counter	عداد
country	الريف
country	دولة
countryside	الريف
couple	زوجين
courage	شجاعة
course	كورس
court	محكمة
courtesy	مجاملة
cousin	ود عم
cover	يغطي
cow	بقرة
coward	جبان
cozy	مريح
crab	سرطان البحر
crab	غضب
crack	شق
crack	انشق
craft	مهنة
crap	كلام فارغ
crash	سقوط
crash	يكسر
craving	يشتهي
crawl	زحف
crazy	مجنون
create	يصنع
creative	مبدع
credit	ائتمان
creep	زحف
creepy	شخص غريب
crew	طاقم عمل
crime	جريمة
cringe	منكمش
cringe	ينكمش
crisis	مصيبة
criteria	معايير
critical	حرج
criticism	نقد
crop	اقتصاص
crops	المحاصيل
cross	تقاطع
cross	يعبر
crow	الغراب
crowd	زحمة
crowded	زحمة
crown	تاج
crucial	ضروري
cruel	عنيف
cruise	رحلة بحرية
cry	يبكي
cucumber	خيار
cuddle	يحضن
culture	ثقافة
cunning	مكر ودهاء
cup	كأس
cup	كوب
cupboard	دولاب
curb	لجام
cure	علاج
cure	يعالج
curfew	حظر تجول
curiosity	فضول
curious	فضولي
curly	مكرمش
currency	عملة
current	الحالي
current	متدفق
currently	حاليا
curse	لعنة
curtain	ستارة
curtain	حجاب
cushion	مخدة
custom	مخصص
customer	زبون
customs	جمارك
cut	جرح
cut	يقطع
cute	ظريف
cycle	دورة
cycling	تدوير
dad	بابا
daddy	بابا
daily	يومياً
dairy	منتجات اللبن
dam	سد
damage	يتلف
damage	ضرر
damn	تباً
damp	رطب
dance	الرقص
danger	خطر
dangerous	خطير
dark	ظلام
darling	عزيزي
dash	خط فاصل
dash	سباق
data	بيانات
date	تاريخ
date	موعد غرامي
daughter	بنت
day	يوم
dead	ميت
deadline	موعد نهائي
deaf	أصم
deal	صفقة
deal	يتعامل
dear	عزيزي
Dear All	أعزائي
Dear Customer	عزيزي العميل
Dear Parents	الأباء الأعزاء
Dear Sir	سيدي العزيز
Dear students	طلابي الأعزاء
Dear Team	فريقي العزيز
death	الموت
debate	مناظرة
debit	دَين
debris	حطام
debt	ديون
decade	عقد من الزمان
decay	فساد
deceased	فقيد
deceive	يخدع
december	ديسمبر
decent	مقبول
decide	يقرر
decided	قرر
decision	قرار
deck	ظهر السفينة
decline	يرفض
decrease	ينقص
dedicated	منفصل
dedication	إخلاص
deed	فعل
deep	عميق
deer	غزال
default	إفتراضي
defeat	يهزم
defeat	هزيمة
defend	يدافع
define	يُعرِّف
definitely	تحديداً
definition	تعريف
degree	درجة
delay	يؤجل
delay	تأخير
delayed	تأخير
delete	يمسح
deliberate	مدروس
delicate	حساس
delicious	لذيذ
delight	فرحة
delighted	سعيد
deliver	يسلم
delivered	تم التوصيل
delivery	توصيل
demand	يطلب
demand	طلب
demanding	متطلبات
democracy	ديمقراطية
demon	شيطان
demonstrate	يوضح
denied	مرفوض
density	كثافة
dentist	طبيب أسنان
deny	ينكر
department	قسم
departure	رحيل
depend	يعتمد
deploy	نشر
deposit	يودع في حساب
deposit	وديعة
depressed	مدبرس
depression	دبرسة
depth	عمق
describe	يصف
description	وصف
desert	صحراء
deserve	يستاهل
design	يصمم
design	تصميم
designation	توظيف
desire	رغبة
desire	يرغب
desk	درج
despair	يأس
desperate	يائس
despite	بالرغم من
dessert	تحلية
destination	وجهة
destiny	مصير
destroy	يدمر
destruction	دمار
detail	التفاصيل
details	تفاصيل
detect	يكشف
determination	عزيمة
determine	يحدد
determined	حدد
devastated	دمر
develop	يطور
developed	متطور
development	تحسين وتطوير
device	جهاز
devil	شيطان
devoted	مخلص
Dhivehi	لغة الديفيهي
diabetes	السكري
diarrhea	إسهال
diary	مذكرة
dictionary	قاموس
did	فعل
die	يموت
died	مات
diet	حمية
difference	اختلاف
different	مختلف
difficult	صعب
dig	يحفر
dignity	كرامة
diligent	مجتهد
dinner	العشاء
dip	غطس
dip	غرف
direct	مباشر
direction	اتجاه
director	مخرج
director	مدير
dirt	وسخ
dirty	وسخان
disable	يبطل
disable	عاجز
disabled	مشلول
disabled	عاجز
disappear	يختفي
disappointed	مخيب
disaster	كارثة
discard	يرمي
discard	يرفض
discharge	تسريح
discipline	انضباط
discount	تخفيض
discover	يكتشف
discrimination	عنصرية
discuss	يناقش
discussion	مناقشة
disease	مرض
diseases	الأمراض
disguise	إخفاء
disgusting	مقزز
dish	صحن
dishes	صحون
dismiss	رفض
dispatch	برقية
display	شاشة
disposal	تصرف
dispute	خصام
distance	مسافة
distinct	مميز
distinguish	يميز
distress	مصادرة مال
distress	حزن
distribution	توزيع
district	ولاية
disturb	يزعج
ditch	مصرف
dive	يغوص
diverse	متنوع
diversity	تنوع ثقافي
divide	يقسم
divine	ديني
divorce	يطلق
divorce	طلاق
dizzy	مصاب بالدّوار
do	أعمل
do you	هل أنت
do you love me	هل بتحبني
doctor	طبيب
document	مستند
does	يعمل
doesn't	لا
dog	كلب
Dogri	لغة الدوجري
doing	يعمل
doll	لعبة
domain	اِختِصاص
domestic	محلي
dominant	مسيطر
don't	لا
Don't worry	ما تخاف
donate	يتبرع
done	إنتهى
donkey	حمار
dope	مخدر
double	يضاعف
double	مرتين
double	يزيد مرتين
doubt	ظن
doubt	يشك
dough	عجينة
down	تحت
download	تحميل
draft	يخطط
draft	مسودة
drag	يسحب
drain	يجفف
drain	تصريف
drama	دراما
draw	يرسم
drawer	الدرج
drawer	سروال
drawing	رسم
dread	خوف
dream	يحلم
dream	حلم
dress	فستان
drill	تدريب
drink	يشرب
drink	مشروب
drive	يسوق
drop	قطرات
drop	يسقط
dropped	اسقط
drought	جفاف
drunk	سكران
dry	ناشف
dry	جاف
duck	بطة
dude	صاحبي
due	حقوق
due to	بسبب
dull	بليد
dull	ممل
dumb	أبكم
dump	مخزن قديم
duration	مدة
during	أثناء
dust	غبار
duty	واجب
dwell	يسكن
dwell	يتعمق في التفكير
dying	الموت
each	كل
each other	بعضها البعض
eager	مشتاق
eagle	نسر
ear	أذن
earlier	سابقًا
early	بدري
earn	يربح
ears	آذان
earth	أرض
earthquake	زلزال
ease	بسهولة
easily	بسهولة
east	شرق
easy	ساهل
eat	يأكل
eating	يأكل
economic	اقتصادي
economy	اقتصاد
edge	جانب
edit	يحرر
edit	يعدل
education	تعليم
effect	تأثير
effective	ناجح
efficiency	كفاءة
efficient	فعال
effort	مجهود
egg	بيضة
eggplant	الباذنجان
ego	أنانية
eight	ثمانية
eighteen	الثامنة عشر
eighty	ثمانون
either	برضو
elaborate	يشرح بالتفصيل
elbow	مرفق
elder	عجوز
elderly	عجوز
elegant	أنيق
element	عنصر
elephant	الفيل
eleven	أحد عشر
eligible	قانوني
eliminate	طرد
else	آخر
embarrassed	مُحرَج
embarrassing	محرج
embrace	يعانق
emerge	يظهر
emergency	طوارئ
emotional	عاطفي
empathy	تعاطف
emphasis	تشديد
emphasize	يؤكد
employee	موظف
employees	موظفين
employer	صاحب العمل
employment	توظيف
empty	فاضي
enable	يفعل
encounter	مواجهة
encourage	يشجع
end	النهاية
endangered	مهدد بالخطر
endeavor	حاول
endurance	تحمل
endure	يعاني
enemy	العدو
energy	طاقة
engage	يرتبط
engaged	مرتبط
engagement	إرتباط
engine	مكنة
engineer	مهندس
English	إنجليزي
enhance	يحسن
enjoy	استمتع
enormous	ضخم
enough	كفاية
ensure	يتأكد
enter	يدخل
entertainment	متعة
enthusiasm	حماس
enthusiastic	متحمس
entire	كل
entitled	مستحق
entity	وجود
entrance	مدخل
entrepreneur	مُقَاوِل
envelope	ظرف
environment	بيئة
envy	حسد وحقد
epic	بطولي
epidemic	وباء
equal	مساوي
equipment	معدات
equity	العدالة
equivalent	مقابل
eraser	مساحة
error	خطأ
escape	يهرب
especially	خصوصي
essay	مقال
essence	خلاصة
essence	محلول مادة
essential	ضروري
establish	يؤسس
established	مؤسس
estate	حالة
estate	ملكية
estate	ولاية
estimate	يحسب
estimated	مُقدَّر ومحسوب
etc	إلخ
eternal	مؤبد
ethics	أخلاق مهنة
evaluate	يقيم
evaluation	تقييم
even	حتى
even though	على الرغم من
evening	المساء
event	مناسبة
eventually	مؤخراً
ever	أبدًا
every	كل
everybody	الجميع
everyone	كل واحد
everything	كل حاجة
evidence	دليل
evil	شر
evolution	تطور
evolve	تطور
evolve	انشأ
Ewe	لغة الإيوي
exact	بالضبط
exactly	بالضبط
exam	امتحان
examine	يفحص
example	مثال
exceed	يتجاوز
excellent	ممتاز
except	عدا
exception	استثناء
excess	إفراط
excessive	مُبَالَغ فيه
exchange	تبادل
excited	متحمس
excited	منفعل
excitement	دهشة
exciting	حماسي
exclusive	حصري
excuse	عذر
excuse me	عن إذنك
execute	ينفذ
execution	تنفيذ
executive	تنفيذي
exercise	واجب منزلي
exercise	يتدرب
exhaust	يرهق
exhaust	العادم
exhausted	مرهق
exhibit	يعرض
exhibition	معرض
exist	موجود
existence	وجود
existing	موجود
exit	مخرج
expand	يوسع
expect	يتوقع
expected	متوقع
expenses	مصاريف
expensive	غالي
experience	يجرب
experience	خبرة
experiment	تجربة
expert	خبير
expired	منتهي الصلاحية
explain	يفسر
explanation	توضيح
exploit	يستغل
explore	إكتشف
export	يصدّر
expose	يفضح
exposed	مُعرض
exposure	عرض
express	يعبر
expression	تعبير
extend	يمد
extended	ممتد
extension	امتداد
extent	امتداد
external	خارجي
extinct	ينقرض
extra	إضافي
extract	يستخرج
extraordinary	نادِر
extreme	أقصى
extremely	أقصى
eye	عين
eyes	عيون
fabric	قماش
fabulous	رائع
face	يواجه
face	وجه
facilitate	يسهل
facilities	تسهيلات
facility	منشأة
fact	واقع
factor	عامل
factory	مصنع
facts	حقائق
fade	يختفي
fail	ظلم
fail	شتيمة
failed	فشل
failure	فشل
faint	يفقد الوعي
fair	نقي
fair	نزيه
fairly	تماما
fairy	جنية
faith	مذهب
faith	إيمان
faithful	مؤمن
fake	مزيف
fall	الخريف
fall	يسقط
false	غلط
fame	شهرة
familiar	مألوف
family	أسرة
famine	مجاعة
famous	مشهور
fan	مروحة
fan	مشجع
fancy	مزخرف
fantastic	رائع
far	بعيد
farewell	وداع
farm	مزرعة
farmer	مزارع
fascinating	خلاب
fashion	موضة
fast	سريع
fat	سمين
fatal	مهلك
fate	قدر
father	والد
fatigue	إرهاق
fault	خطأ
favorite	مفضل
favour	معروف
favourite	مفضل
fear	خوف
fear	يخاف
feast	وليمة
feast	عيد
feather	ريشة
feature	ميزة
feature	يميز
features	مميزات
february	شهر فبراير
fed up	ملل
fee	رسوم
feed	يطعم
feed	علف
feedback	تقييم
feel	يشعر
feeling	شعور
feet	قدم
fell	يسقط
fellow	زميل
felt	شعر
female	أنثى
fence	سور
fertile	أرض خصبة
festival	مهرجان
fetch	أحضر
fever	حمى
few	قليل
fewer	أقل
fiance	خطيب
fiction	خيالي
field	مجال
field	ميدان
fierce	شرس
fifteen	خمسة عشر
fifty	خمسون
fight	قتال
fight	يحارب
fighting	قتال
figure	يشكل
figure	شكل
figure out	يكتشف
file	ملف
fill	املأ
filled	مملوء
film	فيلم
filthy	فاحش
finally	آخر حاجة
finance	تمويل
financial	مالي
find	يجد
find out	اكتشف
fine	بخير
fine	غرامة
finger	اصبع
finish	ينهي
finished	انتهى
fire	نار
firm	شركة
firm	رسخ
first	أول
first name	الاسم الأول
fish	سمكة
fit	سليم
fit	يناسب
five	خمسة
fix	يصلح
fixed	مثبت
flag	علَم
flash	فلاش
flash	مفاجئ
flat	مسطح
flat	شقة
flaw	جو عاصف
flaw	عيب
flawless	مثالي
flee	اهرب
flesh	لحم
flew	طار
flex	لوى
flexible	مرن
flight	رحلة جوية
flip	يواجه
flirt	يغازل
flirt	يعاكس
flirting	مغازلة
float	يعوم
flood	فيضان
floor	أرضية
flour	دقيق
flow	جريان
flow	تدفق
flower	زهرة
flu	أنفلونزا
fluent	موهوب
fluently	بطلاقة
fluffy	رقيق
fluffy	ناعم
fluid	سائل
fly	يطير
focus	تركيز
focus	يركز
fog	ضباب
foggy	ضبابي
fold	يطوى
folks	الناس
follow	يتبع
follow up	متابعة
following	التالي
food	أكل
fool	مغفل
fool	يخدع
foolish	غبي
foot	قدم
football	كرة القدم
for	ل
For example	على سبيل المثال
for instance	على سبيل المثال
for you	لك
forbidden	ممنوع
force	قوة
forecast	تكهن
forehead	جبهة
foreign	أجنبي
forest	غابة
forever	للأبد
forget	ينسى
forgive	يسامح
forgot	نسيت
fork	شوكة
form	يشكل
form	شكل
formal	رَسمِيّ
former	سابق
fortunately	لحسن الحظ
fortune	حظ
forty	أربعين
forty-two	اثنان وأربعون
forward	لقدام
foster	شجع
fought	حارب
found	أسس
foundation	مؤسسة
four	أربعة
fourteen	أربعة عشرة
fox	الثعلب
fragile	هش
frame	إطار
framework	إطار
framework	نظام
fraud	إحتيال
freak	غريب الشكل
free	مجاني
freedom	حرية
freeze	تجميد
frequency	تكرار
frequent	متكرر
frequently	تكرارا
fresh	طازج
friday	الجمعة
fridge	ثلاجة
friend	صاحب
friendly	لطيف
friends	أصحاب
friendship	صداقة
frightened	مرعوب
frightening	مخيف
frog	ضفدع
from	من
front	أمام
frozen	مجمد
fruit	فاكهة
frustrated	محبط
fuel	وقود
Fulfulde	لغة الفولفولدي
full	كامل
fun	متعة
function	وظيفة
fundamental	أساسي
funeral	جنازة
funny	مضحك
fur	الفراء
furious	زعلان
furniture	عفش
