a little	неуна
cope	венны
copper	ыргӧн
core	сьӧмӧс
corn	кукуруза
corner	пельӧс
correct	веськыд
cost	сулавны
cost	дон
costume	костюм
cottage	коттедж
cotton	туруншӧрт
couch	диван
cough	кызны
could	вермис
council	сӧвет
count	артавны
counter	стойка
country	страна
country	му
countryside	сикт-грезд
couple	гоз
courage	повтӧмлун
course	курс
court	ёрд
courtesy	авъялун
cousin	воча вок
cover	вевттьыны
cow	мӧс
coward	полысь
cozy	лӧсьыд
crab	краб
crack	потас
crack	поткӧдны
craft	киподтуй
crap	сіт
crash	жугавны
crash	жугалӧм
craving	кӧсйӧм
crawl	кыссьыны
crazy	йӧй
create	вӧчны
creative	творческӧй
credit	кредит
creep	кыссьыны
creepy	шуштӧм
crew	команда
crime	мыж вӧчӧм
cringe	дӧзмысь
cringe	куткыртчыны
crisis	кризис
criteria	муртӧсъяс
critical	дивитана
critical	вежсян
criticism	критика
crop	урожай
crops	пуктас
cross	крест
cross	вомӧнавны
crow	кырныш
crow	рака
crowd	йӧз чукӧр
crowded	уна йӧза
crown	корона
crucial	медтӧдчана
cruel	жаль тӧдтӧм
cruise	круиз
crush	лямӧдны
crush	муслун
crush	лязӧдны
cry	бӧрдны
cry	горзыны
cucumber	ӧгуреч
cuddle	кутлысьны
culture	культура
cunning	мудер
cup	чашка
cupboard	сервант
curb	дор
cure	бурдӧдны
cure	бурдӧдчантор
cure	бурдӧм
curfew	комендантскӧй час
curiosity	тӧдны окотитӧм
curious	быдтор тӧдны кӧсйысь
curly	чикыль
currency	валюта
current	визувтысь
current	тайӧ кадся
current	ӧнія
currently	ӧнія здукӧ
currently	ӧнія кадӧ
curse	ёрӧм
curse	ёрны
curtain	занавес
cushion	юрлӧс
custom	оласног
customer	вӧдитчысь
customs	таможня ӧктас
cut	вундӧм
cut	вундыны
cute	муса
cycle	кытш
cycling	велосипедӧн ветлӧм
dad	пап
daddy	батьӧ
daily	быдлунся
dairy	йӧв-вый
dam	помӧд
damage	дойдны
damage	жугӧдӧм
damage	жугӧдны
damn	ёрӧм
damp	ва
damp	уль
dance	йӧктыны
danger	грӧз
dangerous	ӧпаснӧй
dark	пемыд
darling	дона
dash	чепӧсйӧм
dash	чепӧсйыны
data	даннӧйяс
date	кадпас
date	аддзысьӧм
daughter	ныв
day	лун
dead	кулӧм
deadline	бӧръя кад
deaf	пельтӧм
deal	артмӧдчыны
deal	артмӧдчӧм
dear	дона
Dear All	Дона ёртъяс
Dear Customer	Пыдди пуктана клиент
Dear Parents	Дона бать-мам
Dear Sir	Пыдди пуктана господин
Dear students	Пыдди пуктана студентъяс
Dear Team	Пыдди пуктана команда
death	кулӧм
debate	вензьӧм
debit	дебет
debris	коляс
debt	уджйӧз
decade	дас во
decay	сісьмӧм
decay	тшыксьӧм
deceased	кувсьӧм
deceive	ылӧдлыны
december	ӧшым
decent	вежавидзысь
decide	решитны
decided	решитіс
decision	решитӧм
decision	помшуӧм
deck	палуба
decline	вештыны
decrease	чинтыны
decrease	чинны
dedicated	сьӧлӧмсянь сетчӧм
dedication	сиӧм
deed	вӧчӧм
deep	джуджыд
deer	кӧр
default	водзвыв индӧм
default	водзвыв пуктӧм
defeat	пасьвартӧм
defeat	вермыны
defend	дорйыны
define	урчитны
definitely	стӧча
definition	гӧгӧрвоӧдӧм
degree	тшупӧд
delay	сёрмӧм
delay	сёрмӧдны
delayed	сёрмӧм
delete	киритны
delete	чышкыны
deliberate	водзвыв артыштӧм
delicate	мелі
delicious	чӧскыд
delight	нимкодясьӧм
delighted	нимкодь
deliver	вайны
delivered	вайӧм
delivery	вайӧм
demand	тшӧктӧм
demand	тшӧктыны
demanding	требуйтан
demanding	требуйтысь
democracy	демократия
demon	мути
demon	пеж лов
demonstrate	мыччӧдны
denied	ӧткажитіс
density	тшӧкыдлун
dentist	пинь бурдӧдысь
deny	соссьыны
department	юкӧн
departure	мунӧм
depend	зависитны
deploy	паськӧдны
deposit	пай
deposit	пуктыны
depressed	дзугыль
depression	депрессия
depth	джуджда
describe	серпасавны
describe	опишитны
description	серпасалӧм
description	опишитӧм
description	висьталӧм
desert	овтӧмин
desert	пустыня
deserve	сулавны
design	дизайн
design	проектируйтны
designation	индӧм
desire	кӧсйӧм
desire	кӧсйыны
desk	пызан
despair	шогӧ усьӧм
desperate	повтӧм
despite	видзӧдтӧг
dessert	юмовтор
destination	воанін
destiny	олантуй
destroy	бырӧдны
destruction	жугалӧм
detail	деталь
detail	поснитор
details	посниторъяс
detect	казявны
determination	повтӧмлун
determine	гӧгӧрвоӧдны
determined	зумыд
determined	повтӧм
devastated	рӧзӧритӧм
develop	сӧвмӧдны
developed	сӧвмӧм
development	сӧвмӧм
development	сӧвмӧдӧм
device	устройство
devil	омӧль
devil	дявӧл
devoted	сьӧлӧмӧн сетчӧм
Dhivehi	Дивехи
diabetes	диабет
diarrhea	мыт
diary	луннебӧг
dictionary	кывкуд
did	вӧчис
die	кувны
died	куліс
diet	диета
difference	торъялӧм
different	мӧд
difficult	сьӧкыд
dig	кодйыны
dignity	дон
diligent	зіль
dinner	ужын
dinner	рытъя сёйӧм
dip	сунгыны
direct	веськыд
direction	нырвизь
director	директор
dirt	няйт
dirty	няйт
disable	кусӧдны
disabled	вермытӧм
disappear	вошны
disappointed	лача воштӧм
disaster	неминуча
discard	шыбитны
discharge	пуксьӧдны
discipline	дисциплина
discount	дон лэдзӧм
discover	восьтыны
discrimination	дзескӧдӧм
discuss	видлавны
discussion	видлалӧм
disease	висьӧм
diseases	висьӧмъяс
disguise	маскируйтчыны
disguise	маскировка
disgusting	зывӧк
dish	тасьті
dish	сёян
dishes	тасьті-пань
dismiss	вештыны
dispatch	ыстыны
dispatch	ыстӧм
display	тыдӧдны
disposal	иналӧм
dispute	вензьӧм
distance	кост
distinct	ясыд
distinct	торъя
distinguish	торйӧдны
distress	шог
distribution	юклӧм
district	ясыд
disturb	дӧзмӧдны
ditch	ва кыскӧд
ditch	канава
dive	сунавны
diverse	уна сикаса
diversity	унасикаслун
divide	юкны
divine	еннога
divorce	юксьыны
divorce	юксьӧм
dizzy	юр бергӧдчана
do	керны
do	вӧчны
do you	тэ
do you	ті
do you love me	тэ менӧ радейтан
do you love me	ті менӧ радейтанныд
doctor	бурдӧдчысь
document	документ
does	вӧчӧ
doesn't	оз
dog	пон
Dogri	Догри
doing	вӧчан
doing	вӧчысь
doll	акань
domain	кутантор
domestic	гортса
dominant	вевтыртысь
don't	оз ков
Don't worry	Эн майшасьӧй
Don't worry	Эн майшась
donate	сетны
done	дась
donkey	осёл
dope	употребляйтны наркотик
dope	сетны наркотик
dope	наркотик
double	дзик ӧткодь морт
double	кыкпӧвставны
doubt	падъялӧм
doubt	падъявны
dough	няньшом
down	улӧ
download	грузитны
draft	бала
draft	вӧчны бала
drag	кыскыны
drain	визувтӧм
drama	драма
draw	серпасавны
drawer	ящик
drawing	серпас
dread	повны
dread	полӧм
dream	кӧсйӧм
dream	кӧсйыны
dress	пасьтавны
dress	пасьтӧдны
dress	платтьӧ
drill	писькӧдны
drink	юантор
drink	юны
drive	шоперавны
drop	войт
drop	уськӧдны
dropped	уськӧдіс
drought	кос
drunk	код
dry	кос
duck	чӧж
dude	зон
due	колана
due to	вӧсна
dull	гажтӧм
dumb	кывтӧм
dump	шыблавны
duration	дыр
during	дырйи
dust	бус
duty	уджмог
dwell	овны
dying	кулысь
each	быд
each other	ӧта-мӧдӧс
eager	терпитны вермытӧм
eager	ляб
eagle	кутш
ear	пель
earlier	водзджык
early	водз
earn	нажӧвитны
ears	пельяс
earth	му
earthquake	му вӧрзьылӧм
ease	кокнилун
easily	кокньыда
east	асыввыв
easy	кокньыд
eat	сёйны
eating	сёйӧм
economic	экономика
economy	экономика
edge	дор
edit	бурмӧдны
education	тӧдӧмлун босьтӧм
education	велӧдчӧм
effect	эффект
effective	окталуна
efficiency	бура уджалӧм
efficient	окталуна
effort	выныштчӧм
egg	кольк
eggplant	баклажан
ego	ме
eight	кӧкъямыс
eighteen	дас кӧкъямыс
eighty	кӧкъямысдас
either	либӧ
elaborate	быд боксянь думыштны
elaborate	быд боксянь думыштӧм
elbow	гырддза
elder	ыджыдджык
elderly	олӧма
elegant	пелькиник
element	элемент
elephant	слӧн
eleven	дас ӧти
eligible	инӧда
eliminate	бырӧдны
else	мӧд ногӧн
else	мӧд ног
embarrassed	родысь
embarrassing	шӧйӧвоштана
embrace	примитны
emerge	мыччысьны
emergency	видзчысьтӧм лоӧмтор
emotional	сьӧлӧм вӧрзьӧдан
empathy	эмпатия
emphasis	тӧдчӧдӧм
emphasize	тӧдчӧдны
employee	уджалысь
employees	уджалысьяс
employer	удж сетысь
employment	удж вылӧ пырӧм
empty	куш
empty	тыртӧм
enable	пыртны
encounter	зурасьӧм
encounter	зурасьны
encourage	ошкыны
encourage	ышӧдны
end	пом
endangered	грӧз улын
endeavor	зіля уджалӧм
endurance	винёвлун
endure	терпитны
enemy	враг
energy	энергия
energy	вын
engage	пыртны
engage	кикутны
engaged	кикутӧм
engagement	пырӧдчӧм
engagement	корӧм
engagement	кикутӧм
engine	двигатель
engineer	инженер
English	Англия
enhance	бурмӧдны
enjoy	сьӧлӧм бурмӧдны
enjoy	нимкодясьны
enormous	зэв ыджыд
enough	тырмымӧн
ensure	могмӧдны
enter	пырны
entertainment	гажӧдчӧм
enthusiasm	водзмӧстчӧм
enthusiastic	сьӧлӧмсянь
entire	дзонь
entitled	сетӧма инӧд
entity	сюрӧс
entrance	пыранін
entrepreneur	ас вылӧ уджалысь
envelope	конверт
environment	ывла выв гӧгӧртас
envy	вежалӧм
envy	вежавны
epic	эпическӧй
epidemic	пӧрӧс
equal	ӧткодь
equipment	оборудуйтӧм
equipment	оборудованньӧ
equity	ӧткодьлун
equivalent	эквивалент
eraser	вуштысян
error	шыбӧль
escape	пышйыны
escape	пышйӧм
especially	торйӧн
essay	эссе
essence	сюрӧс
essential	колана
establish	лӧсьӧдны
established	подулалӧм
estate	овмӧс
estimate	донъявны
estimated	чайтана
estimated	арталан
etc	да с. в.
eternal	помасьлытӧм
ethics	этика
evaluate	донъявны
evaluation	дон
even	весиг
even though	кӧть
evening	рыт
event	лоӧмтор
eventually	бӧръяпомас
ever	пыр
ever	век
every	быд
everybody	быдӧн
everyone	быдӧн
