a	ए
bark	सों
bark	दंफां बिगुर
barley	जेबो आइजें गैया लासे
barrier	बेरा
base	बिथा
based	बिथा
basement	न'नि गाहायनि खथा
basic	गुदि
basically	गुबैयै
basil	थुलुंसि बिफां
bastard	जारज
batch	हानजा
bath	दुगैनाय
bathroom	दुगैग्रा न'
battery	बेटारी
battle	दावहा
bay	जाथि थि गाब
be	दं
be	जा
be	था
be careful	मोजां था
beach	लैथो जिं
beam	सोरां रोदा
beans	गरसि
bear	सहाय
bear	मुफुर
beard	दारि
bearing	आखु
beast	जुनार
beat	फेजेननाय
beat	बु
beautiful	समायना
beauty	समायना
became	जाबाय
because	मानोना
because	मानोहोनोब्ला
become	जानो
bed	बिसना
bedroom	उनदुग्रा खथा
bee	बेरे
beef	मोसौ बेदर
been	दंमोन
beer	रोखोमसे जौ
before	सिगां
began	जागायबाय
begin	जागाय
beginning	जागायजेननाय
behalf	सासेनि सोलाय
behave	बाहाय
behavior	आखल आखु
behaviour	आखल
behind	उनफारसे
being	थाथाय (अस्तित)
belief	फोथाइ
believe	फोथाय
belly	उदै
belong	बिगोमा
beloved	अनजालु
below	गाहायनि
belt	पेटी
bench	बेरेंसि
bend	फदब
beneath	सिंआव
benefit	मुलामफा
benefit	मुलामफा मोन
benefits	मुलामफा
beside	खाथियाव
besides	खाथियाव
best	साबसिन
best of luck	मोजांयै हो
best regards	साबसिन सनमान
better	साबसिन
between	गेजेराव
beverage	सरबत
beyond	बाहेराव
Bhojpuri	झारखाण नि राव
bias	नंखाय
biased	फेर
bicycle	साइकेल
bid	बिथोन हो
big	गिदिर
bike	मटर साइकेल
bill	रांनि हिसाब
bind	खा
bird	दाव
birthday	जोनोम सान
bit	इसे
bite	अर
bite	अरनाय
bitter	गोखा
black	गोसोम
blade	गोबौ मुवा
blame	दाय
blame	दाय हम
blank	जेबो गैयै
blanket	खमबल
blast	बेरफ्रु
bleach	गुफुर जा
blend	गलाय
bless	बोर हो
blessed	बोर गोनां
blind	खाना
bliss	थार सुख
block	खफा
blood	थै
bloom	बिबार बारस्रानाय
blow	सौनाय
blue	निला
blunt	बुथुवा
board	मेज
boat	दिङा
Bodo	बोडो
body	सोलेर
boil	रु
bold	गिनो रोंइ
bond	खाग्रा
bone	हारा
book	बिजाब
boost	बोलो हो
boost	नारना हर
booster	बोलो बांहोग्रा
boot	होखार
boots	बुट जुथा
border	सिमा
bore	बा नाय
bored	खायसो खालाम
boring	गोसो गैयि
born	जोनोम
borrow	दाहार लाथ'
boss	दैदेनगिरि
both	सानैबो
bother	नांजानाय
bottle	बथल
bottom	गेजेर
bought	लाबोनाय
bounce	बाजल'
bound	सिमा
boundaries	सिमना
bow	खर' गंलायनाय
bowl	खुरै
box	बाखसु
boy	हौवासा
boyfriend	गोसोथोनाय सेंगोरा
bracelet	आसान
brain	मेलेम
branch	दालाइ
brand	फालांगि नेरसोन
brave	सहस गोरा
breach	गुदुं
bread	आटानि र'थि एबा फिथा
break	सिफायनाय
break	सिफाय
breakfast	फुंनि आदार
breast	आबु
breath	हां लानाय हगार नाय
breathe	हां बो
breed	फोलेर
brick	इथा
bride	खैना
bridge	दालां
brief	गुसुं
bright	गोजों
brilliant	जोबोद मोजां
bring	लाना फै
bro	बिदा
broad	गुवार
broadcast	गोसार होनाय
broke	बायनाय
broken	बायनाइ
broom	हासिब
brother	बिदा-फंबाय
brother in law	गुमै
brought	लाबोबाय
brown	मुगा
brush	मैला हुगारग्रा
bucket	बालथिं
buddy	लोगोरि
budget	रां बावजा
bug	उराव एमफौ
build	लु
building	लुनाय
built	लुनाय
bulk	बिबां
bull	मोसौ खार
bully	सुथालाग्रा मानसि
bump	सौथु
bunch	मुथा
bundle	मुथा
burden	बजाय हो
burden	बजाय
buried	फबनाय
burn	फोजों
burst	गुब्रु
bury	फब
bus	बास गारी
bush	जाहार
business	फालांगि
bust	सिफाय
busy	मुखुब
but	नाथाइ
butter	माखन
butterfly	सिखिरि
button	गुदाम
buy	रांहोना ला
by	खाथियाव
by the way	बिनिफ्राय
bye	बिदाय
cabbage	बान्दाकबि
cabinet	मनथ्रिमण्डल
cage	फिनजारी
cake	फिथा
calf	मोसौ मैसोनि एबा मैदेरनि फिसा
call	लेंहर
call	लेंहरनाय
call me	आंखौ लिंहर
called	लेंहर
calm	निजोम
came	फैबाय
campaign	फोथार
can	दो
can	थेमा
can	मावनो एबा खालामनो हा
can't	हाया
Cancel	बोखार
cancer	केनसार बेराम
capable	मावनो हानाय
capacity	लानो हानाय गोहो
capital	राजथावनि
caption	आयदानि गिबि सारि
capture	सेबखां
car	गारि
career	जिवनि हाबा
careful	जोथोन गोनां
carefully	जोथोनै
careless	जोथोनगैयै
caring	जोथोन
carpenter	मिसथ्रि
carpet	दलिसा
carrot	गाजर
carry	दिखां
carry on	मावबाय था
carry out	मावबाय था
case	मामला
cash	नोगोद रां
cast	महर हो
castle	खरं
casual	जाहोन
cat	मावजि
catch	हम
category	थाखो
cattle	मोसौ
caught	हमनाय
cause	सोमजि हो
cause	जाहोन
caution	सांग्रांथि
cautious	सांग्रांथि
cave	दनदर
cease	नागार
ceiling	सिलिं
celebrate	फोरबो फालि
cell	फिसा दनदर
center	गेजेर
century	जौथाय
cereal	साबाय
ceremony	फोरबो
certain	थार
certainly	नंथारगौ
certificate	फोरमान लाइसि
chain	जिनज्रि
chair	मासि
challenge	फेर फाथि
challenge	दाबि
chance	सोलाय
change	सोलाइ
chaos	बेले -बेजे
character	आखल
characteristics	स्वभाब
charge	बिबान
charity	दान होनाय
charming	समायना
chart	फारिलाइ
chase	होसो
chat	सावरायलाबायनाय
chat	बाथ्रा बुंला बायनाय
cheap	सस्ता
cheat	फोला
cheating	थगायनाय
check	आनजाद खालाम
check	थाबथानाय
cheek	खावलाय
cheer	रंजानाय
cheerful	रंजानाय
cheers	रंजा
cheese	गायखेर दाखा
chemistry	रासायन सास्र
cherish	गेदेर गोलाव‌ खालाम
chess	दाबा गेलेनाय
chest	बिखा
chew	सावले
chicken	दावसा
chief	गाहाय
child	गथ'
childhood	उन्दै सम
children	गथ'फोर
chill	गोजांनाय
chill	गुसुखालाम एबा जा
chill	गुसु
chimneys	उखुनदै गलांग्रा हासुं
chin	खखाब
chocolate	मेथाय
choice	बासिनाय
choose	बासि
chop	सिखाजों हानाय
chores	सानफ्रोमबो मावनो गोनां हाबा
chubby	दुलुत दालात
church	गिरजा न'
cinnamon	दालसेनि
circle	बेंखन
circumstances	जाथाय
citizen	नोगोरारि
city	सहर
claim	बिख'नाय
claim	मोनथाय
clarify	बुंफोरना हो
class	थाखो
clay	हाब्रु
clean	साफा
clear	रोखारोखा खालाम
clear	रोखा रोखा
clerk	महरी
clever	सालाख
client	उकिल हमग्रा मानसि
cliff	अनथाइनि गरा
climate	बारहावा
climb	मानखो
clingy	नांथाबनानै था
clock	घड़ी
close	बन्द'
closet	गस्ला दोनग्रा खथा
cloth	सि जोम
clothes	जोम
cloud	जोमै
cloudy	दोमैलु
clown	आलोगेन्द्रा
clue	गुमुर
clumsy	बुथुवा
cluster	थुबुर
coach	फोरोंथायहोगिरि
coal	खैला
coast	लैथोजिं
coat	क'ट गसला
coffee	क'फि
cognitive	बुजिनाय गोहो
coincidence	लोगोसे जाफानाय जाथाय
cold	गुसु
collapse	हरखाब बायनाय
collar	गोदोनानि जि
colleague	लोगोसे मावफाग्रा
colleagues	हेफाजाबगिरि
collect	बुथुम
collection	बुथुमनाय
college	फरायसालिमा
color	गाब
colorless green ideas slept furiously	गाब गैयै गोथां सानस्रिया उनदुदों थिउरियायै
colour	गाब
column	खामफा
comb	खानजं
combination	दाजाबनाय
combine	दाजाब
come	फै
come here	बियाव फै
come on	फै
comfort	सुखु
comfortable	गोजोनै
coming	फैगौ
coming soon	फैगासिनो
command	बिथोन
comment	बाखनाय
commercial	फालांगियारि
commission	खामानि मावनो‌ सायख' जानाय हानजा
commit	सतबांसा ला
commitment	थिरांथा
committed	समाय - खिरा ला
commodity	मुवा बेसाद
common	बयनिबो
communicate	जगा जग
communication	जगा जग खालाम
community	सुबुं समाज
commute	थांलाय फैलाय खालाम
companion	लोगो
company	दोलो
compare	रुजु
comparison	रुजुनाय
compassion	अननाय
compassionate	अननायजों
compatible	सोमोनदोगोनां
compete	जुजि
competent	आरजाथाव
competition	बादायलायनाय
competitive	बादायलायनाय
complain	अजद
complaint	अजद
complement	फुरायग्रा
complement	फुराय
complete	फोजोब
completely	फुरायै
complex	गोरा
compliance	फालिनाय
complicated	गोब्राब जानाय
compliment	हामलायनाय
comply	सिमान जा
composition	सुजुनाय
compound	हा द'खर
comprehension	हमदांनो हाथावना
comprehensive	गासैखौबो लाजोबना
compromise	मिला मिसा जानाय
compulsory	गोनांथार
computer	सानजुनथी
concentrate	गोसो फज'
concept	सानखांथि
concern	जिंगासि
concern	जिंगा
concerned	जिंगासि
concert	दामनाय देनायनि मेला
conclusion	जोबनायाव
concrete	गथा
concrete	बाला
condition	हालसाल
conditions	थासारि
conduct	दैदेन
conference	जथुम्मा
confess	सिमान जा
confidence	साहस
confident	फोथायनाय
confirm	रोखा
conflict	बेरेखा
confused	आनदायनाय
confusion	आनदायनाय
congrats	बराय
congratulation	साबायखर
congratulations	साबायखर बावनाय
conjunction	थाफानाय
connect	जराय
conquer	जैजा
conscious	सांग्रां
consciousness	आनदास
consent	बोसोन
consent	राजि जा
consequences	फिथाय
conservation	रैखा खालामनाय
conservative	रैखाथि
consider	सानना नाय
considered	सानना नाय
consist	था
consistency	गोरोबथि
consistent	बायदियै
constant	सोलायनाय गैयै
constantly	दिदोमै
constipation	गोरा जा
construction	बानायबाय थानाय
consume	मन
consumption	मोनजानाय
contact	सोमोनदो
contact	सोमोनदोआव फै
contagious	बारस्लायग्रा
contain	हमफा
contains	हमफा
contemporary	मोनसे समनि
contempt	मुगैनाय
content	सिंनि मुवा
contest	बादाय
context	लोबबा गोनां बाधा
continent	हादोरमा
continue	आवगाय
contract	रादाय खा
contract	रादाय बिलाइ
contrast	फाराकथि
contrast	फाराक दिनथि
contribute	मदद हो
contribution	मदद
control	दबथायनाय
controversial	हेंथा गोनां
convenience	खाबु
convenient	सुबिदागोनां
conversation	सावरायनाय
convert	सोलाय
convert	सोलायनाय
convey	दैथाय
convince	फोथाय हो
convinced	मानि होनाय
cook	सं
cook	रुवाथि
cooking	संनाय
cool	गुसु
cool	जोबोद मोजां
cooperation	लोगो नांना माव
cope	खर' खोबग्रा
copper	तामा
core	बिखा
corn	जुंखाम
corner	खना
correct	थार
cost	दाम
cost	खरसा जा
costume	देलायग्रा मुवा
cottage	देरा
cotton	कपाह सि
couch	फुथुमना दोन
cough	गुजुनाय
could	हागौमोन
council	समिटि
count	सान
counter	हेंथायै
country	हादर
countryside	गामि ओनसोल
couple	ज'रासे
courage	गोहो
course	बोहैथि लामा
court	बिजिरसालि
courtesy	माहि आखु
cousin	बिबथै एबा बिमायंनि फिसाला एबा फिसाजो
cover	खोबथे
cow	मोसौ गाइ
coward	गिख' मानसि
cozy	आराम गोनां
crab	खांख्राय
crack	गावनाय
crack	बायहोग्रा
craft	शिल्प' बिधा
crap	खांख्राइ
crash	सिलिंखार जानाय
crash	गाज्रि जा
craving	लुबैनाय
crawl	मानबाय
crazy	सानना रोङग
create	बानाय
creative	सोरजिलु
credit	मुं होनाय
creep	मानबाय नाय
creepy	नायखुमाग्रा
crew	सुबुं हानजा
crime	दाय
cringe	गुरै जा
cringe	गिनानै खर'गंलाय
crisis	अलखत
criteria	बिजिरनायनि खानथि एबा नेम
critical	खैफोद गोनां
criticism	बखिनाय
crop	बिदां
crops	बिदां
cross	गैया खालाम
cross	दाजाबनाय सिन
crow	दावखा
crowd	सुबुं थुबुर
crowded	गोबांद्राय
crown	मुखुट
crucial	गोनां
cruel	अनागारि
cruise	संदानग्रा जाहाज
crush	नारसिननाय
crush	थेफा खालाम
cry	गाब
cucumber	थाइबें
cuddle	हमक्र'बलाय
culture	हारिमु
cunning	सालाख
cup	खुरै
cupboard	थोरसि - लथा दोनग्रा जायगा
curb	दबथाय
cure	सोखानाय
cure	फाहाम
curfew	बायजोआव ओंखारला बायनो मोनै
curiosity	मोनथिनो उसुखुथु जानाय
curious	मोनथिनो लुबैनाय
curly	खिंख्रि खानाइ
currency	हादोर आव सोलिनाय रां एबा मुद्रा
current	सोलिगासिनो थानाइ
currently	दासिमाव
curse	साव हो
curtain	फरदा
cushion	गादि
custom	नेमखानथि
customer	बाइग्रा
customs	नेमखानथि
cut	दाननाय
cut	दान
cute	महरगोसा
cycle	समनि फाखन
cycling	साइकेल सालायनाय
dad	आफा
daddy	आफा
daily	सानफ्रोमबो
dairy	गाइखेर कारबार
dam	बानदो
damage	खहा
damage	खहा खालाम
damn	सावहो
damp	सिदोमा
dance	मुसा
danger	खैफोद
dangerous	गिलु बालु
dark	खोमसि
darling	अनजालि
dash	खुफले
data	बिथं
date	लोगोहमनाय
date	अकट'
daughter	फिसाजो
day	सान
dead	गोथै
deadline	थि खालामनाय सम
deaf	बेंगा
deal	रान
deal	बाहागो
dear	बेसेन गोसा
Dear All	मानिनां गासैबो
Dear Customer	मानिजाथाव बायग्रा
Dear Parents	बिफाफोर
Dear Sir	मानिनां गुरु
Dear students	आंगोनि फरायसाफोर
Dear Team	आंगो हानजा
death	थैबाय
debate	बाथ्रा दानथेलायनाय
debit	हरनाय
debris	दाखोर - दाला
debt	दाहार
decade	जि बोसोर
decay	सेवनाय
deceased	थैनाय
deceive	थ'गाय
december	इंराजि बोसोरनि जिनैथि दान
decent	थि
decide	गोसो थि खालाम
decided	थिरां खालाम
decision	थिरांथा
deck	देलाय हो
decline	नेउसि
decrease	बाङाय खालाम
dedicated	बावसोमनाय
dedication	बावसोम
deed	हाबा
deep	गोथौ
deer	मै
default	दाय
defeat	जेननाय
defeat	फेजेन
defend	बासाय
define	रोखा ओंथि खालाम
definitely	रोखायै
definition	बेखेवथि
degree	थाखो
delay	गोबाव खालामनाय
delay	गोबाव खालाम
delayed	गोबाव जानाय
delete	दानगार
deliberate	गोथौयै सान
delicate	गुरै
delicious	गोथाव
delight	गोजोन हो
delighted	गोजोननाय
deliver	बिलाय
delivered	दैथायहर
delivery	रान
demand	दाबि
demand	दाबि खालाम
demanding	दाबिनाय
democracy	सुबुंखानथि
demon	असुर
demonstrate	रोखायै दिनथि
denied	मानियै
density	बेसे गोरा
dentist	हाथाइनि दाक्टर
deny	मानिना लायै
department	बिफान
departure	नागारलांनाय
depend	सोनार
deploy	फेहेर
deposit	दोनथुम
deposit	जमा खालाम
depressed	गोसो बायहोनाय
depression	सिनथा हवा
depth	गोथौ
describe	खेंफोर
description	बेखेवथि
desert	बालाहामा
deserve	खामानिजों आरजि
design	सावगारि
design	महर हो
designation	बिमुं
desire	लुबै
desire	हासथायनाय
desk	आरांगा
despair	हाथास जा
desperate	आसा गैयै
despite	नेहात साननाय
dessert	ओंखाम जाखांनानै जाग्रा फिथाइ सामथाइ
destination	थांखि
destiny	खाफाल
destroy	फोजोबस्रां
destruction	सिलिंखार
detail	गुदिखिथा बुंफ्रोदनाय
details	गुवारै फोरमाय
detect	दिहुन
determination	थि खालामनाय
determine	थिरांथा खालामनाय
determined	थि खालाम
devastated	फोजोबस्रां
develop	दिहुन
developed	जौगाथाय
development	दावगानाय
device	आदब
devil	सैतान
devoted	बावसोमनाय
Dhivehi	मालदिबसनि राव
diabetes	थाब थाब हासुनो ओंखारनाय बेराम
diarrhea	खिनाय बेराम
diary	सानरेब
dictionary	सोदोब बिहुं
did	मावदों
die	थै
died	थैबाय
diet	आहार
difference	फारागथि
different	गुबुन
difficult	खस्त'
dig	जाव
dignity	सनमान
diligent	मावथि
dinner	मोनानि जानाय
dip	थबल'
direct	गोथों
direction	दैदेननाय
director	बिथोन होग्रा
dirt	मैला
dirty	मैला
disable	मावनो हायै
disabled	मावनो हायै
disappear	गोमोरलां
disappointed	निरासा जानाय
disaster	खैफोद
discard	दानगार
discharge	बिबान एरख्लाय
discipline	आब्रुथि
discount	रेहाय बेसेन
discover	दिहुन
discrimination	बासिनाय
discuss	सावराय
discussion	सावरायनाय
disease	बेराम
diseases	रग
disguise	महर सोलाय
disgusting	बानाय
dish	थोरसि
dishes	थोरसि
dismiss	होखारनाय
dispatch	दैथाय
display	दिनथिफुं
disposal	साजायनाय
dispute	नांलाय
distance	जानथाय
distinct	थि
distinguish	फाराग खालाम
distress	अलखद
distribution	राननाय
district	जिल्ला
disturb	सुखुवै खालाम
ditch	थगाय
dive	दैयाव थब्ल'
diverse	बायदि रोखोमनि
diversity	बायदि रोखोम
divide	रान
divine	इसोरारि
divorce	फाथैलाइ बिसि
divorce	फाथैलाइ बिसिनाय
dizzy	खर'गिदिंनाय मोननाय
do	माव
do you	नोंथां हा
do you love me	नों आंखौ मोजां मोनो ना
doctor	बेराम फाहामगिरि
document	दलिल
does	मावओ
doesn't	खालामा
dog	सैऐमा
Dogri	जामु आरो कासमिरनि राव
doing	खामानि
doll	फुथुला
domain	हादोर
domestic	न'नि
dominant	गाहाय
don't	दाखालाम
Don't worry	जिंगा दाखालाम
donate	दान हो
done	फुरायै फोजोबनाय
donkey	गाद'
dope	फेग्रा मुवा
double	नैगुन
double	नैगुन खालाम
doubt	सन्देह
doubt	फोथायनो गोब्राब मोन
dough	दै गलायनानै नानाय आटा गुनदैनि लट्रा
down	गाहायाव
download	इंटारनेद निफ्राय गावनि जानबुंआव लाखिनाय
draft	लिरना एबा बोना नायग्रा
draft	खसरा
drag	सस्रायना लां
drain	बोहैखार लां
drama	नायजाब
draw	सावगारि बो
drawer	दिहुनग्रा
drawing	सावगारि
dread	समखि
dream	सिमां नु
dream	सिमां
dress	गानग्रा - जोमग्रा
drill	फलं
drink	लोंनाय
drink	लों
drive	सलाय
drop	थारथिं
drop	थोबफा थोबफा गोगलैनाय
dropped	गारबाय
drought	गोरान
drunk	निसा नांनाय
dry	गोरान
duck	हांसो
dude	साहाब बायदि दिनथिग्रा मानसि
due	होनो गोनां
due to	मानो ना
dull	बुथुवा
dumb	बबा
dump	गारहर
duration	दिदोमथि
during	समाल
dust	हाद्रि
duty	हाबा
dwell	था
dying	थैलांनाय
each	मोनफ्रोम
each other	गावजों गाव
eager	जोबेद गोसो गोनां
eagle	फेसा
ear	खोमा
earlier	सिगांआव
early	समनि सिगां
earn	खामाय
ears	खोमा
earth	बुहुम
earthquake	बांग्रि
ease	आराम
easily	गोरलैयै
east	सानजा
easy	गोरलै
eat	जा
eating	जानाय
economic	गथि गथि बाहायग्रा
economy	राखांनथि
edge	रूगुं
edit	सुजु
education	सोलोंथाइ
effect	जाउन
effective	जाउनगोनां
efficiency	गोरों
efficient	आखा फाखा
effort	नाजानाय
egg	दावदै
eggplant	दावदै बिफां
ego	अहं
eight	दाइन
eighteen	जि दाइन अनजिमा
eighty	दाइन जि
either	मोनफ्रोमबो
either	मोननैनि गेजेराव मोनसे
elaborate	गुवारै बेखेव
elbow	खिलाखुनथि
elder	देरसिन
elderly	गेदेरसिन
elegant	समायना
element	गुदिमुवा
elephant	मैदेर
eleven	जि से अनजिमा
eligible	जाथाव
eliminate	नागार
else	नङाब्ला
embarrassed	लाजिनांनाय
embarrassing	लाजिथावना
embrace	ब'जब
emerge	नुजा
emergency	हरखाब नुजानाय
emotional	आबेग गोनां
empathy	गुबुननि दुखुखौ मोनदां नो‌ हानाय
emphasis	गोबारै बुंनाय
emphasize	बाथ्रानि सायाव जर होनाय
employee	खामानि मावग्रा
employees	साख्रि आवला
employer	थिसनग्रा
employment	थिसनथाय
empty	लाथिख'
enable	गोहोनां खालाम
encounter	मोगामोगि जा
encourage	थुलुंगा हो
end	जोबथा बाहागो
endangered	गोमोरलांनो नागिरनाय
endeavor	नाजा
endurance	सहायनाय
endure	सहाय
enemy	सुथुर
energy	गोहो
engage	थिसन
engaged	खामानियाव नांथाबना थानाय
engagement	हाबानि खोथा जाखानाय
engine	जनथ्र'
engineer	इनजिन बानायग्रा
English	इंराजि
enhance	बांहो
enjoy	रंजा
enormous	जोबोद गेदेर
enough	थोबाइ
enough	थोजासे
ensure	रोखा खालामना हो
enter	हाब
entertainment	रंजानाय
enthusiasm	थुलुंगा
enthusiastic	गोसो गुदुं
entire	गासै
entitled	मोनथाय हो
entity	सिनायथि
entrance	दरखं
entrepreneur	फालांगियारि सुबुं
envelope	लेफाफा
environment	बेंखननाय
envy	हिंसा खालाम
epic	सल'नथायमा
epidemic	महामारि
equal	समान
equipment	माल माथा
equity	नाज्य बिसार
equivalent	एखे
eraser	खोमोरग्रा
error	गोरोनथि
escape	रैखा
