abandoned	fililen
Are you still there?	Aw bɛ yan hali bi wa?
are you there	i be yen wa
argue	ka sɔsɔli kɛ
argument	sɔsɔli
arise	ka wili
arm	tɛgɛkala
army	kɛlɛbolo
around	dafɛ
arrange	ka ɲɛnabɔ
arrangement	ɲɛnabɔli
arrival	nali
arrived	se la
arrive	ka se
arrogant	kángɛlɛn
arrow	biɲɛkisɛ
article	sariyasen
artificial	hadamaden ka fɛn dilannen
artist	jadilanna
art	seko
ashamed	maloyalen
ash	bugurinjɛ
as	i n'a fɔ
asked	ɲininkala
ask	ka ɲininka
asleep	ka sunɔgɔ
as long as	kamasɔrɔ
aspect	yɔrɔ
Assamese	Asamwa
assault	binkani
assembly	asanbile
assertive	ka fɔ
assess	ka sɛgɛsɛgɛ
assessment	sɛgɛsɛgɛli
asset	kisɛ
assets	kìsɛ
assign	ka baara di
assignment	baara
assistant	dɛmɛbaa
assist	ka dɛmɛ don
associated	jɛlen
associate	jɛɲɔgɔn
association	tɔn
assume	k'i jɔyɔrɔ fa
assumption	bisigiyali
as well	ani fana
as well as	ani fana
ate	dumunu kɛ
at	fɛ
athlete	bolikɛla
at least	laban na
attached	sirinen
attach	ka siri
attachment	sirili
attack	ka bin
attempt	ka si filɛ
attendance	senjɔli
attend	ka sen don
attention	janto
attitude	kewale
attraction	lasamali
attractive	min bɛ mɔgɔ sama
attract	lasamali
attribute	ka ɲi
audience	lamɛlijama
august	utikalo
aunt	tɛnɛmuso
aunty	tɛnɛmuso
authentic	lakika
authority	fanga
author	wálebaga
autumn	otɔmi
available	bɛ yen
average	hakɛlama
avoid	fɛngɛ
awake	ka wuli
award	kado
aware	hakilimaya
awareness	laadiriyali
away	jàn
awesome	kabakoma
awful	cɛjuguman
awkward	ɲɛ́nango
Aymara	Ayimara
baby	denyɛrɛnin
bachelor	cɛgana
background	hukumu
back	kɔ
bad	jugu
bag	saki
bait	nuku-nuku
bake	ka wusu
bakery	nbuurudilanyɔrɔ
baking soda	kùmunan
balance	ka bɛrɛbɛn
ball	balɔn
Bambara	Bamanankan
banana	namasa
band	bandi
bang	ka gosi
bank	waribon
bar	dɔlɔminyɔrɔ
barely	sisan
bargain	ka tɛrɛmɛ
bark	jirifara
barley	ɔrizi
barrier	bariyɛri
base	bazi
based	ka sinsin
basement	kuluwo
basically	jubajula
basic	kunfɔlɔ
basil	basili
bastard	ɲàmɔgɔden
batch	kulu
bath	ka ko
bathroom	ɲɛgɛn
battery	batiri
battle	kɛlɛ
bay	loriye
beach	jida
beam	ɛrɛyɔn
beans	siyɔ
beard	bonbonsi
bearing	muɲuli
bear	muɲu
beast	bagan
beat	ka bugɔ
beautiful	cɛɲi
beauty	cɛɲɛ
became	kɛla
be careful	i janto
because	barisa
become	kɛ
bed	dalan
bedroom	siso
bee	diden
beef	misisogo
been	a kɛ la
beer	biyɛri
before	fɔlɔ
began	daminɛna
begin	ka daminɛ
beginning	daminɛ
behalf	tɔgɔla
behave	ka i jogo dɔn
behavior	jogo
behaviour	tagabolo
behind	kɔfɛ
being	ni fɛn
belief	danaya
believe	danaya
belly	kɔnɔbara
belong	ta don
beloved	ja nye mɔgɔ
below	jukɔrɔ
belt	sentiri
bench	ban
bend	ka gɔlɔn
beneath	duguma
benefits	nafaw
benefit	tɔnɔ
be	se
beside	kɛrɛ fɛ
besides	o kɔfɛ
best	fisaya
best of luck	ka i gɛrɛsɛgɛ
best regards	i ni ce kɔsɛbɛ
better	fisa
between	cɛ
beverage	minfɛnw
beyond	o sanfɛ
Bhojpuri	Bojpuri
bias	dɛmɛ fan
biased	fan sugandi
bicycle	nɛgɛso
bid	ka pariye
big	belebele
bike	nɛgɛso
bill	sariya bolo
bind	ka siri
bird	kɔ̀nɔ
birthday	wolodon
bite	ka kin
bit	kin
bitter	kuna
black	finman
blade	murukisɛ
blame	ka jalaki
blanket	birifini
blank	lankolon
blast	ka ci
bleach	zawɛli ji
blend	ka ɲagami
bless	duba
blessed	dubalen
blind	fiyentɔ
bliss	daamu
block	kare
blood	joli
bloom	ka filɛri bɔ
blow	ka fiyɛ
blue	bula
blunt	ka dɔgɔya
board	tabulo
boat	bato
body	farikolo
boil	ka wuli
bold	farin
bond	bɔn
bone	kolo
book	gafe
booster	fangadilan
boost	ka fisaya
boot	ka faga ka mɛnɛ
boots	samarabaw
border	dancɛ
bored	girin
bore	forazidingɛ
boring	taabataaba
born	wolo
borrow	ka singa
boss	patɔrɔn
bother	ka tɔɔrɔ
both	u fila bɛ
bottle	buteli
bottom	jukɔrɔla
bought	sani
bounce	ka pan pan
boundaries	danfaraw
bound	ka tugu
bow	kala
bowl	tasa
box	buwati
boy	cɛmani
boyfriend	kamalen
bracelet	bololanɛgɛ
brain	kunsɛmɛ
branch	bolofara
brand	mariki
brave	jalagɛlɛn
breach	ka kari
bread	buuru
breakfast	daraka
break	ka a kari
breast	sin
breathe	ka ninakili
breath	ninakili
breed	ka lamara
brick	biriki
bride	kɔɲɔmuso
bridge	pɔn
brief	surunma
bright	manamanalen
brilliant	kunkɛnɛma
bring	ka a naati
broad	belebeleba
broadcast	ganseli
bro	balimakɛ
broke	kari
broken	karilen
broom	furalan
brother	balimakɛ
brother in law	nimɔgɔkɛ
brought	a y'a nati
brown	bilenman
brush	bɔrɔsi
bucket	palan
buddy	teri
budget	baarakɛnafolo
bug	fɛnɲɛnama
building	so
build	ka jɔ
built	jɔ̀len
bulk	caman
bull	ntura
bully	ka bàgabaga
bump	jùnkun
bunch	caman
bundle	fɔrifɛ
burden	doni
buried	su don
burn	ka jeni
burst	ka ci
bury	ka sutura
bush	kungo
business	ko
bus	kaare
bust	ka halaki
busy	degu
but	nka
butterfly	nfirinfirinin
butter	naare
button	butɔn
buy	ka san
bye	k'an bɛn
by	ni a ye
by the way	o sen fɛ
cabbage	Supompe
cabinet	kabinɛ
cage	ka datugu
cake	gato
calf	misiden
called	min bɛ wele ko
call me	ne wele
call	weleli
calm	mada
came	nana
campaign	kanpaɲi
Cancel	ka dankari
cancer	kansɛri
can	ka se
can't	tɛ se
capable	sékola
capacity	fanga
capital	faaba
caption	minɛni
capture	ka minɛ
career	baara
careful	jàntońyɛ̀rɛla
carefully	nɛmɛnɛmɛ
careless	hamibali
caring	hami
car	mɔbili
carpenter	jiridɛsɛla
carpet	tapi
carrot	karɔti
carry	ka ta
carry on	ka kɛ
carry out	ka kɛ
case	jati
cash	nafolomugu
cast	ka yelen
castle	so belebele
casual	nɔgɔma
catch	k'a minɛ
category	suguya
cat	jakuma
cattle	misiw
caught	minɛli
cause	bila
caution	jantoyɛrɛla
cautious	jasigi
cave	kuluwo
cease	ka dabila
ceiling	pilafɔn
celebrate	ɲɛnajɛ
cell	selili
center	santiri
century	sànkɛmɛ
cereal	suman
ceremony	ɲɛnajɛ
certain	dɔw
certainly	jaati
certificate	dipilomu
chain	jɔlɔkɔ
chair	sɛsi
challenge	gɛlɛya
chance	garisigɛ
change	ka yɛlɛma
chaos	cɛnnin
characteristics	kɛcogow
character	jogo
charge	jalakilen
charity	kànuya
charming	cɛɲi
chart	sɛbɛn
chase	ka gɛn
chat	ka masala
cheap	sɔngɔ duman
cheating	namarali
cheat	ka namara
check	waritasɛbɛn
cheek	dafuruku
cheerful	nísɔnduman
cheer	i ni baara
cheers	tɛkɛrɛfɔw
cheese	foromazi
chemistry	furafeereyɔrɔ
cherish	ka buruɛrɛ
chess	damu
chest	disi
chew	ka ɲimi
chicken	sisɛ
chief	kuntigi
child	denmisɛn
childhood	denmisɛnya
children	denmisɛnw
chill	nɛnɛ
chimneys	sisibɔyɔrɔ
chin	bonbon
chocolate	sokola
choice	ɲɛnata
choose	sugandi
chop	ka ci
chores	sokɔnɔ baaraw
chubby	belebeleba
church	egilisi
cinnamon	kanɛli
circle	koori
circumstances	kɛcogo
citizen	jamanaden
city	duguba
claim	ka laɲini
clarify	ka lajɛya
class	kilasi
clay	bɔgɔ
clean	ka jɔsi
clear	jɛman
clerk	pilantɔn
clever	kegun
client	sannikɛla
cliff	kulu
climate	wagati
climb	ka yɛlɛ
clingy	nɔrɔnan
clock	mɔnturu
close	ka datugu
closet	alimɔri
clothes	fini
cloth	fini
cloud	kabanɔgɔ
cloudy	kabafin
clown	sosi
clue	ekuru
clumsy	ɲɛnabɔbali
cluster	jɛkulu
coach	degelikaramɔgɔ
coal	sarabon
coast	kɔgɔjida
coat	dolokiba
coffee	kafe
cognitive	kunkolola
coincidence	balinan
cold	nɛnɛ
collapse	ka bin
collar	kannakɔnɔ
colleague	baarakɛɲɔgɔn
colleagues	baarakɛɲɔgɔnw
collection	farankan
collect	ka cɛ
college	kolɛzi
colorless green ideas slept furiously	hakilina lajɛbali lakodɔn ka gɛlɛ
color	ɲɛ
colour	ɲɛ
column	kɔlɔni
combination	farankan
combine	ka faraɲɔgɔnkan
comb	pɛɲi
come here	na yan
come	ka na
come on	don
comfortable	lafiyalen
comfort	lafia
coming	nata
coming soon	sɔɔni
command	ka kɔmande
comment	jateminɛ
commercial	jago
commission	ci
commit	ka kalifa
commitment	layidu
committed	cɛsirilen
commodity	dumunifɛn
common	min bɛ deli ka kɛ
communicate	kumaɲɔgɔnya
communication	kunnafonin
community	sigida
commute	ka yɛlɛma
companion	tɔɲɔgɔn
company	cakɛda
compare	ka sanga
comparison	sangali
compassionate	makaritigi
compassion	hinɛ
compatible	min bɛ bɛn ni ɲɔgɔn ye
compete	ka ɲɔgɔndan
competent	fàamuyalen
competition	ɲɔgɔndan
competitive	ɲɔgɔndanli
complain	makasi
complaint	makasi
complement	dafalan
complete	ka dafa
completely	pewu
complex	gɛlɛnman
compliance	ka bɛn a ma
complicated	ɲagamilen
compliment	tanuli
comply	ka bɛn a ma
composition	kɛ fɛnw
compound	dukɛnɛ
comprehension	famuyali
comprehensive	famuyalen
compromise	sèndòn
compulsory	jagoya
computer	ɔridinatɛri
concentrate	cɛsiri
concept	kumasen
concerned	a bɛ a la
concern	hanminanko
concert	kɔnsɛri
conclusion	kuncɛli
concrete	bɛtɔn
condition	cogo
conditions	bɛnkanw
conduct	kɛwale
conference	lajɛba
confess	ka kɔnɔ fɔ
confidence	lanaya
confident	dannayabaa
confirm	sɛmɛntiya
conflict	kɛlɛ
confused	ɲaamilen
confusion	ɲaamili
congrats	i ni ce
congratulation	i ni baara
congratulations	i ni baara
conjunction	síratigɛ
connect	ka kɔnɛkite
conquer	ka minɛni
conscious	hakilima
consciousness	làadirima
consent	bɛnkan
consequences	kɔlɔlɔw
conservation	marali
conservative	maralikɛla
considered	a kɛ i na fɔ
consider	ka jate
consist	bɛna
consistency	fasaya
consistent	fasaman
constant	kumabɛ
constantly	kumabɛ
constipation	kɔnɔja
construction	sojɔ
consume	ka dun
consumption	dunmuli
contact	ka wele
contagious	fiɲɛbana
contain	ka ku
contains	kɔnɔnafɛnw
contemporary	bi ko
contempt	ɲígi
content	kɔnɔnafɛn
contest	ka sɔsɔ
context	hukumu
continent	bangu
continue	ka taa fɛ
contract	bɛnkan
contrast	kɔnɔnafilila
contribute	ka bolomafara di
contribution	bolomafara
control	ka jateminɛ
controversial	lagosilen
convenience	sagoma
convenient	ɲɛnama
conversation	masala
convert	yɛlɛma
convey	ka lase
convinced	lasɔnna
convince	ka lason
cooking	tobili
cook	ka tobili kɛ
cool	suma
cooperation	tɛgɛdiɲɔgɔnma
cope	ka ku
copper	nɛgɛ
core	kìsɛ
corner	seleke
corn	kàba
correct	jaati
cost	sɔngɔ
costume	fini
cottage	so fitini
cotton	kɔɔri
couch	dilan
cough	sɔgɔsɔgɔ
could	a tun bɛ se
council	kɔnseye
counter	kɔntɛri
count	ka jate
country	jamana
countryside	burusi
couple	cɛ ni muso
courage	jagɛlɛya
course	kalan
courtesy	ɲumanya
court	kiritikɛso
cousin	kanimɛ
cover	ka datugu
coward	fukari
cow	misimuso
cozy	lafiyalen
crab	turuto
crack	cida
craft	bololabaara
crap	ko kolon
crash	benni
craving	kɔngɔ
crawl	fofo
crazy	fatɔ
create	ka dilan
creative	kekuman
credit	juru
creep	ka yɛlɛ
creepy	bagabagalifɛn
crew	ekipu
crime	sariyatiɲɛ
cringe	ka sigi
crisis	gɛlɛya
criteria	sariyasenw
critical	kìsɛ
criticism	lagosili
crop	sɛnɛ fɛnw
crops	sɛnɛfɛnw
cross	ka tigɛ
crowded	jama caman
crowd	jama
crow	ka kasi
crown	masafugula
crucial	nafan ka bon
cruel	fariya
cruise	bato
crush	nɔɔni
cry	ka kasi
cucumber	kɔnkɔn
cuddle	mùnumɛnɛ
culture	dɔnko
cunning	kegun
cupboard	alimɔri
cup	bɔli
curb	ka kɛlɛ
cure	ka fura kɛ
curfew	kuwurufe
curiosity	kiriyosite
curious	ko sɛgɛsɛgɛla
curly	dayɛlɛnan
currency	wari
currently	sisan
current	sisan
curse	danga
curtain	irido
cushion	kunkolodalan
customer	sannikɛla
custom	laada
customs	laada
cute	cɛɲi
cut	ka tigɛ
cycle	sikili
cycling	nɛgɛsoboli
daddy	baba
dad	fa
daily	don o don
dairy	nɔnɔmafɛn
damage	ka tiɲɛ
dam	barazi
damn	kɔrɔtɔli
damp	suma
dance	dɔ̀n
danger	farati
dangerous	faratima
dark	dibi
darling	kanu
dash	tiirinin
data	kunnafoniw
date	don
daughter	denmuso
day	don
deadline	dan
dead	su
deaf	tulogeren
deal	ɲɛsin
Dear All	Aw bɛɛ ni ce
Dear Customer	N Balima sannikɛla
dear	n balima
Dear Parents	N bangebaw
Dear Sir	N balima cɛ
Dear students	N balima kalandew
Dear Team	N balima ntolatantɔn maaw
death	saya
debate	sɔsɔli
debit	sarali
debris	ɲaman
debt	juru
decade	san tan
decay	toli
deceased	banbaatɔ
deceive	ka janfa
december	desanburukalo
decent	wasobaliya
decided	latigɛlen
decide	ka latigɛ
decision	latigɛ
deck	pɔn
decline	ka ban
decrease	ka jigin
dedicated	kɛrɛnkɛrɛnlen
dedication	dedikasi
deed	kɛwale
deep	dun
deer	minan
default	fɔlɔ
defeat	ka se sɔrɔ
defend	ka lakana
define	dànsìgi
definitely	tigitigi
definition	yirali
degree	dipilomu
delayed	a mɛna
delay	ka mɛ
delete	ka jɔsi
deliberate	ka lawili a kaman
delicate	ɲɛ́namisɛn
delicious	dumanba
delighted	nisɔndiyalen
delight	ka nisɔndiya
delivered	jiginni
deliver	ka di
delivery	jiginni
demanding	laɲininnen
demand	ka laɲinini
democracy	bɛɛjɛfanga
demon	sitanɛ
demonstrate	ka jira
denied	a bana a ma
density	hakɛ
dentist	ɲinfurakɛla
deny	ka dalacɛ
department	depariteman
departure	tagali
depend	ka bɔ a la
deploy	ka yɛrɛkɛ
deposit	ka bila
depressed	jigitigɛlen
depression	farifaga
depth	dunya
describe	ka lakali
description	cogojirali
desert	cɛncɛnkungo
deserve	ka kan ni ... ye
designation	welecogo
design	desɛn
desire	nege
desk	tabali
despair	jigintanya
desperate	jigitigɛ
despite	hali
dessert	desɛri
destination	taayɔrɔ
destiny	dakan
destroy	ka halaki
destruction	cɛnni
detail	faranfasiyali
details	ɲɛfɔli
detect	ka lásàa
determination	wúlikajɔ
determine	dansigi
determined	jijalen
devastated	nagasila
developed	yiriwalen
develop	ka yiriwa
development	yiriwali
device	minɛn
devil	sitanɛ
devoted	kariyalen
Dhivehi	Dwehi
diabetes	jabɛti
diarrhea	kɔnɔboli
diary	jurunali
dictionary	daɲɛgafe
did	a y'a kɛ
died	sa
die	ka sa
diet	erezimu
difference	danfara
different	wɛrɛ
difficult	gɛlɛnman
dig	ka sen
dignity	danbe
diligent	ka fɛsɛfɛsɛ
dinner	surafana
dip	ka su
direction	kuntilenna
direct	ka ɲɛminɛ
director	kuntigi
dirt	nɔgɔ
dirty	nɔgɔlen
disabled	a jɔ la
disable	ka lajɔ
disappear	ka tunu
disappointed	jigitigɛ
disaster	kojugu
discard	ka fili
discharge	ka jigin
discipline	kolo
discount	dajigi
discover	ka ye
discrimination	ɲɛnawoloma
discussion	jɛkafɔ
discuss	ka jɛkafɔ kɛ
disease	bana
diseases	banaws
disguise	ka yɛrɛ masike
disgusting	ɲígintɔ
dish	daga
dishes	dagaw
dismiss	ka gɛn
dispatch	ka ci
display	ka yira
disposal	ka bɔ i bolo
dispute	dalamankan
distance	janya
distinct	kelen
distinguish	faranfasiya
distress	kàmanagan
distribution	ɲinli
district	sigida
disturb	ka tɔɔrɔ
ditch	fose dingɛ
dive	ka nɔn
diverse	caman
diversity	danfaraw
divide	ka tila
divine	ka sídɔn
divorce	furusa
dizzy	ɲɛnamini
doctor	dɔgɔtɔrɔ
document	sɛbɛn
does	kɛ la
doesn't	ayi
Dogri	Dogri
dog	wulu
doing	kɛli
do	kɛ
doll	dendennin
domain	donko
domestic	sokɔnɔna
dominant	fangatigi
donate	ka saraka bɔ
done	a kɛra
donkey	fali
don't	ka na kɛ
Don't worry	Kana jɔrɛ
dope	dɔrɔgu ta
double	siɲɛfila
doubt	sigasiga
dough	ndoro
down	duguma
download	ka telesarize
do you	e bɛ
do you love me	i bɛ ne fɛ wa
draft	ka labɛn
drag	ka ta ka bila
drain	jiboli
drama	tiyatiri
drawer	tiriwari
drawing	desɛn
draw	ka desɛn
dread	siranya
dream	sugon
dress	fini
drill	ka seni
drink	ka min
drive	ka boli
drop	k'a bila ka bin
dropped	bɔla
drought	ja
drunk	minnen
dry	ka ja
duck	tɔnkɔnɔ
dude	teri
due	sarata
due to	o kɔsɔn
dull	manamantanya
dumb	naloma
dump	dingɛ
duration	don hakɛ
during	senfɛ
dust	buguri
duty	baara
dwell	ka sigi
dying	satɔ
each	bɛɛ kelen kelen
each other	kelen kelen bɛɛ
eager	kɔrɔtɔ
eagle	samatasɛgɛ
ear	kulo
earlier	joona
early	joona
earn	sɔrɔ
ears	tulo
earth	dugukolo
earthquake	dugukoloyɛrɛyɛrɛ
ease	nɔgɔya
easily	nɔgɔnman
east	kɔrɔn
easy	nɔgɔnman
eating	dumuni
eat	ka dun
economic	marali
economy	sɔrɔ
edge	kɛrɛda
edit	ka korize
education	ladamuni
effective	min bɛ baara la
effect	nɔ
efficiency	nɔ kaɲi
efficient	nɔɔ kaɲin
effort	seko
eggplant	obɛrizini
egg	sɛfan
ego	yɛrɛkanu
eighteen	tan ni segin
eight	segin
eighty	bisegin
either	walima
elaborate	ka labɛn
elbow	nɔnkɔnkuru
elder	cɛkɔrɔba
elderly	mɔgɔkɔrɔbaw
elegant	buga
element	fɛn
elephant	sama
eleven	tannikelen
eligible	yamaruyalen
eliminate	ka bɔ
else	dɔ wɛrɛ
embarrassed	dasunsun
embarrassing	maloyako
embrace	ka dasun
emerge	ka poyi
emergency	peresela ko
emotional	nisɔndiya
empathy	hinɛ
emphasis	faranfasiya
emphasize	ka sinsin
employee	baarakɛla
employees	baarakɛdenw
employer	ka ta baara la
employment	baara
empty	lankolon
enable	ka yamaruya
encounter	ka kunbɛ
encourage	ka sinsin
endangered	bɛ faratila
endeavor	cɛsiri
end	laban
endurance	ko kuli fanga
endure	ka ku
enemy	jugu
energy	kisɛya
engaged	maninɛlen
engage	ka ŋaniyata
engagement	angageman
engineer	ɛnzeniyɛri
engine	motɛrɛ
English	Angilɛtɛri
enhance	ka fisaya
enjoy	tonɔmabɔ
enormous	camanba
enough	fisa
ensure	ka i gɛlɛya ka
enter	ka don
entertainment	ɲɛnajɛ
enthusiasm	nisɔndiya
enthusiastic	nísɔnduman
entire	bakuruba
entitled	min tɔgɔ ye
entity	yɔrɔ
entrance	donda
entrepreneur	kɛnyɛrɛye
envelope	anwulopu
environment	sigida
envy	nege
epic	poyi
epidemic	bana
equal	kan
equipment	baarakɛminɛn
equity	kelenya
equivalent	ɲɔ̀gɔn
eraser	jɔsilikɛlan
error	filijuru
escape	ka kila
especially	kɛrɛnkɛrɛnlenyala
essay	sɛbɛn
essence	esansi
essential	fanba
established	gilalen
establish	ka labɛn
estate	so
estimated	jateminɛna
estimate	ka jateminɛ
etc	o ni dɔ wɛrɛw
eternal	banbali
ethics	taabolow
evaluate	ka ewaliye
evaluation	ewaliyasiyɔn
even	hali
evening	su
even though	hali ni
event	lajɛrɛ
eventually	labanna
ever	badaa
every	bɛɛ
everybody	bɛɛ
everyone	bɛɛ
everything	bɛɛ
evidence	seereya
evil	juguya
evolution	ɲɛtaga
evolve	ewoliye
Ewe	Ewe
exactly	jaati
exact	o yɛrɛ
examine	ka sɛgɛsɛgɛ
exam	isamɛn
example	misaliya
exceed	ka tɛmɛ a dan kan
excellent	ɲuman ɲuman
except	fɔ
exception	fɔ
excess	dantɛmɛ
excessive	dantɛmɛ
exchange	ka falen
excited	nisondiyalen
excitement	nisɔndiya
exciting	sugubalan
exclusive	kelen
excuse	hakɛ to
excuse me	hakɛ to
execute	faga
execution	fagali
executive	ɲɛmɔgɔ
exercise	degeli
exhaust	bɔli
exhausted	sɛgɛnlen
exhibition	perezantasiyɔn
exhibit	ka jira
exist	a bɛ yen
existence	ɲɛnamaya
existing	min bɛ yen kɔrɔlen
exit	ka bɔ
ex	kɔrɔlen
expand	ka janya
expected	jìgi dali
expect	makɔnɔ
expenses	musakaw
expensive	gɛlɛn
experience	ko dɔn
experiment	ka kɛ ka lajɛ
expert	dɔnnibaga
expired	dati bana
explain	ka ɲɛfɔ
explanation	ɲɛfɔli
exploit	ka nafa bɔ
explore	ka mafilɛ
export	ka labɔ
exposed	lakanabali
expose	ka jira
exposure	dàntigɛli
expression	kumasen
express	ka kuma
extended	samanen
extend	ka lasama
extension	samali
extent	janya
external	kɔfɛla
extinct	ka faga
extract	ka labɔ
extra	farankan
extraordinary	dákabana
extreme	damatɛmɛ
extremely	kojugu
eye	ɲɛ
eyes	ɲɛw
fabric	finimugu
fabulous	kabakoma
face	ɲɛda
facilitate	nɔgɔya
facilities	baarayɔrɔw
facility	nɔ̀gɔya
factor	fɛn
factory	izini
facts	kow
fact	walen
fade	fɔsɔnfɔsɔn
failed	dɛsɛla
fail	ka dɛsɛ
failure	ka dɛsɛ
faint	ka kirin
fair	fisa
fairly	fisa
fairy	nsiirin
faith	dannaya
faithful	kantigi
fake	lankolon
fall	ka bi
false	nkalon
fame	tɔgɔ
familiar	delina
family	denbaya
famine	kɔ́ngɔba
famous	tɔgɔtigi
fancy	cɛ kaɲi
fan	fifalan
fantastic	ɲɛnamaba
farewell	bilasirali
far	jan
farmer	sɛnɛkɛla
farm	foro
fascinating	dabalibanfɛn
fashion	mɔdɛli
fast	teliman
fatal	juguman
fat	belebeleba
fate	dakan
father	fa
fatigue	sɛgɛn
fault	jalaki
favorite	kɛrɛnkɛrɛnlen
favour	barika
favourite	ninkanta
fear	siranya
feast	duminiba
feather	si
features	suguya
feature	suguya
february	fewuruyekalo
fed up	ka nege bɔ
feedback	kibaru kɔsegi
feed	ka balo
feeling	dùsukunnata
feel	ka sunsun
fee	sɔngɔ
feet	senw
fell	benna
fellow	jɛɲɔgɔn
felt	kásasama
female	muso
fence	sinsan
fertile	yɔrɔduman
festival	gintanba
fetch	ka ɲini
fever	farigan
few	damadɔ
fewer	dama dɔɔnin
fiance	maminɛkɛ
fiction	suya
field	foro
fierce	farin
fifteen	tan ni duuru
fifty	biduuru
fighting	kɛlɛ
fight	ka kɛlɛ kɛ
figure	jateden
figure out	ka jate
file	papiye
filled	falen
fill	ka fa
film	filimu
filthy	nɔgɔlen
finally	a laban
finance	finansi
financial	wariko
find	ka sɔrɔ
find out	ka sɔ̀rɔ
fine	a kan ɲi
finger	bolokɔni
finished	a bana
finish	laban
fire	tasuma
firm	gɛlɛn
first	fɔlɔ
first name	tɔgɔ
fish	jɛgɛ
fit	dakɛɲɛ
five	duuru
fixed	labɛnnen
fix	ka kulon
flag	darapo
flash	yelen
