ا	a
اصلكن	as long as
جوڬ	as well
سرتا	as well as
ابو	ash
مالو	ashamed
مينتا تاڽ	ask
برتاڽ	asked
ترتيدور	asleep
اسڤيك	aspect
اسم	Assamese
سراڠن	assault
ڤرهيمڤونن	assembly
تڬس	assertive
منيلاي	assess
اوجين	assessment
اسيت	asset
اسيت	assets
توڬسكن	assign
توڬسن	assignment
ممبنتو	assist
ڤمبنتو	assistant
كنلن	associate
برسكوتو	associated
ڤرساتوان	association
اڠڬڤن	assume
تڠڬڤن	assumption
د	at
ڤاليڠ كورڠ	at least
تله ماكن	ate
اتليت	athlete
لمڤيركن	attach
دلمڤيركن	attached
ملكت	attached
لمڤيرن	attachment
سراڠ	attack
چوبأن	attempt
حاضر	attend
كحاضيرن	attendance
ڤرهاتين	attention
سيكڤ	attitude
ترتاريق	attract
تاريكن	attraction
مناريق	attractive
صفة	attribute
ڤنونتون	audience
اوڬوس	august
مق چئ	aunt
مقچئ	aunty
اصلي	authentic
ڤڠارڠ	author
اوتوريتي	authority
موسيم لوروه	autumn
ترسديا	available
ڤوراتا	average
ايلق	avoid
ترجاڬ	awake
انوڬره	award
سدر	aware
كسدرن	awareness
جاوه	away
لوار بياسا	awesome
هيبت	awesome
تروق	awful
چڠڬوڠ	awkward
ايمارا	Aymara
بايي	baby
بوجڠ	bachelor
بلاكڠ	back
كمبالي سمولا	back
لاتر بلاكڠ	background
بوروق	bad
بيڬ	bag
اومڤن	bait
بكر	bake
كداي روتي	bakery
سود ڤناءيق	baking soda
باكي	balance
سإيمبڠ	balance
بولا	ball
بمبارا	Bambara
ڤيسڠ	banana
ڤنچاراڬم	band
دنتومن	bang
بڠك	bank
بر	bar
همڤير٢	barely
تاور مناور	bargain
كوليت كايو	bark
برلي	barley
ڤڠهالڠ	barrier
اساس	base
براسسكن	based
رواڠ باوه تانه	basement
اساس	basic
ڤد اساسڽ	basically
سلاسيه	basil
بڠست	bastard
كومڤولن	batch
مندي	bath
بيليق اير	bathroom
باتري	battery
ڤرتمڤوران	battle
تلوق	bay
سبڬيتو	be
سباڬاي	be
برهاتي٢	be careful
ڤنتاي	beach
ڤانچرن	beam
ككاچڠ	beans
منڠڬوڠ	bear
برواڠ	bear
جمبڠ	beard
ڬالاس	bearing
بيناتڠ	beast
ڤوكول	beat
چنتيق	beautiful
كچنتيكن	beauty
منجادي	became
كران	because
منجادي	become
كتيل	bed
بيليق تيدور	bedroom
لباه	bee
داڬيڠ	beef
تله	been
بير	beer
سبلوم	before
برمولا	began
برمولا	begin
ڤرمولأن	beginning
ڤيهق	behalf
برڤراڠاي	behave
ڤريلاكو	behavior
تيڠكه لاكو	behaviour
بلاكڠ	behind
منجادي	being
كڤرچايأن	belief
ڤرچاي	believe
ڤروت	belly
ميليق	belong
ترچينتا	beloved
باوه	below
تالي ڤيڠڬڠ	belt
بڠكو	bench
بيڠكوق	bend
د باوه	beneath
كلبيهن	benefit
فاءيده	benefits
دسيسي	beside
سلاين ايت	besides
ترباءيق	best
سموڬ برجاي	best of luck
سلام سجهترا	best regards
لبيه باءيق	better
انتارا	between
مينومن	beverage
د لوار	beyond
بوجڤوري	Bhojpuri
برت سبله	bias
برت سبله	biased
باسيكل	bicycle
بيد	bid
بسر	big
باسيكل	bike
بيل	bill
مڠيكت	bind
بوروڠ	bird
هاري جادي	birthday
سرڤيهن	bit
سديكيت	bit
ڬيڬيت	bite
ڤاهيت	bitter
هيتم	black
مات ڤيساو	blade
سالهكن	blame
كوسوڠ	blank
سليموت	blanket
لتوڤن	blast
ڤلونتور	bleach
بنچوه	blend
ممبركتي	bless
دبركتي	blessed
بوتا	blind
كبهاڬيءن	bliss
هالڠ	block
داره	blood
مكر	bloom
تيوڤ	blow
بيرو	blue
تومڤول	blunt
ڤاڤن	board
بوت	boat
بادن	body
ديديه	boil
براني	bold
ايكتن	bond
تولڠ	bone
تمڤه	book
بوكو	book
ڤراڠسڠ	boost
ڤراڠسڠ	booster
بوت	boot
كاسوت بوت	boots
سمڤادن	border
ممبوسنكن	bore
بوسن	bored
ممبوسنكن	boring
دلاهيركن	born
ڤينجم	borrow
بوس	boss
كدوا دوا	both
ڬڠوان	bother
بوتول	bottle
باوه	bottom
تله بلي	bought
ملنتون	bounce
تريكت	bound
سمڤادن	boundaries
توندوق	bow
مڠڬكوك	bowl
كوتق	box
بودق للاكي	boy
تمن للاكي	boyfriend
ڬلڠ تاڠن	bracelet
اوتق	brain
چاوڠن	branch
جنام	brand
براني	brave
ڤلڠڬارن	breach
روتي	bread
ڤاته	break
ريحت	break
سارڤن	breakfast
دادا	breast
نفس	breath
برنفس	breathe
بياق	breed
بات	brick
ڤڠنتين	bride
جمبتن	bridge
ريڠكسن	brief
ترڠ	bright
چمرلڠ	brilliant
باوا	bring
ابڠ	bro
لواس	broad
سيارن	broadcast
ڤچه	broke
روسق	broken
ڤڽاڤو	broom
ابڠ	brother
ابڠ ايڤر	brother in law
تله ممباوا	brought
چوكلت	brown
بروس	brush
بلد	bucket
كاون	buddy
باجيت	budget
سرڠڬا	bug
بينا	build
باڠونن	building
دبينا	built
ڤوكل	bulk
لمبو جنتن	bull
ڤمبولي	bully
بينجولن	bump
سكومڤولن	bunch
بركس	bundle
ببن	burden
دكبوميكن	buried
بكر	burn
ڤچه	burst
مڠبوميكن	bury
بس	bus
سيمق	bush
ڤرنياڬان	business
دادا	bust
سيبوق	busy
تتاڤي	but
نامون	but
منتيڬ	butter
راما راما	butterfly
بوتڠ	button
بلي	buy
اوليه	by
دڠن	by
دڠن چارا ايت	by the way
باءيقله	by the way
سلامت تيڠڬل	bye
كوبيس	cabbage
كابينيت	cabinet
ساڠكر	cage
كيك	cake
بتيس	calf
ڤڠڬيل	call
هوبوڠي ساي	call me
دڤڠڬيل	called
تنڠ	calm
داتڠ	came
كيمڤين	campaign
بوليه	can
تق بوليه	can't
بطل	Cancel
باره	cancer
ممڤو	capable
كاڤسيتي	capacity
مودال	capital
كڤشن	caption
منڠكڤ	capture
كريتا	car
كرجاي	career
برهاتي هاتي	careful
برهاتي٢	carefully
چواي	careless
ڤڽايڠ	caring
توكڠ كايو	carpenter
ڤرمايداني	carpet
لوبق	carrot
باوا	carry
تروسكن	carry on
ملقساناكن	carry out
كيس	case
توناي	cash
اچوان	cast
ليمڤر	cast
ايستان	castle
برسهاج	casual
كوچيڠ	cat
تڠكڤ	catch
كاتڬوري	category
لمبو	cattle
تله تڠكڤ	caught
سبب	cause
برهاتي٢	caution
برهاتي٢	cautious
ڬوا	cave
برهنتي	cease
سيليڠ	ceiling
مڽمبوت	celebrate
سيل	cell
ڤوست	center
ابد	century
بيجيرين	cereal
مجليس	ceremony
ڤستي	certain
سمستيڽ	certainly
سيجيل	certificate
رنتاي	chain
كروسي	chair
چابرن	challenge
ڤلواڠ	chance
اوبه	change
كچاو بلاو	chaos
كاراقتر	character
چيري٢	characteristics
مينودوه	charge
بايرن	charge
چج	charge
كبجيكن	charity
مناريق	charming
چرتا	chart
كجار	chase
بربوال	chat
موره	cheap
منيڤو	cheat
منيڤو	cheating
سيمق	check
ڤيڤي	cheek
برسورق	cheer
رينڬ	cheerful
سوركن	cheers
كيجو	cheese
كيميا	chemistry
هرڬاي	cherish
چاتور	chess
دادا	chest
مڠوڽه	chew
ايم	chicken
كتوا	chief
انق	child
زمان كانق٢	childhood
انق	children
سجوق	chill
چروبوڠ اسڤ	chimneys
داڬو	chin
چوكلت	chocolate
ڤيليهن	choice
ڤيليه	choose
منچينچڠ	chop
توڬس	chores
مونتيل	chubby
ڬرجا	church
كايو مانيس	cinnamon
بولتن	circle
نصيب	circumstances
ورڬنڬارا	citizen
بندر	city
منونتوت	claim
جلسكن	clarify
كلس	class
تانه ليات	clay
برسيه	clean
تربوقتي	clear
جلس	clear
كراني	clerk
چرديق	clever
ڤلڠڬن	client
تبيڠ	cliff
اقليم	climate
ڤنجت	climb
ملكت	clingy
جم	clock
توتوڤ	close
الماري	closet
كاءين	cloth
ڤاكاين	clothes
اون	cloud
مندوڠ	cloudy
بادوت	clown
ڤتونجوق	clue
چواي	clumsy
كلومڤوك	cluster
جورولاتيه	coach
ارڠ	coal
ڤنتاي	coast
لاڤيسن	coat
كوڤي	coffee
كوڬنيتيف	cognitive
كبتولن	coincidence
سجوق	cold
رونتوه	collapse
كولر	collar
راكن	colleague
راكن سكرجا	colleagues
كومڤول	collect
كوليكسي	collection
كوليج	college
ورنا	color
ايديا يڠ ناءيف دان منته بوليه مڽببكن اوتق سنتياس برفيكير كتيك اي چوبا اونتوق بريحت	colorless green ideas slept furiously
ورنا	colour
كولوم	column
سيكت	comb
ڬابوڠن	combination
ڬابوڠ	combine
داتڠ	come
داتڠ سيني	come here
ايوه	come on
كسلسأن	comfort
سليسا	comfortable
داتڠ	coming
اكن داتڠ	coming soon
ڤرينته	command
كومين	comment
كومرسيال	commercial
كوميسين	commission
ملاكوكن	commit
كوميتمن	commitment
كوميتد	committed
كومودتي	commodity
عموم	common
بركومونيكاسي	communicate
كومونيكاسي	communication
كومونيتي	community
مشاركت	community
براولڠ عليق	commute
ڤنمن	companion
شريكت	company
بنديڠ	compare
ڤربنديڠن	comparison
بلس كاسيهن	compassion
ڤڽايڠ	compassionate
سراسي	compatible
برساءيڠ	compete
كومڤتن	competent
ڤرتنديڠن	competition
برداي ساءيڠ	competitive
ادوان	complain
ادون	complaint
ڤيليڠكڤ	complement
سمڤورنا	complete
سلساي	complete
سڤنوهڽ	completely
كومڤليكس	complex
ڤماتوهن	compliance
روميت	complicated
ڤوجيان	compliment
مماتوهي	comply
ڬوبهن	composition
كومڤاون	compound
كفهمن	comprehension
كومڤريهنسيف	comprehensive
مڽلوروه	comprehensive
برتولق انسور	compromise
دواجبكن	compulsory
چومڤوتر	computer
مينومڤوكن ڤرهاتين	concentrate
كونسيڤ	concept
بيمبڠ	concern
ڤرهاتين	concerned
كونسرت	concert
كسيمڤولن	conclusion
كوڠكريت	concrete
كادأن	condition
شرط	condition
شرط	conditions
منجالنكن	conduct
ڤرسيداڠن	conference
مڠاكو	confess
كيقينن	confidence
يقين	confident
ڤستي	confirm
كونفليك	conflict
كليرو	confused
ككليروان	confusion
تهنيئه	congrats
تهنيئه	congratulation
تهنيئه	congratulations
كات هوبوڠ	conjunction
مڽمبوڠ	connect
منعلوقي	conquer
سدر	conscious
كسدرن	consciousness
كايذينن	consent
كسن	consequences
ڤموليهارأن	conservation
كونسرۏاتيف	conservative
ڤرتيمبڠكن	consider
دڤرتيمبڠكن	considered
ترديري	consist
كونساستن	consistency
كونساستن	consistent
سنتياسا	constant
سچارا برتروسن	constantly
سمبليت	constipation
ڤمبيناءن	construction
مماكن	consume
ڤڠڬوناان	consumption
هوبوڠي	contact
برجڠكيت	contagious
مڠندوڠي	contain
مڠاندوڠي	contains
كونتيمڤوراري	contemporary
ڤڠهيناان	contempt
كندوڠن	content
ڤرتنديڠن	contest
كونتيكس	context
بنوا	continent
تروسكن	continue
كونترك	contract
ڤربيذأن	contrast
سومبڠن	contribute
سومبڠن	contribution
كاولن	control
كونتروۏرسي	controversial
كموداهن	convenience
برڬونا	convenient
ڤربوالن	conversation
منوكر	convert
مڽمڤأيكن	convey
ميقينكن	convince
يقين	convinced
ماسق	cook
مماسق	cooking
تنڠ	cool
سجوق	cool
كرجاسام	cooperation
هادڤي	cope
تيمبڬ	copper
ترس	core
جاڬوڠ	corn
سودوت	corner
بتول	correct
كوس	cost
ڤاكاين	costume
ڤوندوق	cottage
كاڤس	cotton
سوف	couch
باتوق	cough
بوليه	could
مجليس	council
بيلڠ	count
كاونتر	counter
نڬارا	country
لوار بندر	countryside
ڤاسڠن	couple
ببراڤ	couple
سماڠت	courage
لالوان	course
كورسوس	course
محكمه	court
ڬلڠڬڠ	court
كسوڤنن	courtesy
سڤوڤو	cousin
منوتوڤي	cover
لمبو	cow
ڤناكوت	coward
سليسا	cozy
كتام	crab
رتق	crack
كراف	craft
كاروت	crap
لاڠر	crash
مڠيدم	craving
مرڠكق	crawl
ڬيلا	crazy
چيڤتا	create
كرياتيف	creative
كريديت	credit
مرايڤ	creep
مناكوتكن	creepy
كاكيتاڠن	crew
جنايه	crime
مڠڬيڬيل	cringe
كريسيس	crisis
كريتيريا	criteria
كريتيكال	critical
كريتيكان	criticism
ڤوتوڠ	crop
تانمن	crops
لينتس	cross
ڬاڬق	crow
خلايق راماي	crowd
ڤدت	crowded
مهكوتا	crown
ڤنتيڠ	crucial
كجم	cruel
ڤلايران	cruise
هنچوركن	crush
منڠيس	cry
تيمون	cucumber
ڤلوق	cuddle
بوديا	culture
ليچئ	cunning
چاون	cup
ڬروبوك	cupboard
ممبندوڠ	curb
سمبوه	cure
ڤرينته بركوروڠ	curfew
راس ايڠين تاهو	curiosity
حيران	curious
كرينتيڠ	curly
مات واڠ	currency
سكارڠ	current
سكارڠ اين	currently
سومڤهن	curse
تيراي	curtain
كوسيين	cushion
دتمڤه خاص	custom
كبياساان	custom
ڤلڠڬن	customer
كستم	customs
ڤوتوڠ	cut
چوميل	cute
كيترن	cycle
برباسيكل	cycling
ايه	dad
ايه	daddy
هارين	daily
تنوسو	dairy
امڤڠن	dam
كروساكن	damage
جهنم	damn
لمبڤ	damp
مناري	dance
بهاي	danger
بربهاي	dangerous
ڬلڤ	dark
سايڠ	darling
سمڤڠ	dash
داتا	data
تاريخ	date
انق ڤرمڤوان	daughter
هاري	day
ماتي	dead
تيمڤوه اخير	deadline
ڤيكاق	deaf
ڤرجنجين	deal
ترچينتا	dear
سموا يڠ دحرمتي	Dear All
باڬوس	Dear Customer
ايبو باڤ يڠ دحرمتي	Dear Parents
توان يڠ دحرمتي	Dear Sir
ڤلاجر يڠ دحرمتي	Dear students
ڤاسوكن يڠ دحرمتي	Dear Team
كماتين	death
ڤربهاسن	debate
ديبيت	debit
سرڤيهن	debris
هوتڠ	debt
ديكد	decade
ڤرڤوتن	decay
منيڠڬل دنيا	deceased
ممڤرداي	deceive
دسيمبر	december
سوڤن	decent
ڤوتوسكن	decide
دڤوتوسكن	decided
كڤوتوسن	decision
ڬلدق	deck
منولق	decline
ڤنورونن	decrease
دديكاسي	dedicated
دديكاسي	dedication
ڤربواتن	deed
دالم	deep
روسا	deer
لالاي	default
تيواس	defeat
ممڤرتاهنكن	defend
منتعريفكن	define
سمستيڽ	definitely
دفينيسي	definition
درجه	degree
كليواتن	delay
دتڠڬوهكن	delayed
ڤدم	delete
بحث	deliberate
سني	delicate
سداڤ	delicious
مڠڬمبيراكن	delight
ڬمبيرا	delighted
هانتر	deliver
دهانتر	delivered
ڤڠهانترن	delivery
ڤرمينتأن	demand
منونتوت	demanding
ديموكراسي	democracy
شيطان	demon
منونجوقكن	demonstrate
دينافيكن	denied
كتومڤتن	density
دوكتور ڬيڬي	dentist
ساڠكل	deny
جابتن	department
برلڤس	departure
برڬنتوڠ	depend
برلڤس	deploy
ديڤوسيت	deposit
ترتكان	depressed
ديڤريسي	depression
كدالمن	depth
ترڠكن	describe
ڤنراڠن	description
ڬورون	desert
واجر	deserve
ريك بنتوق	design
ڬلرن	designation
كايڠينن	desire
ميجا	desk
ڤوتوس اسا	despair
تردسق	desperate
مسكيڤون	despite
ڤنچوچي مولوت	dessert
ديستيناسي	destination
تقدير	destiny
مموسناهكن	destroy
كموسنهن	destruction
ترڤرينچي	detail
بوتيرن	details
مڠسن	detect
كچكالن	determination
تنتوكن	determine
برتيكد	determined
هنچور	devastated
ممڤركمبڠكن	develop
دباڠونكن	developed
ڤركمبڠن	development
ڤرانتي	device
شيطان	devil
ستيا	devoted
ضيۏيهي	Dhivehi
كنچيڠ مانيس	diabetes
چيريت بيريت	diarrhea
دياري	diary
كاموس	dictionary
تله بوات	did
ماتي	die
ماتي	died
دايت	diet
بيذا	difference
ڤربيذأن	different
سوسه	difficult
مڠڬلي	dig
مرواه	dignity
تكون	diligent
ماكن مالم	dinner
چلوڤ	dip
لڠسوڠ	direct
اره	direction
ڤڠاره	director
كوتورن	dirt
كوتور	dirty
لومڤوه	disable
كورڠ اوڤاي	disabled
هيلڠ	disappear
كچيوا	disappointed
بنچانا	disaster
بواڠ	discard
ڤلڤاسن	discharge
ديسيڤلين	discipline
ديثكاون	discount
منموكن	discover
ديثكريميناسي	discrimination
بينچڠ	discuss
ڤربينچڠن	discussion
ڤڽاكيت	disease
ڤڽاكيت	diseases
مڽامر	disguise
منجيجيككن	disgusting
هيدڠن	dish
هيدڠن	dishes
ممبوبركن	dismiss
ڤڠهانترن	dispatch
ڤاڤرن	display
ڤلوڤوسن	disposal
تنتڠ	dispute
جارق	distance
جلس	distinct
اوڠڬول	distinguish
ممبيذاكن	distinguish
كسوسهن	distress
ڤڠدرن	distribution
دايره	district
ڬڠڬو	disturb
ڤاريت ممبواڠ	ditch
مڽلم	dive
ڤلباڬاي	diverse
كڤلباڬاين	diversity
بهاڬيكن	divide
كتوهانن	divine
ڤينچيراين	divorce
ڤنيڠ	dizzy
بوات	do
ادكه اوق	do you
ادكه اوق سايڠ ساي	do you love me
دوچتور	doctor
دوكومن	document
ميمڠ	does
تيدق	doesn't
انجيڠ	dog
دوڬري	Dogri
بوات	doing
انق ڤاتوڠ	doll
دوماين	domain
دوميستيچ	domestic
دومينن	dominant
جاڠن	don't
جاڠن ريساو	Don't worry
مندرم	donate
سلساي	done
كلداي	donkey
داده	dope
برڬندا	double
راڬو٢	doubt
دوه	dough
باوه	down
موات تورون	download
درف	draft
سيريت	drag
لوڠكڠ	drain
دراما	drama
لوكيس	draw
لاچي	drawer
لوكيسن	drawing
كتقاوتان	dread
ميمڤي	dream
ڤاكاين	dress
ڬرود	drill
مينوم	drink
ڤندو	drive
جاتوه	drop
جاتوه	dropped
كماراو	drought
مابوق	drunk
كريڠ	dry
اتيق	duck
كاون	dude
كران	due
واجر	due
دسببكن	due to
تومڤول	dull
دوڠو	dumb
بواڠ	dump
تيمڤوه ماس	duration
سماس	during
دبو	dust
توڬس	duty
تيڠڬل	dwell
سداڠ نزع	dying
ستياڤ	each
ساتو سام لاين	each other
برحسرت	eager
هيلاڠ	eagle
تليڠا	ear
لبيه اول	earlier
اول	early
منداڤت	earn
تليڠا	ears
بومي	earth
ڬمڤا بومي	earthquake
كسنڠن	ease
دڠن موده	easily
تيمور	east
سنڠ	easy
ماكن	eat
ماكن	eating
ايكونومي	economic
ايكونومي	economy
بوچو	edge
سونتيڠن	edit
ڤنديديقن	education
كسن	effect
ايكايفتيف	effective
كچكڤن	efficiency
بركسن	efficient
اوسها	effort
تلور	egg
تروڠ	eggplant
ايڬو	ego
لاڤن	eight
لاڤن بلس	eighteen
لاڤن ڤولوه	eighty
سام اد	either
هورايان	elaborate
سيكو	elbow
اورڠ توا	elder
ورڬ توا	elderly
اڠڬون	elegant
عنصور	element
ڬاجه	elephant
سبلس	eleven
لايق	eligible
مڠهاڤوسكن	eliminate
لاين٢	else
مالو	embarrassed
ممالوكن	embarrassing
مموڤوك	embrace
مونچول	emerge
كچمسن	emergency
ايموسي	emotional
امڤتي	empathy
ڤنكانن	emphasis
منكنكن	emphasize
ڤكرجا	employee
ڤكرجا	employees
ماجيكن	employer
ڤكرجأن	employment
كوسوڠ	empty
ممبوليهكن	enable
برتمبوڠ	encounter
مڠڬالقكن	encourage
اخير	end
ترانچم	endangered
بروسها	endeavor
كتاهانن	endurance
منڠڬوڠ	endure
موسوه	enemy
تناڬ	energy
ترليبت	engage
برتونڠ	engaged
ڤرتونڠن	engagement
انجين	engine
جوروترا	engineer
بهاس ايڠڬريس	English
منيڠكتكن	enhance
منعمتي	enjoy
ساڠت بسر	enormous
چوكوڤ	enough
ممستيكن	ensure
ماسوق	enter
هيبورن	entertainment
كڬهايرهن	enthusiasm
تروجا	enthusiastic
سلوروه	entire
برحق	entitled
انتيتي	entity
ڤينتو ماسوق	entrance
اوسهاوان	entrepreneur
سمڤول	envelope
عالم سكيتر	environment
چمبورو	envy
ايڤيق	epic
ايڤيديميك	epidemic
سام دڠن	equal
ڤرالاتن	equipment
ايكويتي	equity
برسمأن	equivalent
ڤمادم	eraser
كسيلاڤن	error
ترلڤس	escape
تراوتماڽ	especially
كارڠن	essay
ڤاتي	essence
ڤنتيڠ	essential
منوبوهكن	establish
دتوبوهكن	established
ايستيت	estate
اڠڬرن	estimate
دأڠڬركن	estimated
دان لاين٢	etc
ابادي	eternal
ايتيكا	ethics
منيلاي	evaluate
ڤنيلاين	evaluation
والاوڤون	even
ڬنڤ	even
والاوڤون	even though
ڤتڠ	evening
كادأن	event
اخيرڽ	eventually
سنتياس	ever
ستياڤ	every
سموا اورڠ	everybody
ستياڤ اورڠ	everyone
سمواڽ	everything
بوقتي	evidence
جاهت	evil
ايۏولوسي	evolution
بيريۏولوسي	evolve
ايوي	Ewe
بكس	ex
تڤت	exact
تڤت سكالي	exactly
ڤڤريقسأن	exam
ڤريك سا	examine
چونتوه	example
ملبيهي	exceed
چمرلڠ	excellent
ملاءينكن	except
ڤڠچوالين	exception
برلبيهن	excess
برلبيهن	excessive
ڤرتوكرن	exchange
تروجا	excited
كتروجأن	excitement
مڽرونوككن	exciting
ايكسقلوسيف	exclusive
السن	excuse
معافكن ساي	excuse me
لقسانكن	execute
ڤرلقسنأن	execution
ايكسيكوتيف	executive
لاتيهن	exercise
ايكذوس	exhaust
كللاهن	exhausted
ڤاميرن	exhibit
ڤاميرن	exhibition
وجود	exist
كوجودن	existence
سديا اد	existing
كلوار	exit
لواسكن	expand
هارڤكن	expect
دجڠك	expected
ڤربلنجأن	expenses
مهل	expensive
ڤڠالمن	experience
ايكسڤيريمن	experiment
ڤاكر	expert
تمت تيمڤوه	expired
منرڠكن	explain
ڤنراڠن	explanation
مڠأيكسڤلويتاسي	exploit
تروكا	explore
ايكسڤورت	export
ددهكن	expose
تردده	exposed
ڤندداهن	exposure
چڤت	express
ايكسڤريسس	express
رياق	expression
ممنجڠكن	extend
دڤنجڠكن	extended
سمبوڠن	extension
باتس	extent
لواران	external
ڤوڤوس	extinct
تمبهن	extra
ايكسترك	extract
لوار بياسا	extraordinary
ملمڤاو	extreme
ساڠت	extremely
مات	eye
مات	eyes
كاين	fabric
مناقجوبكن	fabulous
موك	face
ممودهكن	facilitate
فسيليتي	facilities
كموداهن	facility
فكتا	fact
فكتور	factor
كيلڠ	factory
فكتا	facts
ڤودر	fade
ڬاڬل	fail
ڬاڬل	failed
كڬاڬالن	failure
ڤيڠسن	faint
عاديل	fair
سچارا عاديل	fairly
دوڠيڠ	fairy
كڤرچايأن	faith
ستيا	faithful
ڤلسو	fake
جاتوه	fall
ساله	false
كمسيهورن	fame
اقرب	familiar
كلوارڬ	family
كبولورن	famine
تركنل	famous
ڤمينت	fan
كيڤس	fan
ميواه	fancy
مناقجوبكن	fantastic
جاوه	far
ڤرڤيسهن	farewell
لادڠ	farm
ڤتاني	farmer
مڠاڬومكن	fascinating
فيشن	fashion
چڤت	fast
لمق	fat
ڬموق	fat
موت	fatal
تقدير	fate
ايه	father
ڤنت	fatigue
سيلڤ	fault
كڬماران	favorite
نعمت	favour
