एको	a
स्वीकृति	approval
अनुमोदन	approve
लगभग	approximately
अप्रैल	april
मनमाना	arbitrary
वास्तुकार	architect
वास्तुकला	architecture
संग्रह	archive
छी	are
इलाका	area
बाताबाती	argue
तर्क	argument
उठनाइ	arise
बाहु	arm
सेना	army
व्यवस्था	arrange
सजावट	arrangement
पहुचनाइ	arrival
एनाइ	arrive
हठी	arrogant
तीर	arrow
कला	art
आलेख	article
बनावटी	artificial
कलाकार	artist
जेकि	as
छाइ	ash
लाज	ashamed
पूछू	ask
पूछलक	asked
सुतल	asleep
एखन	as long as
पक्ष	aspect
असमिया	Assamese
हमला	assault
जुटान	assembly
आकलन	assess
मूल्यांकन	assessment
संपत्ति	asset
पूंजी	assets
कार्य	assignment
सहायक	assistant
संगी	associate
जुड़ल	associated
समिति	association
कल्पना	assumption
सेहो	as well
सेहो	as well as
पे	at
कसरती	athlete
जुड़ल	attached
लगाव	attachment
प्रयास	attempt
उपस्थिति	attend
उपस्थिति	attendance
ऊंचाई	attitude
आकर्षक	attract
आकर्षण	attraction
आकर्षक	attractive
गुण	attribute
श्रोता	audience
अगस्त	august
काकी	aunt
चाची	aunty
प्रामाणिक	authentic
लेखक	author
अधिकारी	authority
पतझड़	autumn
औसत	average
जागल	awake
इनाम	award
जानकारी	aware
जानकारी	awareness
दूर	away
विलक्षण	awesome
भयंकर	awful
बेढ़ंग	awkward
आइमारा	Aymara
शिशु	baby
कुमार	bachelor
पाछू	back
पृष्ठभूमि	background
खराब	bad
झोरा	bag
प्रलोभन	bait
सेकनाइ	bake
संतुलन	balance
गेन्द	ball
बंबारा	Bambara
केला	banana
बैन्ड	band
धमाका	bang
बैंक	bank
छड़	bar
तोल-मोल	bargain
जौ	barley
प्रतिबंध	barrier
आधार	base
आधारित	based
तहखाना	basement
मूलभूत	basic
तुलसी	basil
घटिया	bastard
खेप	batch
स्नान	bath
स्नानगृह	bathroom
बैटरी	battery
लड़ाय	battle
खाड़ी	bay
भेनाइ	be
किरन	beam
भालू	bear
दाढ़ी	beard
दानव	beast
ताल	beat
सुन्नर	beautiful
सुन्नरता	beauty
होनाइ	became
बिछाओन	bed
शयनकक्ष	bedroom
मधुमक्खी	bee
गोमांस	beef
बियर	beer
पहिने	before
शुरू	begin
शुरुआत	beginning
व्यवहार	behave
व्यवहार	behavior
व्यवहार	behaviour
पाछू	behind
प्राणी	being
आस्था	belief
विश्वास	believe
भोटी	belly
संबंध	belong
प्रेमी	beloved
नीचां	below
क्षेत्र	belt
अदालत	bench
झुकानाइ	bend
नीचू	beneath
फायदा	benefit
फायदा	benefits
शुभकामना	best of luck
सादर	best regards
बेहतर	better
भोजपुरी	Bhojpuri
झुकाब	bias
झुकल	biased
साइकिल	bicycle
बोली	bid
पैघ	big
बाइक	bike
विधेयक	bill
बाँधनाइ	bind
पक्षी	bird
जन्मदिन	birthday
अंश	bit
तीत	bitter
कारी	black
पत्ती	blade
खाली	blank
कंबल	blanket
विस्फोट	blast
निखरनाइ	bleach
एकसार	blend
आन्हर	blind
परमानंद	bliss
रुकावट	block
खून	blood
झटका	blow
नील	blue
पटल	board
नाव	boat
देह	body
उसनल	boil
साहसी	bold
बंधन	bond
हड्डी	bone
पुस्तक	book
बढ़ेनाइ	boost
जूता	boot
जूता	boots
बॉर्डर	border
अरुचिकर	boring
जन्म	born
उधारी	borrow
मालिक	boss
दुनू	both
परेशानी	bother
बोतल	bottle
नीचा	bottom
उछलब	bounce
बंधन	bound
धनुष	bow
कटोरी	bowl
बक्सा	box
छौड़ा	boy
परेमिक	boyfriend
कंगन	bracelet
दिमाग	brain
डाढ़ि	branch
मार्का	brand
बहादुर	brave
उल्लंघन	breach
रोटी	bread
विराम	break
जलपान	breakfast
छाती	breast
सांस	breath
नसल	breed
ईटा	brick
दुल्हिन	bride
पुल	bridge
संक्षिप्त	brief
चमकैत	bright
तेज	brilliant
लाउ	bring
भाय	bro
चौड़ा	broad
टूटल	broken
झाडू	broom
भाई	brother
साला	brother in law
कत्थी	brown
ब्रुश	brush
बाल्टी	bucket
मित्र	buddy
बजट	budget
उड़ीस	bug
बनानाए	build
भवन	building
बनाना	built
थोक	bulk
सांड	bull
टक्कर	bump
गुच्छा	bunch
बंडल	bundle
बोझ	burden
जरनाइ	burn
फुटनाइ	burst
गाड़नाइ	bury
बस	bus
झाड़	bush
व्यवसाय	business
छाती	bust
व्यस्त	busy
मुदा	but
मक्खन	butter
तितली	butterfly
बोताम	button
खरीदू	buy
द्वारा	by
विदा	bye
ओना	by the way
बन्दाकोबी	cabbage
मंत्रिमंडल	cabinet
पिंजरा	cage
केक	cake
बछरू	calf
बुलाहट	call
शांत	calm
आयल	came
अभियान	campaign
रद्द	Cancel
कैंसर	cancer
सक्षम	capable
क्षमता	capacity
राजधानी	capital
पकड़नाइ	capture
कार	car
आजीविका	career
सावधानीपूर्वक	careful
सावधानीसँ	carefully
लापरवाह	careless
बढ़ई	carpenter
गलइचा	carpet
गाजर	carrot
मामला	case
नगद	cash
किला	castle
अनौपचारिक	casual
बिलाड़ि	cat
पकड़नाइ	catch
वर्ग	category
मवैसी	cattle
कारण	cause
चेतावनी	caution
सतर्क	cautious
गुफा	cave
बंद	cease
छत	ceiling
कक्ष	cell
केंद्र	center
सदी	century
खिचड़ी	cereal
समारोह	ceremony
निश्चित	certain
प्रमाणपत्र	certificate
सिकड़ी	chain
कुर्सी	chair
चुनौती	challenge
संयोग	chance
बदलू	change
अव्यवस्था	chaos
चरित्र	character
प्रभार	charge
दान	charity
सुन्नर	charming
बातचीत	chat
सस्ता	cheap
ठग	cheat
जांच	check
गाल	cheek
जयकार	cheer
खुशी	cheerful
अहलाह	cheers
पनीर	cheese
रसायन-विज्ञान	chemistry
दुलारनाइ	cherish
शतरंज	chess
छाती	chest
चबाननाइ	chew
मुर्गी	chicken
मुखिया	chief
नेना	child
बाल्यावस्था	childhood
ठंडा	chill
ठुड्डी	chin
लेमनचूस	chocolate
पसंद	choice
चुनू	choose
गलफुल्ला	chubby
चर्च	church
दालचीनी	cinnamon
घेरा	circle
परिस्थिति	circumstances
नागरिक	citizen
नगर	city
मांग	claim
वर्ग	class
माटि	clay
साफ	clean
साफ	clear
मुंशी	clerk
चालाक	clever
ग्राहक	client
टीला	cliff
जलवायु	climate
चढ़नाइ	climb
लसदार	clingy
घड़ी	clock
बंद	close
कोठरी	closet
कापिड़	cloth
कपड़ा	clothes
मेघ	cloud
बदरी	cloudy
विदूषक	clown
संकेत	clue
उद्दंड	clumsy
समूह	cluster
प्रशिक्षक	coach
कोयला	coal
परत	coat
कॉफी	coffee
ज्ञानात्मक	cognitive
संयोग	coincidence
ठंडा	cold
गिरेबान	collar
सहयोगी	colleague
सहकर्मी	colleagues
जमा	collect
संग्रह	collection
महाविद्यालय	college
रंग	color
रंग	colour
स्तंभ	column
कंघी	comb
मेल	combination
जोड़नाइ	combine
आउ	come
सुविधा	comfort
आरामदेह	comfortable
आदेश	command
व्यंग	comment
वाणिज्यिक	commercial
आयोग	commission
प्रतिबद्ध	commit
प्रतिबद्धता	commitment
प्रतिबद्ध	committed
माल	commodity
सामान्य	common
संचार	communication
समुदाय	community
पहिननइ	commute
साथी	companion
संग	company
तुलना	compare
तुलना	comparison
तरस	compassion
दयाबान	compassionate
अनुकूल	compatible
प्रतिस्पर्धा	compete
सक्षम	competent
प्रतियोगिता	competition
प्रतियोगी	competitive
शिकायत	complain
शिकायत	complaint
पूरक	complement
पूरा	complete
जटिल	complex
अनुपालन	compliance
जटिल	complicated
प्रशंसा	compliment
मान	comply
संयोजन	composition
चहारदीवारी	compound
समझनाइ	comprehension
बिस्तरीत	comprehensive
अनिवार्य	compulsory
कंप्युटर	computer
ध्यान	concentrate
संकल्पना	concept
चिन्ता	concern
चिन्तित	concerned
मेल	concert
निष्कर्ष	conclusion
मजबूत	concrete
स्थिति	condition
शर्त	conditions
आयोजन	conduct
सम्मेलन	conference
आत्मविश्वास	confidence
टकराव	conflict
भ्रमित	confused
उलझन	confusion
बधाई	congrats
बधाई	congratulation
बधाई	congratulations
संयोजन	conjunction
जीत	conquer
जागरूक	conscious
चेतना	consciousness
सहमति	consent
परिणाम	consequences
संरक्षण	conservation
माननाइ	consider
लगातार	consistency
संगत	consistent
सतत	constant
लगातार	constantly
कब्ज	constipation
निर्माण	construction
उपभोग	consumption
छुताहा	contagious
नियंत्रण	contain
समकालीन	contemporary
निंदा	contempt
सामग्री	content
प्रतियोगिता	contest
संदर्भ	context
महाद्वीप	continent
अनुबंध	contract
विषमता	contrast
योगदान	contribute
योगदान	contribution
नियंत्रण	control
आसानी	convenience
आसान	convenient
बातचीत	conversation
परिवर्तन	convert
ठंडा	cool
सहयोग	cooperation
सामना	cope
तम्बा	copper
मूल	core
मकई	corn
कोना	corner
सही	correct
लागत	cost
झोपड़ी	cottage
कपास	cotton
पलंग	couch
उकासी	cough
परिषद	council
गिनती	count
विरोध	counter
देश	country
जोड़ी	couple
साहस	courage
पाठ्यक्रम	course
न्यायालय	court
सौजन्य	courtesy
पितियौत	cousin
गाय	cow
डरपोक	coward
आरामदायक	cozy
केकड़ा	crab
दरार	crack
बकवास	crap
लालसा	craving
रेंगनाइ	crawl
पागल	crazy
बनाउ	create
रचनात्कम	creative
उधार	credit
रेंगनाइ	creep
अपराध	crime
चापलूसी	cringe
संकट	crisis
मानदंड	criteria
आलोचनात्मक	critical
आलोचना	criticism
फसल	crop
कौआ	crow
भीड़	crowd
राज-मुकुट	crown
महत्वपूर्ण	crucial
क्रूर	cruel
पिसनाइ	crush
चिल्लानाइ	cry
खीरा	cucumber
आलिंगन	cuddle
संस्कृति	culture
धूर्तता	cunning
कप	cup
अलमारी	cupboard
इलाज	cure
कर्फ्यू	curfew
उतेजना	curiosity
जिज्ञासु	curious
घुंघरयला	curly
मुद्रा	currency
प्रवाह	current
शाप	curse
परदा	curtain
तकिया	cushion
परिपाटी	custom
ग्राहक	customer
रिवाज	customs
काटनाइ	cut
सुन्दर	cute
साइकिल	cycle
पिता	dad
पिता	daddy
नित्य	daily
गोसाला	dairy
बांध	dam
क्षति	damage
धिक्कार	damn
भीगल	damp
नाच	dance
खतरा	danger
खतरनाक	dangerous
अन्हार	dark
प्रिय	darling
डाटा	data
तारीख	date
धिया	daughter
दिन	day
मरल	dead
बधिर	deaf
सौदा	deal
प्रिय	dear
मृत्यु	death
वाद-विवाद	debate
मलवा	debris
कर्जा	debt
दशक	decade
क्षय	decay
मरल	deceased
धोखा	deceive
दिसम्बर	december
भद्र	decent
निर्णय	decide
निर्णय	decision
अवनति	decline
कम	decrease
समर्पित	dedicated
समर्पण	dedication
विलेख	deed
गंहीर	deep
हरिन	deer
चुकनाइ	default
हरेनाइ	defeat
रक्षा	defend
निश्चित	definitely
परिभाषा	definition
डिग्री	degree
देरी	delay
हटानाइ	delete
कोमल	delicate
स्वादिष्ट	delicious
खुसी	delight
सौंपनाइ	deliver
पहुंचल	delivered
वितरण	delivery
मांग	demand
लोकतंत्र	democracy
दानब	demon
घनत्व	density
विभाग	department
आश्रित	depend
तैनाती	deploy
उदास	depressed
अवसाद	depression
गहराई	depth
वर्णन	describe
वर्णन	description
मरुभूमि	desert
योग्यता	deserve
डिजाइन	design
पद	designation
इच्छा	desire
टेबल	desk
दुःख	despair
निराश	desperate
बावजूद	despite
मिठाय	dessert
गंतव्य	destination
भाग्य	destiny
नष्ट	destroy
बर्बादी	destruction
विस्तार	detail
विवरण	details
संकल्प	determine
निश्चित	determined
विकास	develop
विकसित	developed
विकास	development
यंत्र	device
दानव	devil
समर्पित	devoted
दिवेही	Dhivehi
मधुमेह	diabetes
दस्त	diarrhea
डायरी	diary
शब्दकोश	dictionary
करब	did
मरनाइ	die
आहार	diet
अंतर	difference
अलग	different
कठिन	difficult
गरिमा	dignity
मेहनती	diligent
बोरनाइ	dip
सीधा	direct
दिशा	direction
निदेशक	director
मैला	dirt
गंदा	dirty
असमर्थ	disable
गायब	disappear
निराश	disappointed
आपदा	disaster
निकलनाइ	discharge
अनुशासन	discipline
छुट	discount
पक्षपात	discrimination
चर्चा	discuss
चर्चा	discussion
रोग	disease
स्वांग	disguise
अरुचिकर	disgusting
थारी	dish
बर्तन	dishes
खारिज	dismiss
भेजनाइ	dispatch
निपटान	disposal
झंझट	dispute
दूरी	distance
विशिष्ट	distinct
अंतर	distinguish
संकट	distress
बाटनाइ	distribution
जिला	district
बाधा	disturb
गड्डा	ditch
डुबकी	dive
विविध	diverse
विविधता	diversity
ईश्वरीय	divine
तलाक	divorce
करू	do
चिकित्सक	doctor
करत	does
कुकुर	dog
डोगरी	Dogri
गुड़िया	doll
कार्यक्षेत्र	domain
घरेलू	domestic
प्रमुख	dominant
गद्दा	donkey
शक	doubt
लोई	dough
नीचा	down
डाउनलोड	download
ड्राफ्ट	draft
घसीटनाइ	drag
नाली	drain
नाटक	drama
खींचू	draw
दराज	drawer
चित्रकारी	drawing
भय	dread
स्वप्न	dream
पीबू	drink
चलेनाइ	drive
बूंद	drop
गिरल	dropped
सूखार	drought
सूखायल	dry
बत्तख	duck
दोस्त	dude
बाकी	due
सुस्त	dull
मूक	dumb
खत्ता	dump
समय	duration
दौरान	during
गर्दा	dust
कर्तव्य	duty
बसना	dwell
मरन	dying
प्रत्येक	each
व्यग्र	eager
गिद्ध	eagle
कान	ear
प्रारंभिक	early
कमेनाइ	earn
धरती	earth
भूकंप	earthquake
आसान	ease
पूरब	east
आसान	easy
खाउ	eat
खैनाइ	eating
आर्थिक	economic
अर्थव्यवस्था	economy
कात	edge
संपादित	edit
शिक्षा	education
प्रभाव	effect
प्रभावशाली	effective
क्षमता	efficiency
कुशल	efficient
प्रयास	effort
अंडा	egg
बैगन	eggplant
अहंकार	ego
आठि	eight
अठारह	eighteen
अस्सी	eighty
वर्णन	elaborate
केहुनी	elbow
बहिन	elder
अधेड़	elderly
सुन्नर	elegant
तत्त्व	element
हाथी	elephant
ग्यारह	eleven
योग्य	eligible
हटेनाइ	eliminate
अन्य	else
परेशान	embarrassed
संकोची	embarrassing
आलिंगन	embrace
उभरनाइ	emerge
आपातकाल	emergency
भावुक	emotional
सहानुभूति	empathy
करमचारी	employee
कर्मचारी	employees
नियोक्ता	employer
रोजगार	employment
खाली	empty
मुठभेड़	encounter
अंत	end
संकटग्रस्त	endangered
प्रयास	endeavor
धैर्य	endurance
भोगनाइ	endure
दुशमन	enemy
उर्जा	energy
झेका	engagement
इंजन	engine
अभियंता	engineer
अंग्रेजी	English
बढ़ेनाइ	enhance
सुनिश्चित	ensure
प्रवेश	enter
मनोरंजन	entertainment
उत्साह	enthusiasm
उत्साही	enthusiastic
संपूर्ण	entire
हकदार	entitled
सत्ता	entity
व्यवसायी	entrepreneur
लिफाफ	envelope
पर्यावरण	environment
जलन	envy
महाकाव्य	epic
महामारी	epidemic
बराबर	equal
उपकरण	equipment
हिस्सेदारी	equity
बराबर	equivalent
मिट्कौना	eraser
दोष	error
पलायन	escape
विशेषतया	especially
लेख	essay
अर्क	essence
जरूरी	essential
स्थापित	established
जायदाद	estate
आकलन	estimate
अनुमानित	estimated
आदि	etc
शास्वत	eternal
मूल्यांकन	evaluate
मूल्यांकन	evaluation
सांझ	evening
घटना	event
अंततः	eventually
सदैव	ever
सभ	every
सब	everyone
साक्ष्य	evidence
दुष्ट	evil
विकसित	evolve
एवै	Ewe
पूर्व	ex
सटीक	exact
परीक्षा	exam
उदाहरण	example
अधिक	exceed
अलावा	except
अपवाद	exception
अदला-बदली	exchange
रोमांचित	excited
उत्साह	excitement
रोमांचक	exciting
विशेष	exclusive
क्रियान्वयन	execution
कार्यकारी	executive
व्यायाम	exercise
निकास	exhaust
थाकल	exhausted
प्रदर्शनी	exhibition
मौजूद	exist
अस्तित्व	existence
जीवित	existing
फैलेनाइ	expand
उम्मीद	expect
अपेक्षित	expected
खर्चा	expenses
महग	expensive
अनुभव	experience
प्रयोग	experiment
विशेषज्ञ	expert
वर्णन	explain
वर्णन	explanation
शोषण	exploit
अन्वेषण	explore
निर्यात	export
देखानाइ	expose
उजागर	exposed
अनावृत्ति	exposure
अभिव्यक्ति	expression
बढ़ेनाइ	extend
फैलाब	extension
क्षेत्र	extent
बाहरी	external
विलुप्त	extinct
बेसी	extra
निचोड़	extract
असाधारण	extraordinary
चरम	extreme
अत्यधिक	extremely
आँखि	eye
आंखि	eyes
कापिड़	fabric
आश्चर्यजनक	fabulous
चेहरा	face
संस्थान	facilities
संस्थान	facility
तथ्य	fact
भाज्य	factor
कारखाना	factory
विफल	fail
अनुत्तीर्ण	failed
विफलता	failure
मूर्छा	faint
गोर	fair
न्यायपूर्ण	fairly
परी	fairy
आस्था	faith
बिसबासी	faithful
नकली	fake
खसब	fall
झूठ	false
प्रसिद्धि	fame
परिचित	familiar
परिवार	family
भुखमरी	famine
प्रसिद्ध	famous
पंखा	fan
कल्पना	fancy
विलक्षण	fantastic
दूर	far
विदायी	farewell
बाडी	farm
किसान	farmer
मनोहर	fascinating
वेश-भूषा	fashion
तेज	fast
मोट	fat
घातक	fatal
भाग्य	fate
बाबू	father
थकान	fatigue
गलती	fault
मनभावन	favorite
एहसान	favour
प्रिय	favourite
भय	fear
भोज	feast
पंख	feather
विशेषता	feature
विशेषता	features
फरबरी	february
शुल्क	fee
प्रतिक्रिया	feedback
भावना	feeling
पैर	feet
मित्र	fellow
महिला	female
किनार	fence
उपजाऊ	fertile
परब	festival
निकालनाइ	fetch
बोखार	fever
कम	few
कम	fewer
उपन्यास	fiction
खेत	field
तेज	fierce
पंद्रह	fifteen
पचास	fifty
लड़ाइ	fight
लड़ाई	fighting
आकार	figure
फाइल	file
भरु	fill
भरल	filled
फिलिम	film
गंदा	filthy
अंततः	finally
वित्त	finance
वित्तीय	financial
ताकू	find
बढ़ियां	fine
उंगली	finger
आगि	fire
दृढ़	firm
पहिल	first
माछ	fish
उपयुक्त	fit
पांच	five
तय	fixed
झंडा	flag
चमक	flash
चौड़ा	flat
दोष	flaw
निर्दोष	flawless
भागनाइ	flee
मॉस	flesh
उड़ल	flew
लचीला	flex
नरम	flexible
उड़नाइ	flight
इश्कबाजी	flirt
तैरनाइ	float
बाढ़ि	flood
सतह	floor
आटा	flour
बहाव	flow
फूल	flower
बोखार	flu
सहज	fluent
भुलक्कड़	fluffy
तरल	fluid
माछी	fly
केन्द्रित	focus
कोहरा	fog
लपेटनाइ	fold
मित्र	folks
अनुसरण	follow
निम्नलिखित	following
खाद्य	food
बेवकूफ	fool
मूर्ख	foolish
पएर	foot
फुटबाल	football
निषिद्ध	forbidden
बल	force
पुर्वानुमान	forecast
माथा	forehead
विदेश	foreign
जंगल	forest
कांटा	fork
प्रपत्र	form
औपचारिक	formal
पहिलुका	former
भाग्यवश	fortunately
भाग्य	fortune
चालीस	forty
बयालिस	forty-two
अग्रभाग	forward
पालब	foster
लड़ल	fought
भेटल	found
नींव	foundation
चारि	four
चौदाह	fourteen
लोमड़ी	fox
नाजुक	fragile
ढांचा	frame
ढांचा	framework
ठक	fraud
सनकी	freak
मुक्त	free
स्वतंत्रता	freedom
जमनाइ	freeze
तीव्रता	frequency
बारबार	frequent
अक्सर	frequently
ताजा	fresh
शुक्रदिन	friday
फ्रिज	fridge
मित्र	friend
मित्रवत	friendly
मित्रता	friendship
भयभीत	frightened
भयावह	frightening
मेढक	frog
कोनाठाक	from
सामने	front
जमल	frozen
फल	fruit
निराश	frustrated
ईन्धन	fuel
फुलफुल्दे	Fulfulde
भरल	full
मजा	fun
आयोजन	function
मौलिक	fundamental
मजेदार	funny
रोइयां	fur
क्रुद्ध	furious
फर्नीचर	furniture
आगू	further
भविष्य	future
प्राप्ति	gain
खेल	game
फांका	gap
गैरेज	garage
कचरा	garbage
बगैचा	garden
लहसुन	garlic
केबाड़ी	gate
जुटेनाइ	gather
भीड़	gathering
मानदण्ड	gauge
देलक	gave
गियर	gear
लिंग	gender
सामान्य	general
सामान्यतः	generally
उत्पन्न	generate
पीढ़ी	generation
उदार	generous
बुद्धिमान	genius
शैली	genre
सौम्य	gentle
वास्तविक	genuine
हाव-भाव	gesture
भेटत	get
उपार्जन	getting
उठू	get up
भूत	ghost
छलावा	ghosting
विशाल	giant
उपहार	gift
आदी	ginger
कन्या	girl
प्रेमिका	girlfriend
दिय	give
खुशी	glad
झलक	glance
सीसा	glass
सीसासभ	glasses
झलक	glimpse
वैश्विक	global
उदास	gloomy
दस्ताना	gloves
चमक	glow
चमकु	glow up
गोंद	glue
जाउ	go
लक्ष्य	goal
लक्ष्य	goals
बकरी	goat
ईश्वर	god
सोना	gold
जाउ	goo
नीक	good
नमस्कार	good afternoon
अलविदा	good bye
अलविदा	goodbye
सुप्रभात	good morning
शुभरात्रि	good night
माल	goods
गूगल	Google
हास	goose
अप्रतिम	gorgeous
गप्प	gossip
बुझलियै	got it
सरकार	government
पकड़नाइ	grab
दरजा	grade
धीरे-धीरे	gradually
स्नातक	graduate
अनाज	grain
अनुदान	grant
अंगूर	grapes
पकड़	grasp
घास	grass
अहसानमंद	grateful
आभार	gratitude
समाधि	grave
धूसर	gray
लालच	greed
लालची	greedy
हरियर	green
नमस्कार	greet
शुभकामना	greeting
प्रणाम	greetings
धूसर	grey
कष्ट	grief
पिसनाइ	grind
पकड़	grip
दूल्हा	groom
कुल	gross
जमीन	ground
समूह	group
बढ़नाइ	grow
वृद्धि	growth
चिडाचिडाएल	grumpy
गुआरानी	Guarani
देनाइ	guarantee
पहिरेदार	guard
पाहुन	guest
मार्गदर्शक	guide
दोषी	guilty
व्यक्ति	guy
लोकनि	guys
कसरतशाला	gym
आदति	habit
आवास-स्थान	habitat
ओलावृष्टि	hail
केस	hair
आधा	half
हॉल	hall
हाथ	hand
संभालनाइ	handle
सुन्दर	handsome
लटकेनाइ	hang
घुमनाइ	hang out
भेल	happened
खुशी	happiness
खुश	happy
कड़ा	hard
नुकसान	harm
नुकसानदेह	harmful
सद्भाव	harmony
कठिन	harsh
फसल	harvest
भेनाइ	having
जोखिम	hazard
धुंध	haze
ओकरा	he
माथ	head
स्वास्थ्य	health
स्वस्थ	healthy
सुनू	hear
सुनल	heard
हृदय	heart
गर्मी	heat
स्वर्ग	heaven
भारी	heavy
ऊंचाई	height
उत्तराधिकारी	heir
लूट	heist
पकड़नाइ	held
नर्क	hell
नमस्कार	Hello
हेलमेट	helmet
सहायता	help
सहायक	helpful
ओकर	her
झुंड	herd
एतय	here
विरासत	heritage
हिचकिचाहट	hesitate
नमस्कार	Hey
नमस्कार	Hi
नुकाएल	hidden
नुकाउ	hide
पदानुक्रम	hierarchy
ऊंच	high
वृद्धि	hike
मजेदार	hilarious
पहाड़ी	hill
ओ	him
संकेत	hint
पोन	hip
कुल्हा	hips
भर्ती	hiring
ओकर	his
इतिहास	history
मारू	hit
नमस्ते	Hi there
ह्म्म्म	Hmm
रुची	hobby
धरू	hold
रुकु	hold on
बिल	hole
छुट्टी	holiday
खाली	hollow
घर	home
गृह-कार्य	homework
इमानदार	honest
मौध	Honey
इज्जत	honor
टोप	hood
हंसिया	hook
फुदकनाइ	hop
आशा	hope
उम्मीदपूर्वक	hopefully
आशाहिन्	hopeless
क्षैतिज	horizontal
सींग	horn
भयानक	horrible
डरावना	horror
घोड़ा	horse
अस्पताल	hospital
सत्कार	hospitality
मेजबान	host
बैरी	hostile
गर्म	hot
होटल	hotel
घंटा	hour
घंटा	hours
घर	house
घरक	household
कोना	how
यद्यपि	however
केतना	how many
कतेक	how much
केंद्र	hub
भतार	hubby
आलिंगन	hug
मनुख	human
विनम्र	humble
उमस	humid
उमस	humidity
सैय	hundred
भूखायल	hungry
शिकार	hunt
तूफान	hurricane
जल्दी	hurry
चोट	hurt
पति	husband
जल्दी	hustle
झोपड़ी	hut
हम	I
बरफ	ice
आइसक्रीम	ice cream
विचार	idea
आदर्श	ideal
पहचान	identify
पहचान	identity
मूर्ख	idiot
सुस्त	idle
यदि	if
नजरअंदाज	ignore
बीमार	ill
गैरकानूनी	illegal
रोग	illness
इलोकानो	Ilocano
छवि	image
तुरंत	immediate
झटपट	immediately
अत्यधिक	immense
प्रभाव	impact
बेताब	impatient
लागू	implement
आयात	import
महत्वपूर्ण	important
थोपनाइ	impose
असंभव	impossible
प्रभाव	impression
प्रभावशाली	impressive
सुधार	improvement
में	in
अनुपयुक्त	inappropriate
प्रोत्साहन	incentive
घटना	incident
सहित	including
आमदनी	income
असुविधा	inconvenience
बढ़ाउ	increase
बढोतरी	increased
अविश्वसनीय	incredible
निस्संदेह	indeed
स्वतंत्र	independent
भारत	India
संकेत	indicate
स्वदेशी	indigenous
व्यक्तिगत	individual
उद्योग	industry
लाजमी	inevitable
नेना	infant
संक्रमण	infection
अनंतता	infinity
सूजन	inflammation
मुद्रास्फीति	inflation
प्रभाव	influence
जानकारी	information
अवयव	ingredients
विरासत	inheritance
शुरुआती	initial
पहल	initiative
चोटिल	injured
निर्दोष	innocent
विक्षिप्त	insane
कीट	insect
असुरक्षित	insecure
डालब	insert
दष्टि	insight
आग्रह	insist
