a	benn
amusing	neex
an	ab
analysis	càmbar
ancestors	ay maam
anchor	sàmp
ancient	màggal
and	ak
and you	yaw nag
angel	mala
anger	mer
angle	kon
angry	Mënuma
animal	mala
ankle	dogu yàpp
anniversary	bés-bu-dellusi
announcement	yëgle
annoy	tangqal
annoyed	jaaxle
annoying	mer gu tar
annual	at mu nekk
anonymous	lu amul njariñ
another	beneen
answer	tontu
anticipate	jiiñ
anxiety	jaaxle
anxious	jaaxle
any	bu nekk
anymore	mukk
anyone	ku nekk
anything	dara
anyway	nu mu mën a deme
anyways	numu mën a deme
apart	gànnaaw
apartment	dëkkuwaay
apologize	jéggal
apparent	feeñ
apparently	melax
appeal	woote
appear	feebar xiibon
appearance	melokaan
appeared	feeñal
appetite	cawarte lekk
apple	pom
application	jumtukaay tàmbali
apply	jëf
appointment	dig
appreciate	bég
appreciation	gis-gis
approach	gis-gis
appropriate	mengoo
approval	dëggal
approve	dëggal
approved	nangu
approximately	lu jëful
april	awril
arbitrary	itam
architect	fentkat
architecture	tabaxin
archive	Tasaayi
are	nekk
are you	ndax yaa ngi
are you busy	ndax danga jàpp
are you married	ndax yaa ngi séy
are you married or single	dangay séy wala salibateer nga
Are you still there?	Yaa ngi foofa ba léegi?
are you there	yaa ngi foofa
area	bërab
argue	xulóo
argue	wax
argument	waxtaan
arise	jóg
arm	lorange
army	làqqatu
around	ci wetu
arrange	waajal
arrangement	déggoo
arrival	dikk
arrive	agsi
arrived	agsiwoon
arrogant	reew
arrow	fit
art	fent
article	bagaas
artificial	bu nit defarul
artist	fent
as	ni
as long as	lu mu tuuti tuuti
as well	tamit
as well as	tamit
ash	dóom
ashamed	rus
ask	laago
asked	laaj ñaxtu
asleep	nelaw
aspect	melokaan
Assamese	Assamese
assault	song
assembly	mbooloo
assertive	wóor
assess	xayma
assessment	xayma
asset	njëriñ
assets	ay jumtuwaay
assign	sàntaane
assignment	liggéey
assist	dikkoon
assistant	bëkk-néeg
associate	nit ki toftalu ci
associated	boole
association	mbooloo
assume	nangu
assumption	xalaat
at	ci
at least	lu mënula ñàkk
ate	lëkkaloo
athlete	tàggatkatu yaram
attach	takk
attached	takkoon
attachment	kayitu lim
attack	song
attempt	jéem
attend	teewe
attendance	teeway
attention	ndànk
attitude	taxawaay
attract	xëcc
attraction	xëcc
attractive	buy xëccaate
attribute	moomeel
audience	mbooloo
august	ut
aunt	bàjjan
aunty	tanta
authentic	dëggu
author	bindkat
authority	njiit
autumn	liw soj
available	jàppandi
average	tane
avoid	moytu
awake	yeewu
award	neexal
aware	yëg
awareness	xel
away	sore
awesome	yànj
awful	doy waar
awkward	doy waar
Aymara	Aymara
baby	gone
baby	xale
bachelor	ku am ndaw
back	ci gànnaaw
background	jaar yoon
bad	bon
bag	saak
bait	fiir
bake	saaf
bakery	puur
baking soda	karaw
balance	yamaay yamale
ball	bal
Bambara	Bambara
banana	banaana
band	mbooloo
bang	dóor
bank	bànk
bar	baar
barely	lu bare
bargain	waxaale
bark	mbetteel
barley	pepp
barrier	ñag
base	jabet
based	wéeru ci
basement	ci suuf
basic	bu sax
basically	ci yoon
basil	ngun-ngun
bastard	doom bu jigéen ci buur
batch	say
bath	sangu
bathroom	duus
battery	batëri
battle	xeex
bay	tefes
be	nekk
be careful	defal ndànk
beach	tefes
beam	ray-rayi
beans	ñebbe
bear	yenu mbëfër
beard	sikkim
bearing	doxalin
beast	makiyaas
beat	dóor
beautiful	taaru
beauty	taar
became	nekk na léegi
because	ndax
become	dóomu taal
bed	laksidang mbëkk
bedroom	néegu biir
bee	yamb
beef	yàppu nag
been	nekke
beer	sàngara
before	laata
began	tàmbaliwoon
begin	tàmbali
beginning	ndoorteel
behalf	ci turu
behave	dox
behavior	doxale
behaviour	jiitewoon
behind	gannaaw
being	nekk
belief	ngëm
believe	yaakaar
belly	biir
belong	móol
beloved	soppe
below	ci suuf
belt	sentiir
bench	toogu
bend	sëgg
beneath	ci suufu
benefit	ngënéel
benefits	ay ngëneel
beside	ci wetu
besides	rax ci dolli
best	bi gën
best of luck	wërsëg gu sax
best regards	nuyoo bu sax
better	gën
between	digg
beverage	naan
beyond	lu weesu
Bhojpuri	Bhojpuri
bias	far
biased	bu amul jubluwaay
bicycle	welo
bid	yëgle
big	mag
bike	welo
bill	fajkatu bëñ
bind	takk
bird	picc
birthday	bés-bu-dellusi
bit	tuuti
bite	màtt
bitter	wex
black	ñuul
blade	paaka
blame	tuuma tuumaal
blank	foxale
blanket	mbagg
blast	yàqq
bleach	xeesal
blend	jaxase
bless	sàmm
blessed	gént
blind	guddi
bliss	mbegte
block	tabax
blood	der fees
bloom	tóortóor
blow	duusu sangukaay
blue	baxa
blunt	ñawul
board	kureel
boat	gaal
body	yaram
boil	baxal
bold	sañ
bond	takk
bone	yax
book	téré jàppal
boost	yokkute yokk
booster	yokk
boot	dàllu bot
boots	ay dàlli bot
border	pègg
bore	pax bënn
bored	jaxase
boring	soof
born	jubul
borrow	àbb
boss	njiit
both	ñaar yépp
bother	tangqal
bottle	butéel
bottom	ci suuf
bought	jënd njënd
bounce	bondeel cawarte
bound	takkoon
boundaries	ay dig
bow	sujjóot
bowl	bool
box	boyet
boy	xale bu góor
boyfriend	cuks
boyfriend	far
bracelet	laltu
brain	yuur
branch	car
brand	xeet
brave	jam jam-jam
breach	gas
bread	mbott
break	aj
break	ajandi
breakfast	ndekki
breast	ween
breath	noyyi
breathe	noyyi
breed	yar
brick	móol
bride	séet bu jigéen
bridge	pom
brief	gaasuwaal
bright	leer leeral
brilliant	muus
bring	indi
bro	xarit
broad	yaatu
broadcast	siiwal
broke	bànk dammoon
broken	bu damm
broom	bale
brother	rakk
brother in law	jëkër u mag
brought	indiwaat
brown	mar
brush	xoos boroos
bucket	siwó
buddy	xarit
budget	lim toll
bug	matadi
build	tabax
building	tabax
built	tabaxoon
bulk	ngàndaay
bull	nag
bully	tiital
bump	mbégte
bunch	làrme
bundle	laxas
burden	yen yenu
buried	suul
burn	taal
burst	tàkk
bury	suul
bus	kaaf
bush	àll
business	liggey
bust	dënn
busy	jàpp
but	waaye
butter	bëer
butterfly	lëpaalëp
button	butong
buy	jën
by	ci
by the way	ci loolu
bye	ba beneen yoon
cabbage	supome
cabinet	ndajem jawriñ yi
cage	juuti
cake	ngato
calf	nag bu ndaw
call	woote
call	woo
call me	woo ma
called	woowe
calm	teey dëfal
came	dikk léegi
campaign	kampaañ
can	mën
can't	mënul
Cancel	Bàyyi
cancer	kanam jakkaarloo
capable	mën
capacity	doole
capital	péey
caption	léeb
capture	natal
car	daamar
career	diiru fukki at
careful	moytu
carefully	ndànk
careless	ñàkk a farlu
caring	toppatoo
carpenter	yattkat
carpet	moket
carrot	karbonaat
carry	indi
carry on	wéyal
carry out	yóbbu
case	boyet
cash	teew
cast	sànni
castle	sato
casual	bariwul lumuy am
cat	muur
catch	jàpp
category	tolluwaay
cattle	jur
caught	jàppandi
cause	lu tax
caution	àrtu
cautious	teey
cave	xunt
cease	dakkal
ceiling	palaafong
celebrate	màgg
cell	pepp
center	digg
century	xarnu
cereal	pepp
ceremony	xew
certain	wóor
certainly	ci lu wóor
certificate	liir
chain	ceen ceene
chair	siis
challenge	sas bañ
chance	wërsëg
change	soppi coppite
chaos	yàqquteef
character	jëm kanam
characteristics	melokaan
charge	jigéen
charity	sarax
charming	xëcc
chart	tablo
chase	dàqq
chat	waxtaan
cheap	yomb
cheat	sàcc naxaatekat
cheating	sàcc
check	xayma saytu
cheek	lëwiir
cheer	tàccu
cheerful	bég
cheers	tàccu
cheese	for
chemistry	simi
cherish	bëgg
chess	powum esek
chest	dendale
chew	yéyy
chicken	gëstu
chief	njiit
child	xale
childhood	ndaw
children	ay xale
chill	sedd
chimneys	ay bën-bënu sàqqaar
chin	sikkim
chocolate	paalmaan
choice	tànneef
choose	tànn
chop	dagate
chores	ay liggéey
chubby	pataa
church	jàngoro
cinnamon	turbi
circle	wërale
circumstances	ay anam
citizen	doomu nijaay
city	dëkk taax
claim	ñaxtu laaj
clarify	leeral
class	Kalaallisut
clay	ban
clean	set setal
clear	leer
clerk	liggéeykat
clever	muus
client	kiliyaan
cliff	tund
climate	kilifteef
climb	yéeg
clingy	tanxal
clock	mokkal
close	tëj benn-bakkan
closet	deñcukaay
cloth	moone
clothes	yéré
cloud	niir
cloudy	xiin
clown	kafe
clue	tegtal
clumsy	jubluwaay jublu
cluster	mbooloo
coach	tàggatkat tàggat
coal	keredi
coast	tefes
coat	palto
coffee	kaf
cognitive	bu xel
coincidence	amandoo
cold	sèdd
collapse	wodd
collar	kol
colleague	naatangoo liggéey
colleagues	naatàngoo
collect	jël
collection	boole
college	daara ju kawe
color	wirgo
colorless green ideas slept furiously	ay xalaati melo yu nëtëxul yu nelawoon ci naqqar
colour	melni
column	kóllëre
comb	peñe
combination	mbonaat
combine	boole
come	ñëw
come here	kaay fii
come on	gaawal
comfort	nekkin wu baax
comfortable	neex
coming	biy ñëw
coming soon	dikk
command	sàntaane
comment	wax sa xalaat
commercial	jënd
commission	yónni
commit	noot
commitment	dogaloon
committed	sóobu
commodity	bagaas
common	daj fépp caga
communicate	waxante
communication	jokkale jokkoo
community	askan
commute	dem ak dikk
companion	àndandoo
company	këriñ
compare	tolloole
comparison	méngale
compassion	yërmànde
compassionate	am yërmànde
compatible	lu kenn xamul
compete	jongante
competent	xereñ
competition	jokkoo
competitive	ci jongante
complain	ñaxtu
complaint	ñaxtu
complement	morom
complete	mat sëkk
completely	ci anam bu mat
complex	jafe
compliance	mën-mën mën
complicated	jafe
compliment	ndokkale
comply	tënku
composition	dajale
compound	kër
comprehension	ndànd
comprehensive	masin
compromise	déggoo
compulsory	mënula ñàkk
computer	oordinaatëer
concentrate	def xel rekk
concept	xalaat
concern	gànt
concerned	jaaxle
concert	xawaare
conclusion	tëjteel
concrete	betong am betong
condition	anam
conditions	ay anam
conduct	jiital xel
conference	ndaje
confess	dëggal
confidence	kooba
confident	wóolu sa bopp
confirm	dëggal
conflict	xare
confused	jaxasoo
confusion	jaxasoo
congrats	ndokkale
congratulation	ndokkale
congratulations	ndokkale
conjunction	jokkoo
connect	lekk
conquer	noot
conscious	am xel
consciousness	ameefu xel
consent	ndigal ànd
consequences	njureef
conservation	deñc
conservative	rënk
consider	xalaat
considered	jàpp
consist	ëmb
consistency	dëgëraay
consistent	lu amul tur
constant	buy wéy
constantly	biy am saa su ne
constipation	seere
construction	tabax
consume	lajjoon
consumption	jëfandikoo
contact	jokkalante
contagious	wàlle
contain	def
contains	def
contemporary	bokk jamono
contempt	xeeb
content	mbinde
contest	jongante
context	anam
continent	goros
continue	wëy
contract	déggoo jëf
contrast	kuute
contribute	bokk
contribution	wàll
control	ceytu
control	saytu
controversial	werante
convenience	wësëgu jàmm
convenient	jaar
conversation	waxtaan
convert	coppite soppi
convey	jàll
convince	yey
convinced	yey
cook	toggkat togg
cooking	togg
cool	sèdd
cool	baax lool
cooperation	mbootaay
cope	jànkontel
copper	përëm
core	xol
corn	mboqq
corner	róqq
correct	jub
cost	njëg jar
costume	koppin
cottage	këru liggéeyukaay jéngu
cotton	wëtéen
couch	bàyyeeku
cough	sëqqat
could	mën nañu
council	kureel
count	woññ
counter	Konkani
country	réew
countryside	kàttan
couple	ñaar
courage	firwi
course	yoon daw
court	ëtt
courtesy	teggin
cousin	doomu ndey
cover	muuma
cow	nag bu jigéen
coward	ragal
cozy	ndugg
crab	jumtukaayu xarala
crack	damm-damm damm
craft	liggéey
crap	puub
crash	lakk
craving	bëgg-bëgg
crawl	raam
crazy	dof
create	defar
creative	fen
credit	kër
creep	raam
creepy	raglu
crew	kuppe
crime	jëya
cringe	yaru dellu gannaaw
crisis	jafe-jafe
criteria	ay melokaan
critical	doywaar
criticism	Kiliyaan bi ma Sopp
crop	gan teeru
crops	mbéy
cross	jàllukaay
crow	baaxoñ
crowd	mboole
crowded	bare nit
crown	coll
crucial	lu mënul ñàkk
cruel	soxor
cruise	wër ci gaal
crush	tañc
cry	jongante
cucumber	koom-koom
cuddle	foog naa
culture	mbas
cunning	muus
cup	koonkoombar
cupboard	mbuum
curb	peggu mbedd
cure	paj faj
curfew	kuute wuute
curiosity	kuddu
curious	demoon
curly	lëmës
currency	xaalis
current	bi xew
currently	léegi
curse	muñal
curtain	rido
cushion	njegenaay
custom	tàmm
customer	kilimaa
customs	Douane
cut	ndog dagg
cute	muus mu ndaw
cycle	wërngël
cycling	dawal welo
dad	baay
daddy	baay
daily	bés bu ne
dairy	bu meew
dam	mbànd
damage	yàqqute yàqq
damn	daan
damp	tooy
dance	pecc
danger	lopitaal
dangerous	wóoradi
dark	lëmësu
darling	soppe
dash	rëdd
data	xibaar
date	jamono jii
daughter	dom bou djiguen
day	bés
dead	dee
deadline	àpp
deaf	tëx
deal	déggoo
dear	soppe
Dear All	Yéen samay Soppe
Dear Customer	kiliyaan
Dear Parents	Samay Way-jur samay Soppe
Dear Sir	Sama Sëriñ sama Soppe
Dear students	Samay ndongo samay Soppe
Dear Team	Samay soppey Liggéeykat yi
death	dee
debate	waxtaan
debit	layookat
debris	tojit
debt	bor
decade	diir
decay	nëb
deceased	waaññeeku
deceive	tas yaakaar
december	desambar
decent	yiw
decide	dogal
decided	dogal
decision	ndogal
deck	rafetal
decline	daanu
decrease	wàññi
dedicated	jagle
dedication	jaggadi
deed	jëf
deep	xóot
deer	kontuwaar
default	mat matal
defeat	lajj
defend	aar
define	leeral
definitely	ci lu wóor
definition	tekki
degree	tolluwaay
delay	yéexaay yéexal
delayed	ràndal
delete	dindi
deliberate	yewwi
delicate	woyof
delicious	neex
delight	neex
delighted	bég
deliver	joxe
delivered	yóbbu
delivery	yót
demand	laaj
demanding	bari laaj
democracy	demokaraasi
demon	dëmm
demonstrate	wone
denied	weddi
density	tolluwaay
dentist	fajkat
deny	weddi
department	pàccu këru liggéeyukaay
departure	dem
depend	aju
deploy	tas
deposit	depaans
depressed	sonn
depression	jafe-jafe
depth	xóotaay
describe	bind
description	tegtal
desert	fanweer
deserve	yelloo
design	defar
designation	tur
desire	bëgg
desk	biro
despair	ñàkk yaakaar
desperate	yaakaar gu tas
despite	donte
dessert	desàmbar
destination	jubluwaay
destiny	nattu
destroy	yàqq
destruction	yàqqu-yàqqu
detail	nettali benn benn
details	yu sew
detect	gis
determination	doggu
determine	dog dagg ay dog
determined	doggu
devastated	yàqqu
develop	yokk
developed	yokkoon
development	yokkute
device	jumtukaay
devil	saytaane
devoted	jë
Dhivehi	Dhivehi
diabetes	jabar
diarrhea	biir buy daw
diary	téere
dictionary	téere firi baataan
did	defoon
die	dee
died	dee
diet	wàññi lekk
difference	kurél
different	wuute
difficult	tar
dig	gas
dig	sulli
dignity	ngor
diligent	topp yoon
dinner	reer
dip	sóobu
direct	jub
direction	jubluwaay
director	njiit
dirt	tilim
dirty	tilim
disable	labbe
disabled	way-laago
disappear	seey
disappointed	ruslóo
disaster	jëw
discard	dindi
discharge	wàcce
discipline	yar
discount	wàññi
discover	gis
discrimination	beddikonte
discuss	waxtaan
discussion	waxtaan
disease	jàngkat
diseases	ay jàngoro
disguise	nëbbu
disgusting	naqqari
dish	ñam
dishes	ay ndab
dismiss	dàqq
dispatch	tas
display	wone
disposal	sën
dispute	xulóo
distance	soriwaay
distinct	ràññee
distinguish	ràññee
distress	jaaxle
distribution	séddale
district	diwaan
disturb	tanqqal
ditch	pax
dive	sóobu
diverse	wuute
diversity	wuute
divide	seddale
divine	bu joge ca Yàlla
divorce	tass fase
dizzy	miir
do	def
do you	ndax di nga
do you love me	ndax bëgg nga ma
doctor	Dogri
document	wayndare
does	def
doesn't	du ko
dog	xaj
Dogri	Dogri
doing	def
doll	fowal
domain	dëkkuwaay
domestic	bu bokk ci kër gi
dominant	bu ëpp doole
don't	bul
Don't worry	bul jaaxle
donate	maye
done	def jeex
donkey	mbaal
dope	sineebar
double	ñaari yoon ful ñaari yoon
doubt	sikki-sakka
dough	xaalis
down	ci suuf
download	wàcce
draft	jéem
drag	xëcc
drain	yoonu ndox
drama	teyaatar
draw	xëcc
drawer	deñcoon
drawing	nataal
dread	tiitange
dream	gént gu bon
dress	robb solu
drill	bënn
drink	naan
drive	dawal
drop	toqq daaneel
dropped	woddaloon
drought	bekoor
drunk	màndarga màndargaal
dry	wow wowal
duck	kanaara
dude	waay
due	yelleef
due to	ndaxte
dull	lëndëm
dumb	musóor
dump	sànni
duration	diir
during	ci diiru
dust	pënd
duty	wareef
dwell	dëkk
dying	buy dee
each	bu ci ne
each other	ku amul jabar
eager	yàkkamti
eagle	céeli
ear	nopp
earlier	ci teel
early	teel
earn	yelloo
ears	ay nopp
earth	suuf
earthquake	yëngu-yëngu suuf
ease	noflaay
easily	ci lu yomb
east	penku
easy	yomb
eat	lèkk
eating	lekk
economic	koom
economy	koom
edge	pegg
edit	soppi
education	yar
effect	njureef
effective	am njériñ
efficiency	xereñteef
efficient	xereñ
effort	jéego
egg	nen
eggplant	batañse
ego	sa bopp
eight	juróom-ñett
eighteen	fukk-ag-juróom-ñett
eighty	juróom-ñett i fukk
either	rafet
elaborate	defar
elbow	coñcu
elder	mag
elderly	màggat
elegant	rafet
element	këf
elephant	ñay
eleven	fukk-ag-benn
eligible	mën
eliminate	dindi
else	beneen
embarrassed	jaxasoo
embarrassing	jaxasoo
embrace	lëndëm lëndëmal
emerge	fël-fël
emergency	lu gisu
emotional	daw yaram
empathy	yëg-yëg
emphasis	teg baaraam
emphasize	teg baaraam
employee	liggéeykat
employees	ay liggéeykat
employer	liggéeykat
employment	liggéey
empty	sotti amul dara
enable	jox cër
encounter	tase
encourage	ñaax
end	mujjantal
endangered	indi
endeavor	jéem
endurance	ndëgërlu
endure	muñ
enemy	noon
energy	kaso
engage	song
engaged	farlu
engagement	xeex
engine	marong
engineer	ëmb
English	Angale
enhance	yokk
enjoy	bégé
enormous	rëy
enough	doyna
ensure	dëggal
enter	du loolu de
entertainment	po
enthusiasm	mbegte
enthusiastic	bég
entire	lépp
entitled	tudde
entity	mbir
entrance	duggal poñ
entrepreneur	tabaxkat
envelope	ëllëg
environment	wëreef
envy	ñée
epic	jàmbaar song
epidemic	mbas
equal	tolloo
equipment	jumtoo kay
equity	yamale
equivalent	tolloo
eraser	fomp
error	njuumte
escape	rëcc
especially	rawatina
essay	jéem
essence	ëppoon
essential	li am solo
establish	def
established	tegoon
estate	moomeel
estimate	xayma
estimated	xayma
etc	ak yeneen ak yeneen
eternal	lu dul
ethics	doxalin
evaluate	xayma
evaluation	xayma
even	sax
even though	montar
evening	ngoon
event	xew-xew
eventually	ci mujjantal ba
ever	saa su ne
every	bu nekk
everybody	ñépp
everyone	ku ñàkk jëkëram
everything	lépp
evidence	seede
evil	bon
evolution	yokkute
evolve	yokku
Ewe	Ewe
ex	ba woon
exact	noonu la
exactly	ci yoon
exam	xayma
examine	saytu
example	miliyong
exceed	ëpp solo
excellent	xereñ
except	ba mu des
exception	li bariwul
excess	ëpp
excessive	enteernet
exchange	wecce weccoo
excited	ràkkaaju
excitement	yënguteef
exciting	yëngal
exclusive	fës
excuse	lay
excuse me	baal ma
execute	def
execution	rey
executive	buy jël ndogal
exercise	tàggat tàggatu
exhaust	saqaar
exhausted	sonn
exhibit	fësal
exhibition	wone
exist	nekk
existence	dund
existing	nekk
exit	génne
expand	tas
expect	xaar
expected	xaar
expenses	dënnu
expensive	seer
experience	jaar-jaar
experiment	jéem
expert	xereñ
expired	jeex
explain	leer yeewu
explanation	leeral
exploit	deffar
explore	xool
export	yóbbu bitim réew
expose	fësal
exposed	feeñal
exposure	yoole
express	fësal
expression	waxin
extend	yaatal
extended	yokk
extension	yokk
extent	yaatuwaay
external	ci biti
extinct	fay
extra	bu ëpp
extract	genn wàll
extraordinary	jébbalu
extreme	sës rëkk
extremely	lu rëy
eye	bët
eyes	ay gët
fabric	yéré
fabulous	baax
face	kanaara
facilitate	yombalal
facilities	ay bërab yunu defar
facility	jumtukaay
fact	dëgg
factor	pàcc
factory	këru liggéeyukaay
facts	ay jëf
fade	sàppi
fail	lajj
failed	lajj lajjal
failure	làggil
faint	xëm
fair	yoon
fairly	tane
fairy	jinax
faith	ngëm
faithful	gel
fake	buy naxaate
fall	daanu
false	doywaar
fame	siiw
familiar	siiw
family	njaboot
famine	xiif
famous	siiw
fan	soppe uppukaay
fancy	bëgg
fantastic	baax na
far	sore
farewell	tàggatoo
farm	tool
farmer	beykat
fascinating	rafet
fashion	colko
fast	gaaw
fat	reye
fatal	lu mën a nekk
fate	mujj am diir
father	baay
fatigue	coono sonnal
fault	njuumte
favorite	bi la gënal
favour	ndimbal
favourite	sopp
fear	ragal tiital
feast	beerne
feather	dundal xont
feature	melokaan defar
features	melo jëmmal
february	fewriyé
fed up	doy waar
fee	payoor
feed	dundaat
feedback	ceytu
feel	yëg
feeling	yëg-yëg
feet	ay tànk
fell	daanuwoon
fellow	naatangoo
felt	yëggoon
female	jigéen
fence	ñag
fertile	mën a jënd
festival	xawaare
fetch	dem wuti
fever	tàngooru yaram
few	tuuti
fewer	tuuti
fiance	coro
fiction	lu yées
field	tool yar
fierce	soxor
fifteen	fukk-ag-juróom
fifty	juróom-fukk
fight	xeex
fighting	xeex
figure	lim
figure out	woññ bu baax
file	rang
fill	sol
filled	feesal
film	fiiriir
filthy	tilim
finally	ci mujjantal
finance	kóolute wóolu
financial	mbir jaaxle
find	gis
find out	gis
fine	baax
finger	baaraam
finish	jéemoon
finished	jeexal
fire	safara taal
firm	këru liggéeyukaay
first	njëkk
first name	tur
fish	jëmm
fit	jot
five	jur gi
fix	lijjaasa
fixed	defaroon
flag	raaya
flash	melax
flat	tàcc
flaw	yàqqu-yàqqu
flawless	mucc ayib
flee	daw
flesh	yàpp
flew	naawoon
flex	lem
flexible	woyof
flight	naaw
flip	depoo duggal
flirt	raay
flirting	riisoo
float	tëmb
flood	mbëkk
floor	dëppërñi
flour	farandoo
flow	dex
flower	tóor-tóor
flu	sibiru
fluent	leer
fluently	bu leer
fluffy	bari karaw
fluid	rogalaan
fly	naaw weñ
focus	jubluwaay jublu
fog	lay
foggy	làxukaay
fold	lekkoon
folks	nit ñi
follow	topp
follow up	tòpp
following	topp
food	lekk
fool	dof
foolish	nàkk
foot	tànk
football	football
for	pour
For example	ci misaal
for instance	ci misaal
for you	ngir yaw
forbidden	aaye
force	doole
forecast	gis gis-gis
forehead	jaxasoo dëpp
foreign	bu bitim réew
forest	àll
forever	ba fàww
forget	fàttaliku
forgive	baal
forgot	fàtte
fork	furnó lakk
form	melokaan
formal	jaar yoon
former	bi njëkkoon
fortunately	ci anam bu neex
fortune	alal
forty	ñeent-fukk
forty-two	ñeent-fukk-ag-ñaar
forward	dello
foster	doole
fought	xeexoon
found	gisoon
foundation	cosaan
four	ñeent
fourteen	fukk-ag-ñeent
fox	till
fragile	woyof
frame	wërale
framework	wërngël
fraud	nax
freak	njuuma
free	fees
freedom	moom
freeze	sedd
frequency	luwe
frequent	faral di am
frequently	lu ëpp
fresh	bees
friday	Ajjuma
fridge	firi
friend	xarit
friendly	àndak jàmm
friends	ay xarit
friendship	xaritoo
frightened	tiital
frightening	raglu
frog	mbote
from	joge ci
front	jakkaarloo
frozen	sèdd guy
fruit	firnde
frustrated	mer
fuel	gaaraas taxawal
Fulfulde	Fulfulde
full	feeñoon
fun	po
function	dóor ndam
fundamental	cëslaay
funeral	déj
funny	reetlu
fur	leen
furious	mer
furniture	ay mëebal
further	bu yaatu dooleel
furthermore	rax ci dolli
future	ëllëg
gain	ndam am ndam
game	po
gap	kalpe
garage	gaanuwaay
garbage	mbalit
garden	tool
garlic	laaj
gate	bunt
gather	dajale
gathering	dajale
gauge	natt
gave	joxe lekk
gear	jumtukaay
gender	góor
general	bu yaatu
generally	ci yaatal
generate	junni
generation	jamono
generous	la
genius	muus
genre	xeet
gentle	rafet
genuine	bu dëggu
gesture	yënguteef
get	jot
get dressed	solu
get up	jiwu
get well soon	tane léegi
getting	am
ghost	démb
ghosting	dakkal
ghosting	ñuuma
giant	gàncax
gift	neexal
ginger	dindi
girl	xale bu jigéen
girlfriend	géj naa laa gis
give	jox
give up	bàyyi
given	joxe
glad	bég
glance	séen
glass	kaarànge
glasses	ay weer
glimpse	séen
global	lu wër àdduna
gloomy	lëndëm
gloves	gaal
glow	tàkk-tàkk tàkk
glow up	melax
glue	ko mu ngi
go	dem
go ahead	ayca
go away	demak dikk
go to bed	tëddi
goal	jubluwaay
goals	ay jubluwaay
goat	bëy
god	yàlla
god bless you	yal na la Yàlla sàmm
goes	dem
going	dem
going to	dem
gold	wurus
gone	dem
gonna	dem
goo	lu faral di am
good	baax
good afternoon	ngoonu jàmm
good bye	ba beneen
good day	bésub jàmm
good evening	ngoonu jàmm
good job	waaw góor
good looking	nekk ci jàmm
good luck	wërsëgu jàmm
good morning	subag jàmm
good morning my love	naka suba si sama soppe
good night	fanaan ak jàmm
goodbye	ba beneen
goodnight	fan nga nekk
goods	ay bagaas
Google	Google
Google Translate	Tekki ci Google
goose	kanaara
gorgeous	taaru
gossip	jëriñoo
got	amoon
got it	jot
government	nguur
grab	jàpp
grade	tolluwaay
gradually	ndànk-ndànk
graduate	am lijjaasa
grain	pepp
grant	may
granted	màtt-màtt màtt
grapes	reseng
grasp	ebinal
grass	ñax
grateful	am kóllëre
gratitude	kol
grave	bàmmel
gray	baan
great	neex na
greed	foos
greedy	fowukaay
green	nëtëx
greet	nuyu
greeting	nuyoo
greetings	ay nuyoo
