ၼိူင်ႈဢၼ်	a
တၢင်ႇလဝ်ႈၼႃႈၵၢၼ်	application
ႁဵတ်းလႆႈ	apply
တၼ်းႁဵင်း	appointment
ၼႃႈၵၢၼ်	appointment
ၶဵၼ်းၵၼ်	appointment
ႁူမ်ၸူမ်းၸွမ်း	appreciate
ၸႅင်ႈလီလီ	appreciate
ႁူႉႁၼ်ၸႅင်ႈလီ	appreciation
ၶဝ်ႈၸမ်	approach
ဢၼ်သၢင်ႇတေႃႇ	appropriate
ၵမ်ႉႁပ်ႉတေႃႇ	approval
ႁပ်ႉႁွင်း	approve
မၵ်ႉမၼ်ႈပၼ်	approved
တိုၼ်းပဵၼ်ဝႆႉ	approximately
လိူၼ်သီႇ	april
ၵႃႉၶၢႆ	arbitrary
လၢႆးမိုဝ်းၵေႃႇၵၢႆႇ	architect
ႁၢင်ႊၽၢင်ႁူင်းၵေႃႇၵၢႆႇ	architecture
တီႈၵႂၢၼ်းမၢႆမီႈ	archive
ပဵၼ်	are
သူႁႃႉ	are you
ၸွင်ႇသူမၢင်ႉႁိုဝ်	are you busy
သူၵူပ်းၵူႈယဝ်ႉႁႃႉ	are you married
သူမီးၼႃႈႁိူၼ်းယဝ်ႉႁႃႉ ဢမ်ႇၼၼ် လွတ်ႈလႅဝ်း	are you married or single
သူတိုၵ်ႉမီးတီႈၼႆႈယူႇႁႃႉ	Are you still there?
သူမီးၼၼ်ႉႁႃႉ	are you there
လႅၼ်ႊတီႈ	area
ထဵင်ၵၼ်	argue
ထဵင်ၵၼ်	argument
ယုၵ်ႉၶိုၼ်ႈ	arise
ၶႅၼ်	arm
တပ်ႉသိုၵ်း	army
ႁိမ်းႁွမ်း	around
ၶပ်းၶိုင်	arrange
ၵၢၼ်ၸတ်းပွင်	arrangement
ႁွတ်ႈထိုင်	arrival
ထိုင်မႃး	arrive
ႁွတ်ႈထိုင်	arrived
ၸႂ်ၵႂ်ႊ	arrogant
မၢၼ်ႇယႂ်ႇ	arrogant
ပိုၼ်ၵၢင်ႇ	arrow
ပၢႆးတႅမ်ႈႁၢင်ႊ	art
လိၵ်ႈပိုတ်ႇ	article
ပၼ်ႇႁူဝ်	artificial
မေႃပၢၼ်းသီ	artist
ဢမ်ႇၸႂ်ႈသင်	as
ႁိုင်ၵႃႊႁိုင်	as long as
ယဝ်ႉၵေႃႈ	as well
လႄႈတင်း	as well as
တဝ်	ash
လီဢၢႆ	ashamed
ထၢမ်	ask
ထၢမ်	asked
ငဝ်ႈၼွၼ်း	asleep
ႁၢင်ႊၽၢင်	aspect
ၶိူဝ်းဢႃႇသမ်ႇ	Assamese
ပႃးတိၼ်ပႃးမိုဝ်း	assault
ႁူမ်ႈတုမ်	assembly
ဝႃႈတေႉတေႉ	assertive
ၶၢတ်ႈလၢမ်း	assess
ထတ်းတိၼ်	assessment
လမ်ႉၵတ်ႉမီးၶၼ်	asset
ၶေႃႈလႆႈၸႂ်	assets
မႅင်ႇၵၢၼ်	assign
ၵၢၼ်ႁဵၼ်း	assignment
ဢၢပ်ႇပၼ်ပုၼ်ႈၽွၼ်း	assignment
ၵမ်ႉၵူ	assist
ၵူၼ်းၸွၺ်ႈ	assistant
ၼိူင်းတူၺ်း	associate
ႁူမ်ႈႁွမ်း	associated
ဝူၼ်ႉၸၢပ်ႈ	association
ႁပ်ႉႁၼ်	assume
ႁပ်ႉႁၼ်	assumption
တီႈ	at
တီႈဢေႇသုတ်း	at least
ၵိၼ်	ate
လႅၼ်ႈၶႄႉ	athlete
သႂ်ႇၸွမ်း	attach
မတ်ႉၸပ်းဝႆႉ	attached
ၵွင်ႉၵဵဝ်ႇၵၼ်	attachment
ၶဝ်ႈတိုၵ်း	attack
တၢင်းၶတ်းၸႂ်	attempt
ၶတ်းၸႂ်	attempt
ၶိုၼ်ႈႁွတ်ႈ	attend
ၶိုၼ်ႈႁွတ်ႈ	attendance
ၶဝ်ႈၸႂ်	attention
တၢင်းႁပ်ႉႁၼ်	attitude
ၸၼ်ၸႂ်	attract
ၸၼ်ၸႂ်	attraction
ၸၼ်ၸႂ်	attractive
မၢႆတွင်းဢဝ်	attribute
ၵူၼ်းပၼ်ႁႅင်း	audience
လိူၼ်ပႅတ်ႇ	august
ပႃႈ	aunt
ပႃႈ	aunty
ဢၼ်တေႉ	authentic
ၸၢႆးၸိူင်း	author
ႁႅင်းပွင်ႊ	authority
ၶၢဝ်းႁုၼ်ႈ	autumn
ၸၢင်ႊလႆႈ	available
ပၢၼ်ၵၢင်ဢၼ်ၽတ်ႉၽဵင်ႇ	average
ငိူင်ႉဝႄႈ	avoid
တူင်ႉတိုၼ်ႇ	awake
သူးတွၼ်ႈ	award
ဢၼ်ႁူႉ	aware
ၽိုၼ်ႉႁူႉၶိုၼ်း	awareness
ႁူႉပွင်ႇလႆႈလီ	awareness
ၵႆၵႆ	away
ၶႅမ်ႉ	awesome
ႁူၵ်းႁၢႆႉ	awful
ဢၼ်ထုၵ်ႇမႅၼ်ႈၸႂ်	awkward
ၶိူဝ်းဢႅမ်ႇမြႃႇ	Aymara
လုၵ်ႈဢွၼ်ႇ	baby
ၸုမ်ႈၶူး	bachelor
တၢင်းလင်	back
ပွၵ်ႈၶိုၼ်း	back
ပိုၼ်ႉလင်	background
ဢၼ်ဢမ်ႇလီ	bad
ထူင်	bag
ယိူဝ်ႇပႃ	bait
တူမ်ႈၾႆး	bake
ၵူၼ်းႁဵတ်းၶဝ်ႈမုၼ်း	bakery
ၽွင်သူဝ်ႇတႃႇ	baking soda
ၵွၼ်းၵိူင်ႇ	balance
မၢၵ်ႇၼင်လွမ်ႊ	ball
ၶိူဝ်းပႅမ်ႇပြႃႇ	Bambara
ၵူၺ်ႈ	banana
လိဝ်	band
တႅၼ်ႇတိုင်ႉတိုင်ႉ	bang
ယေးငိုၼ်း	bank
ႁၢၼ်ႉလဝ်ႈ	bar
ဢိတ်ႉဢီႈ	barely
သဵတ်ႈငိုၼ်း	bargain
သဵၼ်မႃႁွၼ်	bark
မႃႁွၼ်	bark
ဢိတ်းဢီႈ	barley
လႅၼ်ႊတီႈပၼ်ႁူမ်ႇလူမ်ႈ	barrier
ပိုၼ်ႉတႂ်ႈ	base
ဢိင်ႈ	based
ထၢပ်ႈတႂ်ႈလိၼ်	basement
ပိုၼ်ႉထၢၼ်ႈ	basic
ပိုၼ်ႉထၢၼ်ႈလီ	basically
ၽၵ်းလိူၼ်းၵလႃး	basil
လုၵ်ႈဢၼ်ၵိူတ်ႈမႃး ပႆႇၶဝ်ႈၶႂၢင်ႇတြႃး	bastard
ၸုပ်ႈ	batch
ဢၢပ်ႇၼမ်ႉ	bath
ႁွင်ႈၼွၼ်း	bathroom
မၢၵ်ႇထၢတ်ႈ	battery
ပၢင်တိုၵ်း	battle
မႃႁဝ်ႇ	bay
ပဵၼ်	be
ၾၢင်ႉတူဝ်လီ	be careful
ၾင်ႇပၢင်ႇလၢႆႇ	beach
သၢႆလႅင်း	beam
ထူဝ်ႇ	beans
မီ	bear
မွၺ်ၵၢင်း	beard
လွင်ႈႁဵတ်းသၢင်ႈ	bearing
တူဝ်သီႇတိၼ်	beast
ပေႉပၢင်လွင်း	beat
လွင်ႈလူႉသုမ်း	beat
ႁၢင်ႊလီ	beautiful
ႁၢင်ႊလီ	beauty
ပဵၼ်မႃး	became
ၵွပ်ႈပိူဝ်ႈဝႃႈ	because
ပဵၼ်မႃး	become
ၵူႇ	bed
ႁွင်ႇ	bedroom
ၽိုင်ႈ	bee
ၼိူဝ်ႉဝူဝ်း	beef
ၽႅဝ်ၸူဝ်ႈ	been
လဝ်ႈပူၵ်ႇ	beer
ဢွၼ်တၢင်းၼႆႉ	before
တႄႇႁဵတ်း	began
တႄႇ	begin
ႁူဝ်တႄႇ	beginning
တၢင်တူဝ်	behalf
တၢင်းယၢမ်ႈ	behave
တၢင်းယၢမ်ႈ	behavior
ၽိင်ႈယၢမ်ႈလီ	behaviour
တၢင်းလင်	behind
ပဵၼ်ယူႇ	being
ယုမ်ႇ	belief
ယုမ်ႇ	believe
ဢႅင်ႈ	belly
ၶွင်ၶဝ်	belong
ႁၵ်ႉႁႅင်းၼႃႇ	beloved
တင်းတႂ်ႈ	below
သၢႆၵႅတ်	belt
တင်ႇယၢဝ်း	bench
ၵူင်ႇ	bend
ဢမ်ႇထိူၵ်ႈ	beneath
သၢင်ႈလီ	benefit
ၽွၼ်းလီ	benefit
ၽွၼ်းလီ	benefits
ႁိမ်းၶၢင်ႈ	beside
ၵူၺ်းၵႃႊ	besides
လီထီႈသုတ်း	best
သုၼ်ႇလီႁႅင်း	best of luck
ယွၼ်းသူးပၼ်ယူႇ	best regards
လီလိူဝ်သေ	better
ၼႂ်းၵႄႈၵၢင်	between
လဝ်ႈၶူၼ်း	beverage
ၽၢႆႇပုၼ်ႉ	beyond
ၶိူဝ်းပူဝ်ႉၽူႇဝႃႇရီႇ	Bhojpuri
ၸွမ်းပႃႈၸွမ်းၽၢႆႇ	bias
ၸပ်းၽၢၵ်ႇ	biased
လႅင်	bicycle
ၵၢတ်ႇႁိမ်သိုဝ်ႉ	bid
ယႂ်ႇ	big
လူတ်ႉထိပ်ႇ	bike
ငိုၼ်းၸၢႆႇ	bill
မတ်ႉ	bind
ၼူၵ်ႉ	bird
ဝၼ်းၵိူတ်ႇ	birthday
ဢိတ်းၸႅတ်ႉ	bit
ၵၢပ်ႈ	bite
ၶူမ်	bitter
သီလမ်	black
ၶူမ်းၾႃႉ	blade
ႁႃတၢင်းၽိတ်း	blame
လွင်ႈႁႃတၢင်းၽိတ်း	blame
လွၵ်းပဝ်ႇ	blank
ၽႃႈတၢၼ်း	blanket
တႅၵ်ႇ	blast
ႁဵတ်းႁႂ်ႈၽိူၵ်ႇ	bleach
ၶဝ်ႈၶိုင်	blend
ယွၼ်းသူးပၼ်	bless
ယွၼ်းသူးပၼ်	blessed
တႃမွတ်ႇ	blind
ၸူမ်းသိူဝ်း	bliss
ဢိုတ်းပႅတ်ႈ	block
လိူတ်ႈ	blood
မွၵ်ႇၵီႊ	bloom
ပဝ်ႇလူမ်း	blow
သီသွမ်ႇ	blue
ငိူဝ်ႈ	blunt
ပႅၼ်ႈ	board
ႁိူဝ်း	boat
တူဝ်ၶိင်း	body
ၽူတ်း	boil
ၼႃဝႆႉ	bold
လိၵ်ႈၵိၼ်ၵႅၼ်ႇ	bond
လုပ်ႇ	bone
မၢႆဝႆႉ	book
ပပ်ႉလိၵ်ႈ	book
သၢင်ႈႁႂ်ႈမႂ်ႇသုင်	boost
သွၵ်းတိၼ်ယၢဝ်း	boost
ဢၼ်ႁဵတ်းသၢင်ႈ ၶိုၼ်ႈယႂ်ႇ	booster
ၵဵပ်းမူၵ်ႇ	boot
ၵႅပ်းမူၵ်ႇ	boots
ၵေႃႉသေႈ	border
ၶၢၼ်ႉ	bore
ဢၼ်လီၶၢၼ်ႉ	bored
လွင်ႈၶၢၼ်ႉ	boring
ၵိူတ်ႇ	born
ၸေႇ	borrow
ထႅၼ်ႊ	boss
ပေႃႈလဵင်ႉ	boss
တင်းသွင်ဢၼ်	both
ပၼ်ၸႂ်သုၵ်းသၢၵ်ႉ	bother
တဝ်ႈ	bottle
တီႈတႂ်ႈ	bottom
သိုဝ်ႉ	bought
ၵျွၵ်းဝႅၼ်	bounce
ဢွင်	bound
လႅၼ်ႊလိၼ်	boundaries
ၵၢင်ႇ	bow
ဢၢင်ႇ	bowl
တိူၵ်ႈ	box
ဢွၼ်ႇၸၢႆး	boy
ၵေႃႉႁၵ်ႉ	boyfriend
ဝႅၼ်	bracelet
ဢွၵ်းဢေႃ	brain
ၵိင်ႇၶႃႊ	branch
မိၵ်ႈမၢႆ	brand
ႁတ်းႁၢၼ်	brave
ယႃႉၵႂၢမ်းမၼ်ႈ	breach
ၶဝ်ႈမုၼ်း	bread
လူႉလႅဝ်	break
လွင်ႈတႅၵ်ႇယၢႆႈ	break
ၶဝ်ႈပၼ်ႈ	breakfast
ဢူၵ်း	breast
ထူၺ်ႈၸႂ်	breath
ထူၺ်ႈၸႂ်	breathe
လဵင်ႉလူ	breed
မၢၵ်ႇဢုတ်ႇ	brick
ၸဝ်ႈသၢဝ်	bride
ၶူဝ်	bridge
တီႈပွတ်း	brief
ႁိူင်ႈလႅင်း	bright
လႅတ်းၽၢႆ	brilliant
ဢဝ်မႃး	bring
သြႃႇၵေႃႉ	bro
တဵမ်ထူၼ်ႈ	broad
ႁူင်းပွၺ်ႇသဵင်	broadcast
လူႉလႅဝ်	broke
လူႉလႅဝ်	broken
ၸဝ်ႈမၢဝ်ႇ	broom
ၸၢႆး	brother
ၼွင်ႉၶူၺ်	brother in law
တေႃႉမႃး	brought
သီၶွၼ်ႇ	brown
ယူႈ	brush
ပုင်းၼမ်ႉ	bucket
ၵေႃႉသေႈ	buddy
ငိုၼ်းၸႂ်ႉ	budget
မူင်ႈမႅင်း	bug
ၵေႃႇသၢင်ႈ	build
ႁူင်းၵေႃႇသၢင်ႈ	building
ၵေႃႇသၢင်ႈ	built
ႁူဝ်ၼပ်ႉ	bulk
ၵႂၢၺ်း	bull
ပေႉၵိၼ်	bully
တွင်ႈၸူဝ်ႈ	bump
ပဵၼ်ၶေႃႈ	bunch
ႁဵတ်းပဵၼ်ၸွၵ်းပဵၼ်ၸွၵ်း	bundle
ႁၢပ်ႇ	burden
ၶူဝ်းၼၵ်း	burden
ၽင်	buried
ၸုတ်ႇၾႆး	burn
ယူႈ	burst
ၽင်	bury
လူတ်ႉၸၢင်ႈ	bus
တဝ်ႉ	bush
ပၢႆးမၢၵ်ႈမီး	business
ယႃႉလူႉ	bust
မၢင်ႉ	busy
ၵူၺ်းၵႃႊ	but
ၶႆၼိူၺ်း	butter
ၵၢပ်ႇဝိူဝ်ႈ	butterfly
ပွတ်းတႂ်ႈ	button
သိုဝ်ႉ	buy
ႁိမ်းၶၢင်ႈ	by
ႁေၵေႃႈ	by the way
မွၼ်းမွၼ်း	bye
ၽၵ်းၵၢတ်ႇပီ	cabbage
ၶွင်ႈထွတ်ႇ	cabinet
ၶွၵ်ႈၼူၵ်ႉ	cage
ၶဝ်ႈမုၼ်း	cake
ဢေဝူဝ်း	calf
သိုပ်ႇၾူၼ်း	call
လွင်ႈႁွင်ႉလၢတ်ႈ	call
သိုပ်ႇၾူၼ်းၸူးႁဝ်းလႄႈ	call me
ႁွင်ႉ	called
ယဵၼ်ယဵၼ်	calm
မႃး	came
ပၢင်တိုၵ်း	campaign
မေႃႁဵတ်း	can
ဢမ်ႇမေႃ	can't
ႁူၼ်ၶိုၼ်း	Cancel
တၢင်းပဵၼ်ယင်ႇႁၢၵ်ႈ	cancer
လမ်ႉၵတ်ႉလူင်းမိုဝ်း	capable
လူင်ႉလႅၼ်ႇ	capable
လမ်ႉၵတ်ႉ	capacity
ယႂ်ႇ	capital
လိၵ်ႈၼေ	caption
တီႉ	capture
လူတ်ႉ	car
ၵူၼ်းႁဵတ်းၵၢၼ် ႁူမ်ႈၵၼ်	career
တူၺ်းထိုင်	careful
ၽၢင်ႉလီလီ	carefully
ဢမ်ႇမီးတၢင်းၾၢင်ႉ	careless
တူၺ်းထိုင်ဝႆႉ	caring
မေႃမိုဝ်း	carpenter
ၽႃႈသိူဝ်ႈ	carpet
ႁူဝ်ၽၵ်းပၵ်း	carrot
တေႃႉ	carry
ဢဝ်မႃးလႄႈ	carry on
တေႃႉဢွၵ်ႇ	carry out
လွင်ႈတၢင်း	case
ၸၢႆႇၵႃႊ	cash
ထၢင်ႇ	cast
ႁေႃတမ်ႇတိူင်း	castle
ဢမ်ႇထၢင်ႇသေ ပဵၼ်	casual
မႅဝ်	cat
တီႉ	catch
ဢမ်ႇဝႆႉလၢမ်	category
ဝူဝ်းၵႂၢၺ်း	cattle
ၺွပ်း	caught
တွၼ်း	cause
ပေႃႇပဵၼ်မႃး	cause
ၽၢင်ႉ	caution
မီးၸႂ်ၾၢင်ႉ	cautious
ႁူႈထမ်ႈ	cave
ၵိုတ်း	cease
ၽႃမုင်း	ceiling
ႁဵတ်းပွၺ်း	celebrate
တွမ်ႇတွမ်ႊ	cell
သုၼ်ၵၢင်	center
ႁူဝ်ပၢၵ်ႇပီႊ	century
ၶဝ်ႈမုၼ်းၶွပ်ႈ	cereal
ပၢင်ပွၺ်း	ceremony
ဢၼ်တႄႉ	certain
လပ်းလွင်း	certainly
ၽိုၼ်ယွင်ႈယေႃး	certificate
ၸႅင်ႊလဵၵ်း	chain
တင်ႇ	chair
လွင်ႈၶဵင်ႇတႃႉ	challenge
ၶဵင်ႉတႃႉ	challenge
သုၼ်ႇ	chance
လႅၵ်ႈလၢႆႈ	change
ငဝ်းလၢႆးပႅတ်ႈလၢႆႊ	chaos
တၢင်းယၢမ်ႈ	character
ၽိင်ႈယၢမ်ႈ	characteristics
သႂၢင်း	charge
ၸုမ်းၸွၺ်ႈတူင်ႇၵူၼ်း	charity
ၸၼ်ၸႂ်	charming
ၽိုၼ်လွၵ်းႁၢင်ႊ	chart
ၶႅၵ်ႉႁၢင်ႊ	chase
ဢုပ်ႇၶႆႊ	chat
ၶေႃႈဢုပ်ႇၼိူဝ်ၼႅင်ႊ	chat
ပေႃး	cheap
ပႅတ်းလႅၼ်	cheat
ႁၵ်းလင်	cheat
ႁၵ်းလင်	cheating
လွင်ႈၵူတ်ႇထတ်း	check
ထတ်းသၢင်ႈတူၺ်း	check
ၵႅမ်ႈ	cheek
သူၺ်ႉသူၺ်ႉ	cheer
ၸူမ်းၸွမ်း	cheerful
သူၺ်ႉ	cheers
မၼ်းၼူမ်းၵၢမ်ႈ	cheese
ပၢႆးပိုတ်ႇထၢတ်ႈ	chemistry
ႁၵ်ႉထိုင်ဢူၵ်း	cherish
လွၵ်းၵႆႇ	chess
ဢူၵ်း	chest
ယႅမ်ႉ	chew
ၼိူဝ်ႉၵႆႇ	chicken
ၵူၼ်းလူင်	chief
လုၵ်ႈဢွၼ်ႇ	child
ပၢၼ်လုၵ်ႈဢွၼ်ႇ	childhood
လုၵ်ႈဢွၼ်ႇ	children
ၶူပ်ႉလၢင်ႈ	chill
လွင်ႈၸပ်းၵတ်း	chill
လွၵ်ႇပိူၼ်ႈ	chill
မူၵ်ႇၵွၼ်းၾႆး	chimneys
ၵွင်ႈၵၢင်း	chin
သေႃႉၵလႅၵ်ႉ	chocolate
လိူၵ်ႈ	choice
လိူၵ်ႈ	choose
တႅပ်း	chop
ၵၢၼ်ႁိူၼ်းၵၢၼ်ယေး	chores
ပီးပုၵ်ႉ	chubby
ၵျွင်းၾႃႉၸဝ်ႈ	church
မွတ်ႈ	cinnamon
တူင်ႇမူၼ်း	circle
သၢႆငၢႆ	circumstances
ၵူၼ်းမိူင်း	citizen
ဝဵင်းလူင်	city
ႁပ်ႉႁွင်း	claim
သုၼ်ႇဢၼ်ထိူၵ်ႈလႆႈ	claim
မီးၸႂ်လီ	clarify
ႁွင်ႈႁဵၼ်း	class
လိၼ်	clay
ၵဵင်ႈသႂ်	clean
လၢင်ႉ	clear
တႅမ်ႈလိၵ်ႈ	clerk
လႅတ်းသႅဝ်း	clever
ၶၢဝ်ႊၾႃႉ	client
ႁႃႉႁိုၵ်း	cliff
ၶၢဝ်ႊၾႃႉ	climate
ၶိုၼ်ႈ	climb
ၸပ်း	clingy
ဢွမ်မူင်း	clock
