a little	сахал
comfort	комфорт
comfortable	хăтлă
coming	çывхаракан
coming soon	часах килекенни
command	команда
comment	комментари
commercial	коммерци
commission	комисси
commit	хуш
commitment	обязательство
committed	тивĕçе хăй çине илекен
commodity	тавар
common	пĕрлехи
communicate	хутшăн
communication	коммуникаци
community	общество
commute	ĕçе кай та кил
companion	компаньон
company	компани
compare	танлаштар
comparison	танлаштару
compassion	хӗрхенӳ
compassionate	хĕрхенекен
compatible	пĕр евĕрлĕ
compete	ӑмӑрт
competent	компетентлă
competition	ӑмăрту
competitive	конкурентлӑ
complain	ӳпкеле
complaint	çăхав
complement	комплектла
complement	комплектаци
complete	тулли
completely	пĕтĕмпех
complex	комплекс
compliance	ӳпкев
complicated	кăткăс
compliment	мухтани
comply	килĕшсе тăр
composition	хайлав
compound	япала
comprehension	ăнлану
comprehensive	анлă
compromise	çураçу
compromise	шухăшсене çураçтарни
compulsory	мĕнле пулсан та
computer	компьютер
concentrate	концентрациле
concept	концепци
concern	ăшталану
concern	ăшталан
concerned	хутшăннă
concert	концерт
conclusion	пĕтĕмлетӳ
concrete	бетонла
concrete	бетонлă
concrete	бетон
condition	услови
conditions	условисем
conduct	ирттер
conference	конференци
confess	чăннине кала
confidence	шанни
confident	шанăçлă
confirm	çирĕплет
conflict	хирĕçни
confused	именчĕк
confusion	именӳ
congrats	саламсем
congratulation	саламлани
congratulations	салам сăмахĕсем
conjunction	ҫыхӑнса тӑни
connect	çыхăнтар
conquer	çĕнсе ил
conscious	ăнкаруллă
consciousness	тăн
consent	килӗш
consent	килӗшӳ
consequences	юлашкисем
conservation	консервласси
conservative	консервативлă
consider	шутла
considered	пăхса тухнă
consist	тăр
consistency	килӗшӳ
consistent	вырăнлă
constant	яланхи
constantly	ялан
constipation	вар хытни
construction	строительство
consume	пĕтер
consumption	усă курни
contact	çыхăну
contact	çыхăну тыт
contagious	ерекен
contain	тытса тă
contains	пур
contemporary	хальхи
contempt	шута хуманни
content	шалашĕ
contest	ӑмăрту
context	контекст
continent	континент
continue	малалла тăс
contract	договор ту
contract	договор
contrast	уйрăмлăх
contrast	уйăр
contribute	хыв
contribution	тӳпе хывни
control	тĕрĕслев
controversial	тавлă
convenience	меллĕх
convenient	меллĕ
conversation	калаçу
convert	улшăннă
convert	улăштар
convey	турттар
convince	ĕнентер
convinced	ĕненнĕ
cook	повар
cook	пӗҫер
cooking	пĕçерекен
cool	чаплă
cool	сулхăн
cooperation	пĕрле ĕçлени
cope	ҫӗн
copper	пăхăр
core	вар
corn	керпе пĕрчи
corner	кĕтес
correct	тĕрĕс
cost	хак
cost	тăр
costume	костюм
cottage	коттедж
cotton	çĕр мамăкĕ
couch	кушетка
cough	ӳслӗк
could	пултарчĕ
council	канаш
count	шутла
counter	счетчик
country	çĕршыв
countryside	ял вырӑнӗ
couple	мăшăр
courage	хастарлӑх
course	курс
court	суд
courtesy	сапăрлăх
cousin	иккӗмӗш сыпӑкри тӑван
cover	вит
cow	ĕне
coward	хăравçă
cozy	хăтлă
crab	чăрмала
crack	çур
crack	çурăк
craft	карап
crap	ӑпӑр-тапӑр
crash	аркану
crash	аркат
craving	антӑхакан
crawl	шуни
crazy	ухмаха ернĕ
create	ту
creative	творчествăлла
credit	кивҫен
creep	шуса пыр
creepy	шăвакан
crew	ушкăн
crime	преступлени
cringe	вăтан
cringe	вăтанăç
crisis	кризис
criteria	критери
critical	пысăк пĕлтерĕшлĕ
criticism	критицизм
crop	çитĕнтерекен культура
crops	тырӑ
cross	хĕресленни
cross	урлӑ каҫ
crow	кăранклатни
crowd	ушкăн
crowded	тулли çын
crown	корона
crucial	чи кирли
cruel	хаяр
cruise	çул çÿрев
crush	çĕмĕрни
crush	çĕмĕр
cry	йĕр
cucumber	хăяр
cuddle	çумна пăчăрта
culture	культура
cunning	чее
cup	чей курки
cupboard	шкап
curb	бордюр
cure	сипле
cure	сиплев
curfew	комендант сехечĕ
curiosity	пурне те пĕлме тăрăшни
curious	кăсăкланакан
curly	кăтра
currency	валюта
current	хальхи
currently	халӗ
curse	ятла
curtain	карă
cushion	минтер
custom	йăла
customer	заказчик
customs	йăла
cut	кас
cut	касăк
cute	ҫивӗч
cycle	цикл
cycling	çаврăм
dad	аттеçĕм
daddy	аттеçĕм
daily	кулленхи
dairy	дневник
dam	дамба
damage	сиенле
damage	сиен
damn	хурла
damp	нÿрĕк
dance	ташла
danger	хăрушлăх
dangerous	хăрушă
dark	тĕттĕм
darling	савнă
dash	тире
data	кăтартусем
date	тĕл пулу
date	вăхăт
daughter	хĕр
day	кун
dead	вилнĕ
deadline	юлашки вăхăт
deaf	хăлхасăр
deal	çураçу
deal	ҫыхлан
dear	хаклă
Dear All	Хисеплĕ Юлташсем
Dear Customer	Хисеплĕ клиент
Dear Parents	Хисеплĕ Атте-Анне
Dear Sir	Хисеплĕ Хуçа
Dear students	Хисеплĕ студентсем
Dear Team	Хисеплĕ Команда
death	вилӗм
debate	дебатсем
debit	дебит
debris	ванчăк япаласем
debt	парăм
decade	декада
decay	ҫӗрӗклӗх
deceased	вилнӗ ҫын
deceive	ултала
december	раштав уйăхĕ
decent	ĕретлĕ
decide	шут тыт
decided	татса панă
decision	йышăну
deck	палуба
decline	тайăлтар
decrease	чакар
dedicated	уăрса хунă
dedication	халал
deed	ӗҫ
deep	тарăн
deer	пăлан
default	дефолт
defeat	хÿтĕлев
defeat	хÿтĕле
defend	хÿтĕле
define	палăрт
definitely	паллă
definition	палăрт
degree	степень
delay	чарӑн
delay	чарӑнса тӑни
delayed	кая юлни
delete	хурат
deliberate	юри тунӑ
delicate	чечен
delicious	техĕмлĕ
delight	хавхалан
delighted	хĕпĕрчĕк
deliver	кÿрсе пар
delivered	илсе килнӗ
delivery	килсе пар
demand	ыйтать
demand	ыйтни
demanding	ыйтакан
democracy	демократи
demon	усал сывлăш
demonstrate	кăтарт
denied	килӗшмерӗ
density	тачӑлӑх
dentist	шăл тухтăрĕ
deny	ан йышăн
department	отделени
departure	кайни
depend	пӑхӑн
deploy	вырнаҫтарса тух
deposit	депозит
deposit	депозит хыв
depressed	пусăрăнчăк
depression	депресси
depth	тарăнăш
describe	сăнласа пар
description	сăнарласа пани
desert	пушхир
deserve	тивĕçлĕ пул
design	туса хатĕрле
design	конструкци
designation	паллă туни
desire	кăмăл
desire	сун
desk	çыру сĕтелĕ
despair	шанӑҫсӑрлӑх
desperate	шанчăксăр
despite	шута хумасăр
dessert	пылак çимĕç
destination	çитме тивĕçлĕ вырăн
destiny	шăпа
destroy	çĕмĕр
destruction	аркату
detail	деталь
details	даннӑйсем
detect	асăрха
determination	палăртни
determine	палăрт
determined	паллă
devastated	намăслантарнă
develop	аталантар
developed	аталаннă
development	аталану
device	прибор
devil	шуйттан
devoted	парăннă
Dhivehi	Дивехила
diabetes	диабет
diarrhea	диаррея
diary	дневник
dictionary	сăмахсар
did	тунă
die	вил
died	вилнĕ
diet	диета
difference	уйрӑмлӑх
different	тĕрлĕ
difficult	йывăр
dig	чав
dignity	тивĕçлĕх
diligent	тӑрӑшуллӑ
dinner	апатланни
dip	чик
direct	тÿрĕ
direction	ен
director	директор
dirt	варала
dirty	таса мар
disable	сӳнтер
disabled	пултарайман
disappear	çухал
disappointed	шанчăка çухатнă
disaster	инкек
discard	утиле пар
discharge	пушат
discipline	йĕрке
discount	чакарни
discover	çĕнĕлĕх туп
discrimination	дискриминаци
discuss	сӳтсе яву
discussion	сӳтсе яву
disease	чир
diseases	чир-чĕрсем
disguise	маскировка ту
disgusting	йĕрĕнчĕк
dish	апат
dishes	апатсем
dismiss	ан йышӑн
dispatch	кай
display	дисплей
disposal	тĕп туни
dispute	сÿтсе явма
distance	хушă
distinct	уçă
distinguish	уйӑр
distress	инкек
distribution	пайлани
district	район
disturb	чăрмантар
ditch	канав
dive	чăм
diverse	тĕрлĕ енлĕ
diversity	нумай енлĕх
divide	пайла
divine	питĕ чаплă
divorce	уйрăлу
divorce	уйрăлма
dizzy	пуç çаврăннине туй
do	ту
do you	эсĕ
do you love me	эсĕ мана юрататăн-и
doctor	тухтăр
document	документ
doesn't	не
dog	йытă
Dogri	Догрила
doing	тăвакан
doll	пукане
domain	домен
domestic	килти
dominant	доминант
don't	мар
don't	ан
Don't worry	Ан пăшăрхан
donate	парнеле
done	тунă
donkey	ашак
dope	допинг
double	иккĕмĕш хут ту
double	иккĕмĕш хут туни
doubt	иккĕленӳ
doubt	иккĕлен
dough	чуста
down	аялта
download	уçласа ил
draft	малтан тун
draft	малтанлăха тунă
drag	эмел
drain	пушат
drama	драма
draw	ӳкер
drawer	туртмалли ещӗк
drawing	чертеж
dread	шарт сик
dream	ӗмӗтлен
dream	ӗмӗт
dress	кӗпе
drill	пӑрала
drink	ӗҫмелли
drink	ӗҫ
drive	машина çӳрет
drop	ӳкер
drop	тумлам
dropped	ӳкнĕ
drought	шăрăх
drunk	ӗҫрӗ
dry	типĕ
duck	кăвакал
dude	вĕçкĕнчĕк
due	пирки
due to	пула
dull	мăка
dumb	илтмен
dump	куча
duration	вӑрӑмлӑх
during	вăхăтӗнче
dust	тусан
duty	тивĕç
dwell	тăхтаса тăни
dying	сӳнекен
each	кашни
each other	пĕр-пĕрне
eager	антӑх
eagle	ăмăрткайăк
ear	хăлха
earlier	малтан
early	ир
earn	ĕçлесе ил
ears	хăлхасем
earth	çĕр
earthquake	ҫӗр чӗтрени
ease	çăмăллат
easily	çăмăл
east	тухаç
easy	çăмăл
eat	ҫи
eating	çиекен
economic	экономика
economy	перекетлĕх
edge	аякки
edit	тӳрлет
education	пĕлӳ илни
effect	витĕм
effective	ÿсĕмлĕ
efficiency	тухӑҫлӑх
efficient	тухăçлă
effort	вăй хуни
egg	çăмарта
eggplant	баклажан
ego	эго
eight	саккăр
eighteen	вун саккăр
eighty	сакăр вуннă
either	кирек
elaborate	ăнлантар
elbow	чавса
elder	аслăраххи
elderly	ват ҫын
elegant	элегантлă
element	элемент
elephant	слон
eleven	вун пĕр
eligible	законлă
eliminate	хурат
else	тата
embarrassed	именчĕк
embarrassing	именчӗклӗ
embrace	ҫавӑрса ил
emerge	çиеле тух
emergency	авари лару-тӑрӑвӗ
emotional	туйăмлă
empathy	эмпати
emphasis	палăртса калани
emphasize	палăрт
employee	ĕçлекен
employees	ĕçлекенсем
employer	ĕçпе тивĕстерекен
employment	ĕçлĕ пулни
empty	пушă
enable	ирĕк пар
encounter	тĕл пулни
encourage	хавхалантар
end	вĕçĕ
endangered	хӑрушлӑхра
endeavor	вăй хур
endurance	чăтăмлăх
endure	чăтса ирттер
enemy	тăшман
energy	энерги
engage	хутшăн
engaged	çырăннă
engagement	çураçу
engine	двигатель
engineer	инженер
English	Акăлчан
enhance	вăйлат
enjoy	киллен
enormous	капмар
enough	çителĕклĕ
ensure	шантар
enter	кĕр
entertainment	тĕлĕнмелле курăм
enthusiasm	хавхалану
enthusiastic	тулли хастарлăх
entire	пĕтĕмешле
entitled	ят панă
entity	пĕрлешĕв
entrance	кӗмелли вырӑн
entrepreneur	предприниматель
envelope	конверт
environment	йӗри-тавралӑх
envy	кӳлеш
epic	эпосла
epidemic	эпидемилле
equal	тан
equipment	оборудовани
equity	капитал
equivalent	эквивалент
eraser	пӑсмалли
error	йăнăш
escape	куçран çухал
especially	пушшех
essay	эссе
essence	тупсӑмӗ
essential	паха
establish	вырнаçтар
established	йышăннă
estate	пурлăх
estimate	хакла
estimated	хакланӑ
etc	тата ытти те
eternal	ӗмӗрлӗх
ethics	этика
evaluate	хакла
evaluation	хаклани
even	та
even though	çапла пулсан та
evening	каҫ
event	событи
eventually	кайран
ever	хăçан та пулсан
every	кашни
everybody	кашни
everyone	кашни
everything	веҫех
evidence	çирӗплетсе пани
evil	усал
evolution	эволюци
evolve	кӑларса яр
Ewe	Эвела
exact	тĕп-тĕрĕсси
exactly	чӑн
exam	экзамен
examine	экзамен тыттар
example	тĕслĕх
exceed	ирттер
excellent	питĕ лайăх
except	кăлар
exception	уйӑрни
excess	ытлашши
excessive	ытлашши
exchange	ылмаштарни
excited	çӗкленӳллӗ
excitement	хавхалану
exciting	хумхануллă
exclusive	пĕртен-пĕр
excuse	каçар
excuse me	каҫарсамӑр мана
execute	пурнӑҫла
execution	пурнӑҫланни
executive	ĕç тăвакан
exercise	вĕрен
exercise	хăнăхтару
exhaust	халтан яр
exhausted	вӑйран ÿкнĕ
exhibit	выставка экспоначӗ
exhibition	выставка
exist	пул
existence	пурри
existing	пур
exit	тухмалли
expand	сар
expect	кĕтсе тăр
expected	кĕтнĕ
expenses	тăкаксем
expensive	хаклă
experience	пĕл
experience	опыт
experiment	эксперимент
expert	эксперт
expired	иртнĕ
explain	ăнлантар
explanation	ăнлантару
exploit	усӑ кур
explore	тĕпче
export	экспорт
expose	витĕм кÿр
exposed	витӗм кӳр
exposure	витĕм
express	хӑвӑрт
expression	палăрăм
extend	тăс
extended	сарӑлнӑ
extension	сарăл
extent	виçе
external	тулашри
extinct	вилсе пĕтнĕ
extra	хушма
extract	экстракт
extraordinary	экстраодинарлă
extreme	экстремаллă
extremely	акăш-макăш
eye	куç
eyes	куç
fabric	пусма
fabulous	ăнтан каймалла
face	пырса тăрăн
face	пит
facilitate	пулӑш
facilities	хатĕрсем
facility	объект
fact	факт
factor	фактор
factory	фабрика
facts	фактсем
fade	шăпа
fail	ăнăçсăрлăх
fail	пут
failed	ӑнӑҫсӑр пулчӗ
failure	юсавсăрлăх
faint	тăна çухатни
fair	çутă
fair	тӳрĕ
fairly	кӑлтӑксӑр
fairy	фея
faith	ĕненӳ
faithful	турра ĕненекен
fake	суя
fall	ӳкни
fall	ӳк
false	СУЯ
fame	чап
familiar	паллакан
family	çемье
famine	выçлăх
famous	чапа тухнă
fan	вентилятор
fan	фанат
fancy	ăсра сăнарла
fantastic	фантастикăлла
far	инҫе
farewell	уйрăлу
farm	ферма
farmer	фермер
fascinating	теветлĕ
fashion	мода
fast	хăвăрт
fat	çуллă
fatal	пулмалли
fate	шăпа
father	атте
fatigue	ĕшенӳ
fault	кăлтăк
favorite	юратнă
favour	кăмăл туни
favourite	юратнă
fear	шиклен
fear	шик
feast	ӗҫкӗ-ҫикӗ
feather	тĕк
feature	паллă
feature	палăрт
features	паллӑлӑх
february	нарăс
fed up	йӑлӑхтарнӑ
fee	комисси
feed	ҫитер
feedback	хак пани
feel	туй
feeling	туйăм
feet	ура лапписем
fell	ӳк
fellow	юлташ
felt	сиснĕ
female	хĕрарӑм
fence	карта
fertile	тухӑҫлӑ
festival	уяв
fetch	илсе кăтарт
fever	вӗри
few	сахал
fewer	сахалрах
fiance	çураçнă
fiction	шухӑшласа кӑларнӑ япала
field	хир
fierce	кăра
fifteen	вун пилĕк
fifty	аллă
