go le gonnye	a little
leroborobo	epidemic
lekana	equal
sediriswa	equipment
tekatekano	equity
lekanang	equivalent
tekano	equivalent
rabara	eraser
phoso	error
phalolo	escape
falola	escape
segolobogolo	especially
tlhamo	essay
boleng	essence
palodisi	essence
botlhokwa	essential
tlhomamisa	establish
tlhomamisitse	established
boswa	estate
fopholetsa	estimate
fopholetsa	estimated
jj	etc
bosafeleng	eternal
boiphapo	ethics
tlhotlhomisa	evaluate
tlhotlhomiso	evaluation
fela	even
borethe	even
le fa	even though
maitsibowa	evening
tiragalo	event
kgabagare	eventually
kile	ever
nngwe le nngwe	every
mongwe le mongwe	everybody
mongwe le mongwe	everyone
sengwe le sengwe	everything
bopaki	evidence
bosula	evil
tlhagalelo	evolution
fetoga	evolve
Seewe	Ewe
wa maloba	ex
tot	exact
fela	exactly
tlhatlhobo	exam
tlhatlhoba	examine
sekai	example
fetisa	exceed
gaisa	excellent
ntle le	except
phapogo	exception
fetisang	excess
feteletseng	excessive
refosana	exchange
gakatsega	excited
boitumelo	excitement
gakatsa	exciting
kgethegileng	exclusive
ka mo go feleletseng	exclusive
boipato	excuse
intshwarele	excuse me
diragatsa	execute
tiagatso	execution
khuduthamaga	executive
rutuntsha	exercise
lapisa	exhaust
phuegile	exhausted
bontsha	exhibit
pontsho	exhibition
nna teng	exist
go nna teng	existence
teng	existing
tswa	exit
atolosa	expand
lebelela	expect
solofetse	expected
ditšego	expenses
tlhwatlhwagodimo	expensive
maitemogelo	experience
tekeletso	experiment
moitseanape	expert
fedile	expired
tlhalosa	explain
tlhaloso	explanation
go ja ntsoma	exploit
batlisisa	explore
seromelwantle	export
romela ntle	export
senola	expose
senotswe	exposed
senola	exposed
pontsho	exposure
tlhagisa	express
polelo	expression
atolosa	extend
atolositswe	extended
katoloso	extension
bokgakala	extent
bokontle	external
kwa ntle	external
fela	extinct
koketso	extra
sentshwa	extract
go feta	extraordinary
mo go boitshegang	extreme
phetelela	extremely
leitlho	eye
matlho	eyes
lesela	fabric
-dinaane	fabulous
ntle	fabulous
sefatlhego	face
bebofatsa	facilitate
mafelo	facilities
kago	facility
bonnete	fact
lebaka	factor
katisani	factor
bodirelo	factory
dintlha	facts
nyelela	fade
retelelwa	fail
go sa falole	failed
phoso	failure
go sa falole	failure
idibala	faint
borakanelo	fair
tekatekano	fair
ntle	fair
ka thokgamo	fairly
feri	fairy
tumelo	faith
tshepagala	faithful
e seng ya nnete	fake
wa	fall
E SENG NNETE	false
tumo	fame
tlwaelesegile	familiar
lelapa	family
leuba	famine
tumile	famous
fene	fan
molatedi	fan
makgabisa	fancy
ntle	fantastic
kgakala	far
dumedisa	farewell
polase	farm
molemi	farmer
kgatlhisa	fascinating
fešhene	fashion
lebelo	fast
nonne	fat
se se bolayang	fatal
tlholelo	fate
rre	father
go lapa	fatigue
phoso	fault
mamoratwa	favorite
thekegelo	favour
tlekeetsa	favour
tlotla	favour
mmamoratwa	favourite
tshabo	fear
mokete	feast
lefofa	feather
popego	feature
dipopego	features
nang le	features
tlhakole	february
tenega	fed up
tuelo	fee
fepa	feed
pegelo	feedback
utlwa	feel
maikutlo	feeling
ikutlwa	feeling
diano	feet
wele	fell
mothaka	fellow
monkana	fellow
feelo	fellow
utlwile	felt
tshegadi	female
terata	fence
o ka kgona go ima	fertile
nonneng	fertile
moletlo	festival
go tsaya	fetch
letshoroma	fever
go se kae	few
bannye go	fewer
motho yo o beeleditsweng	fiance
ditlhamane	fiction
naga	field
bolau	fierce
lesome le botlhano	fifteen
masome a matlhano	fifty
ntwa	fight
lwa	fight
lwana	fighting
tlhakapalo	figure
popego	figure
leka go tlhaloganya	figure out
faele	file
tlatsa	fill
tletse	filled
filimi	film
leswe	filthy
kwa bokhutlong	finally
madi	finance
tsa madi	financial
fitlhela	find
batlisisa	find out
tefiso	fine
boleta	fine
ntle	fine
monwana	finger
fetsa	finish
feditse	finished
koba	fire
molelo	fire
tia	firm
feme	firm
ntlha	first
leina	first name
tlhapi	fish
tshwanela	fit
kidibalo	fit
itekanetse	fit
tlhano	five
baakanya	fix
siamisitse	fixed
folaga	flag
gadima	flash
sepapetla	flat
molato	flaw
ntle le molato	flawless
tshaba	flee
nama	flesh
fofile	flew
oba	flex
obega	flexible
phofo	flight
phetlha	flip
tshegatshegisa	flirt
tshegatshegisa	flirting
kokobadi	float
kokobala	float
morwalela	flood
boalo	floor
bupi	flour
elela	flow
sethunya	flower
mofikela	flu
tlhapileng	fluent
