кӀеззиг	a little
шалха маьӀна долуш	ambiguous
догдоккхалла	ambition
дегалниг	ambitious
доккха дог дерг	ambitious
хийца	amend
юккъехь	amid
юккъехь	among
тхаьшлахь	among us
жамӀ	amount
самукъане	amusing
зераш	analysis
анализ	analysis
хӀуш	ancestors
якорь	anchor
мацахлера	ancient
амма	and
иштта	and
а	and
амма хьо	and you
малик	angel
оьгӀазалла	anger
маьӀиг	angle
оьгӀазе	angry
хьайба	animal
хьорка	ankle
шо кхачар	anniversary
кхайкхам	announcement
корзахдаккха	annoy
карзахдалар	annoyed
карзахдокхуш	annoying
хӀора шеран	annual
Ӏарца доцу	anonymous
кхидерг	another
кхин	another
жоп	answer
синхаам хила	anticipate
сингаттам	anxiety
гӀайгӀане	anxious
муьлхха а	any
цхьаъ	any
кхидӀа	anymore
муьлхха а	anyone
цхьа хӀума	anything
мухха делахь а	anyway
иштта хилча	anyway
цхьана эшшара	anyways
къаьстина	apart
петар	apartment
бехк цабилар деха	apologize
хила мегашдерг	apparent
гарехь	apparently
тарлуш хила	apparently
кхайкхар	appeal
аппелляци яр	appeal
кхайкхам бар	appeal
гучудала	appear
куц	appearance
куьце	appearance
гучудаьла	appeared
аппетит	appetite
Ӏаж	apple
тӀедалар	application
тӀедозар	application
пайдаэца	apply
билгалдаккхар	appointment
билгалдар	appointment
мах хӀотто	appreciate
пусар деш хилар	appreciation
даха	approach
зен	approach
гобаккха	approach
торуш долу	appropriate
мегаш долу	appropriate
йиш йолу	appropriate
къобалдар	approval
тӀечӀагӀдар	approval
къобалдан	approve
магийна	approved
гергга аьлча	approximately
апрель	april
шашах	arbitrary
ма-луъу	arbitrary
архитектор	architect
архитектура	architecture
архив	archive
ду	are
хьо ву	are you
хьо мукъа вуй	are you busy
зуда ялийна вуй хьо	are you married
марехь юй хьо	are you married
зуда ялийна ву хьо я цхьалха ву хьо	are you married or single
Хьо хӀинца а цигахь вуй	Are you still there?
хьо цигахь вуй	are you there
мохк	area
къовса	argue
далийла	argument
аргумент	argument
кхолладала	arise
хила	arise
пхьарс	arm
эскар	army
гонаха	around
кхолла	arrange
бат бан	arrange
дӀахӀоттор	arrangement
схьакхачар	arrival
схьакхача	arrive
схьакхачнарг	arrived
кура	arrogant
пха	arrow
искусство	art
синбахамалла	art
статья	article
кхоьллина	artificial
исбаьхьалча	artist
санна	as
иштта дукха	as long as
и санна	as well
цу тӀе	as well
иштта	as well
оцу хьесапехь	as well as
иштта	as well as
чим	ash
эсалниг	ashamed
эхьхеттарг	ashamed
хоьтту	ask
хаьттира	asked
дижина	asleep
далийла	aspect
аспект	aspect
Ассамский	Assamese
тӀелатор	assault
вовшахкхетар	assembly
тӀечӀагӀден	assertive
мах хӀоттор	assess
мах хӀоттор	assessment
бахам	asset
гулдинарг	asset
мехала хӀума	asset
активаш	assets
хӀотто	assign
хӀоттор	assignment
гӀодан	assist
гӀоьнча	assistant
тардан	associate
дихкина	associated
тардалар	association
ассоциаци	association
тардала	assume
хетар	assumption
гергахь	at
юххехь	at
уллехь	at
мел лахара а	at least
даа	ate
спортсмен	athlete
дӀатоха	attach
вовшахтоьхна	attached
тӀеоьзна	attached
схьаийна хилар	attachment
тӀелатар	attack
гӀортар	attempt
лела	attend
кхачар	attendance
вахар	attendance
ладогӀа	attention
само яр	attention
тергам	attention
хилар	attitude
тӀеозо	attract
безаме	attraction
томе	attractive
безаме	attractive
товш	attractive
атрибут	attribute
аудитори	audience
август	august
ненайиша	aunt
дейиша	aunt
ненайиша	aunty
ма-дарра	authentic
терра	authentic
автор	author
Ӏедал	authority
гуьйре	autumn
лела тору	available
лелало	available
юккъера	average
ида	avoid
къехка	avoid
пебетта	avoid
самадала	awake
совгӀат	award
хууш ву	aware
кхетар	awareness
хаар	awareness
юьстах	away
инзаре	awesome
товш	awesome
къемате	awful
бӀегӀийла доцуш	awkward
гуьнахь доцуш	awkward
Аймара	Aymara
бер	baby
бакалавр	bachelor
юха	back
гонахара хьал	background
фон	background
вон	bad
тӀормиг	bag
хьаьвна	bait
пеш	bake
пурни	bakery
бепиг совсаден сода	baking soda
баланс	balance
буьрка	ball
Бамбара	Bambara
банан	banana
тоба	band
гӀера	band
эккхар	bang
банк	bank
бар	bar
халла	barely
мах бар	bargain
чкъор	bark
мукх	barley
дуьхьало	barrier
барьер	barrier
база	base
бухе далош долу	based
op	basement
бух	basic
коьртачу декъехь	basically
базилик	basil
бӀиж	bastard
парти	batch
ванна	bath
ванна	bathroom
батарей	battery
латар	battle
айма	bay
хила	be
ларвалар	be careful
луьйчийла	beach
пляж	beach
зӀенар	beam
кӀа	beans
ча	bear
маж	beard
жоплург	bearing
экха	beast
етта	beat
хаза	beautiful
хазалла	beauty
тӀедеъна	became
тӀехӀоьттина	became
хӀунда аьлча	because
цундела	because
лаьтта	become
хила	become
хӀотта	become
маьнга	bed
дуьйшу чоь	bedroom
накхармоза	bee
бежанан жижиг	beef
хилла	been
йий	beer
хьалха	before
юьхьанца	before
доладелла	began
доло	begin
юьхь	beginning
юьхьиг	beginning
долор	beginning
цӀарах	behalf
гӀулч яккха	behave
лелар	behavior
лелар	behaviour
тӀаьхьа	behind
хила	being
тешам	belief
теша	believe
гай	belly
долахь хилар	belong
хьомениг	beloved
лаххара	below
доьхка	belt
гӀант	bench
гола	bend
кӀел	beneath
са	benefit
пайда	benefit
пайдаш	benefits
са	benefits
гергахь	beside
уллехь	beside
юххахь	beside
цул совнаха	besides
уггаре дика	best
тоьлла	best
аьтто бойла	best of luck
ларамца	best regards
тоьлуш	better
гӀолехьа	better
дикаха	better
юккъехь	between
малар	beverage
ара	beyond
Бходжпури	Bhojpuri
озабезам	bias
озабезаме	biased
вилспет	bicycle
дехар	bid
доккха	big
велосипед	bike
тӀеэцаза Ӏедал	bill
дехкар	bind
олхазар	bird
вина де	birthday
кӀеззиг	bit
цергаш йохка	bite
къаьхьа	bitter
Ӏаьржа	black
дитт	blade
бехк	blame
даьсса	blank
шаршо	blanket
юргӀа	blanket
оьккхур	blast
кӀайдириг	bleach
ийнарг	blend
декъалдан	bless
декъала хилла	blessed
бӀаьрзе	blind
зовкх	bliss
блок	block
цӀий	blood
заза даккхар	bloom
мох хьекха	blow
сийна	blue
аьрта	blunt
у	board
йист	board
кема	boat
дегӀ	body
кхехко	boil
дерстина	bold
дозар	bond
дазар	bond
даьӀахк	bone
книшка	book
лакхадаккха	boost
лакхе	boost
чӀагӀдийриг	booster
батенк	boot
батенкаш	boots
доза	border
сагато	bore
сахьийза	bored
сингаттаме	boring
дуьнентӀе далар	born
динарг	born
юхалург деха	borrow
куьйгалхо	boss
босс	boss
ший а	both
сагатдан	bother
садаа	bother
шиша	bottle
бух	bottom
эцна	bought
хьалакхоссадала	bounce
дихкина	bound
дозанаш	boundaries
хох	bow
бога	bowl
бот	box
гӀутакх	box
кӀант	boy
кӀант	boyfriend
хӀоз	bracelet
хье	brain
га	branch
тайпа	brand
марка	brand
майра	brave
талхор	breach
бепиг	bread
кхаллар	bread
юкъахдалар	break
садаӀар	break
марта	breakfast
накха	breast
садеӀар	breath
садеӀа	breathe
дита	breed
кибарчиг	brick
нускал	bride
тӀай	bridge
доца	brief
къегина	bright
къега	brilliant
схьадан	bring
схьакхачо	bring
ваша	bro
шуьйра	broad
телегайтам	broadcast
кагдан	broke
доьхнарг	broken
эшнарг	broken
нуй	broom
ваша	brother
марваша	brother in law
дало	brought
боьмаша	brown
мокха	brown
бора	brown
щетка	brush
ведар	bucket
доттагӀ	buddy
бюджет	budget
чхьаьвриг	bug
дан	build
хӀотто	build
гӀишло	building
йоьттина	built
йина	built
доккха дакъа	bulk
сту	bull
харцхьаниг	bully
чукхета	bump
жӀуга	bunch
пакет	bundle
мохь	burden
дӀадоьллина	buried
дагор	burn
эккхар	burst
лаьттах долла	bury
автобус	bus
кхолл	bush
гӀулллакх	business
бизнес	business
бюст	bust
накха	bust
мукъа цахилар	busy
амма	but
налха	butter
полла	butterfly
нуьйда	button
ноьда	button
эца	buy
юххе	by
уллехь	by
гергахь	by
цу юккъе аьлча	by the way
цу юккъехула	by the way
Ӏодика йойла	bye
копаста	cabbage
чоь	cabinet
клетка	cage
торт	cake
эса	calf
зӀе тохар	call
кхайкхар	call
телефон тоха соьга	call me
цӀе йолу	called
олуш долу	called
тийна	calm
схьавеана	came
кампани	campaign
дан дала	can
мага	can
йиш яц	can't
дӀакъовла	Cancel
дӀадакха	Cancel
рак	cancer
каде	capable
хьуьнаре	capable
барам	capacity
коьрта гӀала	capital
столица	capital
куьг яздар	caption
дӀалацар	capture
машен	car
карьера	career
ларлург	careful
стешха	careful
экам	careful
леррина	carefully
тидаме	carefully
экам	carefully
гӀайгӀайоцу	careless
гӀайгӀа йолу	caring
дечиган пхьар	carpenter
кӀийса	carpet
жӀонка	carrot
дахьа	carry
дӀадаха	carry on
кхочушдар	carry out
гӀуллакх	case
карара	cash
каралург	cash
кхийса	cast
гӀала	castle
xӀopа дийнан	casual
цициг	cat
лаца	catch
категори	category
тайпа	category
даьхни	cattle
схьалаьцнарг	caught
бахьана	cause
ларлуш хилар	caution
ларлург	cautious
хьех	cave
сацор	cease
тхов	ceiling
даздар	celebrate
ячейка	cell
могӀа	cell
центр	center
бӀешо	century
буьртиган	cereal
Ӏедал	ceremony
билггал	certain
хӀета	certainly
дера	certainly
сертификат	certificate
юкъарло	chain
зӀе	chain
гӀант	chair
кхайкхар	challenge
бакъо	chance
некъ	chance
шанс	chance
хийца	change
бохам	chaos
амал	character
характеристикаш	characteristics
мах хадор	characteristics
дуза	charge
накъосталла	charity
гӀоьналла	charity
безаме	charming
тайна	charming
товш	charming
диаграмма	chart
тӀаьхьавала	chase
бага етта	chat
дораха	cheap
Ӏехо	cheat
Ӏехор	cheating
Нохчийн	Chechen
зен	check
талла	check
бесни	cheek
дог иракарахӀотто	cheer
самукъане	cheerful
оваци	cheers
нехча	cheese
хими	chemistry
качдан	cherish
шахматаш	chess
накха	chest
Ӏийша	chew
котам	chicken
коьртаниг	chief
бер	child
жималла	childhood
бераш	children
шело	chill
туьнкалгаш	chimneys
чӀениг	chin
шоколад	chocolate
харжам	choice
харжа	choose
атар	chop
цӀера	chores
чуьра гӀуллакхаш	chores
горга юьхь ериг	chubby
килс	church
корица	cinnamon
горга	circle
хьелаш	circumstances
гражданин	citizen
шахьар	city
гӀала	city
дегабаам	claim
вас	claim
билгалдаккхар	clarify
класс	class
латта	clay
цӀена	clean
кхеташ	clear
белхахо	clerk
хьекъале	clever
клиент	client
тарх	cliff
климат	climate
лакхавалар	climb
тӀевалар	climb
тӀелеташ	clingy
сахьт	clock
дӀакъовла	close
дӀачӀагӀа	close
шкаф	closet
кӀади	cloth
духар	clothes
бедар	clothes
марха	cloud
мархаш йолу	cloudy
жухарг	clown
догӀа	clue
партал	clumsy
ӀаӀадалар	cluster
тренер	coach
кӀора	coal
йист	coast
палто	coat
кофе	coffee
хаа пайде	cognitive
цхьаьна дар	coincidence
шийла	cold
коллапс	collapse
дожар	collapse
тохар	collapse
качкач	collar
коллега	colleague
белхан накъост	colleague
коллегаш	colleagues
белхан накъостий	colleagues
вовшахтоха	collect
лехьо	collect
коллекци	collection
колледж	college
бос	color
бос боцу къоначу ойлаша луьра наб еш хила	colorless green ideas slept furiously
бос	colour
биргӀа	column
колонка	column
ехк	comb
цхьаьнадалор	combination
цхьаьнатохар	combine
дан	come
хила	come
схьавола кхуза	come here
сихо е	come on
комфорт	comfort
аьтто болу	comfortable
бӀегӀийла йолу	comfortable
схьакхачар	coming
кеста хир ву	coming soon
команда	command
тоба	command
комментари	comment
йохк-эцаран	commercial
коммерчески	commercial
комисси	commission
дан	commit
тӀелацам	commitment
гӀо лоцу	committed
сурсат	commodity
юкъара	common
къамел дан	communicate
дазар	communication
юкъарло	community
тӀедакха	commute
накъост	companion
тоба	company
компани	company
дустар	compare
дустар	comparison
къинхетам	compassion
доглозург	compassionate
цхьаьна догӀу	compatible
къовсам латтор	compete
конкуренци лело	compete
хууш волу	competent
къовсам	competition
йохьалла	competition
конкурентан	competitive
чӀеӀа	complain
арздан	complain
латкъа	complain
латкъам	complaint
тӀетохар	complement
дуьззина	complete
дуьззина	completely
хала	complex
догӀуш хилар	compliance
хала	complicated
комплимент	compliment
лелор	comply
композици	composition
вовшахтохар	compound
кхетам	comprehension
массо агӀор	comprehensive
маслаӀат	compromise
барт карор	compromise
компромисс	compromise
декхарийлахь дерг	compulsory
декхар	compulsory
компьютер	computer
боршам	concentrate
концентрат	concentrate
концепци	concept
сагатдар	concern
сахьаьвзина	concerned
концерт	concert
сацам	conclusion
бетон	concrete
хьал	condition
бехкамаш	conditions
чекхдаккха	conduct
конференци	conference
дохковалар	confess
бӀоболар	confidence
тешна	confident
тешийна	confident
чӀагӀдар	confirm
къовсам	conflict
дов	conflict
конфликт	conflict
эхь хетийта	confused
гӀучӀа	confusion
декъалдар	congrats
декъалдар	congratulation
декъалдар	congratulations
конъюкци	conjunction
вовшатоха	connect
тӀамца даккха	conquer
кхетаме	conscious
кхетам	consciousness
реза хилар	consent
тӀаьхье	consequences
Ӏалашдар	conservation
шира кхетам берг	conservative
хьажа	consider
харжа	consider
къасто	consider
тӀечӀагӀдина	considered
къаьстина	considered
ойланца чӀагӀдина	considered
латта	consist
консистенци	consistency
рогӀера	consistent
даим	constant
диллина	constant
даим	constantly
гӀуй	constipation
дар	construction
лелор	consume
дайар	consumption
контакт	contact
зӀе	contact
уьйр	contact
уьнан	contagious
кхаба	contain
чулаца	contain
кхобушдерг	contains
вайн заман	contemporary
цадашар	contempt
чулацам	content
йохьалла	contest
контекст	context
континент	continent
дахдан	continue
контракт	contract
барт	contract
контраст	contrast
башхалла	contrast
некъ баккха	contribute
аьтто бан	contribute
закъалт	contribution
тӀехьажар	control
контроль	control
къийсаме	controversial
атто	convenience
аьтто болу	convenient
бӀегӀийла	convenient
дийцарш	conversation
къамел	conversation
хийца	convert
дӀадала	convey
тешор	convince
тешна	convinced
кхача кечбан	cook
юург кечъян	cooking
шийла	cool
юкъаметтиг дӀакхехьар	cooperation
ларадала	cope
цӀаста	copper
тӀум	core
хьаьжкӀа	corn
маьӀиг	corner
нийса	correct
мах	cost
костюм	costume
коттедж	cottage
бамба	cotton
диван	couch
йовхарш	cough
мага	could
хьехам	council
ларар	count
лара	count
лорург	counter
мохк	country
юьртан меттиг	countryside
шалха	couple
шиъ	couple
къонахалла	courage
курс	course
кхел	court
гӀиллакхалла	courtesy
шича	cousin
тӀетоьхнарг	cover
етт	cow
бежана	cow
кӀилло	coward
осалниг	coward
паргӀат	cozy
краб	crab
дотӀана	crack
пхьола	craft
боьхалла	crap
хьовзам	crash
авари	crash
гӀертар	craving
текха	crawl
тилларг	crazy
кхоллар	create
кхоллараллин	creative
тешор	credit
кредит	credit
тешам	credit
текхарг	creep
инзаре	creepy
некъахой	crew
экипаж	crew
зулам	crime
хаба	cringe
кризис	crisis
критери	criteria
битам	criteria
критически	critical
тешаме доцуш	critical
кхераме	critical
критика	criticism
ялта	crop
ялташ	crops
хадор	cross
къиг	crow
тоба	crowd
тӀехдуьзна	crowded
таж	crown
коьрта	crucial
хьал къастош	crucial
къиза	cruel
круиз	cruise
готасар	cruise
ата	crush
дохо	crush
вичӀадаккха	crush
делха	cry
наьрс	cucumber
улло тӀеӀа	cuddle
культура	culture
синбахам	culture
хӀилла	cunning
кад	cup
буфет	cupboard
дирста	curb
дарба	cure
комендантан сахьт	curfew
хаа гӀертар	curiosity
хаа гӀерта	curious
хьийзина месаш йолу	curly
валюта	currency
карара	current
карарчу хенахь	currently
кху ханна	currently
неӀалт	curse
кирхьа	curtain
гӀайба	cushion
ламаст	custom
эцархо	customer
таможни	customs
хадо	cut
хьоме	cute
безаме	cute
цикл	cycle
вилспет хахкар	cycling
дада	dad
дада	daddy
дено	daily
хӀора денна	daily
шуьрин	dairy
дамба	dam
дохо	damage
шайтӀа	damn
туьналла	damp
халхар	dance
кхерам	danger
кхераме	dangerous
Ӏаьржа	dark
бодане	dark
хьоме	darling
сиз	dash
хаамаш	data
терахь	date
йоӀ	daughter
де	day
делла	dead
делларг	dead
тӀаьхьара хан	deadline
къора	deaf
машар	deal
барт	deal
хьомсара	dear
хьоме	dear
лараме	dear
Дика мел дерг	Dear All
Хьомсара клиент	Dear Customer
Хьоме да-нана	Dear Parents
Хьоме эла	Dear Sir
Хьоме студент	Dear students
Хьоме тоба	Dear Team
кхалхар	death
далар	death
къовсар	debate
дебет	debit
саьлнаш	debris
декхар	debt
итт шо	decade
дахкадала	decay
велларг	deceased
Ӏехо	deceive
декабрь	december
оьзда	decent
кхочуш дан	decide
сацам бан	decide
сацийра	decided
сацам	decision
палуба	deck
лахдалар	decline
жима дар	decrease
довзийтина	dedicated
тешам	dedication
динарг	deed
кӀорга	deep
сай	deer
цаалар	default
эшам	defeat
дан	defend
билгалдар	define
билггал	definitely
билгалдаккхар	definition
къастор	definition
дарж	degree
хьедар	delay
тӀех даьккхина	delayed
дӀадаккха	delete
дагалацаме	deliberate
кӀеда	delicate
чам болу	delicious
чоме	delicious
доккхкадер	delight
доккхадер	delighted
дӀакхача	deliver
дӀакхаьчна	delivered
дӀакхачор	delivery
схьадехар	demand
схьадоьхург	demanding
демократи	democracy
йилбаз	demon
дӀагайта	demonstrate
гайта	demonstrate
демонстраци ян	demonstrate
цадалар	denied
чорда	density
цергийн лор	dentist
стоматолог	dentist
мукӀарло ца дан	deny
харцдан	deny
къера ца хила	deny
дакъа	department
дӀадахьийтар	departure
даза	depend
схьадаржо	deploy
закъалт	deposit
депозит	deposit
Ӏаткъам хилларг	depressed
сингаттам	depression
депресси	depression
кӀоргал	depth
дӀаяздар	describe
сурт хӀоттор	description
гӀамаран мохк	desert
гӀум-аре	desert
гӀамаршкахь	desert
догӀуш	deserve
хьакъ долуш	deserve
дизайн	design
билгало	designation
лаар	desire
язден стол	desk
бӀарздалар	despair
сабӀарздала	desperate
сагатдала	desperate
делахь а	despite
бе-берса кхача	dessert
десерт	dessert
дӀахьажийна меттиг	destination
кхел	destiny
талхор	destroy
талхор	destruction
дакъа	detail
билгало	detail
башхаллаш	details
кардина	detect
къастор	determination
къасто	determine
билгалдина	determined
билгалдаьккхина	determined
талхошдерг	devastated
кхион	develop
кхиаме	developed
кхиар	development
гӀирс	device
шайтӀа	devil
довзийтина	devoted
Дивехи	Dhivehi
диабет	diabetes
чохьлазар	diarrhea
дневник	diary
дешнижайна	dictionary
дина	did
валар	die
дела	died
диета	diet
башхалла	difference
кеп-кепара	different
кхин	different
тайп-тайпана	different
хала	difficult
ахка	dig
дикалла	dignity
тӀера долу	diligent
делкъе яр	dinner
хӀума яар	dinner
Ӏитта	dip
нийса	direct
агӀо	direction
директор	director
боьху	dirt
боьха	dirty
дӀадакхар	disable
дӀадаккхар	disabled
къайладала	disappear
дог даьлла	disappointed
ирча бохам	disaster
дӀакхийса	discard
ток кхачо	discharge
лисциплина	discipline
низам	discipline
скидка	discount
карош хила	discover
дискриминаци	discrimination
дийцаре диллар	discuss
дийцар	discussion
цамгар	disease
цамгарш	diseases
къайладаккха	disguise
хьулдан	disguise
вуно вон	disgusting
даар	dish
даар	dishes
юхатохар	dismiss
дӀадахьийтар	dispatch
дисплей	display
дӀадаккхар	disposal
къовсам	dispute
бохалла	distance
юкъаметтиг	distance
билггал	distinct
довза	distinguish
бала	distress
дӀасадекъар	distribution
кӀошт	district
сагатдан	disturb
саьнгар	ditch
чулелха	dive
кхечу кепара	diverse
кхин	diverse
тайп-тайпана	diverse
шатайпаналла	diversity
башхалла	diversity
декъа	divide
нуьре	divine
зуда йитар	divorce
корта хьийза	dizzy
дан	do
хьо	do you
хьуна со дукха везий	do you love me
лор	doctor
документ	document
деш	does
а	doesn't
жӀаьла	dog
Догри	Dogri
дан	doing
тайниг	doll
домен	domain
чохьара	domestic
лекхаха хилар	dominant
дац	don't
Са ма гатде	Don't worry
сагӀийна яла	donate
дина	done
дина чекхдаккха	done
вир	donkey
наркотик	dope
шалха	double
шеко	doubt
бод	dough
лаха	down
охьа	down
чудаккхар	download
Ӏалашо	draft
проект	draft
текхо	drag
аздала	drain
драма	drama
сурт дилла	draw
схьаузуш долу гӀутакх	drawer
суртдилар	drawing
кхерадала	dread
сатийсам	dream
коч	dress
буру	drill
мала	drink
лело	drive
тӀадам	drop
охьакхетта	dropped
якъо	drought
екхана	drought
вехна	drunk
екъа	dry
бад	duck
ӀуьӀа	dude
хьакъ долу	due
тӀехьара	due to
сингаттаме	dull
Ӏовдал	dumb
нехаш дӀакхуьйсийла	dump
дохалла	duration
йохалла	during
чан	dust
ял	duty
декхар	duty
даха	dwell
лийриг	dying
хӀора	each
вовшийн	each other
собардоцу	eager
аьрзу	eagle
лерг	ear
хьалхо	earlier
хьалхара	early
ӀаӀо	earn
даккха	earn
лергаш	ears
дуьне	earth
мохк бегор	earthquake
атта	ease
атта	easily
малхбале	east
атта	easy
ийна	easy
хӀума яа	eat
хӀума юарг	eating
экономика	economic
экономика	economy
йист	edge
тадан	edit
дешар	education
эффект	effect
эвсара	effective
эвсаралла	efficiency
эвсара	efficient
гӀора	effort
ницкъ	effort
xӀoa	egg
баклажан	eggplant
эго	ego
бархӀ	eight
берхӀитта	eighteen
дезткъа	eighty
муьлхха	either
кхин тайпа	either
даккха	elaborate
гола	elbow
лакхара	elder
хенарниг	elderly
таме	elegant
элемент	element
пил	elephant
цхьайтта	eleven
бакъо	eligible
дӀадаккха	eliminate
кхин	else
эхьхетта	embarrassed
воьхна	embarrassed
эхьхетар	embarrassing
марадолла	embrace
тӀедала	emerge
къаьсттина хала хьал	emergency
эмоцин	emotional
самукъане	emotional
доглазар	empathy
балакхачар	empathy
алар	emphasis
акцент	emphasis
билгалдаккха	emphasize
белхахо	employee
белхахой	employees
болх лург	employer
балха xӀoттop	employment
еса	empty
чулаца	enable
юкъадало	enable
тӀеттӀакхетар	encounter
самукъадаккхар	encourage
дог айдар	encourage
чаккхе	end
кхерам болуш	endangered
гӀертар	endeavor
доьналла	endurance
сатохар	endure
мостагӀ	enemy
гӀора	energy
ницкъ	energy
юкъадилла	engage
юкъаоза	engage
мах бина	engaged
мах бар	engagement
хьалхатоьттург	engine
инженер	engineer
Ингалсан	English
чӀагӀдар	enhance
самукъадала	enjoy
самалхадала	enjoy
барамал сов	enormous
тӀехдоккха	enormous
тоъал	enough
тоьа	enough
гаранти яла	ensure
чӀагӀо ян	ensure
дош дала	ensure
чудаха	enter
самукъадолург	entertainment
энтузиазм	enthusiasm
жигаралла	enthusiasm
доккхаден	enthusiastic
дерриг	entire
коьртаниг	entitled
дух	entity
чувоьдийла	entrance
чуволийла	entrance
хьуьнар дерг	entrepreneur
тӀахъаьлла	entrepreneur
ботт	envelope
гонахе	environment
го	environment
гамо	envy
хьагӀ	envy
барта кхоллараллера	epic
эпосан	epic
ун	epidemic
нийссаэ	equal
цхьатерра	equal
гӀирс	equipment
нийсо	equity
эквивалент	equivalent
ластик	eraser
гӀалат	error
дӀадайъар	escape
дӀадаккхар	escape
дадар	escape
къаьсттина	especially
эссе	essay
дух	essence
ладам боллуш	essential
дӀахӀотто	establish
дӀахӀоттийна	established
бахам	estate
мах хадор	estimate
мах хадорца	estimated
иштта д.кх.	etc
даим	eternal
этика	ethics
мах хадор	evaluate
мах хадор	evaluation
нийсса	even
а тӀехь	even
делахь а	even though
суьйре	evening
хилларг	event
тӀаьххьара а	eventually
мацца а	ever
цкъа	ever
хӀора	every
хӀораниг	everybody
хӀоранниг	everyone
хӀора	everything
дерриг	everything
далийла	evidence
тоьшалла	evidence
сакхт	evil
вон	evil
къа	evil
эволюци	evolution
кхуьуш хилар	evolve
Жий	Ewe
хилла	ex
хилларг	ex
нийса	exact
иштта	exactly
зер	exam
экзамен	exam
талла	examine
масал	example
лакхавала	exceed
тӀехдика	excellent
юкъардаьккхича	except
иза доцург	except
юкъардакхар	exception
барамал тӀех	excess
барамал тӀех	excessive
хийцам	exchange
синтем байна	excited
дог тохадалар	excitement
инзаре	exciting
эксклюзиван	exclusive
бакъдар	excuse
бехк ма била суна	excuse me
кхочушдан	execute
кхочуш дар	execution
кхочушден	executive
дарс	exercise
упражнени	exercise
холчухӀоьттор	exhaust
юьхьӀаьржа хила	exhausted
холчухӀоьттина	exhausted
экспонат	exhibit
гайтар	exhibition
хила	exist
ддолуш хила	exist
хилар	existence
долу	existing
арадовлийла	exit
шордан	expand
хьежа	expect
хьажа	expected
харжаш	expenses
боккха мах болуш	expensive
деза	expensive
мехала	expensive
зеделларг	experience
зеделларг	experiment
эксперт	expert
чекхдаьлла	expired
кхето	explain
билгал дар	explanation
лелор	exploit
талла	explore
экспорт	export
гучадаккхар	expose
динарг	exposed
тӀеӀаткъо	exposure
тӀеӀаткъам бан	exposure
экспресс	express
гайтам	expression
шордала	extend
шордина	extended
шордар	extension
барам	extent
тӀера	external
дӀадайна	extinct
совнаха	extra
арадаккхар	extract
башха	extraordinary
экстремалан	extreme
