a	with
athlete	or eren anumbe
attach	isee
attached	seer sha
attachment	varen
attack	ta num
attempt	nôngo
attend	za
attendance	uzankwagh
attention	Vershima
attitude	ieren
attitude	inja
attract	sar
attract	ulugh
attraction	lugh yol
attractive	kuma ashe
attribute	aeren
audience	kpila ior mba ungwa
august	wer u sha anieni
aunt	angô u terem
aunty	angbian ngo shi ter u kwase
authentic	jiilaa
author	or ngeren tageda
authority	tahav
autumn	uwangernyom
available	her
average	ateghôtô
avoid	tswer
avoid	palegh
awake	per
award	iyua
aware	fanen
awareness	fa akaa
away	kera
awesome	cieryol
awful	zem-kya
awkward	tumburuu
Aymara	Aymara
baby	Wan
bachelor	gumor
back	ijime
background	ihiinkwagh
bad	kwagh u bo
bag	ikpa
bait	kwagh hônon
bake	kaa
bakery	ijiir i kaan bredi
baking soda	mngerem mak kaan kyek
balance	hanmakwagh ngu kwaghmon
ball	bol
Bambara	Bambara
banana	ayaba
band	innongo
band	ikangenev
bang	bughur
bank	bam
bank	ijiir i kosun inyaregh
bar	iyou i msôr
bar	ishindan
barely	cuku tso
bargain	kpelan
bark	gbehe
barley	shair
barrier	yisa
base	har
based	har sha
basement	kpaaiyou
basic	ihiin
basically	kpookpoo yo
basil	kwayue
bastard	avajuwa
batch	ijenwe
bath	uwagh
bath	ijir i ôôn iyol
bathroom	kwa or oon iyol
battery	ako
battle	tyav
bay	kekpe
be	lu
be careful	ver shima
beach	kpe ityeku
beam	saan saan
beans	alev
bear	ume
beard	iche shin gbem
bearing	shiada
beast	inyamtoho
beat	humbur
beat	gbidye
beat	kuhwa
beautiful	Doo ashe
beauty	mdoom
became	hingir
because	Ha ci u
become	hingir
bed	gambe
bedroom	iyol i tsan
bee	iyough
beef	nyam bua
been	lu
beer	msorum
beer	tashi
before	Cii
before	Sha
began	hii
begin	Hii
beginning	ken hiin
behalf	sha a ciu
behave	inja
behavior	ieren
behaviour	aerenakaa
behaviour	inja
behind	mase jime
being	or
belief	na jigh jigh
believe	na jigh jigh
belly	gbor
belong	ka u
beloved	doom shima
beloved	ishima shima
below	mile
below	shin
belt	kwange
bench	kwaghteman
bend	ngurum
bend	gure
beneath	shin tyo
benefit	mtsera
benefits	mtsera
beside	ken kpe
besides	beekera
best	hembadoon cii
best	hemba cii
best of luck	ikyôr i doo
best regards	msugh kpishi
better	Guda
between	haregh
beverage	akaa man
beyond	gengese
Bhojpuri	Bhojpuri
bias	iyuhe
biased	tsung
bicycle	ikikye
bid	tindi
big	zege
big	zegenan
big	gbogbo
bike	kikye
bill	ishe kwagh
bind	zua
bird	inyon
birthday	iyange mar
bit	cuku
bite	nyima
bitter	yua
black	il twange
black	il
blade	iyôô
blame	ibyo
blank	gbilin
blanket	godo
blast	tôngo
bleach	wan icigh
blend	nungwa
bless	tsegha
blessed	iveren
blind	ashe a pirin
bliss	iveren
block	akam
blood	awambe
bloom	doon
blow	fehe
blow	usa
blow	tôngo
blue	kwegh
blunt	kaa kpoo
board	kpande
boat	tso
body	iyol
boil	jiir
bold	vangertiôr
bold	cihi
bond	mzough
bone	kuhwe
book	takeda
boost	taver seer
booster	seer mtaver
boot	akôv
boots	akôv
border	mtser
bore	mar
bored	due ishima
boring	due shima
born	maa
borrow	gba injo
boss	orvesen
both	That cii
bother	za iyol
bottle	ikpe
bottom	shin inya
bought	yam
bounce	tsue
bound	kangen
boundaries	atindi
boundaries	akighir
bow	ngulum
bowl	ikyagh ki kesen akaa
box	akwati
boy	wanye nomso
boyfriend	shiôr
bracelet	agba
brain	mcam
branch	gbaa
brand	inja kwagh
brand	iti
brave	Kwaghfan
brave	ishima-taver
breach	nzul
bread	beredi
break	Hembe
breakfast	kwaghyan u pepe
breast	atumba
breath	ioon
breathe	ioon
breed	tu kwagh
brick	ikyamegh
bride	kem kwase
bridge	tsar
brief	cukuu
bright	engem
bright	Jaang
brilliant	engem
brilliant	kwaghfan
bring	Vam
bring	Due
bro	angbian
broad	gbanger
broad	kposo kposo
broadcast	pasen kwagh
broadcast	u yôôn
broke	hembe
broke	pav
broken	hemben
broom	canca
brother	an gbyan u nomso
brother in law	anmgbian u nom
brought	va
brown	ii dindee
brush	kôôr
brush	kiren
bucket	bokoti
buddy	orwam
budget	ingyer nyar
bug	imon
build	maa
building	imaagh
built	mar
bulk	poor
bulk	gbin
bull	nombua
bully	tswam
bump	nyundugh
bump	shundugh
bunch	imôngo
bundle	ikyaa
burden	mbamzeiyol
burden	mbaazaiyol
buried	ii
burn	nande
burst	hembe sha utaha
bury	ii
bus	mato
bush	toho
business	bizines
business	kpenga
bust	kwagh maan u ityough ki or
busy	Eren kwagh wee wue
busy	Eren akaa ave
but	Kpa
butter	buta
butterfly	kokombo
button	kiva
buy	yam
by	Ka
by the way	nahan
by the way	sha gbenda
bye	za de doo
cabbage	fulum
cabinet	tebul
cage	gaadi
cake	kyek
calf	wanbua
calf	gumbua
call	yila
call me	yilam
called	yer
calm	kundu ishima
came	a ve
campaign	angwe
campaign	yôô angwe
can	Fa ityo
can't	fatyô ga
Cancel	bunde
cancer	angev mbu kyansa
capable	tahav mbu eren kwagh
capacity	kuma kwagh
capital	geri u vesen
caption	ngeren
capture	kôr
capture	gesa
car	mato
career	tom
careful	vershima
carefully	gbashima
carefully	zulee
careless	ungwan kwaghwan ga
caring	wa ikyo
carpenter	orgbanakaa
carpet	butu
carrot	carrot
carry	tôô
carry on	za hemen
carry out	Eren tom
case	kese
cash	inyaregh
cast	iormba eren kwagh
castle	ya
castle	yol
casual	beelee
cat	abyem
cat	kpatema
cat	musu
catch	kôr
category	atô kposo kposo
cattle	ibua
caught	kôr
cause	ityôkyaa
caution	wa ikyo
cautious	sula
cautious	wa ikyo
cave	ho
cease	de
ceiling	silim
celebrate	iember
cell	purusu
center	atô
century	anyomderi
cereal	asamakaa
ceremony	iniongu
certain	kpee
certainly	keng
certainly	kpee
certificate	takerada u sha tindi
chain	shiligh
chain	mshir
chair	ikyônogh
challenge	zaiyol
chance	ian
change	mgem
change	Gema
change	Gumen
chaos	ayoosu
character	inja
characteristics	anza
characteristics	aeren
charge	caaji
charge	kpandegh
charity	nagh
charming	kumashe
chart	itinekwagh
chart	kwaghkperan
chase	zenda
chat	tadi
cheap	alaha
cheat	likici
cheat	aie
cheat	ii
cheating	inn
check	ceke
cheek	henge
cheer	saan saan
cheer	ember
cheerful	saansaan
cheers	ember nen
cheese	kwaghyan u lun aa ahom
chemistry	kyemistri
cherish	wa kyo
chess	chess
chest	vanger
chew	tam
chicken	ankyegh
chief	tor
child	wan
childhood	wanye
children	mbayev
chill	Ndôhôl
chimneys	nyula
chin	gbem
chocolate	côkoleeti
choice	toon kwaghmom ke akaa
choose	tsua
chop	ya
chores	ityom i hen ya
chubby	kehe
church	iyou msen
cinnamon	kwagh hunman doon
circle	gbilititi
circumstances	mbamtaver
citizen	marnya
city	geri
claim	abe
claim	Klem
claim	Fayum
clarify	pase wang
class	klasse
clay	inyatyuu
clean	eretete
clean	engem
clean	kough
clear	wanger
clerk	ortom
clever	tsav tsav
clever	bugh ashe
client	or yamen kasua
cliff	ijem
climate	mlu u ura man inyom hen ijiir
climb	unde
climb	wunde
clingy	var
clock	agogo
close	wuhe
close	kur
closet	akwati
cloth	ikyondo
clothes	akondo
cloud	ibyeenegh
cloudy	abeen ive sha kwavaôndo
clown	idyegh
clue	iwanger
clue	ikav
clumsy	hwev
cluster	ijuku
coach	ortesen
coal	kya usu
coast	kpemnger
coat	koti
coffee	kwaghman
cognitive	kende sharen
coincidence	abu tôô
coincidence	zua
cold	Wuhe
collapse	gba nya
collar	mom riga
colleague	or se eretom nongu
colleagues	mba eren tom imôngo
collect	ngohol
collection	kohol
college	kolooji
color	ii shin nyian
color	engem
colorless green ideas slept furiously	mbamhen mba nyian yav a shima vihin
colour	ii shin nyian
column	ajiir a tesen
column	kwatakerada
comb	asaase
combination	nungwa
combine	zua
come	Va
come here	va heen
come on	va sha
come on	due ken won
comfort	mkpeyol
comfortable	kundu kundu
coming	mve
coming soon	sôôn van
command	tindi
comment	mlumun
commercial	kwagh u teen
commission	tom
commit	vershima sha
commitment	suur
committed	na shima
commodity	ikyav
common	dumbur
communicate	liam
communication	lyam imongu
community	kpentar
commute	zende
companion	ikyartyom
company	Kômpeni
compare	ver keen man keen
comparison	kar
compassion	mhoonum
compassionate	mhôônom
compatible	zwan
compete	gba gesa
competent	kuma
competition	gesa
competitive	gesa
complain	kwagh tsumen
complaint	afo
complaint	ahon a gban
complement	kule
complete	kure
complete	jimin
completely	cii
complex	nungwa
compliance	eren er i kaa la
complicated	nungwanungwa
compliment	iwuese
comply	eren nahan
composition	kwaghngeren
compound	tembe ya
compound	tembe
comprehension	mkav
comprehensive	hanma kwagh
compromise	u teen or
compulsory	hangehange
compulsory	kengkeng
computer	kômputa
concentrate	ver ishima
concept	kwagh henen
concern	Gbam
concern	yôngor
concerned	kwagh gba
concert	iniongu
conclusion	mkur
conclusion	masetyo
concrete	koncle
condition	mlu
conditions	mlu
conduct	ieren
conference	mkohol
confess	pase
confidence	vangertiôr
confident	vanger tiôr
confirm	these mimi
conflict	ayoosu
confused	tsume
confusion	kwagh nzul
congrats	ishuun
congratulation	sugh
congratulations	m sugh u
conjunction	zua
connect	zua
conquer	hemba
conscious	lun per
consciousness	mfe
consciousness	per
consent	lumun
consequences	akaa a duen ker
conservation	iliam
conservative	ityôô
conservative	dondon aeren
consider	Wa iko
considered	nege sha mi
consist	kohol
consistency	hanma shie
consistent	gbem je
constant	gbem
constantly	hanma shie
constipation	fatyô u zan akongo ga
construction	kwagh maan
consume	ya
consumption	uyan kwagh
contact	ijiir i or
contagious	tsaren
contain	ngu ken mi
contains	ami
contemporary	imôngo
contempt	lahan
content	Kuma
contest	gesa
context	kwaghôron
continent	tar cica
continue	zahemen
contract	kwagh eren sha nyar
contrast	kposo
contribute	seer
contribution	iyua
contribution	seer
control	tahav
control	iyol tsaha
controversial	anyiman
controversial	zayol
convenience	mkpeyol
convenient	mpeyol
conversation	iliam
conversation	tadi
convert	gema
convey	zaami
convince	meen
convinced	na jighjigh
cook	yoor
cook	iwyer
cooking	eren kwaghyan
cool	kundu
cooperation	ungwan imo
cope	washima
copper	togula
core	ken ato
corn	ikyureke
corner	zongo
correct	shami
cost	ishe
costume	ikyondo i anumbe
cottage	ityumbe
cotton	mou
couch	ikyônogh
cough	tehe
cough	hogh
could	fatyô u
council	mkohol
count	or
counter	yange
counter	zua ga
country	tar
countryside	kpetar
couple	kwase man nom
courage	tavershima
course	kos
court	koti
courtesy	inja i dedoo
cousin	an ngyô
cover	cir
cow	ngobua
coward	or cian kwagh
coward	ibume or
cozy	lùgh lùgh
crab	ikyambe
crack	hembe
craft	tomaveegh
crap	akoo
crash	mtim
crash	aikyôr
craving	isharen
crawl	kpela
crazy	daang
create	gba
creative	fan tom avee
credit	injo
creep	kpela inya
creepy	ikarikase gbidiem yol
creepy	mcian
crew	nongu
crime	ifer
crime	kwaghbo
cringe	Himbe
crisis	iyongo
crisis	zayol
criteria	igbenda
criteria	akaa i gbe
critical	hangehange
criticism	puun
crop	iyiav
crops	yiav
cross	terankon
cross	per
crow	ikyegh tôngo
crowd	kpilaior
crowded	kpila
crowded	kpishi
crown	idyer i tor
crucial	hange hange
cruel	wa tswam
cruise	nahan
crush	cagh
crush	hyelegh
cry	mliam
cry	vaa
cucumber	daarkura
cuddle	ngeree
culture	mbaior
cunning	atseregh
cup	yongu
cupboard	kabod
curb	panden
curb	yangen
cure	been angev
curfew	hinden hen ya
curfew	sha shie
curiosity	sar u fan
curious	hange
curly	kwaghgovul
currency	inyaregh
current	Latriki
currently	ahagen ahegen
curse	ifan
curtain	ikyondo i yisan
cushion	panden tahav
custom	aeren
customer	orkasua
customs	aeren
cut	tôndo
cute	Doo ashe
cycle	ahumbe
cycling	nahan ikyekye
dad	ter
daddy	ter
daily	hanmasev
dairy	atumba
dam	bar mnger
damage	mvihi
damn	puu
damp	kundu
dance	amagh
danger	kwaghbo
dangerous	cieriyol
dark	ile
darling	andoon wam
dash	na
data	akaa
date	iyange
daughter	wan u kwase
day	yange
dead	orkpen
deadline	sha shighe
deadline	shie kpuaa
deadline	ikighir
deaf	ato akondun
deal	ityendezwa
dear	Udoon no shima
Dear All	hanma or
Dear Customer	orkasua u dedoo
Dear Parents	mbamaren mba doon mo shima
Dear Sir	ortesen wam u doonshima
Dear students	mbayev makerenta mba doonshima
Dear Team	iorav mba tomov mba doonshima
death	ku
debate	nyimankwagh
debit	dugh
debris	awen
debt	injo
decade	anyom deri
decay	hôô
deceased	kpe
deceive	tsugh
december	Disemba
december	uwer u sha pue kaa uhar
decent	inja e dedoo
decent	tsembelee
decide	kaa ser
decided	msoo me
decision	tsua kwagh
deck	mbatsoov
decline	venda
decrease	upanden
dedicated	shima veren
dedication	tsegha
deed	iren
deep	za gbeeng
deer	iyaa asua
default	per
defeat	hemba
defend	kura
define	pasen kwagh
definitely	kpee
definition	u orun kwagh u kwagh a lu yo
degree	digirii
delay	timbir
delayed	ngôôr
delete	kough
deliberate	Sha apera
delicate	taver ga
delicious	nyoho
delight	saan
delighted	doonmo
deliver	yima
delivered	yima
delivery	mar
demand	m-gbe
demanding	pinen
democracy	gomoti u mbakpishiv
demon	satan
demonstrate	tese ikyav
denied	tuna
density	myohom
dentist	ortwer u anyii
deny	tuna
department	afishi
department	iyou
department	gbaatom
departure	ayem
depend	suur
deploy	tindi
deposit	wa kwagh
depressed	ishimayinan
depression	kwagh nyor iyol
depth	mze
describe	pase
description	mpase
desert	deserti
desert	tar ikyôngo
deserve	kuma
design	kpela
designation	tsua
desire	isharen
desk	kwagh teman ngeren kwagh
despair	ishimnyian
desperate	hange
despite	shin er
dessert	tarkyongu
destination	ape u zan
destiny	akper wam
destroy	vihi
destroy	tim
destruction	mtim
detail	vindi vindi
details	vindi vindi
detect	tôv
determination	avershima
determine	kang ishima
determined	kange ishima
devastated	vihi
develop	vese
developed	maa
development	mzehemen
device	tseregh
devil	ormer
devil	diabolo
devoted	na shie
Dhivehi	Dhivehi
diabetes	angev mbu shugar
diarrhea	haa akôngo
diary	takerada
dictionary	tageda u atii
did	er
die	kpe
died	akpe
diet	kwaghyan
difference	mkposo
different	Kposo
difficult	taver
difficult	tsoghor
dig	time
dignity	icivir iyolugh
diligent	shagbashima
dinner	kwaghyan u aikie
dip	mir
direct	jiilaa
direction	kwaghwan
direction	gbenda
director	orvesen
dirt	ii
dirty	ile
dirty	hôngor
disable	iwan
disabled	gba iwan
disabled	mbasomalegh
disappear	sambe
disappointed	va ahenge
disaster	zaiyol u vesen
discard	ta kera
discharge	de tom
discipline	tsaha
discount	pande
discover	za kav er
discrimination	msange
discuss	lyam imongu
discussion	kwagh ôron
disease	angev
diseases	angev
disguise	hôn
disgusting	shima ndohol
dish	kwaghyan
dish	gbande
dish	iwer
dishes	akaayan
dishes	agbande
dismiss	zenda
dismiss	hure
dispatch	tindi
dispatch	tindi ortyom
display	tese
disposal	ian
disposal	akôngo
dispute	ayoosu
distance	nembe
distinct	kpookpoo
distinguish	icivir
distress	zayol
distribution	kwagh karen
district	kpentar
disturb	mzeiyol
ditch	hyungwa
dive	wer ôôn
diverse	wue wue
diverse	kposo kposo
diversity	kposokposo
divide	pav
divine	icighan
divorce	par ivaa
dizzy	mnyam ma korun
do	Er
do you	we ye
do you love me	M doo u ishima
doctor	ortwer
document	takerada
does	er
doesn't	er ga
dog	an iwa
Dogri	Dogri
doing	ieren
doll	eren niumbe
domain	hemen
domestic	ken ya
dominant	humba ave
don't	dekera
Don't worry	de henen shami ga
donate	nagh
done	kure
donkey	nyinya
dope	icii
dope	doo
double	uhaa
doubt	akeeke
dough	mwem
down	shin
download	dugh sha ahumbe
draft	ngyeren i hiihii
drag	kpela
drain	uma
drama	anumbe
draw	dure
draw	kese
draw	kpera
drawer	drowa
drawing	kwagh kpelan
dread	chia
dream	mnyamcien
dress	ikyondo
drill	ongor ho
drink	kwaghman
drive	henda
drop	kende
dropped	kende
drought	icee
drunk	hunde
dry	oso
dry	ombor
duck	agwagwa
duck	adamgbe
dude	orne
due	kuma
due to	sha aci u
dull	Dôgh
dull	embelee
dull	hindughuu
dumb	kondokyer
dump	ta kera
duration	shie u henen u been
during	klem
dust	hyundu
duty	tom
dwell	teman
dying	kpen
each	hanma
each other	ayol en
eager	girim
eagle	iguve
ear	tough
earlier	ken jime
earlier	vande
early	tsuaa
earn	zuan
ears	ato
earth	tar
earthquake	targeman
ease	taverga
easily	fese
east	ken yange milen
easy	kiriki
eat	Ya
eating	yan
economic	gbenda nyar
economy	gbenda nyar
edge	kur
edit	sôô nger
education	ityesen
effect	zayol
effective	eren kwagh sha ikyav
efficiency	tsembelee
efficient	voughur
effort	iniôngon
egg	iji
eggplant	mgishim
ego	kenden akende sha
eight	anigheni
eight	anieni
eighteen	pue nieni
eighty	akundu anyiin
either	Shin
elaborate	jiilaa
elbow	kwende
elder	ortamen
elderly	tamen
elderly	vesen
elegant	doo ashe
element	kwagh
elephant	noo
eleven	pue ka mom
eligible	kuman sha kwagh
eliminate	palegh
eliminate	dugh kera
else	ugen
embarrassed	Kunya kôron
embarrassing	u van ahenge
embarrassing	kunya
embarrassing	hee
embrace	kuve
embrace	kimbe
emerge	due
emergency	kwagh u fele fele
emotional	shima legh legh
empathy	mhôônom
empathy	zungwe
emphasis	or taveraa
emphasize	pase wang
employee	ortom
employees	mba tom
employer	or u tôôn tom
employment	tom u eren
empty	gbilin
enable	wase
encounter	mzou a kwagh
encourage	Tavershima
end	masejime
end	mkur
end	kure
endangered	anger
endeavor	fatyo u
endurance	shima wan
endure	ishima i wan
endure	washima
enemy	orhiom
energy	ager
engage	hii kwagh
engaged	tsor kwase
engagement	zuwan kwagh
engine	injin
engineer	inginia
English	zwa buter
enhance	seer
enjoy	kpe iyol
enormous	kpiligh iyol
enough	Kuma
ensure	nôngo
enter	nyôr
entertainment	kwagh homun
enthusiasm	shmaveren
enthusiastic	msaaniyol
entire	cica cii
entitled	itinekwagh
entity	nongo
entrance	hunda
entrepreneur	orkpenga
entrepreneur	orkasuwa
envelope	imbylugh
envelope	yisa
environment	ajiir
envy	iyuhe
epic	ruamabera
epidemic	angev mbu tsaren
equal	ka
equipment	akaa a even tom
equipment	ikyav
equity	hen ato
equivalent	vough
equivalent	kwagh môm
eraser	kwagh u koughn
error	ifer
error	isholio
escape	mwaa
especially	jim je
essay	kwaghngeren
essence	jighilii
essential	hange-hange
establish	erkwagh
established	ka nahan
estate	zege ya
estimate	iaven kwagh
estimated	kuman
etc	man shi ageen kpaa
eternal	ken won
ethics	atindi
evaluate	kar
evaluation	kar
evaluation	tôvon fan
even	shin
even though	sha nahan yo
evening	aikie
event	akaa
eventually	ke mase jime
ever	ma yange
every	hanmakwagh
everybody	hanmaor
everyone	hanma or
everything	hanma-kwagh
evidence	ikyav
evil	tsav
evolution	mgem
evolve	hingir kwaghgenegh
evolve	geman kwagh
Ewe	Ewe
ex	tse
exact	jigh jigh
exactly	voogh
exam	ikyaren
examine	time sha
examine	tôv sha
example	ikyav
exceed	kar
exceed	hemba
excellent	doo tsung
except	saa
exception	saa di
excess	nger gande
excessive	kpishi
exchange	musan
excited	Maa iyol
excitement	iember
exciting	saan iyol
exclusive	tseegh
exclusive	tswen
excuse	ityôkyaa
excuse	kôr ave
excuse me	yam anyi
execute	tim
execute	wua
execution	eren kwagh
executive	orvesen
exercise	iyolkaren
exhaust	bee
exhausted	Vôr
exhibit	tese
exhibit	u lun
exhibition	tesen
exhibition	lun
exist	lu
existence	lun
existing	lun shin tar
exit	mire
exit	due
expand	gbanger
expect	shima veren keghen
expected	ashe averen
expenses	vihin nyaregh
expensive	taver-ishe
experience	fa
experiment	kar
expert	mbafankwagh
expired	kpe
explain	pase
explanation	mpase
exploit	mtser
explore	gbinda kposokposo
export	due
expose	pase
exposed	ken igbar
exposed	pase
exposure	mwanger
express	fesefese
expression	ityesen is sha shi
extend	see ken hemen
extended	gôgônan
extension	mseer ken hemen
extent	iaven
external	ke won
extinct	timin
extra	seer
extract	dugh
extraordinary	cier yol
extraordinary	kpiliyol
extreme	tagher
extremely	ken ikyulen
eye	ashe
eyes	ashe
fabric	ikyondo
fabulous	doo kpishi
face	ishigh
facilitate	wase tom
facilities	akaa a tom
facility	iyaagh
facility	ijiir
fact	akaa
factor	akaa
factory	ateiwa
facts	Jighilii
fade	mire
fail	gba
failed	gba
failure	kwagh hemban
faint	hume
fair	Nyian
fairly	sha inja
fairy	kwagh orun homun
faith	jighjigh
faithful	jigh jigh
fake	mimiga
fake	aiye
fall	gba
FALSE	ayie
fame	za iti
familiar	kwagh u ivandefan yo
family	tsombor
famine	ijen
famous	za iti
fan	peepee
fan	or suen
fancy	doo ashe
fantastic	kwagh u kpilighyol
fantastic	doo je gande
far	ca
farewell	saa shiegen
farm	sule
farmer	orsule
fascinating	kwaghdoon
fashion	inja
fast	purugh
fast	fefa
fast	fele
fat	ahôm
fat	kehe
fat	himbilii
fatal	bo
fate	ku
father	ter
fatigue	vôr
fatigue	tume iyol
fault	shamiga
favorite	henban doon
favour	laa
favourite	henbandoon
fear	cia
feast	iniongu
feather	ngur
feature	ityo-kwagh
feature	Itine-kwagh
features	atinekaa
february	febewari
february	uwer u sha uhar
fed up	kumam
fee	inja
feed	yie
feedback	ibaver
feel	bende
feeling	mlu u shima
feet	angahar
fell	agbe
fellow	angbianev
fellow	imôngo
felt	m fa me
female	Ngô
female	Kwase
fence	kpekpe ya
fertile	doo
festival	iniongo
fetch	kese
fever	iyol hian
fever	fiva
few	kpuaa
fewer	pande
fiance	shioryam
fiction	kwaghhir
field	fiidi
field	hyande
fierce	taveraa
fifteen	pue kaa utaan
fifty	akundu ahar gber
fight	num
fighting	num nongon
figure	kwagh kperan
figure out	kaven
figure out	ker u fan
file	za wa
fill	cir dzwa
filled	iv
film	fiim
filthy	hongur
finally	masen
finance	inyar
financial	inyar
find	Zua
find out	mfe
find out	u fa
fine	dedoo
finger	ihôwe
finish	bee
finished	bee
fire	usuh
firm	geng geng
first	Hii hii
first name	iti i hiihii
fish	ishu
fit	kuma
five	utaan
fix	ver
fixed	ver
flag	tuta
flash	iwanger
flat	mbyattaa
flat	pataa
flat	casem
flaw	shami ga
flawless	ikyo
flee	yevese
flesh	iyol
flesh	nyam
flew	pulugh
flex	ngyeren I engem
flex	shaagee
flexible	igbenda kposo kposo
flexible	igbenda
flight	yevese
flight	purugh
flight	ayem
flip	bugh
flirt	hian
flirting	ihian
float	kua
flood	zegemnger u kuan ior
floor	inya
floor	vande
floor	tembe iyou
flour	wua
flow	kua
flower	faluwa
flower	toho
flower	imondon
flu	hough
fluent	mba ve fe
fluent	u fan kwaghôron
fluently	tsembelee
fluffy	tsoghul ga
fluid	zar
fly	pulugh
focus	ver ashe sha mi
fog	iikpii
foggy	ikyon
fold	hule
folks	aboki
