ए	a
उपस्थीत	attend
हाजीरी	attend
उपस्थिती	attendance
वृत्ती	attitude
आकर्शण	attraction
आकर्शक	attractive
प्रेक्षक	audience
ऑगस्ट	august
आते	aunt
काकी	aunt
मामी	aunt
मावशी	aunt
आतें	aunty
काकी	aunty
मामी	aunty
मावशी	aunty
अस्सल	authentic
लेखक	author
प्राधिकरण	authority
शरद	autumn
उपलब्ध	available
सरासरी	average
टाळचें	avoid
टाळप	avoid
पुरस्कार	award
जागृती	aware
जागृताय	awareness
पयस	away
भिरांकुळ	awful
वायट	awful
कठीण	awkward
लजोवपी	awkward
आइमारा	Aymara
बाळक	baby
शिशू	baby
आंकवार	bachelor
फाटीं	back
फाटभूंय	background
वायट	bad
पिशवी	bag
बॅग	bag
हांयस	bait
भाजप	bake
बेकरी	bakery
शिल्लक	balance
बॉल	ball
बंबारा	Bambara
केळे	banana
बँड	band
धपको	bang
बँक	bank
बार	bar
निखटें	barely
घासाघीस	bargain
भूंकप	bark
जव	barley
आडमेळें	barrier
आदार	base
तळ	base
मूळ	base
आदारून	based
तळ	basement
मुळावें	basic
मुखेलपणान	basically
तुळस	basil
अनौरस	bastard
बॅच	batch
न्हाण	bath
बाथरूम	bathroom
मान्ने	bathroom
बॅटरी	battery
झुज	battle
दर्या	bay
आसप	be
बिच	beach
झोत	beam
बीम	beam
बिन्स	beans
वास्वेल	bear
खाड	beard
रोख	bearing
मोनजात	beast
श्वापद	beast
बडोवप	beat
मारप	beat
सुंदर	beautiful
सोबीत	beautiful
सोबीतकाय	beauty
जावप	became
कारण	because
जावप	become
सोबब	become
खाट	bed
न्हीदचीकूड	bedroom
मूस	bee
बीफ	beef
आसप	been
जावप	been
बिअर	beer
आदीं	before
सुरू	began
सुरवात	begin
सुरवात	beginning
वाग	behave
वर्तन	behavior
वागणूक	behavior
वागणूक	behaviour
फाटीं	behind
अस्तित्व	being
मनीस	being
स्थिती	being
भरवंसो	belief
विस्वास	believe
पोट	belly
लागीं	belong
संबंद	belong
जिवलग	beloved
प्रिय	beloved
सकयल	below
बेल्ट	belt
बांक	bench
बागोवप	bend
पोंदा	beneath
सकयल	beneath
फायदो	benefit
लाभ	benefits
तेभायर	beside
तेभायर	besides
उत्तम	best
शुभेच्छा	best regards
उत्तम	better
मजगतीं	between
मदीं	between
पेय	beverage
पेल्यान	beyond
भोजपुरी	Bhojpuri
पुर्वाग्रह	bias
सायकल	bicycle
बीड	bid
मोठे	big
व्हड	big
बायक	bike
बिल	bill
बांदिल्लें	bind
सुकणें	bird
वाडदीस	birthday
कपो	bit
कुडको	bit
घांस	bit
थोडोसो	bit
चाबप	bite
कडू	bitter
काळें	black
ब्लेड	blade
आरोप	blame
रिकामें	blank
गोजडी	blanket
चादर	blanket
स्फोट	blast
ब्लीच	bleach
वांटप	blend
आशिर्वाद	bless
आशिर्वाद	blessed
कुड्डेंपण	blind
भाग्य	bliss
आडावचें	block
रगत	blood
फुलप	bloom
फुगोवप	blow
व्हांवप	blow
निळें	blue
निर्भीड	blunt
मंदबुद्दी	blunt
फळो	board
बोर्ड	board
मंडळ	board
बोट	boat
कूड	body
शरीर	body
उकडप	boil
ठळक	bold
बोल्ड	bold
बंध	bond
बाँड	bond
हाड	bone
पुस्तक	book
बूस्ट	boost
बूस्टर	booster
बूट	boot
बूट्स	boots
शीम	border
बुराक	bore
वाजेवणे	bore
बेजारिल्लो	bored
कंटाळवाणे	boring
जल्म	born
जल्मल्लें	born
उश्णे	borrow
बॉस	boss
दोनूय	both
बाटली	bottle
तळ	bottom
सकयल	bottom
घेतिल्लें	bought
बाउन्स	bounce
बाउंड	bound
शिमो	boundaries
धोणू	bow
बागोवप	bow
वाटी	bowl
पेटी	box
बॉक्स	box
चलो	boy
मोगी	boyfriend
ब्रासलेट	bracelet
मेंदू	brain
शाखा	branch
ब्रांड	brand
धाडसी	brave
हूशार	brave
उल्लंघन	breach
पाव	bread
फोडप	break
नाश्तो	breakfast
मोमो	breast
श्वास	breath
श्वास	breathe
ब्रीड	breed
चिरो	brick
व्हंकल	bride
पूल	bridge
संक्षिप्त	brief
उजळ	bright
हूशार	brilliant
हाडप	bring
भाव	bro
विस्तृत	broad
प्रसारण	broadcast
फुटप	broke
खंडीत	broken
झाडू	broom
सान्न	broom
भाव	brother
भावोजी	brother in law
मेवणो	brother in law
हाडप	brought
तपकिरी	brown
ब्रश	brush
बकेट	bucket
भावा	buddy
अदमास	budget
बग	bug
समस्या	bug
बांधणी	build
इमारत	building
बांधणी	built
बिल्ट	built
बल्क	bulk
बैल	bull
गुंड	bully
धपको	bump
घोस	bunch
बंडल	bundle
चेपण	burden
वजें	burden
पुरले	buried
मसंड	buried
लासप	burn
फुटप	burst
पुरप	bury
बस	bus
झील	bush
वेवसाय	business
हड्डें	bust
व्यस्त	busy
पूण	but
लोणी	butter
फुलपाखरूं	butterfly
बटन	button
प्रमाणे	by
वरवीं	by
बाय	bye
तशें	by the way
कोबी	cabbage
कॅबिनेट	cabinet
पांदरो	cage
केक	cake
पाडूक	calf
आपोवप	call
कॉल	call
आपोवप	called
थंड	calm
शांत	calm
आयलो	came
मोहिम	campaign
शकता	can
रद्द	Cancel
कर्करोग	cancer
कॅन्सर	cancer
सामर्थ्यवान	capable
क्षमता	capacity
कॅपिटल	capital
राजधानी	capital
माथाळो	caption
हस्तगत	capture
कार	car
करिअर	career
जतनायेन	careful
जतनायेन	carefully
निष्काळजी	careless
मायेस्त	caring
थवय	carpenter
मेस्त	carpenter
शेंदरी	carpet
गाजर	carrot
व्हरप	carry
करचें	carry on
करचें	carry out
केस	case
प्रकरण	case
नकद	cash
रोख	cash
नमुनो	cast
किल्लो	castle
औपचारीक	casual
माजर	cat
धर	catch
धरप	catch
वर्ग	category
श्रेणी	category
गोरवां	cattle
धरप	caught
कारण	cause
चत्राय	caution
सावध	cautious
भुंयार	cave
छप्पर	ceiling
सिलींग	ceiling
मनोवप	celebrate
पेशी	cell
केंद्र	center
मध्य	center
शतक	century
कडधान्न्य	cereal
सुवाळो	ceremony
विशिश्ट	certain
निश्चीतपणान	certainly
प्रमाणपत्र	certificate
साखळी	chain
कदेल	chair
आव्हान	challenge
संद	chance
बदल	change
गर्दी	chaos
गोंदळ	chaos
वर्ण	character
शील	character
स्वभाव	character
गूणधर्म	characteristics
चार्ज	charge
पदभार	charge
विद्युतभार	charge
दान	charity
देणगी	charity
सुखदिणें	charming
चार्ट	chart
चॅट	chat
सवाय	cheap
फटोवप	cheat
फटोवप	cheating
तपास	check
गाल	cheek
चीअर	cheer
आनंदी	cheerful
उमेदी	cheerful
चिअर्स	cheers
चिज	cheese
रसायनशास्त्र	chemistry
अपुरबाय	cherish
बुद्दीबळ	chess
छाती	chest
चोखप	chew
कुकडां	chicken
चिकन	chicken
मुखेल	chief
भुरगें	child
भुरगेपण	childhood
भुरगीं	children
कुडकुडो	chill
शीं	chill
चिमण्यो	chimneys
खाडकी	chin
चॉकलेट	chocolate
निवड	choice
पसंती	choice
निवडचें	choose
वेंचचें	choose
शिनप	chop
कोरस	chores
चुब्बी	chubby
चर्च	church
तिखी	cinnamon
वर्तूळ	circle
परिस्थिती	circumstances
नागरीक	citizen
शार	city
दावो	claim
वर्ग	class
माती	clay
नितळ	clean
नितळ	clear
पुसप	clear
कारकून	clerk
बुदवंत	clever
हूशार	clever
क्लायंट	client
दोंगर	cliff
हवामान	climate
चडप	climb
चिकट	clingy
घड्याळ	clock
धांपप	close
बंद	close
कुरकूट	closet
कपडे	cloth
कपडे	clothes
मुस्तायकी	clothes
कूप	cloud
ढग	cloud
ढगाळ	cloudy
मोड	cloudy
क्लोन	clown
कुरू	clue
संकेत	clue
ओबडधोबड	clumsy
कुरूप	clumsy
चोंबो	cluster
कोच	coach
प्रशिक्षक	coach
कोळसो	coal
दर्यादेग	coast
कोट	coat
थर	coat
कॉफी	coffee
ज्ञानशक्तिमान	cognitive
संयोग	coincidence
थंड	cold
कडसरावचें	collapse
कॉलर	collar
सहकारी	colleague
सहकारी	colleagues
संग्रह	collect
संग्रह	collection
म्हाविद्यालय	college
रंग	color
रंग	colour
स्तंभ	column
दातौणी	comb
फणी	comb
एकठांवणी	combination
जोड	combine
संयुक्त	combine
येवप	come
यो	come
आराम	comfort
सुसेग	comfort
आरामदायक	comfortable
चैनीचें	comfortable
येता	coming
आदेश	command
कमांड	command
टिप्पणी	comment
वाणिज्य	commercial
कमीशन	commission
करप	commit
वचन	commit
लागणूक	commitment
वचनबद्दताय	commitment
करप	committed
वस्तू	commodity
सामुग्री	commodity
साहित्य	commodity
सामान्य	common
दळणवळण	communication
समुदाय	community
यो-वच	commute
सहकारी	companion
कंपनी	company
तुळा	compare
काकुळट	compassion
मायेस्त	compassionate
अनुरूप	compatible
अधिकृत	competent
सर्त	competition
स्पर्धात्मक	competitive
कागाळ	complain
कागाळ	complaint
पुरक	complement
पुराय	complete
पूर्ण	complete
पुरायेन	completely
कठीण	complex
गूंतागूंतीचें	complex
अनुपालन	compliance
गूंतागूंतीचें	complicated
जटील	complicated
तोखणाय	compliment
रचना	composition
दुरीग	compound
आकलन	comprehension
बोध	comprehension
सर्वसमावेशक	comprehensive
सक्तीचें	compulsory
संगणक	computer
संकल्पना	concept
हुस्को	concern
संबंदीत	concerned
हुस्को	concerned
कॉन्सर्ट	concert
निश्कर्श	conclusion
ठोस	concrete
अट	condition
स्थिती	condition
स्थिती	conditions
आचरण	conduct
परिशद	conference
खात्री	confidence
विस्वास	confidence
आत्मविस्वासी	confident
धीट	confident
खात्री	confirm
निश्चीत	confirm
पुश्टी	confirm
संघर्श	conflict
गोंदळिल्लो	confused
गोंदळ	confusion
अभिनंदन	congrats
अभिनंदन	congratulation
अभिनंदन	congratulations
परबी	congratulations
युती	conjunction
जोडचें	connect
जिखप	conquer
सावध	conscious
चेतना	consciousness
मंजुरी	consent
संमती	consent
निष्पत्ती	consequences
परिणाम	consequences
आरक्षण	conservation
राखण	conservation
आरक्षीत	conservative
एकमुळो	conservative
समावेश	consist
सातत्य	consistency
सातत्यान	consistent
थीर	constant
नित्य	constant
सातत्यान	constantly
बध्दकोश्टता	constipation
बांदकाम	construction
खावप	consume
सेवन	consume
खर्च	consumption
खावप	consumption
संपर्क	contact
संसर्ग	contagious
आसपावता	contain
आसपावीत	contains
समकालीन	contemporary
तिरस्कार	contempt
मजकूर	content
सामुग्री	content
स्पर्धा	contest
संदर्भ	context
खंड	continent
कंत्राट	contract
अपारदर्शक	contrast
योगदान	contribute
योगदान	contribution
नियंत्रण	control
वादग्रस्त	controversial
सोय	convenience
सोयीचें	convenient
संभाशण	conversation
पावोवप	convey
समजावप	convince
रांदपी	cook
रांदप	cooking
थंड	cool
शांत	cool
सहकार्य	cooperation
तांबें	copper
मको	corn
कोनसो	corner
अचूक	correct
बरोबर	correct
दर	cost
पोशेग	costume
खोेप	cottage
कापूस	cotton
कोच	couch
कफ	cough
खोकली	cough
शकप	could
मंडळ	council
मेजणी	count
गल्लो	counter
नाब	counter
विरोध	counter
देश	country
जोडपें	couple
उर्बां	courage
प्रोत्साहन	courage
साहस	courage
अभ्यासक्रम	course
पाठ्यक्रम	course
प्रवाह	course
कोर्ट	court
न्यायालय	court
शिश्टाचार	courtesy
आतेभाव-भयण	cousin
बापोलभाव-भयण	cousin
मामेभाव-भयण	cousin
मावसभाव-भयण	cousin
आच्छादन	cover
कव्हर	cover
धांपणे	cover
गाय	cow
भितरो	coward
भिवकुरो	coward
हलकेंफुलकें	cozy
कुल्ली	crab
भेग	crack
हस्तकला	craft
लेंडी	crap
दिवाळें	crash
इत्सा	craving
पिशें	crazy
सर्जनशील	creative
उश्णे	credit
क्रेडिट	credit
सरकटप	creep
चलप	creepy
चोंबो	crew
तारवटी	crew
गुन्यांव	crime
संकट	crisis
निकश	criteria
गंभीर	critical
टिका	criticism
समिक्षा	criticism
पीक	crop
पिकावळ	crops
क्रॉस	cross
कावळो	crow
गर्दी	crowd
मुकुट	crown
गंभीर	crucial
म्हत्वाचें	crucial
क्रूर	cruel
पाशवी	cruel
क्रुझ	cruise
चिड्डप	crush
रडप	cry
तवशें	cucumber
वेंग	cuddle
संस्कृती	culture
धूर्त	cunning
कप	cup
आलमार	cupboard
अंकूश	curb
उपाय	cure
कर्फ्यू	curfew
उत्सूकताय	curiosity
कुरळे	curly
चलन	currency
चालंत	current
सद्या	current
चालंत	currently
सद्या	currently
हालींच	currently
स्त्राप	curse
पडदो	curtain
कुशन	cushion
कस्टम	custom
रिवाज	custom
रुढी	custom
गिरायक	customer
रिवाज	customs
रुढी	customs
कातरप	cut
कापप	cut
सुंदर	cute
सायकल	cycle
बाबा	dad
डॅडी	daddy
बाबा	daddy
सद्दां	daily
डेअरी	dairy
धरण	dam
लुकसाण	damage
हानी	damage
उडोवप	damp
नाच	dance
धोको	danger
धोक्याचें	dangerous
हानीकारक	dangerous
काळोख	dark
गाड	dark
मोगा	darling
डॅश	dash
डेटा	data
तारीख	date
धूव	daughter
दीस	day
मृत	dead
मेल्लो	dead
डेडलायन	deadline
भेड्डो	deaf
सौदो	deal
मोगाळ	dear
मरण	death
वादविवाद	debate
डेबिट	debit
वजा	debit
अवशेश	debris
गोबोर	debris
राख	debris
कर्ज	debt
रीण	debt
दशक	decade
कुसप	decay
मृत	deceased
फटोवप	deceive
डिसेंबर	december
देसेंत	decent
सभ्य	decent
निर्णय	decide
थारायलां	decided
निर्णय	decision
डॅक	deck
न्हयकारप	decline
कमी	decrease
देंवप	decrease
समर्पित	dedicated
समर्पण	dedication
कर्तूब	deed
खोल	deep
हरण	deer
चूक	default
डिफॉल्ट	default
दोश	default
हार	defeat
संरक्षण	defend
खात्रीशीर	definitely
निश्चीतपणान	definitely
व्याख्या	definition
पदवी	degree
कळाव	delay
वगळावचें	delete
हेतूपुर्वक	deliberate
नरम	delicate
रुच्चीक	delicious
संतोस	delight
उमेदी	delighted
डेलिवर	deliver
धाडलें	delivered
डिलिवरी	delivery
मागणी	demand
मागणी	demanding
लोकशाय	democracy
राकेस	demon
प्रदर्शन	demonstrate
न्हयकारलें	denied
घनता	density
दाटसाण	density
न्हयकार	deny
विभाग	department
वचप	departure
सोडप	departure
अवलंबून	depend
निंबून	depend
तैनात	deploy
ठेव	deposit
चिंता	depression
ताण	depression
खोलाय	depth
वर्णन	description
वाळवंट	desert
पात्र	deserve
लायक	deserve
डेझेन्य	design
रचना	design
सजावट	design
पद	designation
इत्सा	desire
कामना	desire
हेत	desire
बांक	desk
निरशेणी	despair
आत्यंतीक	desperate
डेझर्ट	dessert
रेंवट	dessert
वाळवंट	dessert
नशीब	destiny
नाश	destroy
नाश	destruction
तपशील	detail
तपशील	details
कळप	detect
मेळप	detect
निश्चेव	determination
थारावप	determine
निश्चीत	determine
निग्रही	determined
हट्टी	determined
विकास	develop
विकसीत	developed
उदरगत	development
विकास	development
उपकरण	device
डिव्हायस	device
राकेस	devil
समर्पित	devoted
दिवेही	Dhivehi
गोडेंमूत	diabetes
हागवण	diarrhea
डायरी	diary
शब्दकोश	dictionary
करप	did
सोडोवप	did
मरण	die
मरण	died
मृत	died
आहार	diet
अंतर	difference
फरक	difference
भेद	difference
वेगळें	different
कठीण	difficult
खणप	dig
प्रतिश्ठा	dignity
व्हडपण	dignity
सतर्क	diligent
बुचकळप	dip
थेट	direct
प्रत्यक्ष	direct
दिका	direction
संचालक	director
घाण	dirt
म्हेळें	dirt
घाण	dirty
म्हेळ	dirty
निश्क्रीय	disabled
अप्रगट	disappear
अपेक्षाभंग	disappointed
खेद	disappointed
नापसंती	disappointed
नाराज	disappointed
आपत्ती	disaster
संकश्ट	disaster
बडतर्फ	discard
शिश्त	discipline
सवलत	discount
सूट	discount
तपास	discover
सोद	discover
भेदाभेद	discrimination
चर्चा	discussion
दुयेंस	disease
रोग	disease
दुयेंस	diseases
वेशांतर	disguise
किळसवाणे	disgusting
पदार्थ	dish
पदार्थ	dishes
बडतर्फ	dismiss
धाडप	dispatch
डिस्प्ले	display
प्रदर्शन	display
किजील	dispute
अंतर	distance
खेरीत	distinct
स्पश्ट	distinct
भेद	distinguish
दुख्ख	distress
संकश्ट	distress
वांटप	distribution
वितरण	distribution
जिल्लो	district
बाधा	disturb
व्यत्यय	disturb
फटोवप	ditch
पाणबुडी	dive
तरेकवार	diverse
विविधताय	diversity
विभागणी	divide
दैवी	divine
घटस्फोट	divorce
करचें	do
करप	do
दोतोर	doctor
दस्तावेज	document
करप	does
ना	doesn't
कुत्रो	dog
डोगरी	Dogri
करप	doing
बावली	doll
डोमेन	domain
घरगुती	domestic
स्वदेशी	domestic
प्रबळ	dominant
जालें	done
गाढव	donkey
दोट्टी	double
प्रस्न	doubt
संशय	doubt
सकयल	down
तुमी	do you
मसुदो	draft
ओडप	drag
गाळप	drain
नाटक	drama
पितारप	draw
रेखाटण	draw
खण	drawer
रेखाटण	drawing
भंय	dread
भिरांत	dread
सपन	dream
पोशेग	dress
ड्रील	drill
पेय	drink
चलोवप	drive
थेंबो	drop
सोडलें	dropped
दुकळ	drought
पिलें	drunk
सुकें	dry
बकें	duck
भावा	dude
कारण	due
देय	due
निस्तेज	dull
मंद	dull
मूक	dumb
उडोवप	dump
घालप	dump
कालावधी	duration
मजगती	during
धुल्ल	dust
कर्तव्य	duty
निवास	dwell
मरता	dying
दरेकी	each
प्रत्येक	each
एकामेकाक	each other
उचंबळीत	eager
उत्सुक	eager
गरूड	eagle
घार	eagle
कान	ear
आदीं	earlier
आदीं	early
पयलीं	early
बेगीन	early
कमाय	earn
कमोवचें	earn
कान	ears
धर्तरी	earth
पृथ्वी	earth
भूंयकाप	earthquake
सोंपें	ease
सोंपेंरितीन	easily
उदेंत	east
सहज	easy
सोंपें	easy
खा	eat
खावप	eat
खावप	eating
अर्थिक	economic
अर्थवेवस्था	economy
कड	edge
देग	edge
शिक्षण	education
परिणाम	effect
प्रभाव	effect
परिणामकारक	effective
प्रभाव	efficiency
कार्यक्षम	efficient
प्रयत्न	effort
येत्न	effort
तातीं	egg
वायंगे	eggplant
गर्व	ego
आठ	eight
अठरा	eighteen
ऐंशीं	eighty
एकतर	either
कोंपर	elbow
जाण्टो	elder
व्हडलो	elder
जाणटो	elderly
मोहक	elegant
सोबीत	elegant
घटक	element
हत्ती	elephant
इकरा	eleven
पात्र	eligible
काडप	eliminate
अतिरिक्त	else
तेभायर	else
लजेवणे	embarrassing
आपणावप	embrace
वेंगावप	embrace
उत्पन्न	emerge
प्रगट	emerge
आपात्काळ	emergency
भावनीक	emotional
समदुख्खी	empathy
कर्मचारी	employee
कर्मचारी	employees
धनी	employer
रोजगार	employment
रिकामें	empty
सक्षम	enable
उर्बां	encourage
प्रोत्साहन	encourage
शेवट	end
समाप्ती	end
प्रयत्न	endeavor
येत्न	endeavor
जिद्द	endurance
चिकाटी	endure
शत्रू	enemy
उर्जा	energy
गूंतप	engage
गूंतप	engaged
घुसपप	engaged
गूंतवण	engagement
साकरपुडो	engagement
इंजीन	engine
अभियंतो	engineer
इंग्लीश	English
वाडोवप	enhance
खूब	enormous
प्रचंड	enormous
फावोशें	enough
निश्चीत	ensure
प्रवेश	enter
मनरिजवण	entertainment
उमेद	enthusiasm
उमेदी	enthusiastic
पुराय	entire
सगलें	entire
बांधील	entitled
हकदार	entitled
आस्थापन	entity
प्रवेशदार	entrance
उद्देजक	entrepreneur
लाखाटो	envelope
पर्यावरण	environment
वातावरण	environment
मत्सर	envy
म्हाग्रंथ	epic
म्हामारी	epidemic
बरोबर	equal
समान	equal
अवजार	equipment
उपकरण	equipment
इक्विटी	equity
समतूल्य	equivalent
खोडरब्बर	eraser
चूक	error
दोश	error
समस्या	error
पलायन	escape
सोडप	escape
निबंध	essay
सत्व	essence
गरजेचें	essential
म्हत्वाचें	essential
आस्थापीत	established
इस्टेट	estate
अंदाज	estimate
अंदाजी	estimated
इत्यादी	etc
अनंत	eternal
नितीतत्वां	ethics
मूल्यांकन	evaluate
मोलावणी	evaluation
तरीय	even
तिळसांज	evening
सांज	evening
कार्यावळ	event
प्रसंग	event
अखेरेक	eventually
सदांच	ever
दरेक	every
सगलें	everything
पुरावो	evidence
दुश्ट	evil
वायट	evil
उत्क्रांती	evolution
उत्पन्न	evolve
विकास	evolve
एवै	Ewe
आदलें	ex
एक्स	ex
अचूक	exact
अचूक	exactly
तंतोतंत	exactly
परिक्षा	exam
चाचणी	examine
उदारण	example
हुंपता	exceed
उत्कृश्ट	excellent
अपवाद	exception
अतिरिक्त	excess
चड	excessive
हिस्पाभायर	excessive
अदलाबदल	exchange
एक्सचेंज	exchange
उत्साही	excited
उमेदी	excited
उत्साह	excitement
उचंबळीत	exciting
उमळशीक	exciting
एकमात्र	exclusive
अंमलबजावणी	execution
कसरत	exercise
व्यायाम	exercise
सोंपलें	exhausted
प्रदर्शन	exhibit
प्रदर्शन	exhibition
अस्तित्व	existence
अस्तित्वांतलें	existing
प्रस्थान	exit
विस्तारावप	expand
अपेक्षा	expect
अपेक्षीत	expected
खर्च	expenses
म्हारग	expensive
अणभव	experience
प्रयोग	experiment
तज्ञ	expert
मरप	expired
सोंपप	expired
सांगप	explain
स्पश्टीकरण	explanation
पिळणूक	exploit
निर्यात	export
उघड	exposed
एक्सप्रेस	express
थेट	express
हावभाव	expression
विस्तार	extension
बाह्य	external
लुप्त	extinct
अतिरिक्त	extra
आपरोस	extract
काडचें	extract
अलोकीक	extraordinary
अत्युच्च	extreme
खूब	extremely
दोळो	eye
दोळे	eyes
फॅब्रिक	fabric
सुंदर	fabulous
चेरो	face
सुविधो	facilities
सुविधा	facility
वस्तुस्थिती	fact
घटक	factor
कारखानो	factory
वस्तुस्थिती	facts
निस्तेज	fade
अपेशी	fail
अपेस	fail
नापास	fail
अपेशी	failed
अपेस	failure
घुंवप	faint
रास्त	fair
न्यायान	fairly
परी	fairy
भावार्थ	faith
विस्वासू	faithful
फट	fake
पडप	fall
फट	false
लोकप्रियता	fame
संवकळीचें	familiar
कुटुंब	family
दुकळ	famine
दुर्भिक्ष	famine
नामनेचें	famous
फामाद	famous
फॅन	fan
मानपी	fan
लहर	fancy
विलक्षण	fantastic
फेअरवेल	farewell
शेत	farm
शेतकार	farmer
फॅशन	fashion
जलद	fast
बेगीन	fast
चरबी	fat
मोठो	fat
घातक	fatal
जीवघेणें	fatal
नशीब	fate
बापूय	father
कश्ट	fatigue
चूक	fault
दोश	fault
आवडीचें	favorite
फावोर	favour
आवडीचें	favourite
भंय	fear
फेस्त	feast
पिसां	feather
खाशेलपण	feature
खाशेलपणा	features
फेब्रुवारी	february
फी	fee
चरव	feed
भरण	feed
प्रतिक्रिया	feedback
भासप	feel
भावना	feeling
पांय	feet
फूट	feet
पडप	fell
फॅलो	fellow
शीश्य	fellow
जाणवप	felt
अस्तुरी	female
बायल	female
वंय	fence
सुपीक	fertile
उत्सव	festival
सोदप	fetch
जोर	fever
थोडें	fever
कांय	few
थोडें	few
