a	Un
beverage	tlaili
beyond	achi ne
Bhojpuri	Bhojpuri
bias	tetlapalnsuilistli
biased	sesgado
bicycle	omemalakatl
bid	tlatomintemoli
big	ueyi
bike	omemalakatl
bill	postektli
bind	ilpia
bird	tototl
birthday	pakilis itonaltlakatki
bit	pilkentsi
bite	tlankechili
bitter	chichik
black	yayauik
blade	xiuitl
blame	tlajtlakoli
blank	in chipauak
blanket	tlakemitl
blast	tlatopontli
bleach	tlachipauili
blend	tlaneloa
bless	tlatiochiuali
blessed	teotiochiuali
blind	axtlachiya
bliss	pakilistli
block	nopanoyiya
blood	estli
bloom	xochitl
blow	tlaajapeua
blue	matlaltik
blunt	axtlateki
board	uapali
boat	tepoxkaxil
body	nakayotl
boil	moloni
bold	apinauani
bond	mekatl
bone	omitl
book	amoxtli
boost	piui
booster	ual tlapaleuiya
boot	kaktli
boots	kaktli
border	kalixkuatl
bore	atlauinani
bored	kuesiui
boring	tlatsiuili
born	elki
borrow	tlaneltili
boss	tlanauatijki
both	ojome
bother	tlaajasi
bottle	teuilospastli
bottom	sentlani
bought	nikokjki
bounce	tempixoa
bound	tlatsoyitili
boundaries	kualixkuatl
bow	pachoa
bowl	tazón
box	kalotl
boy	telpokatl
boyfriend	tlaixnamik
bracelet	makistli
brain	kuayolotl
branch	seyok amatlakuilokan
brand	tekineskayotl
brave	kolotik
breach	infracción
bread	pantsi
break	siakauilis
breakfast	tenisalistli
breast	elpantli
breath	tlaiyotilana
breathe	tlaiyotilantli
breed	mekayotl
brick	xamixtli
bride	noaxka
bridge	panotlaokan
brief	achik
bright	Tlapetlantli
brilliant	tlapetlantli
bring	ualika
bro	ijni
broad	patlantik
broadcast	transmisión
broke	postektok
broken	tsayantok
broom	tlaxpanotl
brother	ijni
brother in law	kompa
brought	koyoyomitl
brown	poktik
brush	tlaixpetlaua
bucket	teposkaxil
buddy	uampo
budget	istlapoaloni
bug	ilamaokuilin
build	kalchiuani
building	uekapanksli
built	tlakestli
bulk	tlamamali
bull	okichuajka
bully	tlaajasi
bump	tlaluitekilistli
bunch	sempcholi
bundle	tlamamali
burden	tlamama
buried	kijtokeya
burn	tlatla
burst	topontli
bury	toka
bus	ueyiteposkauayo
bush	kuautontli
business	kaltlanamakaketl
bust	tetltlaixkopinka
busy	motekipachoa
but	pero
butter	kuakuauaseseyotl
butterfly	papalotl
buy	coui
by	uajka
by the way	uan nojkia
bye	ti moitase
cabbage	kiltektli
cabinet	tekiuejmej
cage	teposkali
cake	nekuyopantsin
calf	kotstli
call	tsanonotsalistli
call me	xinechnotsa
called	nonotski
calm	seseuili
came	uslajki
campaign	campaña
can	tepostkajtli
can't	axniueli
Cancel	tlatiluauani
cancer	temalotl
capable	uelitini
capacity	tlen uelij
capital	altepetepantlajtokan
caption	piltlakuiloli
capture	matilistli
car	teposkauayo
career	ijisiulti
careful	netlakuitlauini
carefully	ikalmaluili
careless	yolokimalo
caring	tlasojtli
carpenter	kuauxinki
carpet	palpetlatl
carrot	kaxtilkamojtli
carry	kiuika
carry on	tepostoka
carry out	tijukas tlanauatiketl
case	tlajkia
cash	tomi
cast	tetatlxexeuilistli
castle	kaxtilkali
casual	atenamachpan
cat	misto
catch	itski
category	categoría
cattle	kkyakuapialmej
caught	kiski
cause	pejki
caution	icamanajuili
cautious	precavido
cave	ostotl
cease	cesar
ceiling	eljuikak tlakakayali
celebrate	iljuitl
cell	yolisatichitontli
center	tlajtlajko
century	poualxiuilistli
cereal	cereal
ceremony	ijtotl
certain	nelia
certainly	nelnelia
certificate	yolnankili
chain	teposmekatl
chair	ikpali
challenge	ouilistli
chance	inmanyotl
change	patlas
chaos	tlaxitinilia
character	ajkaya maseual
characteristics	kejatsa ekij
charge	tekitiya
charity	ikneliyotl
charming	tlaxochiuilistli
chart	nautlateuili
chase	atlakamachtili
chat	tlakamauili
cheap	axpatiyo
cheat	tlakakayaua
cheating	netlakanekolistli
check	amatltlaxtlauili
cheek	kamapantli
cheer	yolomajka
cheerful	paki
cheers	kuatsatsitlapaleuili
cheese	tlatetsauili
chemistry	paleyislotl
cherish	mauilotsi
chess	kuapatoli
chest	ixpa
chew	tlakuajka
chicken	piyo
chief	tlanauatiketl
child	konetsa
childhood	koneyotl
children	konemej
chill	tlasesekayotl
chimneys	popokalkisani
chin	tenchali
chocolate	chokolatl
choice	tlapepenali
choose	tlatemoli
chop	tlatejteki
chores	tekiotl
chubby	tomaktik
church	teokali
cinnamon	auiyakpopotli
circle	malakachtli
circumstances	panoj tlamantli
citizen	altepetlakatl
city	ueyialtepetl
claim	tlateluili
clarify	tlauiya
class	machtiyotl
clay	tsokitl
clean	chikuentli
clear	tlaauilo
clerk	tlen tlanamaka
clever	isnamiketl
client	tlajkoketl
cliff	tepixiuiyo
climate	tlaliskayotl
climb	tlaxoxotlali
clingy	kinamiki
clock	tonalmachiotl
close	nechka
closet	kuautilmakali
cloth	yoyomitl
clothes	yoyomitl
cloud	mixtli
cloudy	tlamixtemi
clown	nenexolotl
clue	kualojtli
clumsy	tsotsonak
cluster	clúster
coach	tlamaxtiketl
coal	tlikoli
coast	anauatl
coat	netlakentilistli
coffee	maluili
cognitive	cognitivo
coincidence	tijmopantijke
cold	sesek
collapse	uetski
collar	kostli
colleague	uampo
colleagues	uampoyomejtekitini
collect	pixkalistli
collection	semanalistli
college	ueitlamachtikalko
color	tlapaktli
colorless green ideas slept furiously	Tlapali xoxouik tlen axtlapa tlatsintla kuchi.
colour	tlapaktli
column	temimili
comb	xiluiya
combination	tlamaneloa
combine	tlamaneli
come	ualaj
come here	xiuala nika
come on	tiyuii
comfort	kochsikaualistli
comfortable	kualisiyakajtok
coming	nenechka
coming soon	nexkaya
command	nauatini
comment	nokamanali
commercial	tlakoyan
commission	tlaxtlauili
commit	techiuili
commitment	motemaka
committed	tetechtlakautli
commodity	siajkakuchilistli
common	axkatl
communicate	tlamatilistli
communication	machiyopanolistli
community	nepetlantikayotl
commute	nenemilis tipan tekitl
companion	uampo
company	ueyitekimakani
compare	tlaneneuili
comparison	tlaneneuilistli
compassion	iknoakayotl
compassionate	tlaijnelia
compatible	compatible
compete	mokuenta
competent	ixkomalistli
competition	ixkomalistli
competitive	ixkonmakayotl
complain	tena
complaint	kauaj
complement	axiltili
complete	piuili
completely	sententika
complex	nejneliaoui
compliance	kaua
complicated	ouili
compliment	axili
comply	axitiya
composition	amatlakuiloli
compound	tlalilijtok
comprehension	iknomatilistli
comprehensive	axiltok
compromise	yolkamanalmaka
compulsory	telsoyalistilistli
computer	chiupoualuastli
concentrate	concentrarse
concept	ki'itosneki
concern	tlapololtia
concerned	mokuesoli
concert	tetoskanamiklistli
conclusion	tlamilistli
concrete	temachtli
condition	yun
conditions	condiciones
conduct	mekamay
conference	tlakamanalistli
confess	yolmelaua
confidence	temaxtli
confident	tikamauilis
confirm	nisenkauas
conflict	kualantlikayotl
confused	ixkuepa
confusion	tentsakualistli
congrats	kisenpakayotl
congratulation	pakilistli
congratulations	pakilistli
conjunction	iuanistli
connect	olmekatl
conquer	peuamatoma
conscious	kiixmachiliya
consciousness	neyoliximalistli
consent	tetlauelkakilistli
consequences	tlamispantilis
conservation	tlachiualistli
conservative	tlachiuali
consider	noyolnonotsa
considered	neyononotsali
consist	consistir
consistency	consistencia
consistent	teixnamikini
constant	yolotlapaltik
constantly	yotlapaltik
constipation	tletokoltilistli
construction	tlachichiuali
consume	sentlamia
consumption	tlen nimokauiya
contact	tetsinuiliya
contagious	temaua
contain	ixchiya
contains	tlenkipixtok
contemporary	amanok
contempt	yolispacholi
content	tlen kipiya
contest	ixkomakalistli
context	contexto
continent	ueytlapan
continue	tepostoka
contract	tlakeuali
contrast	contraste
contribute	Tominpalewilistli
contribution	tomitlapaneuili
control	control
controversial	tlakualantli
convenience	neltokayotl
convenient	neltokayotl
conversation	kamanaloa
convert	mokuepa
convey	kamanali
convince	ejeleki
convinced	elekili
cook	tlakualchiuali
cooking	tlakualchiualoyan
cool	selik
cooperation	tlaixtlauili
cope	sempapano
copper	amochitl
core	tlajtlajko
corn	sintli
corner	kalnakalistli
correct	melauak
cost	ipati
costume	koyoyomitl
cottage	xakali
cotton	ichkatl
couch	sillón
cough	Tlatlasi
could	ueliskiaj
council	necentlalistli
count	konde
counter	i'ixko
country	mexkotlali
countryside	ixtlauak
couple	sansejko
courage	patiyotl
course	tlamaxnextili
court	tlatlalislatokan
courtesy	nematkayotl
cousin	machijkni
cover	ixpachoa
cow	uakax
coward	amotlapaltik
cozy	yolchankayotl
crab	atekuistli
crack	tlaltlapajktli
craft	ijkimailchiuali
crap	kuitlatl
crash	kalani
craving	kixtoka
crawl	manenemi
crazy	yolopoluiki
create	kichiua
creative	nextilistli
credit	Tomintlanetilistli
creep	mouatana
creepy	espeluznante
crew	tepostekitini
crime	tlatlajkoli
cringe	tlapenaualti
crisis	crisis
criteria	ixkoyotl
critical	popoua
criticism	tlapinatiya
crop	tlapixkayotl
crops	tlaxpilkayotl
cross	kuatolo
crow	kakalotl
crowd	sentilismaseualmej
crowded	temouak
crown	kopili
crucial	tlauel moneki
cruel	atlakayotl
cruise	panoayan
crush	miyakej
cry	chokolistli
cucumber	ayoxoxoukatl
cuddle	tekochili
culture	ueuetlajtoli
cunning	tlachialiani
cup	apiloli
cupboard	kuautlauankali
curb	tlatentli
cure	tlachikauali
curfew	tlapitsali axkisa
curiosity	tlanematkachiualistli
curious	tlanematkachiuani
curly	kolotsin
currency	tepostomi
current	amanok
currently	amanok
curse	akualitilistli
curtain	tokapantli
cushion	kuachikpali
custom	tlamanatilistli
customer	tlakoketl
customs	kualuxkuakali
cut	teeki
cute	yeyejtsi
cycle	youaltiketl
cycling	omemakani
dad	tata
daddy	tatatsi
daily	momostlatika
dairy	lechiualayo
dam	apatlikuiuayan
damage	itlakoa
damn	tlatelchiualistli
damp	kuachauastli
dance	mitotilistli
danger	ouilistli
dangerous	maluili
dark	yayauik
darling	teijnelsi
dash	guion
data	tonaliistoke
date	tonali tistoke
daughter	nosiuakone
day	tonal
dead	mijtok
deadline	tonal tlami
deaf	axtlakaki
deal	timokaua
dear	non poui
Dear All	mauiloki
Dear Customer	kuali tlakoketl
Dear Parents	maluiloki tatamej
Dear Sir	maluiloki
Dear students	maluiloki temachtiamej
Dear Team	maluiloki uampoyomej
death	mikilis
debate	kamamoiluiya
debit	débito
debris	mokajki
debt	tlauika
decade	matlaktli xiutl
decay	palantok
deceased	mijktok
deceive	tlakakayaua
december	diciembre
decent	kualmaceual
decide	tlapepena
decided	ninejki
decision	tlanekilistli
deck	mazo
decline	exelistli
decrease	temoili
dedicated	itechpoani
dedication	kichiuiliya
deed	tlajkuilolistli
deep	sentlakoyauak
deer	masatl
default	in tlapilchaualistli
defeat	yoatlapolojke
defend	mamauiya
define	kejtsa
definitely	keni mokauas
definition	tlanesemixnauali
degree	tlen tlamaxtili tiyaj
delay	mokajtok
delayed	mojkatok
delete	kotona
deliberate	deliberado
delicate	nematkatili
delicious	ajuiyak
delight	pajktia
delighted	tlaxochiuili
deliver	temaka
delivered	temakak
delivery	kauiltili icha
demand	tlateluili
demanding	itstlakauiya
democracy	tlajkatlatokayotl
demon	tlakatekolo
demonstrate	nextiliya
denied	amonijmati
density	tonali
dentist	tlankopinani
deny	amonijmati
department	chankali
departure	kisalistli
depend	kenijkatsa
deploy	tlasoua
deposit	tetlakakaua
depressed	anonotsalani
depression	axueli tlaiyontilana
depth	uejkatlaya
describe	keni elij
description	kejatsa
desert	tlauajkapanixtlauak
deserve	niseliya
design	nextiyotl
designation	tekikajketl
desire	nekiskia
desk	akopechtli
despair	ijiyomijki
desperate	motlaluelpoloani
despite	maske axkeni
dessert	tekualualistli
destination	tonali asis
destiny	tonali
destroy	tlaixpoloua
destruction	tlapouilistli
detail	detalle
details	kenijatsa
detect	tlamachili
determination	tlaselmiluilistli
determine	tlamiyali
determined	determinado
devastated	pisili
develop	moskaltik
developed	tomoskaltia
development	mochichiuali
device	tlamantli
devil	tlakatekolotl
devoted	neltokani
Dhivehi	Dhivehi
diabetes	tlatsopelkokolistli
diarrhea	mapitsa
diary	nochipa
dictionary	tlajtolamoxtli
did	chijki
die	mikistli
died	mijktok
diet	netlakualistli
difference	amoneneukayotl
different	ax ijuikal
difficult	oui
dig	oskali
dignity	tekuyutl
diligent	miyakmomachtiya
dinner	tlayoltlakuali
dip	chilmoli
direct	tlamelaualia
direction	dirección
director	tlakatltlajtoani
dirt	sokiyo
dirty	sukiyo
disable	tij tlakokolo
disabled	takololi
disappear	poliui
disappointed	mokajkayajki
disaster	ouitepanyalistli
discard	tlatemouili
discharge	ma moketsa
discipline	tenonotialistli
discount	tomintemo
discover	tlanextia
discrimination	axkinekiitase
discuss	kamanalkualankayotl
discussion	tlakualantli
disease	kokolistli
diseases	kokoxkayotl
disguise	mixpolouaj
disgusting	motlailtiani
dish	tlakuali
dishes	tlakuakusli
dismiss	ixkomotona
dispatch	makaua
display	tetlauitilistli
disposal	payanki
dispute	kualankayotl
distance	kalkayotl
distinct	seyoj
distinguish	ixmati
distress	eleli
distribution	xexeloli
district	altepetlatilantok
disturb	tekamatsakua
ditch	kuatlakoyontli
dive	apoxontli
diverse	amoneuki
diversity	nepanyotl
divide	xexeloa
divine	olinyotl
divorce	nematumalistli
dizzy	kuaixpoyaui
do	chiua
do you	Ta
do you love me	tinech tlasojtla
doctor	tlapatijketl
document	amatl
does	kichiua
doesn't	axtle
dog	chichi
Dogri	Dogri
doing	kichiua
doll	siuajauili
domain	axkayotl
domestic	tlakasiuki
dominant	tekpani
don't	axtle
Don't worry	amo ximotekipacho
donate	temaktia
done	keni elki
donkey	poloko
dope	xiuiyo
double	tlakuelpacholi
doubt	sanelli
dough	tixtli
down	tlatsintla
download	tlatemouili
draft	axtui ixkopinka
drag	mouatani
drain	akoyojtli
drama	ixeusyilistli
draw	tlaixkopinkayotl
drawer	kalotl
drawing	tlajkuiloli
dread	majmajtli
dream	kochilistli
dress	kentiaj
drill	amalokotl
drink	tlaili
drive	note yakana
drop	tlachipintli
dropped	xikixtika
drought	tlauakapatlan
drunk	iuintini
dry	uajtok
duck	patox
dude	tlakopinali
due	uajkaparatle
due to	axuelis pampa
dull	pilachi
dumb	kuauiuiti
dump	potlania
duration	uejkaktli
during	kema panoyaya
dust	poktli
duty	tepanichketsa
dwell	chantli
dying	nemosiuilistli
each	kema
each other	se se
eager	ansioso
eagle	kuaitli
ear	nakas
earlier	achi kualka
early	inaltsi
earn	tlatlani
ears	nakas
earth	tlaltepaktli
earthquake	tlalolin
ease	oyouijka
easily	axui
east	nin
Eastern Huasteca Nahuatl	Nahuatlajtoli Kuextekan ikisayo
easy	amoui
eat	tlakualistli
eating	tlakualilistli
economic	amopatik
economy	tominatilistli
edge	tlatentli
edit	ixkatokyalalili
education	temachtiloyan
effect	kasaneli
effective	Tomi
efficiency	saueltsi
efficient	tekisemakayotl
effort	temakatl
egg	teksistli
eggplant	kamojtomatl
ego	chauastli
eight	chikueyi
eighteen	matlaktli uan chikueyi
eighty	najpoali
either	tlenueli
elaborate	tlachichiualistli
elbow	moli
elder	ueuentsi
elderly	ueuentsi
elegant	piltikayotl
element	tlapeukayotl
elephant	elepantli
eleven	matlaktli uan se
eligible	kipepenasej
eliminate	kotona
else	puitl
embarrassed	pinatok
embarrassing	tlapinatiya
embrace	nanajua
emerge	tsonkisa
emergency	ijisiultitlayolmelauili
emotional	olinyotl
empathy	nojnimachiliya
emphasis	énfasis
emphasize	enfatizar
employee	tekitlakakili
employees	tlakakili
employer	tekimakaketl
employment	tekitl
empty	kakjtok
enable	tlaktepan
encounter	pantis
encourage	yolpaleuili
end	tlanki
endangered	tlen nexka poliuis
endeavor	chikaulistli
endurance	teixnauatilistli
endure	axmijki
enemy	yaotl
energy	teotilistli
engage	mo temaka
engaged	tetechtlakaualistli
engagement	tetechtlakaualistli
engine	teposyolotl
engineer	kuayolomachtiani
English	anglitekatl
enhance	tlachikauali
enjoy	tlauisolij
enormous	uextik
enough	kenopaya
ensure	ueyoloyia
enter	kalaki
entertainment	tlamauitsoli
enthusiasm	tlayolpakiliya
enthusiastic	ueyi ipakilis
entire	senkiska
entitled	amoxtokaitl
entity	entidad
entrance	kalakilistli
entrepreneur	tekitekuli
envelope	ipan
environment	nochi nikani
envy	yolkokoa
epic	épico
epidemic	tlaltepakokolistli
equal	iuikal
equipment	equipo
equity	tlakiyotl
equivalent	iuikal
eraser	tetlaixpouili
error	kuapololi
escape	choloua
especially	especialmente
essay	yeyekolistli
essence	uojiyakpopochuiya
essential	monenekayotl
establish	tetlaliya
established	tlatlalili
estate	axkatiani
estimate	maluiyokayotl
estimated	mauiloki
etc	sampayanok
eternal	amotlami
ethics	ética
evaluate	ilnamikamak
evaluation	ilnamikamatl
even	nouan
even though	maske kema
evening	tlayoua
event	sentilis
eventually	sankemantsi
ever	se uelta
every	sesen
everybody	nochimej
everyone	nochimej
everything	nochi
evidence	tepatlajtoli
evil	tlauelilok
evolution	uejkatlapatla
evolve	uejkatlapatla
Ewe	Ewe
ex	ayo
exact	saueltsi
exactly	mero kenopa
exam	tetlamolistli
examine	tetlatlachiya
example	machiotl
exceed	panoltik
excellent	tlauel senka kuali
except	neaxtle
exception	neaxtle
excess	chimaltolistli
excessive	chimaltolo
exchange	tlapatla
excited	yolpaki
excitement	pakilistli
exciting	olinyotl
exclusive	exclusivo
excuse	ixtlakamanali
excuse me	tetlapopoluili
execute	miktichiuas
execution	ipanchiualistli
executive	ichtkakatekitili
exercise	neyekolistli
exhaust	auatsalistli
exhausted	pokyotl
exhibit	tlanextilini
exhibition	nextiliya
exist	yolistli
existence	yolistli
existing	yolistli
exit	kisalistli
expand	ueychiua
expect	mochiya
expected	chistok
expenses	yalti
expensive	patiyoj
experience	uejkatlaixmatilistli
experiment	tlateixpaueli
expert	tlaixmamati
expired	tepanauili
explain	melauaknikitoa
explanation	tlamachtili
exploit	tlatopontl
explore	tlatetemoli
export	ontlakixtiliyan
expose	tlachilistli
exposed	monextijtok
exposure	kakiskamanali
express	ijisiulti
expression	mitspantsinko
extend	moyaua
extended	moyauak
extension	piuili
extent	patlauak
external	kalteno
extinct	extintotksseuilotl
extra	seyoj
extract	kixtiya
extraordinary	extraordinario
extreme	mauistik
extremely	tlauel
eye	ixtiyol
eyes	ixtiyol
fabric	yoyomitl
fabulous	sanpajktok
face	ixko
facilitate	ayouijka
facilities	tlakualilistli
facility	tlatlatlaliya
fact	chiuali
factor	tlayokoyan
factory	tlayokoyan
facts	chiuali
fade	yolmikilistli
fail	ijtlajko
failed	fallé
failure	itlajko
faint	sotlajki
fair	kuali melauak
fairly	melauak
fairy	hada
faith	tlaneltokilis
faithful	netlakanekili
fake	istlakatik
fall	ueski
false	TLAISTLAKATI
fame	tenyilistli
familiar	senyeloj
family	senyelistli
famine	apismikistli
famous	tenyotekatl
fan	tenenekij
fancy	tlayekchichiuilistli
fantastic	topali
far	uejka
farewell	teixnauatilistli
farm	chantlajkali
farmer	yolkapixki
fascinating	tlauel senka kuali
fashion	tlasojmayotl
fast	ijisiulti
fat	tomauak
fatal	mikilistli
fate	tonali nemilis
father	Tata
fatigue	kuatijka
fault	poliui
favorite	iknelia
favour	tepaleuilistli
favourite	paleuiloni
fear	mamajketl
feast	iljuitl
feather	ijuitl
feature	kejatsa tikixmatis
features	kejatsa tikixmatis
february	febrero
fed up	tlakuali
fee	tekatlaxtlauili
feed	tetlamaka
feedback	sampa ti chiuasej
feel	machili
feeling	yolmachilistli
feet	mets
fell	uetski
fellow	uampo
felt	machili
female	siuatlmaseual
fence	nexka
fertile	tlakoneuiya
festival	iluiyotl
fetch	ualijka
fever	kokolistotonikayotl
few	pilkentsi
fewer	kentsi
fiance	tetecholi
fiction	axneliya
field	teotlali
fierce	tekuani
fifteen	kaxtoli
fifty	ompoali uan matlaktli
fight	tlauilantli
fighting	tlauilantli
figure	ijkuilolistli
figure out	kisenkaua
file	amatlajokuilo
fill	tlatemitili
filled	relleno
film	nelmelaua
filthy	motlailtiani
finally	Tlamitilijke
finance	tominkayotl
financial	totomikayotl
find	panti
find out	tlatsontekilis
fine	kuali
finger	mailpil
finish	tlamijka
finished	tlanki
fire	tlitl
firm	tlaneltiloni
first	axtuui
first name	sentokayatlo
fish	michi
fit	kikui
five	makuili
fix	senkaua
fixed	tlakualalijki
flag	pantli
flash	tlapetlantli
flat	kuetsikali
flaw	tlapilchiualistli
flawless	yektik
flee	choloa
flesh	nakatl
flew	patlanki
flex	kuextlaxtli
flexible	kuextlaxtli
flight	patlantli
flip	sampa mokuepa
flirt	coquetear
flirting	coqueteo
float	semantiuilistli
flood	atitlakalakia
floor	tlapepechtli
flour	yoltechtli
