a	i
anonymous	utlhogigama
another	okhunye
answer	phendula
answer	ipendulo
anticipate	langazelela
anxiety	ukutshwenyeka
anxious	tshwenyekako
any	nanyana yini
anyone	omunye nomunye
anything	okhunye nokhunye
anyway	nanyana kunjani
anyways	nanyana njani
apart	ngaphandle
apartment	ikamero
apologize	colisa
apparent	sepepeneneni
apparently	ungasuthi
appeal	lila
appear	vela
appearance	ukuvela
appeared	vela
appetite	ikanukisakudla
apple	ihabhula
application	isibawo
apply	sebenzisa
appointment	isibekiselano
appreciate	buka
appreciation	ukubuka
approach	tjhidela
approach	ukutjhidela
appropriate	aneleko
approval	ukugunyazwa
approve	gunyaza
approved	gunyaziweko
approximately	pheze
april	usihlabantangana
arbitrary	ngokungasimthetho
architect	umakhi
architecture	imakhiwo
archive	ibulungelomlando
are	u
are you	wena-ke
are you busy	ingabe umatasatasa
are you married	utjhadile
are you married or single	utjhadile namkha awukatjhadi
Are you still there?	Usesekhona lapho?
are you there	ukhona
area	indawo
argue	phikisa
argument	ipikiswano
arise	phaphama
arm	umkhono
army	amabutho
around	magega
arrange	hlela
arrangement	ukuhlela
arrival	ukufika
arrive	fika
arrived	fikile
arrogant	ukuzikhukhumeza
arrow	i-ero
art	ubukghwari
article	i-athikili
artificial	kokwenziwa
artist	umgwali
as	njenge
as long as	ikani
as well	kanye
as well as	kanye ne
ash	umlotha
ashamed	ukuba neenhloni
ask	buza
asked	buze
asleep	lele
aspect	ingcenye
aspect	iphuzu
Assamese	isi-Assamese
assault	betha
assembly	umbuthano
assertive	ukuzithemba
assess	hlola
assessment	ukuhlola
asset	ipahla
assets	iimpahla
assign	nikela
assignment	umtlolophenyo
assist	siza
assistant	umsizi
associate	khambisana
associated	hlobene
association	ihlangano
assume	thoma
assumption	okucatjangwako
at	e
at least	okungasenani
ate	dlile
athlete	umgijimi
attach	namathisela
attached	nanyathiselwe
attachment	okunanyathiselweko
attack	ukusahlela
attempt	umzamo
attempt	zama
attend	khambela
attendance	ukuba khona
attention	itjhejo
attitude	ukuziphatha
attract	dosa
attraction	ukuganukeja
attractive	karisako
attribute	isici
audience	ababukeli
august	urhoboyi
aunt	ukghari
aunty	ukghari
authentic	semthethweni
author	umtloli
authority	amandla
autumn	isiruthwana
available	tholakala
average	inani
avoid	balekela
awake	vukile
award	umtlomelo
aware	lemuka
awareness	ilemuko
away	kude
awesome	kuhle
awful	sabekako
awkward	masikizi
Aymara	isi-Aymara
baby	umntwana
bachelor	ipohlo
back	emuva
background	isendlalelo
bad	kumbi
bag	isikhwama
bait	ukudoba
bake	ukubhaga
bakery	lapha kubhagwa khona
baking soda	ibhakpuyere
balance	bhalansa
balance	ukubhalansa
ball	ibholo
Bambara	isiBambara
banana	ibhanana
band	ibhendi
bang	betha
bank	ibhanga
bar	ibha
barely	pheze
bargain	ibhagana
bark	ukukhonkotha
bark	khonkotha
barley	ikoroyi
barrier	isiqabo
base	isisekelo
based	okusekelwe
basement	indawo engaphasi
basic	isisekelo
basically	kuhlekuhle
basil	isinungo
bastard	isikhohlakali
batch	ibhetjhi
bath	ukuhlamba
bathroom	indlu yokuhlambela
battery	ibhethri
battle	ipi
bay	itheku
be	iba
be careful	yelela
beach	ibhitjhi
beam	ibhimu
beans	amabhontjisi
bear	ibhera
bear	veza
beard	isilevu
bearing	ukubeletha
beast	isilwani
beat	ibetho
beat	betha
beautiful	kuhle
beauty	kuhle
became	ibe
because	ngombana
become	iba
bed	umbhede
bedroom	ikamero lokulala
bee	inyosi
beef	ikomo
been	bengi
beer	ibhiya
before	ngaphambi
began	thoma
begin	thoma
beginning	ekuthomeni
behalf	njengomjameli
behave	ukuziphatha
behavior	ukuziphatha
behaviour	ukuziphatha
behind	ngemuva
being	ukuba
belief	ikolo
believe	kholwa
belly	amathumbu
belong	ngelaka
beloved	bathandekako
below	ngenzasi
belt	ibhande
bench	ibhanga
bend	goba
beneath	ngaphasi
benefit	inzuzo
benefit	zuza
benefits	amarhubhelo
beside	ngaphandle kwa
besides	ngaphandle kwe
best	okuhle
best of luck	okuhle kodwa
best regards	othandekako
better	ngcono
between	hlangana
beverage	isiselo
beyond	ngale
Bhojpuri	isiBhojpuri
bias	ukuthatha ihlangothi
biased	thatha ihlangothi
bicycle	itsikiri
bid	ibhidi
big	kulu
bike	isithuthuthu
bill	i-akhawundi
bind	bopha
bird	inyoni
birthday	ilanga lamabeletho
bit	kancani
bite	luma
bite	ukuluma
bitter	duma
black	nzima
blade	ilemu
blame	sola
blame	ukusola
blank	nganalitho
blanket	ingubo
blast	dumuza
bleach	ibhlitjhi
blend	hlanganisa
bless	busisa
blessed	busisekile
blind	ngaboni
bliss	ithabo
block	ibhlogo
blood	iingazi
bloom	ukuchakaza
blow	vuthela
blue	hlaza sasibhakabhaka
blunt	buthuntu
board	ibhodi
boat	isikepe
body	umzimba
boil	bila
bold	ukuzethemba
bond	itjhebiswano
bone	ithambo
book	bhuga
book	ukubhuga
boost	khuphula
boost	ukukhuphula
booster	isikhwezeleli
boot	ibhudu
boots	amabhudzu
border	umkhawulo
bore	bhora
bored	ukudonda
boring	dondisa
born	belethwa
borrow	boleka
boss	isikhulu
both	kokubili
bother	ukutshwenya
bottle	ibhodlelo
bottom	phasi
bought	thengile
bounce	ukubhambha
bound	bopheleka
boundaries	imikhawulo
bow	ukukhothama
bowl	isikotlelo
box	ibhoksi
boy	umsana
boyfriend	isokana
bracelet	ibhengele
brain	ubucopho
branch	igatja
brand	ibhrendi
brave	ukuba nesibindi
breach	ukwephula
bread	uburotho
break	ukuphula
break	phula
breakfast	ibhrakfesi
breast	ibele
breath	umoya
breathe	phefumula
breed	fuya
brick	isitina
bride	umakoti
bridge	ibhrorho
brief	kafitjhazana
bright	rhanyazela
brilliant	kuhle
bring	letha
bro	mnakwethu
broad	naba
broadcast	rhatjha
broke	hlukana
broken	phukileko
broom	umthanyelo
brother	umnakwethu
brother in law	usibari
brought	lethe
brown	nzotho
brush	ibhratjhi
bucket	ibhakede
buddy	mngani
budget	ibhajedi
bug	ingogwana
build	akha
building	umakhiwo
built	akha
bulk	inengi
bull	ikunzi
bully	tlhorisa
bump	tjhayisa
bunch	isiqhema
bundle	inyanda
burden	khathaza
burden	ikathazo
buried	bulungwa
burn	isitebele
burst	dumuza
bury	ngcwaba
bus	ibhesi
bush	ihlathi
business	irhwebo
bust	isifuba
busy	matasatasa
but	kodwana
butter	ibhotere
butterfly	iviyaviyani
button	ikunubhe
buy	thenga
by	nge
by the way	konje
bye	sala kuhle
cabbage	ikhabitjhi
cabinet	ikhabhinethi
cage	ikheji
cake	ikhekhe
calf	ikonyana
call	biza
call	ukubiza
call me	ngibiza
called	obizwa
calm	ukuthula
came	uze
campaign	ijima
can	-kghona
can	-tjengisa
can't	angeze
Cancel	Sula
cancer	ikankere
capable	ukuba nekghono
capacity	umthamo
capital	ihlokodorobho
caption	isihloko
capture	thumba
car	ikoloyi
career	ibizelo
careful	ngokuyelela
carefully	ngokuyelela
careless	ngatjhejiko
caring	ukutlhogomela
carpenter	umbazi
carpet	umada
carrot	ikherothi
carry	guga
carry on	ragela phambili
carry out	ragela phambili
case	umlandu
cash	ikhetjhi
cast	phosa
castle	inqaba
casual	ngatjhejiko
cat	ukatsu
catch	bamba
category	umkhakha
cattle	ikomo
caught	banjwa
cause	unobangela
cause	bangela
caution	isiyeleliso
cautious	tjhejekako
cave	irholo
cease	phela
ceiling	isilinghi
celebrate	ukugidinga
cell	iseli
center	isentha
century	ikhulumnyaka
cereal	isiriyeli
ceremony	umnyanya
certain	okhunye
certainly	ngokweqiniso
certificate	isitifikeyidi
chain	itjheyini
chair	isitulo
challenge	tjhijila
challenge	isitjhijilo
chance	ithuba
change	tjhuguluka
chaos	ihlangahlangano
character	umlingisi
characteristics	amatshwayo
charge	beka umlandu
charity	isirhawu
charming	ukuqaleka
chart	itjhadi
chase	gijimisa
chat	khuluma
chat	ukukhuluma
cheap	thengeka
cheat	ukukopa
cheating	ukukopa
check	ukuhlola
check	hlola
cheek	isihlathi
cheer	thokoza
cheerful	kwakwazelwako
cheers	kwakwazela
cheese	itjhizi
chemistry	ikhemistri
cherish	hlonipha
chess	itjhezi
chest	isifuba
chew	hlafunya
chicken	ikukhu
chief	ikosi
child	umntwana
childhood	ebuntwaneni
children	abantwana
chill	ledlhileko
chill	ukuledlha
chimneys	iintjhimela
chin	isilevu
chocolate	itjhokolede
choice	ikhetho
choose	khetha
chop	kapa
chores	umsebenzi
chubby	ukunona
church	isondo
cinnamon	isinamoni
circle	isiyingilizi
circumstances	izehlakalo
citizen	isakhamuzi
city	idorobho
claim	itleyimu
claim	tleyima
clarify	hlathulula
class	itlasi
clay	ibumba
clean	hlwengile
clear	zwakalako
clear	zwakala
clerk	unobhala
clever	hlakaniphileko
client	itlayendi
cliff	iliwa
climate	itlayimethi
climb	khwelela
clingy	ukugona
clock	itlogo
close	vala
closet	valiwe
cloth	itjhila
clothes	izambatho
cloud	ilifu
cloudy	kunamafu
clown	usomahlaya
clue	umtlhala
clumsy	ukuba sibaga
cluster	ihlanganisela
coach	bandula
coach	ukubandula
coal	amalahle
coast	iligu
coat	ijasi
coffee	ikofi
cognitive	umkhumbulo
coincidence	ukutjhayisana
cold	makhaza
collapse	iwa
collar	ikholoro
colleague	umlingani
colleagues	abalingani
collect	buthelela
collection	ibuthelelo
college	ikholitjhi
color	umbala
colour	umbala
column	ikholomu
comb	ikama
combination	ihlanganisela
combine	hlanganisa
come	iza
come here	yewize lapha
come on	iza
comfort	duduza
comfortable	ledlhileko
coming	iza
coming soon	iyeza msinya
command	umyalo
comment	isiphakamiso
commercial	irhwebo
commission	inzuzo
commit	zibophelele
commitment	ukuzibophelela
committed	zibophelele
commodity	ipahla yerhwebo
common	jayelekileko
communicate	thintana
communication	ukucocisana
community	umphakathi
commute	umkhambi ngesikhwelo
companion	umngani
company	ikhamphani
compare	madanisa
comparison	madanisa
compassion	umusa
compassionate	ukuba nomusa
compatible	khambelanako
compete	phalisana
competent	nekghono
competition	iphaliswano
competitive	nephaliswano
complain	isinghonghoyilo
complaint	umnghonghoyili
complement	ukungezelela
complement	ngezelela
complete	qeda
completely	okupheleleko
complex	hlangahlangeneko
compliance	khambisana
complicated	hlangahlangeneko
compliment	zaliselela
comply	khambisana
composition	ukubumbeka
compound	ihlanganisela
comprehension	isifundo sokuzwisisa
comprehensive	ngokupheleleko
compromise	thalalisa
compromise	ukuthalalisa
compulsory	katelelekileko
computer	ikhomphyutha
concentrate	ukucabangisisa
concept	umqondo
concern	khathalela
concern	ukukhathalela
concerned	tshwenyekileko
concert	ikhonsadi
conclusion	isiphetho
concrete	phathekako
concrete	ukuphatheka
condition	ubujamo
conditions	imibandela
conduct	ukuziphatha
conference	ikhonferensi
confess	vuma umlando
confidence	ukuzethemba
confident	ukuzethemba
confirm	qinisekisa
conflict	irarano
confused	vangeneko
confusion	ihlangahlangano
congrats	siyakuthokozisa
congratulation	siyakuthokozisa
congratulations	siyakuthokozisa
conjunction	isihlanganiso
connect	hlanganisa
conquer	nqoba
conscious	ukuzwa
consciousness	isazelo
consent	vuma
consent	imvumo
consequences	imiphumela
conservation	ukutlhogonyelwa
conservative	olandelanako
consider	tjheja
considered	ukutjheja
consist	mumethe
consistency	ngokungatjhugulukiko
consistent	ngatjhugulukiko
constant	ukunande
constantly	ngokufanako
constipation	ukubhinjidelwa
construction	ukwakhiwa
consume	idla
consumption	ukudliwa
contact	thintana
contact	ukuthintana
contagious	thathelanako
contain	mumethe
contains	mumethe
contemporary	kwanje
contempt	ukunyaza
content	okumunyethweko
contest	ukuphikisana
context	okumunyethweko
continent	inarhakazi
continue	raga
contract	ikontraga
contract	kontraga
contrast	ukumadanisa
contrast	madanisa
contribute	nikela
contribution	umnikelo
control	lawula
controversial	okuphikisanako
convenience	ubulula
convenient	kulula
conversation	ikulumo
convert	tjhugulula
convert	ukutjhugulula
convey	dlulisa
convince	ukudelisa
convinced	ukudelisa
cook	ukupheka
cook	pheka
cooking	ukupheka
cool	-pholileko
cool	kuhle tle
cooperation	itjhebiswano
cope	kghona
copper	ikhopha
core	ummongo
corn	isiphila
corner	iwugu
correct	kulungile
cost	biza
cost	ukubiza
costume	ikhosjumu
cottage	ikhotheji
cotton	ikotini
couch	isofa
cough	khohlela
could	nginga
council	umkhandlu
count	bala
counter	phikisa
country	inarha
countryside	emaphandleni
couple	iinthandani
courage	khuthaza
course	ikhosi
court	ikhotho
courtesy	ihlonipho
cousin	umzala
cover	vala
cow	ikomo
coward	igwala
cozy	mnandi
crab	ikalakala
crack	bharasa
crack	ibharasi
craft	ubukghwari
crap	ihlanya
crash	ukuputjuza
crash	putjuza
craving	ukurhalela
crawl	khasa
crazy	rhapha
create	bumba
creative	nobukghwari
credit	isikolodo
creep	ukunyonyoba
creepy	totoba
crew	isiqhema
crime	ubulelesi
cringe	ukutjhida
cringe	rhunyela
crisis	ihlekelele
criteria	indlela
critical	nobujamo obumbi
criticism	ukuba nelihlo lokuhlaba
crop	isitjalo
crops	iintjalo
cross	isiphambano
cross	phambana
crow	igwababa
crowd	iwoma
crowd	buthelelana
crowded	zeleko
crown	umqhele
crucial	qakathekile
cruel	ukuba nehliziyo embi
cruise	ukukhamba ngesikepe
crush	ukuputjuza
crush	putjuza
cry	lila
cucumber	ikomkomu
cuddle	singatha
culture	isiko
cunning	ubumenemene
cup	ikopi
cupboard	ikhabethe
curb	indlela
cure	elapha
cure	ukwelapha
curfew	isikhathi sewatjhi
curiosity	irhuluphelo
curious	rhuluphela
curly	tshophileko
currency	ikharensi
current	njenganje
currently	njenganje
curse	isiqalekiso
curtain	irharideyini
cushion	umsamedlwana
custom	umkhuba
customer	umthengi
customs	imikghwa
cut	ukusika
cut	sika
cute	kuhle
cycle	umzombe
cycling	ukuzombeleza
dad	ubaba
daddy	ubaba
daily	ngamalanga
dairy	ideri
dam	idamu
damage	umonakalo
damage	onakala
damn	jezisa
damp	manzana
dance	ukudansa
danger	ingozi
dangerous	okuyingozi
dark	mnyama
darling	sithandwa
dash	idetjhi
data	idatha
date	ilanga
daughter	indodakazi
day	ilanga
dead	hlongakala
deadline	ilanga lokugcina
deaf	ukungezwa
deal	rhweba
deal	ukurhweba
dear	sithandwa
Dear All	Lotjhani noke
Dear Customer	Mthengi Othandekako
Dear Parents	Lotjhani baBelethi
Dear Sir	Lotjha Nomzana
Dear students	Lotjhani baFundi
Dear Team	Lotjhani siQhema
death	ukuhlongakala
debate	ikulumopikiswano
debit	isikwelede
debris	iinsila ezirhatjhekileko
debt	isikolodo
decade	itjhumimnyaka
decay	ukubola
deceased	hlongakeleko
deceive	khohlisa
december	unobayeni
decent	lungileko
decide	cabanga
decided	thethe isiqunto
decision	isiqunto
deck	ukuhlobisa
decline	yehla
decrease	yehla
dedicated	zinikeleko
dedication	ukuzinikela
deed	isenzo
deep	tjhingako
deer	inyamazana
default	ngasiyo
defeat	ukwehlula
defeat	ahlula
defend	vikela
define	hlathulula
definitely	kwamambala
definition	ihlathululo
degree	izinga
delay	ukuliya
delay	liya
delayed	ukubambezeleka
delete	sula
deliberate	ngabomu
delicate	bulenda
delicious	kumnandi
delight	ukuthaba
delighted	thabileko
deliver	khambisa
delivered	ilethiwe
delivery	ukulethwa
demand	funa
demand	isifuno
demanding	ukufuna
democracy	idemokhrasi
demon	idimoni
demonstrate	tjengisa
denied	yala
density	ukuminyana
dentist	udorhodera wamazinyo
deny	phika
department	umnyango
departure	ukukhamba
depend	thembela
deploy	thumela endaweni ethileko
deposit	dibhozida
deposit	ukudibhozida
depressed	gandeleleka
depression	igandelelo
depth	ukujula
describe	hlathulula
description	ihlathululo
desert	irhahlawumba
deserve	ukufanelwa
design	ukutlama
design	tlama
designation	isikhundla
desire	khanuka
desire	ikanuko
desk	ideske
despair	ukulahla ithemba
desperate	ukuzidela
despite	ngaphandle kwa
dessert	iindengezeli
destination	indawo
destiny	ukwenzeka kwezehlakalo
destroy	ona
destruction	ukubhubhisa
detail	umniningwana
details	imininingwana
detect	thola
determination	ukuzinikela
determine	qunta
determined	ukuzibophelela
devastated	ukuthukwa
develop	thuthukisa
developed	thuthukile
development	ituthuko
device	isisetjenziswa
devil	usathani
devoted	zinikeleko
Dhivehi	isiDhivehi
diabetes	ubulwele beswigiri
diarrhea	ukuthulula
diary	idayari
dictionary	isihlathululimezwi
did	enze
die	ukuhlongakala
died	ukuhlongakala
diet	idayethi
difference	umahluko
different	okuhlukileko
difficult	kubudisi
dig	yemba
dignity	isithunzi
diligent	khuthala
dinner	idina
dip	tjhingela phasi
direct	nqophileko
direction	ilayelo
director	umnqophisi
dirt	isila
dirty	silaphazekileko
disable	ngakghoniko
disabled	ukuba nokukhubazeka
disappear	tjhabalala
disappointed	phoqeka
disaster	ihlekelele
discard	lahla
discharge	khupha
discipline	ukujezisa
discount	isaphulelo
discover	vumbulula
discrimination	ibandlululo
discuss	coca
discussion	ukucocisana
disease	ubulwele
diseases	amalwele
disguise	zifihle
disgusting	nyenyisako
dish	isitja
dishes	iinkotlelo
dismiss	qotha
dispatch	thumela
display	umkhangiso
disposal	ukulahla
dispute	isinghonghoyilo
distance	ibanga
distinct	ukuhlukana
distinguish	hlukanisa
distress	ukutlhuwa
distribution	ukuhlukaniselana
district	isiyingi
disturb	thikameza
ditch	iforo
dive	tjuza
diverse	hlukileko
diversity	ukuhlukahlukana
divide	hlukanisa
divine	okwaphezulu
divorce	ukuhlukana
divorce	hlukana
dizzy	isiyezi
do	yenza
do you	wenza
do you love me	ingabe uyangithanda
doctor	udorhodera
document	umtlolo
does	enza
doesn't	akusinjalo
dog	inja
Dogri	isiDogri
doing	ukwenza
doll	unompopi
domain	isizinda
domestic	kwekhaya
dominant	ukuba namandla
don't	ungenzi
Don't worry	ungatshwenyeki
donate	nikela
done	phelile
donkey	udumbana
dope	kuhle
double	ukubuyelela
double	buyelela
doubt	ukuzaza
doubt	zaza
dough	iderhe
down	phasi
download	dawunlowuda
draft	tlhatlhabeja
draft	itlhatlha
drag	dosa
drain	idreyini
drain	ukuminya
drama	umdlalo
draw	dweba
drawer	ilayi
drawing	umdwebo
dread	mbi
dream	ibhudango
dream	bhudanga
dress	irogo
drill	ukubhoboza
drink	sela
drink	ukusela
drive	tjhayela
drop	ukwehlisa
drop	ehlisa
dropped	wile
drought	isomiso
drunk	dakwa
dry	oma
duck	idada
due	ngesimanga
due to	ngesimanga
dull	fipheleko
dumb	ubudlhadlha
dump	lahla
duration	isikhathi
during	nakwenzeka
dust	ithuli
duty	umsebenzi
dwell	hlala
dying	ukufa
each	kunye
each other	ngabanye
eager	ba netjisakalo
eagle	ikhozi
ear	indlebe
earlier	ngaphambilini
early	ekuseni
earn	rhola
ears	iindlebe
earth	iphasi
earthquake	ukudengezela kwephasi
ease	lula
easily	kalula
east	ipumalanga
easy	lula
eat	idla
eating	ukudla
economic	zomnotho
economy	zomnotho
edge	umqoqo
edit	lungisa
education	ifundo
effect	umphumela
effective	phumelelako
efficiency	ukusebenza kuhle
efficient	ukuba nekghono
effort	umzamo
egg	iqanda
eggplant	isithelo
ego	ukuzazisa
eight	bunane
eighteen	itjhumi nobunane
eighty	amatjhumi abunane
either	namkha
elaborate	yenaba
elbow	indololwana
elder	omdala
elderly	esele bakhulile
elegant	ehle
element	i-elemende
elephant	indlovu
eleven	itjhumi nanye
eligible	thandekako
eliminate	phungula
else	okhunye
embarrassed	phoqekileko
embarrassing	phathisa iinhloni
embrace	gona
emerge	thoma
emergency	rhabekileko
emotional	kwemizwa
empathy	izwelo
emphasis	ukugandelela
emphasize	gandelela
employee	isisebenzi
employees	abasebenzi
employer	umqatjhi
employment	umsebenzi
empty	nganalitho
enable	ukukghonakalisa
encounter	hlangabezana
encourage	khuthaza
end	ukuphela
endangered	iba sengozini
endeavor	zama
endurance	ukubekezela
endure	bekezela
enemy	isitha
energy	i-eneji
engage	ukubonisana
engaged	ukuhlanganyela
engagement	isivumelwano
engine	injini
engineer	usonjiniyera
English	isiNgisi
enhance	ukukghonakalisa
enjoy	thaba
enormous	rarako
enough	kwanele
ensure	qinisekisa
enter	ngena
entertainment	ukuthabisa
enthusiasm	itjisakalo
enthusiastic	majadu
entire	koke
entitled	enesihloko
entity	into ezijamele yodwa
entrance	ubungeno
entrepreneur	usorhwebo
envelope	imvilobhu
environment	ibhoduluko
envy	ukurhalela
epic	ikondlomlando
epidemic	umabhubhisa
equal	linganako
equipment	isisetjenziswa
equity	ukulingana
equivalent	linganako
eraser	iraba
error	iphoso
escape	phunyurha
especially	khulukhulu
essay	i-eseyi
essence	ummongo
essential	qakathekileko
establish	hloma
established	ukuhlonywa
estate	ilifa
estimate	isilinganiso
estimated	isilinganiso
etc	njll
eternal	okwaphakade
ethics	imikghwa
evaluate	hlola
evaluation	ukuhlola
even	nanyana
even though	nalokha
evening	ubusuku
event	isehlakalo
eventually	ekugcineni
ever	safuthi
every	qobe
everybody	woke umuntu
everyone	uwokewoke
everything	koke
evidence	ubufakazi
evil	ubusathana
evolution	ukuziphendukela kwemvelo
evolve	sombuluka
Ewe	isi-Ewe
exact	poro
exactly	poro
exam	isihlahlubo
examine	hlola
example	isibonelo
exceed	dlula
excellent	kuhle
except	ngaphandle kwe
exception	okuseleko
excess	eqako
excessive	ngokudluleleko
exchange	royila
excited	thabile
excitement	ukuthakasa
exciting	karisako
exclusive	okukhethekileko
excuse	icolo
excuse me	ngibawa ungilibalele
execute	enza
execution	ukubulala
executive	isigungu
exercise	thabulula
exercise	ukuzithabulula
exhaust	dinisa
exhausted	diniwe
exhibit	umbukiso
exhibition	umbukiso
exist	iba khona
existence	ekhona
existing	okukhona
exit	ukuphuma
expand	naba
expect	lindela
expected	okulindelweko
expenses	iindleko
expensive	biza
experience	lemuka
experience	ilemuko
experiment	isitjengisombono
expert	isazi
expired	ukudlulelwa sikhathi
explain	hlathulula
explanation	ihlathululo
exploit	caphaza
explore	hlola
export	phumela ngaphandle
expose	veza tjhatjhalazi
exposed	tjhatjhalazi
exposure	ukuveza
express	veza
expression	ihlathululo
extend	ngezelela
extended	ngezelelwe
extension	isengezelelo
extent	ubukhulu
external	ngaphandle
extinct	ukutjhabalala
extra	okungeziweko
extract	dzubhula
extraordinary	ngakajayeleki
extreme	ngokudluleleko
extremely	ngamandla
eye	ilihlo
eyes	amehlo
fabric	itjhila
fabulous	babazekako
face	ukuqalana
face	qalana
facilitate	kghonakalisa
facilities	iinsetjenziswa
facility	isisetjenziswa
fact	iphuzu
factor	ifektha
factory	ifekthri
facts	amaphuzu
fade	fiphala
fail	bhalelwa
fail	ukubhalelwa
failed	bhalelwe
failure	ukubhalelwa
faint	ukutsirimezeka
fair	khanyako
fair	thembekileko
fairly	kuhle
fairy	inolwana
faith	ikolo
faithful	thembekile
fake	ikohliso
fall	ukuwa
fall	iwa
false	MAMALA
fame	ukuduma
familiar	jayelekileko
family	umndeni
famine	indlala
famous	dumileko
fan	umkwakwazeli
fan	isiphehlamoya
fancy	kuhle
fantastic	kuhle
far	kude
farewell	khamba kuhle
farm	iplasi
farmer	umlimi
fascinating	karisako
fashion	ifetjheni
fast	msinya
fat	nona
fatal	bulalako
fate	amandla
father	ubaba
fatigue	ukudinwa
fault	iphoso
favorite	thandwako
favour	ukuvumela
favourite	thandwako
fear	esaba
fear	ukwesaba
feast	umgidi
feather	isiba
feature	itshwayo
feature	tshwaya
features	amatshwayo
february	umhlolanja
fed up	silingekile
fee	imali
feed	dlisa
feedback	umbiko obuyako
feel	izwa
feeling	umuzwa
feet	iinyawo
fell	wile
fellow	umkhambisani
felt	ukuzizwa
female	osikazi
fence	ifensi
fertile	vundileko
festival	umnyanya
fetch	thatha
fever	umgomani
few	okumbalwa
fewer	mbalwa
fiance	isokana elibonileko
fiction	amanga
field	umkhakha
fierce	nelaka
fifteen	itjhumi nahlanu
fifty	amatjhumi amahlanu
fight	ukulwa
fight	ilwa
fighting	ukulwa
figure	umgwalo
figure	gwala
figure out	thola
file	ifayili
fill	zalisa
filled	zaliswe
film	ifilimu
filthy	silaphazekile
finally	kokugcina
finance	zeemali
financial	zeemali
find	thola
find out	thola
fine	lungileko
fine	lungile
finger	umuno
finish	qeda
finished	phelileko
fire	umlilo
firm	qinisekisako
firm	ukuqinisekisa
first	kokuthoma
first name	ibizo lokuthoma
fish	ihlambi
fit	lingana
five	kuhlanu
fix	lungisa
fixed	lungisiweko
flag	iflarha
flash	ukumeruza
flat	isipara
flaw	ubutjhapha
flawless	engenasici
flee	phapha
flesh	inyama
flew	phaphile
flex	tjhugutjhuguluka
flexible	nokutjhuguluka
flight	ukulwa
flip	phendla
flirt	hlala uthandana
flirting	ukurhalela umuntu
float	thaya
flood	iinkhukhula
floor	ihlabathi
flour	iflowuru
flow	geleza
flow	ukugeleza
flower	ithuthumbo
flu	umgomani
fluent	butjhelela
