kou'n	a
abonuan	amazing
n'ga ti sakasaka	ambiguous
n'ga awan yo	ambition
ewun' mwa	ambitious
man amandi	amend
afien	amid
inu	among
ye afien	among us
ye nu	among us
sika nuan	amount
n'guã	amusing
ku'n	an
inu nian lɛ	analysis
nannan nanan mu	ancestors
biki n'zue	anchor
laa	ancient
eni	and
yɛ wɔ li	and you
nianmien i angi	angel
ya	anger
lon'go	angle
fa'aya	angry
n'nin	animal
ja issi'n	ankle
ɔ ʃin ti fɛtri	anniversary
n'dɛ n'ga be kanli	announcement
kle yalɛ	annoy
kle yalɛ	annoyed
kleyalɛ	annoying
afuɛ ku'n nu	annual
n'ga man'man duman	anonymous
uflɛ	another
kplissu	answer
dumua	anticipate
bu iɲu'nu	anticipate
akunndan bulɛ	anxiety
bu agun'da	anxious
ikula	any
yo min ku	anymore
sran n'gba	anyone
like vie	anything
cɛ yoli o	anyway
sɛ eyo bɔ	anyways
i wun mi	apart
sua ba	apartment
kpata	apologize
yaki	apologize
n'ga be wun yi	apparent
n'ga be wun yi	apparently
flɛ	appeal
fiteli	appear
iwafa n'ga eti	appearance
fiteli	appeared
awe	appetite
pomi	apple
iyolɛ	application
bo i bo	apply
sran yalɛ	appointment
klo hi	appreciate
i klolɛ	appreciation
mantan	approach
n'ga ti kpa	appropriate
issu kplin'lɛ	approval
kpli'n su	approve
pklin su	approved
inuan	approximately
avrili nu	april
i nu n'dɛ kanlɛ	arbitrary
sua kplan fuɛ	architect
sua pklanlɛ nin'gue mu	architecture
fluwa n'ga be sieli be lã	archive
be ti	are
a ti	are you
a sa wo like nu	are you busy
alɛ bian	are you married
alɛ bla	are you married
wa ja an'zɛ anan ja man	are you married or single
Atɛ wo lɛ	Are you still there?
a wo lɛ	are you there
assiɛ bue	area
lika	area
kan	argue
yijɔ	argue
n'dɛ kanlɛ	argument
jasso	arise
jasolɛ	arise
sa	arm
son'ja	army
iwun	around
siessie	arrange
be ti be wun anien	arrangement
balɛ	arrival
ba	arrive
bali	arrived
e yo wu kpa	arrogant
tʃua waka	arrow
like klɛlɛ	art
journali	article
n'ga sran yoli	artificial
jue sro fuɛ	artist
jue tofuɛ	artist
kɛ	as
i tin'nin su	as long as
ekun	as well
kɛ yo su	as well as
us'rin	ash
yan n'zuen	ashamed
wussa	ask
ussa	asked
lafi	asleep
i wla	aspect
Assamais	Assamese
utre	assault
be n'gba	assembly
n'ga be kan	assertive
nian nu	assess
bu i akun'nda kpa	assessment
n'ga si i yo	asset
i like n'ga flɛ sran mu	assets
n'ga be fa man kɛ a yo	assign
djuman n'ga be'in a yo	assignment
wuka i	assist
sran n'ga su n'su	assistant
be bobo be wun	associate
ye bobo ye wun	associated
societe	association
kpli'n su	assume
akun'nda manlɛ	assumption
lɔ	at
ikan	at least
dili	ate
spɔri yofuɛ	athlete
kiki	attach
tʃitʃi	attached
tʃitʃi lɛ	attachment
bo be	attack
n'ga e kundɛ	attempt
yoli	attend
be wolɛ	attendance
si wɔwun ye	attention
tranlɛ nu	attitude
flɛ	attract
tʃoinlɛ	attraction
n'ga flɛ sran mu	attractive
fa man	attribute
itilɛ	audience
utu	august
tanti	aunt
baba ni manmi be niãn bla	aunt
tanti	aunty
n'ga ti i kpa	authentic
sran n'ga yoli	author
awa su kpin mu	authority
i viwlɛ	autumn
afuɛ i bue nu	autumn
ewolɛ	available
sɛssɛ	average
wondi	avoid
ti n'gue	awake
min i like	award
si nu	aware
si sɔ	aware
akun'nda manlɛ	awareness
numanlɛ	away
kpa sɔ’n	awesome
kanyi	awful
ye nuan yo kun	awkward
Aymara	Aymara
ba nonwan	baby
sran n'ga wa ɲan universite diplomi	bachelor
si'n	back
nin'gue n'ga a suanli	background
tɛ	bad
bajɛ	bag
n'ga be fa tra jue	bait
ton	bake
be i	bake
kpanhu ton'wlɛ	bakery
are san'mlin	baking soda
sika n'ga wo a kunti su	balance
banon	ball
Bambara	Bambara
manda	banana
i paplanu	band
atʃolie	bang
banki	bank
Wawle	Baoulé
n'zan non'wlɛ	bar
iʃra	barely
di igua	bargain
bo	bark
avie n'ma	barley
n'ga kata afien	barrier
ibo	base
e tran lɛ	based
assiɛ bo	basement
assiɛ	basement
i bo	basic
i bo su	basically
waka baziliki	basil
szua	bastard
ikula	batch
wun'zi	bath
abialiɛ	bathroom
bateri	battery
utre	battle
n'zue nuan	bay
issu	be
yo awun ye	be careful
jen'n'zue nuanlɔ	beach
like n'ga pkaja okwlɛ	beam
sa'ma	beam
n'ma	beans
wula	bear
akan'za	beard
iwlalɛ	bearing
n'nin	beast
bo i	beat
klanhan	beautiful
klanhan	beauty
kaki	became
i ti yɛ	because
kaʃi	become
lawlɛ	bed
li	bed
sua ba	bedroom
awɛma	bee
nan'ni	beef
yoli	been
n'san	beer
biɛri	beer
klikli	before
boli ibo	began
ibo bolɛ nu	begin
ibo bo wlɛ nu	beginning
sran dun'man su	behalf
ayo kɛ	behave
n'zuen	behavior
i n'zuen	behaviour
issi'n	behind
iyolɛnu	being
like n'ga be lafi su	belief
lafissu	believe
kunu	belly
iliɔ	belong
klo	beloved
idja n'gua	below
ibo	below
ceinturi	belt
bia	bench
ban	bench
bli i	bend
ibo	beneath
n'ga a gnin i su	benefit
n'ga be ɲin issu	benefits
issu n'glõ	beside
iwun' lɛ	besides
inukpa	best
min nianmien wuka wɔ	best of luck
ni kwla	best regards
kpa ekun	better
afien	between
n'zan	beverage
ittissu	beyond
Bhojpuri	Bhojpuri
i atin	bias
i n'gba nu	biased
kpangɔ	bicycle
nin'gue atɛ	bid
dan	big
kpli	big
kpangɔ	bike
sika n'gna	bill
tʃitʃi	bind
anuman	bird
tʃin n'ga be wu ɔ fɛtri	birthday
kanhan	bit
ka yi	bite
eyo vi	bitter
ble	black
laliɛ	blade
yijɔ issu	blame
ufue	blank
tan'ni	blanket
tɛ lɛ	blast
wun'mien	blast
yo ufue	bleach
san'gan	blend
ra su	bless
nianmien wuka ye	blessed
yima siwa	blind
aklunjuɛ	bliss
i wun muan	block
moja	blood
ke flɛri me blo	bloom
fita	blow
ble	blue
ni a'fɛ	blunt
agun'da	board
ale	boat
wun'nin	body
ton	boil
be wu i kpa	bold
n'mla	bond
ovie	bone
fluwa	book
minh wun'mien	boost
to yi	booster
bo i bo	boot
botti	boot
boti mu	boots
i nuan su	border
fiti	bore
sua	bore
ekeyalɛ	bored
kleyalɛ	boring
be wu yi	born
srɛ	borrow
be su pkin	boss
be n'ɲon	both
kle yalɛ	bother
buteli	bottle
idja n'gua	bottom
ibolɔ	bottom
fa ba	bought
tu	bounce
ti kiki wa	bound
like o be afien	bound
i nuan su	boundaries
tʃua waka	bow
kpon'gbo	bowl
boiti	box
yassua	boy
javuɛ yassua	boyfriend
be sa kɔmin nun banzrɛ	bracelet
sa n'ga	bracelet
tinu mien	brain
i bue	branch
marki	brand
awlinfuɛ	brave
wa diman n'mla su	breach
kpanhu	bread
bo i	break
n'glɛmu aliɛ	breakfast
wun'flin	breast
do wun'mien	breath
do wumien	breathe
tã	breed
briki	brick
bla anzɛ yassua n'ga be sua jɛ i	bride
pont	bridge
pke	brief
ekpadja	bright
san wu	brilliant
e pkaja	brilliant
fabla	bring
aniãn	bro
dan	broad
kle	broadcast
bobo	broke
bobo	broken
bu'i	broken
tʃuanwla	broom
niaan yassua	brother
mi yi wun anze mi wu'n niãn	brother in law
fa bla	brought
ble	brown
idjre	brush
so	bucket
javuɛ	buddy
sika n'ga alɛ i	budget
kakã kan'gan	bug
kakã n'ma	bug
kplan	build
sua dan	building
kplan	built
i wun muan	bulk
nan'ni	bull
yo i like yaya	bully
afu'n	bump
i yawlɛ	bunch
tien inuan	bunch
i n'gba	bundle
pake	bundle
wɔ like n'ga ti ɔliɛ	burden
sie assiɛ bo	buried
ra	burn
etɛli	burst
sie i assiɛ bo	bury
cari	bus
loto	bus
ijre	bush
nin'gue atɛ	business
tɛ	bust
i sa o like nun’n	busy
sanguɛ	but
bɛri	butter
druvi lafiwa	butter
ngɔnsiɛn	butterfly
issu tinwlɛ	button
buton	button
to	buy
iwafa	by
issɔ tiɛ	by the way
etɛ wonu	bye
nin'gue n'ma	cabbage
juman diwlɛ	cabinet
kabine	cabinet
n'nin sua	cage
gato	cake
nan'ni ba	calf
flɛ i	call
flɛ mi	call me
flɛ yi	called
di'i	calm
bali	came
issɔ ajallɛ	campaign
kula	can
klwa man	can't
yilɛ	Cancel
tukpa tchɛ cancer	cancer
kula yo	capable
n'ga kula yo	capacity
n'ga kula fa	capacity
n'dɛ kpa	capital
lã n'dɛ	caption
tra	capture
loto	car
djuman	career
yo i kpa	careful
ʃɛʃɛ	carefully
e faman n'dɛ su	careless
e ti suku fuɛ	careless
nian lika	caring
menusie	carpenter
tapi	carpet
carrɔti	carrot
fa	carry
sua	carry
yo ekun'	carry on
yo	carry out
sua	case
sikanu	cash
toblo	cast
famien me sua	castle
n'ga ti ya ʃin n'gba like	casual
djelua	cat
fa nion sa	catch
iwafa	category
nan'ni ni bua mu	cattle
fali	caught
issɔ ti	cause
sika n'ga be dumuan man	caution
e bu sa sin	cautious
sua papo nu	cave
jran	cease
sua iti	ceiling
di issu fɛtri	celebrate
n'gna	cell
bissua	cell
afien	center
afuɛ ya	century
avie nma	cereal
able n'ma	cereal
ajalɛ	ceremony
fetri	ceremony
etissu kpa	certain
issu kpa	certainly
n'ga kle ke ipka nion	certificate
chɛni	chain
be su kpin	chair
bia	chair
like kekleke	challenge
muaye	chance
kaki	change
sa tɛ kpa	chaos
n'zuen	character
iwafa wafa	characteristics
fa sika	charge
sran like manlɛ	charity
yo i wun klanhan	charming
n'mla	chart
fuan	chase
jelua	chat
gua pɔpɔ	cheap
wa nu	cheat
wa	cheating
nian nu	check
fuka	cheek
mo	cheer
eyo e fɛ	cheerful
juejue	cheers
bɛri	cheese
produi sua	chemistry
flɛyi klanhan	cherish
n'ga wa kwla yo man	chess
we	chest
kpissa	chew
akɔ	chicken
su pkin	chief
bakan	child
bakãn nu	childhood
bakan mu	children
djɔ	chill
lika n'ga wun'srin sin e fite	chimneys
awuje	chin
kakao pati	chocolate
n'ga a fali	choice
fa kun	choose
tin'	chop
juman kekle	chores
ɛ lɛ fuka	chubby
assɔ nu	church
waka bu	cinnamon
m'lonlon	circle
n'dɛ sɔ'm	circumstances
sran	citizen
wafan sran	citizen
klɔ dan	city
srɛli	claim
kle kle nu	clarify
tu tu nu	clarify
suklu sua	class
fã	clay
tiã fien	clean
wun'kpa	clear
juman fuɛ	clerk
si n'gulɛlɛ	clever
like tofuɛ	client
kpɔlɛ	cliff
ɲanmien su	climate
fu	climb
mantan	clingy
dɔ	clock
tonu	close
plakari	closet
tralɛ	cloth
tralɛ	clothes
ɲanmiɛn ble	cloud
ɲanmiɛn ufue	cloud
n'zue o nianmien su	cloudy
n'guã kan fuɛ	clown
mantan kpan	clue
issa ti suku suku	clumsy
i wumuan	cluster
like kle fuɛ	coach
bin'de	coal
kpolɛ su	coast
trãlɛ tin'nin	coat
kafe	coffee
bu akun'nda	cognitive
eyali	coincidence
aarɛ	cold
tɔ li	collapse
bubu li	collapse
kɔmi nianman	collar
wiengu junman difuɛ	colleague
be beni be di juman kun'gba	colleagues
yissa	collect
nin'gue n'ga wa ya ya su	collection
collegi	college
kpajalɛ	color
akun'nda kaka be su lafi	colorless green ideas slept furiously
i kpajawa	colour
kuleri	colour
i bue	column
kuɛkuɛ	comb
ikula	combination
like tɛ yolɛ sran wun	combine
bla	come
ba	come
bla wa	come here
bla wa	come on
wlogbi nin'gue	comfort
tran pka	comfortable
ba	coming
n'ga su ba	coming soon
kan n'dɛ	command
i jɔ	comment
nin'gue atɛ yo fuɛ	commercial
n'galiɛ	commission
yo like tɛ	commit
yo i n'gba	commit
fɛ issɔ ati'n	commitment
eyoli	committed
like n'ga be yo be atɛ	commodity
titi like	common
yijɔ	communicate
yijɔ lɛ	communication
ye apkassua su sran mu	community
kaki	commute
jan'vuɛ	companion
societe	company
nian n'ga ti kpa	compare
nian be ɲon'	comparison
anvɔ	compassion
n'ti o ya	compassionate
be ya	compatible
be won'di	compete
n'ga si juman	competent
kplílɛ	competition
anwlin like	competitive
wussa	complain
ningan kanlɛ	complaint
n'ga guassu	complement
i n'gba	complete
i n'gba	completely
kokloko	complex
sukusuku	complex
n'ga ti issu	compliance
yoli kekle	complicated
kan sran n'dɛ kpa	compliment
e di su	comply
n'ga be fa yo	composition
awlo kunu	compound
n'ga be tĩ	comprehension
be ti wehi	comprehensive
sie n'dɛ su	compromise
kpeli mmla	compulsory
ɔdinatɛri	computer
mian a yin'	concentrate
iyo wlɛ	concept
n'dɛ n'ga ti tʃin'ji	concern
n'dɛ ʃin'ʃin	concerned
jue srolɛ	concert
i vie wlɛ	conclusion
i kpa n'ion	concrete
iwafa n'ga ti	condition
iwafa n'ga ti	conditions
kle	conduct
yawlɛ	conference
kan	confess
kan n'dɛ kle sran	confidence
lafissu	confident
kplin'ssu	confirm
wutre	conflict
n'ti san'gan	confused
ti suku suku	confusion
mo	congrats
mo ni juman	congratulation
mo	congratulations
n'dɛ mu	conjunction
sie su	connect
fa lika	conquer
essi	conscious
ewun nu	consciousness
kplin'ssu	consent
ivie wlɛ	consequences
sielɛ	conservation
nin'gue sie le	conservative
fɛ kɛ	consider
fɛ yi kpa	considered
n'ga a yo	consist
n'ga ti dɔwun	consistency
dɔ wun	consistent
n'ga yo ekun	constant
n'ga etɛ yo	constantly
kunnu ketewa	constipation
i pklan lɛ	construction
di	consume
idillɛ	consumption
kinhi	contact
e sa	contagious
kula fa	contain
e lɛ	contains
lã like	contemporary
klo min i	contempt
yo fɛ	content
issɔ liɛ nu	contest
inu like	context
apkassua dan kun	continent
yo lele	continue
ti be wun anien	contract
i bue kun	contrast
yo vie	contribute
wɔ lie n'ga ayo	contribution
nian su	control
n'ga kpɛ iwun	controversial
n'ga ti kpa	convenience
ti illiɛssu	convenient
ijɔ lɛ	conversation
kaki	convert
nian su	convey
kan min e ti	convince
kan min e ti	convinced
ton	cook
aliɛ ton'lɛ	cooking
eti kpa	cool
juman dilɛ ni vie mu	cooperation
yo i blɛblɛ	cope
policie	copper
blalɛ	copper
i awlin	core
i n'ma	core
able n'ma	corn
i lon'go nu	corner
issuɔ	correct
gua	cost
vessi	costume
n'nin lawlɛ	cottage
koton	cotton
issu	couch
tangɔ	cough
kwla man	could
agun'nda	council
in'nuan	count
bobo	counter
kan i nuan	counter
minh	country
assiɛ	country
nan'mue nu	countryside
bian ni i yi	couple
awlin	courage
issu ɔ	course
justici sua	court
yin' yin'sran	courtesy
nian'	cousin
kata su	cover
nan'ni	cow
sran n'ga lɛman an'wlin	coward
n'ga ti kpa man wɔ	cozy
yoko	crab
kan'ga	crab
kpaki	crack
be sanu juman	craft
bi n'dɛ	crap
tɔli	crash
wɛtɛ	crash
n'ga aklo kɛ ayo	craving
kun'gu	crawl
fiawun fuɛ	crazy
yo like kun	create
elɛ akun'nda	creative
kalɛ	credit
kun'gu	creep
ɔ yo srɛ	creepy
be yalɛ	crew
sã tɛ	crime
dje wussu wussu	cringe
alɛ	crisis
n'dɛ tɛ	crisis
iliɛssu	criteria
n'dɛ tʃin'tʃin	critical
like wundɛ kanlɛ	criticism
fie nu like	crop
fie su aliɛ mu	crops
si'n	cross
anu'man n'ga di fuen mu	crow
sran kaka	crowd
eti yi wa	crowded
famien kle	crown
tʃin'tʃin	crucial
kunnu vi	cruel
ya nu	cruise
wɛtɛ	crush
pkan	cry
sun	cry
kun'kunbri	cucumber
man tan yi	cuddle
ye laha like	culture
n'gwlɛlɛ	cunning
kupu	cup
n'zuã	cup
plakari	cupboard
jran	curb
i nuan su	curb
nun'nu	curb
sannzan	cure
n'zue tɛ	cure
sran fite man	curfew
sran n'ga wu i wun qosan	curiosity
faman ndɛ’n i ngba su	curious
towa	curly
sika n'ga be fa i minh kun nu	currency
dɔ n'gassu	current
dɔ n'gassu	currently
sannzan	curse
rido	curtain
cussunie	cushion
ye m'la	custom
like to fuɛ	customer
son'ja mu	customs
lã like	customs
tʃɛ	cut
klanhan	cute
i yolɛ	cycle
kpan'gɔ fu fuɛ mu	cycling
kpan'gɔ	cycling
si	dad
baba	dad
mi si	daddy
baba	daddy
ʃin kula	daily
non'non	dairy
lika sisi wlɛ	dam
yã	damage
sannzan	damn
du'a	damp
able	dance
sa kekle	danger
eti tɛ	dangerous
eti a kpa	dangerous
ble nu	dark
yi	darling
bian	darling
i jalɛ	dash
like n'ma'm	data
tchin	date
wã bla	daughter
bã bla	daughter
an'dɛ	day
wuli	dead
sakili	dead
ʃin n'ga i vie	deadline
i vie wlɛ	deadline
ti a sa	deaf
guwa dilɛ	deal
mi sran kpa	dear
Mi sran kpa mu	Dear All
ni'ngue tofuɛ	Dear Customer
mi si ni mi nimu	Dear Parents
Mi sran kpa	Dear Sir
Suklu ba mu	Dear students
Mi sran kpa mu	Dear Team
vie	death
kin issɔ n'dɛ	debate
issu kpɛlɛ	debit
kpɛ su	debit
i ba mu	debris
kalɛ	debt
afuɛ blu	decade
like kplɔwa	decay
i to lɛ	decay
e sakili	deceased
wuli	deceased
gua mi yin asse	deceive
decembri	december
decemblu	december
n'ga ti kpa	decent
fa akun'nda	decide
fa akun'nda	decided
ajalɛ	decision
pon	deck
n'kplin man	decline
tissu	decrease
n'ga ti iliɛ	dedicated
n'ga wɔliɔ	dedication
like n'ga a yo	deed
tinnin	deep
ewali	deep
wanzan'ni	deer
n'ga ti man wɔ anwlinssu	default
kula li yi	defeat
fɛ i bue	defend
klekle	define
etissu tchɛ	definitely
ibo	definition
i su yi	degree
sie iɲunu ekun	delay
fa sie ayin'man	delayed
nu nu	delete
e yo i sa	deliberate
like ʃinʃin	delicate
e yofɛ	delicious
yo fɛ	delight
yo fɛ	delighted
fa man	deliver
fa ɔ li	delivered
fa man li	delivered
imanlɛ	delivery
ussa	demand
wussa lɛ	demanding
kɛ sran me kwla vote i	democracy
wawɛ tɛ	demon
kle	demonstrate
kplinman su	denied
i wafa n'ga ti kaka	density
be je ya dɔrtrɔ	dentist
nan kplin'n su	deny
be bue liɛ	department
ikɔlɛ	departure
ekula yo	depend
sie sie be	deploy
issu fasielɛ	deposit
elafi a su	depressed
akun'nda san'gan	depression
iwa lɛ nu	depth
klekle	describe
ikleklelɛ	description
assiɛ kpakakpaka	desert
assiɛ kokloko	desert
ɔ liɔ	deserve
klɛ	design
iklelɛ	designation
n'klo kɛ	desire
juman diwlɛ sua	desk
agun'da wa sangan	despair
n'lafia su	desperate
kekle n'ti	despite
assiɛ kekle	dessert
kɔ wlɛ	destination
ye ɲunu	destiny
ayiman like	destiny
saki	destroy
isakilɛ	destruction
i bue bue	detail
i n'ma	details
wun' i	detect
iwafa n'ga n'jassi	determination
afa akunda	determine
djosso	determined
saki i n'gba	devastated
gni	develop
yo min e ɲin	developed
yo i kpa	developed
ignu'nu kɔlɛ	development
i kpayolɛ	development
motɛri	device
aparɛyi	device
tɛ	devil
e wuka sran	devoted
Dhivehi	Dhivehi
tupkatʃɛ diabɛt	diabetes
kunu tu	diarrhea
programi	diary
dictionnɛ	dictionary
eyoli	did
wu	die
wuli	died
aliɛ	diet
n'ga ti ya kun	difference
ti ya kungba	different
kekle	difficult
kɔkɔti	dig
i like n'ga e yo kpa	dignity
n'ga ti nindɛ like	diligent
aliɛ dilɛ	dinner
tɔ nu	dip
tre're	direct
be ti dan	direction
iti su	direction
be su pkin	director
fi'en	dirt
fien	dirty
nuin i	disable
e ti a kpa	disabled
m'lin	disappear
sa sin bubu e	disappointed
sa tɛ	disaster
to blo	discard
iblo tolɛ	discard
jra i	discharge
nuan	discharge
nian su kpa	discipline
ti su	discount
wun' yi uflɛ	discover
a tutu sran nu	discrimination
kin i n'dɛ	discuss
i jolɛ	discussion
tukpaʃɛ	disease
tupkatʃɛ	diseases
fia	disguise
sie n'zɔliɛ	disgusting
aliɛ kpon'gbo	dish
kpon'gbo	dishes
fuen i	dismiss
ɲɛ nu	dispatch
kleklelɛ	display
yilɛ	disposal
utre	dispute
ati'n	distance
i afien nu	distance
buebue	distinct
sie be wlɛ	distinguish
ya	distress
i siesie lɛ	distribution
apkassua	district
kle yalɛ	disturb
kuman	ditch
tɔ nu	dive
beblebe	diverse
ibeblebe	diversity
titi nu	divide
pkɛ nu	divide
nianmien like	divine
be titi nu	divorce
be jaman kun	divorce
yin su pkɛ yi	dizzy
yo	do
ayin	do you
a klo me	do you love me
dɔtrɔ	doctor
fluwa	document
si	does
yo	does
kwla yo man	doesn't
alua	dog
Dogri	Dogri
iyolɛ	doing
n'guã kanlin nin'gue	doll
i like nu	domain
i juman nu	domain
awlo like	domestic
tin' issu	dominant
yoman	don't
Nan srɛ kun wɔ	Don't worry
man	donate
yoli	done
n'nin kpanngɔ	donkey
drogi	dope
n'ion	double
bu i akun'nda	doubt
pati	dough
ibo	down
fa sie su	download
i wun akun'nda bullɛ	draft
ʃoin	drag
yo nu sanhu	drain
sa tɛ	drama
klɛ	draw
tirua	drawer
iklɛ klɛ lɛ	drawing
sro	dread
laliɛ	dream
wula tralɛ	dress
fiti	drill
non	drink
condi	drive
fu	drive
fa sie	drop
sie	dropped
tɔli	dropped
wawa	drought
bo	drunk
kehe	dry
labu labu	duck
yassua	dude
itiɛ	due
iti yɛ	due to
wa fɛ	dull
eyiddjo man	dumb
bobo	dumb
iyi lɛ	dump
iʃɛlɛ	duration
issɔnu	during
iyolɛnu	during
fa mugu	dust
n'ga eti kɛ n'yo	duty
ya lɛ	dwell
wulɛ	dying
i	each
be wun	each other
n'ga be kun'dɛ	eager
annun'man n'ga tra akɔ mu	eagle
sukpɔ	ear
n'dɛnu	earlier
n'dɛnu	early
gnin i	earn
sukpkɔ	ears
assiɛ	earth
assiɛ keje lɛ	earthquake
pɔpɔ	ease
n'ga ti ya kekle	easily
bue tɛ	east
pɔpɔ	easy
di	eat
di	eating
gua pɔpɔ	economic
sika sielɛ	economy
inuanssu	edge
klɛ i wuflɛ	edit
fluwa suanlɛ	education
i wafa n'ga fa yo be	effect
i n'gba	effective
eti kpa	efficiency
edi juman kpa	efficient
junman	effort
klen'zua	egg
nin'gue n'ma	eggplant
awlin	ego
mon tʃuɛ	eight
n'tʃuɛ	eight
blu ni montʃuɛ	eighteen
abla n'tʃuɛ	eighty
like n'ga	either
siesie	elaborate
sa kpɔ	elbow
pkin n'gbin	elder
kpingbin nu	elderly
klanman	elegant
like n'ma	element
sui	elephant
blu ni kun	eleven
eti kpa	eligible
yi i nu	eliminate
uflɛ	else
tinu wa san'gan	embarrassed
e kle yalɛ	embarrassing
atuu	embrace
fite nu	emerge
like ʃin'ʃin	emergency
n'ga eyo ɔ	emotional
ti i n'dɛ	empathy
essie su	emphasis
sie wɔ yin su	emphasize
juman di fuɛ	employee
juman di fuɛ mu	employees
fɛ yi di juman	employer
juman diwlɛ nu	employment
like numan nu	empty
man ati'n	enable
yanu	encounter
man fan'gan	encourage
i viewlɛ	end
n'ga be sua vie wu	endangered
umien	endeavor
iwafa n'ga e tchɛ	endurance
n'ga ɲan li i	endure
kpɔfuɛ	enemy
wun'mien	energy
bo bo	engage
bo i bo	engaged
an'gun'nda	engagement
motɛri	engine
ingeniɛ	engineer
juman difuɛ	engineer
Blɔfuɛ	English
yo i kpa	enhance
klo	enjoy
kaka	enormous
etikpassɔ	enough
nien kpa	ensure
wlu	enter
n'guã	entertainment
eyo i fɛ	enthusiasm
eyo ifɛ	enthusiastic
i n'gba	entire
ikula	entire
i bo bo lɛ	entitled
iyowlɛ	entity
wluwlɛ	entrance
sran dan	entrepreneur
n'ga be fa kɛtɛ i wun	envelope
tranwlɛ	environment
n'klo kɛ	envy
lã nu	epic
tukpatʃɛ	epidemic
eti	equal
nin'gue mu	equipment
issu ɔ	equity
ti kun'gba	equivalent
yin nu	eraser
fɔnlɛ	error
won'di	escape
n'galɛ su	especially
fluwa klɛlɛ kaka	essay
i yo wlɛ nu	essence
like kpa	essential
ibobo lɛ	establish
i asse tranlɛ	establish
sie	established
pklan	established
i juman	estate
sua juman	estate
sie sievi nuan	estimate
nian	estimate
nian nu	estimated
ibo n'ga mu	etc
n'ga kwla wu man	eternal
n'ga kwla vieman	eternal
i n'mla	ethics
nian nian nu	evaluate
i nian nian lɛ	evaluation
cɛ	even
sɛ yossu	even though
n'dɔssua	evening
fɛti	event
adjalɛ	event
cɛ e yo su	eventually
n'ga yo man de	ever
kɛfa fin	ever
i n'gba	every
sran mu	everybody
sran kula	everyone
sran n'gba	everyone
like kula	everything
n'dɛ sakpa	evidence
wawɛ tɛ	evil
pka yolɛ	evolution
e yo kpa	evolve
Ewe	Ewe
lã	ex
i su o	exact
issuɔ	exactly
examin	exam
nian nu	examine
i wafa kun	example
yo dɔwun	exceed
ti kpa dan	excellent
midɛ	except
n'ga numan'nu	exception
e tra su	excess
tra su	excessive
kaki	exchange
iwun' blibli	excited
i anwlin	excitement
eyofɛ	exciting
n'ga fite uflɛ	exclusive
yatʃi	excuse
yaki	excuse me
yo	execute
