Jun	a
chikʼbʼabʼil	analysis
qcham	ancestors
tzyubʼil bar	anchor
ojtxax	ancient
ex	and
yaj tzun ta	and you
talsanjil	angel
sanjil	angel
tx'ujil	anger
xky'ch jiqin	angle
jawna	angry
xk´oy	angry
xkyaq	angry
tx´kup	animal
n-a	ankle
q´ijlal	anniversary
qm'al	announcement
tx´u´jil	annoy
q´oj	annoy
tx'ujin	annoyed
shch´il	annoying
junjun ab´q´i	annual
ewitib´	anonymous
juntl	another
tzaq´wel	answer
tz´aq´wel	answer
qmaxpina	anticipate
lipen qanb´el	anxiety
lipel	anxious
a´lchaqxtz	any
tichaqx	any
q'otz	anymore
el qex	anyone
ti xku	anything
tzenculaj	anyway
maske ikju	anyways
junxitl	apart
nimtnam	apartment
chin tnajsama	apologize
ikytaqjo	apparent
t-kayb´ajtz	apparently
n-tza t-b´isen	appeal
kanetil	appear
t-kayb´ajtz	appearance
ma knet	appeared
q'q'in	appetite
tz´ib´q´ob´	apple
q'anilte	application
b´inchil	apply
amb´el te kayel	appointment
toklen	appreciate
la´qil	appreciation
txi lipey	approach
wen	appropriate
tzaq'wel	approval
tzaq´wel	approve
ma kutzb'il	approved
ch´ime	approximately
tkyaxjaw	april
mya tzʼaqlxix	arbitrary
ajtzqilximb´inch	architect
tzqib´ximb´inch	architecture
xk´u´b´il	archive
Eye	are
aya	are you
tla amb´il ti ja	are you busy
mejeb'niya	are you married
mejeb´niya maqa nya	are you married or single
a tixa atzu	Are you still there?
atz´ taya	are you there
jun pedaz tx´otx´	area
q-yol	argue
q-yol	argument
itz'jin	arise
q´ab´aj	arm
k'loj xjal	army
tijxe	around
b'nchet	arrange
b'inchal	arrange
tziyb'il	arrangement
ma ul	arrival
e´li	arrive
e´lil	arrive
pol	arrive
chin pone	arrived
jun xjal kuj yolen	arrogant
smaj	arrow
ilb'ilal	art
jun lu´n	article
mya atumel	artificial
ajkye´x	artist
s´e´n	as
toj chʼin ambʼil	as long as
ikx	as well
s'en tzun	as well as
tza´j	ash
tx'ixow'	ashamed
xjelil	ask
ma tzaj xjelin	asked
wtan	asleep
t-kayb´ajtz	aspect
Assamese	Assamese
b'uchil	assault
ch'uqxjal	assembly
niky´xjelil	assess
xjelb´il	assessment
niky´xjel	assessment
itz'	asset
at	assets
jask'ul	assign
taq´in	assignment
aq´untl	assignment
xel	assist
ajtz'ib'	assistant
junjun	associated
k'loj	association
tun txi q-b´isen	assume
kubʼ kyximen	assumption
toj	at
extzen	at least
ma wa'na	ate
jun xja'l	athlete
b'uyil	attach
tok ti´j	attached
b'uyil	attachment
yoqpet	attack
b'inchaxtla	attempt
kayinxa	attend
at	attendance
nak´b´il	attention
t-kayb´ajtze	attitude
juk'il	attract
nga'ne	attraction
ponex	attractive
jun bʼaʼn	attribute
jun audiencia	audience
twaxjaw	august
kyan	aunt
ixman	aunty
a b´inchelte	author
oklen	authority
q'ulq'ijil	autumn
amb´il	available
kyxol	average
nanxitb´inchana	avoid
i'tz'	awake
chojb'al	award
n-xi b´iset	aware
tanb´ele	awareness
chaq	away
ponex	awesome
qo tza xob´x	awful
alkayela	awkward
Aymara	Aymara
nex	baby
bachiller	bachelor
tijxi	back
txe	background
taq´wix	bad
ch'u'x	bag
ch'ux	bag
seb´	bait
tz'i'lsb'il	bake
womsb'il	bake
wonsb'il	bake
k´ayb´il xb´ukwa	bakery
jte´	balance
xpotz	ball
xpo´tz	ball
xtul	ball
Bambara	Bambara
lob'aj	banana
b'yuj	band
ky´ixb´aj	bang
k'ulb'il pwaq	bank
k'a'yb'il	bar
penex	barely
suqb´in	bargain
ch´iyin tx´wan	bark
sapalut	barley
maqb´il	barrier
tyajil	base
ttzaj	based
kub'ni	basement
basico	basic
oik'o'l	bastard
iky'	batch
tz´alb´il	bath
tz'alb'il	bathroom
bateriy	battery
nya bʼaʼn.	battle
kytzi aʼ	bay
xilen	be
a	be
kayix tumila	be careful
Tziya´	beach
b'inchal	beam
chenaq´	beans
nikx	bear
xmatz´ib´aj	beard
chej	beast
ma b´aj tq´ij	beat
ponix	beautiful
achb´ajil	beauty
qjal b'ian	became
Q´un	because
tu´nj	because
ma ja byan	become
koxb´il	bed
kuxb´il	bed
wuatb'l	bedroom
onin	bee
chib'j te wakx	beef
s'e'n tz'un taya	been
k´wab´aj tzeky´	beer
ojxi´	before
na´mxtaq	before
ma txi' qe	began
qetsal	begin
qeb´il	beginning
qe´	beginning
laqet	beginning
tb'anel jaku	behalf
qximbʼetz	behave
tzen n-oke tu´n kywutz xjal	behavior
tbʼanel qmod	behaviour
Ttza´ltij	behind
ti´jxa	behind
ti´jxi	behind
xilen	being
a	being
okslal	belief
okslal	believe
t-tz'on	belly
ja n-xi q-b´isen ja otoye	belong
xb'oj	beloved
kub´l	below
k'uj	belt
k´ulb´il pwaq	bench
pajtzul	bend
tjaq´	beneath
n-tza on qe tzen n-xi q-b´inchen jun lu´n	benefit
onb'il	benefits
tx-laj	beside
tok t-k´atz	besides
b´antyil	best
tb'anel junju	best of luck
k´olb´el	best regards
b´antyil	better
xol	between
kyxol	between
k'wab'aj	beverage
mastz´u´n ch´ix	beyond
Bhojpuri	Bhojpuri
tze´n n-xi txalene	bias
laqil	biased
chejqanb'il	bicycle
nimin	big
nmaq	big
ma´	big
chejqanb'il	bike
lu´n tun tokx q-chjon	bill
mojb'al	bind
pich	bird
ab'qi	birthday
ch'i'n	bit
xjak'al	bite
tx'a'l	bite
xjak'il	bite
k´a´	bitter
q'aq	black
q'eq	black
qesb'il	blade
tpaja	blame
pajb'al	blame
saq´	blank
q-chamar	blanket
poq'j	blast
simol	blend
smol	blend
k´i´wil	bless
ky´iwlal	blessed
ky´i´wlal	blessed
k´i´wil	blessed
mox	blind
k'iwlab'il	bliss
jpul	block
chiky´	blood
chik´el	blood
b´echil	bloom
n-el poq´le	blow
xq'ilin	blue
jun lu´n desafilado	blunt
mujb´el	board
mak´ox	boat
xmilalb'aj	body
loq'lol	boil
q´aq	bold
tkʼujlabʼil	bond
b'aq	bone
uj	book
matijset	boost
mojel	booster
chunxjab´	boot
chunxjab´	boots
tx´an b´e	border
uljil	bore
q-watl	bored
ky´aj	boring
altwinqal	boring
itz´jil	born
qmajin	borrow
nejenil	boss
k´ab´íl	both
iplaj	bother
lmet	bottle
kub´il	bottom
tjaq´	bottom
ma loq´in	bought
lipel	bounce
tzyu´n	bound
tiʼchaq mitiʼ	boundaries
tokixpo'tz	bow
tk´wel	bowl
kax	box
q´a	boy
xmoxil	boyfriend
ti q'ob'aj	bracelet
xoqxi´n	brain
jolin	brain
jolon	brain
jun t-q´ob´	branch
techel	brand
tx´u´jil	brave
mi xpon b'aj	breach
twamo´s	bread
xb´ukwa	bread
tx´i´l	bread
laqil	break
wa'l	breakfast
mix	breast
xew	breath
xewaj	breathe
xewb'aj	breathe
ch´iysal	breed
a´lal	breed
xkyaqloq´	brick
xmoxb'il	bride
q´a´jan	bridge
q´anjin	bridge
q´a´j	bridge
ch'inin	brief
qopb'l	bright
qoqb'il	brilliant
q´intza	bring
tx'ibin	bro
nim toj	broad
yek'il	broadcast
q'olte	broadcast
ma laq	broke
xlaq	broken
tz´isb´il	broom
itz´inb´aj	brother
atzikyb´aj	brother
xib´aj	brother
b´alak	brother in law
b´aluk	brother in law
aq´untl	brought
aq´un	brought
tx'ajil b'aq'	brush
tb'el	bucket
tuk´il	buddy
xkomp´it	buddy
t-xb´oj	buddy
jte t-wi´	budget
ma chi qe tzaqje	bug
txakb´et	build
b´inchil	build
nimja	building
wa´linja	building
ma b'inchet	built
iqtz	bulk
wakx	bull
b'iyol xjal	bully
iqtz	bump
ktxij	bunch
b'laq'	bundle
Iqal	burden
isq'ul	burden
iqil	burden
mq'un	buried
patil	burn
ma tzel poq´j	burst
maqul	bury
muqil	bury
k'uxb'il	bus
txu'l	bush
k´ax	business
t-jaq´ t-qule	bust
tla amb´il	busy
me	but
txamanil	butter
pak'il	butterfly
natob'	button
loq´al	buy
laq´ol	buy
loq´il	buy
ch´ine	by
ch´ini	by
ch´inrtz´	by
naq' sik'wal	by the way
wexa	bye
kolx	cabbage
kulix	cabbage
kax	cabinet
tja txkup	cage
pastel	cake
notz'	calf
yolb´ilte	call
ch´in tyolb´tza	call me
k'alil	called
txokil	called
txakol	called
chewsil	calm
ul	came
ma tzul	came
jaku	can
ja	can
b´antel	can
lay b´ent	can't
layt	Cancel
okxju	Cancel
q'ayab'il	cancer
b´an	capable
b´an tu´n	capacity
nim yol	caption
ma tz'yet	capture
carro	car
oqe´lan	career
oqelb´aj	career
oqelbp´il	career
cheb´e taj	careful
chab'a	carefully
xi k'ayin	careless
tk'ujlab'il	caring
ajtze´	carpenter
b'etb'il	carpet
maman	carrot
q'anitzaj	carrot
q'anjil	carrot
q´inxa	carry
lejet	carry on
b'inchal	carry out
ja n-chi ku´xe lu´n	case
pwaq	cash
aye elenco kye xjal	cast
ja	castle
junjen q´ij	casual
wix	cat
tzuyil	catch
tzyul	catch
ch'uq	category
alimil	cattle
ma tz´yet	caught
tu´n	cause
k´ayinxa	caution
kayil tumil	cautious
jul	cave
okx	cease
yek´b´itz	ceiling
iky´sab´itz	celebrate
iky´saj q´ij	celebrate
tnitx'il k'ul	cell
tmij	center
niky´aj	center
jok'al ab'qe	century
wabʼj	cereal
yuxhil	ceremony
junjen	certain
ex iktzen wen	certainly
uʼj	certificate
aq'il	chain
q'uqb'il	chair
q'a'jtz	chair
anb´il	chance
tx´exb´il	change
i´l	chaos
t-kayb´ajtz	character
kymod	characteristics
iqatz	charge
mojel	charity
tzalaje	charming
techel	chart
lajol	chase
lajil	chat
miya´wi´yal	cheap
sb´ul	cheat
yolin t-xuʼjil tukʼil junt	cheating
xq´uqil	check
txaq'tzi'	cheek
tzalajb´il	cheer
tzalajsb'il	cheerful
ntzalaj	cheerful
b´a´n	cheers
chwiqlal	cheers
kyes	cheese
b´inchel q´anb´el	chemistry
laq´il	cherish
qanb´el	chest
tx'a'l	chew
k'xul	chew
b'e'l	chew
eky'	chicken
txuxu'l	chicken
tejil	chief
kw´al	child
k'walil	childhood
k'wal	children
chew	chill
ob'aq	chimneys
xpetz	chin
tz´ub´aj kyikyiw	chocolate
sk´ob´il	choice
sk´ol	choose
ch´yon	chop
tun tku q-b´inchen	chores
q'es	chubby
tja manb´aj	church
canel	cinnamon
se´w	circle
aye lu´n n-chi b´ajte	circumstances
ajchojil	citizen
tnam	city
qanixa	claim
xjelinxa	claim
spiky'eb'il	clarify
t-clase	class
ch'ax tx'o'tx'	clay
saq	clean
sjanin	clean
xnul	clean
b´a´n	clear
ajtz'ib'	clerk
b´a´n b´isen wen	clever
loq'il	client
xaq	cliff
na´ltx´otx´	climate
q-jay	climb
q'lak'	clingy
ch'aq'	clingy
ajlab´il amb´il	clock
miltz´ul	close
jpul	close
lamol	close
k´ub´b´il	closet
b´u´x	cloth
ijb´aj	clothes
muj	cloud
at muj	cloudy
payas	clown
kol	clue
mib´e tu´n	clumsy
chmoj xjal	cluster
xjal yek´el	coach
txan q'a'l	coal
mlaj	coast
q-sueter	coat
k´ape	coffee
cognitivo	cognitive
kanet	coincidence
chew	cold
ma ku yutx´j	collapse
qul	collar
tuk´il	colleague
xkomp´it	colleague
t-xb´oj	colleague
t-xb'oj	colleagues
b´uyil	collect
b'uyil	collection
xkomp´it	college
tk'wa'	color
chin laqe tin txuye	colorless green ideas slept furiously
tk´wa´	colour
tb'aqil ttzal i'jb'aj	column
xweb'	comb
mojb'al	combination
junx	combine
tzaja	come
we tzaja	come
tzaja tzala	come here
q'oya	come on
pon tkʼuʼj	comfort
b´a´n	comfortable
juntl	coming
chixtil	coming soon
chq'ol	command
xim yol	comment
k´ayb´il	commercial
taqʼun	commission
comprometerse	commit
jtoj tun tu´le	commitment
comprometido	committed
k´ax	commodity
axu	common
q´umol	communicate
yolil	communication
tnam	community
kal	commute
txkompi't	companion
loq´al	compare
loq´il	compare
mojb'et	comparison
qʼaqʼbʼil qkʼuʼj	compassion
qʼaqʼin tkʼuʼj	compassionate
ikq´ex	compatible
kbʼantel tten	competent
b'a'nxnaq'tz	competition
mas bʼaʼn	competitive
b´ajsal	complain
tyol tiʼj juntl	complaint
tmoj	complement
Tz´aqali	complete
Tz´aqli	complete
akax	completely
cuest	complex
tze'l twitz	compliance
ch´u´x	complicated
tz´el twitz	compliment
el twitz	comply
tbʼinchbʼen	composition
at toj	compound
keleltnik'	comprehension
mojb'ab'il	comprehensive
tun txi b´inchet	compromise
sq´uin	compulsory
ajnab´il	computer
ximele	concentrate
t-kayb´ajtz	concept
ti tzulo	concern
melj	concerned
ch'uq xjaal	concert
iktzentzje	conclusion
axexje	condition
junjun tiʼchaq	conditions
t-kayb´ajtz kywutz xjal	conduct
atlu	conference
q'mal	confess
q'uqb'il k'u'j	confidence
ax	confident
q'mal tq'anil	confirm
q´oj	conflict
ma qe tzak'j	confused
najil	confusion
tzalajsal	congrats
tzalajsal	congratulation
tzalajsb´il	congratulations
ch'uq	conjunction
mojb'al	connect
tkubʼ tiʼj	conquer
tenab'il	conscious
qnab'il	consciousness
chuch´i´	consent
ti kb´ajel	consequences
laj	conservation
ku tz´ulo ku tx´imina	consider
klo'n	considered
techel	consist
majx	consistency
jun lu´n n-xi b´inchet junjen q´ij	consistent
q´achq´al	constant
at ju	constantly
b´inkab´il ja	construction
b'ajsal	consume
b´ajsal	consumption
molj	consumption
b´ajsil	consumption
tzyul	contact
b'ajo'k	contagious
at toj	contain
tten	contains
ja'lin	contemporary
ik´al	contempt
ik´il	contempt
b´ixnaq´tz	content
conrus	contest
aju yol	context
a iq´in tun	continent
lojonxa	continue
twi´ aq´untl	contract
junxitl	contrast
chojil	contribute
chjol	contribute
onb'il	contribution
tkawbʼil	control
wul	controversial
tu´n b´a´n	convenient
tx'olb'al	conversation
lajiñ	conversation
kjalb'iyan	convert
chik´il	convey
kub´ tuj twitz	convince
mikb'el ti'j	convinced
b'nchal wab'j	cook
b´inchal wabj	cooking
xbajin	cool
mojil	cooperation
weʼ kywitz	cope
kob'r	copper
tq´anal	core
xin	corn
b'utx'	corner
tb'anil	correct
twi'	cost
xnb´alamb´alil	costume
ja	cottage
noq'	cotton
q'uqb'il	couch
qulb´aj	cough
sjol	cough
tzjo´l	cough
ku tz´ulo	could
chemb'il	council
ajlall	count
ojla´n	count
yek´il k´ax	counter
tnam	country
k´ul	countryside
junjen	couple
tx'ujil	courage
xnaq´ta	course
jol	court
amj	court
tbʼanel xjal	courtesy
chojb´al	cousin
kotzalalb´il	cousin
maqsil	cover
wakx	cow
ma ja x'ob'	coward
chap	crab
chop	crab
laqin	crack
yaq	crap
punil	crash
tk'ok'jal	craving
k´ol txakal	crawl
k´e´b´il	crawl
txakil	crawl
xo'j	crazy
Swat	crazy
nab'lilte	create
b'nchalte	create
t-b´anex b´isen	creative
q-k´as	credit
ob'il	creep
klelin	creepy
nimxix	crew
il in bʼant	crime
ch´ixil	cringe
ch´ixwel	cringe
mintiʼxix kypwaq	crisis
t-ximbʼetz	criteria
ilx ti´j	critical
yolintoq nya bʼaʼn kyiʼj txqantl	criticism
awaj	crop
awal	crops
iky´ix	cross
ikyi´t	cross
ikk´xil	cross
joj	crow
txqan xjal	crowd
jun xjal atestado	crowded
coron	crown
cruacial	crucial
xkyaqk'u'j	cruel
bark	cruise
yuq´el	crush
oq'il	cry
tz'ul	cuddle
abrazos	culture
tzeʼn jaku bʼant	cunning
k'wab'il	cup
k´ub´b´il	cupboard
wa'b'il	curb
q´anil	cure
tyeja tjaya	curfew
tuʼn tel mas nnikʼe tiʼj.	curiosity
b´isel	curious
coloch	curly
se´pwaq	currency
ak´a´j	current
a jalin	currently
q'anil toj twi'	curse
txab'alaninja	curtain
q´awej	cushion
xkanob'il	custom
tzejxb'alin	custom
loq´el	customer
aduanas	customs
qesil	cut
tb´abil	cute
amb'al	cycle
tata	dad
tat	dad
mamb´aj	dad
tat	daddy
junjun q'ij	daily
ta'l imaj	dairy
tzyu'n	dam
yajil	damage
yajilte	damage
q'anil toj twi'	damn
xb'umb'uj	damp
b'ixil	dance
tzaj jun nya bʼaʼn	danger
taq'wix	dangerous
qlolj	dark
qtakin	dark
qlolaj	dark
n-xujele waje ti´j	darling
tzok'	dash
nim toklen	data
tajlal	date
tajlalq´ij	date
alib´aj	daughter
q´ij	day
kyimna	dead
kyimni	dead
tmakb´il q´ij	deadline
chk´in	deaf
xi q-b´inchen	deal
tal	dear
xb'oj	Dear All
Samel Xjal	Dear Customer
eyeq´iye manb´aj	Dear Parents
xb'oj	Dear Sir
eyeq´iye k´uxun	Dear students
eyeq´iye wuk´il	Dear Team
kyimni	death
yolin tiʼj	debate
tz'el q'in	debit
tz'is	debris
k´as	debt
laj ab'qi	decade
ma b'aj	decay
ma kyim	deceased
sb'ul	deceive
tkalaxxjaw	december
b´a´n	decent
n-xi t-b´isen	decide
txi b´iset	decided
b´isel	decision
maqsil	deck
ik'il	decline
qelil	decrease
xonk'u'j	dedicated
aq'unal tij	dedication
tz'b'b'en	deed
nim t-xe'	deep
jun-venado	deer
estzen tu´n	default
ma k´ub´	defeat
kolil	defend
ikja	define
iktzen	definitely
tzen kxele	definition
ab'q'i xnaq'tz kol	degree
ma q'et	delay
yaj	delayed
siky'il	delete
ma kut b'isen	deliberate
k´uw	delicate
k´o´kj	delicious
oquinil	delight
k´ujlal	delighted
q´ot	deliver
q´ol	deliver
q'olte	delivered
ma chin tza je q'olte	delivery
b´ajsal	demand
amlil	demanding
tiptnam ex numb´il	democracy
nak´b´il	democracy
txub´txaj anq´ib´il	democracy
ju'o	demon
yek´b´il	demonstrate
ma ju ewin	denied
ch'uxh	density
q-anil eyb'aj	dentist
lay	deny
te tnam	department
ma txi´	departure
k'okel	depend
loch´il	deploy
n-okx	deposit
bisin	depressed
bis	depression
txe´	depth
q´mantza s´en	describe
t-kayb´ajtz	description
n-ti´ at toj	desert
leq´	deserve
b´inchel	design
tqʼoʼn	designation
ajb´il	desire
mex	desk
tz'ib'b'il	desk
también	desk
toj kʼixkʼoj	despair
tunx n-b´isenx	desperate
t´un pitzun	despite
n-ti´ at toj	dessert
tun q-kanen	destination
kpon	destiny
ch´uqal	destroy
q´uchil	destroy
yuch´il	destroy
tx'uyil	destruction
junjun tiʼchaq	detail
jun tiʼ	details
tel naj qnikʼ	detect
jte´ qaj ti´j	determination
ma pon b´aj	determine
tajxex	determined
chunil	devastated
b´inchel	develop
bʼinchaʼn	developed
ch'isb'il	development
kxb´il	device
taj wil il	devil
tililxix	devoted
Dhivehi	Dhivehi
diabetes	diabetes
k´uj	diarrhea
chijtl	diary
pujb´ilyol	dictionary
ma ku tbinchan	did
kimni	die
kim	die
kyimni	died
kyyoʼn xjal weʼyaj	diet
junxitl	difference
ju´nxil	different
junxil	different
kyuw	difficult
ch´ux	difficult
lukal	dig
t-dignidad	dignity
xhtij	diligent
w'al	dinner
jk'om	dip
qʼanchaʼl	direct
janejenel	direction
nejenel	director
tz´il	dirt
tz'i'l	dirty
q'ux	dirty
anmi	disable
anmi	disabled
najsil	disappear
q-k´e tun q-kayen ti´j	disappointed
i´l	disaster
xol	discard
iqal	discharge
q´lte	discharge
nak´b´il	discipline
jolil	discover
jalol	discover
iq'il	discrimination
yolil	discuss
wul	discussion
yasil	discussion
ch´otjil	discussion
yab´	disease
yab'il	diseases
ewil	disguise
nya´txu´txjal	disgusting
le'wlaq	dish
le'wlaq	dishes
k'awil	dismiss
k'ayil	dispatch
yek'al yek'il	display
tz'is	disposal
txi tiret	dispute
jte´ q-xol	distance
junxit	distinct
q´inchil	distinguish
b'is	distress
le´l	distribution
sipil	distribution
distrito	district
ky´elet	disturb
yekil	disturb
jul	ditch
jilil	dive
tixch'aq'	diverse
chukchaq anq´ib´il	diversity
sipil	divide
palte	divide
ponix	divine
ma ku p'an	divorce
yupaj	dizzy
witzb´aj	dizzy
jaku	do
ay	do you
in laqa wije	do you love me
q´anel	doctor
q´anil	doctor
u'jil	document
ma´y	does
may	does
mi'n	doesn't
tz´yan	dog
Dogri	Dogri
b´inchal	doing
la's	doll
b'antil	domain
q-jay	domestic
kyuw	dominant
lay	don't
mixti	don't
tla	don't
nan tzaj txima	Don't worry
oyil	donate
b´a´nmaj	done
bur	donkey
k´ab´e	double
xjel	doubt
xka´mil	doubt
q´uq´il	doubt
q'otj	dough
kub´l	down
kub'sil	download
q´uchb´il	draft
jk'ul	drag
jutzx	drain
jutzl	drain
iltzeb'	drama
tilb´ilal	draw
kyajb'utx'an	drawer
kax	drawer
ilb'ilal	drawing
xtalb´il	dread
witziky´	dream
chuy	dress
laq'il	drill
k´wab´aj	drink
manejarel kxbil	drive
txat	drop
t´un t	drop
ma ku tzaq'	dropped
tzqij	drought
tx´ojtenil	drunk
tzqi	dry
txajan	dry
patz	duck
xjel	dude
xk'amil	dude
q'uq'il	dude
toj	due
t´un tpaj	due to
tzaj q-watl tu´n	dull
men	dumb
sma'k	dumb
me	dumb
axtok	dump
ax	dump
jteʼ amb'il	duration
tze´n	during
quq	dust
qupj	dust
puj	dust
k'as	duty
najal	dwell
kyimni	dying
kim	dying
jun jun	each
tz'oka	each other
n-lipen xjal	eager
t´iw	eagle
xkyimb´aj	ear
q'ontz amb'il	earlier
qlax mo qlixje	early
kanb'il	earn
xkyimb´aj	ears
tx´o´tx´	earth
kyaqnab´	earthquake
q-facilidad	ease
nya kuj	easily
a la	east
tu´nxtib´	easy
wa´l	eat
wal	eat
wa´l	eating
pwaq	economic
pwaq	economy
ja n-el b´aj	edge
b'nchu'j	edit
xnaq´tzb´il	education
n-b´aj ti´jxe	effect
tbʼanel	effective
bʼant tuʼn	efficiency
b´an b´inchen	efficient
ipal	effort
jos	egg
xpenitzaj	eggplant
nimsan tibʼ	ego
wajxaq	eight
wajxaqlaj	eighteen
kyajk´al	eighty
maqo	either
b´inchal	elaborate
tch'eq' q'ob'aj	elbow
ni min xjoq´	elder
nimin	elderly
q´tik´	elegant
tz'aqsb'il	element
elefant	elephant
b´elaj	eleven
jun lu´n kab´ale token	eligible
tkubʼ naj	eliminate
nimx	else
q´otzl	else
tx'ixwil	embarrassed
ch'ixil	embarrassed
ch'ixwel	embarrassed
chʼixwi	embarrassing
Tz´ulil	embrace
chlel	embrace
ma ja b´ian	emerge
nya bʼaʼn	emergency
tuʼn ttzalaja	emotional
ximana	empathy
enfasis	emphasis
yekʼinxa	emphasize
majin	employee
majin	employees
majin	employer
aq'untl	employment
mishti toj	empty
amil	empty
miti toj	empty
kuyil	enable
jyo´n	encounter
ma tzel yal	encounter
txi q-mojen	encourage
ma b´aj	end
toj taq'wix	endangered
kyuw	endeavor
kuj	endurance
tipa	endure
ajq´oj	enemy
tipumala	energy
kxel b´inchet	engage
taj tun tok	engaged
jun compromis	engagement
rum	engine
juk'ul	engine
ajtzqilb´inch	engineer
me'x yol	English
b´antyil	enhance
taje	enjoy
nintzk'u	enormous
okxu	enough
axix	ensure
okx	enter
q-kayb´etz	entertainment
tzalajb´il	enthusiasm
tzalajsb'il	enthusiastic
ntzalaj	enthusiastic
junka	entire
tuk´il toklen	entitled
ch'uq xjaal	entity
oktzil	entrance
okx	entrance
xjal n-b´inchen jun lu´n saq	entrepreneur
tib'aj	envelope
tb'el	envelope
twitz tx´o´x	environment
yaqil	envy
xkyaqtze'l	envy
xjiq'al	envy
mintiʼ tzaj xobʼ	epic
yab'il	epidemic
iikx	equal
ky-lu´n	equipment
junx	equity
junx	equivalent
xqechb'il	eraser
nya bʼaʼn	error
oqil	escape
oqel	escape
extzen axexje	especially
xnik'chal	essay
k'ok'jil	essence
ilx	essential
tun tok	establish
kxel o´n	established
q'ina	estate
nxi q-b´isen	estimate
t-xb'oj	estimated
lay b'aj	eternal
tb'anel	ethics
niky'xjelil	evaluate
xjelb'il	evaluation
ex	even
extzen	even though
aq´b´il	evening
qoniky´an	evening
qniky´in	evening
jun lun n-b´aj	event
ex junjen maj	eventually
ju majku	ever
junjun	every
tkyaqil	everybody
tyaqilx	everyone
tkyaqil	everything
tech'il	evidence
tajaw il	evil
tajwil il	evil
tzajni qoʼ	evolution
tx´ixpul	evolve
Ewe	Ewe
o tz´ik´	ex
ikja	exact
iktzen	exactly
ka'yib'il	exam
ka'yib'il	examine
techel	example
tel qbʼis	exceed
ponex	excellent
me mi´ne	except
okxa	exception
nimxix	excess
nimxix	excessive
tx´exb´il	exchange
n-lipen qanb´el	excited
n-qo tzejen tu´n	exciting
naq oʼkx	exclusive
najsama	excuse
najsama	excuse me
b´inchalte	execute
tkubʼ bʼiyoʼn	execution
jun ejecutivo	executive
aq´net	exercise
oqil	exhaust
siktel	exhausted
mujle	exhibit
yekb´il	exhibition
i'tz'	exist
at	existence
atixix	existing
