एकः	a
बुभुक्षा	appetite
सेवफल	apple
अनुप्रयोगः	application
आचरतु	apply
नियुक्तिः	appointment
श्लाघयतु	appreciate
प्रशंसा	appreciation
समीपगमनम्‌	approach
समीचीनः	appropriate
अनुमत्त	approval
जानाति	approve
अनुमत	approved
आसन्न	approximately
अप्रैल-माह	april
कचु	arbitrary
वास्तुकार	architect
संरचना	architecture
लेखागार	archive
सन्ति	are
क्षेत्र	area
तर्कयति	argue
तर्क	argument
उत्पद्	arise
बाहु	arm
सैन्यदल	army
सर्वतः	around
आयुजति	arrange
व्यवस्थाम्	arrangement
आगमन	arrival
आगच्छति	arrive
आगच्छत्	arrived
रूक्षं	arrogant
बाण	arrow
कला	art
आलेख	article
कृत्रिम	artificial
कलाकार	artist
यथा	as
विभूति	ash
लज्जित	ashamed
पृच्छतु	ask
पृष्ट	asked
सुप्तः	asleep
तत्थापि	as long as
कारक	aspect
असमिया	Assamese
वार	assault
गोष्ठी	assembly
प्रवद्	assertive
अर्घनिर्धारणम्‌	assess
निर्धारणम्‌	assessment
संपत्ति	asset
संपत्तियां	assets
दिश्	assign
नियोजनम्‌	assignment
सहाय्	assist
सहायकं	assistant
यत्	associate
संबंधित	associated
संगठन	association
समालम्बते	assume
सम्भावना	assumption
अपि	as well
इत्युपरि	at
अखादत्	ate
व्यायामी	athlete
न्यूनतम	at least
आवप्	attach
संलग्न	attached
संलग्न	attachment
आक्रमण	attack
यत्नः	attempt
उपसंश्रयति	attend
उपस्थिति	attendance
अवधानम्‌	attention
अभिवृत्तिः	attitude
लोभयति	attract
आकर्षणं	attraction
आकर्षक	attractive
गुण	attribute
श्रोतृवर्ग	audience
पितृव्या	aunt
पितृभगिनी	aunty
विश्वसनीय	authentic
लेखकः	author
प्राधिकरण	authority
शरद	autumn
उपलब्धः	available
माध्यम्‌	average
वर्जयतु	avoid
जागृत	awake
पुरस्कारं	award
अवबोधितः	aware
जागरूकता	awareness
दुरे	away
असमीचीनम्‌	awful
अदक्षः	awkward
आइमारा	Aymara
शिशुः	baby
कुमारं	bachelor
पृष्ठभागः	back
पृष्ठभूमि	background
असमीचीनः	bad
भ्रस्ता	bag
प्रलोभन	bait
पचते	bake
भर्जनी	bakery
भर्जनविक्षार	baking soda
संतुलन	balance
कन्दुक	ball
बंबारा	Bambara
कदल	banana
गण	band
आहति	bang
कोश	bank
प्रच्छेद	bar
केवलं	barely
विपण्य	bargain
तरुत्वच्	bark
यव	barley
रोध	barrier
आधार	base
आधारित	based
आधार	basement
आधारभूत	basic
आधारभूत	basically
तुलसी	basil
विजात	bastard
राशिः	batch
स्नानं	bath
स्नानागारः	bathroom
विद्युत्कोष	battery
जंगं	battle
तट	bay
भव	be
समुद्रतटम्	beach
पुंजं	beam
शिम्बी	beans
भल्लूकः	bear
श्मश्रु	beard
भारु	bearing
नृपशु	beast
आघातः	beat
सुन्दरम्‌	beautiful
सुंदरं	beauty
जात	became
यतः	because
जातः	become
शय्या	bed
शयनकक्ष	bedroom
मधुमक्षिका	bee
गोमांस	beef
भूत	been
भीर	beer
पूर्वम्‌	before
आरब्ध	began
आरम्भ	begin
आरंभ	beginning
-अर्थेन	behalf
व्यवहृ	behave
व्यवहारः	behavior
व्यवहार	behaviour
पृष्ठतः	behind
स्थितवत्‌	being
श्रद्धा	belief
विश्वसितु	believe
उदर	belly
अभिसम्बध्नाति	belong
स्नेहित	beloved
अधः	below
पट्टक	belt
पीठ	bench
नमयति	bend
अधस्	beneath
लाभः	benefit
लाभाः	benefits
पार्श्व	beside
अधि	besides
श्रेष्ठः	best
शुभकामना	best of luck
सादर	best regards
समीचीनतर	better
मध्ये	between
पेय	beverage
अग्रे	beyond
भोजपुरी	Bhojpuri
पूर्वाग्रहं	bias
अभिनत	biased
द्विचक्रिका	bicycle
आदिशति	bid
विशालः	big
यन्त्रद्विचक्रिका	bike
देयकं	bill
पक्षी	bird
जन्मदिवस	birthday
किञ्चित्	bit
दंश्	bite
तिक्त	bitter
कृष्णः	black
क्षुरपत्र	blade
आरोप	blame
रिक्त	blank
कम्बल	blanket
विस्फोट	blast
श्वेतन	bleach
मिश्रण	blend
भद्रंकृ	bless
धन्य	blessed
अन्ध	blind
स्वर्ग	bliss
मृदुवस्तु	block
रक्त	blood
उन्माद	bloom
आघाततः	blow
नील	blue
कुण्ठ	blunt
मण्डलम्‌	board
नौका	boat
शरीरं	body
पिटक	boil
विक्रान्तः	bold
बन्ध	bond
अस्थि	bone
पुस्तकम्‌	book
संवेग	boost
संवेग	booster
पादत्राण	boot
पादिका	boots
सीमा	border
छिद्रयति	bore
आग्रस्तः	bored
नीरसः	boring
जाताः	born
उद्धारग्रहणम्‌	borrow
स्वामी	boss
उभौ	both
अधिबाधते	bother
कूपी	bottle
अधः	bottom
क्रीतः	bought
आबद्ध	bound
सीमा	boundaries
धनु	bow
पाल	bowl
कोश	box
बालकः	boy
सख	boyfriend
कङ्कण	bracelet
मस्तिष्क	brain
शाखा	branch
चिह्न	brand
वीरः	brave
भङ्ग	breach
रोटिका	bread
भङ्गः	break
अल्पाहार	breakfast
स्तनं	breast
श्वशन	breath
श्वसिति	breathe
जाति	breed
इष्टिका	brick
कन्या	bride
सेतु	bridge
साक्षिप्तं	brief
उज्ज्वलः	bright
मेधावी	brilliant
आनय	bring
भ्राता	bro
विस्तीर्ण	broad
प्रसारण	broadcast
भंजित	broke
भंजित	broken
ऊहनी	broom
भ्राता	brother
आवुत्त	brother in law
आनीतः	brought
पिङ्गल	brown
भृष्ट	brush
डोलं	bucket
सुहृत्	buddy
अर्थसंकल्पम्	budget
मत्कुण	bug
निर्मिमीते	build
भवनम्	building
निर्मित	built
संहति	bulk
वृषभ	bull
कुम्भ	bully
सहसा	bump
समूह	bunch
पोटलिका	bundle
भारः	burden
अगर्तमित	buried
जलन	burn
स्फोट	burst
बस	bus
गुल्म	bush
व्यवसायः	business
पूर्वार्धम्‌	bust
व्यस्तः	busy
किन्तु	but
नवनीत	butter
चित्रपतङ्ग	butterfly
कड्मल	button
क्रीडातु	buy
इत्यनेन	by
पुनर्मिलामः	bye
एतदतिरिच्य	by the way
केम्बुक	cabbage
मन्त्रिपरिषद्	cabinet
कारा	cage
इड्डरिका	cake
गोवत्स	calf
आह्वानम्‌	call
आहूत	called
शान्तः	calm
आगतः	came
प्रचारं	campaign
शक्नोति	can
निरसयतु	Cancel
कर्करोग	cancer
सक्षम	capable
क्षमता	capacity
राजनगर	capital
अवबोधक	caption
पटल	capture
कारयानम्‌	car
चरितम्‌	career
सावधानम्‌	careful
ध्यानपूर्वक	carefully
निश्चिन्त	careless
विदूर	caring
तक्षक	carpenter
चित्रकट	carpet
गार्जर	carrot
वहति	carry
नी	carry on
वह्	carry out
विषय	case
टङ्क	cash
क्षेप	cast
प्रासाद	castle
नैमित्तिक	casual
मार्जारः	cat
परिगृह्णातु	catch
कोटी	category
पशु	cattle
बद्धः	caught
निमित्तम्‌	cause
सचेत	caution
सतर्क	cautious
गुहा	cave
छादम्‌	ceiling
कीर्तयति	celebrate
कोशिका	cell
केंद्र	center
शताब्दी	century
अन्न	cereal
उत्सव	ceremony
कश्चित्‌	certain
निश्चयेन	certainly
प्रमाणपत्रं	certificate
शृङ्खला	chain
आसन्द	chair
प्रवादं	challenge
अवसर	chance
परिवर्तय	change
अस्तव्यस्तता	chaos
स्वभावः	character
विशेषतानाम्	characteristics
दायित्वम्‌	charge
दान	charity
आकर्षक	charming
तालिका	chart
पापर्द्धि	chase
संवाद	chat
अल्पमूल्यम्‌	cheap
वञ्चक	cheat
वञ्चन	cheating
अनुशीलय	check
गल्ल	cheek
विपणि	cheer
प्रसन्नः	cheerful
जयशब्दाः	cheers
दधिक	cheese
रसायनशास्त्र	chemistry
पृणाति	cherish
चतुरङ्ग	chess
वक्षः	chest
निर्भस्	chew
कुक्कुट	chicken
मुख्य	chief
बालः	child
बाल्यकाल	childhood
बालकाः	children
अभिशीतम्‌	chill
धूममार्गाः	chimneys
जोड	chin
चॉकलेट	chocolate
चयनं	choice
चिनोतु	choose
कार्यसूची	chores
मांसल	chubby
चर्च	church
भित्ति	cinnamon
वृत्त	circle
परिस्थितयः	circumstances
नागरिक	citizen
नगरी	city
अभ्यर्थना	claim
स्पष्टयति	clarify
श्रेणी	class
पङ्क:	clay
स्वच्छम्‌	clean
स्पष्टः	clear
लिपिक	clerk
चतुरः	clever
ग्राहिका	client
चोटी	cliff
वायुमंडल	climate
रोहति	climb
स्नेहन	clingy
घटिका	clock
पायुक्षालनभूमि	closet
वस्त्रं	cloth
वस्त्राणि	clothes
मेघ	cloud
धूमिल	cloudy
विदूषक	clown
सङ्केत	clue
अतिस्थूल	clumsy
चिति	cluster
पथिकयान	coach
अङ्गार	coal
तट	coast
प्रवारकः	coat
काफी	coffee
संज्ञानात्मक	cognitive
संयोग	coincidence
शैत्यम्‌	cold
संश्यान	collapse
ग्रैवेय	collar
सहकारिणी	colleague
सहकारी	colleagues
संग्रह	collect
सङ्ग्रह	collection
महाविद्यालयं	college
वर्ण	color
वर्णं	colour
स्तम्भ:	column
कङ्कत	comb
युग्म	combination
संयोजन	combine
आगच्छ	come
सुस्थता	comfort
सुविधाजनकः	comfortable
आगामी	coming
आदेश	command
टिप्पणी	comment
वाणिज्यिक	commercial
आयोग	commission
प्रविश्	commit
प्रतिबद्धता	commitment
समर्पित	committed
सामग्री	commodity
सुलभः	common
तरुत्वच्	communicate
संचार	communication
समुदाय	community
ऊर्ध्वभाग	commute
कङ्कण	companion
गोष्ठी	company
तूल	compare
तुलना	comparison
करुणा	compassion
दयालु	compassionate
सुयोग्य	compatible
स्पर्धध्वे	compete
क्षम	competent
प्रतियोगिता	competition
प्रतियोगी	competitive
अभियुनक्ति	complain
अनुबद्ध	complaint
परिपूर्येय	complement
पूर्णतया	completely
जटिल	complex
अनुबद्ध	compliance
क्लिष्ट	complicated
प्रशंसा	compliment
प्रतिया	comply
रचना	composition
यौगिक	compound
समवेश	comprehension
सामासिक	comprehensive
आपोषयति	compromise
अनिवार्यं	compulsory
संगणक	computer
यथार्थ	concentrate
कल्पना	concept
परिदेवना	concern
चिन्तातुरः	concerned
सङ्गितक	concert
निगमन	conclusion
ठोस	concrete
दशा	condition
दशावस्था	conditions
निर्वहणम्‌	conduct
परिषद	conference
आत्मविश्वास	confidence
कृतनिश्चयः	confident
द्वंद	conflict
भ्रमितः	confused
सम्भ्रम	confusion
congratulations	congrats
स्वस्तिवाच्	congratulation
वर्धापनानि	congratulations
युति	conjunction
संयुज्	connect
जयति	conquer
सचेत	conscious
चेतना	consciousness
सम्मतिः	consent
परिणामाः	consequences
संरक्षण	conservation
संरक्षित	conservative
चिन्तयतु	consider
विचारितं	considered
निर्मित	consist
समञ्जस	consistency
सङ्गत	consistent
नियत	constant
अनवरत	constantly
मलावरोध	constipation
संरचना	construction
प्लक्ष्	consume
उपभोग	consumption
संपर्कः	contact
संलग्न	contagious
परिभवते	contain
भरति	contains
समकालीन	contemporary
रीधा	contempt
विषयः	content
संघर्ष	contest
सन्दर्भ	context
महाद्वीप	continent
अनुवर्तते	continue
प्रसंविदा	contract
विप्रकर्ष	contrast
सहयोग	contribute
योगदान	contribution
नियंत्रणं	control
विवादास्पद	controversial
सुविधा	convenience
सुकरः	convenient
संवादः	conversation
रैकृ	convert
प्रहिनोति	convey
प्रबोधय	convince
विश्वस्त	convinced
पचति	cook
पाक	cooking
शोभनम्‌	cool
सहयोग	cooperation
प्रतिसमास्	cope
ताम्र	copper
अन्तर्भाग	core
लवेटिका	corn
कोण	corner
उचितं	correct
मूल्यम्‌	cost
वेशभूषा	costume
कुटी	cottage
तूली	cotton
शय्या	couch
कासः	cough
शक्तवान्‌	could
समिति	council
गणित्र	counter
देशः	country
ग्रामीयपरिसरं	countryside
युग्म	couple
साहस	courage
वर्गः	course
न्यायालयः	court
शिष्टाचार	courtesy
भ्रातृव्यः	cousin
आवरणं	cover
गो	cow
भीत	coward
चोष	cozy
कर्क	crab
भंग	crack
शिल्प	craft
विष्ठा	crap
ध्वंस	crash
तृष्णा	craving
रिङ्ग्	crawl
उन्मत्त	crazy
निर्मियताम्	create
रचनात्मक	creative
श्रेय	credit
सर्पण	creep
सर्पण	creepy
नाविकाः	crew
अपराध	crime
चाटुः	cringe
सङ्कट	crisis
कोटी	criteria
गंभीरः	critical
आलोचना	criticism
अन्नग्रह	crop
धान्य-सस्य	crops
अनुप्रस्थ	cross
काक	crow
यूथ	crowd
आकीर्ण	crowded
राजमुकुट	crown
निर्णायकः	crucial
क्रूर	cruel
नौकासमूह	cruise
रुद्	cry
कर्कटी	cucumber
लालयति	cuddle
संस्कृति	culture
कपट	cunning
चषक	cup
कपाटिका	cupboard
निग्रह्	curb
उपशमन	cure
निषेधाज्ञा	curfew
कुतूहल	curiosity
कौतुहलान्वितः	curious
वक्र	curly
मुद्रा	currency
वर्त्तमानः	current
वर्त्तमानकाले	currently
शाप	curse
यवनिका	curtain
कशिपु	cushion
आचारः	custom
ग्राहकः	customer
परंपरा	customs
छिन्न	cut
आकर्षकः	cute
द्विचक्रिका	cycle
पिता	dad
पितुः	daddy
प्रतिदिन	daily
गव्यशाला	dairy
रोधस्	dam
क्षति	damage
हा	damn
आर्द्र	damp
नृत्यं	dance
संकट	danger
भयंकरं	dangerous
तिमिर	dark
प्रियतमा	darling
निपुथ्	dash
दत्तांश	data
दिनाङ्कः	date
पुत्री	daughter
दिनं	day
मृत	dead
समयसीमा	deadline
बधिर	deaf
व्यवहरतु	deal
प्रियः	dear
मृत्यु	death
विवादः	debate
विकलन	debit
अवशेष	debris
ऋण	debt
दशकं	decade
क्षय	decay
पीड़ितः	deceased
प्रवञ्चना	deceive
शालीन	decent
निश्चिनोति	decide
निर्णीत	decided
निर्णयः	decision
नौतल	deck
अस्वीकरोतु	decline
अवमूल्यनं	decrease
समर्पित	dedicated
समर्पण	dedication
कृत्य	deed
अधः	deep
मृग	deer
मूलभूतम्‌	default
पराजय	defeat
रक्ष्	defend
परिभाच्छसि	define
निश्चितम्‌	definitely
परिभाषा	definition
उपाधि	degree
विलम्बः	delay
विलंबित	delayed
लुप्	delete
तात्पर्य	deliberate
कोमल	delicate
स्वादिष्ठम्‌	delicious
प्रसन्न	delight
प्रसन्न	delighted
समर्पयति	deliver
समर्पित	delivered
वितरण	delivery
अभियाचना	demand
याचति	demanding
लोकतंत्र	democracy
दैत्य	demon
प्रमाणय्	demonstrate
वंचित	denied
घनत्व	density
दंतरोगविशेषज्ञ	dentist
अपह्नुते	deny
विभागः	department
प्रस्थानं	departure
निर्भर	depend
प्रसारन	deploy
निक्षेपः	deposit
निराश	depressed
निराशा	depression
गहनता	depth
वर्णेतु	describe
वर्णनम्‌	description
मरुभूमिः	desert
अर्हति	deserve
प्ररचन	design
उपाधि	designation
अभिलाषः	desire
लेखनपीठ	desk
निराशा	despair
प्राणान्तिक	desperate
द्वेषः	despite
फलमिष्टादीनि	dessert
गन्तव्य	destination
घनत्व	destiny
विनश्	destroy
विनाशं	destruction
विवरणं	detail
वर्णन	details
चिह्न्	detect
निश्चयता	determination
निश्चिनोतु	determine
विनिश्चितः	determined
खिलीकृत	devastated
रचयति	develop
विकसित	developed
विकासः	development
उपकरणम्‌	device
दस्यु	devil
समर्पित	devoted
दिवेही	Dhivehi
मधुमेह	diabetes
अतिसार	diarrhea
दैनिकी	diary
शब्दकोश	dictionary
कृतवान्‌	did
ग्लह	die
मृत	died
आहार	diet
अंतरण	difference
भिन्नः	different
कठिनम्‌	difficult
विखन्	dig
गौरवं	dignity
कर्मिष्ट	diligent
रात्रिभोजनम्‌	dinner
मज्जय	dip
साक्षात्	direct
निर्देश	direction
निर्देशकः	director
मल	dirt
मलिनम्‌	dirty
अक्षम	disable
अक्षमित	disabled
निर्गम्	disappear
मनोहतः	disappointed
आपदा	disaster
तनूकृ	discard
मुक्ति	discharge
अनुशासनम्	discipline
अपहार	discount
परिनयन	discover
पृथगात्मता	discrimination
परिचर्चा	discuss
विवरण	discussion
रोगः	disease
व्याध्यां	diseases
धृ	disguise
घृणास्पद	disgusting
व्यंजनं	dish
व्यंजनाः	dishes
उत्सृज्	dismiss
प्रेषण	dispatch
प्रदर्शन	display
स्वादीन्	disposal
विवाद	dispute
दूरी	distance
व्ययवच्छिन्नम्	distinct
भिन्नक्ति	distinguish
क्लेश	distress
आवंटन	distribution
जनपद	district
युप्यति	disturb
खातिका	ditch
कुड्	dive
विविध	diverse
विविधता	diversity
विभाजनं	divide
पवित्र	divine
संबंध-विच्छेदं	divorce
भ्रामरिन्	dizzy
करोतु	do
चिकितसिक	doctor
प्रलेख	document
करोति	does
अना	doesn't
कुक्कुरः	dog
डोगरी	Dogri
करोति	doing
पाञ्चालकः	doll
क्षेत्र	domain
गृहज	domestic
प्रभूत	dominant
वितरणं	donate
कृतम्‌	done
गर्दभ	donkey
मादक	dope
द्विद्वार	double
शङ्का	doubt
पिष्ट	dough
अधः	down
अवाहरन	download
प्रारूप	draft
आकर्षति	drag
प्रणाल	drain
नाट्य	drama
आकर्षयतु	draw
अन्तःपेटिका	drawer
आरेखण	drawing
भीरुता	dread
स्वप्न	dream
परिधानं	dress
वेधन	drill
पेयं	drink
वह्	drive
बिन्दुः	drop
पतित	dropped
प्रतिधा	drought
पीत्वा	drunk
शुष्कः	dry
कादम्ब	duck
सहचर	dude
देय	due
कारणेन	due to
मन्दः	dull
मूढ़ाः	dumb
निपात	dump
अवधि	duration
अन्तरेण	during
धूलि	dust
कर्म	duty
वस्	dwell
परासु	dying
एकैकम्‌	each
परस्पर	each other
उत्सुकः	eager
गरुड	eagle
कर्ण	ear
पूर्व	earlier
शीघ्रम्‌	early
सर्जति	earn
कर्णाः	ears
पृथ्वी	earth
भूकंप	earthquake
सुखता	ease
अनायासेन	easily
पूर्वं	east
सरलम्‌	easy
खादतु	eat
प्सान	eating
आर्थिक	economic
अर्थव्यवस्था	economy
धारा	edge
सम्पादन	edit
शिक्षा	education
परिणाम	effect
प्रभावी	effective
कुशलता	efficiency
कुशल	efficient
प्रयासः	effort
अंड	egg
वृन्ताकी	eggplant
अहङ्कार	ego
अष्ट	eight
अष्टदश	eighteen
अशीति	eighty
अन्यतर	either
विचारयति	elaborate
कूर्पर	elbow
वरिष्ठ	elder
पितृव्य	elderly
चारु	elegant
तत्व	element
गज	elephant
एकादशं	eleven
योग्य	eligible
निष्काषन	eliminate
उत	else
लज्जित	embarrassed
लज्जनीय	embarrassing
उद्गाह्	emerge
ऊरुक	emergency
भावुक	emotional
करुणा	empathy
बलं	emphasis
अभिद्योतन	emphasize
कार्मिक	employee
कार्मिकाः	employees
विनियोक्तृ	employer
व्यवसाय	employment
रिक्तम्‌	empty
संघर्ष	encounter
समुत्साहयतु	encourage
अंत	end
परिह्वृत	endangered
प्रयास	endeavor
क्षान्ति	endurance
चिरस्थायिन्	endure
शत्रु	enemy
ऊर्जा	energy
प्रसजति	engage
व्यस्त	engaged
अभ्युपगम	engagement
यन्त्र	engine
अभियंता	engineer
आंग्ल	English
प्रचिनोतु	enhance
अनुभवतु	enjoy
अत्यंत	enormous
पर्याप्तम्‌	enough
सुनिश्चोतु	ensure
प्रवेश	enter
मनोरंजनं	entertainment
उत्साह	enthusiasm
उत्सुकः	enthusiastic
सम्पूर्ण	entire
अभिसृष्ट	entitled
इंकाई	entity
प्रवेश	entrance
व्यवसायी	entrepreneur
पिहितपत्र	envelope
पर्यावरणम्‌	environment
ऋति	envy
गाथा	epic
महामारी	epidemic
समान	equal
उपकरणम्‌	equipment
समता	equity
समतुल्य	equivalent
आघर्षनी	eraser
त्रुटि	error
परिभ्रंशति	escape
विशेषतः	especially
निबंध	essay
सार	essence
अनिवार्यम्‌	essential
समर्थयति	establish
स्थापित	established
पस्त्या	estate
अनुमान	estimate
अनुमानित	estimated
इत्यादि	etc
आत्मिक	eternal
सत्यनिष्ठा	ethics
गणयति	evaluate
मूल्याङ्कन	evaluation
अपि	even
सायंकालः	evening
घटना	event
यद्यपि	even though
फलस्वरूपे	eventually
नित्यम्‌	ever
प्रत्येकं	every
प्रत्येकं	everybody
प्रत्येकं	everyone
सर्वम्‌	everything
उपपत्तिः	evidence
पीडा	evil
उन्नति	evolution
एवै	Ewe
ex	ex
यथार्थ	exact
यथातथम्‌	exactly
परीक्षा	exam
अन्वेषण	examine
उदाहरण	example
अतिक्रम	exceed
सर्वोत्कृष्ट	excellent
विहाय	except
व्यपकर्ष	exception
अतीव	excess
अत्यधिक	excessive
विनिमयः	exchange
उत्तेजितः	excited
उत्साह	excitement
उद्दीपकः	exciting
अनन्य	exclusive
क्षम्यताम्	excuse
प्रभज्	execute
क्रियान्वयन	execution
प्रणायकः	executive
व्यायामः	exercise
निकास	exhaust
परिश्रान्तः	exhausted
समुद्वह्	exhibit
प्रदर्शन	exhibition
अस्ति	exist
अस्तित्व	existence
विद्यमान	existing
निर्गम	exit
आतन्	expand
सम्भावयति	expect
अपेक्षित	expected
व्यय	expenses
बहुमूल्यम्‌	expensive
अनुभवः	experience
प्रयोगं	experiment
निपुण	expert
परीत	expired
व्याख्याति	explain
विवरण	explanation
शोषण	exploit
अन्वेषण	explore
निर्यात	export
उद्घाटन	expose
निरावरित	exposed
विवृति	exposure
व्यक्त	express
अभिव्यक्ति	expression
वितनोति	extend
विस्तृत	extended
विस्तार	extension
विस्तार	extent
बाह्य	external
लुप्त	extinct
अतिरिक्त	extra
निष्कर्शन	extract
विलक्षण	extraordinary
अति	extreme
अत्यंत	extremely
नेत्र	eye
नेत्राः	eyes
तान्तव	fabric
उत्कृष्ट	fabulous
मुखं	face
सौकर्य	facilities
सुविधा	facility
तथ्य	fact
कारक	factor
यन्त्रशाला	factory
तथ्यानि	facts
म्लै	fade
अनुत्तीर्णः	fail
असफल	failed
असफलता	failure
अस्पष्ट	faint
उचितः	fair
न्यायपूर्वक	fairly
अप्सरस्	fairy
विश्वासः	faith
विशासनीयः	faithful
कूटकरण	fake
पतनम्‌	fall
असत्य	false
प्रसिद्धि	fame
परिचित	familiar
परिवारं	family
अकाल	famine
प्रसिद्धः	famous
व्यजनम्‌	fan
अल्पितवेशः	fancy
अद्भुत	fantastic
दूरम्‌	far
farewell	farewell
क्षेत्र	farm
कृषक	farmer
आकर्षक	fascinating
चलनं	fashion
उपवासः	fast
स्थूलः	fat
प्राणहर	fatal
भाग्य	fate
पिता	father
श्रम	fatigue
दोषः	fault
प्रिय	favorite
कृपा	favour
प्रिय	favourite
भयम्‌	fear
सग्धि	feast
पंख	feather
गुणः	feature
गुणाः	features
चिन्ताक्रान्त	fed up
शुल्कः	fee
पूरयतु	feed
स्पर्शावबोध	feedback
समनुभवतु	feel
अनुभवति	feeling
पादौ	feet
पतित	fell
कापुरुष	fellow
अनुभूय	felt
महिला	female
वृति	fence
उर्वर	fertile
पर्वं	festival
उपानी	fetch
ज्वरः	fever
कतिपय	few
ऊन	fewer
वर	fiance
कल्पना	fiction
क्षेत्रम्‌	field
प्रचण्ड	fierce
पञ्चदश	fifteen
पञ्चाशा	fifty
युध्	fight
युधि	fighting
रूप	figure
वर्पणेहु	figure out
संचिका	file
पूरण	fill
पूरित	filled
चलचित्रं	film
मलिष्ठ	filthy
अन्ते	finally
वित्त	finance
वित्तीय	financial
अन्वेषय	find
समागम्	find out
दण्डः	fine
अङ्गुली	finger
समापन	finish
सम्पूर्ण	finished
अग्निः	fire
प्रतिष्ठान	firm
प्रथमः	first
मीन	fish
योग्यः	fit
पंचं	five
बध्नाति	fix
युक्त	fixed
ध्वजा	flag
प्रस्फुरण	flash
समतलम्‌	flat
भित्ति	flaw
त्रुटिहीन	flawless
धाव्	flee
मांस	flesh
उड्डीय	flew
नम्	flex
लोचनीय	flexible
पात	flight
पर्यस्	flip
लल्	flirt
विलसति	flirting
तारण	float
प्लावन	flood
तलः	floor
पिष्टम्	flour
प्रवाहः	flow
पुष्पं	flower
आम्भस	flu
वाक्पटु	fluent
धारावर्तेन	fluently
उपहतक	fluffy
द्रव	fluid
उड्डयते	fly
केंद्रबिन्दुः	focus
धूमिका	fog
नभस्य	foggy
