un	a
Aze emaoc'h c'hoazh ?	Are you still there?
aze emaoc'h ?	are you there
takad	area
arguzenniñ	argue
tabutal	argue
tabut	argument
arguzenn	argument
sevel	arise
brec'h	arm
arm	arm
arme	army
tro-dro	around
renkañ	arrange
kinkladur	arrangement
donedigezh	arrival
degouezhout	arrive
degouezhet	arrived
rog	arrogant
saezh	arrow
arz	art
pennad	article
artifisiel	artificial
arzour	artist
evel	as
ken hir ha	as long as
e-keit ha ma	as long as
ivez	as well
ken mat ha	as well as
ludu	ash
onn	ash
lent	ashamed
mezhek	ashamed
goulenn	ask
goulennet	asked
kousket	asleep
neuz	aspect
asameg	Assamese
argad	assault
bodadenn	assembly
kadarn	assertive
priziañ	assess
dielfennadenn	assessment
priziadenn	assessment
mat	asset
splet	asset
danvez	asset
kevala	assets
madoù	assets
peadra	assets
dereiñ	assign
dever	assignment
kefridi	assignment
post	assignment
harpañ	assist
skoazeller	assistant
kevreet	associate
kevreet	associated
kevredigezh	association
kenaozadur	association
soñjal	assume
lakadenn	assumption
e	at
da	at
da nebeutañ	at least
debret	ate
atletour	athlete
stagañ	attach
staget	attached
pezh-stag	attachment
argad	attack
tagañ	attack
esaeañ	attempt
mont	attend
bezañ war al lec'h	attend
kemer perzh	attend
daremprederezh	attendance
bezañs	attendance
evezh	attention
emzalc'h	attitude
dedennañ	attract
dedennerezh	attraction
desachus	attractive
reiñ	attribute
dereiñ	attribute
arvesterien	audience
Eost	august
moereb	aunt
moereb	aunty
gwirion	authentic
aozer	author
aotrouniezh	authority
diskaramzer	autumn
hegerz	available
keitat	average
mont hebiou	avoid
dihun	awake
prizañ	award
lore	award
emskiantek	aware
emskiant	awareness
kuit	away
eus ar c'hentañ	awesome
divalav	awful
spontus	awful
iskis	awkward
aymaraeg	Aymara
babig	baby
den dizimez	bachelor
bachelor	bachelor
bachelouriezh	bachelor
kein	back
harpañ	back
distro	back
drekleur	background
fall	bad
sac'h	bag
boued	bait
pobañ	bake
fardañ gwastilli	bake
baraerezh	bakery
bikarbonat natriom	baking soda
balañs	balance
mell	ball
kell	ball
bambaraeg	Bambara
bananezenn	banana
strollad	band
stlakal	bang
stlakadenn	bang
skeiñ	bang
bank	bank
difenn	bar
barrenn	bar
tavarn	bar
a-boan	barely
marc'hata	bargain
distaol	bargain
harzhal	bark
heiz	barley
kloued	barrier
diazez	base
diazezañ	base
strad	base
diazezet	based
danzouar	basement
diazez	basic
dreist-holl	basically
bazilik	basil
bastard	bastard
strollañ	batch
strollad	batch
sal-emwalc'hiñ	bath
kibellañ	bath
kibelladenn	bath
sal-emwalc'hiñ	bathroom
batiri	battery
pil	battery
emgann	battle
bae	bay
bezañ	be
taol evezh	be careful
traezhenn	beach
treust	beam
skignañ	beam
fav	beans
gouzañv	bear
arzh	bear
sammañ	bear
barv	beard
levezon	bearing
harp	bearing
euzhvil	beast
poulzadenn	beat
skeiñ	beat
kaer	beautiful
kened	beauty
koantenn	beauty
deuet da vezañ	became
peogwir	because
dont da vezañ	become
gwele	bed
kambr	bedroom
gwenanenn	bee
kig-bevin	beef
a zo bet	been
bier	beer
a-raok	before
kroget	began
kregiñ	begin
deroù	beginning
a-berzh	behalf
en em zerc'hel	behave
emzalc'h	behavior
emzalc'h	behaviour
a-dreñv	behind
bezañ	being
kredenn	belief
krediñ	believe
kof	belly
bezañ da	belong
karet	beloved
a-is	below
gouriz	belt
bank	bench
plegañ	bend
stouiñ	bend
dindan	beneath
gounid	benefit
gounidoù	benefits
tost	beside
ouzhpenn-se	besides
gwellañ	best
chañs vat	best of luck
gwellañ soñjoù	best regards
gwelloc'h	better
etre	between
evaj	beverage
en tu all	beyond
bhojpureg	Bhojpuri
tuadur	bias
tro-viziez	bias
falset	biased
marc'h-houarn	bicycle
kinnig	bid
bras	big
troadikellat	bike
belo	bike
fakturenn	bill
kont	bill
danvez lezenn	bill
liammañ	bind
evn	bird
deiz-ha-bloaz	birthday
tamm	bit
dantañ	bite
tamm	bite
flemmañ	bite
c'hwerv	bitter
du	black
lavnenn	blade
tamall	blame
goullo	blank
pallenn	blanket
barrad	blast
gwennañ	bleach
kenaozañ	blend
kemmesk	blend
teuzet	blend
bennigañ	bless
chañsus	blessed
dall	blind
trugar	bliss
bloc'had	block
stankañ	block
gwad	blood
bleuniadur	bloom
tarzhañ	blow
taol	blow
c'hwezhañ	blow
trist	blue
glas	blue
tougn	blunt
kuzul-merañ	board
taol	board
bodad	board
bag	boat
korf	body
birviñ	boil
dizaon	bold
arouezennoù tev	bold
liamm	bond
stagañ	bond
askorn	bone
mirout	book
levr	book
kas war-raok	boost
bounter	booster
heuz	boot
heuzoù	boots
harz	border
toullañ	bore
enoeiñ	bore
enoet	bored
enoeüs	boring
ganet	born
amprestañ	borrow
patrom	boss
an daou	both
direnkañ	bother
boutailh	bottle
foñs	bottom
penn a-dreñv	bottom
prenet	bought
dazlamm	bounce
liammañ	bound
harzoù	boundaries
stouiñ	bow
bolenn	bowl
boest	box
paotr	boy
karedig	boyfriend
tro-vrec'h	bracelet
empenn	brain
skourr	branch
merk	brand
kalonek	brave
terriñ	breach
bara	bread
vakañsoù	break
troc'h	break
terriñ	break
lein	breakfast
bronn	breast
analañ	breath
analiñ	breathe
gouenn	breed
ki	breed
parañ	breed
brezhoneg	Breton
brikenn	brick
plac'h nevez	bride
tostaat	bridge
pont	bridge
kevreañ	bridge
diverrañ	brief
kelaouiñ	brief
berr	brief
speredek	bright
skedus	bright
dispar	brilliant
skedus	brilliant
degas	bring
frei	bro
ledan	broad
abadenn	broadcast
bannañ	broadcast
skingas	broadcast
rivinet	broke
torret	broke
torret	broken
banal	broom
breur	brother
breur-kaer	brother in law
degaset	brought
gell	brown
broust	brush
broustañ	brush
bailh	bucket
frei	buddy
budjed	budget
c'hwil	bug
sevel	build
savadur	building
sevel	built
savet	built
bern	bulk
tarv	bull
gwallgas	bully
bos	bump
pakad	bunch
pakad	bundle
pouez	burden
samm	burden
douaret	buried
deviñ	burn
tarzhañ	burst
douarañ	bury
bus	bus
bod	bush
embregerezh	business
afer	business
korf-bras	bust
c'hwitadenn	bust
tarzhañ	bust
tapet	busy
met	but
amann	butter
balafenn	butterfly
bouton	button
prenañ	buy
dre	by
p'emaon ganti	by the way
kenavo	bye
kaol	cabbage
kabined	cabinet
kaoued	cage
gwastell	cake
leue	calf
galv	call
gervel	call
pellgomzadenn	call
galv ac'hanon	call me
pellgomz din	call me
galvet	called
sioul	calm
sioulaat	calm
deuet	came
koulzad-kabaliñ	campaign
stourm	campaign
koulzad	campaign
gallout	can
ne c'hall ket	can't
Nullañ	Cancel
kankr	cancer
gouest	capable
barregezh	capacity
kevala	capital
kêr-benn	capital
rubrikenn	caption
alc'hwez	caption
istitlañ	caption
pakañ	capture
karr	car
red-micher	career
evezhiek	careful
gant aket	carefully
dievezh	careless
o teurel evezh	caring
kalvez	carpenter
tapis	carpet
karotezenn	carrot
treuzkas	carry
dougen	carry
kenderc'hel	carry
kenderc'hel	carry on
seveniñ	carry out
lakaat e plas	carry out
kas da benn	carry out
degouezh	case
teñzorerezh	cash
enkefiañ	cash
arc'hant dizolo	cash
plastr	cast
moull	cast
bannañ	cast
kastell	castle
pemdez	casual
kazh	cat
pakañ	catch
rummad	category
chatal	cattle
tapet	caught
degas	cause
abeg	cause
diwall	caution
kemenn	caution
evezhiek	cautious
mougev	cave
paouez	cease
kav	ceiling
lidañ	celebrate
kellig	cell
kreiz	center
kantved	century
edaj	cereal
lid	ceremony
sur	certain
sur a-walc'h	certainly
testeni	certificate
chadenn	chain
kadoriad	chair
kador	chair
klaoustre	challenge
chañs	chance
kemmañ	change
kemm	change
treuzfeurmiñ	change
reustl	chaos
tudenn	character
perzhioù	characteristics
fakturenniñ	charge
mizoù	charge
karg	charge
karitez	charity
hoalus	charming
grafik	chart
poursuiñ	chase
flapañ	chat
flap	chat
marc'had-mat	cheap
truchañ	cheat
o truchañ	cheating
gwiriañ	check
chekenn	check
jod	cheek
strakal an daouarn	cheer
frealziñ	cheer
bagol	cheerful
yec'hed mat	cheers
kalonekadurioù	cheers
salud	cheers
keuz	cheese
kimiezh	chemistry
cherisañ	cherish
echedoù	chess
brusk	chest
chaokat	chew
yar	chicken
penn	chief
bugel	child
bugaleaj	childhood
bugale	children
yenaat	chill
yen-ki	chill
siminalioù	chimneys
elgezh	chin
chokolad	chocolate
dibab	choice
dibab	choose
drailhañ	chop
anerioù	chores
devereioù	chores
kuilh	chubby
iliz	church
kanell	cinnamon
kelc'h	circle
darvoudoù	circumstances
keodedour	citizen
kêr	city
goulenn	claim
klemm	claim
sklaeraat	clarify
klas	class
pri	clay
prop	clean
naetaat	clean
sklaer	clear
naetaat	clear
skarzhañ	clear
komis	clerk
kloareg	clerk
sekretour	clerk
speredek	clever
arval	client
tornaod	cliff
hin	climate
krimpat	climb
krapat	climb
krapadenn	climb
pegus	clingy
eurier	clock
tost	close
serriñ	close
armel-voger	closet
pezh dilhad	cloth
dilhad	clothes
koumoulenn	cloud
koumoulek	cloudy
furlukin	clown
arverk	clue
titour	clue
alc'hwez	clue
dizampart	clumsy
blokad	cluster
strollañ	cluster
gourdoner	coach
glaou	coal
aod	coast
mantell	coat
kafe	coffee
anaoudel	cognitive
kendegouezh	coincidence
yen	cold
kouezhañ en e boull	collapse
kolier	collar
kenseurt	colleague
kenseurted	colleagues
dastum	collect
dastumad	collection
studioù	college
skolaj	college
skol-veur	college
liv	color
mennozhioù louet diliv a gouske a-zevri	colorless green ideas slept furiously
liv	colour
rubrikenn	column
bann	column
steudad	column
kribat	comb
kenstroll	combination
kenstrollañ	combine
dont	come
deus amañ	come here
deus 'ta	come on
frealziñ	comfort
aes	comfortable
o tont	coming
o tont emberr	coming soon
gourc'hemenn	command
urzhiañ	command
reiñ e soñj	comment
evezhiadenn	comment
kenwerzhel	commercial
urzhiadenn, urzhiañ, bodad	commission
seveniñ	commit
engouestl	commitment
empleget	committed
danvez	commodity
aezamant	commodity
stank	common
boutin	common
kehentiñ	communicate
kehentiñ	communication
kumuniezh	community
monedone	commute
dilec'hiañ	commute
kompagnun	companion
kompagnunezh	company
keñveriañ	compare
keñveriadenn	comparison
truez	compassion
trugarezus	compassionate
kenglotus	compatible
keveziñ	compete
barrek	competent
kenstrivadeg	competition
kevezus	competitive
klemm	complain
klemm	complaint
klokaenn	complement
klokaat	complete
leuniañ	complete
echuet	complete
da vat	completely
luziet	complex
kemplezh	complex
sevenidigezh	compliance
reizhder	compliance
doujañs	compliance
kudennek	complicated
luziet	complicated
reiñ pour da	compliment
mel	compliment
seveniñ	comply
ober diouzh	comply
aozadur	composition
kenaozañ	compound
kompren	comprehension
klok	comprehensive
treuzvarc'hatañ	compromise
ret	compulsory
urzhiataer	computer
kreizennet	concentrate
meizad	concept
nec'hiñ	concern
afer	concern
sellet ouzh	concern
prederiet	concerned
sonadeg	concert
klozadur	conclusion
fetis	concrete
yec'hed	condition
plegenn	condition
stad	condition
modelezhioù	conditions
emzalc'h	conduct
ren	conduct
kas da benn	conduct
prezegenn	conference
anzav	confess
anzavadenn	confidence
fiziañs ennañ	confident
kadarnaat	confirm
tabut	conflict
amsklaer	confused
trubuilhet	confused
kemmesk	confusion
gourc'hemennoù	congrats
gourc'hemenn	congratulation
gourc'hemennoù	congratulations
kenstroll	conjunction
kevreañ	connect
aloubiñ	conquer
emouez	conscious
emskiant	consciousness
asant	consent
asantiñ	consent
heuliadoù	consequences
kaozeadenn	conservation
mirour	conservative
en em soñjal	consider
diouzh	considered
mont d'ober	consist
dalc'husted	consistency
dalc'hus	consistent
kendalc'hus	constant
ingal	constantly
goustivadur	constipation
savadur	construction
beveziñ	consume
beveziñ	consumption
mont e darempred	contact
darempred	contact
kontammus	contagious
bevenniñ	contain
a zo ennañ	contains
kempred	contemporary
dispriz	contempt
plijet	content
endalc'had	content
danvez	content
sevel a-enep	contest
kenstrivadeg	contest
tagañ	contest
kendestenn	context
kevandir	continent
kenderc'hel	continue
pakañ	contract
kevrat	contract
strishaat	contract
dargemm	contrast
kemer perzh	contribute
perzh	contribution
kontrolliñ	control
kontroll	control
breutaus	controversial
aezamant	convenience
azas	convenient
kaozeadenn	conversation
amdreiñ	convert
distreiñ ouzh	convert
treuzkas	convey
kendrec'hiñ	convince
kendrec'het	convinced
keginañ	cook
keginer	cook
o keginañ	cooking
sichant	cool
yen	cool
klouaraat	cool
kenober	cooperation
derc'hel an taol	cope
kouevr	copper
kalonenn	core
maiz	corn
ed	corn
greun	corn
gennañ	corner
korn	corner
reizh	correct
reizhañ	correct
koustañ	cost
koust	cost
abid	costume
gwiskamant	costume
pennti	cottage
koton	cotton
gourvezvank	couch
skridaozañ	couch
fled	couch
pasaat	cough
paz	cough
gallfe	could
kuzul	council
kont	count
kontañ	count
talañ ouzh	counter
enebiñ	counter
konter	counter
bro	country
maezioù	countryside
koublad	couple
kalonegezh	courage
programm	course
stummadur	course
kentel	course
lez	court
sevended	courtesy
kenderv	cousin
golo	cover
goleiñ	cover
pallenn	cover
buoc'h	cow
digalon	coward
aes	cozy
krank	crab
strakal	crack
faout	crack
terriñ	crack
micher	craft
empentiñ	craft
artizanerezh	craft
brein	crap
nullachoù	crap
kaoc'hus	crap
gwallzarvoud	crash
frikañ	crash
c'hoant bras	craving
ezhomm	craving
sec'hed	craving
ruzañ	crawl
foll	crazy
krouiñ	create
krouus	creative
kred	credit
en em silañ	creep
spouronus	creepy
akipaj	crew
torfed	crime
hegaziñ	cringe
enkadenn	crisis
dezverk	criteria
arvarus	critical
burutelladenn	criticism
plantenn	crop
eost	crop
gounit	crop
plant	crops
trevadoù	crops
kroaz	cross
treuziñ	cross
bran	crow
engroez	crowd
leun a dud	crowded
kurunenn	crown
kurunenniñ	crown
pouezus-meurbet	crucial
kriz	cruel
merdeiñ	cruise
merdeadenn	cruise
amourouz	crush
frikañ	crush
youc'hadenn	cry
gouelañ	cry
galv	cry
kokombrez	cucumber
flourañ	cuddle
sevenadur	culture
korvigell	cunning
finesa	cunning
tasenn	cup
armel-voger	cupboard
mougañ	curb
krennañ	curb
pareañ	cure
pare	cure
keulfe	curfew
kuriusted	curiosity
drol	curious
kurius	curious
rodellek	curly
moneiz	currency
froud	current
red	current
a vremañ	current
evit ar mare	currently
mallozhiñ	curse
mallozh	curse
rideoz	curtain
torchenn	cushion
gwareziñ	cushion
diouzh muzul	custom
arval	customer
hengounioù	customs
maltouterezh	customs
boazioù	customs
troc'hañ	cut
troc'h	cut
koant	cute
troadikellat	cycle
kelc'hiad	cycle
marc'h-houarn	cycle
marc'hhouarnañ	cycling
tad	dad
tadig	daddy
pemdeziek	daily
laezherezh	dairy
stankell	dam
gwall	damage
gwallgas	damage
boulc'hurun	damn
leizh	damp
dañs	dance
dañsal	dance
dañjer	danger
dañjerus	dangerous
teñval	dark
karedig	darling
fardiñ	dash
taolenn-vourzh	dash
roadennoù	data
emgav	date
deiziad	date
daremprediñ	date
merc'h	daughter
deiz	day
marv	dead
termen	deadline
bouzar	deaf
talañ	deal
emglev	deal
marc'had	deal
karedig	dear
ker	dear
Keneiled ker	Dear All
Arval ker	Dear Customer
Kerent ker	Dear Parents
Aotrou ker	Dear Sir
Studierien ger	Dear students
Skipailh ker	Dear Team
marv	death
kendiviz	debate
divizout	debate
dleoù	debit
savadenn	debit
paeamant	debit
atred	debris
dle	debt
dekvloaziad	decade
breinañ	decay
marv	deceased
touellañ	deceive
Kerzu	december
dereat	decent
divizout	decide
divizet	decided
diviz	decision
pont	deck
mont war ziskar	decline
digreskiñ	decrease
digresk	decrease
gouestlet	dedicated
engouestl	dedication
dediadenn	dedication
jestr	deed
ober	deed
taol-kaer	deed
don	deep
karv	deer
mank	default
faezhidigezh	defeat
difenn	defend
termeniñ	define
da vat	definitely
termenadur	definition
derez	degree
dale	delay
daleet	delayed
dilemel	delete
a-ratozh	deliberate
kendivizout	deliberate
kizidik	delicate
eus an dibab	delicious
trugar	delight
plijet-kaer	delighted
degas	deliver
degas	delivered
degas	delivery
goulenn	demand
labourus	demanding
tenn	demanding
demokratelezh	democracy
diaoul	demon
prouiñ	demonstrate
nac'het	denied
stankter	density
dentour	dentist
nac'hañ	deny
rann	department
disparti	departure
bezañ diouzh	depend
dispakañ	deploy
lezel	deposit
diwasket	depressed
diwaskadenn	depression
donder	depth
deskrivañ	describe
deskrivadur	description
dezerzh	desert
dilezel	desert
bezañ dellezek	deserve
tresañ	design
anvadur	designation
c'hoantaenn	desire
kaout c'hoant	desire
burev	desk
dizesper	despair
en dizesper	desperate
daoust ma	despite
dibenn-pred	dessert
pal	destination
tonkadur	destiny
distrujañ	destroy
distrujañ	destruction
distruj	destruction
munud	detail
munudoù	details
dinoiñ	detect
youl	determination
diazezañ	determine
didermeniñ	determine
mennet	determined
gwastet	devastated
diorren	develop
diorroet	developed
diorren	development
mekanik	device
diaoul	devil
emroüs	devoted
dhiveheg	Dhivehi
diabet	diabetes
darc'hoal	diarrhea
deizlevr	diary
geriadur	dictionary
a rae	did
mervel	die
marv	died
reol-voued	diet
diforc'h	difference
disheñvel	different
diaes	difficult
toullañ	dig
dinded	dignity
aketus	diligent
koan	dinner
soubañ	dip
eeun	direct
durc'hadur	direction
rener	director
loustoni	dirt
lous	dirty
diweredekaat	disable
nammañ	disable
lakaat e-maez ar jeu	disable
nammet	disabled
mont diwar wel	disappear
dipitet	disappointed
gwallreuz	disaster
dilezel	discard
diskarg	discharge
diskiblezh	discipline
distaol	discount
dizoleiñ	discover
gwallziforc'h	discrimination
divizout	discuss
kaozeadenn	discussion
kleñved	disease
kleñvedoù	diseases
teruzwisk	disguise
dic'hizañ	disguise
heugus	disgusting
meuz	dish
stign parabolek	dish
plad	dish
pladoù	dishes
disteurel	dismiss
dasparzh	dispatch
kas	dispatch
dispakañ	display
e kerz	disposal
skarzhadenn	disposal
lastez	disposal
tabut	dispute
hed	distance
disheñvel	distinct
disheñvelaat	distinguish
argoll	distress
dasparzh	distribution
distrig	district
direnkañ	disturb
foz	ditch
splujañ	dive
liesseurt	diverse
liesseurted	diversity
rannañ	divide
divinout	divine
kaer-meurbet	divine
doueel	divine
torr-dimeziñ	divorce
mezevellet	dizzy
ober	do
ober a rit	do you
ha karout a rit ac'hanon	do you love me
ha karout a rez ac'hanon	do you love me
doktor	doctor
teul	document
ra	does
ne labour ket	doesn't
ki	dog
dogreg	Dogri
oc'h ober	doing
merc'hodenn	doll
domani	domain
eus an ti	domestic
pennañ	dominant
arabat	don't
Arabat ober gwad fall	Don't worry
donezoniñ	donate
aet faezh	done
graet	done
azen	donkey
dramm	dope
genaoueg	dope
drammañ	dope
doubl	double
douetañs	doubt
segal	dough
toaz	dough
war al leur	down
stanket	down
en traoñ	down
pellgargañ	download
brouilhed	draft
raktres	draft
brastresañ	draft
sachañ	drag
skarzhañ	drain
dizourañ	drain
drama	drama
desachañ	draw
tresañ	draw
tresadenn	draw
tiretenn	drawer
o tresañ	drawing
tresadenn	drawing
anken	dread
hunvreal	dream
hunvre	dream
gwiskañ	dress
sae	dress
pleustradenn	drill
evaj	drink
evañ	drink
bleinañ	drive
takenniñ	drop
takenn	drop
lezel da gouezhañ	drop
lezet da gouezhañ	dropped
sec'hor	drought
mezv	drunk
sec'h	dry
houad	duck
frei	dude
en abeg	due
dle	due
en abeg da	due to
enoeüs	dull
divlas	dull
togn	dull
sot	dumb
skarzhañ	dump
toull-lastez	dump
stlepel	dump
pad	duration
e-pad	during
poultrenn	dust
dlead	duty
bezañ o chom	dwell
straniñ	dwell
o vervel	dying
pep hini	each
an eil d'egile	each other
kaout c'hoant	eager
bezañ mall warnañ	eager
erer	eagle
skouarn	ear
abretoc'h	earlier
abred	early
gounit	earn
divskouarn	ears
douar	earth
kren-douar	earthquake
aesaat	ease
aes	easily
reter	east
aes	easy
debriñ	eat
o tebriñ	eating
ekonomikel	economic
ekonomiezh	economy
bevenn	edge
aozañ	edit
embann	edit
studioù	education
kelenn	education
desaverezh	education
efed	effect
efedus	effective
efeduster	efficiency
efedus	efficient
striv	effort
vi	egg
berjinez	eggplant
an-unan	ego
me	ego
eizh	eight
triwec'h	eighteen
pevar-ugent	eighty
pe	either
sevel	elaborate
ilin	elbow
henañ	elder
oadet	elderly
kran	elegant
elfenn	element
olifant	elephant
unnek	eleven
dilennadus	eligible
skarzhañ	eliminate
all	else
lakaet diaes	embarrassed
chastreüs	embarrassing
briata	embrace
engronnañ	embrace
dont war c'horre	emerge
trummadoù	emergency
fromus	emotional
empatiezh	empathy
pouez	emphasis
pouezañ war	emphasize
implijad	employee
implijidi	employees
implijout	employer
implij	employment
goullo	empty
aotren	enable
kejañ gant	encounter
kalonekaat	encourage
fin	end
echuiñ	end
en arvar	endangered
striv	endeavor
padusted	endurance
gouzañv	endure
enebour	enemy
energiezh	energy
kemer perzh	engage
enfredañ	engage
graet ur bromesa gantañ	engaged
engouestl	engagement
keflusker	engine
ijinour	engineer
saozneg	English
diorren	enhance
kaout plijadur	enjoy
ramzel	enormous
a-walc'h	enough
suraat	ensure
gwareziñ	ensure
mont tre	enter
dudi	entertainment
entan	enthusiasm
entanet	enthusiastic
klok	entire
aotreet	entitled
aozadur	entity
embregerezh	entity
antre	entrance
penn embregerezh	entrepreneur
golo-lizher	envelope
goleiñ	envelope
endro	environment
magañ gwarizi ouzh	envy
c'hoant	envy
harozel	epic
epidemiezh	epidemic
kevatal	equal
aveadur	equipment
ingalder	equity
kevatal	equivalent
diverker	eraser
fazi	error
tec'hout	escape
dreist-holl	especially
skridaozadenn	essay
strilheoul	essence
hollret	essential
diazezañ	establish
diazezet	established
peadra	estate
priziañ	estimate
priziet	estimated
h.a.	etc
peurbadel	eternal
etik	ethics
priziañ	evaluate
priziadenn	evaluation
par	even
zoken	even
ha pa	even though
nozvezh	evening
darvoud	event
a-benn ar fin	eventually
gwech ebet	ever
pep	every
an holl dud	everybody
pep hini	everyone
pep tra	everything
prouenn	evidence
diaoul	evil
drouk	evil
diaoulek	evil
emdroadur	evolution
emdreiñ	evolve
eweeg	Ewe
bet	ex
rik	exact
dres	exactly
arnodenn	exam
studiañ	examine
skouer	example
tremen dreist	exceed
dreist	excellent
nemet	except
nemedenn	exception
reñver	excess
reñverek	excessive
eskemm	exchange
dibasiant	excited
birvilh	excitement
fromus	exciting
plijus	exciting
dibar	exclusive
digarez	excuse
ma digarezit	excuse me
seveniñ	execute
lazhañ	execute
sevenidigezh	execution
andishadur	execution
sterner	executive
poelladenn	exercise
mont faezh	exhaust
gazoù-skarzh	exhaust
skuizh-divi	exhausted
diskouezadeg	exhibit
diskouez	exhibit
diskouezadeg	exhibition
bezañ	exist
bezañs	existence
bev	existing
er-maez	exit
astenn	expand
gedal	expect
gortoz	expect
gortozet	expected
dispignoù	expenses
ker	expensive
skiant-prenañ	experience
arnod	experiment
arnodiñ	experiment
arbennigour	expert
aet d'e dermen	expired
displegañ	explain
displegadur	explanation
taol-kaer	exploit
ergerzhiñ	explore
ezporzhiañ	export
divasklañ	expose
lakaat war wel	expose
dizoleiñ	expose
dizolo	exposed
dispakadenn	exposure
embann	express
ezteurel	express
a-ratozh	express
eztaoladenn	expression
astenn	extend
astennet	extended
astenn	extension
astenn	extent
diavaez	external
aet da get	extinct
ouzhpenn	extra
tamm	extract
lemel	extract
tennad	extract
dreistordinal	extraordinary
estremour	extreme
radikal	extreme
meurbet	extremely
lagad	eye
daoulagad	eyes
danvez	fabric
dispar	fabulous
talañ	face
dremm	face
aesaat	facilitate
servijoù	facilities
aezamant	facility
fed	fact
paotr-al-lizheroù	factor
faktor	factor
labouradeg	factory
fedoù	facts
mont diwar wel	fade
dislivañ	fade
steuziañ	fade
c'hwitañ	fail
c'hwitet	failed
c'hwitadenn	failure
semplañ	faint
reizh	fair
foar	fair
onest	fair
madik	fairly
boudig	fairy
feiz	faith
feal	faithful
touelladenn	fake
faos	fake
fals	fake
koazhañ	fall
diskar-amzer	fall
kouezhañ	fall
FAOS	false
brud	fame
boas	familiar
anavezet	familiar
familh	family
naonegezh	famine
