a little	бер аҙ
benefit	файҙа
benefit	файҙа алырға
benefits	файҙалары
beside	эргәһендә
besides	башҡа
best	иң яҡшыһы
best of luck	уңыштар
best regards	ихтирам менән
better	яҡшыраҡ
between	араһында
beverage	эсемлек
beyond	буйында
Bhojpuri	бходжпури теле
bias	хөрәфәт
biased	тиҫкәре мөнәсәбәт менән
bicycle	велосипед
bid	сауҙала ҡатнашырға
bid	тәҡдим иткән хаҡы
big	ҙур
bike	велосипед
bill	иҫәп
bind	бәйләргә
bird	ҡош
birthday	тыуған көн
bit	киҫәк
bite	киҫәк
bite	тешләргә
bitter	асы
black	ҡара
blade	йөҙ
blame	ғәйепләргә
blame	ғәйеп
blank	буш
blanket	юрған
blast	шартлау
bleach	ағартыу
blend	бергә ҡушырға
bless	фатиха бирергә
blessed	фатиха алған
blind	һуҡыр
bliss	ләззәт
block	ҡамасауларға
blood	ҡан
bloom	сәскә атырға
blow	шартлатырға
blow	өрөргә
blue	күк
blunt	тупаҡ
board	таҡта
boat	кәмә
body	тән
boil	ҡайнарға
bold	ҡыйыу
bond	бәйләнеш
bone	һөйәк
book	бронләргә
book	китап
boost	көсәйтеү
boost	көсәйтергә
booster	көсәйткес
boot	ботинка
boots	итек
border	сик
bore	бырауларға
bored	арыған
boring	ҡыҙыҡ түгел
born	тыуған
borrow	бурысҡа алырға
boss	етәксе
both	икеһе лә
bother	борсорға
bottle	шешә
bottom	төп
bought	һатып алған
bounce	ҡаҡлығырға
bound	сик
boundaries	сиктәр
bow	баш эйергә
bow	ян
bowl	сеүәтә
box	бокс
box	ҡумта
boy	малай
boyfriend	егет
bracelet	беләҙек
brain	мейе
branch	ботаҡ
brand	тамға
brand	марка
brave	батыр
breach	тәртип боҙоу
bread	икмәк
break	емерергә
break	тәнәфес
breakfast	иртәнге аш
breast	түш
breath	тын
breathe	тын алырға
breed	тоҡом
brick	кирбес
bride	кәләш
bridge	күпер
brief	ҡыҫҡаса
bright	сағыу
bright	бик шәп
brilliant	ҡупшы
bring	килтерегә
bro	иптәш
broad	киң
broadcast	трансляция яһарға
broke	ярлы
broken	һынған
broom	һепертке
brother	ағай
brother	ҡусты
brother in law	ҡайнаға
brother in law	бажа
brother in law	еҙнә
brought	алып килгән
brown	көрән
brush	эләктерергә
brush	щётка
bucket	биҙрә
buddy	дуҫ
budget	бюджет
bug	ҡуңыҙ
build	төҙөргә
building	бина
built	төҙөлгән
bulk	күпселек өлөшө
bull	үгеҙ
bully	хулиган
bump	шешек
bump	тошоғорға
bunch	бәйләм
bundle	шәлкем
burden	ауырлыҡ һалырға
burden	ауырлыҡ
buried	ерләнгән
burn	яндырыға
burn	бешкән урын
burst	шартларға
bury	ерләргә
bus	автобус
bush	ҡыуаҡ
business	эш
business	бизнес
bust	бюст
busy	буш түгел
but	бәлки
butter	май
butterfly	күбәләк
button	төймә
buy	һатып алырға
by	янында
by the way	әйткәндәй
bye	хуш бул
cabbage	кәбеҫтә
cabinet	шкаф
cage	ситлек
cake	торт
calf	быҙау
call	шылтырауы
call	шылтыратырға
call me	шылтырат әле миңә
called	исемләргән
called	шалтыратҡан
calm	баҫалҡы
came	килгән
campaign	кампания
can	алырға
can	оҫталыҡ
can't	эшләй алмайым
Cancel	Юҡҡа сығарырға
cancer	рак
capable	һәләтле
capacity	һыйымлыҡ
capital	баш ҡалаһы
caption	яҙыу
capture	баҫып алырға
car	автомобиль
career	карьера
careful	һаҡ
carefully	иғтибар менән
careless	абайһыҙ
caring	хәстәрлекле
carpenter	балта оҫтаһы
carpet	келәм
carrot	кишер
carry	ташырға
carry on	дауам итергә
carry out	яһарға
case	хәл
case	килеш
cash	ҡулаҡса
cast	ташларға
castle	һарай
casual	көндәге
cat	бесәй
catch	тоторға
category	категория
cattle	мал
caught	тотҡан
cause	сәбәп
cause	саҡырырға
caution	һаҡлыҡ
cautious	һаҡ
cave	мәмерйә
cease	туҡтарға
ceiling	түшәм
celebrate	байрам итергә
cell	ситлек
cell	күҙәнәк
center	үҙәк
century	быуат
cereal	ярма
cereal	ашлыҡ
ceremony	тантана
certain	билдәле
certainly	һис шикһеҙ
certificate	сертификат
chain	сип
chair	ултырғыс
challenge	ҡаршы сығырға
challenge	ҡаршы
chance	өмөт
change	ҡайтарылған аҡса
change	кейем алмаштырырға
change	алмаштырырға
chaos	хаос
character	холоҡ
character	персонаж
characteristics	характеристикалар
charge	етәкселек
charge	ғәйепләү ҡарары
charge	хаҡ
charity	хәйриәт
charming	таң ҡалдырғыс
chart	диаграмма
chase	баҫтырырға
chat	һөйләшергә
chat	һөйләшеү
cheap	осһоҙ
cheat	мутлашырға
cheat	хыянат итергә
cheating	алдау
cheating	хыянат итеү
check	тотҡарлыҡ
check	тикшерергә
cheek	яңаҡ
cheer	кәйефләндерергә
cheerful	күңелле
cheers	һеҙҙең һаулыҡ өсөн
cheese	сыр
chemistry	химия
cherish	ҡәҙерләргә
chess	шахмат
chest	һандыҡ
chest	түш
chew	сәйнәргә
chicken	тауыҡ
chief	баш
child	бала
childhood	бала саҡ
children	балалар
chill	һыуытырға
chill	ҡалтырау
chill	һалҡын
chimneys	юллыҡтар
chin	эйәк
chocolate	шоколад
choice	һайлау
choose	һайларға
chop	сабырға
chores	өй эштәр
chubby	яңаҡлы
church	сиркәү
cinnamon	дәрсен
circle	түңәрәк
circumstances	шарттар
citizen	граждан
city	ҡала
claim	талап итергә
claim	талап
clarify	аңлатырға
class	дәрес
class	синыф
clay	балсыҡ
clean	таҙартырға
clean	таҙа
clear	аныҡларға
clear	аяҙ
clerk	клерк
clever	зирәк
client	клиент
cliff	ҡая
climate	климат
climb	менергә
clingy	бәйләнсек
clock	сәғәт
close	ябырға
close	яҡын
closet	шкаф
cloth	сепрәк
clothes	кейем
cloud	болот
cloudy	болотло
clown	клоун
clue	тотҡарлыҡ
clumsy	килбәтһеҙ
cluster	тәлгәш
cluster	тупланма
coach	тренер
coach	өйрәтергә
coal	күмер
coast	яр буйы
coat	пальто
coffee	кофе
cognitive	когнитив
coincidence	тап килеүе
cold	һалҡын тейеү
cold	һыуыҡ
collapse	ишелеп төшөргә
collar	яға
colleague	коллега
colleagues	коллегалар
collect	йыйырға
collection	коллекция
college	университет
color	төҫ
colorless green ideas slept furiously	төҫһөҙ йәшел идеялар ярһып йоҡлай
colour	төҫ
column	бағана
comb	тараҡ
combination	комбинация
combine	берләштерергә
come	килергә
come here	кил бында
come on	әйҙә
comfort	уңайлыҡ
comfort	йыуаныс
comfortable	уңайлы
coming	килгән
coming soon	тиҙҙән буласаҡ
command	команда
comment	комментарий
commercial	сауҙа
commission	комиссия
commit	ҡылырға
commitment	тоғролоҡ
commitment	йөкләмә
committed	идеялы
commodity	тауар
common	йыш осрай торған
communicate	аралашырға
communication	аралашыу
community	бергәлек
commute	етергә
companion	юлдаш
company	компания
compare	сағыштырырға
comparison	сағыштырыу
compassion	шәфҡәтлелек
compassionate	шәфҡәтле
compatible	тура килә торған
compete	ярышырға
competent	уҙ эшен белгән
competition	ярыш
competition	конкуренция
competitive	конкурентлы
complain	зарланырға
complaint	зар
complement	өҫтәмә
complement	өҫтәргә
complete	тулы
completely	тулыһынса
complex	ҡушма
compliance	килешмәк
complicated	ҡатмарлы
compliment	маҡтау
comply	үтәргә
composition	состав
compound	берләшмә
comprehension	аңлау
comprehensive	комплекслы
compromise	яманатлы итергә
compromise	компромисс
compulsory	мәжбүри
computer	компьютер
concentrate	йүнәлергә
concept	төшөнсә
concern	борсолоу
concern	ҡағылырға
concerned	болоҡһотоҡ
concert	концерт
conclusion	һығымта
concrete	бетонлы
concrete	бетонларға
concrete	бетон
condition	хәл
condition	шарт
conditions	шарттар
conduct	үткәрергә
conference	конференция
confess	иҡрар итергә
confidence	ныҡлы ышаныс
confident	ныҡлы
confirm	иҫбатларға
conflict	конфликт
confused	буталып киткән
confusion	буталыш
congrats	ҡотлайым
congratulation	ҡотлау
congratulations	ҡотлайым
conjunction	теркәүес
connect	тоташтырырға
conquer	яулап алырға
conscious	аңлы
consciousness	аң
consent	ризалыҡ
consent	риза булырға
consequences	эҙемтәләр
conservation	һаҡлау
conservative	консерватив
consider	иҫәпләргә
considered	иҫәпләгән
consist	торорға
consistency	эҙмә-эҙлелек
consistent	тотороҡло
constant	даими
constantly	даими
constipation	эс ҡатыу
construction	төҙөлөш
consume	ҡулланырға
consumption	ҡулланыу
contact	контакт
contact	бәйләнешкә инергә
contagious	йоғошло
contain	үҙ эсенә алырға
contains	составында бар
contemporary	хәҙерге
contempt	нәфрәт
content	ҡәнәғәт
content	эстәлек
contest	ярыш
context	контекст
continent	континент
continue	дауам итергә
contract	контракт
contract	контракт төҙөү
contrast	ҡапма-ҡаршы булырға
contrast	ҡапма-ҡаршылыҡ
contribute	өлөш индерергә
contribution	өлөш
control	контроль
controversial	бәхәсле
convenience	уңайлыҡ
convenient	уңайлы
conversation	әңгәмә
convert	әүерелдерергә
convert	әүерелдереү
convey	тапшырырға
convince	инандырырға
convinced	инанған
cook	ашнаҡсы
cook	әҙерләү
cooking	бешереү
cool	шәп
cool	һалҡын
cooperation	хеҙмәттәшлек
cope	еңеп сығырға
copper	баҡыр
core	йәҙрә
corn	кукуруз
corner	мөйөш
correct	дөрөҫ
cost	хаҡы
cost	торорға
costume	костюм
cottage	коттедж
cotton	мамыҡ
couch	тренер
couch	диван
cough	йүткерергә
could	алған
council	совет
count	һанарға
counter	прилавка
country	ил
countryside	ауыл ере
couple	ҡуш
couple	иш
courage	батырлыҡ
course	бараһылыҡ
court	суд
courtesy	әҙәплелек
cousin	ике туған ағай
cousin	ике туған апай
cover	ҡапларға
cow	һыйыр
coward	ҡурҡаҡ
cozy	йәмле
crab	диңгеҙ ҡыҫалаһы
crack	ярылырға
crack	ярыҡ
craft	һөнәрселек
crap	буҡ
crash	аварияға эләгергә
crash	авария
craving	нәфсе
crawl	шыуышып барырға
crazy	алйот
create	барлыҡҡа китерергә
creative	ижади
credit	күрһәткән хеҙмә
creep	боҫоп барырға
creepy	һөйрәнсек
creepy	ҡурҡыныс
crew	экипаж
crime	енәйәт
cringe	ҡорошорған
cringe	ҡорошорға
crisis	көрсөк
criteria	критерий
critical	тәнҡит
criticism	тәнҡит
crop	үҫтерелгән культура
crops	уңдырышлыҡ
cross	тәре
cross	ҡыйырға
crow	ҡарға
crowd	төркөм
crowded	халҡы күп
crown	таж
crucial	мөһим
cruel	аяуһыҙ
cruise	круиз
crush	һәләк
crush	ватылырға
cry	иларға
cucumber	ҡыяр
cuddle	ҡосаҡларға
culture	мәҙәниәт
cunning	хәйләкәрлек
cup	сынаяҡ
cup	кубок
cupboard	шкаф
curb	бордюр
cure	дарыу
cure	дауаларға
curfew	комендант сәғәте
curiosity	ҡыҙыҡһыныу
curious	ҡыҙыҡһыныусан
curly	бөҙрә
currency	валюта
current	ағымдағы
currently	хәҙерге ваҡытта
curse	ҡарғыш
curse	һүгенес
curtain	пәрҙә
cushion	мендәр
custom	йола
customer	клиент
customs	таможня
customs	ғөрөф-ғәҙәт
cut	киҫәләнте
cut	ҡырҡырға
cute	яғымлы
cycle	цикл
cycling	велосипед йөрөүе
dad	атай
daddy	атаҡай
daily	көндәлек
dairy	һөт
dam	быуа
damage	зыян килтерергә
damage	зыян
damn	ҡәһәрле
damp	дымлы
dance	бейергә
danger	хәүеф
dangerous	хәүефле
dark	ҡаранғы
darling	ҡәҙерлем
dash	һыҙыҡ
dash	елдерергә
data	мәғлүмәт
date	дата
date	осрашыу
daughter	ҡыҙ
day	кән
dead	үлгән
deadline	сикке ваҡыт
deaf	һаңғырау
deal	алыш-биреш
deal	бәйләнеш тоторға
dear	ҡәҙерле
Dear All	бөтәгеҙгә ла хөрмәт
Dear Customer	Хөрмәтле клиент
Dear Parents	Хөрмәтле ата-әсәләр
Dear Sir	Хөрмәтле әфәнде
Dear students	Хөрмәтле студенттар
Dear Team	Хөрмәтле команда
death	үлем
debate	фекер алышырға
debit	дебет
debris	емереклектәр
debt	бурыс
decade	ун йыллыҡ
decay	тарҡалыу
deceased	мәрхүм
deceive	алдарға
december	декабрь
decent	арҙаҡлы
decide	ҡарар ҡабул итергә
decided	ҡарар иткән
decision	ҡарар
deck	палуба
decline	кире ҡағырға
decrease	кәметергә
dedicated	фиҙаҡәр
dedication	тоғролоҡ
deed	ҡылыҡ
deep	тәрән
deer	болан
default	иғтибарһыҙлыҡ
defeat	еңергә
defeat	еңелеү
defend	яҡларға
define	билдәләргә
definitely	аныҡ
definition	билдәләмә
degree	дәрәжә
delay	тотҡарлыҡ
delay	һуңыраҡҡа күсерергә
delayed	кисектерелгән
delete	бөтөрөргә
deliberate	алдан уйлап эшләнгән
delicate	нәзәкәтле
delicious	бик тәмле
delight	ләззәт
delighted	ҡәнәғәтле
deliver	алып барырға
delivered	килтерелгән
delivery	алып барып ҡуйыу
demand	талап итергә
demand	һорау
demanding	талапсан
democracy	демократия
demon	иблис
demonstrate	күрһәтергә
denied	баш тартҡан
density	тығыҙлыҡ
dentist	стоматолог
deny	баш тартырға
department	бүлек
departure	китеү
depend	буйһонорға
deploy	йәйелдерергә
deposit	һаҡларға
deposit	депозит
depressed	баҫтырылған
depression	депрессия
depth	тәрәнлек
describe	һүрәтләргә
description	васиф
desert	сүл
deserve	атҡаҙанырға
design	дизайн
design	эшләп сығарырға
designation	билдә
desire	көслө теләк
desire	көҫәргә
desk	өҫтәл
despair	өмөтһөҙлөк
desperate	сая
despite	ҡарамаҫтан
dessert	десерт
destination	тәғәйенләнгән урын
destiny	яҙмыш
destroy	юҡ итергә
destruction	емерелеү
detail	деталь
details	тулыраҡ мәғлүмәт
detect	табырға
determination	тәүәккәллек
determine	билдәлергё
determined	тәүәккәл
devastated	ҡайғыға батҡан
develop	үҫтерергә
develop	үҫешергә
developed	эшкәртелгән
development	үҫеш
device	ҡоролма
devil	иблис
devoted	тоғро
Dhivehi	дивехи теле
diabetes	шәкәр аурыуы
diarrhea	диарея
diary	көндәлек
dictionary	һүҙлек
did	эшләне
die	үлергә
died	үлгән
diet	диета
difference	айырма
different	икенсе
difficult	ҡыйын
dig	ҡаҙырға
dignity	шәхсиәт дәрәжәһе
diligent	тырыш
dinner	киске аш
dip	сумдырырға
direct	тура
direction	йүнәлеш
director	директор
director	режиссёр
dirt	бысраҡ
dirty	бысраҡ
disable	имгәтергә
disable	һүндерергә
disabled	эшкә яраҡһыҙ
disappear	юҡ булырға
disappointed	өмөтө өҙөлгән
disaster	афәт
discard	ризалашмаҫҡа
discharge	сығарырға
discipline	тәртип
discount	ташлама
discover	табып алырға
discrimination	дискриминация
discuss	телгәрергә
discussion	телектереш
disease	ауырыу
diseases	ауырыуҙар
disguise	маскировать итергә
disgusting	ерәнес
dish	ризыҡ
dish	тәрилкә
dishes	ашамлыҡтар
dismiss	эштән ебәрергә
dispatch	ебәрергә
display	күрһәтергә
disposal	утилизация
dispute	бәхәс
distance	дистанция
distinct	айырым
distinct	төрлө
distinguish	айырым алырға
distress	бәлә-ҡаза
distribution	таратыу
district	район
disturb	бимазалау
ditch	соҡор
dive	сумырға
diverse	төрлө
diversity	төрлөлөк
divide	бүлергә
divine	илаһи
divorce	никахты тарҡатыу
divorce	никахты тарҡатырға
dizzy	баш әйләндергес
do	итергә
do you	һин
do you love me	һин мине яратаңмы
doctor	табип
document	документ
does	эшләй
doesn't	-май
dog	эт
Dogri	догри теле
doing	эшләү
doll	ҡурсаҡ
domain	домен
domestic	эске
domestic	йорт
dominant	өҫтөнлөклө
Don't worry	Борсолма
donate	иғәнә бирергә
donate	аҡса кертергә
done	эшләнгән
donkey	ишәк
dope	наркотик
double	икеләтеү
double	икеләтергә
doubt	шикләнергә
doubt	шик
dough	ҡамыр
down	аҫҡа
download	йөктәтергә
draft	ҡаралама
draft	һыҙырға
drag	һөйрәтергә
drain	киптерергә
drain	бушатырға
drama	драма
draw	һүрәт төшөрөргә
draw	һөйрәтергә
drawer	йәшник
drawing	һүрәт
dread	ҡот осоу
dream	төш
dream	төш күрергә
dress	күлдәк
drill	бырауларға
drink	эсергә
drink	эсемлек
drive	йөрөтөргә
drop	төшөрөп ебәрергә
drop	кәмеү
dropped	ташлаған
drought	ҡоролоҡ
drunk	иҫерек
dry	ҡоро
duck	өйрәк
dude	егет
due	тейешле
due	өсөн
due to	өсөн
dull	эс бошорғос
dumb	аңра
dump	ташлау
duration	оҙайлыҡ
during	ваҡытында
dust	саң
duty	бурыс
dwell	йәшәргә
dying	үлеп барған
each	һәр
each other	бер-береһен
eager	дәртле
eagle	бөркөт
ear	ҡолаҡ
earlier	элегерәк
early	иртә
earn	аҡса эшләргә
ears	ҡолаҡтар
earth	ер
earthquake	ер тетрәү
ease	еңеллек
easily	анһат
east	көнсығыш
easy	еңел
eat	ашарға
eating	ашау
economic	бәрәкәтле
economy	иҡтисад
edge	сит
edit	төҙәтергә
education	мәғариф
effect	йоғомта
effective	һөҙөмтәле
efficiency	нәтижәлелек
efficient	эффектив
effort	тырышлыҡ
egg	йомортҡа
eggplant	баклажан
ego	эго
eight	һигеҙ
eighteen	ун һигеҙ
eighty	һикһән
either	ул да
elaborate	эшкәртергә
elbow	терһәк
elder	олорыраҡ
elderly	оло йәштәгеләр
elegant	күркәм
element	элемент
elephant	фил
eleven	ун бер
eligible	йәтеш
eliminate	бөтөрөргә
else	тағы
embarrassed	асыулы
embarrassing	асыулы
embrace	ҡосаҡларға
emerge	килеп сығырға
emergency	ғәҙәттән тыш
emotional	эмоциональ
empathy	мәрхәмәт
emphasis	баҫым
emphasize	айырып күрһәтергә
employee	эшсе
employees	хеҙмәттәштәр
employer	эш биреүсе
employment	эшкә урынлашыу
empty	буш
enable	ирек бирергә
encounter	осрашырға
encourage	ҡыҙыҡһындырырға
end	аҙаҡ
end	бөтөргә
endangered	ҡурҡыныс аҫтында
endeavor	көсөргәнеш
endurance	сыҙамлылыҡ
endure	түҙеп торорға
enemy	дошман
energy	энергия
engage	йәлеп итергә
engaged	вәғәҙәләшкән
engagement	вәғәҙәләшеү
engine	двигатель
engineer	инженер
English	инглиз
enhance	арттырырға
enjoy	кинәнергә
enormous	бик ҙур
enough	етәр
ensure	тәьмин итергә
enter	инергә
entertainment	күңел асыу
enthusiasm	күтәренкелек
enthusiastic	ялҡынлы
entire	бөтә
entitled	исемдәге
entity	ойошма
entrance	инеү урыны
entrepreneur	эшҡыуар
envelope	конверт
environment	тирә-яҡ мөхит
envy	көнләшеү
epic	эпик
epidemic	эпидемия
equal	тиң
equipment	йыһазландырыу
equity	тигеҙлек
equivalent	тиңдәш
eraser	юйғыс
error	хата
escape	ҡасырға
especially	айырыуса
essay	инша
essence	асыл
essence	эссенция
essential	иң мөһим
establish	билдәләргә
established	барлыҡҡа килгән
estate	милек
estimate	баһа бирергә
estimated	баһаланған
etc	һ. б.
eternal	мәңгелек
ethics	этика
evaluate	баһаларға
evaluation	баһа
even	хатта
even	тигеҙ
even though	хатта әгәр
evening	кис
event	ваҡиға
eventually	ниһайәт
ever	ҡасан да булһа
every	һәр
everybody	барыһы ла
everyone	бөтә кеше
everything	бөтә нәмә
evidence	дәлил
evil	яман
evolution	эволюция
evolve	үҫеш алырға
Ewe	эве теле
ex	элекке
exact	йыйнаҡ
exactly	теүәл
exam	имтихан
examine	тикшеренергә
example	миҫал
exceed	артыҡ булырға
excellent	бик яҡшы
except	башҡа
exception	айырма
excess	артыҡ
excessive	артыҡлыҡ
exchange	алмашыу
excited	рухлы
excitement	тулҡынланыу
exciting	күңел күтәрлек
exclusive	эксклюзив
excuse	аҡланырға
excuse me	ғәфу ит мине
execute	язалап үлтерергә
execute	башҡарырға
execution	башҡарыу
execution	иғдам
executive	башҡарма
exercise	күнегеүҙәр үткәрергә
exercise	күнегеү
